년도,월,나이,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020,6,50,"34,317","1,293","1,876",919,"1,342","1,934","1,022","1,242","1,427","1,802","1,159","2,019","2,464","1,353","3,192","2,134","1,538","1,868","1,295","1,461","2,977"
2020,6,60,"25,385",947,"1,254",655,995,"1,255",707,883,"1,022","1,515",980,"1,607","1,456",988,"2,196","1,655","1,261","1,427","1,022","1,037","2,523"
2020,6,70,"14,742",605,791,463,565,635,436,466,609,865,636,956,911,494,"1,257",964,708,714,648,552,"1,467"
2020,6,80,"5,320",278,305,172,196,264,172,164,230,317,258,328,290,163,512,308,272,249,218,164,460
2020,6,90,506,35,27,20,27,29,11,10,21,31,29,31,26,18,67,20,21,24,17,11,31
2020,6,100,93,7,8,5,5,3,4,5,1,2,2,4,7,5,13,6,1,4,2,2,7
2020,7,총,"213,033","7,949","11,410","6,584","7,241","11,798","7,812","7,816","9,120","11,373","7,743","12,523","17,428","8,317","19,729","13,107","9,687","9,904","6,893","8,893","17,706"
2020,7,0,"15,243",383,633,284,410,"1,096",236,518,780,783,342,946,"2,129",806,"1,447","1,105",614,465,295,916,"1,055"
2020,7,10,"19,415",676,"1,028",447,675,"1,439",490,493,921,"1,015",528,"1,168","2,386",753,"2,043","1,280",767,839,482,759,"1,226"
2020,7,20,"32,449","1,281","1,944","1,429",987,"1,500","2,666","1,386","1,169","1,625","1,709","1,664","1,656","1,042","3,088","1,485","1,550","1,562",947,"1,153","2,606"
2020,7,30,"30,455","1,187","1,672","1,192",988,"1,449","1,177","1,393","1,325","1,625","1,087","1,663","2,246","1,250","2,652","1,791","1,444","1,328",908,"1,431","2,647"
2020,7,40,"35,041","1,257","1,863",997,"1,067","2,192",901,"1,257","1,624","1,793","1,003","2,129","3,844","1,429","3,239","2,338","1,493","1,431","1,072","1,408","2,704"
2020,7,50,"34,285","1,296","1,875",923,"1,333","1,934","1,022","1,236","1,414","1,803","1,165","2,005","2,481","1,360","3,198","2,134","1,542","1,863","1,277","1,457","2,967"
2020,7,60,"25,462",954,"1,265",650,989,"1,255",703,883,"1,022","1,517",983,"1,629","1,452",993,"2,201","1,661","1,268","1,424","1,029","1,045","2,539"
2020,7,70,"14,735",597,789,462,564,636,432,468,610,866,636,956,906,497,"1,263",972,707,717,643,551,"1,463"
2020,7,80,"5,350",275,306,172,198,265,170,167,232,313,259,329,296,164,518,315,280,248,221,160,462
2020,7,90,504,36,27,23,25,29,11,10,22,31,29,30,25,18,66,20,21,23,17,11,30
2020,7,100,94,7,8,5,5,3,4,5,1,2,2,4,7,5,14,6,1,4,2,2,7
2020,8,총,"212,559","7,944","11,367","6,585","7,186","11,773","7,770","7,788","9,114","11,386","7,719","12,481","17,387","8,326","19,688","13,082","9,631","9,911","6,912","8,868","17,641"
2020,8,0,"15,143",379,623,284,406,"1,084",232,512,774,782,342,936,"2,125",807,"1,439","1,101",597,462,303,908,"1,047"
2020,8,10,"19,285",671,"1,020",440,665,"1,429",474,498,922,996,526,"1,158","2,375",754,"2,032","1,279",762,841,480,752,"1,211"
2020,8,20,"32,445","1,292","1,942","1,446",977,"1,504","2,686","1,373","1,167","1,634","1,704","1,656","1,656","1,044","3,086","1,471","1,554","1,561",954,"1,153","2,585"
2020,8,30,"30,260","1,178","1,669","1,180",986,"1,440","1,153","1,377","1,328","1,612","1,078","1,665","2,209","1,235","2,642","1,787","1,421","1,334",908,"1,424","2,634"
2020,8,40,"34,880","1,254","1,845",989,"1,053","2,179",891,"1,249","1,611","1,807",993,"2,105","3,833","1,431","3,222","2,338","1,483","1,437","1,076","1,396","2,688"
2020,8,50,"34,276","1,294","1,866",934,"1,320","1,946","1,019","1,244","1,417","1,812","1,176","2,004","2,491","1,365","3,185","2,123","1,535","1,848","1,267","1,468","2,962"
2020,8,60,"25,560",963,"1,279",649,987,"1,260",697,883,"1,031","1,518",973,"1,631","1,462",999,"2,221","1,669","1,270","1,434","1,039","1,043","2,552"
2020,8,70,"14,722",595,783,461,560,632,434,471,605,874,637,958,911,502,"1,258",968,709,716,641,547,"1,460"
2020,8,80,"5,384",275,304,174,202,268,168,166,235,319,258,332,293,166,522,319,279,252,223,164,465
2020,8,90,508,36,28,22,25,28,12,10,22,30,30,32,25,18,67,21,20,22,19,11,30
2020,8,100,96,7,8,6,5,3,4,5,2,2,2,4,7,5,14,6,1,4,2,2,7
2020,9,총,"212,151","7,924","11,329","6,580","7,173","11,741","7,747","7,743","9,084","11,396","7,726","12,468","17,370","8,306","19,647","13,048","9,592","9,903","6,895","8,846","17,633"
2020,9,0,"15,026",376,613,278,403,"1,073",234,509,769,773,337,933,"2,098",804,"1,427","1,094",588,454,303,917,"1,043"
2020,9,10,"19,171",663,"1,021",430,657,"1,427",465,492,906,992,518,"1,148","2,384",748,"2,029","1,274",767,832,476,738,"1,204"
2020,9,20,"32,422","1,278","1,926","1,458",970,"1,500","2,680","1,359","1,164","1,642","1,724","1,667","1,653","1,042","3,094","1,463","1,535","1,573",948,"1,150","2,596"
2020,9,30,"30,125","1,190","1,661","1,176",988,"1,427","1,148","1,367","1,325","1,605","1,074","1,647","2,189","1,232","2,623","1,779","1,416","1,333",918,"1,414","2,613"
2020,9,40,"34,731","1,246","1,834",978,"1,047","2,173",878,"1,243","1,612","1,800",986,"2,101","3,831","1,424","3,190","2,325","1,469","1,433","1,057","1,404","2,700"
2020,9,50,"34,285","1,301","1,863",948,"1,314","1,940","1,026","1,233","1,411","1,823","1,172","2,003","2,507","1,369","3,199","2,108","1,536","1,844","1,266","1,462","2,960"
2020,9,60,"25,644",963,"1,288",645,999,"1,270",703,888,"1,032","1,529",985,"1,642","1,469",996,"2,216","1,686","1,270","1,435","1,039","1,044","2,545"
2020,9,70,"14,727",588,781,467,563,631,429,469,604,882,636,956,912,496,"1,265",967,710,717,642,543,"1,469"
2020,9,80,"5,408",275,306,173,202,266,168,169,236,319,261,335,294,171,523,323,280,255,225,162,465
2020,9,90,516,37,28,21,25,31,12,9,23,29,31,32,26,19,68,23,20,23,19,10,30
2020,9,100,96,7,8,6,5,3,4,5,2,2,2,4,7,5,13,6,1,4,2,2,8
2020,10,총,"211,780","7,935","11,278","6,562","7,168","11,719","7,714","7,695","9,066","11,388","7,710","12,431","17,352","8,294","19,646","13,041","9,597","9,895","6,876","8,780","17,633"
2020,10,0,"14,930",373,600,282,409,"1,055",231,508,770,768,322,918,"2,093",795,"1,421","1,084",588,451,307,915,"1,040"
2020,10,10,"19,068",658,"1,013",426,653,"1,442",454,482,898,982,515,"1,148","2,374",748,"2,016","1,269",763,826,467,735,"1,199"
2020,10,20,"32,351","1,294","1,921","1,435",966,"1,490","2,672","1,347","1,164","1,634","1,744","1,663","1,653","1,035","3,100","1,463","1,529","1,565",948,"1,133","2,595"
2020,10,30,"30,034","1,192","1,653","1,164",988,"1,429","1,139","1,359","1,323","1,610","1,061","1,626","2,184","1,231","2,617","1,772","1,419","1,345",925,"1,392","2,605"
2020,10,40,"34,585","1,230","1,813",984,"1,034","2,148",879,"1,241","1,603","1,800",974,"2,104","3,806","1,426","3,186","2,323","1,459","1,426","1,051","1,397","2,701"
2020,10,50,"34,313","1,314","1,867",958,"1,314","1,948","1,024","1,220","1,415","1,818","1,168","2,012","2,529","1,373","3,195","2,107","1,543","1,842","1,253","1,464","2,949"
2020,10,60,"25,707",960,"1,293",652,"1,006","1,274",706,885,"1,030","1,542",996,"1,629","1,469",993,"2,235","1,695","1,282","1,436","1,039","1,030","2,555"
2020,10,70,"14,730",587,777,461,562,632,424,469,606,883,638,953,920,498,"1,255",973,715,721,640,541,"1,475"
2020,10,80,"5,442",282,306,172,206,267,168,169,232,319,258,341,291,171,539,326,277,256,225,161,476
2020,10,90,524,37,27,22,25,32,13,10,23,30,32,33,26,19,69,23,21,23,19,10,30
2020,10,100,96,8,8,6,5,2,4,5,2,2,2,4,7,5,13,6,1,4,2,2,8
2020,11,총,"211,289","7,916","11,262","6,551","7,169","11,697","7,666","7,663","9,035","11,368","7,697","12,422","17,328","8,261","19,655","13,030","9,579","9,870","6,837","8,652","17,631"
2020,11,0,"14,826",372,607,285,412,"1,042",225,496,762,773,314,906,"2,080",786,"1,417","1,071",587,443,298,911,"1,039"
2020,11,10,"18,978",655,"1,010",424,656,"1,443",449,472,897,975,518,"1,139","2,370",745,"2,003","1,262",759,818,459,726,"1,198"
2020,11,20,"32,275","1,292","1,907","1,428",966,"1,483","2,656","1,350","1,155","1,636","1,731","1,676","1,653","1,031","3,099","1,464","1,522","1,561",954,"1,117","2,594"
2020,11,30,"29,908","1,191","1,643","1,169",987,"1,416","1,135","1,344","1,314","1,605","1,072","1,615","2,156","1,231","2,620","1,771","1,416","1,354",904,"1,377","2,588"
2020,11,40,"34,550","1,223","1,821",978,"1,037","2,147",878,"1,235","1,603","1,802",970,"2,093","3,814","1,418","3,204","2,318","1,453","1,418","1,051","1,401","2,686"
2020,11,50,"34,277","1,324","1,858",953,"1,306","1,955","1,025","1,222","1,403","1,814","1,168","2,022","2,539","1,376","3,178","2,114","1,551","1,837","1,254","1,414","2,964"
2020,11,60,"25,700",956,"1,305",648,"1,006","1,272",691,890,"1,035","1,536",999,"1,627","1,474",985,"2,250","1,699","1,276","1,438","1,033","1,013","2,567"
2020,11,70,"14,693",574,768,466,564,632,423,471,605,874,634,964,914,496,"1,254",972,716,719,640,528,"1,479"
2020,11,80,"5,459",284,305,171,205,272,168,170,235,321,258,344,296,170,547,330,277,255,221,154,476
2020,11,90,528,38,30,23,25,33,12,8,24,30,31,32,25,18,70,23,21,23,21,9,32
2020,11,100,95,7,8,6,5,2,4,5,2,2,2,4,7,5,13,6,1,4,2,2,8
2020,12,총,"210,810","7,869","11,238","6,549","7,148","11,691","7,610","7,616","9,008","11,371","7,693","12,380","17,323","8,252","19,594","13,022","9,586","9,872","6,863","8,510","17,615"
2020,12,0,"14,723",370,596,290,408,"1,020",224,488,767,773,305,889,"2,077",779,"1,415","1,065",584,436,296,906,"1,035"
2020,12,10,"18,918",645,"1,003",424,648,"1,457",436,464,883,972,512,"1,130","2,376",747,"1,992","1,264",760,833,455,723,"1,194"
2020,12,20,"32,219","1,288","1,908","1,434",964,"1,485","2,653","1,332","1,158","1,639","1,748","1,693","1,673","1,018","3,064","1,463","1,525","1,555",966,"1,082","2,571"
2020,12,30,"29,773","1,193","1,645","1,157",977,"1,422","1,130","1,334","1,292","1,614","1,074","1,585","2,124","1,236","2,605","1,764","1,415","1,361",904,"1,356","2,585"
2020,12,40,"34,424","1,210","1,810",974,"1,037","2,126",864,"1,228","1,590","1,791",959,"2,084","3,818","1,411","3,189","2,324","1,454","1,408","1,059","1,393","2,695"
2020,12,50,"34,207","1,309","1,853",956,"1,301","1,966","1,016","1,223","1,410","1,809","1,168","2,018","2,539","1,372","3,175","2,104","1,550","1,841","1,258","1,382","2,957"
2020,12,60,"25,747",959,"1,306",649,"1,007","1,275",687,889,"1,035","1,544","1,006","1,628","1,480",999,"2,268","1,696","1,277","1,440","1,031",996,"2,575"
2020,12,70,"14,662",565,769,460,567,628,413,476,608,880,631,964,900,499,"1,255",977,722,713,643,512,"1,480"
2020,12,80,"5,510",285,309,176,208,276,170,169,239,317,259,351,304,167,549,335,278,258,228,149,483
2020,12,90,531,38,31,23,26,34,13,8,24,30,29,34,25,19,68,24,20,23,21,9,32
2020,12,100,96,7,8,6,5,2,4,5,2,2,2,4,7,5,14,6,1,4,2,2,8
2021,1,총,"211,123","7,877","11,181","6,536","7,141","11,643","7,574","7,598","8,991","11,365","7,642","12,334","17,283","8,238","19,521","13,003","9,570","10,880","6,828","8,338","17,580"
2021,1,0,"14,747",367,587,285,406,"1,010",226,486,761,777,296,871,"2,041",759,"1,389","1,048",571,653,293,898,"1,023"
2021,1,10,"18,928",643,999,421,646,"1,451",436,460,883,962,499,"1,121","2,394",750,"1,994","1,256",752,937,446,700,"1,178"
2021,1,20,"32,103","1,280","1,885","1,421",956,"1,463","2,632","1,339","1,159","1,635","1,729","1,687","1,664","1,013","3,035","1,455","1,519","1,658",954,"1,053","2,566"
2021,1,30,"29,823","1,203","1,629","1,156",986,"1,410","1,135","1,319","1,283","1,609","1,066","1,559","2,099","1,227","2,584","1,775","1,425","1,534",909,"1,345","2,570"
2021,1,40,"34,464","1,218","1,793",972,"1,021","2,121",858,"1,221","1,571","1,793",956,"2,084","3,803","1,416","3,171","2,311","1,432","1,624","1,051","1,364","2,684"
2021,1,50,"34,265","1,307","1,840",957,"1,307","1,965","1,001","1,225","1,415","1,806","1,158","2,008","2,558","1,376","3,166","2,106","1,559","1,946","1,243","1,356","2,966"
2021,1,60,"25,901",959,"1,331",658,"1,007","1,278",685,895,"1,042","1,548","1,007","1,649","1,489","1,001","2,292","1,706","1,281","1,498","1,035",970,"2,570"
2021,1,70,"14,708",572,767,456,571,634,416,470,608,885,639,964,892,504,"1,252",976,729,741,647,498,"1,487"
2021,1,80,"5,547",284,312,181,209,275,168,171,244,316,261,352,311,168,551,337,280,262,226,143,496
2021,1,90,538,37,30,23,27,34,13,6,23,32,29,34,25,19,72,27,21,23,22,9,32
2021,1,100,99,7,8,6,5,2,4,6,2,2,2,5,7,5,15,6,1,4,2,2,8
2021,2,총,"211,283","7,863","11,130","6,536","7,087","11,610","7,602","7,559","8,941","11,354","7,629","12,312","17,183","8,180","19,478","13,009","9,559","11,701","6,825","8,173","17,552"
2021,2,0,"14,793",364,584,283,393,"1,002",225,486,748,768,290,864,"2,002",748,"1,382","1,040",563,836,297,904,"1,014"
2021,2,10,"18,878",640,993,417,640,"1,434",438,448,872,964,497,"1,110","2,398",754,"1,986","1,242",748,"1,003",443,683,"1,168"
2021,2,20,"32,005","1,265","1,883","1,429",947,"1,454","2,648","1,313","1,148","1,622","1,721","1,685","1,649","1,001","3,018","1,456","1,515","1,715",963,"1,023","2,550"
2021,2,30,"29,816","1,197","1,599","1,153",976,"1,404","1,142","1,319","1,277","1,611","1,062","1,560","2,066","1,196","2,563","1,778","1,428","1,703",909,"1,309","2,564"
2021,2,40,"34,508","1,220","1,784",961,"1,006","2,111",854,"1,208","1,560","1,781",957,"2,078","3,792","1,412","3,169","2,300","1,434","1,793","1,046","1,353","2,689"
2021,2,50,"34,256","1,306","1,834",958,"1,303","1,967","1,005","1,225","1,406","1,811","1,158","2,012","2,549","1,373","3,155","2,119","1,550","2,021","1,234","1,327","2,943"
2021,2,60,"26,068",966,"1,336",672,"1,008","1,287",689,901,"1,044","1,553","1,014","1,646","1,483",999,"2,309","1,717","1,293","1,571","1,040",944,"2,596"
2021,2,70,"14,683",569,764,454,572,636,413,476,611,890,633,967,895,498,"1,244",978,720,759,646,488,"1,470"
2021,2,80,"5,632",292,315,179,209,280,171,171,250,321,266,350,317,175,563,344,285,272,222,132,518
2021,2,90,545,37,30,24,28,33,13,6,23,31,29,35,25,19,74,29,22,24,23,8,32
2021,2,100,99,7,8,6,5,2,4,6,2,2,2,5,7,5,15,6,1,4,2,2,8
2021,3,총,"209,902","7,789","11,030","6,523","7,012","11,539","7,535","7,512","8,866","11,303","7,532","12,255","17,014","8,034","19,385","12,888","9,501","11,821","6,783","8,100","17,480"
2021,3,0,"14,694",364,570,282,389,989,222,489,737,766,296,866,"1,988",736,"1,367","1,029",563,857,295,897,992
2021,3,10,"18,814",629,988,421,634,"1,425",442,447,872,959,497,"1,116","2,374",759,"1,981","1,232",752,"1,006",433,681,"1,166"
2021,3,20,"31,968","1,245","1,870","1,441",931,"1,447","2,651","1,293","1,132","1,629","1,701","1,697","1,646",985,"3,039","1,474","1,503","1,730",971,"1,022","2,561"
2021,3,30,"29,634","1,186","1,610","1,145",971,"1,382","1,129","1,320","1,281","1,596","1,050","1,546","2,049","1,156","2,558","1,757","1,413","1,739",915,"1,296","2,535"
2021,3,40,"34,177","1,212","1,738",954,995,"2,104",840,"1,192","1,537","1,756",930,"2,051","3,755","1,388","3,143","2,270","1,432","1,814","1,040","1,356","2,670"
2021,3,50,"34,104","1,290","1,818",958,"1,289","1,955",985,"1,213","1,401","1,817","1,158","1,997","2,550","1,364","3,141","2,122","1,524","2,053","1,220","1,310","2,939"
2021,3,60,"26,043",971,"1,342",677,"1,012","1,292",685,912,"1,046","1,551",996,"1,647","1,460",990,"2,298","1,703","1,308","1,580","1,042",926,"2,605"
2021,3,70,"14,408",554,752,445,565,633,402,468,594,883,618,956,867,480,"1,231",941,710,748,631,475,"1,455"
2021,3,80,"5,559",296,313,175,206,279,166,173,246,318,260,345,304,162,556,335,274,276,218,131,526
2021,3,90,475,35,26,23,20,33,11,4,20,26,26,32,21,13,67,25,22,18,18,5,30
2021,3,100,26,7,3,2,0,0,2,1,0,2,0,2,0,1,4,0,0,0,0,1,1
2021,4,총,"209,667","7,793","11,028","6,527","6,996","11,503","7,529","7,469","8,866","11,291","7,511","12,180","17,007","8,019","19,375","12,895","9,482","11,894","6,799","8,044","17,459"
2021,4,0,"14,604",366,566,280,396,983,219,484,732,757,301,851,"1,969",727,"1,344","1,021",557,869,294,900,988
2021,4,10,"18,731",620,972,422,626,"1,413",440,444,875,954,492,"1,109","2,386",760,"1,978","1,225",742,"1,006",432,676,"1,159"
2021,4,20,"31,930","1,260","1,880","1,438",925,"1,430","2,660","1,278","1,134","1,630","1,681","1,691","1,650",978,"3,044","1,481","1,494","1,735",974,"1,012","2,555"
2021,4,30,"29,655","1,179","1,605","1,147",978,"1,386","1,130","1,315","1,284","1,598","1,067","1,529","2,024","1,159","2,567","1,769","1,407","1,760",925,"1,286","2,540"
2021,4,40,"34,064","1,212","1,726",953,982,"2,087",830,"1,184","1,533","1,748",916,"2,043","3,753","1,380","3,140","2,257","1,432","1,835","1,046","1,349","2,658"
2021,4,50,"34,105","1,294","1,834",969,"1,286","1,959",986,"1,210","1,399","1,815","1,154","1,987","2,565","1,361","3,134","2,120","1,525","2,065","1,219","1,302","2,921"
2021,4,60,"26,117",972,"1,350",679,"1,019","1,292",686,910,"1,054","1,565",999,"1,639","1,467",995,"2,310","1,714","1,307","1,577","1,040",916,"2,626"
2021,4,70,"14,367",553,752,444,559,639,403,461,590,877,618,949,866,482,"1,227",943,716,753,627,464,"1,444"
2021,4,80,"5,588",294,313,172,206,280,162,178,246,320,259,347,305,163,559,340,279,275,222,133,535
2021,4,90,480,36,27,22,19,34,11,4,19,25,24,33,22,13,68,25,23,18,20,5,32
2021,4,100,26,7,3,1,0,0,2,1,0,2,0,2,0,1,4,0,0,1,0,1,1
2021,5,총,"209,407","7,773","10,992","6,527","6,979","11,479","7,508","7,456","8,846","11,261","7,490","12,145","17,018","8,019","19,366","12,877","9,471","11,916","6,799","8,028","17,457"
2021,5,0,"14,547",365,558,276,391,984,217,478,728,756,299,835,"1,961",730,"1,342","1,015",562,875,296,892,987
2021,5,10,"18,657",611,969,421,616,"1,404",436,447,879,936,492,"1,099","2,396",761,"1,971","1,230",737,999,422,676,"1,155"
2021,5,20,"31,838","1,262","1,874","1,436",924,"1,419","2,641","1,269","1,127","1,616","1,687","1,700","1,650",963,"3,045","1,470","1,488","1,736",978,"1,004","2,549"
2021,5,30,"29,602","1,172","1,588","1,146",974,"1,389","1,138","1,321","1,291","1,609","1,052","1,508","2,005","1,165","2,552","1,760","1,407","1,763",929,"1,285","2,548"
2021,5,40,"33,971","1,204","1,724",957,978,"2,076",831,"1,185","1,512","1,739",915,"2,034","3,751","1,382","3,137","2,249","1,434","1,835","1,032","1,356","2,640"
2021,5,50,"34,092","1,293","1,828",974,"1,285","1,961",989,"1,201","1,406","1,816","1,142","1,995","2,576","1,360","3,135","2,116","1,520","2,073","1,216","1,294","2,912"
2021,5,60,"26,241",974,"1,349",680,"1,020","1,298",686,916,"1,055","1,562","1,008","1,642","1,485",999,"2,323","1,730","1,309","1,578","1,057",918,"2,652"
2021,5,70,"14,322",549,748,445,567,634,392,458,582,877,614,946,864,480,"1,219",940,714,757,627,464,"1,445"
2021,5,80,"5,627",299,323,169,205,280,165,175,247,324,256,352,308,163,569,342,278,281,222,133,536
2021,5,90,484,37,28,22,19,34,11,5,19,24,25,33,22,15,69,25,22,18,20,5,31
