년도,월,나이,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021,4,0,"10,285",87,258,43,"4,913","2,625",20,"2,282",57
2021,4,10,"6,197",149,247,66,"2,119","2,177",42,"1,329",68
2021,4,20,"6,760",377,547,219,"2,160","1,274",116,"1,885",182
2021,4,30,"13,871",331,508,206,"6,478","2,174",107,"3,847",220
2021,4,40,"13,646",422,531,217,"5,062","3,458",131,"3,559",266
2021,4,50,"8,720",706,628,464,"2,265","1,683",256,"2,333",385
2021,4,60,"8,271",908,731,713,"1,904","1,188",325,"2,005",497
2021,4,70,"3,489",509,367,285,719,422,208,736,243
2021,4,80,918,147,123,83,167,95,58,174,71
2021,4,90,76,9,5,11,11,12,7,14,7
2021,4,100,6,0,1,1,3,1,0,0,0
2021,5,총,"72,541","3,640","3,960","2,319","25,977","15,124","1,267","18,249","2,005"
2021,5,0,"10,300",87,259,46,"4,940","2,622",22,"2,267",57
2021,5,10,"6,245",146,249,67,"2,140","2,191",42,"1,342",68
2021,5,20,"6,806",377,550,219,"2,206","1,256",114,"1,899",185
2021,5,30,"13,885",332,506,212,"6,496","2,165",109,"3,848",217
2021,5,40,"13,714",424,531,215,"5,105","3,462",125,"3,590",262
2021,5,50,"8,757",696,631,467,"2,268","1,695",259,"2,352",389
2021,5,60,"8,326",915,735,715,"1,920","1,195",321,"2,020",505
2021,5,70,"3,494",503,368,286,719,428,207,740,243
2021,5,80,934,151,125,81,169,97,61,177,73
2021,5,90,74,9,5,10,11,12,7,14,6
2021,5,100,6,0,1,1,3,1,0,0,0
2021,6,총,"72,824","3,636","3,973","2,304","26,083","15,148","1,258","18,397","2,025"
2021,6,0,"10,289",87,261,46,"4,931","2,607",22,"2,273",62
2021,6,10,"6,290",145,245,67,"2,159","2,205",39,"1,358",72
2021,6,20,"6,853",373,550,218,"2,230","1,249",111,"1,929",193
2021,6,30,"13,889",338,521,203,"6,487","2,160",107,"3,855",218
2021,6,40,"13,832",418,535,214,"5,162","3,480",125,"3,633",265
2021,6,50,"8,748",690,623,459,"2,266","1,700",253,"2,365",392
2021,6,60,"8,412",922,739,720,"1,946","1,210",323,"2,047",505
2021,6,70,"3,484",500,365,285,718,429,207,740,240
2021,6,80,947,153,128,82,170,96,64,182,72
2021,6,90,74,10,5,9,11,11,7,15,6
2021,6,100,6,0,1,1,3,1,0,0,0
2021,7,총,"73,100","3,625","4,004","2,295","26,173","15,146","1,259","18,554","2,044"
2021,7,0,"10,268",87,261,45,"4,923","2,594",20,"2,272",66
2021,7,10,"6,346",143,253,67,"2,172","2,220",41,"1,379",71
2021,7,20,"6,905",369,562,216,"2,251","1,249",111,"1,948",199
2021,7,30,"13,853",338,519,204,"6,462","2,125",109,"3,876",220
2021,7,40,"13,955",414,549,212,"5,230","3,480",123,"3,682",265
2021,7,50,"8,761",679,616,452,"2,275","1,713",253,"2,374",399
2021,7,60,"8,470",929,746,719,"1,958","1,220",322,"2,072",504
2021,7,70,"3,499",500,363,289,719,432,208,748,240
2021,7,80,959,156,128,81,168,100,64,188,74
2021,7,90,78,10,6,9,12,12,8,15,6
2021,7,100,6,0,1,1,3,1,0,0,0
2021,8,총,"73,380","3,609","4,020","2,289","26,311","15,165","1,257","18,692","2,037"
2021,8,0,"10,297",86,261,46,"4,951","2,588",20,"2,280",65
2021,8,10,"6,398",141,255,66,"2,192","2,244",41,"1,390",69
2021,8,20,"6,931",368,568,214,"2,267","1,243",107,"1,971",193
2021,8,30,"13,818",336,515,206,"6,436","2,120",110,"3,877",218
2021,8,40,"14,043",408,561,211,"5,308","3,468",122,"3,703",262
2021,8,50,"8,810",673,614,447,"2,287","1,724",252,"2,413",400
2021,8,60,"8,512",926,745,713,"1,964","1,226",327,"2,098",513
2021,8,70,"3,527",508,365,297,722,439,206,757,233
2021,8,80,957,152,129,79,167,100,65,187,78
2021,8,90,81,11,6,9,14,12,7,16,6
2021,8,100,6,0,1,1,3,1,0,0,0
2021,9,총,"73,623","3,603","4,015","2,281","26,452","15,161","1,252","18,811","2,048"
2021,9,0,"10,300",86,258,44,"4,970","2,577",24,"2,275",66
2021,9,10,"6,451",142,253,66,"2,226","2,254",38,"1,405",67
2021,9,20,"6,939",356,566,214,"2,266","1,236",104,"2,007",190
2021,9,30,"13,811",337,515,206,"6,431","2,102",117,"3,883",220
2021,9,40,"14,141",411,562,211,"5,352","3,478",121,"3,747",259
2021,9,50,"8,847",676,616,439,"2,313","1,728",245,"2,420",410
2021,9,60,"8,536",923,744,714,"1,986","1,229",324,"2,106",510
2021,9,70,"3,542",507,366,299,719,443,207,760,241
2021,9,80,965,154,128,78,171,99,65,191,79
2021,9,90,85,11,6,9,15,14,7,17,6
2021,9,100,6,0,1,1,3,1,0,0,0
