년도,월,나이,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동,경기도 여주시 세종대왕면
2020,6,20,"6,634",925,260,242,151,307,380,226,205,114,"1,497","1,266","1,061",
2020,6,30,"6,138","1,041",164,207,108,279,265,164,168,104,"1,320","1,033","1,285",
2020,6,40,"8,346","1,215",231,293,158,419,389,334,271,150,"1,793","1,551","1,542",
2020,6,50,"10,575","1,508",471,538,318,662,739,564,481,227,"1,964","1,724","1,379",
2020,6,60,"9,051","1,249",516,593,378,668,845,511,421,298,"1,565","1,118",889,
2020,6,70,"4,790",648,344,340,223,424,454,282,275,177,709,502,412,
2020,6,80,"1,913",258,135,156,84,156,241,141,111,77,248,169,137,
2020,6,90,169,25,10,15,7,17,27,17,9,7,21,10,4,
2020,6,100,17,5,1,0,0,1,2,1,1,1,4,0,1,
2020,7,총,"56,600","8,090","2,393","2,636","1,553","3,293","3,700","2,542","2,145","1,285","10,999","9,304","8,660",
2020,7,0,"3,915",532,104,96,55,126,123,77,68,52,837,752,"1,093",
2020,7,10,"5,013",681,153,155,63,231,237,225,140,71,"1,045","1,176",836,
2020,7,20,"6,638",934,261,240,150,309,377,224,204,114,"1,505","1,268","1,052",
2020,7,30,"6,132","1,041",163,208,109,279,265,164,163,101,"1,314","1,034","1,291",
2020,7,40,"8,313","1,207",233,289,159,418,384,331,272,150,"1,782","1,542","1,546",
2020,7,50,"10,564","1,501",471,531,321,658,739,568,482,234,"1,952","1,727","1,380",
2020,7,60,"9,107","1,255",522,602,376,675,850,512,419,301,"1,569","1,122",904,
2020,7,70,"4,807",648,343,347,225,422,456,279,276,177,720,501,413,
2020,7,80,"1,928",262,131,155,88,159,240,144,110,77,251,171,140,
2020,7,90,167,25,11,13,7,15,27,17,10,7,20,11,4,
2020,7,100,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020,8,총,"56,651","8,091","2,390","2,652","1,551","3,299","3,698","2,546","2,149","1,286","11,011","9,304","8,674",
2020,8,0,"3,911",519,108,97,54,128,123,81,70,52,836,751,"1,092",
2020,8,10,"4,979",685,145,155,65,230,234,222,136,68,"1,042","1,158",839,
2020,8,20,"6,640",932,264,241,148,308,376,222,206,115,"1,508","1,269","1,051",
2020,8,30,"6,127","1,038",162,210,105,282,262,164,164,98,"1,321","1,036","1,285",
2020,8,40,"8,313","1,205",232,293,160,420,380,335,268,153,"1,780","1,543","1,544",
2020,8,50,"10,565","1,515",468,530,322,644,735,570,485,233,"1,953","1,734","1,376",
2020,8,60,"9,184","1,255",525,612,377,687,862,516,419,304,"1,573","1,130",924,
2020,8,70,"4,805",651,338,345,226,420,456,276,281,178,720,500,414,
2020,8,80,"1,940",260,136,155,87,165,240,141,110,77,255,172,142,
2020,8,90,171,27,11,14,7,14,28,18,9,7,19,11,6,
2020,8,100,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020,9,총,"56,689","8,085","2,409","2,648","1,559","3,290","3,710","2,549","2,155","1,288","11,012","9,315","8,669",
2020,9,0,"3,891",514,107,94,53,126,126,82,71,53,833,750,"1,082",
2020,9,10,"4,965",676,148,157,69,225,237,219,134,66,"1,040","1,153",841,
2020,9,20,"6,649",938,273,236,149,308,380,220,204,114,"1,510","1,274","1,043",
2020,9,30,"6,114","1,034",168,214,106,282,262,169,164,99,"1,319","1,029","1,268",
2020,9,40,"8,277","1,198",229,290,157,413,377,328,267,154,"1,772","1,546","1,546",
2020,9,50,"10,572","1,507",468,525,323,636,733,574,486,237,"1,957","1,742","1,384",
2020,9,60,"9,262","1,271",530,616,383,700,865,520,427,302,"1,574","1,139",935,
2020,9,70,"4,816",657,335,348,226,418,459,274,281,178,722,498,420,
2020,9,80,"1,945",257,138,152,86,167,241,143,108,77,260,173,143,
2020,9,90,182,29,12,16,7,14,28,19,12,7,21,11,6,
2020,9,100,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020,10,총,"56,710","8,077","2,410","2,660","1,566","3,285","3,707","2,544","2,154","1,286","11,029","9,325","8,667",
2020,10,0,"3,852",508,106,94,53,123,126,80,71,53,827,744,"1,067",
2020,10,10,"4,963",677,148,156,71,225,234,218,134,65,"1,046","1,151",838,
2020,10,20,"6,662",934,272,236,150,306,382,222,203,115,"1,519","1,275","1,048",
2020,10,30,"6,079","1,028",165,210,107,282,260,168,162,96,"1,308","1,035","1,258",
2020,10,40,"8,299","1,206",233,295,159,406,376,325,264,156,"1,780","1,549","1,550",
2020,10,50,"10,557","1,499",465,530,319,635,732,569,487,237,"1,960","1,737","1,387",
2020,10,60,"9,328","1,278",533,620,389,710,864,522,432,301,"1,580","1,152",947,
2020,10,70,"4,818",654,335,353,225,414,459,276,279,178,726,496,423,
2020,10,80,"1,951",260,140,151,86,168,244,144,109,77,258,174,140,
2020,10,90,185,29,12,15,7,15,28,19,12,7,21,12,8,
2020,10,100,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020,11,총,"56,728","8,078","2,411","2,671","1,560","3,287","3,695","2,549","2,150","1,283","11,004","9,331","8,709",
2020,11,0,"3,824",505,103,95,50,121,121,79,71,52,820,739,"1,068",
2020,11,10,"4,964",676,150,164,68,227,236,215,134,68,"1,039","1,147",840,
2020,11,20,"6,664",943,271,230,148,306,385,223,204,115,"1,514","1,277","1,048",
2020,11,30,"6,061","1,017",163,210,104,278,260,173,160,98,"1,295","1,034","1,269",
2020,11,40,"8,288","1,195",233,302,160,413,374,323,261,154,"1,777","1,554","1,542",
2020,11,50,"10,542","1,510",469,528,319,626,724,571,480,233,"1,943","1,732","1,407",
2020,11,60,"9,400","1,284",536,618,395,718,865,529,441,300,"1,591","1,166",957,
2020,11,70,"4,831",653,335,357,225,417,454,269,279,177,744,496,425,
2020,11,80,"1,954",262,138,152,84,165,246,148,108,76,257,174,144,
2020,11,90,184,29,12,15,7,15,28,18,11,9,20,12,8,
2020,11,100,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020,12,총,"56,838","8,060","2,412","2,674","1,547","3,280","3,696","2,532","2,170","1,287","10,934","9,289","8,957",
2020,12,0,"3,813",499,101,97,45,123,119,80,72,52,807,735,"1,083",
2020,12,10,"4,932",677,152,160,66,225,230,199,138,66,"1,032","1,119",868,
2020,12,20,"6,682",938,265,235,148,309,388,223,206,116,"1,491","1,271","1,092",
2020,12,30,"6,086","1,013",166,208,108,270,258,174,161,101,"1,280","1,033","1,314",
2020,12,40,"8,267","1,195",231,296,153,412,376,314,258,151,"1,770","1,539","1,572",
2020,12,50,"10,560","1,502",472,524,319,625,721,570,483,238,"1,937","1,722","1,447",
2020,12,60,"9,479","1,290",537,627,390,721,871,536,451,296,"1,594","1,179",987,
2020,12,70,"4,845",652,338,359,226,413,457,267,280,178,736,502,437,
2020,12,80,"1,970",260,137,153,85,166,245,150,109,79,261,177,148,
2020,12,90,188,30,12,15,7,15,29,18,11,9,22,12,8,
2020,12,100,16,4,1,0,0,1,2,1,1,1,4,0,1,
2021,1,총,"56,897","8,046","2,403","2,667","1,556","3,268","3,688","2,535","2,166","1,286","10,934","9,279","9,069",
2021,1,0,"3,788",493,100,95,44,125,115,81,73,53,799,727,"1,083",
2021,1,10,"4,913",669,147,159,65,223,231,203,137,67,"1,013","1,112",887,
2021,1,20,"6,707",931,265,234,152,308,381,222,207,113,"1,508","1,277","1,109",
2021,1,30,"6,062","1,013",163,209,104,259,257,173,156,102,"1,272","1,031","1,323",
2021,1,40,"8,268","1,191",230,287,154,412,370,311,258,150,"1,780","1,532","1,593",
2021,1,50,"10,569","1,511",467,522,318,624,725,574,479,239,"1,931","1,714","1,465",
2021,1,60,"9,531","1,289",542,633,396,719,876,536,447,297,"1,610","1,184","1,002",
2021,1,70,"4,874",655,341,361,230,412,459,269,285,176,730,509,447,
2021,1,80,"1,973",257,133,152,86,169,241,148,112,79,264,181,151,
2021,1,90,196,33,14,15,7,16,31,17,11,9,23,12,8,
2021,1,100,16,4,1,0,0,1,2,1,1,1,4,0,1,
2021,2,총,"56,938","8,046","2,411","2,666","1,550","3,275","3,655","2,557","2,179","1,281","10,908","9,280","9,130",
2021,2,0,"3,765",492,107,93,42,127,106,84,73,56,782,717,"1,086",
2021,2,10,"4,901",656,142,161,62,225,232,206,140,67,"1,018","1,102",890,
2021,2,20,"6,701",930,264,229,151,314,377,227,205,112,"1,492","1,283","1,117",
2021,2,30,"6,038","1,014",162,209,101,254,256,170,156,100,"1,265","1,032","1,319",
2021,2,40,"8,260","1,192",227,282,152,411,368,305,257,151,"1,770","1,532","1,613",
2021,2,50,"10,563","1,503",471,525,316,619,707,584,484,235,"1,934","1,714","1,471",
2021,2,60,"9,620","1,302",546,638,401,726,872,542,453,296,"1,621","1,197","1,026",
2021,2,70,"4,877",658,341,360,229,413,456,274,285,173,731,508,449,
2021,2,80,"1,997",262,136,153,89,168,248,146,113,81,268,183,150,
2021,2,90,199,32,14,16,7,17,31,18,12,9,23,12,8,
2021,2,100,17,5,1,0,0,1,2,1,1,1,4,0,1,
2021,3,총,"56,842","8,015","2,423","2,665","1,551","3,262","3,635","2,541","2,179","1,269","10,848","9,288","9,166",
2021,3,0,"3,754",490,110,93,45,126,104,87,74,53,772,715,"1,085",
2021,3,10,"4,874",648,140,157,64,222,231,201,139,67,"1,006","1,097",902,
2021,3,20,"6,683",932,264,232,149,308,368,229,204,105,"1,497","1,292","1,103",
2021,3,30,"6,001",998,162,209,101,250,257,164,156,100,"1,255","1,020","1,329",
2021,3,40,"8,217","1,188",228,279,148,412,368,301,255,146,"1,752","1,517","1,623",
2021,3,50,"10,518","1,498",470,513,312,616,694,576,486,231,"1,919","1,724","1,479",
2021,3,60,"9,718","1,316",556,648,406,735,882,543,453,302,"1,632","1,209","1,036",
2021,3,70,"4,886",656,344,364,231,407,455,274,286,174,728,517,450,
2021,3,80,"1,991",260,134,153,88,168,245,149,114,82,264,184,150,
2021,3,90,193,26,14,17,7,17,31,17,12,8,22,13,9,
2021,3,100,7,3,1,0,0,1,0,0,0,1,1,0,0,
2021,4,총,"56,882","8,026","2,428","2,668","1,537","3,264","3,652","2,540","2,179","1,274","10,828","9,282","9,204",
2021,4,0,"3,735",490,110,92,44,129,102,83,72,53,769,708,"1,083",
2021,4,10,"4,860",651,139,156,61,213,235,198,140,68,"1,001","1,088",910,
2021,4,20,"6,671",921,264,231,149,310,366,231,203,102,"1,490","1,297","1,107",
2021,4,30,"5,995","1,005",160,210,97,253,259,162,154,102,"1,240","1,024","1,329",
2021,4,40,"8,203","1,186",228,279,147,411,372,297,252,147,"1,751","1,501","1,632",
2021,4,50,"10,515","1,495",465,511,313,609,691,572,491,226,"1,920","1,735","1,487",
2021,4,60,"9,800","1,326",564,656,402,743,892,552,457,311,"1,641","1,213","1,043",
2021,4,70,"4,885",660,348,361,228,407,458,279,285,173,720,515,451,
2021,4,80,"2,016",262,134,154,90,171,246,150,113,83,273,188,152,
2021,4,90,195,27,15,18,6,17,31,16,12,8,22,13,10,
2021,4,100,7,3,1,0,0,1,0,0,0,1,1,0,0,
2021,5,총,"56,898","8,016","2,440","2,661","1,553","3,246","3,645","2,535","2,173","1,266","10,837","9,302","9,224",
2021,5,0,"3,707",480,111,94,45,128,101,83,71,52,765,707,"1,070",
2021,5,10,"4,859",659,139,152,62,213,233,195,137,65,999,"1,088",917,
2021,5,20,"6,654",923,261,225,153,303,367,231,200,100,"1,485","1,302","1,104",
2021,5,30,"5,993",999,163,208,98,253,258,159,152,101,"1,238","1,027","1,337",
2021,5,40,"8,182","1,176",230,279,149,405,369,297,253,147,"1,740","1,506","1,631",
2021,5,50,"10,526","1,505",462,509,310,607,693,570,487,223,"1,933","1,735","1,492",
2021,5,60,"9,862","1,324",572,658,409,740,896,555,466,314,"1,655","1,217","1,056",
2021,5,70,"4,884",655,351,367,230,404,451,279,283,173,722,516,453,
2021,5,80,"2,028",265,134,151,91,175,244,150,114,83,276,191,154,
2021,5,90,196,27,16,18,6,17,33,16,10,7,23,13,10,
2021,5,100,7,3,1,0,0,1,0,0,0,1,1,0,0,
2021,6,총,"57,050","8,007","2,439","2,668","1,554","3,243","3,654","2,537","2,189","1,334","10,841","9,314","9,270",
2021,6,0,"3,691",472,114,96,46,127,100,80,67,52,764,701,"1,072",
2021,6,10,"4,910",654,139,146,63,213,233,192,138,110,"1,001","1,095",926,
2021,6,20,"6,683",917,259,229,153,301,378,234,201,120,"1,487","1,303","1,101",
2021,6,30,"5,970",985,160,209,97,248,252,160,156,103,"1,235","1,023","1,342",
2021,6,40,"8,191","1,176",228,281,150,409,367,297,253,143,"1,739","1,502","1,646",
2021,6,50,"10,498","1,510",460,504,298,605,684,563,493,226,"1,924","1,741","1,490",
2021,6,60,"9,961","1,335",575,665,422,747,909,563,470,318,"1,664","1,226","1,067",
2021,6,70,"4,892",658,349,367,227,400,456,280,281,170,726,519,459,
2021,6,80,"2,049",270,138,153,91,176,240,151,120,84,278,191,157,
2021,6,90,198,27,16,18,7,16,35,17,10,7,22,13,10,
2021,6,100,7,3,1,0,0,1,0,0,0,1,1,0,0,
2021,7,총,"57,076","7,978","2,457","2,685","1,552","3,244","3,650","2,535","2,188","1,349","10,836","9,320","9,282",
2021,7,0,"3,656",462,112,96,47,123,98,75,69,52,755,702,"1,065",
2021,7,10,"4,927",646,141,150,64,215,235,192,134,122,995,"1,100",933,
2021,7,20,"6,669",920,266,232,147,301,372,232,202,121,"1,485","1,289","1,102",
2021,7,30,"5,964",977,157,208,99,255,247,162,156,104,"1,226","1,024","1,349",
2021,7,40,"8,188","1,172",234,282,146,409,371,296,250,142,"1,745","1,500","1,641",
2021,7,50,"10,486","1,497",460,506,299,602,681,562,494,220,"1,927","1,748","1,490",
2021,7,60,"10,013","1,341",582,672,422,751,909,566,473,326,"1,671","1,226","1,074",
2021,7,70,"4,900",660,349,367,231,398,457,282,277,170,730,518,461,
2021,7,80,"2,065",271,137,154,90,174,246,151,122,84,279,200,157,
2021,7,90,200,29,18,18,7,15,34,17,11,7,22,13,9,
2021,7,100,8,3,1,0,0,1,0,0,0,1,1,0,1,
2021,8,총,"57,131","7,983","2,456","2,687","1,554","3,243","3,657","2,541","2,195","1,328","10,865","9,336","9,286",
2021,8,0,"3,644",455,112,100,46,124,96,76,68,51,756,704,"1,056",
2021,8,10,"4,907",645,139,147,66,216,235,190,133,111,983,"1,103",939,
2021,8,20,"6,650",917,266,226,143,298,373,231,201,120,"1,488","1,291","1,096",
2021,8,30,"5,944",969,151,206,103,254,254,161,157,99,"1,221","1,027","1,342",
2021,8,40,"8,185","1,180",234,283,143,408,365,295,250,140,"1,756","1,486","1,645",
2021,8,50,"10,525","1,492",460,510,303,601,683,571,493,221,"1,945","1,754","1,492",
2021,8,60,"10,071","1,360",590,674,421,751,916,568,480,326,"1,673","1,229","1,083",
2021,8,70,"4,903",657,346,365,230,397,455,280,278,169,736,527,463,
2021,8,80,"2,087",273,136,158,91,177,245,153,124,83,284,203,160,
2021,8,90,207,32,21,18,8,16,35,16,11,7,22,12,9,
2021,8,100,8,3,1,0,0,1,0,0,0,1,1,0,1,
2021,9,총,"57,058","7,974","2,461","2,665","1,543","3,242","3,649","2,544","2,192","1,286","10,871","9,334","9,297",
2021,9,0,"3,621",452,112,98,48,126,98,77,68,50,760,693,"1,039",
2021,9,10,"4,859",641,138,146,61,215,231,187,131,84,984,"1,100",941,
2021,9,20,"6,606",920,262,215,143,292,369,235,197,115,"1,476","1,287","1,095",
2021,9,30,"5,909",959,150,203,102,257,248,158,158,97,"1,218","1,016","1,343",
2021,9,40,"8,181","1,176",238,278,141,401,370,295,248,135,"1,757","1,490","1,652",
2021,9,50,"10,534","1,495",466,499,300,602,676,569,490,215,"1,953","1,760","1,509",
2021,9,60,"10,135","1,363",590,678,423,754,923,574,486,330,"1,682","1,242","1,090",
2021,9,70,"4,891",655,346,369,226,400,451,280,277,169,732,530,456,
2021,9,80,"2,103",277,137,161,91,178,247,154,125,83,287,203,160,
2021,9,90,211,33,21,18,8,16,36,15,12,7,21,13,11,
2021,9,100,8,3,1,0,0,1,0,0,0,1,1,0,1,
2021,10,총,"57,122","7,974","2,468","2,657","1,540","3,251","3,650","2,572","2,211","1,276","10,871","9,336","9,316",
2021,10,0,"3,593",451,111,92,46,127,96,76,69,51,757,682,"1,035",
2021,10,10,"4,882",639,139,145,60,219,235,207,129,75,984,"1,100",950,
2021,10,20,"6,578",916,264,213,139,292,367,235,202,108,"1,464","1,288","1,090",
2021,10,30,"5,899",954,151,203,101,257,250,155,157,96,"1,216","1,015","1,344",
2021,10,40,"8,179","1,174",241,278,137,398,368,304,256,137,"1,750","1,485","1,651",
2021,10,50,"10,536","1,500",463,498,293,598,673,568,489,213,"1,958","1,775","1,508",
2021,10,60,"10,218","1,368",593,676,436,765,927,577,491,335,"1,700","1,246","1,104",
2021,10,70,"4,898",657,348,369,227,398,450,280,280,171,731,524,463,
2021,10,80,"2,121",280,136,164,92,181,249,156,127,82,288,207,159,
2021,10,90,210,32,21,19,9,15,35,14,11,7,22,14,11,
2021,10,100,8,3,1,0,0,1,0,0,0,1,1,0,1,
2021,11,총,"57,044","7,969","2,468","2,663","1,533","3,233","3,630","2,570","2,213","1,269","10,869","9,332","9,295",
2021,11,0,"3,557",447,108,94,44,125,94,79,69,51,752,670,"1,024",
2021,11,10,"4,861",641,139,144,57,215,234,205,130,72,987,"1,089",948,
2021,11,20,"6,554",900,264,213,133,289,372,238,200,102,"1,440","1,306","1,097",
2021,11,30,"5,872",961,150,201,99,255,241,156,160,97,"1,202","1,017","1,333",
2021,11,40,"8,164","1,171",236,276,138,396,368,303,257,138,"1,754","1,481","1,646",
2021,11,50,"10,533","1,507",462,503,294,593,660,565,489,213,"1,963","1,776","1,508",
2021,11,60,"10,266","1,368",601,679,436,771,927,579,490,333,"1,725","1,254","1,103",
2021,11,70,"4,898",662,349,367,224,394,453,272,282,173,738,522,462,
2021,11,80,"2,127",279,137,167,99,180,247,159,125,82,287,203,162,
2021,11,90,206,31,21,19,9,14,34,14,11,7,21,14,11,
2021,11,100,6,2,1,0,0,1,0,0,0,1,0,0,1,
2021,12,총,"57,022","7,933","2,469","2,672","1,527",0,"3,628","2,560","2,215","1,265","10,882","9,342","9,295","3,234"
2021,12,0,"3,529",436,110,93,45,0,92,76,70,51,748,670,"1,015",123
2021,12,10,"4,848",628,134,143,58,0,231,202,129,68,990,"1,094",955,216
2021,12,20,"6,537",898,264,221,131,0,366,236,199,100,"1,438","1,298","1,096",290
2021,12,30,"5,877",963,157,198,101,0,243,157,160,97,"1,197","1,018","1,333",253
2021,12,40,"8,133","1,161",236,280,138,0,364,297,257,137,"1,754","1,474","1,639",396
2021,12,50,"10,557","1,500",461,504,292,0,663,565,487,214,"1,970","1,788","1,515",598
2021,12,60,"10,277","1,374",600,677,434,0,931,580,491,333,"1,729","1,255","1,106",767
2021,12,70,"4,900",654,348,370,221,0,452,272,285,172,745,522,466,393
2021,12,80,"2,147",286,138,167,98,0,251,161,125,84,289,209,157,182
2021,12,90,212,31,21,19,9,0,35,14,12,8,22,14,12,15
2021,12,100,5,2,0,0,0,0,0,0,0,1,0,0,1,1
