년도,월,나이,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020,3,80,"1,041",324,60,50,89,89,99,73,31,80,73,73
2020,3,90,116,38,7,7,11,12,3,4,0,9,14,11
2020,3,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,4,총,"16,465","7,432",984,781,"1,089",821,"1,203",980,413,918,886,958
2020,4,0,793,520,20,44,23,20,33,28,19,31,22,33
2020,4,10,"1,166",737,42,31,56,32,85,47,13,37,42,44
2020,4,20,"1,421",795,74,78,56,52,97,64,13,61,62,69
2020,4,30,"1,287",683,57,103,56,46,121,59,13,38,55,56
2020,4,40,"1,911","1,012",106,100,110,68,126,105,36,93,74,81
2020,4,50,"3,335","1,445",221,146,224,158,223,206,90,199,213,210
2020,4,60,"3,367","1,203",254,128,268,192,261,253,128,227,211,242
2020,4,70,"2,027",675,141,94,197,152,155,140,70,142,122,139
2020,4,80,"1,043",325,61,51,88,89,99,74,31,81,71,73
2020,4,90,114,37,7,6,11,12,3,4,0,9,14,11
2020,4,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,5,총,"16,454","7,439",985,771,"1,084",819,"1,204",987,411,920,879,955
2020,5,0,799,528,19,42,23,21,34,31,19,33,20,29
2020,5,10,"1,154",726,43,31,55,31,83,49,13,36,42,45
2020,5,20,"1,423",799,72,75,55,52,99,62,13,64,60,72
2020,5,30,"1,278",682,57,97,55,47,121,61,13,40,52,53
2020,5,40,"1,905","1,015",106,97,110,67,125,107,35,88,74,81
2020,5,50,"3,326","1,435",223,150,220,157,219,207,88,201,214,212
2020,5,60,"3,372","1,216",256,127,269,190,260,252,129,226,208,239
2020,5,70,"2,027",674,139,94,197,153,160,138,69,142,122,139
2020,5,80,"1,054",328,62,52,89,89,99,76,32,81,72,74
2020,5,90,115,36,7,6,11,12,4,4,0,9,15,11
2020,5,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,6,총,"16,406","7,419",980,771,"1,079",817,"1,203",984,410,912,881,950
2020,6,0,791,526,19,41,24,21,34,29,16,33,19,29
2020,6,10,"1,148",722,43,31,55,32,81,48,14,34,43,45
2020,6,20,"1,421",795,70,75,54,52,104,63,13,63,61,71
2020,6,30,"1,266",666,58,100,54,47,119,65,13,39,52,53
2020,6,40,"1,900","1,023",103,97,111,67,125,100,34,88,72,80
2020,6,50,"3,299","1,424",221,148,215,153,219,206,89,199,212,213
2020,6,60,"3,386","1,227",256,126,271,193,260,255,126,225,211,236
2020,6,70,"2,024",675,140,95,194,148,160,136,73,143,121,139
2020,6,80,"1,061",329,63,52,91,92,97,79,32,79,74,73
2020,6,90,109,32,6,6,10,12,4,3,0,9,16,11
2020,6,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,7,총,"16,373","7,407",979,762,"1,076",822,"1,190",980,414,908,882,953
2020,7,0,784,522,20,39,23,21,34,28,16,33,18,30
2020,7,10,"1,145",722,42,32,56,32,78,49,14,34,41,45
2020,7,20,"1,402",788,69,72,52,53,101,62,12,61,62,70
2020,7,30,"1,253",662,57,98,54,47,116,62,14,38,51,54
2020,7,40,"1,895","1,023",104,95,109,68,125,101,35,86,69,80
2020,7,50,"3,289","1,424",217,148,213,156,216,202,88,198,215,212
2020,7,60,"3,402","1,230",258,127,273,192,257,257,129,226,212,241
2020,7,70,"2,039",681,140,94,195,149,162,136,74,144,124,140
2020,7,80,"1,053",324,65,50,90,92,97,80,32,79,74,70
2020,7,90,110,31,6,7,11,12,4,3,0,9,16,11
2020,7,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,8,총,"16,370","7,409",979,767,"1,080",824,"1,184",980,411,902,885,949
2020,8,0,780,526,21,36,23,21,32,27,16,31,17,30
2020,8,10,"1,145",722,41,34,55,33,78,48,13,35,41,45
2020,8,20,"1,414",793,68,74,53,52,105,62,12,61,64,70
2020,8,30,"1,249",665,57,100,55,45,113,62,12,35,51,54
2020,8,40,"1,888","1,019",106,95,107,70,121,99,35,85,70,81
2020,8,50,"3,285","1,421",216,151,216,158,217,201,86,200,213,206
2020,8,60,"3,409","1,232",253,126,275,194,256,263,129,225,212,244
2020,8,70,"2,027",672,142,93,189,149,162,136,75,142,129,138
2020,8,80,"1,064",330,68,51,96,90,97,78,33,79,72,70
2020,8,90,108,29,6,7,11,12,3,4,0,9,16,11
2020,8,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,9,총,"16,359","7,424",979,771,"1,073",813,"1,181",976,410,895,886,951
2020,9,0,764,519,19,37,23,17,30,27,14,31,17,30
2020,9,10,"1,142",722,41,35,51,31,81,47,14,34,42,44
2020,9,20,"1,413",803,70,72,51,51,104,61,12,59,64,66
2020,9,30,"1,242",665,58,97,57,45,108,61,12,34,51,54
2020,9,40,"1,896","1,026",107,96,105,71,120,98,35,86,69,83
2020,9,50,"3,266","1,416",212,150,213,155,221,195,86,197,212,209
2020,9,60,"3,439","1,240",256,131,276,196,254,270,130,227,215,244
2020,9,70,"2,021",671,141,93,187,148,161,136,74,142,129,139
2020,9,80,"1,067",331,68,53,98,89,99,78,33,76,71,71
2020,9,90,108,31,6,7,12,10,3,3,0,9,16,11
2020,9,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,10,총,"16,328","7,425",989,765,"1,072",811,"1,177",970,407,888,875,949
2020,10,0,761,514,20,38,25,17,29,27,14,31,18,28
2020,10,10,"1,134",719,45,33,52,31,78,46,14,33,39,44
2020,10,20,"1,401",797,73,69,51,49,105,57,13,58,62,67
2020,10,30,"1,228",660,59,96,55,45,105,61,12,33,47,55
2020,10,40,"1,902","1,040",107,94,101,69,118,97,35,87,71,83
2020,10,50,"3,263","1,414",213,148,214,158,223,192,86,196,211,208
2020,10,60,"3,438","1,253",255,132,276,194,254,271,127,222,212,242
2020,10,70,"2,027",668,142,95,189,147,163,137,74,144,127,141
2020,10,80,"1,066",329,68,53,97,91,99,79,32,76,72,70
2020,10,90,107,31,6,7,12,10,3,3,0,8,16,11
2020,10,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,11,총,"16,326","7,432",993,769,"1,058",809,"1,180",966,407,882,877,953
2020,11,0,749,509,20,38,25,16,29,27,14,28,17,26
2020,11,10,"1,132",720,44,34,49,30,80,44,14,35,40,42
2020,11,20,"1,400",796,73,71,49,50,100,58,14,58,64,67
2020,11,30,"1,213",653,58,95,51,45,108,62,11,30,45,55
2020,11,40,"1,891","1,042",107,93,97,67,118,95,35,87,69,81
2020,11,50,"3,280","1,427",216,150,213,159,222,192,87,193,208,213
2020,11,60,"3,455","1,248",258,133,280,195,258,270,124,224,218,247
2020,11,70,"2,040",673,142,94,189,150,166,138,76,144,127,141
2020,11,80,"1,061",334,67,54,94,88,96,77,32,75,74,70
2020,11,90,104,30,7,7,11,9,3,3,0,8,15,11
2020,11,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,12,총,"16,292","7,431",989,766,"1,051",811,"1,171",968,408,877,875,945
2020,12,0,749,509,18,38,28,15,28,27,13,29,18,26
2020,12,10,"1,129",720,44,34,47,32,76,44,15,35,40,42
2020,12,20,"1,390",790,75,70,49,49,98,60,14,55,64,66
2020,12,30,"1,209",651,58,94,53,45,108,61,12,29,43,55
2020,12,40,"1,874","1,041",105,91,92,65,119,95,35,85,66,80
2020,12,50,"3,238","1,424",214,150,208,160,216,179,86,192,202,207
2020,12,60,"3,496","1,258",255,132,281,196,264,285,124,225,228,248
2020,12,70,"2,042",676,145,95,188,152,161,137,78,146,123,141
2020,12,80,"1,063",333,67,55,94,88,98,77,31,74,76,70
2020,12,90,101,29,7,7,11,9,3,3,0,7,15,10
2020,12,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,1,총,"16,271","7,415",982,766,"1,045",808,"1,166",973,405,879,880,952
2021,1,0,738,501,17,40,27,15,28,26,13,29,18,24
2021,1,10,"1,120",717,42,32,48,31,71,46,15,34,40,44
2021,1,20,"1,390",794,73,72,47,49,93,60,14,55,66,67
2021,1,30,"1,199",650,58,90,52,42,110,62,12,28,41,54
2021,1,40,"1,858","1,032",98,90,93,66,120,91,34,86,68,80
2021,1,50,"3,209","1,414",216,153,206,153,211,178,84,189,199,206
2021,1,60,"3,536","1,265",257,132,276,202,271,290,124,231,235,253
2021,1,70,"2,050",678,147,95,188,151,161,140,77,147,122,144
2021,1,80,"1,066",335,66,55,96,90,98,77,32,71,76,70
2021,1,90,104,29,7,7,12,9,3,3,0,9,15,10
2021,1,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,2,총,"16,281","7,420",993,771,"1,043",808,"1,164",969,403,875,884,951
2021,2,0,731,495,17,42,27,15,28,26,13,27,18,23
2021,2,10,"1,122",715,48,32,47,31,71,46,13,33,40,46
2021,2,20,"1,380",787,78,72,45,49,91,60,14,54,65,65
2021,2,30,"1,197",651,57,92,53,40,110,59,11,27,44,53
2021,2,40,"1,849","1,033",96,88,94,67,119,85,34,87,67,79
2021,2,50,"3,212","1,416",216,156,204,153,211,182,85,188,196,205
2021,2,60,"3,567","1,271",261,134,281,202,273,289,125,235,238,258
2021,2,70,"2,054",686,147,94,184,152,159,143,77,146,124,142
2021,2,80,"1,063",336,64,54,95,89,99,77,30,71,78,70
2021,2,90,105,30,8,7,13,10,3,2,1,7,14,10
2021,2,100,1,0,1,0,0,0,0,0,0,0,0,0
2021,3,총,"16,235","7,413",992,777,"1,047",805,"1,151",960,400,869,874,947
2021,3,0,731,490,18,44,29,15,29,26,13,26,19,22
2021,3,10,"1,117",712,48,33,49,31,65,45,13,32,42,47
2021,3,20,"1,374",785,78,72,44,47,89,61,13,54,66,65
2021,3,30,"1,188",655,56,89,49,40,108,60,11,27,43,50
2021,3,40,"1,829","1,022",97,91,96,67,116,82,35,81,65,77
2021,3,50,"3,191","1,416",214,154,203,152,211,179,82,186,192,202
2021,3,60,"3,593","1,278",265,139,285,203,272,287,126,240,238,260
2021,3,70,"2,046",688,146,94,183,149,161,141,77,144,121,142
2021,3,80,"1,063",336,62,54,97,92,97,77,29,73,75,71
2021,3,90,103,31,8,7,12,9,3,2,1,6,13,11
2021,3,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,4,총,"16,246","7,430",990,784,"1,036",805,"1,151",954,403,873,870,950
2021,4,0,726,493,16,43,26,14,30,26,13,25,19,21
2021,4,10,"1,113",707,47,34,49,31,65,43,13,34,42,48
2021,4,20,"1,382",794,81,75,43,48,91,59,13,53,62,63
2021,4,30,"1,174",651,55,87,49,41,106,56,11,28,41,49
2021,4,40,"1,812","1,013",95,93,92,67,116,83,36,79,63,75
2021,4,50,"3,178","1,416",210,155,201,148,212,176,81,189,192,198
2021,4,60,"3,636","1,292",270,142,286,206,267,291,129,242,241,270
2021,4,70,"2,052",689,146,94,184,149,164,140,76,147,122,141
2021,4,80,"1,068",341,62,55,94,92,97,78,30,70,76,73
2021,4,90,105,34,8,6,12,9,3,2,1,6,12,12
2021,4,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,5,총,"16,236","7,420",987,786,"1,038",804,"1,155",956,404,874,865,947
2021,5,0,716,484,16,43,26,14,31,25,13,25,19,20
2021,5,10,"1,104",711,44,34,48,30,63,41,13,32,39,49
2021,5,20,"1,381",789,81,75,44,48,92,61,13,53,63,62
2021,5,30,"1,158",644,55,87,48,41,106,53,11,25,42,46
2021,5,40,"1,802","1,010",94,94,91,65,113,86,36,78,60,75
2021,5,50,"3,164","1,411",210,150,204,148,211,173,79,187,194,197
2021,5,60,"3,681","1,303",272,147,286,210,272,295,132,251,242,271
2021,5,70,"2,053",689,143,95,184,147,169,143,75,146,120,142
2021,5,80,"1,069",343,64,55,95,92,95,77,31,70,74,73
2021,5,90,108,36,8,6,12,9,3,2,1,7,12,12
2021,5,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,6,총,"16,188","7,401",985,786,"1,037",806,"1,156",955,404,870,855,933
2021,6,0,711,480,16,43,26,14,32,25,11,24,20,20
2021,6,10,"1,094",703,45,30,50,29,62,41,15,33,38,48
2021,6,20,"1,381",797,80,77,43,49,92,58,13,52,61,59
2021,6,30,"1,141",636,53,87,47,42,103,51,12,25,41,44
2021,6,40,"1,789","1,004",95,93,89,64,114,82,35,77,61,75
2021,6,50,"3,157","1,409",209,148,205,147,210,175,79,189,188,198
2021,6,60,"3,689","1,308",273,152,287,212,274,300,132,248,241,262
2021,6,70,"2,044",687,140,95,183,147,169,144,74,143,118,144
2021,6,80,"1,073",341,66,55,95,93,97,76,32,71,75,72
2021,6,90,109,36,8,6,12,9,3,3,1,8,12,11
2021,6,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,총,"16,170","7,389",982,786,"1,039",802,"1,159",953,403,868,854,935
2021,7,0,705,477,16,43,25,13,32,23,12,23,20,21
2021,7,10,"1,085",698,43,30,50,28,62,41,15,33,39,46
2021,7,20,"1,382",794,80,76,45,47,92,59,13,54,61,61
2021,7,30,"1,135",633,51,89,45,40,107,48,11,25,41,45
2021,7,40,"1,780","1,000",93,92,90,63,113,84,35,76,61,73
2021,7,50,"3,155","1,415",210,149,202,149,209,171,78,188,185,199
2021,7,60,"3,697","1,306",273,151,290,214,275,302,132,249,241,264
2021,7,70,"2,047",686,142,96,183,147,170,144,74,141,121,143
2021,7,80,"1,072",343,66,55,96,91,95,77,32,71,73,73
2021,7,90,112,37,8,5,13,10,4,4,1,8,12,10
2021,7,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,총,"16,126","7,383",974,781,"1,034",802,"1,154",950,400,867,852,929
2021,8,0,707,478,17,43,25,13,32,24,12,22,20,21
2021,8,10,"1,082",703,37,29,49,25,63,41,15,34,39,47
2021,8,20,"1,363",783,78,76,43,49,91,58,13,52,60,60
2021,8,30,"1,113",622,51,86,44,41,107,45,10,25,40,42
2021,8,40,"1,768",994,91,95,87,63,109,86,34,76,62,71
2021,8,50,"3,137","1,411",210,146,202,149,210,168,77,187,183,194
2021,8,60,"3,740","1,328",275,153,289,216,276,306,131,251,246,269
2021,8,70,"2,035",683,140,95,184,146,168,144,75,141,117,142
2021,8,80,"1,069",344,67,53,98,91,94,73,32,71,73,73
2021,8,90,112,37,8,5,13,9,4,5,1,8,12,10
2021,8,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,9,총,"16,050","7,346",966,781,"1,032",794,"1,155",949,400,862,844,921
2021,9,0,703,478,17,45,24,10,32,24,12,22,20,19
2021,9,10,"1,072",696,37,30,46,26,63,40,16,34,37,47
2021,9,20,"1,335",770,72,75,44,48,89,58,11,53,57,58
2021,9,30,"1,103",617,48,86,45,42,106,44,10,26,38,41
2021,9,40,"1,750",989,90,94,82,61,110,85,36,70,63,70
2021,9,50,"3,125","1,398",212,146,205,149,212,167,77,187,179,193
2021,9,60,"3,737","1,328",275,153,290,214,277,305,127,251,248,269
2021,9,70,"2,053",692,141,96,185,147,166,149,78,141,117,141
2021,9,80,"1,063",342,66,51,98,89,97,72,32,71,72,73
2021,9,90,109,36,8,5,13,8,3,5,1,7,13,10
2021,9,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,10,총,"16,027","7,328",961,780,"1,031",795,"1,156",950,402,862,844,918
2021,10,0,692,465,19,46,24,12,31,25,12,22,20,16
2021,10,10,"1,067",703,33,29,46,25,63,40,15,33,35,45
2021,10,20,"1,329",758,72,74,44,48,91,59,12,54,59,58
2021,10,30,"1,095",609,47,87,47,41,107,41,9,26,40,41
2021,10,40,"1,738",978,88,92,82,62,108,88,35,70,63,72
2021,10,50,"3,133","1,410",211,147,203,151,213,167,78,182,178,193
2021,10,60,"3,745","1,335",277,153,289,212,276,302,131,257,245,268
2021,10,70,"2,045",688,139,94,184,147,166,152,75,142,118,140
2021,10,80,"1,072",344,67,53,99,89,98,71,34,69,73,75
2021,10,90,111,38,8,5,13,8,3,5,1,7,13,10
2021,10,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,11,총,"16,032","7,331",962,781,"1,027",796,"1,161",949,401,863,842,919
2021,11,0,691,466,17,44,25,12,31,25,12,23,20,16
2021,11,10,"1,061",697,35,29,47,24,62,39,15,33,35,45
2021,11,20,"1,332",757,72,73,44,46,97,59,13,55,58,58
2021,11,30,"1,097",611,45,87,46,41,108,41,9,26,40,43
2021,11,40,"1,749",981,87,94,82,67,109,89,36,71,63,70
2021,11,50,"3,109","1,398",212,148,198,147,213,165,77,181,177,193
2021,11,60,"3,774","1,351",277,155,291,216,275,304,130,257,246,272
2021,11,70,"2,032",685,141,93,183,146,166,148,74,143,116,137
2021,11,80,"1,075",346,68,53,98,89,97,74,34,67,74,75
2021,11,90,112,39,8,5,13,8,3,5,1,7,13,10
2021,11,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,12,총,"16,074","7,346",971,772,"1,030",802,"1,176",951,401,864,843,918
2021,12,0,691,465,17,46,22,15,32,24,12,23,20,15
2021,12,10,"1,063",697,37,28,47,24,64,40,14,33,34,45
2021,12,20,"1,353",764,81,70,43,47,97,59,14,58,61,59
2021,12,30,"1,089",607,46,88,44,42,107,40,8,28,38,41
2021,12,40,"1,746",977,87,91,83,67,114,90,35,72,61,69
2021,12,50,"3,119","1,400",212,145,204,145,216,167,79,180,177,194
2021,12,60,"3,784","1,363",278,154,294,216,277,299,129,254,247,273
2021,12,70,"2,031",683,138,92,180,150,167,153,74,140,117,137
2021,12,80,"1,080",349,66,53,100,88,99,72,35,68,76,74
2021,12,90,118,41,9,5,13,8,3,7,1,8,12,11
2021,12,100,0,0,0,0,0,0,0,0,0,0,0,0
