년도,월,나이,기장군,기장읍,장안읍,정관읍,일광면,철마면
2020,7,30,"25,159","5,756","1,084","14,107","3,494",718
2020,7,40,"31,450","8,501",976,"18,115","2,836","1,022"
2020,7,50,"23,482","9,432","1,607","8,219","2,770","1,454"
2020,7,60,"20,464","7,980","1,614","6,697","2,463","1,710"
2020,7,70,"12,056","4,922",963,"3,724","1,373","1,074"
2020,7,80,"4,978","2,176",513,"1,254",577,458
2020,7,90,705,309,85,166,87,58
2020,7,100,43,21,10,6,4,2
2020,8,총,"172,288","53,147","8,735","81,948","20,348","8,110"
2020,8,0,"19,356","3,320",433,"12,635","2,540",428
2020,8,10,"17,198","4,555",445,"10,399","1,368",431
2020,8,20,"16,716","6,290","1,021","6,638","2,016",751
2020,8,30,"25,221","5,696","1,077","13,962","3,774",712
2020,8,40,"31,596","8,446",966,"18,118","3,038","1,028"
2020,8,50,"23,673","9,377","1,598","8,300","2,953","1,445"
2020,8,60,"20,673","8,023","1,632","6,726","2,571","1,721"
2020,8,70,"12,094","4,920",955,"3,737","1,407","1,075"
2020,8,80,"4,998","2,184",515,"1,254",589,456
2020,8,90,720,315,83,173,88,61
2020,8,100,43,21,10,6,4,2
2020,9,총,"172,774","53,141","8,723","81,913","20,911","8,086"
2020,9,0,"19,276","3,280",433,"12,524","2,616",423
2020,9,10,"17,267","4,520",441,"10,461","1,414",431
2020,9,20,"16,815","6,340","1,020","6,643","2,064",748
2020,9,30,"25,096","5,644","1,069","13,778","3,903",702
2020,9,40,"31,781","8,441",961,"18,232","3,132","1,015"
2020,9,50,"23,735","9,375","1,591","8,301","3,025","1,443"
2020,9,60,"20,895","8,086","1,643","6,778","2,654","1,734"
2020,9,70,"12,102","4,912",958,"3,746","1,414","1,072"
2020,9,80,"5,037","2,199",512,"1,271",597,458
2020,9,90,726,324,85,173,86,58
2020,9,100,44,20,10,6,6,2
2020,10,총,"173,167","53,196","8,677","81,888","21,350","8,056"
2020,10,0,"19,194","3,269",416,"12,415","2,682",412
2020,10,10,"17,320","4,496",438,"10,510","1,443",433
2020,10,20,"16,875","6,356","1,018","6,641","2,116",744
2020,10,30,"24,952","5,609","1,060","13,604","3,987",692
2020,10,40,"31,936","8,437",953,"18,324","3,216","1,006"
2020,10,50,"23,805","9,392","1,578","8,321","3,077","1,437"
2020,10,60,"21,060","8,142","1,648","6,839","2,691","1,740"
2020,10,70,"12,176","4,936",958,"3,775","1,437","1,070"
2020,10,80,"5,073","2,218",512,"1,277",604,462
2020,10,90,732,321,86,176,91,58
2020,10,100,44,20,10,6,6,2
2020,11,총,"173,918","53,252","8,659","82,050","21,891","8,066"
2020,11,0,"19,181","3,211",412,"12,368","2,784",406
2020,11,10,"17,403","4,492",434,"10,562","1,481",434
2020,11,20,"17,015","6,397","1,020","6,702","2,153",743
2020,11,30,"24,915","5,606","1,046","13,482","4,101",680
2020,11,40,"32,090","8,400",958,"18,414","3,311","1,007"
2020,11,50,"23,908","9,423","1,563","8,364","3,120","1,438"
2020,11,60,"21,234","8,181","1,648","6,874","2,773","1,758"
2020,11,70,"12,284","4,972",962,"3,809","1,467","1,074"
2020,11,80,"5,104","2,234",516,"1,292",597,465
2020,11,90,739,316,89,177,98,59
2020,11,100,45,20,11,6,6,2
2020,12,총,"174,545","53,230","8,657","82,029","22,549","8,080"
2020,12,0,"19,153","3,178",408,"12,288","2,878",401
2020,12,10,"17,475","4,470",430,"10,602","1,539",434
2020,12,20,"17,066","6,390","1,029","6,695","2,213",739
2020,12,30,"24,960","5,599","1,049","13,389","4,232",691
2020,12,40,"32,215","8,351",952,"18,454","3,451","1,007"
2020,12,50,"24,006","9,430","1,556","8,398","3,188","1,434"
2020,12,60,"21,398","8,225","1,650","6,897","2,862","1,764"
2020,12,70,"12,335","4,994",971,"3,810","1,479","1,081"
2020,12,80,"5,150","2,256",512,"1,313",603,466
2020,12,90,744,317,90,178,98,61
2020,12,100,43,20,10,5,6,2
2021,1,총,"175,428","53,060","8,663","81,877","23,776","8,052"
2021,1,0,"19,121","3,168",402,"12,160","3,003",388
2021,1,10,"17,561","4,434",421,"10,627","1,645",434
2021,1,20,"17,093","6,330","1,036","6,643","2,354",730
2021,1,30,"24,958","5,587","1,040","13,244","4,405",682
2021,1,40,"32,391","8,256",951,"18,516","3,668","1,000"
2021,1,50,"24,239","9,399","1,564","8,407","3,446","1,423"
2021,1,60,"21,648","8,272","1,667","6,928","3,004","1,777"
2021,1,70,"12,424","5,014",968,"3,839","1,520","1,083"
2021,1,80,"5,200","2,266",513,"1,324",627,470
2021,1,90,749,314,90,184,98,63
2021,1,100,44,20,11,5,6,2
2021,2,총,"176,112","52,869","8,684","81,735","24,798","8,026"
2021,2,0,"19,146","3,141",406,"12,034","3,185",380
2021,2,10,"17,642","4,382",430,"10,640","1,761",429
2021,2,20,"17,140","6,304","1,030","6,633","2,453",720
2021,2,30,"24,917","5,544","1,036","13,108","4,550",679
2021,2,40,"32,609","8,202",961,"18,536","3,908","1,002"
2021,2,50,"24,360","9,354","1,568","8,459","3,575","1,404"
2021,2,60,"21,760","8,299","1,667","6,941","3,076","1,777"
2021,2,70,"12,487","5,017",968,"3,866","1,541","1,095"
2021,2,80,"5,260","2,295",517,"1,329",644,475
2021,2,90,746,310,90,184,99,63
2021,2,100,45,21,11,5,6,2
2021,3,총,"176,056","52,694","8,583","81,686","25,083","8,010"
2021,3,0,"19,045","3,119",404,"11,940","3,211",371
2021,3,10,"17,674","4,372",421,"10,671","1,776",434
2021,3,20,"17,115","6,266","1,029","6,619","2,486",715
2021,3,30,"24,863","5,556","1,035","13,014","4,585",673
2021,3,40,"32,601","8,132",948,"18,560","3,963",998
2021,3,50,"24,356","9,325","1,529","8,463","3,646","1,393"
2021,3,60,"21,854","8,330","1,658","6,965","3,112","1,789"
2021,3,70,"12,501","4,996",955,"3,906","1,548","1,096"
2021,3,80,"5,293","2,291",514,"1,357",654,477
2021,3,90,726,296,85,187,97,61
2021,3,100,28,11,5,4,5,3
2021,4,총,"176,287","52,681","8,579","81,719","25,318","7,990"
2021,4,0,"18,952","3,086",403,"11,863","3,241",359
2021,4,10,"17,716","4,351",418,"10,717","1,790",440
2021,4,20,"17,143","6,273","1,025","6,627","2,516",702
2021,4,30,"24,801","5,538","1,026","12,954","4,621",662
2021,4,40,"32,693","8,139",952,"18,605","3,995","1,002"
2021,4,50,"24,414","9,317","1,527","8,500","3,687","1,383"
2021,4,60,"21,961","8,372","1,669","6,968","3,156","1,796"
2021,4,70,"12,529","4,997",952,"3,921","1,561","1,098"
2021,4,80,"5,317","2,298",512,"1,375",645,487
2021,4,90,732,299,90,185,100,58
2021,4,100,29,11,5,4,6,3
2021,5,총,"176,411","52,645","8,560","81,717","25,518","7,971"
2021,5,0,"18,872","3,073",410,"11,758","3,276",355
2021,5,10,"17,745","4,329",407,"10,761","1,812",436
2021,5,20,"17,148","6,259","1,015","6,640","2,537",697
2021,5,30,"24,698","5,553","1,027","12,850","4,610",658
2021,5,40,"32,714","8,064",956,"18,653","4,046",995
2021,5,50,"24,502","9,331","1,518","8,568","3,705","1,380"
2021,5,60,"22,033","8,409","1,657","6,971","3,190","1,806"
2021,5,70,"12,572","5,007",958,"3,932","1,583","1,092"
2021,5,80,"5,358","2,307",517,"1,393",652,489
2021,5,90,737,299,90,187,102,59
2021,5,100,32,14,5,4,5,4
2021,6,총,"176,617","52,662","8,585","81,775","25,637","7,958"
2021,6,0,"18,835","3,070",412,"11,740","3,269",344
2021,6,10,"17,758","4,327",406,"10,763","1,825",437
2021,6,20,"17,193","6,255","1,018","6,674","2,544",702
2021,6,30,"24,616","5,531","1,040","12,788","4,601",656
2021,6,40,"32,752","8,061",959,"18,665","4,078",989
2021,6,50,"24,558","9,335","1,503","8,610","3,737","1,373"
2021,6,60,"22,141","8,436","1,671","6,994","3,226","1,814"
2021,6,70,"12,607","5,007",964,"3,948","1,595","1,093"
2021,6,80,"5,391","2,329",518,"1,403",654,487
2021,6,90,732,297,89,186,102,58
2021,6,100,34,14,5,4,6,5
2021,7,총,"176,786","52,714","8,600","81,790","25,746","7,936"
2021,7,0,"18,779","3,067",416,"11,670","3,284",342
2021,7,10,"17,832","4,318",406,"10,819","1,852",437
2021,7,20,"17,178","6,248","1,007","6,675","2,551",697
2021,7,30,"24,528","5,551","1,048","12,714","4,569",646
2021,7,40,"32,800","8,029",960,"18,682","4,142",987
2021,7,50,"24,626","9,371","1,509","8,638","3,752","1,356"
2021,7,60,"22,216","8,453","1,683","7,027","3,227","1,826"
2021,7,70,"12,660","5,032",959,"3,965","1,609","1,095"
2021,7,80,"5,402","2,334",519,"1,411",653,485
2021,7,90,732,298,88,185,101,60
2021,7,100,33,13,5,4,6,5
2021,8,총,"176,811","52,702","8,594","81,765","25,815","7,935"
2021,8,0,"18,674","3,046",418,"11,570","3,294",346
2021,8,10,"17,880","4,306",407,"10,870","1,865",432
2021,8,20,"17,070","6,200","1,019","6,643","2,518",690
2021,8,30,"24,460","5,605","1,039","12,603","4,567",646
2021,8,40,"32,842","7,980",953,"18,759","4,164",986
2021,8,50,"24,663","9,379","1,502","8,673","3,764","1,345"
2021,8,60,"22,316","8,472","1,696","7,054","3,256","1,838"
2021,8,70,"12,700","5,058",948,"3,983","1,615","1,096"
2021,8,80,"5,427","2,336",518,"1,420",662,491
2021,8,90,748,308,89,186,105,60
2021,8,100,31,12,5,4,5,5
2021,9,총,"176,789","52,675","8,569","81,794","25,833","7,918"
2021,9,0,"18,575","3,020",414,"11,508","3,289",344
2021,9,10,"17,903","4,293",402,"10,911","1,868",429
2021,9,20,"17,010","6,183","1,009","6,611","2,519",688
2021,9,30,"24,350","5,632","1,036","12,513","4,528",641
2021,9,40,"32,882","7,935",958,"18,808","4,194",987
2021,9,50,"24,769","9,401","1,497","8,761","3,775","1,335"
2021,9,60,"22,326","8,488","1,692","7,048","3,264","1,834"
2021,9,70,"12,743","5,051",949,"4,014","1,625","1,104"
2021,9,80,"5,447","2,352",518,"1,425",662,490
2021,9,90,755,309,89,191,105,61
2021,9,100,29,11,5,4,4,5
2021,10,총,"176,879","52,793","8,598","81,798","25,805","7,885"
2021,10,0,"18,483","3,011",416,"11,440","3,278",338
2021,10,10,"17,972","4,295",402,"10,957","1,878",440
2021,10,20,"16,969","6,176","1,000","6,618","2,503",672
2021,10,30,"24,212","5,647","1,046","12,394","4,491",634
2021,10,40,"32,938","7,952",966,"18,838","4,207",975
2021,10,50,"24,909","9,431","1,502","8,837","3,796","1,343"
2021,10,60,"22,345","8,509","1,703","7,054","3,261","1,818"
2021,10,70,"12,765","5,073",950,"4,017","1,619","1,106"
2021,10,80,"5,489","2,371",518,"1,441",663,496
2021,10,90,766,317,90,197,104,58
2021,10,100,31,11,5,5,5,5
2021,11,총,"177,161","52,880","8,588","81,893","25,862","7,938"
2021,11,0,"18,411","3,010",417,"11,360","3,282",342
2021,11,10,"18,028","4,280",395,"11,023","1,884",446
2021,11,20,"16,971","6,175",986,"6,627","2,500",683
2021,11,30,"24,143","5,662","1,055","12,300","4,482",644
2021,11,40,"33,025","7,937",955,"18,903","4,244",986
2021,11,50,"24,994","9,453","1,509","8,896","3,798","1,338"
2021,11,60,"22,450","8,563","1,702","7,082","3,279","1,824"
2021,11,70,"12,813","5,105",939,"4,045","1,614","1,110"
2021,11,80,"5,520","2,362",532,"1,456",671,499
2021,11,90,775,322,93,196,103,61
2021,11,100,31,11,5,5,5,5
2021,12,총,"177,125","52,846","8,608","81,932","25,817","7,922"
2021,12,0,"18,280","2,971",415,"11,280","3,277",337
2021,12,10,"18,048","4,291",390,"11,041","1,885",441
2021,12,20,"16,962","6,162","1,004","6,649","2,467",680
2021,12,30,"23,994","5,635","1,053","12,203","4,471",632
2021,12,40,"33,104","7,957",953,"18,976","4,236",982
2021,12,50,"25,035","9,440","1,506","8,938","3,807","1,344"
2021,12,60,"22,487","8,571","1,709","7,108","3,282","1,817"
2021,12,70,"12,861","5,106",942,"4,075","1,617","1,121"
2021,12,80,"5,536","2,381",535,"1,454",668,498
2021,12,90,787,322,95,203,102,65
2021,12,100,31,10,6,5,5,5
