년도,월,나이,가평군,가평읍,설악면,청평면,상면,조종면,북면
2020,5,70,"6,843","1,935","1,006","1,646",713,972,571
2020,5,80,"3,577","1,053",558,784,376,481,325
2020,5,90,507,137,100,113,50,60,47
2020,5,100,46,16,4,10,4,9,3
2020,6,총,"62,662","19,597","9,559","14,148","5,598","9,769","3,991"
2020,6,0,"3,505","1,191",557,666,167,771,153
2020,6,10,"4,790","1,728",822,"1,017",342,660,221
2020,6,20,"6,195","2,223",846,"1,333",523,"1,014",256
2020,6,30,"5,895","1,960",810,"1,259",373,"1,199",294
2020,6,40,"8,010","2,674","1,140","1,985",569,"1,223",419
2020,6,50,"11,489","3,511","1,772","2,695","1,130","1,650",731
2020,6,60,"11,788","3,168","1,943","2,632","1,340","1,736",969
2020,6,70,"6,857","1,931","1,000","1,654",727,972,573
2020,6,80,"3,577","1,057",564,784,375,477,320
2020,6,90,510,138,101,113,48,58,52
2020,6,100,46,16,4,10,4,9,3
2020,7,총,"62,632","19,595","9,542","14,137","5,595","9,783","3,980"
2020,7,0,"3,494","1,196",558,660,161,766,153
2020,7,10,"4,758","1,720",807,"1,015",345,655,216
2020,7,20,"6,223","2,223",855,"1,342",528,"1,022",253
2020,7,30,"5,864","1,959",812,"1,235",378,"1,191",289
2020,7,40,"8,007","2,675","1,136","1,977",571,"1,229",419
2020,7,50,"11,466","3,501","1,765","2,699","1,122","1,649",730
2020,7,60,"11,821","3,186","1,943","2,633","1,347","1,744",968
2020,7,70,"6,858","1,925",997,"1,658",721,983,574
2020,7,80,"3,578","1,054",561,794,371,474,324
2020,7,90,517,139,104,115,47,61,51
2020,7,100,46,17,4,9,4,9,3
2020,8,총,"62,605","19,562","9,549","14,106","5,583","9,836","3,969"
2020,8,0,"3,467","1,194",548,652,158,761,154
2020,8,10,"4,754","1,710",813,"1,007",343,667,214
2020,8,20,"6,231","2,206",861,"1,349",522,"1,044",249
2020,8,30,"5,822","1,937",812,"1,218",379,"1,190",286
2020,8,40,"7,974","2,658","1,134","1,968",561,"1,234",419
2020,8,50,"11,454","3,494","1,755","2,696","1,118","1,657",734
2020,8,60,"11,876","3,213","1,954","2,636","1,358","1,750",965
2020,8,70,"6,860","1,925","1,000","1,654",725,984,572
2020,8,80,"3,596","1,065",561,801,369,478,322
2020,8,90,524,143,107,116,46,62,50
2020,8,100,47,17,4,9,4,9,4
2020,9,총,"62,551","19,532","9,555","14,072","5,604","9,829","3,959"
2020,9,0,"3,428","1,187",535,638,163,754,151
2020,9,10,"4,721","1,702",799,"1,002",345,660,213
2020,9,20,"6,234","2,205",858,"1,353",533,"1,037",248
2020,9,30,"5,799","1,924",821,"1,208",375,"1,190",281
2020,9,40,"7,946","2,652","1,136","1,954",562,"1,224",418
2020,9,50,"11,442","3,473","1,752","2,701","1,118","1,666",732
2020,9,60,"11,945","3,234","1,980","2,645","1,362","1,759",965
2020,9,70,"6,854","1,922",993,"1,648",727,991,573
2020,9,80,"3,610","1,072",569,799,368,477,325
2020,9,90,523,144,108,114,47,61,49
2020,9,100,49,17,4,10,4,10,4
2020,10,총,"62,476","19,512","9,550","14,077","5,606","9,802","3,929"
2020,10,0,"3,390","1,176",537,625,157,743,152
2020,10,10,"4,715","1,701",798,"1,003",338,663,212
2020,10,20,"6,206","2,194",859,"1,353",528,"1,033",239
2020,10,30,"5,763","1,915",818,"1,198",375,"1,178",279
2020,10,40,"7,942","2,657","1,139","1,953",565,"1,218",410
2020,10,50,"11,424","3,464","1,740","2,695","1,124","1,677",724
2020,10,60,"11,989","3,239","1,986","2,663","1,373","1,763",965
2020,10,70,"6,848","1,926",986,"1,657",726,981,572
2020,10,80,"3,629","1,079",575,806,367,478,324
2020,10,90,521,145,108,114,48,58,48
2020,10,100,49,16,4,10,5,10,4
2020,11,총,"62,495","19,503","9,577","14,085","5,623","9,792","3,915"
2020,11,0,"3,376","1,171",539,625,156,731,154
2020,11,10,"4,693","1,685",796,"1,004",339,661,208
2020,11,20,"6,215","2,192",868,"1,352",528,"1,041",234
2020,11,30,"5,771","1,928",818,"1,197",377,"1,170",281
2020,11,40,"7,928","2,653","1,139","1,948",566,"1,221",401
2020,11,50,"11,397","3,450","1,741","2,687","1,128","1,672",719
2020,11,60,"12,053","3,251","2,000","2,690","1,379","1,766",967
2020,11,70,"6,852","1,928",989,"1,653",729,981,572
2020,11,80,"3,635","1,081",574,807,368,479,326
2020,11,90,526,148,109,112,48,60,49
2020,11,100,49,16,4,10,5,10,4
2020,12,총,"62,377","19,496","9,598","14,021","5,586","9,785","3,891"
2020,12,0,"3,344","1,158",542,616,154,722,152
2020,12,10,"4,634","1,687",792,998,288,665,204
2020,12,20,"6,212","2,198",875,"1,337",523,"1,043",236
2020,12,30,"5,742","1,925",817,"1,192",370,"1,164",274
2020,12,40,"7,910","2,655","1,132","1,928",576,"1,227",392
2020,12,50,"11,364","3,440","1,733","2,677","1,127","1,667",720
2020,12,60,"12,108","3,265","2,026","2,692","1,396","1,764",965
2020,12,70,"6,833","1,920",986,"1,655",725,979,568
2020,12,80,"3,651","1,087",577,803,374,486,324
2020,12,90,529,145,114,113,48,58,51
2020,12,100,50,16,4,10,5,10,5
2021,1,총,"62,399","19,536","9,598","14,045","5,571","9,754","3,895"
2021,1,0,"3,334","1,159",549,618,150,707,151
2021,1,10,"4,578","1,672",780,"1,001",262,661,202
2021,1,20,"6,253","2,231",882,"1,330",529,"1,043",238
2021,1,30,"5,709","1,921",822,"1,176",372,"1,146",272
2021,1,40,"7,896","2,657","1,127","1,935",561,"1,228",388
2021,1,50,"11,352","3,435","1,736","2,680","1,120","1,658",723
2021,1,60,"12,179","3,289","2,019","2,718","1,412","1,772",969
2021,1,70,"6,830","1,912",985,"1,654",733,981,565
2021,1,80,"3,686","1,094",581,809,379,490,333
2021,1,90,531,150,112,114,48,58,49
2021,1,100,51,16,5,10,5,10,5
2021,2,총,"62,339","19,500","9,629","14,024","5,574","9,715","3,897"
2021,2,0,"3,298","1,142",542,622,150,691,151
2021,2,10,"4,541","1,665",778,991,250,655,202
2021,2,20,"6,234","2,219",896,"1,322",534,"1,022",241
2021,2,30,"5,674","1,887",817,"1,169",380,"1,149",272
2021,2,40,"7,893","2,664","1,130","1,930",560,"1,221",388
2021,2,50,"11,305","3,431","1,730","2,680","1,114","1,636",714
2021,2,60,"12,255","3,313","2,044","2,712","1,412","1,797",977
2021,2,70,"6,841","1,912",991,"1,658",736,980,564
2021,2,80,"3,711","1,099",584,816,383,495,334
2021,2,90,535,152,112,113,50,59,49
2021,2,100,52,16,5,11,5,10,5
2021,3,총,"62,049","19,420","9,583","13,956","5,566","9,639","3,885"
2021,3,0,"3,291","1,130",539,629,150,695,148
2021,3,10,"4,522","1,658",776,987,241,660,200
2021,3,20,"6,220","2,220",901,"1,304",528,"1,021",246
2021,3,30,"5,628","1,865",816,"1,168",381,"1,135",263
2021,3,40,"7,813","2,627","1,111","1,911",556,"1,220",388
2021,3,50,"11,234","3,417","1,717","2,645","1,118","1,626",711
2021,3,60,"12,284","3,311","2,040","2,732","1,420","1,793",988
2021,3,70,"6,810","1,929",985,"1,640",736,961,559
2021,3,80,"3,696","1,095",583,825,385,477,331
2021,3,90,518,152,112,111,49,47,47
2021,3,100,33,16,3,4,2,4,4
2021,4,총,"62,206","19,426","9,639","13,962","5,617","9,655","3,907"
2021,4,0,"3,282","1,123",543,625,151,689,151
2021,4,10,"4,561","1,658",769,983,293,658,200
2021,4,20,"6,213","2,196",914,"1,295",537,"1,025",246
2021,4,30,"5,602","1,865",826,"1,151",373,"1,123",264
2021,4,40,"7,848","2,626","1,126","1,917",554,"1,226",399
2021,4,50,"11,213","3,417","1,711","2,647","1,105","1,631",702
2021,4,60,"12,410","3,349","2,058","2,762","1,424","1,820",997
2021,4,70,"6,791","1,916",985,"1,632",740,955,563
2021,4,80,"3,726","1,108",589,833,387,475,334
2021,4,90,524,152,114,113,51,48,46
2021,4,100,36,16,4,4,2,5,5
2021,5,총,"62,344","19,403","9,688","13,972","5,686","9,664","3,931"
2021,5,0,"3,272","1,119",536,622,157,687,151
2021,5,10,"4,582","1,652",771,976,326,658,199
2021,5,20,"6,219","2,200",927,"1,285",533,"1,021",253
2021,5,30,"5,596","1,839",831,"1,146",385,"1,132",263
2021,5,40,"7,859","2,634","1,129","1,915",558,"1,221",402
2021,5,50,"11,163","3,379","1,716","2,636","1,109","1,625",698
2021,5,60,"12,538","3,400","2,067","2,798","1,433","1,831","1,009"
2021,5,70,"6,819","1,910","1,003","1,636",746,954,570
2021,5,80,"3,742","1,107",592,840,386,483,334
2021,5,90,518,147,112,114,51,47,47
2021,5,100,36,16,4,4,2,5,5
2021,6,총,"62,364","19,432","9,689","13,972","5,690","9,658","3,923"
2021,6,0,"3,267","1,116",531,618,160,688,154
2021,6,10,"4,568","1,657",772,972,314,659,194
2021,6,20,"6,222","2,206",918,"1,279",535,"1,032",252
2021,6,30,"5,594","1,845",824,"1,141",385,"1,133",266
2021,6,40,"7,852","2,635","1,129","1,912",560,"1,216",400
2021,6,50,"11,121","3,359","1,714","2,636","1,113","1,604",695
2021,6,60,"12,631","3,439","2,089","2,817","1,434","1,842","1,010"
2021,6,70,"6,806","1,907","1,005","1,624",748,954,568
2021,6,80,"3,753","1,105",590,856,387,482,333
2021,6,90,514,147,113,113,52,43,46
2021,6,100,36,16,4,4,2,5,5
2021,7,총,"62,348","19,401","9,687","13,984","5,690","9,642","3,944"
2021,7,0,"3,254","1,112",527,612,159,693,151
2021,7,10,"4,588","1,659",778,974,319,663,195
2021,7,20,"6,191","2,195",900,"1,278",542,"1,020",256
2021,7,30,"5,596","1,842",832,"1,141",379,"1,134",268
2021,7,40,"7,818","2,619","1,122","1,896",557,"1,215",409
2021,7,50,"11,085","3,346","1,712","2,644","1,099","1,592",692
2021,7,60,"12,705","3,453","2,104","2,842","1,445","1,844","1,017"
2021,7,70,"6,790","1,897","1,006","1,624",752,946,565
2021,7,80,"3,766","1,116",590,856,380,485,339
2021,7,90,518,146,112,112,56,45,47
2021,7,100,37,16,4,5,2,5,5
2021,8,총,"62,383","19,439","9,665","13,983","5,710","9,646","3,940"
2021,8,0,"3,214","1,100",510,614,158,688,144
2021,8,10,"4,583","1,665",777,967,319,662,193
2021,8,20,"6,163","2,175",896,"1,272",540,"1,019",261
2021,8,30,"5,586","1,841",836,"1,134",385,"1,125",265
2021,8,40,"7,827","2,643","1,115","1,887",556,"1,226",400
2021,8,50,"11,093","3,353","1,697","2,659","1,102","1,589",693
2021,8,60,"12,789","3,475","2,117","2,849","1,462","1,857","1,029"
2021,8,70,"6,778","1,890","1,008","1,620",751,950,559
2021,8,80,"3,793","1,128",594,865,383,479,344
2021,8,90,521,153,111,111,53,46,47
2021,8,100,36,16,4,5,1,5,5
2021,9,총,"62,334","19,402","9,656","13,965","5,698","9,682","3,931"
2021,9,0,"3,189","1,079",519,605,153,690,143
2021,9,10,"4,561","1,664",781,962,306,657,191
2021,9,20,"6,153","2,173",884,"1,269",536,"1,039",252
2021,9,30,"5,571","1,820",828,"1,128",383,"1,146",266
2021,9,40,"7,803","2,633","1,110","1,878",561,"1,217",404
2021,9,50,"11,084","3,352","1,695","2,654","1,110","1,582",691
2021,9,60,"12,850","3,494","2,122","2,870","1,462","1,872","1,030"
2021,9,70,"6,754","1,887","1,008","1,613",746,946,554
2021,9,80,"3,809","1,130",594,868,388,481,348
2021,9,90,524,154,111,113,52,47,47
2021,9,100,36,16,4,5,1,5,5
2021,10,총,"62,241","19,390","9,632","13,947","5,696","9,677","3,899"
2021,10,0,"3,184","1,074",518,607,152,692,141
2021,10,10,"4,505","1,662",772,945,285,654,187
2021,10,20,"6,148","2,169",877,"1,272",535,"1,045",250
2021,10,30,"5,528","1,806",821,"1,124",386,"1,134",257
2021,10,40,"7,784","2,629","1,107","1,869",564,"1,220",395
2021,10,50,"11,071","3,362","1,689","2,652","1,120","1,561",687
2021,10,60,"12,897","3,497","2,130","2,873","1,465","1,897","1,035"
2021,10,70,"6,742","1,884","1,009","1,611",749,942,547
2021,10,80,"3,820","1,140",595,871,385,480,349
2021,10,90,526,150,111,118,54,47,46
2021,10,100,36,17,3,5,1,5,5
2021,11,총,"62,253","19,374","9,642","13,971","5,677","9,707","3,882"
2021,11,0,"3,164","1,067",515,605,153,691,133
2021,11,10,"4,486","1,664",770,948,262,656,186
2021,11,20,"6,127","2,155",878,"1,274",530,"1,046",244
2021,11,30,"5,520","1,788",824,"1,129",387,"1,138",254
2021,11,40,"7,763","2,620","1,088","1,863",564,"1,236",392
2021,11,50,"11,106","3,370","1,699","2,661","1,115","1,572",689
2021,11,60,"12,968","3,526","2,138","2,890","1,478","1,899","1,037"
2021,11,70,"6,727","1,868","1,019","1,602",749,939,550
2021,11,80,"3,835","1,148",597,881,386,477,346
2021,11,90,521,151,112,113,52,48,45
2021,11,100,36,17,2,5,1,5,6
2021,12,총,"62,264","19,478","9,663","13,956","5,626","9,672","3,869"
2021,12,0,"3,155","1,073",516,606,149,679,132
2021,12,10,"4,458","1,671",764,950,234,656,183
2021,12,20,"6,125","2,177",880,"1,272",522,"1,040",234
2021,12,30,"5,504","1,806",820,"1,125",379,"1,127",247
2021,12,40,"7,780","2,621","1,097","1,872",558,"1,238",394
2021,12,50,"11,107","3,398","1,703","2,633","1,111","1,569",693
2021,12,60,"13,020","3,540","2,145","2,907","1,478","1,903","1,047"
2021,12,70,"6,714","1,870","1,022","1,588",754,927,553
2021,12,80,"3,855","1,161",603,887,389,480,335
2021,12,90,525,154,111,111,52,49,48
2021,12,100,21,7,2,5,0,4,3
