년도,월,나이,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020,11,총,"49,975","18,286","3,771","4,434",779,"3,260","3,447","4,281","2,375","2,087",230,"2,541",982,"2,686",816
2020,11,0,"3,165","1,460",215,332,44,98,137,197,121,69,8,146,37,259,42
2020,11,10,"3,656","1,745",194,382,51,137,214,261,100,101,10,148,56,223,34
2020,11,20,"3,772","1,820",239,294,41,199,208,275,129,133,9,155,56,156,58
2020,11,30,"4,034","1,836",285,389,74,183,211,254,123,134,6,166,62,256,55
2020,11,40,"6,250","2,707",438,588,118,331,389,444,212,176,30,292,97,338,90
2020,11,50,"8,092","3,120",591,659,127,531,587,622,403,357,34,347,167,410,137
2020,11,60,"8,601","2,814",749,645,157,708,635,715,490,417,38,463,166,455,149
2020,11,70,"7,431","1,810",619,655,127,641,605,892,483,375,48,487,182,353,154
2020,11,80,"4,389",849,390,437,36,383,414,547,279,283,40,302,139,208,82
2020,11,90,559,115,49,52,2,47,46,71,35,41,6,34,19,28,14
2020,11,100,26,10,2,1,2,2,1,3,0,1,1,1,1,0,1
2020,12,총,"49,916","18,283","3,757","4,440",780,"3,260","3,423","4,273","2,377","2,076",227,"2,531",980,"2,694",815
2020,12,0,"3,153","1,461",211,338,47,93,129,199,120,66,8,146,40,254,41
2020,12,10,"3,637","1,735",193,379,50,136,211,260,101,102,10,144,56,226,34
2020,12,20,"3,777","1,834",236,292,42,198,211,266,132,130,9,152,58,158,59
2020,12,30,"4,008","1,822",284,395,72,179,204,252,122,134,6,167,62,255,54
2020,12,40,"6,216","2,690",432,590,117,332,387,434,208,175,29,294,96,342,90
2020,12,50,"8,081","3,113",586,655,127,538,579,628,405,352,34,348,168,412,136
2020,12,60,"8,621","2,839",753,643,157,706,637,714,490,419,38,456,165,454,150
2020,12,70,"7,428","1,809",620,655,128,643,600,898,484,374,47,486,178,354,152
2020,12,80,"4,410",856,392,439,36,385,419,549,279,283,38,302,137,211,84
2020,12,90,559,114,48,53,2,48,45,70,36,40,7,35,19,28,14
2020,12,100,26,10,2,1,2,2,1,3,0,1,1,1,1,0,1
2021,1,총,"49,811","18,246","3,752","4,421",781,"3,242","3,405","4,272","2,373","2,075",226,"2,537",982,"2,690",809
2021,1,0,"3,132","1,450",212,336,49,90,126,192,117,67,8,146,42,256,41
2021,1,10,"3,633","1,728",191,382,50,137,211,264,99,100,10,147,54,226,34
2021,1,20,"3,758","1,839",237,285,39,194,208,267,128,131,8,152,58,156,56
2021,1,30,"3,974","1,787",285,391,73,176,200,250,124,137,7,172,64,253,55
2021,1,40,"6,198","2,690",427,592,118,328,378,433,207,175,29,294,98,341,88
2021,1,50,"8,047","3,103",583,649,124,535,581,628,402,347,34,348,166,412,135
2021,1,60,"8,643","2,857",751,639,160,710,642,714,488,424,36,454,166,452,150
2021,1,70,"7,415","1,809",626,653,129,641,590,899,487,369,47,485,178,352,150
2021,1,80,"4,414",855,391,440,35,382,423,550,283,280,39,301,137,213,85
2021,1,90,570,118,47,53,2,47,45,72,37,44,7,37,18,29,14
2021,1,100,27,10,2,1,2,2,1,3,1,1,1,1,1,0,1
2021,2,총,"49,757","18,251","3,751","4,410",788,"3,233","3,408","4,254","2,367","2,069",226,"2,522",989,"2,679",810
2021,2,0,"3,120","1,453",210,326,54,92,127,182,115,66,8,147,44,254,42
2021,2,10,"3,615","1,734",190,383,49,134,209,267,99,96,9,139,53,221,32
2021,2,20,"3,740","1,833",236,285,38,188,211,263,125,132,8,148,59,155,59
2021,2,30,"3,937","1,767",286,382,77,176,201,244,126,133,7,173,65,247,53
2021,2,40,"6,207","2,699",423,595,120,321,381,431,206,178,29,292,99,344,89
2021,2,50,"8,046","3,108",586,653,124,534,573,627,398,349,34,344,168,412,136
2021,2,60,"8,645","2,860",753,637,158,713,645,711,493,421,35,453,167,449,150
2021,2,70,"7,401","1,808",626,652,128,642,590,901,486,369,48,480,176,346,149
2021,2,80,"4,445",862,393,442,37,382,424,552,281,279,40,306,140,222,85
2021,2,90,575,117,46,54,2,49,46,73,37,45,7,39,17,29,14
2021,2,100,26,10,2,1,1,2,1,3,1,1,1,1,1,0,1
2021,3,총,"49,673","18,182","3,753","4,400",784,"3,230","3,415","4,255","2,367","2,073",223,"2,503",986,"2,684",818
2021,3,0,"3,099","1,439",208,323,52,93,131,181,115,67,7,146,42,252,43
2021,3,10,"3,597","1,720",192,385,46,132,209,268,100,95,8,138,54,221,29
2021,3,20,"3,760","1,844",233,285,39,185,211,267,130,136,10,139,59,160,62
2021,3,30,"3,910","1,753",290,379,74,170,203,248,121,129,7,169,62,249,56
2021,3,40,"6,163","2,671",424,587,120,324,373,429,206,177,27,292,100,343,90
2021,3,50,"8,039","3,103",582,654,125,538,577,628,395,351,34,339,163,410,140
2021,3,60,"8,652","2,851",757,634,159,716,646,707,496,422,35,456,173,448,152
2021,3,70,"7,384","1,815",620,651,129,638,594,899,483,367,47,475,171,348,147
2021,3,80,"4,468",865,399,448,37,383,421,553,282,281,40,307,144,224,84
2021,3,90,584,116,48,53,2,51,49,72,38,47,7,41,17,29,14
2021,3,100,17,5,0,1,1,0,1,3,1,1,1,1,1,0,1
2021,4,총,"49,604","18,147","3,751","4,380",782,"3,218","3,425","4,246","2,368","2,076",219,"2,503",989,"2,682",818
2021,4,0,"3,074","1,428",207,316,50,91,132,181,116,67,7,144,42,250,43
2021,4,10,"3,571","1,711",193,386,48,127,205,268,99,94,8,136,52,218,26
2021,4,20,"3,770","1,846",231,284,43,181,209,266,130,137,10,141,63,164,65
2021,4,30,"3,873","1,739",290,366,73,169,207,239,123,129,6,171,63,244,54
2021,4,40,"6,153","2,669",420,589,117,324,373,433,206,176,27,286,100,342,91
2021,4,50,"8,015","3,088",585,646,124,532,579,626,397,351,32,343,162,413,137
2021,4,60,"8,678","2,857",754,643,158,719,652,706,496,427,35,455,172,450,154
2021,4,70,"7,379","1,822",622,653,131,633,593,892,477,365,45,474,175,349,148
2021,4,80,"4,482",863,403,443,35,391,425,558,284,280,41,310,143,221,85
2021,4,90,592,119,46,53,2,51,49,74,39,49,7,42,16,31,14
2021,4,100,17,5,0,1,1,0,1,3,1,1,1,1,1,0,1
2021,5,총,"49,458","18,094","3,743","4,366",783,"3,208","3,439","4,221","2,340","2,075",219,"2,492",995,"2,663",820
2021,5,0,"3,053","1,415",209,313,50,90,135,178,115,68,5,143,44,245,43
2021,5,10,"3,558","1,703",194,384,49,129,200,271,96,92,10,135,51,219,25
2021,5,20,"3,761","1,848",228,283,43,184,210,263,130,138,10,135,63,159,67
2021,5,30,"3,839","1,721",288,372,72,166,214,231,119,129,6,168,62,238,53
2021,5,40,"6,093","2,650",417,578,114,319,374,415,203,176,27,285,103,342,90
2021,5,50,"8,002","3,076",587,646,126,534,579,626,393,353,31,343,163,412,133
2021,5,60,"8,679","2,864",752,639,159,717,652,709,492,424,36,455,171,449,160
2021,5,70,"7,360","1,823",619,650,132,628,597,881,471,366,45,474,178,350,146
2021,5,80,"4,494",865,403,447,35,390,426,571,280,280,41,308,143,217,88
2021,5,90,603,124,46,53,2,51,51,74,40,48,7,45,16,32,14
2021,5,100,16,5,0,1,1,0,1,2,1,1,1,1,1,0,1
2021,6,총,"49,404","18,117","3,726","4,360",787,"3,192","3,430","4,216","2,331","2,064",227,"2,479",993,"2,661",821
2021,6,0,"3,032","1,411",209,309,51,86,132,176,115,62,5,143,44,246,43
2021,6,10,"3,548","1,706",197,390,48,122,197,267,94,91,10,132,51,217,26
2021,6,20,"3,772","1,855",223,283,43,185,210,267,133,133,10,137,61,163,69
2021,6,30,"3,808","1,710",284,359,73,163,217,230,115,130,5,168,63,239,52
2021,6,40,"6,095","2,662",415,581,114,318,370,417,202,176,27,283,102,338,90
2021,6,50,"7,972","3,069",586,644,126,532,579,624,395,344,37,333,162,408,133
2021,6,60,"8,700","2,889",743,641,157,714,652,704,488,430,38,461,173,450,160
2021,6,70,"7,344","1,819",615,650,135,629,593,876,466,369,46,473,178,350,145
2021,6,80,"4,504",869,406,446,37,391,425,579,283,279,41,302,139,219,88
2021,6,90,613,122,48,56,2,52,54,74,39,49,7,46,19,31,14
2021,6,100,16,5,0,1,1,0,1,2,1,1,1,1,1,0,1
2021,7,총,"49,308","18,097","3,706","4,347",786,"3,189","3,408","4,208","2,326","2,068",225,"2,486",986,"2,652",824
2021,7,0,"3,007","1,402",205,302,50,87,132,174,113,62,5,144,43,244,44
2021,7,10,"3,540","1,702",195,395,48,119,196,269,95,89,10,133,50,214,25
2021,7,20,"3,770","1,864",216,277,44,184,208,268,134,132,10,137,61,164,71
2021,7,30,"3,758","1,684",283,355,71,163,214,226,112,128,5,169,62,234,52
2021,7,40,"6,076","2,652",414,583,115,315,362,412,201,183,26,285,99,338,91
2021,7,50,"7,947","3,071",579,636,125,530,577,620,393,342,37,334,162,408,133
2021,7,60,"8,714","2,894",742,650,158,720,646,704,486,433,38,462,171,451,159
2021,7,70,"7,330","1,823",614,640,134,629,590,868,467,369,46,475,177,351,147
2021,7,80,"4,532",877,411,450,38,389,428,589,284,280,40,301,141,217,87
2021,7,90,618,123,47,58,2,53,54,76,40,49,7,45,19,31,14
2021,7,100,16,5,0,1,1,0,1,2,1,1,1,1,1,0,1
2021,8,총,"49,171","18,065","3,683","4,333",786,"3,181","3,401","4,191","2,312","2,069",223,"2,471",987,"2,650",819
2021,8,0,"2,986","1,395",203,298,51,86,132,174,114,62,5,137,44,241,44
2021,8,10,"3,518","1,693",193,396,46,118,194,263,94,88,9,134,49,216,25
2021,8,20,"3,738","1,852",211,282,44,183,208,262,130,131,10,137,59,161,68
2021,8,30,"3,722","1,677",278,346,71,156,213,227,107,127,5,169,62,231,53
2021,8,40,"6,033","2,637",412,574,113,314,359,410,203,180,25,275,99,343,89
2021,8,50,"7,935","3,072",565,638,124,527,579,616,387,347,37,339,166,406,132
2021,8,60,"8,719","2,889",750,652,160,723,641,706,487,429,37,461,171,453,160
2021,8,70,"7,324","1,838",608,637,135,625,593,860,465,366,47,478,174,352,146
2021,8,80,"4,553",882,412,448,39,396,428,595,283,289,40,296,141,216,88
2021,8,90,626,125,51,61,2,52,53,76,41,49,7,44,21,31,13
2021,8,100,17,5,0,1,1,1,1,2,1,1,1,1,1,0,1
2021,9,총,"48,990","18,026","3,663","4,308",781,"3,170","3,389","4,179","2,304","2,069",220,"2,455",985,"2,632",809
2021,9,0,"2,971","1,386",201,297,51,87,132,174,113,62,5,135,44,243,41
2021,9,10,"3,506","1,684",196,397,47,118,192,261,93,88,9,134,49,213,25
2021,9,20,"3,655","1,827",204,269,42,181,203,258,128,127,8,130,62,151,65
2021,9,30,"3,672","1,666",269,338,72,151,207,224,104,127,5,167,61,230,51
2021,9,40,"6,020","2,630",415,573,114,311,358,413,203,180,24,273,99,339,88
2021,9,50,"7,903","3,072",560,637,120,526,576,612,385,346,37,337,163,402,130
2021,9,60,"8,724","2,902",745,650,158,721,644,700,489,431,37,461,167,457,162
2021,9,70,"7,338","1,844",610,638,135,629,593,861,461,371,47,480,177,350,142
2021,9,80,"4,556",882,413,448,40,393,430,597,286,288,40,293,141,216,89
2021,9,90,628,128,50,60,1,52,53,77,41,48,7,44,21,31,15
2021,9,100,17,5,0,1,1,1,1,2,1,1,1,1,1,0,1
2021,10,총,"48,861","18,001","3,657","4,303",777,"3,166","3,362","4,161","2,295","2,069",217,"2,445",976,"2,624",808
2021,10,0,"2,942","1,384",198,291,49,85,129,173,113,61,4,133,41,241,40
2021,10,10,"3,509","1,682",195,395,48,123,194,262,95,86,9,134,49,212,25
2021,10,20,"3,610","1,820",199,269,40,178,191,249,127,126,8,128,64,149,62
2021,10,30,"3,651","1,655",276,338,72,147,203,223,105,122,4,166,57,230,53
2021,10,40,"5,987","2,622",413,570,113,314,349,411,197,185,24,269,97,337,86
2021,10,50,"7,885","3,062",560,637,119,527,575,610,384,354,37,335,157,396,132
2021,10,60,"8,728","2,911",737,657,156,719,641,702,487,427,37,464,172,458,160
2021,10,70,"7,340","1,853",614,638,138,625,592,851,457,370,46,481,177,353,145
2021,10,80,"4,566",879,415,448,40,393,434,602,289,289,39,292,139,218,89
2021,10,90,626,128,50,59,1,54,53,76,40,48,8,42,22,30,15
2021,10,100,17,5,0,1,1,1,1,2,1,1,1,1,1,0,1
2021,11,총,"48,770","17,987","3,639","4,307",771,"3,152","3,340","4,152","2,292","2,071",218,"2,439",975,"2,615",812
2021,11,0,"2,914","1,377",196,292,45,86,122,172,111,61,4,130,40,239,39
2021,11,10,"3,506","1,687",190,395,49,120,189,261,97,87,9,132,50,214,26
2021,11,20,"3,586","1,811",199,270,41,176,190,247,127,124,8,126,63,143,61
2021,11,30,"3,642","1,658",275,338,68,145,202,221,104,121,4,166,58,230,52
2021,11,40,"5,944","2,615",409,567,114,311,338,402,197,188,24,267,94,331,87
2021,11,50,"7,883","3,054",553,637,119,529,579,615,384,348,38,338,159,396,134
2021,11,60,"8,737","2,910",739,663,155,711,640,709,488,429,36,467,170,461,159
2021,11,70,"7,327","1,861",608,635,138,628,591,843,450,374,47,479,177,350,146
2021,11,80,"4,580",879,421,449,40,392,431,604,293,286,39,293,141,220,92
2021,11,90,633,130,49,60,1,53,57,75,40,52,8,40,22,31,15
2021,11,100,18,5,0,1,1,1,1,3,1,1,1,1,1,0,1
2021,12,총,"48,631","17,987","3,629","4,277",761,"3,137","3,312","4,151","2,279","2,059",221,"2,436",969,"2,603",810
2021,12,0,"2,887","1,375",195,287,43,82,120,170,108,60,4,128,40,236,39
2021,12,10,"3,490","1,682",188,395,49,117,185,261,97,86,9,131,47,218,25
2021,12,20,"3,562","1,804",195,266,40,174,188,244,128,123,8,126,66,140,60
2021,12,30,"3,611","1,663",271,330,64,142,195,224,104,118,5,164,57,222,52
2021,12,40,"5,916","2,613",410,563,113,305,333,397,197,188,24,266,91,328,88
2021,12,50,"7,871","3,063",553,631,117,525,572,618,379,344,37,341,159,398,134
2021,12,60,"8,737","2,903",737,664,158,717,645,707,486,429,39,467,168,461,156
2021,12,70,"7,319","1,873",609,636,137,623,587,840,449,370,47,477,176,349,146
2021,12,80,"4,589",878,423,442,39,400,427,608,291,288,39,294,143,222,95
2021,12,90,633,128,48,62,1,51,59,79,39,52,8,41,22,29,14
2021,12,100,16,5,0,1,0,1,1,3,1,1,1,1,0,0,1
