년도,월,나이,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021,1,70,"7,426",509,410,535,336,418,275,548,475,601,463,588,615,432,542,679
2021,1,80,"5,282",423,357,423,254,294,213,447,381,395,368,359,369,219,339,441
2021,1,90,981,70,52,68,45,64,37,78,67,73,63,80,77,39,61,107
2021,1,100,50,2,4,1,2,1,2,3,2,3,5,10,6,6,1,2
2021,2,총,"84,152","5,781","3,597","2,625","1,639","3,772","7,375","4,571","2,507","3,556","3,009","9,342","9,061","4,371","8,016","14,930"
2021,2,0,"7,472",353,234,67,24,304,"1,408",249,59,121,172,797,800,268,712,"1,904"
2021,2,10,"8,047",473,333,93,57,357,588,340,122,200,222,973,949,421,"1,042","1,877"
2021,2,20,"7,772",569,246,104,64,252,734,352,109,273,182,"1,124",885,458,880,"1,540"
2021,2,30,"9,766",488,296,98,60,349,"1,818",379,116,196,234,"1,203","1,007",391,860,"2,271"
2021,2,40,"12,944",792,536,181,109,510,"1,041",610,210,353,350,"1,610","1,723",693,"1,426","2,800"
2021,2,50,"13,225","1,231",581,396,259,635,789,795,385,615,380,"1,527","1,567",738,"1,235","2,092"
2021,2,60,"11,137",867,545,653,427,586,469,768,583,721,565,"1,058","1,062",710,914,"1,209"
2021,2,70,"7,442",511,415,538,339,415,274,548,475,597,460,597,618,426,543,686
2021,2,80,"5,307",423,357,423,253,298,212,449,379,401,376,364,367,223,342,440
2021,2,90,990,72,50,71,45,65,40,78,67,76,63,79,77,37,61,109
2021,2,100,50,2,4,1,2,1,2,3,2,3,5,10,6,6,1,2
2021,3,총,"84,102","5,753","3,582","2,621","1,627","3,778","7,342","4,562","2,481","3,528","2,992","9,279","8,972","4,320","7,925","15,340"
2021,3,0,"7,435",340,230,66,24,305,"1,392",241,56,120,172,784,785,258,699,"1,963"
2021,3,10,"8,044",467,335,90,54,355,599,345,123,198,221,958,941,417,"1,020","1,921"
2021,3,20,"7,739",576,244,102,60,250,706,342,111,263,180,"1,128",864,460,870,"1,583"
2021,3,30,"9,752",473,283,97,60,344,"1,808",378,112,194,232,"1,198",993,382,834,"2,364"
2021,3,40,"12,925",779,538,178,109,506,"1,046",605,208,347,345,"1,586","1,684",684,"1,406","2,904"
2021,3,50,"13,179","1,233",577,394,252,635,791,789,376,601,372,"1,519","1,563",737,"1,220","2,120"
2021,3,60,"11,253",885,549,655,429,593,474,780,575,722,576,"1,071","1,073",701,922,"1,248"
2021,3,70,"7,410",507,411,535,337,422,277,545,474,595,452,586,613,421,545,690
2021,3,80,"5,346",423,357,426,257,300,209,457,379,410,380,370,370,217,349,442
2021,3,90,985,68,53,77,44,67,39,78,64,77,57,76,81,41,60,103
2021,3,100,34,2,5,1,1,1,1,2,3,1,5,3,5,2,0,2
2021,4,총,"84,153","5,710","3,572","2,621","1,630","3,752","7,358","4,532","2,477","3,521","2,980","9,241","8,951","4,331","7,863","15,614"
2021,4,0,"7,424",336,235,64,24,296,"1,402",240,56,118,170,778,781,259,684,"1,981"
2021,4,10,"8,044",466,330,90,54,357,605,347,122,195,217,959,933,419,"1,009","1,941"
2021,4,20,"7,701",557,238,104,62,240,701,333,112,258,180,"1,113",851,462,861,"1,629"
2021,4,30,"9,748",475,283,99,58,339,"1,788",372,113,197,226,"1,200",994,382,831,"2,391"
2021,4,40,"12,932",770,533,176,111,501,"1,069",594,205,343,345,"1,575","1,667",687,"1,397","2,959"
2021,4,50,"13,165","1,215",578,392,250,637,792,782,363,596,371,"1,510","1,579",734,"1,208","2,158"
2021,4,60,"11,366",892,551,662,431,593,478,782,585,727,579,"1,073","1,085",707,921,"1,300"
2021,4,70,"7,397",510,410,527,338,417,275,538,474,594,447,588,609,421,543,706
2021,4,80,"5,344",417,356,428,256,304,211,464,379,413,381,363,363,217,347,445
2021,4,90,995,70,53,78,44,66,36,78,65,79,59,79,84,41,62,101
2021,4,100,37,2,5,1,2,2,1,2,3,1,5,3,5,2,0,3
