년도,월,나이,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020,12,20,"12,335",664,829,350,"4,278","2,476",195,"3,249",294
2020,12,30,"27,308",591,871,356,"13,078","5,005",200,"6,885",322
2020,12,40,"23,667",721,891,373,"8,697","6,648",214,"5,689",434
2020,12,50,"16,947","1,275","1,109",941,"4,769","3,341",491,"4,258",763
2020,12,60,"15,847","1,655","1,341","1,302","3,822","2,405",621,"3,792",909
2020,12,70,"6,875","1,018",714,615,"1,358",826,412,"1,467",465
2020,12,80,"2,675",383,333,269,472,280,178,552,208
2020,12,90,447,56,57,54,79,43,33,86,39
2020,12,100,47,3,6,15,9,1,3,5,5
2021,1,총,"138,610","6,830","7,102","4,479","50,866","30,322","2,453","32,858","3,700"
2021,1,0,"20,089",185,495,85,"9,738","5,116",52,"4,311",107
2021,1,10,"11,869",294,460,135,"4,195","4,204",70,"2,369",142
2021,1,20,"12,317",651,828,349,"4,295","2,454",198,"3,244",298
2021,1,30,"27,338",596,868,351,"13,165","4,962",198,"6,872",326
2021,1,40,"23,930",716,890,377,"8,885","6,679",206,"5,748",429
2021,1,50,"16,967","1,273","1,096",930,"4,793","3,324",479,"4,307",765
2021,1,60,"15,982","1,652","1,350","1,301","3,854","2,417",627,"3,862",919
2021,1,70,"6,907","1,009",715,615,"1,373",840,408,"1,491",456
2021,1,80,"2,705",391,338,266,481,281,176,559,213
2021,1,90,459,60,56,55,78,44,36,90,40
2021,1,100,47,3,6,15,9,1,3,5,5
2021,2,총,"139,088","6,807","7,136","4,463","51,034","30,306","2,434","33,145","3,763"
2021,2,0,"20,055",182,506,81,"9,697","5,096",52,"4,335",106
2021,2,10,"11,940",288,460,134,"4,226","4,212",68,"2,408",144
2021,2,20,"12,401",642,841,346,"4,345","2,455",198,"3,270",304
2021,2,30,"27,229",586,878,353,"13,092","4,918",194,"6,875",333
2021,2,40,"24,148",723,884,371,"9,015","6,694",207,"5,811",443
2021,2,50,"17,059","1,256","1,102",919,"4,824","3,335",470,"4,388",765
2021,2,60,"16,107","1,666","1,345","1,308","3,880","2,437",624,"3,903",944
2021,2,70,"6,909","1,007",718,611,"1,382",833,401,"1,494",463
2021,2,80,"2,734",394,339,271,485,282,181,566,216
2021,2,90,459,60,57,54,79,43,36,90,40
2021,2,100,47,3,6,15,9,1,3,5,5
2021,3,총,"139,239","6,638","7,072","4,350","51,189","30,311","2,406","33,461","3,812"
2021,3,0,"20,022",180,497,81,"9,696","5,073",50,"4,334",111
2021,3,10,"12,040",283,465,129,"4,274","4,219",69,"2,459",142
2021,3,20,"12,428",640,822,350,"4,342","2,470",191,"3,305",308
2021,3,30,"27,169",577,880,349,"13,062","4,879",189,"6,887",346
2021,3,40,"24,275",687,874,349,"9,111","6,712",202,"5,896",444
2021,3,50,"17,002","1,237","1,091",884,"4,800","3,344",459,"4,422",765
2021,3,60,"16,207","1,627","1,336","1,296","3,935","2,450",622,"3,977",964
2021,3,70,"6,912",970,715,598,"1,397",838,404,"1,524",466
2021,3,80,"2,717",381,335,262,484,282,184,569,220
2021,3,90,444,55,55,50,79,43,34,87,41
2021,3,100,23,1,2,2,9,1,2,1,5
2021,4,총,"139,652","6,601","7,036","4,335","51,419","30,271","2,393","33,779","3,818"
2021,4,0,"19,948",182,480,81,"9,661","5,040",47,"4,347",110
2021,4,10,"12,161",267,462,128,"4,330","4,253",69,"2,510",142
2021,4,20,"12,481",634,822,343,"4,383","2,458",191,"3,345",305
2021,4,30,"27,178",578,868,346,"13,111","4,834",180,"6,914",347
2021,4,40,"24,452",671,876,343,"9,215","6,722",201,"5,977",447
2021,4,50,"16,956","1,225","1,080",872,"4,777","3,333",458,"4,452",759
2021,4,60,"16,334","1,631","1,343","1,306","3,970","2,466",624,"4,022",972
2021,4,70,"6,939",972,712,602,"1,396",839,400,"1,548",470
2021,4,80,"2,737",385,335,262,493,280,187,575,220
2021,4,90,444,55,56,50,74,45,34,88,42
2021,4,100,22,1,2,2,9,1,2,1,4
2021,5,총,"140,215","6,597","7,055","4,340","51,723","30,311","2,387","33,968","3,834"
2021,5,0,"19,956",182,481,84,"9,682","5,028",49,"4,340",110
2021,5,10,"12,280",269,462,130,"4,386","4,281",69,"2,541",142
2021,5,20,"12,551",631,830,342,"4,444","2,455",187,"3,355",307
2021,5,30,"27,202",581,869,351,"13,141","4,806",183,"6,926",345
2021,5,40,"24,608",670,870,342,"9,307","6,746",197,"6,035",441
2021,5,50,"16,971","1,206","1,084",868,"4,760","3,336",459,"4,494",764
2021,5,60,"16,459","1,644","1,355","1,308","4,019","2,482",617,"4,049",985
2021,5,70,"6,970",965,708,607,"1,407",850,401,"1,558",474
2021,5,80,"2,748",394,337,257,493,278,189,579,221
2021,5,90,448,54,57,49,75,48,34,90,41
2021,5,100,22,1,2,2,9,1,2,1,4
2021,6,총,"140,720","6,589","7,073","4,322","51,922","30,353","2,369","34,231","3,861"
2021,6,0,"19,913",182,480,84,"9,658","5,002",49,"4,342",116
2021,6,10,"12,388",271,459,132,"4,429","4,317",65,"2,569",146
2021,6,20,"12,621",627,831,345,"4,488","2,436",185,"3,399",310
2021,6,30,"27,204",584,884,341,"13,135","4,788",181,"6,944",347
2021,6,40,"24,813",663,879,336,"9,397","6,782",196,"6,112",448
2021,6,50,"16,972","1,191","1,070",854,"4,768","3,350",448,"4,523",768
2021,6,60,"16,602","1,657","1,361","1,317","4,053","2,506",619,"4,103",986
2021,6,70,"6,973",961,710,605,"1,413",848,399,"1,561",476
2021,6,80,"2,765",399,340,259,497,277,190,584,219
2021,6,90,446,52,57,47,75,46,35,93,41
2021,6,100,23,2,2,2,9,1,2,1,4
2021,7,총,"141,226","6,578","7,145","4,297","52,096","30,350","2,370","34,493","3,897"
2021,7,0,"19,881",180,483,81,"9,652","4,977",47,"4,339",122
2021,7,10,"12,481",271,473,132,"4,453","4,338",67,"2,602",145
2021,7,20,"12,681",615,847,337,"4,523","2,423",185,"3,434",317
2021,7,30,"27,145",580,887,344,"13,097","4,719",181,"6,984",353
2021,7,40,"25,060",659,901,335,"9,513","6,810",196,"6,197",449
2021,7,50,"16,987","1,186","1,075",834,"4,775","3,356",449,"4,537",775
2021,7,60,"16,720","1,665","1,365","1,316","4,085","2,536",618,"4,139",996
2021,7,70,"7,016",964,717,610,"1,415",861,399,"1,578",472
2021,7,80,"2,784",404,339,259,498,281,189,591,223
2021,7,90,446,52,56,46,76,48,36,91,41
2021,7,100,25,2,2,3,9,1,3,1,4
2021,8,총,"141,688","6,546","7,170","4,276","52,333","30,381","2,375","34,725","3,882"
2021,8,0,"19,896",179,486,82,"9,682","4,956",48,"4,345",118
2021,8,10,"12,575",264,473,129,"4,501","4,376",66,"2,625",141
2021,8,20,"12,704",615,855,330,"4,540","2,409",184,"3,463",308
2021,8,30,"27,087",574,884,346,"13,054","4,696",184,"6,997",352
2021,8,40,"25,253",645,914,330,"9,661","6,819",193,"6,246",445
2021,8,50,"17,040","1,180","1,072",822,"4,780","3,371",450,"4,593",772
2021,8,60,"16,813","1,664","1,372","1,315","4,105","2,552",621,"4,178","1,006"
2021,8,70,"7,052",967,719,617,"1,419",873,399,"1,593",465
2021,8,80,"2,784",398,337,256,502,277,192,592,230
2021,8,90,459,58,56,46,80,51,35,92,41
2021,8,100,25,2,2,3,9,1,3,1,4
2021,9,총,"142,104","6,544","7,134","4,253","52,597","30,379","2,361","34,948","3,888"
2021,9,0,"19,871",178,474,82,"9,697","4,930",53,"4,338",119
2021,9,10,"12,659",267,469,126,"4,549","4,395",63,"2,651",139
2021,9,20,"12,715",605,853,329,"4,561","2,394",179,"3,493",301
2021,9,30,"27,103",568,878,342,"13,064","4,671",195,"7,029",356
2021,9,40,"25,451",653,914,332,"9,763","6,840",191,"6,321",437
2021,9,50,"17,058","1,183","1,068",810,"4,811","3,366",435,"4,603",782
2021,9,60,"16,880","1,660","1,370","1,315","4,136","2,570",617,"4,209","1,003"
2021,9,70,"7,084",969,716,615,"1,417",881,400,"1,611",475
2021,9,80,"2,797",400,335,255,510,278,191,598,230
2021,9,90,463,59,55,44,80,53,35,95,42
2021,9,100,23,2,2,3,9,1,2,0,4
2021,10,총,"142,444","6,536","7,101","4,231","52,807","30,409","2,359","35,097","3,904"
2021,10,0,"19,872",178,466,79,"9,731","4,917",51,"4,330",120
2021,10,10,"12,732",266,468,124,"4,596","4,427",61,"2,654",136
2021,10,20,"12,665",597,854,323,"4,530","2,380",181,"3,499",301
2021,10,30,"27,038",566,872,338,"13,037","4,639",191,"7,037",358
2021,10,40,"25,640",653,908,325,"9,898","6,862",193,"6,365",436
2021,10,50,"17,130","1,186","1,061",800,"4,844","3,380",436,"4,634",789
2021,10,60,"16,939","1,658","1,367","1,314","4,146","2,583",617,"4,247","1,007"
2021,10,70,"7,145",971,718,622,"1,423",889,403,"1,637",482
2021,10,80,"2,794",399,332,257,512,276,191,599,228
2021,10,90,466,60,53,46,81,55,33,95,43
2021,10,100,23,2,2,3,9,1,2,0,4
2021,11,총,"142,768","6,558","7,078","4,229","52,926","30,402","2,351","35,290","3,934"
2021,11,0,"19,795",179,474,78,"9,703","4,872",53,"4,316",120
2021,11,10,"12,848",265,467,122,"4,652","4,451",58,"2,697",136
2021,11,20,"12,615",586,837,326,"4,522","2,363",179,"3,497",305
2021,11,30,"26,960",567,873,334,"12,996","4,613",191,"7,023",363
2021,11,40,"25,867",662,909,332,"9,984","6,887",193,"6,465",435
2021,11,50,"17,170","1,188","1,054",790,"4,858","3,393",427,"4,666",794
2021,11,60,"17,031","1,671","1,366","1,322","4,176","2,582",619,"4,273","1,022"
2021,11,70,"7,160",972,710,618,"1,431",897,403,"1,645",484
2021,11,80,"2,830",406,334,258,514,287,194,609,228
2021,11,90,469,60,52,46,81,56,32,99,43
2021,11,100,23,2,2,3,9,1,2,0,4
2021,12,총,"142,918","6,556","7,090","4,220","53,087","30,409","2,345","35,270","3,941"
2021,12,0,"19,700",181,468,78,"9,679","4,849",52,"4,279",114
2021,12,10,"12,957",267,467,118,"4,715","4,468",56,"2,724",142
2021,12,20,"12,565",574,841,320,"4,518","2,356",180,"3,469",307
2021,12,30,"26,821",563,878,336,"12,981","4,547",187,"6,969",360
2021,12,40,"26,072",660,910,331,"10,097","6,936",195,"6,506",437
2021,12,50,"17,201","1,187","1,061",785,"4,854","3,418",428,"4,675",793
2021,12,60,"17,050","1,674","1,364","1,318","4,192","2,586",614,"4,272","1,030"
2021,12,70,"7,224",981,711,628,"1,447",902,406,"1,662",487
2021,12,80,"2,845",404,334,259,519,289,195,616,229
2021,12,90,471,63,54,45,83,57,30,98,41
2021,12,100,12,2,2,2,2,1,2,0,1
