년도,월,나이,횡성군,횡성읍,우천면,안흥면,둔내면,갑천면,청일면,공근면,서원면,강림면
2021,2,20,"3,802","2,246",370,140,395,125,120,203,117,86
2021,2,30,"3,416","2,014",258,126,431,111,92,177,133,74
2021,2,40,"5,094","2,949",419,187,650,167,162,274,157,129
2021,2,50,"8,693","3,650",901,561,"1,184",455,511,696,390,345
2021,2,60,"10,399","3,333","1,162",798,"1,419",739,749,"1,005",654,540
2021,2,70,"5,582","1,820",658,423,704,404,396,545,311,321
2021,2,80,"3,320","1,070",384,244,438,244,234,349,216,141
2021,2,90,523,193,57,40,53,36,40,65,30,9
2021,2,100,37,13,6,3,5,3,2,3,2,0
2021,3,총,"46,399","20,663","4,520","3,172","5,885","2,395","2,386","3,505","2,128","1,745"
2021,3,0,"2,125","1,436",126,70,250,36,29,78,68,32
2021,3,10,"3,571","1,974",212,593,387,82,71,115,67,70
2021,3,20,"3,788","2,254",372,135,387,130,115,200,115,80
2021,3,30,"3,375","1,999",257,125,423,109,85,173,129,75
2021,3,40,"5,052","2,927",414,187,646,161,162,272,154,129
2021,3,50,"8,634","3,659",878,552,"1,177",451,495,691,385,346
2021,3,60,"10,450","3,341","1,168",799,"1,419",744,757,"1,019",655,548
2021,3,70,"5,543","1,793",657,424,707,396,399,539,313,315
2021,3,80,"3,319","1,076",380,244,432,246,233,354,212,142
2021,3,90,516,193,54,40,53,37,39,64,28,8
2021,3,100,26,11,2,3,4,3,1,0,2,0
2021,4,총,"46,510","20,791","4,498","3,155","5,902","2,406","2,383","3,514","2,122","1,739"
2021,4,0,"2,135","1,441",124,68,253,37,30,79,68,35
2021,4,10,"3,554","1,972",205,593,382,81,69,115,67,70
2021,4,20,"3,797","2,285",369,134,382,133,111,194,113,76
2021,4,30,"3,390","2,022",250,122,424,107,88,177,127,73
2021,4,40,"5,039","2,936",411,183,639,164,160,269,152,125
2021,4,50,"8,597","3,656",864,546,"1,176",459,483,688,381,344
2021,4,60,"10,566","3,387","1,179",801,"1,444",743,769,"1,033",660,550
2021,4,70,"5,539","1,793",653,421,712,393,398,539,314,316
2021,4,80,"3,345","1,090",385,244,433,249,236,356,210,142
2021,4,90,521,198,56,40,52,37,38,64,28,8
2021,4,100,27,11,2,3,5,3,1,0,2,0
2021,5,총,"46,589","20,912","4,466","3,166","5,874","2,400","2,392","3,511","2,119","1,749"
2021,5,0,"2,129","1,448",121,68,248,34,31,76,68,35
2021,5,10,"3,565","1,978",203,592,387,80,71,117,66,71
2021,5,20,"3,790","2,291",371,134,373,132,109,191,112,77
2021,5,30,"3,367","2,032",238,120,415,103,88,171,129,71
2021,5,40,"5,023","2,929",411,186,627,163,161,270,148,128
2021,5,50,"8,603","3,683",856,535,"1,171",456,486,690,381,345
2021,5,60,"10,653","3,443","1,169",814,"1,451",746,776,"1,037",661,556
2021,5,70,"5,534","1,800",651,426,708,388,397,536,313,315
2021,5,80,"3,362","1,095",386,246,437,256,232,358,209,143
2021,5,90,536,202,58,42,52,39,40,65,30,8
2021,5,100,27,11,2,3,5,3,1,0,2,0
2021,6,총,"46,614","20,964","4,455","3,166","5,872","2,399","2,375","3,511","2,122","1,750"
2021,6,0,"2,123","1,443",121,70,247,36,31,75,65,35
2021,6,10,"3,570","1,991",199,593,387,80,69,114,66,71
2021,6,20,"3,791","2,293",370,134,378,132,101,191,115,77
2021,6,30,"3,349","2,028",236,115,408,104,89,167,130,72
2021,6,40,"5,014","2,935",407,185,624,165,158,268,148,124
2021,6,50,"8,558","3,678",845,530,"1,159",451,479,694,381,341
2021,6,60,"10,749","3,482","1,184",828,"1,469",741,775,"1,047",660,563
2021,6,70,"5,496","1,781",649,423,699,388,397,528,314,317
2021,6,80,"3,397","1,117",384,242,444,260,235,362,211,142
2021,6,90,539,205,58,43,52,39,40,65,30,7
2021,6,100,28,11,2,3,5,3,1,0,2,1
2021,7,총,"46,652","20,988","4,463","3,159","5,870","2,415","2,389","3,506","2,113","1,749"
2021,7,0,"2,118","1,447",120,68,240,36,32,75,65,35
2021,7,10,"3,561","1,990",200,590,392,75,68,111,64,71
2021,7,20,"3,778","2,300",365,133,366,137,103,190,112,72
2021,7,30,"3,331","2,014",237,116,407,102,89,165,130,71
2021,7,40,"5,006","2,937",407,183,616,165,160,263,149,126
2021,7,50,"8,558","3,681",848,534,"1,155",461,476,690,374,339
2021,7,60,"10,825","3,497","1,192",830,"1,490",746,781,"1,053",669,567
2021,7,70,"5,501","1,788",648,419,696,388,402,529,311,320
2021,7,80,"3,410","1,118",385,242,452,263,237,364,209,140
2021,7,90,535,205,59,41,51,39,40,66,27,7
2021,7,100,29,11,2,3,5,3,1,0,3,1
2021,8,총,"46,635","21,000","4,464","3,159","5,866","2,407","2,389","3,484","2,112","1,754"
2021,8,0,"2,114","1,443",121,68,243,36,30,71,65,37
2021,8,10,"3,552","1,989",197,593,391,72,66,109,63,72
2021,8,20,"3,745","2,290",364,128,357,139,100,187,110,70
2021,8,30,"3,319","1,998",241,117,405,101,92,162,130,73
2021,8,40,"4,978","2,942",401,182,604,163,157,257,146,126
2021,8,50,"8,561","3,681",850,535,"1,164",461,481,678,372,339
2021,8,60,"10,885","3,529","1,195",834,"1,501",744,782,"1,060",676,564
2021,8,70,"5,491","1,783",647,417,694,386,403,526,311,324
2021,8,80,"3,418","1,123",388,240,451,264,237,366,208,141
2021,8,90,543,211,58,43,50,38,40,68,28,7
2021,8,100,29,11,2,2,6,3,1,0,3,1
2021,9,총,"46,566","20,971","4,448","3,159","5,864","2,414","2,391","3,467","2,105","1,747"
2021,9,0,"2,125","1,450",124,71,241,38,31,70,64,36
2021,9,10,"3,527","1,978",194,583,391,71,67,107,64,72
2021,9,20,"3,681","2,260",354,131,349,133,96,184,106,68
2021,9,30,"3,291","1,987",234,118,397,102,95,161,126,71
2021,9,40,"4,961","2,941",397,179,600,166,153,250,148,127
2021,9,50,"8,554","3,684",852,535,"1,167",458,481,672,368,337
2021,9,60,"10,945","3,548","1,197",838,"1,508",760,788,"1,066",678,562
2021,9,70,"5,482","1,778",645,416,699,383,404,524,310,323
2021,9,80,"3,430","1,124",392,244,452,263,235,367,210,143
2021,9,90,542,211,57,42,54,37,40,66,28,7
2021,9,100,28,10,2,2,6,3,1,0,3,1
2021,10,총,"46,586","20,966","4,457","3,167","5,858","2,435","2,384","3,470","2,099","1,750"
2021,10,0,"2,113","1,441",125,67,241,38,35,67,64,35
2021,10,10,"3,528","1,983",194,583,385,75,65,110,62,71
2021,10,20,"3,653","2,239",347,132,348,132,96,183,106,70
2021,10,30,"3,274","1,981",232,115,402,98,94,158,125,69
2021,10,40,"4,943","2,935",395,181,581,167,157,250,152,125
2021,10,50,"8,553","3,686",855,536,"1,169",464,471,670,363,339
2021,10,60,"11,046","3,578","1,219",851,"1,520",771,787,"1,076",681,563
2021,10,70,"5,464","1,775",636,413,699,390,399,523,305,324
2021,10,80,"3,440","1,128",394,246,453,260,237,366,211,145
2021,10,90,546,211,59,41,54,37,42,67,27,8
2021,10,100,26,9,1,2,6,3,1,0,3,1
2021,11,총,"46,583","20,965","4,471","3,172","5,847","2,421","2,387","3,469","2,103","1,748"
2021,11,0,"2,106","1,444",127,67,239,32,34,67,61,35
2021,11,10,"3,517","1,983",195,583,383,73,65,107,58,70
2021,11,20,"3,633","2,230",346,128,346,131,96,181,109,66
2021,11,30,"3,269","1,986",232,116,395,92,94,157,127,70
2021,11,40,"4,921","2,927",391,178,573,166,154,254,154,124
2021,11,50,"8,521","3,672",853,544,"1,160",462,465,670,358,337
2021,11,60,"11,145","3,612","1,230",852,"1,540",778,795,"1,078",691,569
2021,11,70,"5,453","1,763",641,413,701,387,406,520,302,320
2021,11,80,"3,449","1,129",395,248,451,261,235,369,214,147
2021,11,90,543,210,60,40,52,38,42,66,26,9
2021,11,100,26,9,1,3,7,1,1,0,3,1
2021,12,총,"46,481","20,967","4,456","3,101","5,838","2,426","2,379","3,473","2,092","1,749"
2021,12,0,"2,108","1,442",124,69,234,34,37,71,60,37
2021,12,10,"3,441","1,981",196,516,383,71,64,107,56,67
2021,12,20,"3,622","2,226",343,122,341,134,95,187,107,67
2021,12,30,"3,240","1,979",224,116,394,92,92,155,120,68
2021,12,40,"4,926","2,926",391,179,577,167,151,257,155,123
2021,12,50,"8,502","3,680",842,542,"1,152",455,460,670,357,344
2021,12,60,"11,158","3,610","1,240",855,"1,543",783,795,"1,075",691,566
2021,12,70,"5,466","1,772",641,410,702,390,407,515,306,323
2021,12,80,"3,454","1,132",396,249,455,260,235,372,211,144
2021,12,90,538,210,58,40,50,39,42,64,26,9
2021,12,100,26,9,1,3,7,1,1,0,3,1
