년도,월,나이,구로구,신도림동,구로제1동,구로제2동,구로제3동,구로제4동,구로제5동,가리봉동,고척제1동,고척제2동,개봉제1동,개봉제2동,개봉제3동,오류제1동,오류제2동,수궁동,항동
2020,4,60,"25,606","1,895","1,164","1,875","1,168","1,394","1,765",856,"1,689","1,871","2,282","2,269","1,563","1,387","2,192","1,639",597
2020,4,70,"14,776",992,474,"1,197",719,938,964,415,932,"1,049","1,350","1,345",840,881,"1,455",929,296
2020,4,80,"4,324",261,127,387,220,313,290,126,225,353,398,353,250,266,457,226,72
2020,4,90,350,21,16,26,21,23,24,14,22,26,22,35,20,14,37,19,10
2020,4,100,37,0,1,6,2,5,0,5,0,2,3,3,3,1,3,3,0
2020,5,총,"200,098","17,798","10,491","12,505","12,241","10,084","14,367","5,077","11,759","13,847","16,073","15,713","10,493","11,123","19,147","11,994","7,386"
2020,5,0,"15,030","1,849","1,028",504,759,458,982,146,740,964,"1,017","1,250",677,652,"1,898",787,"1,319"
2020,5,10,"15,878","1,839","1,062",771,745,581,880,168,"1,066","1,220","1,216","1,212",808,656,"1,986","1,146",522
2020,5,20,"27,275","2,158","1,382","1,683","2,006","1,419","2,215",755,"1,729","1,909","2,199","1,944","1,381","1,793","2,291","1,620",791
2020,5,30,"32,548","3,018","1,963","1,609","2,786","1,581","2,748",711,"1,568","1,756","2,307","2,465","1,596","2,270","2,636","1,767","1,767"
2020,5,40,"32,811","3,216","1,841","1,958","2,244","1,582","2,160",695,"1,840","2,238","2,514","2,525","1,692","1,680","3,448","1,944","1,234"
2020,5,50,"31,314","2,543","1,434","2,476","1,571","1,782","2,321","1,181","1,952","2,445","2,752","2,302","1,656","1,513","2,724","1,906",756
2020,5,60,"25,659","1,888","1,161","1,883","1,161","1,391","1,771",859,"1,691","1,875","2,298","2,269","1,561","1,393","2,207","1,640",611
2020,5,70,"14,847","1,004",476,"1,201",723,943,976,417,922,"1,059","1,348","1,352",847,886,"1,455",936,302
2020,5,80,"4,348",262,126,388,222,319,289,126,230,354,396,358,251,265,462,226,74
2020,5,90,351,21,17,26,22,23,25,14,21,25,23,33,21,14,37,19,10
2020,5,100,37,0,1,6,2,5,0,5,0,2,3,3,3,1,3,3,0
2020,6,총,"200,098","17,790","10,543","12,488","12,262","10,061","14,367","5,078","11,738","13,795","16,031","15,675","10,488","11,128","19,083","11,928","7,643"
2020,6,0,"14,990","1,822","1,036",496,758,447,984,141,735,965,"1,015","1,235",670,652,"1,869",781,"1,384"
2020,6,10,"15,830","1,833","1,059",775,748,582,866,169,"1,061","1,203","1,217","1,201",810,654,"1,981","1,134",537
2020,6,20,"27,256","2,160","1,374","1,699","2,021","1,394","2,209",760,"1,744","1,910","2,185","1,947","1,372","1,784","2,280","1,614",803
2020,6,30,"32,560","3,028","2,000","1,606","2,779","1,576","2,762",719,"1,551","1,740","2,305","2,439","1,577","2,273","2,616","1,754","1,835"
2020,6,40,"32,759","3,217","1,841","1,937","2,238","1,589","2,143",690,"1,828","2,223","2,491","2,519","1,694","1,684","3,448","1,928","1,289"
2020,6,50,"31,272","2,540","1,435","2,469","1,588","1,777","2,326","1,171","1,948","2,427","2,734","2,301","1,660","1,520","2,713","1,889",774
2020,6,60,"25,792","1,897","1,168","1,896","1,157","1,398","1,778",864,"1,694","1,891","2,318","2,279","1,574","1,398","2,210","1,645",625
2020,6,70,"14,879","1,006",483,"1,189",726,949,979,418,926,"1,061","1,345","1,356",850,883,"1,461",936,311
2020,6,80,"4,371",266,128,390,223,320,295,127,230,350,395,362,256,265,464,225,75
2020,6,90,352,21,18,25,22,24,25,14,21,23,23,33,22,14,38,19,10
2020,6,100,37,0,1,6,2,5,0,5,0,2,3,3,3,1,3,3,0
2020,7,총,"200,163","17,817","10,550","12,473","12,247","10,043","14,351","5,093","11,682","13,764","16,091","15,662","10,434","11,123","19,063","11,917","7,853"
2020,7,0,"14,941","1,826","1,033",492,761,445,989,138,726,955,"1,014","1,215",665,647,"1,834",775,"1,426"
2020,7,10,"15,803","1,834","1,057",775,745,583,856,174,"1,043","1,198","1,225","1,194",808,648,"1,983","1,134",546
2020,7,20,"27,301","2,157","1,378","1,692","2,010","1,391","2,210",764,"1,752","1,911","2,184","1,956","1,371","1,786","2,303","1,615",821
2020,7,30,"32,483","3,027","2,001","1,606","2,775","1,573","2,743",727,"1,531","1,727","2,318","2,413","1,545","2,275","2,590","1,733","1,899"
2020,7,40,"32,763","3,214","1,843","1,929","2,233","1,572","2,144",687,"1,823","2,216","2,505","2,517","1,695","1,676","3,447","1,935","1,327"
2020,7,50,"31,341","2,557","1,436","2,472","1,597","1,779","2,318","1,172","1,948","2,417","2,753","2,318","1,649","1,514","2,727","1,882",802
2020,7,60,"25,836","1,903","1,168","1,896","1,152","1,407","1,785",867,"1,686","1,895","2,317","2,287","1,562","1,416","2,212","1,654",629
2020,7,70,"14,897","1,012",487,"1,193",728,942,986,415,923,"1,068","1,348","1,354",854,877,"1,452",941,317
2020,7,80,"4,399",266,127,388,222,320,294,128,229,352,400,369,260,268,474,226,76
2020,7,90,360,21,19,24,22,26,26,16,20,23,24,36,21,15,38,19,10
2020,7,100,39,0,1,6,2,5,0,5,1,2,3,3,4,1,3,3,0
2020,8,총,"200,251","17,785","10,527","12,463","12,195","9,996","14,353","5,087","11,677","13,716","16,630","15,605","10,356","11,072","18,973","11,858","7,958"
2020,8,0,"14,851","1,815","1,028",488,750,439,976,132,725,938,"1,058","1,197",650,633,"1,794",773,"1,455"
2020,8,10,"15,803","1,838","1,050",775,743,570,839,176,"1,051","1,197","1,262","1,190",801,647,"1,988","1,125",551
2020,8,20,"27,249","2,138","1,360","1,689","2,003","1,382","2,215",762,"1,740","1,897","2,291","1,936","1,354","1,766","2,296","1,600",820
2020,8,30,"32,523","3,017","2,002","1,622","2,742","1,578","2,735",733,"1,536","1,722","2,467","2,388","1,524","2,263","2,555","1,718","1,921"
2020,8,40,"32,717","3,204","1,841","1,912","2,223","1,555","2,151",689,"1,813","2,215","2,554","2,508","1,676","1,660","3,433","1,927","1,356"
2020,8,50,"31,336","2,559","1,434","2,463","1,601","1,770","2,323","1,156","1,946","2,400","2,823","2,313","1,642","1,518","2,704","1,873",811
2020,8,60,"26,008","1,914","1,176","1,903","1,147","1,405","1,804",876,"1,690","1,893","2,388","2,303","1,564","1,421","2,228","1,658",638
2020,8,70,"14,929","1,013",485,"1,189",738,947,986,410,925,"1,075","1,351","1,357",856,880,"1,462",938,317
2020,8,80,"4,434",266,131,391,223,319,299,132,230,353,408,375,263,268,472,225,79
2020,8,90,362,20,19,25,23,26,25,16,20,24,26,35,22,15,38,18,10
2020,8,100,39,1,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020,9,총,"200,268","17,771","10,511","12,419","12,185","9,989","14,328","5,062","11,608","13,624","17,014","15,597","10,264","11,077","18,944","11,878","7,997"
2020,9,0,"14,766","1,808","1,017",484,744,441,959,131,714,932,"1,088","1,178",627,627,"1,778",777,"1,461"
2020,9,10,"15,749","1,846","1,042",772,737,574,836,171,"1,036","1,180","1,267","1,198",793,642,"1,973","1,122",560
2020,9,20,"27,230","2,124","1,361","1,682","2,014","1,380","2,220",759,"1,727","1,868","2,360","1,945","1,343","1,742","2,292","1,595",818
2020,9,30,"32,504","3,024","1,996","1,620","2,712","1,557","2,730",736,"1,527","1,703","2,590","2,349","1,489","2,267","2,560","1,730","1,914"
2020,9,40,"32,646","3,201","1,842","1,883","2,222","1,540","2,141",684,"1,797","2,210","2,563","2,499","1,654","1,679","3,430","1,920","1,381"
2020,9,50,"31,364","2,535","1,435","2,461","1,615","1,777","2,315","1,140","1,939","2,379","2,901","2,328","1,638","1,522","2,697","1,875",807
2020,9,60,"26,140","1,924","1,184","1,911","1,152","1,409","1,818",882,"1,681","1,897","2,432","2,313","1,565","1,434","2,230","1,660",648
2020,9,70,"14,976","1,019",479,"1,183",736,959,981,407,924,"1,071","1,371","1,371",861,881,"1,467",947,319
2020,9,80,"4,482",269,135,393,226,321,304,130,240,358,411,376,268,266,475,231,79
2020,9,90,372,20,19,24,25,26,24,17,22,24,29,37,22,16,39,18,10
2020,9,100,39,1,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020,10,총,"200,195","17,731","10,500","12,434","12,161","9,951","14,309","5,041","11,612","13,597","17,157","15,607","10,221","11,069","18,956","11,845","8,004"
2020,10,0,"14,668","1,808","1,010",474,727,438,959,128,715,921,"1,104","1,160",614,622,"1,764",766,"1,458"
2020,10,10,"15,699","1,835","1,040",786,738,565,831,164,"1,024","1,170","1,269","1,187",794,638,"1,983","1,115",560
2020,10,20,"27,240","2,118","1,359","1,682","2,012","1,373","2,196",771,"1,736","1,871","2,372","1,975","1,333","1,738","2,284","1,601",819
2020,10,30,"32,391","3,009","1,982","1,624","2,694","1,545","2,739",733,"1,528","1,685","2,639","2,315","1,458","2,259","2,564","1,714","1,903"
2020,10,40,"32,595","3,211","1,834","1,882","2,224","1,525","2,138",669,"1,790","2,190","2,570","2,513","1,649","1,675","3,423","1,909","1,393"
2020,10,50,"31,426","2,533","1,448","2,469","1,615","1,776","2,312","1,133","1,933","2,391","2,919","2,337","1,639","1,532","2,712","1,865",812
2020,10,60,"26,213","1,905","1,188","1,908","1,164","1,416","1,814",882,"1,695","1,902","2,455","2,309","1,578","1,433","2,233","1,682",649
2020,10,70,"15,024","1,017",483,"1,179",736,952,992,407,928,"1,081","1,378","1,394",857,886,"1,476",937,321
2020,10,80,"4,522",274,136,398,225,329,305,132,239,359,418,377,273,269,475,234,79
2020,10,90,378,20,19,26,24,27,23,17,23,25,31,37,22,16,39,19,10
2020,10,100,39,1,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020,11,총,"200,063","17,698","10,453","12,442","12,185","9,928","14,282","5,054","11,575","13,597","17,164","15,565","10,222","11,072","18,944","11,869","8,013"
2020,11,0,"14,554","1,804",995,473,714,438,952,130,699,932,"1,097","1,146",598,618,"1,736",771,"1,451"
2020,11,10,"15,657","1,828","1,037",782,739,567,825,160,"1,010","1,165","1,263","1,180",793,638,"1,982","1,118",570
2020,11,20,"27,210","2,099","1,346","1,690","2,031","1,357","2,199",789,"1,738","1,867","2,363","1,966","1,341","1,734","2,277","1,602",811
2020,11,30,"32,314","2,990","1,964","1,628","2,706","1,526","2,745",730,"1,512","1,681","2,653","2,309","1,448","2,252","2,566","1,704","1,900"
2020,11,40,"32,564","3,219","1,834","1,870","2,225","1,525","2,114",672,"1,785","2,181","2,558","2,512","1,661","1,668","3,406","1,918","1,416"
2020,11,50,"31,420","2,519","1,447","2,464","1,617","1,777","2,314","1,124","1,934","2,386","2,929","2,326","1,642","1,544","2,728","1,867",802
2020,11,60,"26,300","1,920","1,197","1,920","1,167","1,420","1,808",885,"1,699","1,907","2,463","2,317","1,570","1,440","2,239","1,696",652
2020,11,70,"15,075","1,020",477,"1,183",731,956,994,407,938,"1,090","1,381","1,396",868,889,"1,491",932,322
2020,11,80,"4,549",279,135,400,229,329,309,135,236,362,424,373,275,272,476,236,79
2020,11,90,381,19,20,26,24,28,22,17,23,24,31,37,22,16,40,22,10
2020,11,100,39,1,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020,12,총,"199,673","17,684","10,412","12,414","12,176","9,887","14,261","5,031","11,543","13,532","17,172","15,497","10,204","11,110","18,867","11,847","8,036"
2020,12,0,"14,406","1,807",981,464,710,426,945,132,688,911,"1,085","1,128",595,614,"1,701",763,"1,456"
2020,12,10,"15,594","1,816","1,035",767,732,569,817,158,"1,020","1,158","1,264","1,171",779,633,"1,991","1,105",579
2020,12,20,"27,221","2,101","1,345","1,702","2,023","1,342","2,219",779,"1,724","1,860","2,366","1,947","1,340","1,784","2,270","1,609",810
2020,12,30,"32,215","2,990","1,949","1,613","2,718","1,520","2,717",733,"1,513","1,674","2,654","2,290","1,444","2,262","2,548","1,698","1,892"
2020,12,40,"32,410","3,214","1,828","1,856","2,218","1,510","2,113",670,"1,779","2,163","2,568","2,484","1,652","1,660","3,373","1,903","1,419"
2020,12,50,"31,327","2,511","1,433","2,466","1,609","1,779","2,304","1,107","1,925","2,367","2,917","2,344","1,643","1,540","2,717","1,861",804
2020,12,60,"26,394","1,922","1,207","1,923","1,180","1,414","1,821",891,"1,691","1,919","2,476","2,313","1,579","1,444","2,251","1,701",662
2020,12,70,"15,102","1,020",477,"1,186",729,962,989,406,940,"1,092","1,379","1,406",871,887,"1,496",937,325
2020,12,80,"4,585",282,137,406,229,333,314,133,239,362,431,375,275,269,477,244,79
2020,12,90,379,19,19,25,26,27,22,17,23,24,30,36,22,16,40,23,10
2020,12,100,40,2,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2021,1,총,"199,243","17,671","10,406","12,381","12,180","9,859","14,227","5,024","11,498","13,493","17,184","15,443","10,130","11,117","18,786","11,810","8,034"
2021,1,0,"14,224","1,794",968,457,703,420,937,127,678,900,"1,082","1,114",576,597,"1,659",759,"1,453"
2021,1,10,"15,479","1,813","1,037",765,721,560,805,156,"1,005","1,158","1,255","1,156",780,625,"1,971","1,092",580
2021,1,20,"27,150","2,084","1,337","1,690","2,028","1,338","2,205",789,"1,726","1,837","2,373","1,936","1,327","1,806","2,274","1,601",799
2021,1,30,"32,101","2,980","1,946","1,615","2,723","1,521","2,715",732,"1,499","1,663","2,670","2,284","1,417","2,256","2,524","1,680","1,876"
2021,1,40,"32,312","3,211","1,829","1,835","2,221","1,509","2,108",661,"1,765","2,157","2,541","2,466","1,642","1,667","3,363","1,899","1,438"
2021,1,50,"31,237","2,517","1,430","2,454","1,610","1,762","2,296","1,105","1,925","2,350","2,923","2,336","1,625","1,538","2,709","1,846",811
2021,1,60,"26,552","1,937","1,218","1,934","1,182","1,407","1,836",894,"1,693","1,943","2,485","2,328","1,595","1,449","2,264","1,727",660
2021,1,70,"15,124","1,029",483,"1,188",735,971,984,403,941,"1,095","1,381","1,407",863,890,"1,497",929,328
2021,1,80,"4,641",285,138,413,229,339,318,135,242,363,439,378,278,273,481,252,78
2021,1,90,381,19,18,24,26,27,23,17,23,25,33,35,23,15,41,21,11
2021,1,100,42,2,2,6,2,5,0,5,1,2,2,3,4,1,3,4,0
2021,2,총,"198,687","17,581","10,373","12,362","12,156","9,823","14,211","5,010","11,411","13,443","17,179","15,371","10,084","11,158","18,717","11,767","8,041"
2021,2,0,"13,999","1,764",945,449,684,411,927,125,657,881,"1,081","1,093",563,591,"1,626",745,"1,457"
2021,2,10,"15,328","1,792","1,035",754,709,557,794,152,975,"1,155","1,241","1,153",770,629,"1,961","1,066",585
2021,2,20,"27,110","2,068","1,332","1,682","2,039","1,324","2,228",789,"1,727","1,836","2,374","1,929","1,320","1,819","2,257","1,605",781
2021,2,30,"31,932","2,959","1,928","1,604","2,708","1,512","2,723",738,"1,487","1,639","2,670","2,243","1,409","2,261","2,529","1,661","1,861"
2021,2,40,"32,160","3,196","1,829","1,836","2,217","1,498","2,082",650,"1,735","2,153","2,528","2,452","1,639","1,678","3,327","1,884","1,456"
2021,2,50,"31,241","2,520","1,432","2,453","1,617","1,764","2,296","1,096","1,922","2,326","2,939","2,344","1,610","1,535","2,710","1,856",821
2021,2,60,"26,674","1,942","1,230","1,951","1,185","1,413","1,838",897,"1,697","1,966","2,494","2,318","1,605","1,463","2,280","1,735",660
2021,2,70,"15,141","1,033",485,"1,184",737,968,979,407,943,"1,097","1,377","1,420",860,887,"1,502",932,330
2021,2,80,"4,670",285,137,418,231,343,320,134,245,362,440,379,281,279,481,256,79
2021,2,90,391,20,18,25,27,28,24,18,22,26,33,37,23,15,41,23,11
2021,2,100,41,2,2,6,2,5,0,4,1,2,2,3,4,1,3,4,0
2021,3,총,"198,034","17,513","10,364","12,285","12,106","9,728","14,242","4,941","11,345","13,412","17,178","15,327","10,034","11,135","18,624","11,754","8,046"
2021,3,0,"13,907","1,765",940,444,670,410,928,127,656,878,"1,084","1,087",561,591,"1,591",735,"1,440"
2021,3,10,"15,298","1,794","1,029",757,704,545,795,154,979,"1,141","1,231","1,144",759,627,"1,967","1,075",597
2021,3,20,"27,126","2,040","1,335","1,689","2,069","1,334","2,254",798,"1,700","1,845","2,366","1,925","1,317","1,824","2,248","1,596",786
2021,3,30,"31,838","2,958","1,926","1,597","2,700","1,502","2,729",740,"1,475","1,630","2,673","2,220","1,401","2,268","2,521","1,656","1,842"
2021,3,40,"31,989","3,179","1,824","1,817","2,207","1,484","2,080",640,"1,729","2,138","2,522","2,456","1,610","1,673","3,298","1,868","1,464"
2021,3,50,"31,106","2,516","1,424","2,427","1,605","1,744","2,292","1,067","1,914","2,312","2,928","2,335","1,615","1,529","2,702","1,871",825
2021,3,60,"26,687","1,933","1,242","1,954","1,187","1,389","1,842",884,"1,690","1,977","2,514","2,321","1,614","1,446","2,282","1,747",665
2021,3,70,"15,044","1,022",489,"1,169",710,956,979,392,936,"1,096","1,383","1,422",857,880,"1,493",926,334
2021,3,80,"4,654",288,136,406,229,338,320,123,245,370,438,379,276,283,483,258,82
2021,3,90,371,16,18,25,25,26,23,15,20,25,37,36,22,14,38,20,11
2021,3,100,14,2,1,0,0,0,0,1,1,0,2,2,2,0,1,2,0
2021,4,총,"197,653","17,506","10,333","12,247","12,116","9,707","14,261","4,937","11,318","13,371","17,106","15,257","9,995","11,150","18,591","11,720","8,038"
2021,4,0,"13,797","1,760",934,436,666,410,917,128,651,872,"1,068","1,081",549,590,"1,571",731,"1,433"
2021,4,10,"15,271","1,797","1,026",754,691,543,801,154,973,"1,142","1,219","1,135",755,624,"1,972","1,072",613
2021,4,20,"27,054","2,028","1,336","1,665","2,077","1,348","2,255",811,"1,680","1,821","2,364","1,916","1,313","1,824","2,250","1,593",773
2021,4,30,"31,773","2,957","1,904","1,608","2,704","1,500","2,736",743,"1,469","1,625","2,677","2,207","1,381","2,274","2,510","1,654","1,824"
2021,4,40,"31,889","3,182","1,819","1,792","2,211","1,472","2,086",628,"1,737","2,125","2,507","2,419","1,611","1,685","3,285","1,853","1,477"
2021,4,50,"31,054","2,512","1,420","2,431","1,609","1,735","2,300","1,062","1,905","2,306","2,908","2,330","1,615","1,523","2,699","1,871",828
2021,4,60,"26,710","1,941","1,245","1,957","1,188","1,383","1,849",884,"1,687","1,987","2,514","2,323","1,609","1,443","2,281","1,751",668
2021,4,70,"15,034","1,020",487,"1,167",719,950,972,389,945,"1,090","1,378","1,424",859,886,"1,501",918,329
2021,4,80,"4,691",290,143,413,228,340,323,123,249,378,434,384,279,287,483,255,82
2021,4,90,367,17,18,24,23,26,22,14,21,25,36,36,22,14,38,20,11
2021,4,100,13,2,1,0,0,0,0,1,1,0,1,2,2,0,1,2,0
2021,5,총,"197,398","17,471","10,312","12,199","12,134","9,712","14,262","4,917","11,300","13,335","17,099","15,233","9,961","11,160","18,551","11,711","8,041"
2021,5,0,"13,714","1,748",931,431,656,420,912,123,646,866,"1,075","1,074",538,594,"1,542",737,"1,421"
2021,5,10,"15,265","1,801","1,024",748,690,540,799,157,968,"1,139","1,212","1,140",746,622,"1,991","1,069",619
2021,5,20,"27,018","2,021","1,329","1,672","2,106","1,345","2,245",817,"1,677","1,810","2,355","1,903","1,308","1,821","2,238","1,597",774
2021,5,30,"31,643","2,946","1,879","1,591","2,685","1,499","2,749",742,"1,474","1,610","2,681","2,187","1,381","2,287","2,490","1,640","1,802"
2021,5,40,"31,814","3,171","1,819","1,778","2,205","1,461","2,089",619,"1,732","2,117","2,514","2,430","1,602","1,664","3,265","1,850","1,498"
2021,5,50,"30,990","2,513","1,417","2,418","1,609","1,742","2,303","1,049","1,890","2,306","2,885","2,322","1,605","1,531","2,712","1,866",822
2021,5,60,"26,799","1,939","1,259","1,958","1,207","1,380","1,846",881,"1,693","2,002","2,523","2,322","1,623","1,448","2,283","1,753",682
2021,5,70,"15,038","1,022",489,"1,161",723,950,969,391,941,"1,085","1,376","1,430",859,890,"1,505",917,330
2021,5,80,"4,735",290,146,419,231,349,327,125,256,374,439,387,276,289,484,260,83
2021,5,90,368,18,18,23,22,26,23,12,22,26,38,35,21,14,40,20,10
2021,5,100,14,2,1,0,0,0,0,1,1,0,1,3,2,0,1,2,0
2021,6,총,"197,034","17,445","10,279","12,162","12,124","9,685","14,270","4,922","11,276","13,301","17,050","15,220","9,921","11,160","18,506","11,690","8,023"
2021,6,0,"13,666","1,754",928,435,658,414,913,123,639,862,"1,071","1,066",530,592,"1,527",738,"1,416"
2021,6,10,"15,213","1,804","1,027",741,683,538,794,155,960,"1,127","1,203","1,144",737,616,"1,994","1,071",619
2021,6,20,"26,906","2,018","1,313","1,650","2,099","1,338","2,235",831,"1,666","1,807","2,351","1,895","1,305","1,826","2,225","1,583",764
2021,6,30,"31,523","2,919","1,864","1,581","2,693","1,493","2,758",741,"1,467","1,595","2,663","2,173","1,375","2,293","2,485","1,629","1,794"
2021,6,40,"31,747","3,173","1,815","1,778","2,198","1,450","2,102",612,"1,734","2,103","2,508","2,432","1,589","1,671","3,250","1,843","1,489"
2021,6,50,"30,889","2,496","1,416","2,406","1,603","1,739","2,287","1,048","1,888","2,303","2,864","2,319","1,603","1,518","2,714","1,858",827
2021,6,60,"26,898","1,953","1,258","1,963","1,214","1,379","1,865",878,"1,697","2,015","2,535","2,332","1,622","1,450","2,281","1,769",687
2021,6,70,"15,025","1,013",493,"1,160",720,953,960,394,947,"1,088","1,375","1,433",860,885,"1,495",915,334
2021,6,80,"4,782",293,147,424,234,355,331,128,256,374,442,388,277,294,494,262,83
2021,6,90,371,20,17,24,22,26,25,11,21,27,37,35,21,15,40,20,10
2021,6,100,14,2,1,0,0,0,0,1,1,0,1,3,2,0,1,2,0
2021,7,총,"196,713","17,434","10,254","12,160","12,098","9,659","14,265","4,896","11,250","13,276","17,023","15,219","9,903","11,106","18,465","11,687","8,018"
2021,7,0,"13,582","1,763",919,432,654,412,909,121,629,850,"1,072","1,051",518,578,"1,527",732,"1,415"
2021,7,10,"15,191","1,792","1,030",733,677,540,798,153,964,"1,122","1,185","1,141",737,620,"2,004","1,068",627
