년도,월,나이,울산광역시,중구,남구,동구,북구,울주군
2020,8,10,"113,185","20,326","31,034","15,578","23,578","22,669"
2020,8,20,"145,980","27,395","46,135","17,963","27,964","26,523"
2020,8,30,"154,757","27,002","42,934","23,686","34,796","26,339"
2020,8,40,"188,931","34,738","52,181","25,891","38,449","37,672"
2020,8,50,"210,425","41,778","62,213","26,119","38,595","41,720"
2020,8,60,"141,600","31,165","40,596","22,131","18,979","28,729"
2020,8,70,"59,134","14,052","16,256","8,072","7,254","13,500"
2020,8,80,"22,267","5,071","5,510","2,420","2,971","6,295"
2020,8,90,"3,046",605,668,358,440,975
2020,8,100,167,54,34,25,20,34
2020,9,총,"1,139,368","218,862","321,494","157,396","218,903","222,713"
2020,9,0,"100,233","16,968","24,255","15,232","25,608","18,170"
2020,9,10,"112,963","20,290","30,881","15,554","23,628","22,610"
2020,9,20,"145,758","27,237","46,087","17,915","27,962","26,557"
2020,9,30,"154,000","26,841","42,730","23,541","34,679","26,209"
2020,9,40,"188,666","34,622","52,070","25,913","38,495","37,566"
2020,9,50,"210,198","41,693","62,109","26,001","38,632","41,763"
2020,9,60,"142,582","31,327","40,842","22,298","19,166","28,949"
2020,9,70,"59,335","14,110","16,274","8,112","7,301","13,538"
2020,9,80,"22,399","5,103","5,539","2,446","2,971","6,340"
2020,9,90,"3,064",615,674,358,440,977
2020,9,100,170,56,33,26,21,34
2020,10,총,"1,138,581","218,571","321,134","157,319","218,949","222,608"
2020,10,0,"99,560","16,843","24,112","15,131","25,444","18,030"
2020,10,10,"112,789","20,224","30,803","15,576","23,641","22,545"
2020,10,20,"145,618","27,183","46,019","17,893","27,959","26,564"
2020,10,30,"153,160","26,667","42,510","23,378","34,511","26,094"
2020,10,40,"188,439","34,565","51,893","25,982","38,525","37,474"
2020,10,50,"210,132","41,617","62,123","25,899","38,719","41,774"
2020,10,60,"143,512","31,516","41,011","22,469","19,379","29,137"
2020,10,70,"59,609","14,156","16,367","8,152","7,328","13,606"
2020,10,80,"22,514","5,126","5,592","2,451","2,974","6,371"
2020,10,90,"3,077",617,671,362,448,979
2020,10,100,171,57,33,26,21,34
2020,11,총,"1,137,345","218,096","320,716","157,111","218,882","222,540"
2020,11,0,"98,943","16,705","24,008","15,012","25,313","17,905"
2020,11,10,"112,596","20,195","30,652","15,594","23,667","22,488"
2020,11,20,"145,257","27,045","45,988","17,823","27,885","26,516"
2020,11,30,"152,323","26,495","42,356","23,186","34,316","25,970"
2020,11,40,"188,183","34,404","51,785","26,021","38,559","37,414"
2020,11,50,"209,890","41,551","61,988","25,801","38,730","41,820"
2020,11,60,"144,424","31,679","41,222","22,612","19,566","29,345"
2020,11,70,"59,874","14,202","16,396","8,198","7,387","13,691"
2020,11,80,"22,602","5,145","5,610","2,465","2,998","6,384"
2020,11,90,"3,081",618,677,373,440,973
2020,11,100,172,57,34,26,21,34
2020,12,총,"1,136,017","217,595","320,064","156,806","219,014","222,538"
2020,12,0,"98,506","16,638","23,877","14,889","25,296","17,806"
2020,12,10,"112,420","20,118","30,560","15,611","23,659","22,472"
2020,12,20,"144,569","26,816","45,747","17,725","27,769","26,512"
2020,12,30,"151,705","26,371","42,180","23,042","34,264","25,848"
2020,12,40,"187,808","34,258","51,653","25,990","38,590","37,317"
2020,12,50,"209,521","41,403","61,818","25,702","38,708","41,890"
2020,12,60,"145,347","31,856","41,402","22,709","19,850","29,530"
2020,12,70,"60,168","14,282","16,471","8,277","7,397","13,741"
2020,12,80,"22,712","5,163","5,644","2,467","3,022","6,416"
2020,12,90,"3,086",630,678,367,439,972
2020,12,100,175,60,34,27,20,34
2021,1,총,"1,135,370","217,191","319,780","156,596","219,175","222,628"
2021,1,0,"97,748","16,475","23,689","14,761","25,143","17,680"
2021,1,10,"112,239","20,097","30,484","15,622","23,643","22,393"
2021,1,20,"144,200","26,670","45,637","17,672","27,684","26,537"
2021,1,30,"151,063","26,222","42,107","22,856","34,144","25,734"
2021,1,40,"187,557","34,148","51,480","26,042","38,694","37,193"
2021,1,50,"209,208","41,252","61,715","25,567","38,730","41,944"
2021,1,60,"146,754","32,097","41,739","22,859","20,181","29,878"
2021,1,70,"60,475","14,343","16,552","8,342","7,462","13,776"
2021,1,80,"22,857","5,201","5,658","2,488","3,032","6,478"
2021,1,90,"3,093",627,685,359,441,981
2021,1,100,176,59,34,28,21,34
2021,2,총,"1,132,953","216,523","319,189","156,209","218,774","222,258"
2021,2,0,"97,069","16,337","23,595","14,603","24,976","17,558"
2021,2,10,"111,590","19,946","30,216","15,597","23,545","22,286"
2021,2,20,"143,223","26,376","45,421","17,576","27,437","26,413"
2021,2,30,"150,171","26,057","42,018","22,609","33,941","25,546"
2021,2,40,"187,255","34,090","51,309","26,095","38,715","37,046"
2021,2,50,"208,784","41,105","61,540","25,433","38,745","41,961"
2021,2,60,"147,840","32,285","42,016","23,003","20,417","30,119"
2021,2,70,"60,692","14,396","16,633","8,394","7,476","13,793"
2021,2,80,"23,025","5,231","5,721","2,515","3,058","6,500"
2021,2,90,"3,124",640,685,356,442,"1,001"
2021,2,100,180,60,35,28,22,35
2021,3,총,"1,129,254","215,276","318,059","155,753","218,481","221,685"
2021,3,0,"96,422","16,182","23,449","14,508","24,880","17,403"
2021,3,10,"111,038","19,806","29,974","15,563","23,473","22,222"
2021,3,20,"142,413","26,137","45,144","17,524","27,324","26,284"
2021,3,30,"149,430","25,922","41,864","22,426","33,801","25,417"
2021,3,40,"186,357","33,834","50,951","26,052","38,693","36,827"
2021,3,50,"207,808","40,765","61,295","25,320","38,621","41,807"
2021,3,60,"148,776","32,401","42,302","23,063","20,662","30,348"
2021,3,70,"60,792","14,400","16,641","8,413","7,511","13,827"
2021,3,80,"23,060","5,196","5,753","2,520","3,067","6,524"
2021,3,90,"3,070",614,666,354,432,"1,004"
2021,3,100,88,19,20,10,17,22
2021,4,총,"1,128,163","214,901","317,672","155,511","218,410","221,669"
2021,4,0,"95,855","16,103","23,328","14,385","24,740","17,299"
2021,4,10,"110,894","19,782","29,835","15,580","23,522","22,175"
2021,4,20,"142,012","25,998","45,027","17,472","27,231","26,284"
2021,4,30,"148,949","25,864","41,793","22,271","33,659","25,362"
2021,4,40,"186,142","33,747","50,890","26,067","38,732","36,706"
2021,4,50,"207,341","40,589","61,178","25,194","38,581","41,799"
2021,4,60,"149,602","32,529","42,452","23,192","20,859","30,570"
2021,4,70,"61,003","14,423","16,709","8,431","7,542","13,898"
2021,4,80,"23,183","5,232","5,763","2,554","3,083","6,551"
2021,4,90,"3,096",619,677,355,443,"1,002"
2021,4,100,86,15,20,10,18,23
2021,5,총,"1,127,175","214,775","317,184","155,284","218,303","221,629"
2021,5,0,"95,327","16,013","23,208","14,278","24,616","17,212"
2021,5,10,"110,728","19,724","29,747","15,579","23,533","22,145"
2021,5,20,"141,607","25,984","44,852","17,418","27,159","26,194"
2021,5,30,"148,396","25,748","41,663","22,159","33,526","25,300"
2021,5,40,"185,524","33,627","50,634","26,009","38,670","36,584"
2021,5,50,"207,212","40,571","61,126","25,126","38,543","41,846"
2021,5,60,"150,619","32,719","42,704","23,305","21,086","30,805"
2021,5,70,"61,261","14,474","16,767","8,490","7,611","13,919"
2021,5,80,"23,300","5,276","5,789","2,554","3,088","6,593"
2021,5,90,"3,116",624,674,357,453,"1,008"
2021,5,100,85,15,20,9,18,23
2021,6,총,"1,126,369","214,779","316,716","155,129","218,131","221,614"
2021,6,0,"94,865","15,933","23,090","14,200","24,516","17,126"
2021,6,10,"110,623","19,700","29,650","15,595","23,564","22,114"
2021,6,20,"141,167","25,969","44,667","17,340","26,987","26,204"
2021,6,30,"147,880","25,731","41,541","22,041","33,381","25,186"
2021,6,40,"185,339","33,632","50,470","26,026","38,685","36,526"
2021,6,50,"206,852","40,460","61,013","25,034","38,481","41,864"
2021,6,60,"151,599","32,894","42,958","23,450","21,290","31,007"
2021,6,70,"61,411","14,519","16,820","8,504","7,631","13,937"
2021,6,80,"23,433","5,306","5,818","2,567","3,118","6,624"
2021,6,90,"3,118",621,670,363,460,"1,004"
2021,6,100,82,14,19,9,18,22
2021,7,총,"1,125,727","214,584","316,241","154,922","218,065","221,915"
2021,7,0,"94,428","15,859","23,010","14,124","24,426","17,009"
2021,7,10,"110,546","19,668","29,554","15,603","23,644","22,077"
2021,7,20,"140,710","25,864","44,543","17,233","26,784","26,286"
2021,7,30,"147,449","25,662","41,408","21,932","33,234","25,213"
2021,7,40,"184,951","33,548","50,262","26,000","38,704","36,437"
2021,7,50,"206,594","40,402","60,870","24,947","38,458","41,917"
2021,7,60,"152,653","33,052","43,231","23,556","21,527","31,287"
2021,7,70,"61,642","14,559","16,844","8,576","7,666","13,997"
2021,7,80,"23,542","5,329","5,838","2,576","3,141","6,658"
2021,7,90,"3,129",626,662,366,463,"1,012"
2021,7,100,83,15,19,9,18,22
2021,8,총,"1,124,459","214,280","315,599","154,705","217,920","221,955"
2021,8,0,"93,908","15,720","22,903","14,033","24,333","16,919"
2021,8,10,"110,407","19,645","29,474","15,608","23,629","22,051"
2021,8,20,"139,883","25,742","44,264","17,099","26,610","26,168"
2021,8,30,"146,836","25,565","41,236","21,777","33,096","25,162"
2021,8,40,"184,554","33,440","50,104","26,003","38,673","36,334"
2021,8,50,"206,621","40,328","60,790","24,960","38,497","42,046"
2021,8,60,"153,461","33,236","43,347","23,623","21,725","31,530"
2021,8,70,"61,923","14,627","16,912","8,644","7,713","14,027"
2021,8,80,"23,627","5,335","5,874","2,583","3,161","6,674"
2021,8,90,"3,154",626,675,366,465,"1,022"
2021,8,100,85,16,20,9,18,22
2021,9,총,"1,123,236","213,833","315,118","154,566","217,736","221,983"
2021,9,0,"93,408","15,602","22,800","13,994","24,221","16,791"
2021,9,10,"110,255","19,620","29,354","15,575","23,659","22,047"
2021,9,20,"139,144","25,592","44,019","17,012","26,429","26,092"
2021,9,30,"146,202","25,422","41,186","21,666","32,911","25,017"
2021,9,40,"184,256","33,310","49,910","26,052","38,691","36,293"
2021,9,50,"206,803","40,280","60,829","24,912","38,581","42,201"
2021,9,60,"153,994","33,304","43,434","23,696","21,836","31,724"
2021,9,70,"62,185","14,703","16,968","8,679","7,762","14,073"
2021,9,80,"23,734","5,356","5,908","2,608","3,165","6,697"
2021,9,90,"3,169",628,690,363,462,"1,026"
2021,9,100,86,16,20,9,19,22
2021,10,총,"1,122,566","213,579","314,706","154,501","217,750","222,030"
2021,10,0,"92,945","15,474","22,724","13,902","24,164","16,681"
2021,10,10,"110,168","19,580","29,261","15,655","23,663","22,009"
2021,10,20,"138,484","25,470","43,791","16,910","26,237","26,076"
2021,10,30,"145,773","25,359","41,091","21,548","32,829","24,946"
2021,10,40,"183,982","33,200","49,797","26,120","38,729","36,136"
2021,10,50,"206,954","40,286","60,781","24,864","38,677","42,346"
2021,10,60,"154,649","33,426","43,563","23,758","22,000","31,902"
2021,10,70,"62,473","14,732","17,043","8,758","7,790","14,150"
2021,10,80,"23,845","5,396","5,934","2,620","3,180","6,715"
2021,10,90,"3,205",639,701,357,461,"1,047"
2021,10,100,88,17,20,9,20,22
2021,11,총,"1,122,495","213,441","314,331","154,383","218,258","222,082"
2021,11,0,"92,477","15,382","22,630","13,823","24,088","16,554"
2021,11,10,"110,182","19,555","29,247","15,644","23,735","22,001"
2021,11,20,"138,053","25,394","43,596","16,846","26,201","26,016"
2021,11,30,"145,385","25,261","40,991","21,444","32,840","24,849"
2021,11,40,"183,960","33,173","49,642","26,202","38,855","36,088"
2021,11,50,"207,162","40,298","60,795","24,844","38,792","42,433"
2021,11,60,"155,227","33,489","43,665","23,778","22,204","32,091"
2021,11,70,"62,736","14,792","17,087","8,806","7,850","14,201"
2021,11,80,"23,987","5,433","5,952","2,629","3,204","6,769"
2021,11,90,"3,241",648,706,359,469,"1,059"
2021,11,100,85,16,20,8,20,21
2021,12,총,"1,121,592","212,883","313,819","154,096","218,735","222,059"
2021,12,0,"92,018","15,265","22,540","13,711","24,039","16,463"
2021,12,10,"109,990","19,455","29,145","15,654","23,783","21,953"
2021,12,20,"137,422","25,187","43,368","16,724","26,213","25,930"
2021,12,30,"144,891","25,105","40,846","21,336","32,810","24,794"
2021,12,40,"183,954","33,097","49,604","26,172","39,009","36,072"
2021,12,50,"207,056","40,252","60,666","24,775","38,898","42,465"
2021,12,60,"155,775","33,526","43,790","23,831","22,365","32,263"
2021,12,70,"63,024","14,861","17,133","8,881","7,904","14,245"
2021,12,80,"24,119","5,467","5,993","2,645","3,224","6,790"
2021,12,90,"3,276",657,721,359,473,"1,066"
2021,12,100,67,11,13,8,17,18
