년도,월,나이,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021,5,0,562,345,17,23,27,54,33,21,42
2021,5,10,847,481,34,39,70,73,43,23,84
2021,5,20,863,472,30,39,55,87,54,47,79
2021,5,30,744,420,26,35,40,63,55,41,64
2021,5,40,"1,262",699,49,49,97,142,61,68,97
2021,5,50,"2,003",913,101,108,228,174,153,88,238
2021,5,60,"2,416",882,124,146,303,266,238,149,308
2021,5,70,"2,214",717,128,175,226,236,260,158,314
2021,5,80,"1,741",478,93,129,202,202,246,138,253
2021,5,90,310,91,23,17,40,32,46,25,36
2021,5,100,14,4,1,1,2,3,2,0,1
2021,6,총,"12,951","5,479",626,759,"1,287","1,341","1,189",762,"1,508"
2021,6,0,549,332,16,23,26,56,33,21,42
2021,6,10,842,475,34,39,72,73,42,23,84
2021,6,20,862,470,33,39,54,87,56,47,76
2021,6,30,747,422,23,36,40,65,54,40,67
2021,6,40,"1,253",693,49,49,96,141,60,69,96
2021,6,50,"2,003",908,102,108,229,177,154,90,235
2021,6,60,"2,419",885,122,148,300,267,237,151,309
2021,6,70,"2,213",722,129,172,223,235,261,158,313
2021,6,80,"1,738",473,94,127,206,204,246,138,250
2021,6,90,311,95,23,17,39,33,44,25,35
2021,6,100,14,4,1,1,2,3,2,0,1
2021,7,총,"12,921","5,475",623,758,"1,276","1,343","1,185",754,"1,507"
2021,7,0,537,327,17,22,25,56,32,18,40
2021,7,10,838,478,32,38,69,72,43,22,84
2021,7,20,847,460,32,38,53,90,53,45,76
2021,7,30,733,413,22,36,40,64,52,40,66
2021,7,40,"1,255",695,50,51,94,140,62,69,94
2021,7,50,"1,999",909,103,106,230,178,148,89,236
2021,7,60,"2,424",884,121,150,300,269,241,149,310
2021,7,70,"2,206",726,128,166,225,233,260,158,310
2021,7,80,"1,755",479,93,133,202,205,248,140,255
2021,7,90,314,100,24,17,37,33,44,24,35
2021,7,100,13,4,1,1,1,3,2,0,1
2021,8,총,"12,920","5,455",625,759,"1,280","1,340","1,198",749,"1,514"
2021,8,0,541,323,16,22,28,53,37,18,44
2021,8,10,845,483,32,37,69,72,44,22,86
2021,8,20,830,448,31,38,54,92,53,42,72
2021,8,30,738,414,24,36,42,63,54,40,65
2021,8,40,"1,248",684,49,52,95,141,66,67,94
2021,8,50,"2,000",907,106,109,225,177,147,91,238
2021,8,60,"2,421",886,118,150,299,267,240,148,313
2021,8,70,"2,205",730,130,166,221,234,261,156,307
2021,8,80,"1,760",477,92,131,209,204,250,140,257
2021,8,90,319,99,26,17,37,34,44,25,37
2021,8,100,13,4,1,1,1,3,2,0,1
2021,9,총,"12,872","5,419",626,760,"1,284","1,337","1,186",743,"1,517"
2021,9,0,542,323,17,23,28,54,35,17,45
2021,9,10,840,479,30,37,70,70,46,22,86
2021,9,20,799,430,33,39,54,90,47,38,68
2021,9,30,738,411,24,35,45,62,53,39,69
2021,9,40,"1,232",671,49,51,95,139,66,66,95
2021,9,50,"1,991",905,106,111,220,178,144,91,236
2021,9,60,"2,430",887,119,150,302,268,239,148,317
2021,9,70,"2,190",728,126,165,219,235,258,157,302
2021,9,80,"1,781",483,96,131,212,205,252,140,262
2021,9,90,318,98,25,18,39,33,44,25,36
2021,9,100,11,4,1,0,0,3,2,0,1
2021,10,총,"12,884","5,458",620,763,"1,282","1,331","1,174",741,"1,515"
2021,10,0,534,326,15,22,26,49,35,17,44
2021,10,10,847,482,30,37,72,71,46,22,87
2021,10,20,798,431,31,39,53,94,43,39,68
2021,10,30,736,417,25,37,43,58,53,36,67
2021,10,40,"1,238",677,48,51,97,138,65,65,97
2021,10,50,"2,000",911,107,113,219,178,145,91,236
2021,10,60,"2,425",890,114,151,304,266,239,148,313
2021,10,70,"2,188",731,128,165,217,235,254,156,302
2021,10,80,"1,787",488,96,130,212,205,249,143,264
2021,10,90,320,101,25,18,39,34,43,24,36
2021,10,100,11,4,1,0,0,3,2,0,1
2021,11,총,"12,922","5,497",625,758,"1,279","1,332","1,175",741,"1,515"
2021,11,0,538,332,15,22,25,48,34,16,46
2021,11,10,842,481,28,37,72,70,47,21,86
2021,11,20,814,442,33,40,54,95,43,40,67
2021,11,30,738,417,25,37,42,62,51,34,70
2021,11,40,"1,242",682,47,48,98,138,68,65,96
2021,11,50,"2,011",922,111,110,221,176,147,93,231
2021,11,60,"2,436",897,116,153,302,267,239,148,314
2021,11,70,"2,179",729,124,163,216,234,253,156,304
2021,11,80,"1,797",492,101,131,212,205,248,143,265
2021,11,90,314,99,24,17,37,34,43,25,35
2021,11,100,11,4,1,0,0,3,2,0,1
2021,12,총,"12,950","5,515",628,761,"1,276","1,334","1,174",741,"1,521"
2021,12,0,531,333,14,22,21,47,33,16,45
2021,12,10,846,487,29,37,71,71,48,18,85
2021,12,20,816,442,31,39,57,92,45,41,69
2021,12,30,735,418,25,34,38,67,48,34,71
2021,12,40,"1,251",691,47,49,98,135,68,63,100
2021,12,50,"2,027",924,113,114,223,181,145,97,230
2021,12,60,"2,437",897,116,155,301,267,240,147,314
2021,12,70,"2,166",722,126,161,219,230,249,156,303
2021,12,80,"1,814",498,102,132,212,204,252,146,268
2021,12,90,316,99,24,18,36,37,44,23,35
2021,12,100,11,4,1,0,0,3,2,0,1
