년도,월,나이,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020,9,70,"13,932",611,263,871,"1,199",716,434,608,929,891,666,902,419,469,862,794,557,497,967,405,872
2020,9,80,"4,575",187,78,309,388,275,156,231,348,229,194,311,141,141,257,242,164,161,339,145,279
2020,9,90,358,16,13,28,24,21,11,22,18,25,14,29,10,7,16,23,10,11,19,16,25
2020,9,100,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2020,10,총,"173,254","7,825","4,999","9,826","10,896","9,777","5,982","9,211","10,009","11,201","8,909","11,464","4,993","5,776","9,969","8,397","8,238","5,587","14,336","5,764","10,095"
2020,10,0,"10,825",313,341,736,688,609,295,505,538,"1,008",583,598,398,380,453,544,647,307,980,247,655
2020,10,10,"12,773",302,235,935,869,794,292,546,619,940,"1,016","1,035",353,465,655,723,482,432,"1,267",251,562
2020,10,20,"25,778","1,507",946,"1,121","1,238","1,474","1,189","1,907","1,583","1,309","1,128","1,593",628,690,"1,748","1,139","1,469",866,"1,944","1,078","1,221"
2020,10,30,"24,362","1,327",953,"1,197","1,288","1,248","1,103","1,784","1,518","1,501",905,"1,245",850,685,"1,250",965,"1,404",651,"1,713","1,121","1,654"
2020,10,40,"25,978",959,784,"1,596","1,592","1,494",895,"1,309","1,464","1,922","1,419","1,707",761,912,"1,454","1,201","1,269",786,"2,140",800,"1,514"
2020,10,50,"28,437","1,391",740,"1,506","1,759","1,715",845,"1,227","1,480","1,826","1,694","2,127",708,"1,109","1,697","1,399","1,260",967,"2,539",888,"1,560"
2020,10,60,"26,091","1,207",645,"1,516","1,853","1,418",754,"1,048","1,509","1,541","1,281","1,907",723,917,"1,573","1,349",967,904,"2,421",814,"1,744"
2020,10,70,"14,009",611,265,879,"1,195",728,436,625,924,894,670,911,419,468,867,802,566,501,972,402,874
2020,10,80,"4,594",189,77,307,390,272,157,233,353,228,196,312,142,141,256,249,164,161,340,147,280
2020,10,90,359,16,13,31,23,21,12,24,17,25,14,28,10,7,16,23,10,11,19,14,25
2020,10,100,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2020,11,총,"173,709","7,823","4,995","9,844","10,906","9,732","5,961","10,071","9,939","11,232","8,869","11,398","4,974","5,761","9,942","8,378","8,227","5,556","14,298","5,726","10,077"
