년도,월,나이,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020,4,80,"3,402",182,119,182,174,104,245,129,141,146,209,146,381,100,248,306,208,382
2020,4,90,296,26,7,20,21,8,16,11,13,12,15,6,37,7,22,26,13,36
2020,4,100,18,2,1,0,1,1,0,3,2,4,0,0,1,0,2,1,0,0
2020,5,총,"117,992","8,769","7,118","6,632","6,948","2,494","8,092","2,710","3,449","4,814","4,978","6,727","12,886","3,582","6,863","11,177","6,374","14,379"
2020,5,0,"8,230",453,797,390,539,101,401,112,182,280,338,696,"1,066",194,463,"1,064",344,810
2020,5,10,"11,691",568,"1,221",696,606,170,599,142,259,346,405,825,"1,645",221,542,"1,540",621,"1,285"
2020,5,20,"16,095","1,405",820,888,"1,084",272,"1,029",454,404,837,751,784,"1,664",497,927,"1,426",917,"1,936"
2020,5,30,"14,019","1,354",726,757,"1,002",283,963,337,371,692,647,808,"1,241",500,867,"1,229",712,"1,530"
2020,5,40,"19,176","1,513","1,539","1,102","1,148",358,"1,163",364,511,772,728,"1,209","2,132",575,998,"1,907",967,"2,190"
2020,5,50,"20,268","1,572","1,097","1,207","1,042",496,"1,458",481,665,788,828,"1,113","2,176",635,"1,100","1,739","1,174","2,697"
2020,5,60,"15,610","1,147",512,891,864,422,"1,362",400,555,555,644,712,"1,550",564,"1,022","1,189",913,"2,308"
2020,5,70,"9,179",542,280,495,463,279,850,276,346,380,417,428,997,288,673,753,503,"1,209"
2020,5,80,"3,408",187,118,186,176,103,250,130,140,148,205,146,378,101,247,306,210,377
2020,5,90,298,26,7,20,23,9,17,11,14,12,15,6,36,7,22,23,13,37
2020,5,100,18,2,1,0,1,1,0,3,2,4,0,0,1,0,2,1,0,0
2020,6,총,"117,801","8,685","7,086","6,615","6,967","2,491","8,094","2,707","3,437","4,775","4,958","6,722","12,857","3,585","6,873","11,161","6,392","14,396"
2020,6,0,"8,180",455,791,385,530,100,401,109,182,275,336,690,"1,064",194,462,"1,052",344,810
2020,6,10,"11,613",556,"1,212",694,612,170,594,144,253,337,397,824,"1,629",222,545,"1,535",619,"1,270"
2020,6,20,"16,134","1,389",815,888,"1,106",274,"1,029",452,398,839,761,787,"1,672",494,924,"1,436",929,"1,941"
2020,6,30,"13,932","1,350",722,754,980,279,961,339,372,687,634,798,"1,229",500,878,"1,216",715,"1,518"
2020,6,40,"19,105","1,495","1,526","1,096","1,150",358,"1,156",360,510,756,725,"1,206","2,121",578,998,"1,910",966,"2,194"
2020,6,50,"20,251","1,553","1,099","1,204","1,054",494,"1,461",482,654,782,829,"1,117","2,176",641,"1,103","1,734","1,167","2,701"
2020,6,60,"15,660","1,139",512,893,867,424,"1,369",401,563,560,638,713,"1,558",567,"1,016","1,195",917,"2,328"
2020,6,70,"9,191",539,280,496,464,277,856,275,346,378,416,432,996,283,677,755,509,"1,212"
2020,6,80,"3,415",181,120,185,179,105,250,131,142,145,205,148,374,99,245,307,213,386
2020,6,90,301,26,8,20,23,9,17,11,15,12,17,7,37,7,23,20,13,36
2020,6,100,19,2,1,0,2,1,0,3,2,4,0,0,1,0,2,1,0,0
2020,7,총,"117,592","8,594","7,064","6,640","6,984","2,496","8,087","2,716","3,440","4,740","4,959","6,706","12,836","3,570","6,865","11,159","6,367","14,369"
2020,7,0,"8,119",454,775,382,539,98,393,110,183,271,338,678,"1,059",192,459,"1,040",333,815
2020,7,10,"11,565",550,"1,213",693,603,168,593,144,249,342,392,825,"1,623",217,550,"1,532",614,"1,257"
2020,7,20,"16,083","1,379",810,894,"1,108",277,"1,025",454,399,837,756,781,"1,664",492,917,"1,432",923,"1,935"
2020,7,30,"13,868","1,343",720,743,990,279,953,337,377,680,633,785,"1,219",494,870,"1,217",713,"1,515"
2020,7,40,"19,049","1,460","1,527","1,113","1,157",358,"1,153",356,505,748,723,"1,211","2,119",571,"1,001","1,908",961,"2,178"
2020,7,50,"20,242","1,545","1,098","1,205","1,051",503,"1,462",485,653,777,837,"1,112","2,171",639,"1,102","1,745","1,163","2,694"
2020,7,60,"15,699","1,126",511,907,859,422,"1,384",405,565,550,641,723,"1,560",573,"1,017","1,196",923,"2,337"
2020,7,70,"9,223",533,281,499,470,277,856,277,348,376,416,437,"1,013",285,677,754,509,"1,215"
2020,7,80,"3,416",177,120,184,182,104,250,134,143,143,205,146,368,100,247,312,215,386
2020,7,90,308,24,8,20,23,9,18,11,16,12,18,8,39,7,23,22,13,37
2020,7,100,20,3,1,0,2,1,0,3,2,4,0,0,1,0,2,1,0,0
2020,8,총,"117,413","8,561","7,053","6,615","6,977","2,513","8,086","2,723","3,451","4,734","4,953","6,688","12,808","3,576","6,852","11,119","6,346","14,358"
2020,8,0,"8,082",451,775,382,538,100,394,114,180,266,333,674,"1,044",195,460,"1,033",327,816
2020,8,10,"11,504",541,"1,202",688,606,167,596,145,246,338,387,825,"1,632",215,544,"1,516",609,"1,247"
2020,8,20,"16,050","1,374",816,884,"1,104",280,"1,013",457,405,853,757,777,"1,653",488,912,"1,435",912,"1,930"
2020,8,30,"13,818","1,349",713,739,991,283,955,341,380,672,641,781,"1,201",494,868,"1,199",713,"1,498"
2020,8,40,"18,999","1,451","1,527","1,109","1,149",354,"1,147",351,507,747,723,"1,206","2,127",566,995,"1,904",953,"2,183"
2020,8,50,"20,216","1,521","1,105","1,191","1,054",508,"1,458",485,646,778,830,"1,109","2,176",647,"1,102","1,738","1,172","2,696"
2020,8,60,"15,762","1,134",507,918,862,428,"1,393",407,572,555,642,725,"1,554",576,"1,017","1,201",922,"2,349"
2020,8,70,"9,223",539,281,495,466,280,860,277,352,368,418,438,"1,009",287,680,749,508,"1,216"
2020,8,80,"3,434",175,120,187,182,103,253,132,145,142,204,146,372,101,249,321,217,385
2020,8,90,305,23,6,22,23,9,17,11,16,11,18,7,39,7,23,22,13,38
2020,8,100,20,3,1,0,2,1,0,3,2,4,0,0,1,0,2,1,0,0
2020,9,총,"117,205","8,545","7,064","6,589","6,995","2,502","8,059","2,728","3,437","4,688","4,951","6,684","12,784","3,549","6,847","11,126","6,319","14,338"
2020,9,0,"7,983",454,764,376,531,98,385,111,176,258,326,661,"1,030",193,464,"1,031",323,802
2020,9,10,"11,492",529,"1,208",674,617,169,592,146,242,337,387,830,"1,639",210,538,"1,519",607,"1,248"
2020,9,20,"15,993","1,357",823,883,"1,107",274,"1,012",461,404,840,757,781,"1,645",481,908,"1,437",900,"1,923"
2020,9,30,"13,730","1,353",704,732,989,277,950,344,378,667,638,769,"1,188",498,867,"1,185",711,"1,480"
2020,9,40,"18,966","1,448","1,530","1,101","1,165",356,"1,132",344,504,737,723,"1,201","2,120",559,999,"1,911",952,"2,184"
2020,9,50,"20,212","1,535","1,124","1,194","1,051",507,"1,445",489,653,775,828,"1,118","2,178",644,"1,093","1,737","1,147","2,694"
2020,9,60,"15,833","1,137",500,921,868,426,"1,402",409,565,556,650,729,"1,561",576,"1,017","1,210",936,"2,370"
2020,9,70,"9,219",536,282,498,459,281,864,277,348,359,421,439,"1,016",282,686,750,509,"1,212"
2020,9,80,"3,453",170,122,188,183,105,260,132,149,143,204,147,369,99,249,323,221,389
2020,9,90,302,22,6,21,23,8,17,12,16,12,17,9,37,7,24,22,13,36
2020,9,100,22,4,1,1,2,1,0,3,2,4,0,0,1,0,2,1,0,0
2020,10,총,"116,865","8,461","7,061","6,582","6,983","2,517","8,040","2,721","3,429","4,663","4,941","6,637","12,735","3,550","6,842","11,095","6,330","14,278"
2020,10,0,"7,908",449,765,378,526,102,372,106,168,257,321,652,"1,023",189,463,"1,025",321,791
2020,10,10,"11,427",514,"1,207",670,613,173,592,150,248,332,387,813,"1,630",205,534,"1,522",604,"1,233"
2020,10,20,"15,946","1,354",827,882,"1,107",273,"1,006",451,402,833,762,784,"1,636",490,902,"1,431",902,"1,904"
2020,10,30,"13,602","1,326",691,729,983,275,946,346,373,668,637,764,"1,172",486,861,"1,172",708,"1,465"
2020,10,40,"18,894","1,439","1,533","1,092","1,162",359,"1,123",345,504,736,713,"1,191","2,102",557,"1,002","1,898",950,"2,188"
2020,10,50,"20,200","1,523","1,114","1,194","1,056",513,"1,434",491,649,774,835,"1,117","2,182",648,"1,095","1,736","1,156","2,683"
2020,10,60,"15,883","1,132",508,921,870,426,"1,425",408,567,550,652,720,"1,565",584,"1,019","1,222",943,"2,371"
2020,10,70,"9,227",532,289,506,459,280,861,277,354,355,416,439,"1,017",285,688,740,509,"1,220"
2020,10,80,"3,449",166,119,188,182,107,261,134,146,143,200,148,371,99,250,325,224,386
2020,10,90,308,22,7,21,23,8,20,10,16,11,18,9,37,7,26,23,13,37
2020,10,100,21,4,1,1,2,1,0,3,2,4,0,0,0,0,2,1,0,0
2020,11,총,"116,718","8,411","7,059","6,558","6,989","2,511","8,034","2,724","3,424","4,664","4,930","6,640","12,707","3,544","6,836","11,089","6,304","14,294"
2020,11,0,"7,856",437,770,371,518,100,369,107,170,256,312,653,"1,017",188,463,"1,022",318,785
2020,11,10,"11,409",517,"1,208",666,611,171,591,150,246,335,384,817,"1,624",203,531,"1,517",592,"1,246"
2020,11,20,"15,946","1,349",824,883,"1,110",275,"1,004",453,402,841,764,779,"1,629",491,907,"1,437",896,"1,902"
2020,11,30,"13,515","1,316",688,723,988,271,934,343,373,665,635,756,"1,164",488,859,"1,156",696,"1,460"
2020,11,40,"18,834","1,427","1,528","1,084","1,163",355,"1,131",342,499,729,707,"1,193","2,094",558,"1,002","1,899",944,"2,179"
2020,11,50,"20,179","1,521","1,117","1,177","1,059",512,"1,427",489,642,777,839,"1,123","2,178",635,"1,084","1,742","1,163","2,694"
2020,11,60,"15,924","1,116",512,931,870,428,"1,433",415,571,550,658,720,"1,561",588,"1,021","1,224",945,"2,381"
2020,11,70,"9,267",533,286,515,463,281,860,278,355,357,417,441,"1,024",285,694,740,514,"1,224"
2020,11,80,"3,459",169,119,186,182,109,266,134,147,140,196,149,378,101,247,326,223,387
2020,11,90,309,22,6,21,23,8,19,10,17,11,18,9,38,7,26,25,13,36
2020,11,100,20,4,1,1,2,1,0,3,2,3,0,0,0,0,2,1,0,0
2020,12,총,"116,233","8,349","7,048","6,520","6,979","2,501","7,994","2,697","3,407","4,628","4,919","6,598","12,647","3,537","6,837","11,056","6,282","14,234"
2020,12,0,"7,763",428,768,363,499,101,370,101,172,255,309,643,"1,003",184,458,"1,018",312,779
2020,12,10,"11,332",513,"1,205",668,607,168,587,145,242,330,381,814,"1,614",205,526,"1,504",584,"1,239"
2020,12,20,"15,848","1,333",819,871,"1,128",275,997,448,396,829,760,776,"1,626",495,905,"1,431",884,"1,875"
2020,12,30,"13,430","1,298",683,709,985,271,924,345,374,658,640,753,"1,142",492,853,"1,153",692,"1,458"
2020,12,40,"18,729","1,420","1,535","1,077","1,168",351,"1,119",340,492,723,701,"1,176","2,083",552,"1,006","1,878",944,"2,164"
2020,12,50,"20,046","1,514","1,106","1,165","1,051",497,"1,413",479,639,773,837,"1,115","2,169",627,"1,086","1,743","1,151","2,681"
2020,12,60,"16,011","1,119",521,939,873,435,"1,441",414,569,553,660,726,"1,572",591,"1,032","1,232",954,"2,380"
2020,12,70,"9,269",530,283,515,463,285,855,276,351,354,419,440,"1,020",284,696,741,522,"1,235"
2020,12,80,"3,475",169,119,190,178,109,269,136,154,140,193,147,381,101,246,330,225,388
2020,12,90,309,21,8,22,25,8,18,10,16,10,19,8,37,6,27,25,14,35
2020,12,100,21,4,1,1,2,1,1,3,2,3,0,0,0,0,2,1,0,0
2021,1,총,"116,032","8,324","7,026","6,503","6,962","2,492","7,965","2,700","3,384","4,638","4,929","6,600","12,625","3,533","6,854","11,005","6,275","14,217"
2021,1,0,"7,706",429,766,360,501,100,370,96,168,257,306,636,996,178,451,"1,007",310,775
2021,1,10,"11,265",509,"1,205",659,604,165,573,146,240,334,379,808,"1,601",211,528,"1,493",587,"1,223"
2021,1,20,"15,776","1,319",804,869,"1,129",269,987,450,384,822,759,781,"1,625",494,915,"1,411",883,"1,875"
2021,1,30,"13,371","1,290",671,711,983,268,920,344,375,667,642,748,"1,132",488,854,"1,141",686,"1,451"
2021,1,40,"18,654","1,404","1,534","1,063","1,157",353,"1,113",332,478,712,698,"1,183","2,080",557,"1,011","1,874",943,"2,162"
2021,1,50,"20,002","1,524","1,113","1,158","1,041",492,"1,409",481,638,782,829,"1,106","2,167",618,"1,077","1,745","1,145","2,677"
2021,1,60,"16,098","1,127",518,949,871,441,"1,448",425,576,557,676,735,"1,570",589,"1,042","1,229",961,"2,384"
2021,1,70,"9,322",528,285,519,470,280,856,277,354,353,425,442,"1,032",292,700,745,519,"1,245"
2021,1,80,"3,499",168,119,191,179,116,271,136,153,141,195,152,383,99,248,333,226,389
2021,1,90,318,22,10,23,25,7,18,10,16,10,20,9,39,7,26,25,15,36
2021,1,100,21,4,1,1,2,1,0,3,2,3,0,0,0,0,2,2,0,0
2021,2,총,"115,744","8,309","6,979","6,463","6,958","2,493","7,957","2,691","3,402","4,624","4,923","6,564","12,627","3,538","6,822","10,952","6,253","14,189"
2021,2,0,"7,604",424,757,347,495,99,360,95,170,252,301,626,990,177,448,990,307,766
2021,2,10,"11,233",509,"1,197",660,606,162,578,140,234,329,380,807,"1,591",208,518,"1,493",585,"1,236"
2021,2,20,"15,743","1,336",788,858,"1,128",275,982,453,392,826,749,768,"1,632",495,909,"1,414",873,"1,865"
2021,2,30,"13,275","1,275",673,702,979,257,914,349,375,671,644,736,"1,124",494,843,"1,120",682,"1,437"
2021,2,40,"18,572","1,397","1,515","1,055","1,156",356,"1,109",332,481,706,697,"1,175","2,080",558,"1,014","1,861",935,"2,145"
2021,2,50,"19,948","1,513","1,116","1,151","1,045",492,"1,401",472,643,774,822,"1,110","2,166",614,"1,076","1,749","1,145","2,659"
2021,2,60,"16,172","1,125",520,957,876,446,"1,456",424,585,560,686,735,"1,578",593,"1,039","1,226",966,"2,400"
2021,2,70,"9,320",527,284,518,464,279,864,273,347,352,427,445,"1,042",290,702,740,517,"1,249"
2021,2,80,"3,538",178,116,191,181,119,274,138,157,141,195,154,385,102,249,334,228,396
2021,2,90,318,21,12,23,26,7,19,12,16,10,22,8,39,7,22,23,15,36
2021,2,100,21,4,1,1,2,1,0,3,2,3,0,0,0,0,2,2,0,0
2021,3,총,"115,273","8,264","6,975","6,419","6,917","2,483","7,951","2,698","3,375","4,582","4,897","6,551","12,591","3,506","6,809","10,914","6,226","14,115"
2021,3,0,"7,550",417,747,343,488,99,362,96,170,247,301,622,983,177,449,986,305,758
2021,3,10,"11,201",513,"1,198",648,611,163,573,143,229,328,382,799,"1,594",210,516,"1,479",583,"1,232"
2021,3,20,"15,663","1,344",797,847,"1,118",271,977,455,401,822,732,769,"1,618",490,906,"1,415",864,"1,837"
2021,3,30,"13,211","1,265",667,707,983,254,906,352,372,664,641,741,"1,107",490,842,"1,105",685,"1,430"
2021,3,40,"18,460","1,403","1,515","1,043","1,142",356,"1,115",333,474,701,689,"1,159","2,064",558,"1,010","1,853",929,"2,116"
2021,3,50,"19,802","1,489","1,107","1,131","1,035",488,"1,396",473,633,765,825,"1,107","2,165",596,"1,071","1,735","1,145","2,641"
2021,3,60,"16,255","1,119",529,966,876,453,"1,464",427,588,551,687,749,"1,592",589,"1,041","1,241",956,"2,427"
2021,3,70,"9,292",520,287,522,462,278,861,269,342,351,420,440,"1,040",287,699,745,515,"1,254"
2021,3,80,"3,526",175,118,188,175,117,275,139,154,142,199,157,388,103,250,330,230,386
2021,3,90,305,17,9,23,26,4,22,11,12,10,21,8,40,6,24,24,14,34
2021,3,100,8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
2021,4,총,"114,991","8,213","6,959","6,383","6,887","2,481","7,920","2,686","3,377","4,584","4,909","6,544","12,551","3,462","6,816","10,906","6,225","14,088"
2021,4,0,"7,498",419,741,331,481,101,360,94,171,245,301,619,975,169,452,980,310,749
2021,4,10,"11,133",511,"1,200",636,602,168,571,147,226,334,382,794,"1,581",202,510,"1,474",574,"1,221"
2021,4,20,"15,604","1,324",794,848,"1,113",273,959,451,400,807,736,781,"1,616",479,917,"1,411",869,"1,826"
2021,4,30,"13,178","1,262",665,691,972,255,904,350,373,665,653,731,"1,104",491,846,"1,111",683,"1,422"
2021,4,40,"18,377","1,393","1,514","1,037","1,144",350,"1,101",329,477,706,688,"1,152","2,047",544,"1,006","1,852",920,"2,117"
2021,4,50,"19,756","1,476","1,098","1,126","1,033",487,"1,395",466,629,762,822,"1,118","2,158",596,"1,063","1,730","1,148","2,649"
2021,4,60,"16,321","1,125",536,974,879,451,"1,474",435,592,558,685,743,"1,600",589,"1,047","1,245",962,"2,426"
2021,4,70,"9,253",509,285,521,457,277,856,266,344,348,420,441,"1,040",282,699,741,510,"1,257"
2021,4,80,"3,556",175,116,194,178,115,276,137,154,147,201,157,390,104,252,337,235,388
2021,4,90,307,17,9,24,27,4,24,11,11,11,21,8,40,6,23,24,14,33
2021,4,100,8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
2021,5,총,"114,905","8,201","6,955","6,366","6,871","2,467","7,918","2,666","3,371","4,590","4,995","6,545","12,539","3,454","6,793","10,896","6,233","14,045"
2021,5,0,"7,464",413,738,324,485,100,362,92,171,243,308,614,969,168,448,980,312,737
2021,5,10,"11,096",504,"1,206",629,602,167,567,148,227,332,385,785,"1,576",197,514,"1,462",570,"1,225"
2021,5,20,"15,583","1,307",786,858,"1,101",272,961,446,407,808,751,788,"1,619",478,910,"1,410",872,"1,809"
2021,5,30,"13,166","1,272",661,680,971,250,902,351,370,677,674,742,"1,093",489,828,"1,120",681,"1,405"
2021,5,40,"18,278","1,393","1,516","1,031","1,140",346,"1,095",321,471,702,704,"1,143","2,039",542,998,"1,829",905,"2,103"
2021,5,50,"19,777","1,470","1,095","1,126","1,027",485,"1,392",461,626,764,841,"1,116","2,168",597,"1,069","1,741","1,150","2,649"
2021,5,60,"16,411","1,138",541,973,881,455,"1,486",436,593,555,689,749,"1,606",594,"1,051","1,254",982,"2,428"
2021,5,70,"9,222",508,283,526,454,272,850,264,341,348,421,441,"1,028",281,695,738,506,"1,266"
2021,5,80,"3,594",176,118,194,182,116,280,136,154,150,200,159,403,102,256,337,240,391
2021,5,90,306,18,10,24,27,4,23,11,11,10,22,8,38,6,23,24,15,32
2021,5,100,8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
2021,6,총,"114,783","8,164","6,946","6,320","6,850","2,458","7,914","2,662","3,365","4,586","5,038","6,540","12,500","3,440","6,823","10,887","6,232","14,058"
2021,6,0,"7,431",410,732,316,481,98,360,91,170,240,311,617,966,171,447,977,314,730
2021,6,10,"11,057",505,"1,215",616,600,163,563,149,228,333,388,772,"1,564",193,521,"1,452",569,"1,226"
2021,6,20,"15,570","1,292",776,848,"1,094",276,953,444,410,807,757,794,"1,615",478,929,"1,423",864,"1,810"
2021,6,30,"13,129","1,271",654,679,966,247,901,350,368,667,695,734,"1,079",480,823,"1,107",693,"1,415"
2021,6,40,"18,238","1,392","1,519","1,024","1,140",345,"1,095",323,461,705,708,"1,136","2,022",539,"1,002","1,824",900,"2,103"
2021,6,50,"19,702","1,447","1,086","1,114","1,020",479,"1,398",454,621,764,846,"1,121","2,171",592,"1,066","1,746","1,143","2,634"
2021,6,60,"16,488","1,143",547,974,881,454,"1,493",445,596,557,684,757,"1,609",593,"1,066","1,257",988,"2,444"
2021,6,70,"9,223",507,285,524,458,276,848,257,344,350,424,442,"1,031",284,688,737,499,"1,269"
2021,6,80,"3,627",177,121,198,183,116,281,138,154,152,202,159,405,105,256,338,246,396
2021,6,90,310,18,10,26,26,4,22,11,13,10,23,8,38,5,24,25,16,31
2021,6,100,8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
2021,7,총,"114,663","8,145","6,943","6,268","6,843","2,453","7,899","2,659","3,376","4,608","5,041","6,547","12,469","3,460","6,815","10,886","6,222","14,029"
2021,7,0,"7,410",413,728,311,475,101,360,92,171,246,312,610,959,177,442,978,312,723
2021,7,10,"11,019",498,"1,213",607,595,158,568,150,233,332,387,770,"1,561",198,514,"1,444",565,"1,226"
2021,7,20,"15,551","1,276",785,840,"1,095",281,940,445,412,830,758,799,"1,606",477,923,"1,420",854,"1,810"
2021,7,30,"13,091","1,275",648,671,969,247,893,347,371,660,696,737,"1,063",481,815,"1,118",699,"1,401"
2021,7,40,"18,160","1,386","1,509","1,018","1,137",343,"1,090",325,457,708,707,"1,129","2,013",536,"1,006","1,801",902,"2,093"
2021,7,50,"19,704","1,443","1,094","1,103","1,024",466,"1,394",455,622,765,847,"1,131","2,172",596,"1,074","1,760","1,136","2,622"
2021,7,60,"16,530","1,143",547,965,879,460,"1,502",441,600,559,688,756,"1,610",599,"1,071","1,261",995,"2,454"
2021,7,70,"9,245",512,286,529,458,278,847,254,344,347,418,449,"1,041",285,691,738,495,"1,273"
2021,7,80,"3,635",179,122,198,182,115,283,139,152,150,205,158,410,105,255,339,247,396
2021,7,90,309,18,10,25,28,4,22,11,14,10,23,8,34,6,23,26,17,30
2021,7,100,9,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1
2021,8,총,"114,475","8,141","6,943","6,228","6,831","2,437","7,880","2,662","3,394","4,616","5,046","6,535","12,445","3,467","6,802","10,874","6,190","13,984"
2021,8,0,"7,330",416,718,313,465,96,352,90,168,247,313,602,951,181,438,969,304,707
2021,8,10,"11,000",493,"1,208",599,597,159,561,152,240,333,380,772,"1,553",196,511,"1,453",566,"1,227"
2021,8,20,"15,507","1,286",792,830,"1,107",277,933,436,408,838,762,801,"1,610",472,923,"1,408",838,"1,786"
2021,8,30,"13,059","1,267",652,673,957,244,891,353,378,660,701,731,"1,058",484,811,"1,113",695,"1,391"
2021,8,40,"18,088","1,378","1,504","1,001","1,135",337,"1,094",331,460,715,699,"1,127","1,991",537,997,"1,795",894,"2,093"
2021,8,50,"19,738","1,439","1,097","1,104","1,026",469,"1,396",449,625,758,848,"1,129","2,180",593,"1,080","1,776","1,140","2,629"
2021,8,60,"16,553","1,150",555,957,876,455,"1,502",445,601,561,694,760,"1,614",610,"1,073","1,261",992,"2,447"
2021,8,70,"9,228",515,283,526,458,279,847,253,345,339,420,447,"1,042",283,686,735,496,"1,274"
2021,8,80,"3,653",177,123,198,180,117,282,142,153,153,206,158,415,105,260,337,247,400
2021,8,90,309,18,10,26,29,4,21,11,16,11,23,8,31,6,22,26,18,29
2021,8,100,10,2,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1
2021,9,총,"114,361","8,109","6,923","6,177","6,855","2,441","7,886","2,658","3,399","4,630","5,045","6,497","12,435","3,490","6,802","10,868","6,189","13,957"
2021,9,0,"7,286",416,712,314,459,93,355,88,167,244,319,588,944,182,438,968,303,696
2021,9,10,"10,981",495,"1,212",592,600,157,555,156,238,331,380,770,"1,554",192,512,"1,450",562,"1,225"
2021,9,20,"15,464","1,285",781,815,"1,104",277,939,439,405,849,755,796,"1,596",481,922,"1,405",838,"1,777"
2021,9,30,"13,044","1,262",644,670,979,239,890,356,383,671,701,719,"1,061",482,808,"1,110",692,"1,377"
2021,9,40,"18,010","1,370","1,490",990,"1,134",337,"1,096",326,455,698,696,"1,131","1,975",551,"1,001","1,794",886,"2,080"
2021,9,50,"19,781","1,424","1,112","1,094","1,032",477,"1,392",444,635,767,845,"1,127","2,196",591,"1,082","1,779","1,144","2,640"
2021,9,60,"16,564","1,141",552,949,873,460,"1,508",441,603,564,704,753,"1,622",621,"1,071","1,265",990,"2,447"
2021,9,70,"9,234",519,287,528,462,277,846,256,344,343,414,446,"1,036",278,685,728,503,"1,282"
2021,9,80,"3,669",176,122,197,182,119,284,141,153,150,208,158,420,106,260,340,252,401
2021,9,90,317,19,10,27,29,5,20,11,16,12,22,9,31,6,22,28,19,31
2021,9,100,11,2,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1
2021,10,총,"114,258","8,126","6,907","6,153","6,857","2,452","7,873","2,644","3,425","4,619","5,033","6,505","12,419","3,483","6,786","10,848","6,172","13,956"
2021,10,0,"7,248",415,708,314,460,97,349,90,166,249,318,582,938,178,437,953,302,692
2021,10,10,"10,934",493,"1,210",590,593,157,551,153,240,329,383,771,"1,543",193,511,"1,447",557,"1,213"
