년도,월,나이,김해시,진영읍,주촌면,진례면,한림면,생림면,상동면,대동면,동상동,회현동,부원동,내외동,북부동,칠산서부동,활천동,삼안동,불암동,장유1동,장유2동,장유3동
2020,2,20,"69,232","5,607","2,111",648,714,329,313,510,"1,352","1,220","1,482","12,551","10,844","1,303","6,369","5,962","1,055","6,723","4,322","5,817"
2020,2,30,"72,256","9,296","3,989",576,636,263,270,486,"1,338","1,298","1,255","8,537","10,000","1,011","4,723","3,234",865,"7,303","5,125","12,051"
2020,2,40,"99,808","10,619","2,619",892,808,376,370,618,"1,469","1,309","1,505","12,612","15,742","1,371","6,836","5,448","1,313","12,160","8,003","15,738"
2020,2,50,"95,291","8,174","2,525","1,546","1,734",872,774,"1,239","2,071","1,867","2,145","16,210","14,326","2,044","8,828","7,762","1,594","8,691","5,653","7,236"
2020,2,60,"53,960","5,503","1,252","1,288","1,751",886,764,"1,677","1,509","1,527","1,471","6,957","6,839","1,508","4,887","4,265","1,054","4,243","2,746","3,833"
2020,2,70,"25,482","2,572",446,743,"1,011",592,365,935,711,855,685,"3,085","2,947",731,"2,188","1,890",477,"2,232","1,303","1,714"
2020,2,80,"10,828","1,125",264,374,572,274,140,431,282,334,257,"1,400","1,258",308,829,827,185,914,478,576
2020,2,90,"1,326",152,31,59,70,33,29,71,34,37,30,154,144,27,97,85,21,112,59,81
2020,2,100,80,7,1,2,1,1,3,3,5,5,6,10,6,1,11,4,5,6,0,3
2020,3,총,"542,678","55,677","17,369","6,721","7,844","3,819","3,259","6,362","10,072","9,731","10,173","74,847","80,833","9,584","41,543","34,489","7,943","56,352","36,902","69,158"
2020,3,0,"51,484","6,733","2,648",241,223,78,94,184,579,683,639,"5,080","7,757",568,"2,807","1,763",586,"5,789","3,939","11,093"
2020,3,10,"62,500","5,910","1,232",366,344,123,165,234,744,613,719,"8,368","10,837",736,"4,017","3,389",811,"8,135","5,295","10,462"
2020,3,20,"69,225","5,557","2,166",645,704,322,303,512,"1,343","1,215","1,478","12,516","10,877","1,292","6,338","5,910","1,043","6,759","4,317","5,928"
2020,3,30,"72,070","9,248","4,031",568,635,259,264,476,"1,326","1,292","1,243","8,484","9,995","1,014","4,691","3,190",862,"7,226","5,054","12,212"
2020,3,40,"99,541","10,586","2,691",884,787,373,364,615,"1,457","1,304","1,484","12,518","15,684","1,362","6,798","5,379","1,298","12,144","7,956","15,857"
2020,3,50,"95,500","8,210","2,569","1,541","1,716",866,752,"1,219","2,062","1,858","2,143","16,191","14,400","2,033","8,824","7,733","1,594","8,738","5,710","7,341"
2020,3,60,"54,422","5,547","1,284","1,291","1,773",897,773,"1,688","1,521","1,529","1,480","7,026","6,901","1,508","4,928","4,302","1,052","4,285","2,769","3,868"
2020,3,70,"25,588","2,598",449,753,"1,011",590,371,929,714,864,693,"3,088","2,947",730,"2,189","1,891",482,"2,239","1,314","1,736"
2020,3,80,"10,936","1,131",267,369,575,276,140,435,286,332,258,"1,408","1,282",313,845,843,189,925,489,573
2020,3,90,"1,332",150,31,61,75,34,30,68,35,36,30,158,147,27,95,85,21,105,59,85
2020,3,100,80,7,1,2,1,1,3,2,5,5,6,10,6,1,11,4,5,7,0,3
2020,4,총,"542,929","55,708","17,588","6,698","7,827","3,806","3,239","6,323","10,064","9,687","10,217","74,747","80,813","9,569","41,348","34,401","7,931","56,282","36,868","69,813"
2020,4,0,"51,299","6,721","2,677",237,225,78,92,182,583,676,640,"5,053","7,718",559,"2,771","1,753",587,"5,729","3,914","11,104"
2020,4,10,"62,379","5,925","1,256",367,342,122,162,231,744,605,712,"8,296","10,814",734,"3,999","3,358",804,"8,118","5,269","10,521"
2020,4,20,"69,240","5,522","2,195",639,696,321,296,504,"1,330","1,201","1,489","12,477","10,857","1,283","6,299","5,886","1,043","6,760","4,365","6,077"
2020,4,30,"71,961","9,221","4,064",561,628,259,261,464,"1,323","1,287","1,231","8,489","9,964","1,000","4,650","3,180",855,"7,184","5,017","12,323"
2020,4,40,"99,405","10,612","2,733",876,780,367,353,609,"1,449","1,282","1,487","12,431","15,669","1,371","6,724","5,348","1,296","12,124","7,914","15,980"
2020,4,50,"95,696","8,211","2,613","1,541","1,713",861,750,"1,210","2,049","1,854","2,167","16,193","14,443","2,023","8,815","7,718","1,580","8,760","5,749","7,446"
2020,4,60,"54,819","5,602","1,299","1,291","1,776",895,771,"1,685","1,531","1,538","1,495","7,103","6,947","1,519","4,945","4,333","1,066","4,317","2,769","3,937"
2020,4,70,"25,705","2,596",452,754,"1,013",592,378,936,726,867,698,"3,121","2,952",730,"2,195","1,892",483,"2,248","1,319","1,753"
2020,4,80,"11,019","1,142",268,371,577,278,142,433,289,335,263,"1,416","1,294",321,849,845,191,931,489,585
2020,4,90,"1,328",148,31,60,76,32,31,67,35,37,29,159,149,28,90,84,21,104,63,84
2020,4,100,78,8,0,1,1,1,3,2,5,5,6,9,6,1,11,4,5,7,0,3
2020,5,총,"543,072","55,790","17,752","6,693","7,806","3,819","3,227","6,296","10,039","9,638","10,218","74,641","80,813","9,573","41,271","34,323","7,910","56,207","36,846","70,210"
2020,5,0,"51,151","6,724","2,696",236,219,78,89,180,582,665,645,"5,036","7,693",559,"2,753","1,747",578,"5,677","3,889","11,105"
2020,5,10,"62,130","5,926","1,261",358,342,127,163,230,740,599,692,"8,177","10,750",730,"3,988","3,315",809,"8,116","5,263","10,544"
2020,5,20,"69,270","5,499","2,216",639,680,324,288,497,"1,323","1,189","1,488","12,496","10,886","1,275","6,276","5,875","1,028","6,763","4,362","6,166"
2020,5,30,"71,794","9,208","4,085",560,621,256,253,459,"1,305","1,266","1,253","8,448","9,907","1,001","4,629","3,164",851,"7,123","4,987","12,418"
2020,5,40,"99,343","10,673","2,755",861,773,364,352,602,"1,440","1,278","1,482","12,391","15,684","1,372","6,680","5,313","1,294","12,076","7,881","16,072"
2020,5,50,"95,858","8,220","2,655","1,541","1,705",863,752,"1,192","2,053","1,844","2,166","16,199","14,477","2,022","8,798","7,701","1,557","8,808","5,806","7,499"
2020,5,60,"55,184","5,623","1,325","1,301","1,790",904,766,"1,687","1,528","1,545","1,489","7,168","6,999","1,532","4,983","4,368","1,087","4,337","2,775","3,977"
2020,5,70,"25,797","2,615",455,757,"1,010",590,384,945,734,873,697,"3,127","2,967",729,"2,210","1,896",489,"2,244","1,321","1,754"
2020,5,80,"11,136","1,145",273,379,591,279,145,435,294,336,270,"1,429","1,294",324,852,858,190,953,498,591
2020,5,90,"1,332",149,31,60,74,33,32,67,35,38,30,161,150,28,91,82,22,103,64,82
2020,5,100,77,8,0,1,1,1,3,2,5,5,6,9,6,1,11,4,5,7,0,2
2020,6,총,"542,842","55,700","17,954","6,694","7,811","3,809","3,229","6,294","10,050","9,578","10,203","74,431","80,679","9,578","41,179","34,168","7,894","56,167","36,818","70,606"
2020,6,0,"50,948","6,693","2,740",238,207,78,86,180,583,659,641,"5,007","7,630",555,"2,733","1,715",580,"5,627","3,886","11,110"
2020,6,10,"61,997","5,936","1,278",357,366,125,160,225,729,596,685,"8,085","10,740",727,"3,955","3,296",800,"8,099","5,257","10,581"
2020,6,20,"69,089","5,445","2,246",642,672,321,290,490,"1,331","1,168","1,469","12,443","10,829","1,275","6,273","5,829","1,027","6,764","4,322","6,253"
2020,6,30,"71,595","9,150","4,115",554,607,258,254,452,"1,303","1,252","1,269","8,439","9,838",997,"4,587","3,152",842,"7,075","4,963","12,488"
2020,6,40,"99,301","10,677","2,788",856,772,357,353,604,"1,437","1,280","1,478","12,336","15,676","1,370","6,674","5,283","1,298","12,075","7,867","16,120"
2020,6,50,"95,719","8,205","2,681","1,529","1,690",859,743,"1,186","2,046","1,822","2,136","16,140","14,453","2,029","8,764","7,652","1,546","8,845","5,825","7,568"
2020,6,60,"55,719","5,661","1,346","1,319","1,806",900,778,"1,704","1,547","1,555","1,520","7,246","7,073","1,543","5,022","4,402","1,088","4,366","2,806","4,037"
2020,6,70,"25,911","2,624",458,757,"1,026",598,385,949,734,867,700,"3,131","2,981",728,"2,224","1,904",498,"2,250","1,329","1,768"
2020,6,80,"11,133","1,148",269,380,591,279,144,435,298,336,269,"1,429","1,300",323,845,845,188,957,500,597
2020,6,90,"1,352",152,33,61,73,33,33,67,37,38,30,166,153,30,91,86,22,102,63,82
2020,6,100,78,9,0,1,1,1,3,2,5,5,6,9,6,1,11,4,5,7,0,2
2020,7,총,"542,655","55,664","18,036","6,677","7,779","3,829","3,227","6,265","10,023","9,576","10,195","74,341","80,552","9,599","41,116","34,094","7,877","56,145","36,782","70,878"
2020,7,0,"50,708","6,651","2,760",236,212,79,85,177,584,660,637,"4,979","7,570",564,"2,715","1,701",572,"5,592","3,851","11,083"
2020,7,10,"61,858","5,952","1,284",350,367,124,161,219,721,597,673,"8,035","10,711",718,"3,939","3,256",800,"8,080","5,256","10,615"
2020,7,20,"69,095","5,430","2,228",636,661,326,284,476,"1,323","1,153","1,472","12,455","10,830","1,286","6,267","5,822","1,022","6,788","4,332","6,304"
2020,7,30,"71,200","9,113","4,114",560,606,256,254,448,"1,304","1,259","1,259","8,404","9,740",984,"4,572","3,137",828,"7,020","4,890","12,452"
2020,7,40,"99,255","10,695","2,810",846,760,355,355,603,"1,418","1,287","1,480","12,259","15,642","1,379","6,658","5,244","1,292","12,049","7,885","16,238"
2020,7,50,"95,837","8,207","2,704","1,521","1,677",865,737,"1,175","2,036","1,807","2,125","16,164","14,470","2,019","8,727","7,657","1,551","8,900","5,846","7,649"
2020,7,60,"56,071","5,685","1,367","1,328","1,807",909,785,"1,708","1,556","1,559","1,537","7,286","7,135","1,555","5,046","4,432","1,101","4,382","2,823","4,070"
2020,7,70,"26,013","2,622",466,754,"1,023",599,381,948,738,871,710,"3,143","2,999",738,"2,234","1,901",494,"2,271","1,335","1,786"
2020,7,80,"11,185","1,146",269,384,594,283,148,440,304,340,264,"1,437","1,296",324,858,853,192,956,499,598
2020,7,90,"1,356",154,34,61,71,32,34,69,34,38,32,170,153,31,89,87,20,101,65,81
2020,7,100,77,9,0,1,1,1,3,2,5,5,6,9,6,1,11,4,5,6,0,2
2020,8,총,"542,538","55,709","18,124","6,664","7,759","3,820","3,236","6,236","10,010","9,528","10,139","74,178","80,520","9,601","41,009","34,007","7,841","56,319","36,676","71,162"
2020,8,0,"50,425","6,610","2,779",230,213,78,90,176,584,653,626,"4,928","7,518",556,"2,688","1,661",571,"5,587","3,801","11,076"
2020,8,10,"61,758","5,967","1,273",348,364,125,160,220,718,587,676,"7,983","10,673",713,"3,933","3,252",790,"8,106","5,229","10,641"
2020,8,20,"69,067","5,440","2,237",629,657,322,278,474,"1,311","1,148","1,459","12,399","10,866","1,281","6,246","5,821","1,011","6,806","4,345","6,337"
2020,8,30,"70,947","9,072","4,132",561,605,250,244,440,"1,303","1,260","1,250","8,382","9,677",998,"4,524","3,107",817,"7,048","4,829","12,448"
2020,8,40,"99,055","10,698","2,816",833,748,351,352,605,"1,418","1,279","1,464","12,197","15,623","1,367","6,628","5,199","1,286","12,032","7,866","16,293"
2020,8,50,"96,050","8,243","2,696","1,519","1,665",860,751,"1,166","2,036","1,784","2,117","16,160","14,506","2,023","8,724","7,636","1,551","8,970","5,878","7,765"
2020,8,60,"56,522","5,755","1,420","1,339","1,807",921,792,"1,691","1,563","1,564","1,544","7,361","7,190","1,566","5,071","4,474","1,104","4,428","2,816","4,116"
2020,8,70,"26,059","2,608",468,756,"1,035",594,382,954,731,875,702,"3,138","3,023",740,"2,232","1,904",493,"2,278","1,339","1,807"
2020,8,80,"11,201","1,152",268,382,594,284,149,436,306,333,265,"1,447","1,289",325,862,861,193,953,507,595
2020,8,90,"1,375",154,35,66,70,34,34,72,35,40,30,174,149,31,90,88,20,105,66,82
2020,8,100,79,10,0,1,1,1,4,2,5,5,6,9,6,1,11,4,5,6,0,2
2020,9,총,"542,435","55,816","18,164","6,638","7,749","3,826","3,252","6,221","9,984","9,493","10,115","74,074","80,450","9,593","40,966","33,937","7,830","56,462","36,557","71,308"
2020,9,0,"50,136","6,586","2,793",227,210,78,89,181,585,645,615,"4,896","7,441",553,"2,673","1,660",560,"5,542","3,751","11,051"
2020,9,10,"61,675","6,003","1,261",340,361,125,161,219,710,586,679,"7,925","10,666",718,"3,922","3,221",786,"8,111","5,210","10,671"
2020,9,20,"68,980","5,414","2,234",621,660,320,283,466,"1,318","1,137","1,450","12,398","10,856","1,269","6,224","5,798","1,019","6,844","4,336","6,333"
2020,9,30,"70,518","9,027","4,110",556,603,252,243,441,"1,286","1,245","1,237","8,333","9,621",998,"4,498","3,080",809,"7,033","4,748","12,398"
2020,9,40,"98,936","10,744","2,848",830,743,351,356,601,"1,407","1,278","1,458","12,126","15,555","1,348","6,590","5,157","1,279","12,057","7,833","16,375"
2020,9,50,"96,275","8,279","2,705","1,513","1,647",854,741,"1,155","2,026","1,778","2,116","16,166","14,567","2,029","8,739","7,659","1,549","9,021","5,907","7,824"
2020,9,60,"57,028","5,811","1,441","1,347","1,820",929,800,"1,689","1,578","1,565","1,555","7,443","7,250","1,577","5,123","4,494","1,114","4,501","2,836","4,155"
2020,9,70,"26,146","2,620",464,753,"1,029",592,391,957,727,873,703,"3,149","3,053",745,"2,235","1,913",496,"2,282","1,356","1,808"
2020,9,80,"11,271","1,171",271,381,603,290,150,438,305,339,268,"1,456","1,279",324,861,864,193,960,511,607
2020,9,90,"1,388",150,37,69,72,34,34,72,37,42,28,172,156,31,91,86,20,104,69,84
2020,9,100,82,11,0,1,1,1,4,2,5,5,6,10,6,1,10,5,5,7,0,2
2020,10,총,"542,376","55,860","18,208","6,630","7,731","3,818","3,230","6,204","9,919","9,432","10,125","74,004","80,471","9,592","40,961","33,833","7,833","56,527","36,566","71,432"
2020,10,0,"49,757","6,561","2,810",233,200,75,84,178,571,642,611,"4,852","7,386",550,"2,654","1,636",558,"5,477","3,706","10,973"
2020,10,10,"61,594","6,011","1,263",328,368,124,155,215,691,575,675,"7,874","10,613",720,"3,920","3,195",777,"8,123","5,222","10,745"
2020,10,20,"69,089","5,406","2,220",625,647,320,285,465,"1,327","1,129","1,465","12,392","10,937","1,266","6,216","5,780","1,031","6,885","4,366","6,327"
2020,10,30,"70,112","8,980","4,090",555,590,252,238,441,"1,263","1,231","1,239","8,358","9,550",996,"4,475","3,048",802,"6,981","4,681","12,342"
2020,10,40,"98,787","10,778","2,868",823,749,354,350,585,"1,391","1,272","1,454","12,010","15,537","1,345","6,562","5,141","1,271","12,053","7,824","16,420"
2020,10,50,"96,576","8,310","2,712","1,510","1,641",847,739,"1,149","2,015","1,763","2,116","16,206","14,620","2,021","8,747","7,643","1,552","9,095","5,972","7,918"
2020,10,60,"57,430","5,843","1,470","1,351","1,822",927,801,"1,686","1,586","1,566","1,561","7,513","7,307","1,588","5,180","4,511","1,125","4,543","2,854","4,196"
2020,10,70,"26,216","2,626",467,755,"1,032",594,390,966,728,870,701,"3,151","3,070",749,"2,237","1,916",499,"2,291","1,358","1,816"
2020,10,80,"11,331","1,183",272,381,607,290,150,444,303,335,270,"1,469","1,279",323,866,875,193,968,512,611
2020,10,90,"1,398",151,36,67,74,34,34,73,37,44,27,169,165,33,94,83,20,104,71,82
2020,10,100,86,11,0,2,1,1,4,2,7,5,6,10,7,1,10,5,5,7,0,2
2020,11,총,"542,350","55,903","18,201","6,604","7,709","3,823","3,216","6,139","9,912","9,391","10,093","73,948","80,533","9,598","40,888","33,724","7,833","56,633","36,502","71,700"
2020,11,0,"49,497","6,529","2,802",226,204,72,82,169,572,630,610,"4,827","7,346",547,"2,630","1,619",546,"5,452","3,671","10,963"
2020,11,10,"61,489","6,032","1,262",328,355,124,153,209,689,577,661,"7,816","10,578",723,"3,915","3,157",782,"8,121","5,218","10,789"
2020,11,20,"69,128","5,412","2,210",623,630,316,285,451,"1,325","1,120","1,444","12,390","10,977","1,264","6,226","5,768","1,030","6,911","4,363","6,383"
2020,11,30,"69,794","8,944","4,073",551,592,257,235,433,"1,266","1,219","1,234","8,350","9,518",998,"4,433","3,009",799,"6,971","4,602","12,310"
2020,11,40,"98,639","10,821","2,882",816,742,356,346,574,"1,388","1,258","1,453","11,931","15,518","1,337","6,502","5,097","1,261","12,051","7,829","16,477"
2020,11,50,"96,842","8,283","2,712","1,500","1,642",844,734,"1,139","2,011","1,747","2,122","16,257","14,684","2,022","8,757","7,633","1,567","9,172","5,994","8,022"
2020,11,60,"57,807","5,908","1,478","1,351","1,821",933,804,"1,674","1,588","1,575","1,559","7,581","7,370","1,602","5,218","4,546","1,129","4,564","2,872","4,234"
2020,11,70,"26,278","2,627",472,757,"1,037",594,386,973,729,877,707,"3,148","3,082",748,"2,225","1,919",501,"2,304","1,369","1,823"
2020,11,80,"11,383","1,185",275,383,613,292,153,441,299,338,268,"1,475","1,288",324,877,886,194,971,511,610
2020,11,90,"1,406",150,35,67,72,34,34,73,38,45,29,163,166,32,95,85,19,109,73,87
2020,11,100,87,12,0,2,1,1,4,3,7,5,6,10,6,1,10,5,5,7,0,2
2020,12,총,"542,338","55,932","18,209","6,587","7,656","3,841","3,223","6,122","9,912","9,372","10,029","73,919","80,742","9,601","40,744","33,588","7,782","56,598","36,500","71,981"
2020,12,0,"49,309","6,508","2,798",223,198,84,82,170,574,623,597,"4,782","7,353",549,"2,610","1,578",538,"5,396","3,669","10,977"
2020,12,10,"61,269","6,040","1,265",327,329,125,151,212,688,571,644,"7,752","10,570",723,"3,895","3,100",770,"8,100","5,198","10,809"
2020,12,20,"69,111","5,416","2,190",616,625,314,283,449,"1,341","1,114","1,435","12,387","10,980","1,248","6,175","5,775","1,027","6,909","4,359","6,468"
2020,12,30,"69,554","8,897","4,039",551,586,259,234,427,"1,255","1,217","1,231","8,326","9,534","1,004","4,411","2,991",794,"6,930","4,613","12,255"
2020,12,40,"98,471","10,854","2,907",811,732,360,344,572,"1,387","1,253","1,440","11,861","15,507","1,339","6,440","5,056","1,244","12,018","7,784","16,562"
2020,12,50,"96,955","8,279","2,723","1,483","1,632",832,729,"1,115","2,003","1,744","2,112","16,284","14,748","2,019","8,745","7,604","1,562","9,237","5,989","8,115"
2020,12,60,"58,306","5,951","1,497","1,367","1,821",945,818,"1,685","1,596","1,582","1,560","7,685","7,455","1,616","5,249","4,584","1,133","4,602","2,916","4,244"
2020,12,70,"26,397","2,640",473,755,"1,050",593,383,970,727,877,705,"3,174","3,125",749,"2,233","1,919",496,"2,304","1,379","1,845"
2020,12,80,"11,467","1,186",282,382,610,296,161,446,293,339,274,"1,493","1,297",322,874,892,193,985,521,621
2020,12,90,"1,411",149,35,70,72,32,34,73,41,47,25,165,167,31,102,84,20,110,71,83
2020,12,100,88,12,0,2,1,1,4,3,7,5,6,10,6,1,10,5,5,7,1,2
2021,1,총,"542,296","55,880","18,235","6,585","7,620","3,845","3,209","6,093","9,888","9,326","10,023","73,928","80,720","9,597","40,625","33,451","7,752","56,771","36,482","72,266"
2021,1,0,"48,925","6,472","2,797",223,194,81,83,167,559,611,599,"4,750","7,302",537,"2,591","1,565",530,"5,328","3,640","10,896"
2021,1,10,"61,163","6,036","1,270",323,325,124,144,213,687,567,641,"7,712","10,539",742,"3,867","3,062",760,"8,068","5,190","10,893"
2021,1,20,"68,971","5,414","2,160",612,612,308,278,441,"1,338","1,104","1,427","12,340","10,949","1,251","6,112","5,723","1,029","6,991","4,361","6,521"
2021,1,30,"69,258","8,818","4,035",548,596,260,232,415,"1,252","1,210","1,236","8,359","9,495",985,"4,412","2,955",780,"6,925","4,567","12,178"
2021,1,40,"98,308","10,833","2,932",808,719,356,338,574,"1,382","1,236","1,427","11,826","15,464","1,344","6,381","5,022","1,234","11,997","7,795","16,640"
2021,1,50,"97,182","8,302","2,726","1,479","1,620",834,724,"1,102","1,989","1,745","2,099","16,272","14,826","1,997","8,737","7,562","1,567","9,345","6,005","8,251"
2021,1,60,"58,938","6,004","1,524","1,379","1,829",954,823,"1,685","1,610","1,586","1,582","7,801","7,515","1,627","5,293","4,658","1,139","4,680","2,934","4,315"
2021,1,70,"26,486","2,653",476,753,"1,041",592,384,974,729,867,706,"3,179","3,146",763,"2,236","1,921",495,"2,322","1,392","1,857"
2021,1,80,"11,547","1,182",280,387,609,302,164,448,293,347,274,"1,514","1,305",318,884,891,192,"1,002",525,630
2021,1,90,"1,427",154,35,71,74,33,34,71,42,48,25,164,173,32,102,87,21,106,72,83
2021,1,100,91,12,0,2,1,1,5,3,7,5,7,11,6,1,10,5,5,7,1,2
2021,2,총,"542,254","55,933","18,241","6,564","7,602","3,834","3,193","6,090","9,836","9,299","10,003","73,910","80,633","9,610","40,501","33,380","7,731","56,936","36,422","72,536"
2021,2,0,"48,694","6,423","2,791",223,192,81,80,164,550,602,588,"4,743","7,270",540,"2,555","1,544",523,"5,329","3,595","10,901"
2021,2,10,"60,998","6,080","1,261",315,327,121,139,213,681,568,637,"7,649","10,464",736,"3,842","3,069",745,"8,056","5,179","10,916"
2021,2,20,"68,842","5,399","2,143",602,606,301,273,432,"1,330","1,087","1,414","12,335","10,937","1,250","6,061","5,731","1,026","7,012","4,347","6,556"
2021,2,30,"68,821","8,735","4,021",547,593,260,228,415,"1,235","1,209","1,230","8,343","9,402",979,"4,376","2,922",780,"6,904","4,515","12,127"
2021,2,40,"98,248","10,874","2,943",805,714,352,334,572,"1,373","1,245","1,415","11,769","15,435","1,354","6,354","4,982","1,221","11,983","7,794","16,729"
2021,2,50,"97,432","8,333","2,749","1,467","1,610",832,726,"1,088","1,974","1,717","2,104","16,282","14,882","1,988","8,743","7,523","1,570","9,464","6,041","8,339"
2021,2,60,"59,481","6,069","1,540","1,390","1,834",956,820,"1,706","1,618","1,597","1,598","7,918","7,601","1,645","5,316","4,691","1,150","4,722","2,950","4,360"
2021,2,70,"26,530","2,655",481,750,"1,036",587,388,969,727,869,710,"3,152","3,139",765,"2,249","1,934",496,"2,335","1,405","1,883"
2021,2,80,"11,669","1,193",278,393,614,310,166,455,298,349,274,"1,545","1,321",320,896,890,194,"1,015",521,637
2021,2,90,"1,448",160,34,70,75,33,34,73,43,50,26,164,176,32,99,89,21,109,74,86
2021,2,100,91,12,0,2,1,1,5,3,7,6,7,10,6,1,10,5,5,7,1,2
2021,3,총,"540,863","55,730","18,251","6,500","7,471","3,815","3,139","6,013","9,743","9,213","9,921","73,735","80,531","9,559","40,264","33,284","7,677","56,951","36,351","72,715"
2021,3,0,"48,368","6,395","2,799",221,186,86,78,164,555,607,577,"4,700","7,240",546,"2,522","1,526",511,"5,287","3,571","10,797"
2021,3,10,"60,774","6,074","1,261",312,308,119,138,211,670,561,630,"7,566","10,431",732,"3,823","3,049",747,"8,038","5,145","10,959"
2021,3,20,"68,649","5,351","2,136",598,608,307,261,420,"1,323","1,065","1,425","12,259","10,909","1,239","6,019","5,737","1,001","7,042","4,334","6,615"
2021,3,30,"68,505","8,667","4,004",530,570,254,220,406,"1,224","1,207","1,207","8,373","9,395",967,"4,315","2,929",779,"6,887","4,490","12,081"
2021,3,40,"97,838","10,885","2,965",786,694,349,325,560,"1,354","1,220","1,404","11,691","15,335","1,361","6,289","4,932","1,217","11,952","7,756","16,763"
2021,3,50,"97,199","8,311","2,735","1,445","1,571",821,714,"1,072","1,961","1,697","2,076","16,254","14,884","1,963","8,689","7,458","1,553","9,490","6,064","8,441"
2021,3,60,"59,908","6,065","1,552","1,399","1,837",961,818,"1,692","1,617","1,585","1,602","7,995","7,678","1,658","5,389","4,732","1,148","4,792","2,975","4,413"
2021,3,70,"26,494","2,641",488,747,"1,017",579,386,965,712,866,704,"3,172","3,160",743,"2,220","1,935",497,"2,331","1,412","1,919"
2021,3,80,"11,662","1,185",280,390,606,307,164,447,289,349,271,"1,556","1,325",320,899,896,196,"1,016",530,636
2021,3,90,"1,415",152,31,72,74,32,32,75,37,50,23,160,168,29,99,87,23,109,73,89
2021,3,100,51,4,0,0,0,0,3,1,1,6,2,9,6,1,0,3,5,7,1,2
2021,4,총,"540,686","55,739","18,232","6,481","7,434","3,801","3,125","5,976","9,726","9,173","9,883","73,747","80,478","9,526","40,285","33,212","7,648","57,018","36,348","72,854"
2021,4,0,"48,096","6,383","2,790",217,178,82,78,155,559,598,573,"4,683","7,207",544,"2,499","1,511",506,"5,253","3,556","10,724"
2021,4,10,"60,670","6,098","1,269",308,292,120,140,213,668,559,637,"7,500","10,429",716,"3,827","3,022",737,"8,018","5,126","10,991"
2021,4,20,"68,563","5,330","2,116",595,599,306,259,413,"1,313","1,048","1,397","12,267","10,863","1,227","5,995","5,721","1,004","7,062","4,355","6,693"
2021,4,30,"68,269","8,610","3,973",531,571,246,216,392,"1,211","1,202","1,203","8,398","9,377",962,"4,309","2,927",775,"6,887","4,463","12,016"
2021,4,40,"97,762","10,914","2,983",773,691,351,326,558,"1,360","1,209","1,400","11,624","15,283","1,351","6,290","4,903","1,204","11,981","7,755","16,806"
2021,4,50,"97,230","8,298","2,731","1,440","1,562",812,712,"1,063","1,945","1,682","2,068","16,278","14,916","1,974","8,674","7,451","1,545","9,508","6,088","8,483"
2021,4,60,"60,346","6,121","1,567","1,406","1,843",966,814,"1,696","1,625","1,601","1,599","8,087","7,723","1,651","5,453","4,747","1,161","4,822","2,989","4,475"
2021,4,70,"26,550","2,638",491,745,"1,021",578,382,963,712,873,705,"3,176","3,176",746,"2,231","1,934",493,"2,346","1,411","1,929"
