년도,월,나이,동구,중앙동,효동,신인동,판암1동,판암2동,용운동,대동,자양동,가양1동,가양2동,용전동,성남동,홍도동,삼성동,대청동,산내동
2020,9,60,"16,537",518,"1,525","1,044","1,020",964,"1,246",977,760,"1,089","1,382","1,343","1,011",818,"1,220",248,"1,372"
2020,9,70,"10,508",422,897,648,672,755,707,647,489,722,805,728,658,498,826,177,857
2020,9,80,"5,264",217,398,289,383,469,351,329,223,342,373,302,307,227,395,173,486
2020,9,90,848,34,76,61,48,65,52,54,30,47,56,53,59,47,62,23,81
2020,9,100,67,5,7,8,2,2,3,8,5,4,0,3,7,1,4,2,6
2020,10,총,"110,517","2,204","13,016","6,307","6,525","4,517","8,352","7,634","5,039","6,814","9,292","10,032","6,267","5,462","7,222","1,205","10,629"
2020,10,0,"7,323",56,"1,355",453,387,155,475,690,185,403,496,551,426,267,429,40,955
2020,10,10,"9,666",64,"1,603",420,490,195,773,663,422,567,869,741,466,412,610,72,"1,299"
2020,10,20,"14,219",178,"1,263",692,742,354,"1,267",877,"1,214",919,"1,417","1,896",681,949,718,85,967
2020,10,30,"11,889",162,"1,623",788,716,312,786,"1,017",421,651,861,"1,313",714,584,673,64,"1,204"
2020,10,40,"16,172",194,"2,443",856,897,450,"1,219","1,157",528,930,"1,393","1,469",862,730,"1,039",120,"1,885"
2020,10,50,"17,939",355,"1,832","1,034","1,153",782,"1,470","1,218",763,"1,131","1,638","1,618","1,077",923,"1,246",198,"1,501"
2020,10,60,"16,588",514,"1,534","1,054","1,030",976,"1,244",979,754,"1,096","1,384","1,351","1,012",822,"1,220",247,"1,371"
2020,10,70,"10,517",427,888,646,671,758,710,648,490,720,807,730,655,494,823,181,869
2020,10,80,"5,293",216,394,294,392,467,351,325,227,345,371,307,309,233,401,173,488
2020,10,90,844,33,74,62,45,66,54,53,30,47,56,54,58,47,58,23,84
2020,10,100,67,5,7,8,2,2,3,7,5,5,0,2,7,1,5,2,6
2020,11,총,"110,352","2,185","12,983","6,299","6,487","4,513","8,361","7,606","5,046","6,837","9,266","10,013","6,270","5,463","7,208","1,202","10,613"
2020,11,0,"7,272",54,"1,348",449,380,153,472,688,188,410,489,549,426,264,429,36,937
2020,11,10,"9,602",63,"1,598",418,481,191,775,658,409,567,856,731,465,405,608,72,"1,305"
2020,11,20,"14,216",173,"1,258",690,733,357,"1,270",871,"1,229",922,"1,429","1,889",673,958,713,85,966
2020,11,30,"11,803",161,"1,598",782,704,311,785,994,426,651,854,"1,321",717,579,669,63,"1,188"
2020,11,40,"16,147",190,"2,459",864,894,449,"1,214","1,157",521,937,"1,376","1,466",866,728,"1,035",117,"1,874"
2020,11,50,"17,903",350,"1,833","1,025","1,153",776,"1,470","1,220",766,"1,127","1,640","1,607","1,076",921,"1,240",199,"1,500"
2020,11,60,"16,671",516,"1,540","1,059","1,035",982,"1,249",983,755,"1,104","1,385","1,351","1,014",833,"1,228",250,"1,387"
2020,11,70,"10,521",427,883,646,665,754,719,650,486,722,809,732,656,497,822,181,872
2020,11,80,"5,308",214,389,296,395,470,350,324,230,346,371,311,313,231,400,173,495
2020,11,90,842,32,70,62,45,68,54,54,31,46,57,54,57,46,59,24,83
2020,11,100,67,5,7,8,2,2,3,7,5,5,0,2,7,1,5,2,6
2020,12,총,"110,605","2,175","12,843","6,259","6,411","4,491","9,214","7,563","5,044","6,806","9,235","9,987","6,240","5,431","7,166","1,186","10,554"
2020,12,0,"7,285",54,"1,314",441,357,148,591,683,184,410,480,538,427,263,426,36,933
2020,12,10,"9,576",65,"1,585",416,474,195,822,660,396,561,851,724,462,398,606,72,"1,289"
2020,12,20,"14,243",164,"1,244",688,726,348,"1,373",857,"1,257",913,"1,433","1,904",654,942,699,82,959
2020,12,30,"11,860",163,"1,559",768,682,302,"1,005",976,413,643,853,"1,300",721,574,670,59,"1,172"
2020,12,40,"16,170",187,"2,441",849,883,451,"1,355","1,160",520,934,"1,357","1,458",855,719,"1,026",111,"1,864"
2020,12,50,"17,897",351,"1,823","1,019","1,136",767,"1,565","1,206",769,"1,119","1,638","1,600","1,065",927,"1,222",199,"1,491"
2020,12,60,"16,778",513,"1,537","1,059","1,036",978,"1,350",986,748,"1,106","1,382","1,358","1,018",832,"1,233",252,"1,390"
2020,12,70,"10,554",427,878,652,665,756,731,649,489,727,807,740,659,496,823,181,874
2020,12,80,"5,327",213,387,299,401,475,359,322,230,344,376,311,312,233,398,171,496
2020,12,90,845,33,68,60,49,69,60,57,32,44,56,52,60,46,58,21,80
2020,12,100,70,5,7,8,2,2,3,7,6,5,2,2,7,1,5,2,6
2021,1,총,"110,933","2,177","12,734","6,242","6,374","4,462","10,096","7,501","4,985","6,768","9,164","9,962","6,214","5,398","7,154","1,187","10,515"
2021,1,0,"7,289",52,"1,290",437,356,142,698,668,183,409,470,525,423,264,414,33,925
2021,1,10,"9,559",66,"1,564",416,464,192,886,653,381,549,847,728,459,395,599,76,"1,284"
2021,1,20,"14,224",165,"1,233",692,711,339,"1,468",849,"1,235",910,"1,408","1,902",645,927,710,81,949
2021,1,30,"11,938",168,"1,527",756,680,304,"1,206",956,406,637,836,"1,294",721,572,655,59,"1,161"
2021,1,40,"16,184",185,"2,432",835,880,440,"1,492","1,151",511,923,"1,339","1,451",845,708,"1,023",110,"1,859"
2021,1,50,"17,947",350,"1,815","1,015","1,133",756,"1,697","1,192",762,"1,103","1,642","1,592","1,061",920,"1,218",199,"1,492"
2021,1,60,"16,929",511,"1,533","1,072","1,026",983,"1,449","1,002",750,"1,110","1,387","1,367","1,015",836,"1,242",252,"1,394"
2021,1,70,"10,573",425,880,652,674,757,754,640,487,729,794,740,663,496,826,179,877
2021,1,80,"5,374",217,385,300,400,479,379,326,232,349,381,311,314,233,405,172,491
2021,1,90,847,33,68,59,48,68,64,57,32,44,58,51,61,46,57,24,77
2021,1,100,69,5,7,8,2,2,3,7,6,5,2,1,7,1,5,2,6
2021,2,총,"111,077","2,168","12,699","6,237","6,342","4,456","10,530","7,457","4,990","6,751","9,134","9,961","6,195","5,384","7,115","1,187","10,471"
2021,2,0,"7,255",53,"1,270",430,345,137,759,652,177,411,462,526,416,260,407,33,917
2021,2,10,"9,641",66,"1,576",412,463,194,921,651,434,557,855,724,458,390,592,75,"1,273"
2021,2,20,"14,151",165,"1,218",682,704,337,"1,524",836,"1,194",886,"1,402","1,904",636,930,703,82,948
2021,2,30,"11,910",166,"1,494",746,671,303,"1,302",946,408,634,828,"1,293",709,566,642,59,"1,143"
2021,2,40,"16,247",185,"2,452",832,876,435,"1,560","1,155",514,921,"1,326","1,451",846,706,"1,018",110,"1,860"
2021,2,50,"17,914",347,"1,815","1,023","1,126",749,"1,755","1,179",755,"1,097","1,627","1,579","1,057",910,"1,219",197,"1,479"
2021,2,60,"17,028",510,"1,542","1,085","1,024",992,"1,486",995,748,"1,114","1,401","1,377","1,013",845,"1,241",251,"1,404"
2021,2,70,"10,569",417,877,656,679,756,767,640,489,729,792,739,669,489,821,178,871
2021,2,80,"5,431",222,378,304,401,484,387,337,233,353,378,315,320,241,410,174,494
2021,2,90,860,32,69,59,51,67,66,58,32,44,61,52,64,46,57,26,76
2021,2,100,71,5,8,8,2,2,3,8,6,5,2,1,7,1,5,2,6
2021,3,총,"110,743","2,078","12,614","6,204","6,334","4,422","10,681","7,439","4,992","6,704","9,102","9,973","6,170","5,362","7,068","1,179","10,421"
2021,3,0,"7,231",56,"1,254",427,338,131,783,656,176,410,459,525,412,261,402,36,905
2021,3,10,"9,655",68,"1,579",412,464,188,919,645,451,554,858,725,462,384,594,74,"1,278"
2021,3,20,"14,168",160,"1,187",679,711,335,"1,567",839,"1,203",875,"1,390","1,934",630,942,689,82,945
2021,3,30,"11,861",152,"1,483",748,678,298,"1,337",940,407,629,819,"1,278",712,564,641,58,"1,117"
2021,3,40,"16,145",169,"2,437",835,864,427,"1,572","1,144",512,915,"1,308","1,447",838,699,"1,008",110,"1,860"
2021,3,50,"17,744",326,"1,800","1,016","1,113",742,"1,770","1,173",745,"1,073","1,623","1,577","1,046",889,"1,203",194,"1,454"
2021,3,60,"17,088",497,"1,544","1,075","1,030",989,"1,513","1,007",747,"1,120","1,406","1,375","1,025",848,"1,248",248,"1,416"
2021,3,70,"10,540",407,879,652,682,761,766,631,478,730,791,747,663,489,817,175,872
2021,3,80,"5,439",213,377,305,403,483,390,342,234,353,383,315,321,242,411,176,491
2021,3,90,843,29,72,54,50,68,62,59,35,42,62,49,58,44,55,26,78
2021,3,100,29,1,2,1,1,0,2,3,4,3,3,1,3,0,0,0,5
2021,4,총,"110,698","2,082","12,606","6,203","6,308","4,420","10,757","7,452","4,994","6,689","9,082","9,944","6,156","5,363","7,061","1,173","10,408"
2021,4,0,"7,184",55,"1,250",426,328,131,796,656,175,404,452,517,407,263,394,36,894
2021,4,10,"9,626",66,"1,578",413,469,184,920,643,442,550,854,719,466,383,594,71,"1,274"
2021,4,20,"14,160",163,"1,176",677,704,338,"1,567",838,"1,215",866,"1,390","1,925",625,950,690,83,953
2021,4,30,"11,821",149,"1,479",743,672,288,"1,357",941,408,632,814,"1,266",710,559,636,57,"1,110"
2021,4,40,"16,146",170,"2,435",830,862,434,"1,586","1,153",515,906,"1,296","1,453",828,696,"1,012",107,"1,863"
2021,4,50,"17,673",324,"1,796","1,013","1,105",729,"1,777","1,165",738,"1,069","1,625","1,565","1,040",888,"1,193",193,"1,453"
2021,4,60,"17,227",504,"1,558","1,084","1,037","1,001","1,527","1,021",752,"1,129","1,411","1,385","1,033",852,"1,259",249,"1,425"
2021,4,70,"10,521",407,877,654,679,762,767,634,476,730,788,747,657,485,816,174,868
2021,4,80,"5,468",213,381,308,401,484,398,339,235,357,386,318,329,244,412,177,486
2021,4,90,843,30,74,54,50,69,60,59,34,43,63,48,58,43,55,26,77
2021,4,100,29,1,2,1,1,0,2,3,4,3,3,1,3,0,0,0,5
2021,5,총,"110,697","2,073","12,584","6,209","6,345","4,403","10,759","7,486","5,024","6,686","9,065","9,931","6,146","5,400","7,034","1,174","10,378"
2021,5,0,"7,136",54,"1,229",427,330,126,795,660,176,399,444,512,409,263,394,35,883
2021,5,10,"9,607",69,"1,591",407,474,177,916,650,436,545,842,717,469,383,588,70,"1,273"
2021,5,20,"14,228",158,"1,169",680,705,335,"1,563",845,"1,237",875,"1,394","1,944",625,978,684,85,951
2021,5,30,"11,773",150,"1,466",742,675,289,"1,348",948,415,630,811,"1,253",700,562,637,57,"1,090"
2021,5,40,"16,129",168,"2,430",825,870,427,"1,587","1,160",521,913,"1,287","1,447",826,689,"1,007",107,"1,865"
2021,5,50,"17,621",325,"1,791","1,016","1,103",722,"1,788","1,153",733,"1,057","1,622","1,560","1,034",893,"1,190",190,"1,444"
2021,5,60,"17,318",505,"1,566","1,087","1,054","1,006","1,534","1,037",756,"1,131","1,424","1,385","1,043",858,"1,251",254,"1,427"
2021,5,70,"10,495",405,876,653,682,761,766,627,475,729,780,748,650,484,809,173,877
2021,5,80,"5,510",209,388,317,398,490,399,343,238,362,394,317,330,246,419,176,484
2021,5,90,851,29,76,54,53,70,61,60,33,42,64,47,57,44,55,27,79
2021,5,100,29,1,2,1,1,0,2,3,4,3,3,1,3,0,0,0,5
2021,6,총,"110,674","2,054","12,576","6,196","6,331","4,407","10,782","7,502","5,011","6,674","9,076","9,952","6,137","5,415","7,012","1,172","10,377"
2021,6,0,"7,090",53,"1,210",421,331,124,796,661,175,397,446,512,402,260,394,34,874
2021,6,10,"9,573",66,"1,591",406,468,177,910,649,423,542,840,721,475,381,580,70,"1,274"
2021,6,20,"14,203",151,"1,182",678,695,334,"1,566",847,"1,234",877,"1,388","1,936",622,982,677,85,949
2021,6,30,"11,747",151,"1,447",740,672,287,"1,345",948,412,627,818,"1,275",696,561,633,57,"1,078"
2021,6,40,"16,169",169,"2,430",819,870,430,"1,592","1,162",521,911,"1,289","1,452",827,705,"1,008",107,"1,877"
2021,6,50,"17,547",316,"1,774","1,018","1,094",719,"1,796","1,155",727,"1,058","1,611","1,557","1,023",890,"1,180",187,"1,442"
2021,6,60,"17,423",504,"1,591","1,089","1,056","1,013","1,548","1,045",765,"1,127","1,444","1,390","1,052",865,"1,250",255,"1,429"
2021,6,70,"10,481",406,879,655,688,756,769,628,478,722,777,737,649,480,815,172,870
2021,6,80,"5,560",208,393,318,402,492,398,347,238,368,395,326,331,249,419,178,498
2021,6,90,853,29,77,51,54,75,60,58,34,42,65,45,57,42,56,27,81
2021,6,100,28,1,2,1,1,0,2,2,4,3,3,1,3,0,0,0,5
2021,7,총,"110,659","2,034","12,564","6,181","6,337","4,394","10,816","7,513","4,988","6,699","9,106","9,965","6,117","5,422","6,995","1,172","10,356"
2021,7,0,"7,079",56,"1,203",425,334,123,800,660,174,399,448,513,401,254,391,34,864
2021,7,10,"9,526",67,"1,583",402,465,173,919,663,401,538,832,721,469,380,578,69,"1,266"
2021,7,20,"14,152",143,"1,168",665,699,337,"1,556",842,"1,237",881,"1,402","1,909",622,989,664,86,952
2021,7,30,"11,738",150,"1,435",736,672,286,"1,358",927,411,633,826,"1,292",690,566,625,56,"1,075"
2021,7,40,"16,144",167,"2,436",813,867,426,"1,594","1,179",521,912,"1,286","1,446",819,695,"1,013",107,"1,863"
2021,7,50,"17,547",313,"1,783","1,022","1,094",705,"1,798","1,157",726,"1,072","1,615","1,558","1,017",891,"1,172",186,"1,438"
2021,7,60,"17,512",501,"1,595","1,092","1,061","1,017","1,556","1,052",762,"1,133","1,446","1,406","1,058",875,"1,257",256,"1,445"
2021,7,70,"10,492",403,887,654,689,758,775,618,477,724,780,739,653,480,815,172,868
2021,7,80,"5,588",205,392,323,403,492,396,355,240,362,402,334,328,251,425,179,501
2021,7,90,853,28,80,48,52,77,62,58,36,42,66,46,57,41,55,27,78
2021,7,100,28,1,2,1,1,0,2,2,3,3,3,1,3,0,0,0,6
2021,8,총,"110,668","2,034","12,570","6,164","6,327","4,399","10,839","7,499","4,985","6,686","9,128","9,994","6,108","5,426","6,983","1,172","10,354"
2021,8,0,"7,007",58,"1,193",421,329,122,796,657,174,398,438,507,394,245,385,33,857
2021,8,10,"9,524",69,"1,592",394,468,177,911,662,406,533,834,723,468,377,578,69,"1,263"
2021,8,20,"14,163",138,"1,166",661,689,339,"1,564",840,"1,233",880,"1,413","1,919",622,"1,003",662,85,949
2021,8,30,"11,735",155,"1,416",732,671,287,"1,376",925,412,635,828,"1,291",694,565,628,53,"1,067"
2021,8,40,"16,131",170,"2,447",808,867,424,"1,577","1,174",516,911,"1,284","1,457",820,695,999,110,"1,872"
2021,8,50,"17,549",308,"1,789","1,014","1,094",701,"1,811","1,156",719,"1,064","1,624","1,565","1,011",887,"1,178",189,"1,439"
2021,8,60,"17,585",502,"1,601","1,103","1,060","1,022","1,565","1,054",770,"1,141","1,453","1,409","1,055",881,"1,265",257,"1,447"
2021,8,70,"10,491",401,892,659,694,757,770,613,479,716,778,734,652,483,816,172,875
2021,8,80,"5,593",203,392,323,401,491,402,359,236,364,408,340,329,248,417,177,503
2021,8,90,859,29,80,48,53,79,64,57,37,41,64,47,60,42,55,27,76
2021,8,100,31,1,2,1,1,0,3,2,3,3,4,2,3,0,0,0,6
2021,9,총,"110,771","2,023","12,573","6,177","6,328","4,380","10,893","7,480","5,034","6,695","9,129","10,019","6,088","5,454","6,966","1,165","10,367"
2021,9,0,"6,956",57,"1,178",420,334,121,790,649,177,392,436,496,395,241,382,32,856
2021,9,10,"9,538",70,"1,589",401,463,170,932,669,406,537,828,718,470,383,569,71,"1,262"
2021,9,20,"14,248",138,"1,173",653,685,340,"1,578",831,"1,270",885,"1,421","1,939",613,"1,027",664,82,949
2021,9,30,"11,729",150,"1,406",728,678,285,"1,386",926,412,626,833,"1,298",682,568,626,54,"1,071"
2021,9,40,"16,088",172,"2,445",812,868,417,"1,576","1,174",521,908,"1,271","1,457",817,686,987,106,"1,871"
2021,9,50,"17,557",305,"1,802","1,019","1,092",696,"1,817","1,147",720,"1,069","1,623","1,565","1,011",883,"1,176",188,"1,444"
2021,9,60,"17,639",500,"1,609","1,111","1,058","1,023","1,567","1,057",775,"1,143","1,457","1,419","1,059",888,"1,266",259,"1,448"
