년도,월,나이,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020,8,80,"4,382",512,192,143,167,166,253,171,141,186,245,246,243,210,157,180,255,234,407,274
2020,8,90,767,109,27,23,37,41,48,28,36,31,43,67,31,27,25,20,39,42,56,37
2020,8,100,46,8,1,2,2,3,1,4,0,0,3,3,2,3,1,2,3,2,2,4
2020,9,총,"52,219","5,410","1,159",720,967,"1,091","1,529","1,364","1,024",955,"1,585","4,010","3,220","2,114","1,867","3,371","4,208","4,048","9,425","4,152"
2020,9,0,"3,010",223,28,9,27,24,43,37,17,12,23,243,168,74,69,254,240,232,"1,014",273
2020,9,10,"4,278",361,52,29,43,54,61,67,41,28,58,459,303,161,114,417,277,321,"1,044",388
2020,9,20,"3,997",347,70,29,53,56,77,62,49,32,66,318,262,121,137,270,421,393,834,400
2020,9,30,"4,015",347,50,22,41,40,59,55,38,32,61,284,211,138,132,266,328,288,"1,253",370
2020,9,40,"6,762",581,77,33,68,84,103,105,63,60,78,679,438,234,213,608,525,561,"1,622",630
2020,9,50,"8,901",954,217,113,156,166,249,257,180,168,284,662,549,328,313,580,835,817,"1,338",735
2020,9,60,"9,434","1,148",260,167,204,242,351,349,268,214,409,596,572,474,417,467,787,732,"1,139",638
2020,9,70,"6,576",815,184,150,168,210,287,227,186,188,312,448,437,338,289,304,495,426,711,401
2020,9,80,"4,415",510,190,142,168,169,249,173,146,191,246,250,247,216,157,183,258,233,412,275
2020,9,90,783,116,30,23,37,43,49,27,36,30,45,68,31,27,25,20,39,43,56,38
2020,9,100,48,8,1,3,2,3,1,5,0,0,3,3,2,3,1,2,3,2,2,4
2020,10,총,"52,159","5,415","1,154",720,967,"1,085","1,521","1,361","1,022",955,"1,584","4,000","3,219","2,108","1,865","3,366","4,195","4,055","9,401","4,166"
2020,10,0,"2,977",221,28,9,27,23,43,36,17,13,23,236,166,70,70,254,237,230,"1,001",273
2020,10,10,"4,270",362,52,29,43,51,60,68,41,28,58,458,301,159,115,414,278,321,"1,043",389
2020,10,20,"3,989",346,67,27,52,56,77,61,47,31,66,312,263,123,136,275,415,400,825,410
2020,10,30,"4,004",345,54,19,41,39,56,53,38,32,59,285,212,135,132,265,326,283,"1,254",376
2020,10,40,"6,733",584,76,34,67,82,102,107,63,59,77,677,438,236,208,605,521,557,"1,617",623
2020,10,50,"8,851",947,211,112,156,166,252,252,180,167,286,653,547,325,315,572,827,811,"1,338",734
2020,10,60,"9,503","1,158",262,170,206,244,348,350,266,213,410,612,571,479,418,471,788,746,"1,145",646
2020,10,70,"6,570",817,183,149,169,205,283,226,188,189,310,441,441,333,288,303,503,426,717,399
2020,10,80,"4,431",513,187,145,165,175,250,176,146,191,248,254,248,218,157,185,259,236,402,276
2020,10,90,783,114,33,23,39,41,49,27,36,32,44,69,30,27,25,20,38,43,57,36
2020,10,100,48,8,1,3,2,3,1,5,0,0,3,3,2,3,1,2,3,2,2,4
2020,11,총,"52,102","5,404","1,148",720,967,"1,090","1,511","1,358","1,017",954,"1,577","3,997","3,210","2,101","1,867","3,373","4,192","4,035","9,424","4,157"
2020,11,0,"2,964",225,27,7,27,24,43,37,17,12,23,238,163,67,73,254,236,229,993,269
2020,11,10,"4,267",359,53,29,42,52,59,67,40,28,57,456,298,158,115,413,279,315,"1,055",392
2020,11,20,"3,982",345,65,28,55,56,76,63,46,31,64,313,264,128,135,276,412,389,827,409
2020,11,30,"3,976",340,54,19,39,40,53,54,35,32,59,279,209,133,132,266,318,290,"1,252",372
2020,11,40,"6,724",587,75,34,69,82,100,99,66,59,79,678,433,233,205,605,516,555,"1,632",617
2020,11,50,"8,820",934,211,112,156,168,247,254,178,166,283,654,545,325,318,579,825,799,"1,324",742
2020,11,60,"9,535","1,163",264,170,207,242,354,350,268,213,408,613,571,478,418,477,797,745,"1,155",642
2020,11,70,"6,557",816,180,151,169,202,281,226,185,188,311,438,445,333,290,298,505,425,719,395
2020,11,80,"4,440",513,186,143,161,179,249,176,147,191,246,256,250,216,156,182,262,242,406,279
2020,11,90,789,114,32,24,39,42,48,27,35,34,44,69,30,27,24,21,40,44,59,36
2020,11,100,48,8,1,3,3,3,1,5,0,0,3,3,2,3,1,2,2,2,2,4
2020,12,총,"52,049","5,403","1,152",721,968,"1,088","1,512","1,349","1,005",951,"1,570","3,896","3,294","2,102","1,862","3,358","4,189","4,038","9,434","4,157"
2020,12,0,"2,947",223,29,7,27,24,42,36,16,13,23,229,166,71,73,248,234,227,991,268
2020,12,10,"4,259",357,52,29,41,52,60,67,37,28,58,444,310,157,115,409,282,316,"1,058",387
2020,12,20,"3,957",347,64,28,52,56,79,63,45,30,62,300,271,126,133,279,406,386,819,411
2020,12,30,"3,977",347,53,21,40,42,52,52,33,32,58,274,217,136,127,262,317,295,"1,250",369
2020,12,40,"6,693",574,77,31,69,77,100,96,61,60,76,648,454,235,206,600,520,550,"1,636",623
2020,12,50,"8,802",935,212,113,156,172,241,252,178,163,274,631,570,321,315,582,823,801,"1,326",737
2020,12,60,"9,573","1,165",263,171,208,245,357,350,270,213,415,611,576,480,425,468,801,753,"1,161",641
2020,12,70,"6,530",813,179,152,170,200,278,227,184,185,308,431,446,329,290,301,503,419,719,396
2020,12,80,"4,464",521,189,141,162,174,252,174,146,193,248,257,250,218,152,185,260,246,412,284
2020,12,90,798,112,33,25,40,43,50,27,35,34,45,68,32,26,25,22,41,43,60,37
2020,12,100,49,9,1,3,3,3,1,5,0,0,3,3,2,3,1,2,2,2,2,4
2021,1,총,"52,002","5,410","1,158",722,969,"1,094","1,504","1,349",999,952,"1,564","3,879","3,292","2,091","1,858","3,351","4,183","4,034","9,443","4,150"
2021,1,0,"2,920",221,30,7,27,25,42,37,16,13,23,228,167,67,73,246,231,222,984,261
2021,1,10,"4,240",357,52,29,41,52,59,66,35,28,57,440,299,156,110,403,284,323,"1,065",384
2021,1,20,"3,963",349,66,29,52,60,76,64,44,28,56,291,278,126,134,282,412,379,830,407
2021,1,30,"3,954",348,50,20,39,42,51,54,32,32,57,273,217,136,123,264,308,296,"1,239",373
2021,1,40,"6,676",565,80,33,70,76,97,98,58,60,76,644,454,233,210,589,510,550,"1,649",624
2021,1,50,"8,772",946,213,114,154,171,241,251,177,163,269,631,566,308,309,590,822,799,"1,313",735
2021,1,60,"9,616","1,166",264,167,210,245,357,349,271,215,421,616,583,488,426,468,806,756,"1,164",644
2021,1,70,"6,519",813,179,153,168,201,278,223,182,184,305,429,445,327,292,297,511,415,724,393
2021,1,80,"4,481",521,190,141,164,174,251,175,149,195,252,259,248,221,153,188,257,248,409,286
2021,1,90,811,114,33,26,41,45,51,27,34,34,45,65,32,26,27,22,40,45,64,40
2021,1,100,50,10,1,3,3,3,1,5,1,0,3,3,3,3,1,2,2,1,2,3
2021,2,총,"51,906","5,402","1,149",717,967,"1,091","1,491","1,351","1,001",951,"1,567","3,864","3,286","2,083","1,853","3,335","4,172","4,014","9,469","4,143"
2021,2,0,"2,919",223,31,7,27,25,43,40,16,12,24,227,167,67,72,247,229,216,991,255
2021,2,10,"4,190",346,51,29,40,50,57,66,34,28,56,434,297,155,107,396,282,317,"1,063",382
2021,2,20,"3,952",349,67,26,52,64,76,65,44,29,55,283,273,126,129,277,413,379,836,409
2021,2,30,"3,912",346,49,22,40,40,50,54,32,31,56,276,215,135,122,258,299,288,"1,230",369
2021,2,40,"6,673",565,80,32,67,75,96,99,59,59,73,640,447,230,212,593,514,545,"1,669",618
2021,2,50,"8,734",946,209,115,154,170,237,245,174,166,269,632,567,307,308,587,818,801,"1,300",729
2021,2,60,"9,661","1,168",266,166,210,247,356,349,272,215,425,615,589,485,424,469,808,760,"1,178",659
2021,2,70,"6,500",809,173,151,168,197,276,224,182,184,304,432,442,327,293,298,510,414,726,390
2021,2,80,"4,494",526,189,140,165,173,249,176,153,193,255,256,253,223,157,186,257,246,410,287
2021,2,90,821,114,33,26,41,47,50,28,34,34,47,67,33,25,28,22,39,47,64,42
2021,2,100,50,10,1,3,3,3,1,5,1,0,3,2,3,3,1,2,3,1,2,3
2021,3,총,"51,793","5,408","1,137",715,961,"1,080","1,488","1,354","1,000",941,"1,565","3,872","3,267","2,089","1,841","3,328","4,166","3,986","9,456","4,139"
2021,3,0,"2,893",221,29,7,26,24,41,39,17,12,25,226,170,67,70,243,228,215,985,248
2021,3,10,"4,173",348,49,29,39,50,59,63,34,28,55,433,286,154,109,400,287,312,"1,059",379
2021,3,20,"3,958",353,64,25,52,62,72,68,45,28,55,282,272,125,127,272,410,376,853,417
2021,3,30,"3,903",350,49,22,39,38,51,53,29,30,57,281,218,135,120,259,302,281,"1,222",367
2021,3,40,"6,623",564,76,31,62,75,96,101,61,56,73,637,439,230,210,594,509,535,"1,657",617
2021,3,50,"8,656",928,202,114,158,167,232,241,174,160,264,633,563,306,299,582,806,802,"1,293",732
2021,3,60,"9,730","1,183",271,164,209,245,359,357,268,215,432,624,592,491,428,468,817,760,"1,187",660
2021,3,70,"6,480",806,175,153,168,193,276,223,185,185,302,429,435,331,290,299,505,411,725,389
2021,3,80,"4,511",534,189,140,163,176,250,176,151,193,254,258,258,223,158,187,261,246,411,283
2021,3,90,824,114,33,28,43,47,51,28,35,34,47,67,30,24,29,22,38,47,63,44
2021,3,100,42,7,0,2,2,3,1,5,1,0,1,2,4,3,1,2,3,1,1,3
2021,4,총,"51,751","5,406","1,140",716,956,"1,079","1,478","1,345","1,000",939,"1,563","3,856","3,262","2,069","1,841","3,342","4,172","3,974","9,466","4,147"
2021,4,0,"2,863",219,30,6,25,25,41,39,18,12,25,222,171,67,67,242,226,208,972,248
2021,4,10,"4,162",348,49,30,40,50,55,62,32,28,53,428,282,151,112,408,286,311,"1,061",376
2021,4,20,"3,970",360,62,25,49,59,71,67,46,28,54,283,275,128,125,270,415,375,857,421
2021,4,30,"3,898",344,49,22,39,40,51,52,31,30,57,274,218,132,121,261,298,289,"1,219",371
2021,4,40,"6,615",559,77,31,61,75,95,102,60,56,72,632,438,228,208,589,503,528,"1,679",622
2021,4,50,"8,580",916,200,116,158,165,224,236,168,156,261,629,558,299,303,587,807,793,"1,283",721
2021,4,60,"9,792","1,188",273,163,209,248,361,360,273,215,439,630,595,488,427,471,821,767,"1,195",669
2021,4,70,"6,456",806,176,149,167,191,277,220,186,185,298,429,431,329,288,300,508,406,724,386
2021,4,80,"4,537",544,189,144,162,176,248,174,151,195,256,262,260,219,159,188,265,250,410,285
2021,4,90,835,115,35,28,44,47,54,28,34,34,47,65,30,25,30,24,40,46,64,45
2021,4,100,43,7,0,2,2,3,1,5,1,0,1,2,4,3,1,2,3,1,2,3
2021,5,총,"51,628","5,382","1,137",714,952,"1,080","1,475","1,340","1,006",934,"1,538","3,849","3,232","2,040","1,842","3,344","4,179","3,972","9,461","4,151"
2021,5,0,"2,848",227,30,6,25,25,41,37,18,11,25,220,165,64,69,240,222,203,971,249
2021,5,10,"4,152",347,48,30,40,50,53,61,30,28,54,423,278,152,112,406,290,312,"1,064",374
2021,5,20,"3,985",364,60,24,48,59,70,66,48,29,55,286,269,124,126,275,421,371,866,424
2021,5,30,"3,864",340,50,21,41,39,52,53,31,30,54,271,212,129,123,253,297,292,"1,211",365
2021,5,40,"6,570",543,78,31,60,75,92,100,59,55,71,634,436,219,206,589,505,524,"1,670",623
2021,5,50,"8,537",903,197,113,155,161,227,233,169,153,245,629,555,298,304,591,804,792,"1,288",720
2021,5,60,"9,819","1,198",274,165,209,251,362,364,274,215,438,628,591,480,423,473,825,774,"1,197",678
2021,5,70,"6,410",790,176,148,166,194,274,218,188,185,291,430,433,328,285,298,504,404,713,385
2021,5,80,"4,554",548,188,144,160,175,249,178,153,194,255,262,260,216,162,194,268,252,412,284
2021,5,90,848,115,36,30,46,48,54,26,35,34,49,65,29,26,31,23,40,47,68,46
2021,5,100,41,7,0,2,2,3,1,4,1,0,1,1,4,4,1,2,3,1,1,3
2021,6,총,"51,590","5,368","1,134",711,952,"1,086","1,478","1,343","1,001",935,"1,533","3,844","3,234","2,039","1,837","3,344","4,160","3,969","9,468","4,154"
2021,6,0,"2,830",227,28,6,25,25,41,37,18,12,24,218,165,63,70,233,221,199,970,248
2021,6,10,"4,159",347,48,30,41,50,54,62,29,28,52,425,281,149,114,412,284,315,"1,064",374
2021,6,20,"3,988",365,63,24,48,62,69,65,46,29,56,287,267,125,126,273,425,370,868,420
2021,6,30,"3,851",337,49,21,39,41,49,54,32,30,54,266,214,130,126,251,295,289,"1,210",364
2021,6,40,"6,556",541,78,31,61,74,94,101,58,54,70,628,433,219,205,588,500,525,"1,671",625
2021,6,50,"8,488",893,194,111,148,164,226,231,169,150,246,638,554,301,294,590,792,787,"1,282",718
2021,6,60,"9,866","1,197",276,166,216,249,363,363,275,216,438,628,594,477,426,480,824,783,"1,213",682
2021,6,70,"6,407",789,176,148,164,196,274,223,190,183,289,426,434,330,285,299,504,400,710,387
2021,6,80,"4,557",552,186,144,160,173,252,178,148,199,253,263,259,215,159,193,270,253,412,288
2021,6,90,845,111,36,28,48,49,55,25,35,34,50,64,29,26,31,23,43,47,66,45
2021,6,100,43,9,0,2,2,3,1,4,1,0,1,1,4,4,1,2,2,1,2,3
2021,7,총,"51,578","5,363","1,129",711,946,"1,086","1,469","1,343","1,003",939,"1,536","3,841","3,194","2,076","2,579","3,338","5,099","3,947","7,824","4,155"
2021,7,0,"2,816",228,28,6,25,26,38,38,17,12,24,214,164,66,90,228,257,196,909,250
2021,7,10,"4,148",347,45,30,40,53,53,62,29,27,52,427,281,148,151,410,327,316,981,369
2021,7,20,"4,000",361,65,24,49,60,67,64,46,31,57,291,258,132,162,280,498,358,781,416
2021,7,30,"3,827",337,49,19,39,41,47,54,33,29,54,261,215,125,166,245,350,290,"1,103",370
2021,7,40,"6,544",542,77,33,61,73,93,102,57,52,68,627,422,225,273,588,595,517,"1,513",626
2021,7,50,"8,459",888,192,111,146,162,224,228,173,152,246,634,545,299,412,581,933,781,"1,040",712
2021,7,60,"9,926","1,199",279,166,216,252,367,364,277,216,437,632,590,489,624,488,"1,061",786,792,691
2021,7,70,"6,419",792,177,147,165,195,271,224,187,185,290,431,427,342,425,295,659,402,416,389
2021,7,80,"4,550",547,182,144,159,173,253,179,148,198,254,260,258,219,236,198,358,253,247,284
2021,7,90,847,113,35,29,45,48,55,24,35,37,53,62,30,27,38,23,59,47,42,45
2021,7,100,42,9,0,2,1,3,1,4,1,0,1,2,4,4,2,2,2,1,0,3
2021,8,총,"51,543","5,343","1,131",708,939,"1,080","1,471","1,339","1,009",934,"1,532","3,829","3,190","2,076","2,582","3,341","5,090","3,942","7,850","4,157"
2021,8,0,"2,797",225,29,6,25,26,39,36,17,12,24,210,159,65,89,227,258,194,907,249
2021,8,10,"4,132",341,45,29,40,53,52,63,29,23,52,428,282,143,153,418,324,316,978,363
2021,8,20,"4,016",358,64,23,48,58,65,62,46,32,57,288,260,135,162,277,503,356,798,424
2021,8,30,"3,807",333,49,18,38,41,48,54,35,29,54,257,212,122,169,244,347,291,"1,098",368
2021,8,40,"6,537",537,76,32,61,71,91,101,57,52,68,620,421,226,272,584,600,509,"1,530",629
2021,8,50,"8,432",880,192,113,146,162,225,227,174,151,244,636,547,301,414,585,921,781,"1,031",702
2021,8,60,"9,938","1,208",277,167,213,250,371,363,280,216,436,630,590,486,619,482,"1,060",793,801,696
2021,8,70,"6,427",791,179,145,166,198,270,225,186,184,289,436,426,347,426,300,655,398,416,390
2021,8,80,"4,556",547,185,144,157,171,254,179,149,198,254,259,259,218,236,198,358,256,249,285
2021,8,90,857,114,35,29,44,45,55,25,35,37,53,63,30,29,40,24,62,47,42,48
2021,8,100,44,9,0,2,1,5,1,4,1,0,1,2,4,4,2,2,2,1,0,3
2021,9,총,"51,448","5,338","1,132",705,936,"1,074","1,472","1,338","1,004",931,"1,526","3,814","3,185","2,054","2,591","3,337","5,083","3,934","7,844","4,150"
2021,9,0,"2,775",224,29,6,24,25,37,36,17,12,22,208,161,65,88,229,257,188,901,246
2021,9,10,"4,112",337,44,29,41,52,54,62,28,24,52,423,283,141,156,408,323,318,976,361
2021,9,20,"4,002",359,64,23,48,57,62,60,42,31,54,285,256,128,163,282,510,352,804,422
2021,9,30,"3,768",333,51,17,39,40,50,54,34,29,52,250,205,123,167,238,348,288,"1,089",361
2021,9,40,"6,540",537,76,31,60,70,93,101,58,51,67,619,431,223,276,581,588,510,"1,533",635
2021,9,50,"8,418",874,190,115,144,162,222,226,173,151,243,638,544,294,408,593,919,788,"1,033",701
2021,9,60,"9,926","1,206",276,166,211,252,373,364,281,218,438,627,586,483,622,480,"1,058",787,801,697
2021,9,70,"6,447",798,181,144,167,198,271,222,188,183,289,437,427,351,432,302,654,399,412,392
2021,9,80,"4,554",545,186,143,156,168,253,183,148,194,255,258,258,216,238,197,363,257,253,283
2021,9,90,861,116,35,29,45,45,56,26,34,38,53,66,30,26,39,25,61,46,42,49
2021,9,100,45,9,0,2,1,5,1,4,1,0,1,3,4,4,2,2,2,1,0,3
2021,10,총,"51,379","5,328","1,124",705,937,"1,076","1,472","1,325","1,006",928,"1,511","3,808","3,190","2,057","2,582","3,327","5,068","3,927","7,848","4,160"
2021,10,0,"2,759",221,30,7,24,25,37,34,17,11,20,205,164,67,86,225,255,188,899,244
2021,10,10,"4,115",338,42,29,41,51,55,61,30,24,53,418,285,142,154,408,329,314,973,368
2021,10,20,"3,986",355,61,21,48,61,65,55,43,30,55,292,253,128,159,283,504,351,800,422
2021,10,30,"3,746",328,52,18,38,40,50,54,32,29,51,253,207,124,166,231,344,284,"1,082",363
2021,10,40,"6,525",535,75,30,60,68,93,97,58,51,65,612,433,221,271,581,584,511,"1,538",642
2021,10,50,"8,395",874,185,116,142,162,220,225,172,151,239,638,537,297,412,597,911,782,"1,038",697
2021,10,60,"9,933","1,209",278,167,211,252,374,365,283,219,434,625,586,475,618,478,"1,054",788,814,703
2021,10,70,"6,461",795,179,143,169,199,266,223,187,181,290,437,435,354,436,304,658,406,408,391
2021,10,80,"4,550",549,188,143,155,168,256,181,146,193,252,257,255,218,241,196,366,255,254,277
2021,10,90,863,115,34,29,48,45,55,26,36,39,51,67,31,26,37,23,61,47,42,51
2021,10,100,46,9,0,2,1,5,1,4,2,0,1,4,4,5,2,1,2,1,0,2
2021,11,총,"51,349","5,290","1,115",697,941,"1,073","1,479","1,327",993,925,"1,505","3,789","3,166","2,021","2,571","3,298","5,000","3,886","7,688","4,585"
2021,11,0,"2,749",207,29,6,22,25,36,36,14,12,20,198,163,61,84,223,242,191,873,307
2021,11,10,"4,114",334,41,28,39,52,58,61,30,23,52,416,285,139,154,395,322,309,947,429
2021,11,20,"3,981",352,61,22,52,58,65,55,42,29,54,291,246,125,157,278,492,345,787,470
2021,11,30,"3,741",323,54,17,38,41,51,52,32,30,51,252,205,121,163,230,325,275,"1,035",446
2021,11,40,"6,520",533,73,30,62,68,91,98,56,49,62,609,424,213,268,575,574,501,"1,508",726
2021,11,50,"8,391",870,186,115,142,160,225,225,171,151,232,636,532,291,411,593,903,771,"1,028",749
2021,11,60,"9,927","1,204",277,164,210,252,372,365,282,217,438,625,588,476,616,478,"1,041",791,811,720
2021,11,70,"6,455",787,177,144,171,196,267,226,183,180,290,435,427,352,436,304,668,407,409,396
