년도,월,나이,용산구,후암동,용산2가동,남영동,청파동,원효로제1동,원효로제2동,효창동,용문동,한강로동,이촌제1동,이촌제2동,이태원제1동,이태원제2동,한남동,서빙고동,보광동
2021,6,90,"1,374",107,75,43,90,53,59,50,63,102,223,59,70,66,139,97,78
2021,6,100,91,10,2,9,3,6,3,3,3,8,6,3,7,2,18,3,5
2021,7,총,"225,977","17,054","9,579","7,355","19,568","16,000","13,849","10,157","12,009","21,756","27,308","8,396","6,499","9,070","20,572","13,114","13,691"
2021,7,0,"13,087",914,331,179,667,"1,276",886,755,732,"1,225","2,622",517,226,402,"1,145",772,438
2021,7,10,"15,077","1,194",504,252,"1,111",892,"1,203",722,768,986,"2,843",509,258,470,"1,159","1,457",749
2021,7,20,"33,488","2,496","1,507",935,"4,226","2,484","1,881","1,561","1,791","3,797","2,876",883,"1,087","1,409","2,658","1,758","2,139"
2021,7,30,"38,113","2,780","1,679","1,042","3,177","3,652","2,110","1,865","1,981","4,757","3,451","1,380","1,118","1,649","3,869","1,497","2,106"
2021,7,40,"34,558","2,659","1,302","1,045","2,645","2,618","2,203","1,543","1,771","2,864","4,729","1,229",839,"1,401","3,327","2,390","1,993"
2021,7,50,"36,430","2,769","1,403","1,581","3,085","2,208","2,274","1,596","1,974","3,426","4,551","1,347","1,041","1,264","3,205","2,266","2,440"
2021,7,60,"28,973","2,242","1,421","1,359","2,433","1,652","1,737","1,072","1,552","2,607","3,064","1,373",999,"1,180","2,789","1,490","2,003"
2021,7,70,"16,299","1,286",906,635,"1,452",802,977,650,967,"1,317","1,735",732,533,801,"1,546",777,"1,183"
2021,7,80,"8,483",600,447,274,679,357,515,339,408,664,"1,208",362,320,426,718,608,558
2021,7,90,"1,380",104,77,44,90,53,60,51,62,106,223,62,71,66,138,96,77
2021,7,100,89,10,2,9,3,6,3,3,3,7,6,2,7,2,18,3,5
2021,8,총,"224,977","16,985","9,564","7,324","19,597","15,979","13,827","10,119","11,959","21,721","26,763","8,393","6,483","9,068","20,541","13,072","13,582"
2021,8,0,"12,951",898,327,181,663,"1,270",881,746,715,"1,227","2,560",527,227,402,"1,135",763,429
2021,8,10,"14,952","1,187",495,255,"1,104",899,"1,199",698,759,979,"2,807",503,257,470,"1,151","1,443",746
2021,8,20,"33,358","2,473","1,497",924,"4,263","2,504","1,866","1,548","1,789","3,780","2,812",879,"1,079","1,405","2,670","1,752","2,117"
2021,8,30,"37,874","2,770","1,691","1,025","3,166","3,610","2,103","1,868","1,978","4,742","3,372","1,375","1,110","1,655","3,835","1,489","2,085"
2021,8,40,"34,343","2,647","1,307","1,038","2,643","2,618","2,202","1,540","1,748","2,858","4,621","1,225",850,"1,385","3,322","2,363","1,976"
2021,8,50,"36,306","2,757","1,395","1,581","3,073","2,208","2,262","1,598","1,980","3,435","4,468","1,348","1,032","1,270","3,206","2,275","2,418"
2021,8,60,"29,023","2,252","1,426","1,355","2,453","1,657","1,758","1,081","1,560","2,618","3,002","1,369",998,"1,188","2,798","1,506","2,002"
2021,8,70,"16,211","1,285",899,636,"1,459",807,974,649,962,"1,302","1,685",734,526,800,"1,545",771,"1,177"
2021,8,80,"8,485",603,447,275,678,350,520,337,403,667,"1,205",365,325,425,721,610,554
2021,8,90,"1,379",102,77,43,92,50,59,49,62,106,225,66,72,65,141,97,73
2021,8,100,95,11,3,11,3,6,3,5,3,7,6,2,7,3,17,3,5
2021,9,총,"224,145","16,929","9,500","7,347","19,557","15,939","13,803","10,094","11,922","21,767","26,286","8,371","6,452","9,049","20,490","13,080","13,559"
2021,9,0,"12,878",884,321,185,650,"1,265",873,742,710,"1,242","2,542",525,221,399,"1,135",766,418
2021,9,10,"14,874","1,177",491,258,"1,097",901,"1,182",700,737,985,"2,764",504,260,468,"1,144","1,453",753
2021,9,20,"33,143","2,460","1,482",931,"4,250","2,489","1,869","1,541","1,789","3,742","2,743",870,"1,080","1,403","2,655","1,734","2,105"
2021,9,30,"37,774","2,774","1,679","1,032","3,189","3,601","2,104","1,859","1,977","4,763","3,292","1,369","1,100","1,650","3,816","1,485","2,084"
2021,9,40,"34,099","2,631","1,297","1,027","2,617","2,607","2,188","1,534","1,728","2,868","4,539","1,223",837,"1,373","3,301","2,367","1,962"
2021,9,50,"36,268","2,750","1,390","1,586","3,082","2,197","2,261","1,590","1,985","3,453","4,407","1,352","1,034","1,279","3,208","2,279","2,415"
2021,9,60,"29,002","2,251","1,417","1,366","2,449","1,671","1,771","1,087","1,558","2,632","2,918","1,369","1,000","1,186","2,798","1,510","2,019"
2021,9,70,"16,139","1,283",893,630,"1,446",801,966,650,965,"1,299","1,668",731,521,798,"1,544",773,"1,171"
2021,9,80,"8,491",605,449,278,682,351,522,336,407,670,"1,185",363,320,425,730,614,554
2021,9,90,"1,382",103,78,43,91,51,64,50,63,106,221,63,73,65,142,96,73
2021,9,100,95,11,3,11,4,5,3,5,3,7,7,2,6,3,17,3,5
2021,10,총,"223,713","16,924","9,478","7,334","19,541","15,986","13,780","10,071","11,916","21,746","26,077","8,341","6,433","9,033","20,454","13,049","13,550"
2021,10,0,"12,800",891,322,179,645,"1,271",860,735,714,"1,242","2,509",516,218,394,"1,130",752,422
2021,10,10,"14,803","1,177",491,257,"1,067",911,"1,174",696,733,980,"2,744",507,262,465,"1,145","1,436",758
2021,10,20,"32,985","2,431","1,469",929,"4,254","2,477","1,861","1,547","1,778","3,708","2,722",857,"1,066","1,393","2,644","1,740","2,109"
2021,10,30,"37,773","2,799","1,677","1,027","3,212","3,624","2,106","1,840","1,975","4,782","3,252","1,367","1,098","1,660","3,817","1,466","2,071"
2021,10,40,"33,935","2,610","1,303","1,022","2,598","2,599","2,182","1,537","1,724","2,864","4,496","1,224",833,"1,365","3,280","2,350","1,948"
2021,10,50,"36,239","2,745","1,389","1,583","3,070","2,209","2,269","1,585","1,994","3,439","4,382","1,345","1,029","1,274","3,204","2,294","2,428"
2021,10,60,"29,101","2,270","1,412","1,375","2,474","1,681","1,767","1,090","1,560","2,654","2,908","1,368","1,010","1,187","2,806","1,523","2,016"
2021,10,70,"16,078","1,281",887,626,"1,434",805,969,647,967,"1,295","1,653",730,517,799,"1,530",774,"1,164"
2021,10,80,"8,511",602,451,283,691,353,524,339,409,664,"1,173",366,322,425,740,615,554
2021,10,90,"1,399",107,75,42,93,51,66,50,59,112,228,60,73,68,142,97,76
2021,10,100,89,11,2,11,3,5,2,5,3,6,10,1,5,3,16,2,4
2021,11,총,"223,442","16,865","9,482","7,357","19,519","15,971","13,769","10,071","11,900","21,791","25,976","8,339","6,429","9,018","20,422","13,027","13,506"
2021,11,0,"12,737",880,318,177,631,"1,261",847,739,717,"1,236","2,487",519,218,399,"1,127",760,421
2021,11,10,"14,737","1,178",491,254,"1,052",909,"1,173",699,721,989,"2,729",503,265,466,"1,140","1,425",743
2021,11,20,"32,880","2,395","1,472",946,"4,246","2,451","1,857","1,536","1,771","3,734","2,707",853,"1,059","1,390","2,614","1,741","2,108"
2021,11,30,"37,791","2,788","1,683","1,020","3,225","3,631","2,124","1,842","1,981","4,791","3,227","1,375","1,103","1,651","3,824","1,468","2,058"
2021,11,40,"33,840","2,600","1,304","1,035","2,592","2,588","2,167","1,534","1,721","2,873","4,472","1,222",831,"1,364","3,272","2,338","1,927"
2021,11,50,"36,206","2,728","1,396","1,587","3,065","2,227","2,264","1,589","1,985","3,434","4,372","1,339","1,030","1,269","3,187","2,293","2,441"
2021,11,60,"29,160","2,283","1,410","1,385","2,477","1,678","1,776","1,095","1,568","2,651","2,907","1,377","1,003","1,190","2,831","1,519","2,010"
2021,11,70,"16,040","1,282",883,620,"1,434",813,974,642,963,"1,295","1,656",719,520,787,"1,522",772,"1,158"
2021,11,80,"8,562",616,448,284,700,355,518,342,413,670,"1,178",365,322,433,746,616,556
2021,11,90,"1,413",105,75,44,94,55,67,49,57,112,232,66,73,66,144,93,81
2021,11,100,76,10,2,5,3,3,2,4,3,6,9,1,5,3,15,2,3
2021,12,총,"222,953","16,833","9,456","7,351","19,471","15,950","13,751","10,037","11,863","21,763","25,893","8,303","6,392","8,997","20,389","13,051","13,453"
2021,12,0,"12,653",874,319,172,626,"1,252",833,748,708,"1,229","2,492",515,219,395,"1,122",737,412
2021,12,10,"14,692","1,178",487,260,"1,047",902,"1,167",695,719,"1,000","2,708",498,263,465,"1,138","1,434",731
2021,12,20,"32,778","2,390","1,466",942,"4,218","2,445","1,881","1,523","1,766","3,723","2,692",844,"1,049","1,375","2,610","1,759","2,095"
2021,12,30,"37,719","2,793","1,686","1,019","3,231","3,633","2,112","1,831","1,953","4,792","3,217","1,370","1,102","1,649","3,822","1,456","2,053"
2021,12,40,"33,781","2,584","1,291","1,034","2,577","2,574","2,164","1,538","1,716","2,880","4,464","1,219",827,"1,358","3,262","2,349","1,944"
2021,12,50,"36,122","2,735","1,386","1,593","3,073","2,224","2,253","1,574","1,989","3,426","4,353","1,329","1,018","1,273","3,181","2,302","2,413"
2021,12,60,"29,169","2,274","1,414","1,381","2,476","1,686","1,780","1,094","1,573","2,637","2,908","1,374","1,004","1,194","2,830","1,527","2,017"
2021,12,70,"15,960","1,270",876,619,"1,425",822,973,638,959,"1,287","1,640",719,521,781,"1,509",777,"1,144"
2021,12,80,"8,591",624,454,283,702,351,520,344,420,672,"1,168",369,317,439,757,612,559
2021,12,90,"1,417",101,76,42,92,58,66,49,57,111,242,65,72,66,142,96,82
2021,12,100,71,10,1,6,4,3,2,3,3,6,9,1,0,2,16,2,3
