년도,월,나이,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021,6,80,"6,022",643,232,490,704,405,406,342,794,"1,210",152,644
2021,6,90,689,87,21,62,64,55,29,51,89,144,22,65
2021,6,100,53,4,1,3,2,20,1,1,3,8,2,8
2021,7,총,"111,580","10,816","3,991","8,436","8,510","6,849","7,610","6,235","17,787","27,816","3,452","10,078"
2021,7,0,"4,995",378,153,347,211,325,482,314,952,"1,383",171,279
2021,7,10,"7,190",511,233,530,442,394,491,423,"1,365","2,102",175,524
2021,7,20,"11,733","1,083",410,877,753,688,735,547,"1,850","3,366",561,863
2021,7,30,"10,356","1,032",351,796,595,658,807,572,"1,727","2,711",321,786
2021,7,40,"14,841","1,394",519,"1,041","1,023",930,"1,094",893,"2,522","3,801",445,"1,179"
2021,7,50,"18,803","1,869",660,"1,422","1,508","1,076","1,228",998,"3,048","4,792",460,"1,742"
2021,7,60,"22,388","2,278",868,"1,669","1,799","1,444","1,324","1,221","3,421","5,292",668,"2,404"
2021,7,70,"14,478","1,535",543,"1,192","1,414",856,"1,002",879,"2,014","2,997",471,"1,575"
2021,7,80,"6,051",646,230,496,699,402,415,337,796,"1,225",156,649
2021,7,90,692,88,23,63,64,55,31,50,89,139,22,68
2021,7,100,53,2,1,3,2,21,1,1,3,8,2,9
2021,8,총,"111,386","10,820","3,976","8,401","8,477","6,841","7,692","6,229","17,773","27,691","3,427","10,059"
2021,8,0,"4,969",382,154,343,212,320,490,319,940,"1,364",167,278
2021,8,10,"7,162",515,223,526,439,392,504,422,"1,366","2,077",175,523
2021,8,20,"11,648","1,066",406,863,750,679,737,546,"1,839","3,351",557,854
2021,8,30,"10,340","1,024",353,798,594,660,820,567,"1,727","2,686",322,789
2021,8,40,"14,785","1,398",514,"1,031","1,011",922,"1,119",893,"2,518","3,766",441,"1,172"
2021,8,50,"18,733","1,849",659,"1,424","1,498","1,087","1,229","1,003","3,038","4,764",453,"1,729"
2021,8,60,"22,391","2,294",865,"1,658","1,794","1,440","1,332","1,217","3,408","5,314",660,"2,409"
2021,8,70,"14,518","1,547",549,"1,193","1,412",859,"1,009",875,"2,041","2,990",472,"1,571"
2021,8,80,"6,084",651,229,501,698,406,417,336,804,"1,228",156,658
2021,8,90,703,92,23,62,67,55,34,50,89,143,22,66
2021,8,100,53,2,1,2,2,21,1,1,3,8,2,10
2021,9,총,"111,210","10,823","3,979","8,386","8,437","6,803","7,772","6,197","17,737","27,627","3,414","10,035"
2021,9,0,"4,963",380,155,347,213,315,494,320,925,"1,372",165,277
2021,9,10,"7,112",502,224,525,439,382,509,412,"1,370","2,062",174,513
2021,9,20,"11,634","1,073",415,863,741,678,753,540,"1,831","3,335",558,847
2021,9,30,"10,327","1,027",341,801,586,657,841,565,"1,720","2,677",316,796
2021,9,40,"14,700","1,381",508,"1,027","1,001",909,"1,129",888,"2,507","3,755",438,"1,157"
2021,9,50,"18,704","1,856",668,"1,408","1,493","1,081","1,241",999,"3,037","4,754",450,"1,717"
2021,9,60,"22,393","2,298",867,"1,656","1,791","1,440","1,338","1,218","3,396","5,299",664,"2,426"
2021,9,70,"14,505","1,554",546,"1,190","1,403",863,"1,017",862,"2,048","2,990",470,"1,562"
2021,9,80,"6,121",657,232,507,700,404,416,341,813,"1,232",155,664
2021,9,90,697,93,22,60,67,53,33,51,87,143,22,66
2021,9,100,54,2,1,2,3,21,1,1,3,8,2,10
2021,10,총,"111,111","10,847","3,982","8,343","8,405","6,776","7,863","6,173","17,712","27,618","3,392","10,000"
2021,10,0,"4,925",382,153,351,206,313,502,321,912,"1,352",158,275
2021,10,10,"7,103",500,223,520,439,376,516,406,"1,367","2,069",176,511
2021,10,20,"11,613","1,083",418,849,735,671,762,544,"1,821","3,349",548,833
2021,10,30,"10,312","1,029",345,803,576,655,858,566,"1,720","2,651",313,796
2021,10,40,"14,662","1,384",502,"1,007","1,002",903,"1,151",881,"2,510","3,738",439,"1,145"
2021,10,50,"18,718","1,867",670,"1,410","1,487","1,081","1,254",987,"3,030","4,770",446,"1,716"
2021,10,60,"22,352","2,284",877,"1,648","1,785","1,441","1,336","1,220","3,385","5,291",663,"2,422"
2021,10,70,"14,550","1,562",541,"1,187","1,402",872,"1,034",857,"2,054","3,004",471,"1,566"
2021,10,80,"6,147",663,228,504,703,407,415,341,823,"1,245",156,662
2021,10,90,693,92,24,62,67,53,34,49,87,141,20,64
2021,10,100,36,1,1,2,3,4,1,1,3,8,2,10
2021,11,총,"110,901","10,852","3,984","8,321","8,379","6,760","7,897","6,140","17,655","27,586","3,374","9,953"
2021,11,0,"4,893",380,156,352,204,311,498,315,901,"1,350",154,272
2021,11,10,"7,088",508,223,519,433,377,520,402,"1,359","2,060",178,509
2021,11,20,"11,539","1,076",413,846,738,660,756,546,"1,807","3,322",548,827
2021,11,30,"10,326","1,038",346,797,582,658,877,556,"1,721","2,664",287,800
2021,11,40,"14,576","1,364",500,"1,007",992,898,"1,152",879,"2,483","3,728",443,"1,130"
2021,11,50,"18,669","1,869",669,"1,399","1,478","1,069","1,268",981,"3,031","4,746",451,"1,708"
2021,11,60,"22,353","2,287",875,"1,651","1,781","1,450","1,335","1,212","3,381","5,307",662,"2,412"
2021,11,70,"14,544","1,565",542,"1,181","1,393",872,"1,035",860,"2,053","3,007",471,"1,565"
2021,11,80,"6,174",671,233,506,706,407,421,339,827,"1,249",159,656
2021,11,90,704,93,26,61,69,55,34,49,89,145,19,64
2021,11,100,35,1,1,2,3,3,1,1,3,8,2,10
2021,12,총,"110,638","10,846","3,995","8,287","8,321","6,741","7,911","6,113","17,625","27,532","3,354","9,913"
2021,12,0,"4,874",376,157,349,201,309,494,309,909,"1,349",149,272
2021,12,10,"7,042",500,224,513,430,372,521,398,"1,364","2,042",174,504
2021,12,20,"11,465","1,081",415,836,722,661,760,537,"1,792","3,292",548,821
2021,12,30,"10,253","1,028",347,798,573,652,870,554,"1,696","2,653",284,798
2021,12,40,"14,550","1,374",499,995,985,891,"1,160",872,"2,491","3,719",439,"1,125"
2021,12,50,"18,600","1,860",672,"1,394","1,463","1,070","1,258",983,"3,013","4,739",449,"1,699"
2021,12,60,"22,346","2,293",869,"1,648","1,791","1,444","1,348","1,208","3,375","5,311",658,"2,401"
2021,12,70,"14,549","1,561",551,"1,185","1,376",875,"1,041",859,"2,058","3,005",477,"1,561"
2021,12,80,"6,222",677,233,503,709,411,421,344,836,"1,274",157,657
2021,12,90,710,95,27,66,69,53,37,48,88,144,18,65
2021,12,100,27,1,1,0,2,3,1,1,3,4,1,10
