년도,월,나이,유성구,진잠동,온천1동,온천2동,노은1동,노은2동,노은3동,신성동,전민동,구즉동,관평동,원신흥동,학하동,상대동
2020,9,60,"16,408","2,136","2,025","2,227",867,"1,007","1,587",974,"1,259","1,226","1,070","2,030",,
2020,9,70,"6,172",915,771,796,396,469,621,341,342,461,319,741,,
2020,9,80,"2,066",286,287,265,161,183,183,104,130,195,73,199,,
2020,9,90,240,25,45,36,18,18,19,12,27,20,10,10,,
2020,9,100,12,3,3,1,1,1,1,0,2,0,0,0,,
2020,10,총,"177,833","17,931","17,970","20,923","11,027","12,306","18,621","13,673","13,958","14,292","14,861","22,271",,
2020,10,0,"18,222","1,673",795,"1,767","1,184","1,279","2,604","1,601","1,430","1,357","1,678","2,854",,
2020,10,10,"19,846","1,835",769,"1,691","1,567","1,792","2,338","1,537","1,635","1,603","2,375","2,704",,
2020,10,20,"28,382","2,450","4,263","4,916","1,487","1,641","2,023","2,243","2,385","2,356","1,984","2,634",,
2020,10,30,"29,425","2,324","3,877","3,555","1,587","1,577","3,070","2,914","2,428","2,247","2,056","3,790",,
2020,10,40,"29,918","3,097","2,326","2,799","2,083","2,287","3,608","2,132","2,093","2,424","2,907","4,162",,
2020,10,50,"27,004","3,166","2,789","2,855","1,668","2,040","2,556","1,804","2,212","2,391","2,385","3,138",,
2020,10,60,"16,503","2,157","2,038","2,233",865,"1,011","1,593",984,"1,273","1,238","1,077","2,034",,
2020,10,70,"6,210",914,781,805,404,475,629,342,340,459,318,743,,
2020,10,80,"2,073",288,284,266,163,185,182,104,131,198,71,201,,
2020,10,90,238,24,45,35,18,18,17,12,29,19,10,11,,
2020,10,100,12,3,3,1,1,1,1,0,2,0,0,0,,
2020,11,총,"177,584","17,890","17,999","20,886","11,012","12,289","18,622","13,615","13,921","14,289","14,857","22,204",,
2020,11,0,"18,066","1,657",793,"1,763","1,179","1,264","2,583","1,574","1,408","1,339","1,676","2,830",,
2020,11,10,"19,831","1,833",760,"1,678","1,571","1,801","2,350","1,534","1,630","1,596","2,375","2,703",,
2020,11,20,"28,336","2,431","4,259","4,918","1,483","1,641","2,010","2,252","2,393","2,366","1,978","2,605",,
2020,11,30,"29,318","2,322","3,895","3,521","1,578","1,565","3,065","2,876","2,416","2,244","2,063","3,773",,
2020,11,40,"29,828","3,084","2,337","2,811","2,080","2,267","3,610","2,119","2,084","2,417","2,875","4,144",,
2020,11,50,"27,019","3,161","2,787","2,833","1,668","2,042","2,562","1,819","2,207","2,402","2,399","3,139",,
2020,11,60,"16,647","2,178","2,052","2,256",866,"1,021","1,608",989,"1,282","1,251","1,086","2,058",,
2020,11,70,"6,186",904,779,804,404,475,633,332,339,461,320,735,,
2020,11,80,"2,098",294,288,266,164,193,181,108,130,194,74,206,,
2020,11,90,243,23,46,35,18,19,19,12,30,19,11,11,,
