년도,월,나이,옥천군,옥천읍,동이면,안남면,안내면,청성면,청산면,이원면,군서면,군북면
2020,3,50,"9,123","4,962",635,274,334,453,553,825,446,641
2020,3,60,"9,445","4,186",778,344,506,605,784,948,549,745
2020,3,70,"6,211","2,575",490,236,354,450,593,698,371,444
2020,3,80,"3,743","1,239",321,193,257,373,379,457,261,263
2020,3,90,549,175,60,31,48,48,45,66,29,47
2020,3,100,27,7,1,1,5,3,4,3,0,3
2020,4,총,"50,778","29,137","3,235","1,431","1,943","2,345","3,070","4,252","2,300","3,065"
2020,4,0,"2,727","2,221",93,39,31,34,64,110,60,75
2020,4,10,"3,987","3,106",131,68,72,60,138,207,86,119
2020,4,20,"4,464","3,153",234,69,98,87,151,264,181,227
2020,4,30,"4,033","2,894",184,71,69,88,131,274,132,190
2020,4,40,"6,401","4,576",302,104,174,136,236,398,177,298
2020,4,50,"9,084","4,984",627,272,327,453,537,808,440,636
2020,4,60,"9,521","4,192",789,346,509,614,792,967,556,756
2020,4,70,"6,220","2,576",487,239,350,449,595,697,377,450
2020,4,80,"3,761","1,253",328,192,259,372,377,455,261,264
2020,4,90,551,175,59,30,47,49,45,69,30,47
2020,4,100,29,7,1,1,7,3,4,3,0,3
2020,5,총,"50,802","29,139","3,238","1,431","1,950","2,339","3,063","4,267","2,316","3,059"
2020,5,0,"2,718","2,213",94,37,32,34,64,113,60,71
2020,5,10,"3,961","3,085",131,69,73,57,136,207,85,118
2020,5,20,"4,458","3,154",232,69,99,83,147,271,183,220
2020,5,30,"4,032","2,896",181,71,68,86,136,275,133,186
2020,5,40,"6,355","4,542",298,101,171,135,232,399,176,301
2020,5,50,"9,111","5,005",633,272,331,457,537,796,443,637
2020,5,60,"9,564","4,214",791,348,511,613,790,976,567,754
2020,5,70,"6,248","2,596",490,240,349,449,591,701,379,453
2020,5,80,"3,769","1,252",329,192,260,372,381,454,260,269
2020,5,90,557,175,58,31,49,50,45,72,30,47
2020,5,100,29,7,1,1,7,3,4,3,0,3
2020,6,총,"50,802","29,133","3,238","1,429","1,949","2,337","3,056","4,271","2,336","3,053"
2020,6,0,"2,704","2,199",97,34,32,31,63,115,64,69
2020,6,10,"3,945","3,072",130,71,74,54,136,207,85,116
2020,6,20,"4,475","3,165",232,68,101,86,147,274,185,217
2020,6,30,"4,012","2,888",179,68,69,83,133,276,133,183
2020,6,40,"6,348","4,533",297,102,171,135,229,403,180,298
2020,6,50,"9,101","4,999",632,274,334,456,533,790,445,638
2020,6,60,"9,633","4,243",794,352,510,622,794,981,573,764
2020,6,70,"6,230","2,600",488,240,342,446,593,694,378,449
2020,6,80,"3,766","1,252",329,188,261,370,379,455,263,269
2020,6,90,559,175,59,31,48,51,45,73,30,47
2020,6,100,29,7,1,1,7,3,4,3,0,3
2020,7,총,"50,768","29,114","3,225","1,432","1,955","2,337","3,041","4,277","2,318","3,069"
2020,7,0,"2,692","2,187",97,36,32,31,62,115,61,71
2020,7,10,"3,944","3,071",126,70,77,54,135,208,86,117
2020,7,20,"4,455","3,156",229,67,101,88,147,272,180,215
2020,7,30,"3,987","2,857",176,72,72,82,130,279,131,188
2020,7,40,"6,336","4,523",297,102,169,136,228,402,176,303
2020,7,50,"9,118","5,019",629,274,335,457,533,792,443,636
2020,7,60,"9,641","4,248",794,356,514,626,790,978,566,769
2020,7,70,"6,254","2,614",489,240,341,438,593,702,383,454
2020,7,80,"3,752","1,255",329,181,262,369,375,452,262,267
2020,7,90,561,178,58,33,45,53,44,74,30,46
2020,7,100,28,6,1,1,7,3,4,3,0,3
2020,8,총,"50,792","29,152","3,232","1,428","1,948","2,349","3,035","4,291","2,304","3,053"
2020,8,0,"2,684","2,186",95,36,33,30,60,115,62,67
2020,8,10,"3,935","3,068",125,69,72,57,138,208,80,118
2020,8,20,"4,445","3,160",226,66,100,87,142,277,178,209
2020,8,30,"3,980","2,846",181,72,72,82,125,282,134,186
2020,8,40,"6,336","4,527",294,99,169,136,231,402,173,305
2020,8,50,"9,103","5,033",625,274,333,455,528,792,431,632
2020,8,60,"9,679","4,259",805,355,511,638,792,980,571,768
2020,8,70,"6,297","2,632",491,243,346,437,596,711,384,457
2020,8,80,"3,730","1,252",330,181,260,369,374,443,260,261
2020,8,90,574,183,59,33,44,55,44,78,31,47
2020,8,100,29,6,1,0,8,3,5,3,0,3
2020,9,총,"50,745","29,144","3,225","1,418","1,946","2,341","3,037","4,275","2,302","3,057"
2020,9,0,"2,676","2,168",98,37,37,29,58,113,64,72
2020,9,10,"3,921","3,062",125,68,72,57,138,202,77,120
2020,9,20,"4,417","3,158",221,63,96,88,135,278,175,203
2020,9,30,"3,979","2,841",181,73,76,82,128,275,134,189
2020,9,40,"6,315","4,522",290,100,168,131,229,397,174,304
2020,9,50,"9,063","5,031",629,272,322,456,522,783,431,617
2020,9,60,"9,730","4,277",809,351,515,641,802,985,569,781
2020,9,70,"6,301","2,635",483,246,344,432,594,719,388,460
2020,9,80,"3,732","1,255",330,175,264,368,379,441,258,262
2020,9,90,582,189,58,33,44,54,47,79,32,46
2020,9,100,29,6,1,0,8,3,5,3,0,3
2020,10,총,"50,696","29,115","3,211","1,423","1,947","2,345","3,035","4,271","2,297","3,052"
2020,10,0,"2,651","2,158",94,40,37,28,57,109,59,69
2020,10,10,"3,922","3,066",124,67,72,57,140,206,76,114
2020,10,20,"4,411","3,146",222,64,94,90,136,276,176,207
2020,10,30,"3,928","2,802",181,76,76,84,127,268,129,185
2020,10,40,"6,298","4,518",282,101,167,128,222,401,176,303
2020,10,50,"9,045","5,028",622,273,322,457,520,783,432,608
2020,10,60,"9,749","4,289",814,349,511,642,809,985,563,787
2020,10,70,"6,341","2,657",482,246,353,435,594,721,394,459
2020,10,80,"3,742","1,258",331,173,263,368,379,441,259,270
2020,10,90,581,187,58,34,44,53,47,78,33,47
2020,10,100,28,6,1,0,8,3,4,3,0,3
2020,11,총,"50,619","29,053","3,215","1,422","1,951","2,352","3,043","4,257","2,282","3,044"
2020,11,0,"2,618","2,134",87,40,38,29,57,107,57,69
2020,11,10,"3,910","3,053",128,66,71,57,140,202,76,117
2020,11,20,"4,402","3,144",221,64,96,88,139,278,168,204
2020,11,30,"3,886","2,773",178,74,78,88,123,264,128,180
2020,11,40,"6,281","4,514",282,100,163,126,223,397,174,302
2020,11,50,"9,006","5,008",619,275,322,457,521,781,424,599
2020,11,60,"9,807","4,313",827,352,515,645,813,983,569,790
2020,11,70,"6,360","2,664",480,245,352,440,596,727,393,463
2020,11,80,"3,742","1,256",333,172,264,366,382,439,260,270
2020,11,90,581,189,59,34,44,53,45,77,33,47
2020,11,100,26,5,1,0,8,3,4,2,0,3
2020,12,총,"50,527","28,977","3,220","1,418","1,941","2,347","3,036","4,253","2,290","3,045"
2020,12,0,"2,590","2,114",84,39,37,29,55,106,58,68
2020,12,10,"3,884","3,036",130,67,73,57,139,191,76,115
2020,12,20,"4,412","3,144",222,62,98,84,141,279,175,207
2020,12,30,"3,877","2,763",178,75,82,86,122,262,130,179
2020,12,40,"6,253","4,484",289,99,161,126,220,396,173,305
2020,12,50,"8,962","4,980",616,274,321,453,518,779,422,599
2020,12,60,"9,855","4,341",832,353,510,652,813,994,571,789
2020,12,70,"6,358","2,665",481,245,347,434,595,730,394,467
2020,12,80,"3,740","1,261",331,169,263,370,384,437,259,266
2020,12,90,569,183,56,35,41,53,45,77,32,47
2020,12,100,27,6,1,0,8,3,4,2,0,3
2021,1,총,"50,468","28,971","3,224","1,418","1,931","2,338","3,031","4,238","2,280","3,037"
2021,1,0,"2,564","2,101",82,37,32,26,52,107,58,69
2021,1,10,"3,887","3,040",130,68,76,57,141,186,76,113
2021,1,20,"4,348","3,112",221,60,95,84,139,271,165,201
2021,1,30,"3,866","2,759",179,76,79,81,122,264,126,180
2021,1,40,"6,213","4,458",287,100,159,126,220,389,174,300
2021,1,50,"8,940","4,987",618,271,319,450,513,770,415,597
2021,1,60,"9,933","4,380",837,352,515,653,820,"1,004",580,792
2021,1,70,"6,359","2,675",479,249,344,430,593,725,395,469
2021,1,80,"3,757","1,267",335,170,264,373,380,443,258,267
2021,1,90,574,186,55,35,40,54,48,77,33,46
2021,1,100,27,6,1,0,8,4,3,2,0,3
2021,2,총,"50,474","29,063","3,216","1,415","1,927","2,341","3,025","4,220","2,263","3,004"
2021,2,0,"2,568","2,105",85,37,34,26,51,106,58,66
2021,2,10,"3,859","3,022",126,68,77,57,139,183,76,111
2021,2,20,"4,327","3,122",215,58,91,83,140,264,162,192
2021,2,30,"3,843","2,761",182,72,76,81,118,257,123,173
2021,2,40,"6,218","4,489",281,100,159,129,216,383,168,293
2021,2,50,"8,903","4,977",616,265,313,446,512,772,408,594
2021,2,60,"10,018","4,434",845,358,521,654,822,"1,007",581,796
2021,2,70,"6,337","2,669",475,247,344,431,589,726,392,464
2021,2,80,"3,785","1,289",335,174,264,373,385,441,260,264
2021,2,90,589,189,55,36,40,57,50,79,35,48
2021,2,100,27,6,1,0,8,4,3,2,0,3
2021,3,총,"50,337","29,020","3,212","1,409","1,910","2,351","2,998","4,181","2,253","3,003"
2021,3,0,"2,550","2,086",89,38,37,25,50,106,55,64
2021,3,10,"3,847","3,010",125,66,77,61,138,182,75,113
2021,3,20,"4,308","3,133",209,58,86,82,137,258,155,190
2021,3,30,"3,842","2,762",182,68,78,86,113,253,124,176
2021,3,40,"6,169","4,470",282,98,153,126,213,373,168,286
2021,3,50,"8,821","4,942",608,262,306,450,496,760,402,595
2021,3,60,"10,091","4,467",851,359,522,659,828,"1,014",584,807
2021,3,70,"6,322","2,662",476,249,345,431,590,721,391,457
2021,3,80,"3,782","1,295",335,175,261,368,381,437,261,269
2021,3,90,588,191,52,36,40,59,51,77,38,44
2021,3,100,17,2,3,0,5,4,1,0,0,2
2021,4,총,"50,341","29,050","3,200","1,412","1,914","2,360","2,994","4,161","2,245","3,005"
2021,4,0,"2,549","2,088",85,39,37,28,49,104,55,64
2021,4,10,"3,833","3,008",125,66,70,61,140,177,75,111
2021,4,20,"4,286","3,115",210,58,87,81,134,258,150,193
2021,4,30,"3,823","2,757",177,65,81,83,116,249,124,171
2021,4,40,"6,162","4,490",275,99,145,129,204,364,166,290
2021,4,50,"8,789","4,927",603,265,316,444,492,751,398,593
2021,4,60,"10,163","4,490",860,361,527,672,832,"1,025",585,811
2021,4,70,"6,320","2,674",478,249,341,425,589,719,392,453
2021,4,80,"3,805","1,305",331,173,265,375,386,438,260,272
2021,4,90,596,194,54,37,40,59,51,76,40,45
2021,4,100,15,2,2,0,5,3,1,0,0,2
2021,5,총,"50,320","29,052","3,214","1,408","1,912","2,357","2,993","4,153","2,239","2,992"
2021,5,0,"2,531","2,077",88,38,36,28,47,102,53,62
2021,5,10,"3,800","2,983",124,65,67,57,143,175,78,108
2021,5,20,"4,276","3,117",209,58,89,83,132,255,147,186
2021,5,30,"3,815","2,758",175,63,78,82,115,247,123,174
2021,5,40,"6,105","4,448",271,99,146,127,202,363,163,286
2021,5,50,"8,801","4,951",613,260,314,435,491,745,398,594
2021,5,60,"10,230","4,522",861,368,532,681,833,"1,036",582,815
2021,5,70,"6,328","2,692",479,245,342,420,591,717,390,452
2021,5,80,"3,811","1,306",334,177,263,379,384,438,263,267
2021,5,90,608,195,58,35,41,62,54,75,42,46
2021,5,100,15,3,2,0,4,3,1,0,0,2
2021,6,총,"50,282","29,051","3,214","1,402","1,910","2,358","2,989","4,148","2,226","2,984"
2021,6,0,"2,521","2,067",88,38,37,32,47,99,51,62
2021,6,10,"3,797","2,984",125,63,64,59,141,175,78,108
2021,6,20,"4,254","3,109",206,55,88,82,132,257,141,184
2021,6,30,"3,785","2,742",171,64,78,80,114,245,121,170
2021,6,40,"6,114","4,466",277,97,143,125,202,362,163,279
2021,6,50,"8,757","4,921",603,262,318,436,489,735,397,596
2021,6,60,"10,314","4,565",871,368,537,688,836,"1,047",586,816
2021,6,70,"6,305","2,689",478,243,339,415,590,715,387,449
2021,6,80,"3,810","1,306",335,176,260,379,385,440,259,270
2021,6,90,611,199,59,36,42,59,52,73,43,48
2021,6,100,14,3,1,0,4,3,1,0,0,2
2021,7,총,"50,312","29,077","3,223","1,399","1,905","2,367","2,984","4,148","2,221","2,988"
2021,7,0,"2,491","2,040",90,37,37,34,46,98,51,58
2021,7,10,"3,808","2,998",125,61,63,61,144,173,74,109
2021,7,20,"4,213","3,086",206,55,84,80,126,257,137,182
2021,7,30,"3,781","2,738",171,67,78,78,113,245,121,170
2021,7,40,"6,123","4,467",283,96,142,128,204,360,164,279
2021,7,50,"8,764","4,951",602,253,319,432,479,735,399,594
2021,7,60,"10,350","4,577",874,373,537,696,838,"1,044",586,825
2021,7,70,"6,328","2,705",477,242,340,417,595,714,386,452
2021,7,80,"3,828","1,313",335,176,261,378,387,448,258,272
2021,7,90,613,199,59,39,41,60,51,74,45,45
2021,7,100,13,3,1,0,3,3,1,0,0,2
2021,8,총,"50,287","29,101","3,218","1,402","1,908","2,377","2,976","4,115","2,209","2,981"
2021,8,0,"2,473","2,029",86,38,39,36,45,93,48,59
2021,8,10,"3,800","2,995",124,64,65,63,145,166,71,107
2021,8,20,"4,216","3,101",202,53,85,80,128,255,135,177
2021,8,30,"3,753","2,727",172,66,74,77,109,238,118,172
2021,8,40,"6,104","4,465",283,94,142,129,205,352,162,272
2021,8,50,"8,763","4,953",598,252,318,433,477,738,399,595
2021,8,60,"10,367","4,588",873,374,538,700,835,"1,045",585,829
2021,8,70,"6,342","2,728",482,245,341,420,587,710,382,447
2021,8,80,"3,846","1,313",337,178,263,376,393,445,265,276
2021,8,90,610,199,60,38,40,60,51,73,44,45
2021,8,100,13,3,1,0,3,3,1,0,0,2
2021,9,총,"50,215","29,083","3,216","1,400","1,900","2,370","2,964","4,097","2,199","2,986"
2021,9,0,"2,457","2,018",86,39,37,36,46,89,46,60
2021,9,10,"3,781","2,988",118,64,64,63,143,168,70,103
2021,9,20,"4,172","3,087",201,52,85,77,120,242,129,179
2021,9,30,"3,732","2,709",175,67,73,75,105,239,117,172
2021,9,40,"6,096","4,468",272,93,142,130,205,354,165,267
2021,9,50,"8,770","4,963",612,248,318,425,477,731,399,597
2021,9,60,"10,387","4,608",870,374,538,702,830,"1,045",585,835
2021,9,70,"6,339","2,720",485,248,340,423,589,702,383,449
2021,9,80,"3,851","1,320",334,176,262,375,396,451,262,275
2021,9,90,618,199,62,39,39,61,52,76,43,47
2021,9,100,12,3,1,0,2,3,1,0,0,2
2021,10,총,"50,194","29,069","3,228","1,399","1,904","2,369","2,971","4,081","2,195","2,978"
2021,10,0,"2,443","2,006",89,37,38,36,45,86,46,60
2021,10,10,"3,770","2,977",116,66,66,63,143,168,70,101
2021,10,20,"4,149","3,077",202,51,83,78,119,239,123,177
2021,10,30,"3,728","2,712",172,67,72,75,106,237,118,169
2021,10,40,"6,054","4,446",273,92,141,128,205,347,160,262
2021,10,50,"8,804","4,993",608,250,318,433,479,726,395,602
2021,10,60,"10,406","4,609",879,372,540,698,840,"1,046",585,837
2021,10,70,"6,356","2,730",490,250,340,425,580,701,390,450
2021,10,80,"3,853","1,319",337,174,265,370,401,451,265,271
2021,10,90,618,197,61,40,39,59,52,80,43,47
2021,10,100,13,3,1,0,2,4,1,0,0,2
2021,11,총,"50,184","29,098","3,224","1,400","1,906","2,359","2,962","4,068","2,181","2,986"
2021,11,0,"2,427","2,001",88,38,37,35,43,84,42,59
2021,11,10,"3,768","2,981",118,66,64,63,141,163,70,102
2021,11,20,"4,139","3,070",202,49,87,76,116,237,125,177
2021,11,30,"3,718","2,704",170,66,73,76,108,232,118,171
2021,11,40,"6,023","4,419",273,92,144,127,207,349,153,259
2021,11,50,"8,828","5,026",611,252,313,424,471,725,398,608
2021,11,60,"10,450","4,638",881,372,543,698,844,"1,048",584,842
2021,11,70,"6,365","2,739",489,251,340,426,580,702,388,450
2021,11,80,"3,840","1,318",332,174,267,372,398,448,263,268
2021,11,90,613,199,59,40,36,59,52,80,40,48
2021,11,100,13,3,1,0,2,3,2,0,0,2
2021,12,총,"50,093","29,064","3,213","1,397","1,906","2,353","2,968","4,048","2,183","2,961"
2021,12,0,"2,397","1,987",80,39,36,36,40,81,40,58
2021,12,10,"3,763","2,979",117,66,63,60,139,164,72,103
2021,12,20,"4,111","3,046",204,48,86,79,118,234,123,173
2021,12,30,"3,681","2,684",167,66,70,78,100,228,118,170
2021,12,40,"6,025","4,425",274,91,148,128,211,343,157,248
2021,12,50,"8,818","5,037",610,252,312,419,467,730,393,598
2021,12,60,"10,447","4,635",874,370,545,691,853,"1,041",592,846
2021,12,70,"6,362","2,739",495,251,338,429,580,699,383,448
2021,12,80,"3,865","1,328",330,174,271,371,406,449,266,270
2021,12,90,611,201,61,40,36,59,52,79,38,45
2021,12,100,13,3,1,0,1,3,2,0,1,2
