년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,8,총,"55,079","2,896","2,133","1,460","1,037","1,405",918,914,"1,063","1,320","1,753","1,411",854,"1,165",618,"1,079","8,707","1,523","10,688","1,801","5,273","3,016","2,169","1,876"
2020,8,0,"3,214",131,95,30,24,36,21,25,17,38,34,27,30,53,18,32,726,84,848,87,465,224,101,68
2020,8,10,"4,587",158,127,78,34,60,40,49,43,65,74,31,32,60,21,51,955,140,"1,349",130,567,254,166,103
2020,8,20,"4,815",175,175,79,47,46,46,66,44,71,111,62,39,63,33,56,992,166,"1,184",158,552,287,186,177
2020,8,30,"4,264",172,141,62,47,78,34,36,42,63,52,62,38,39,15,40,930,117,"1,006",129,590,306,145,120
2020,8,40,"7,133",291,214,102,68,79,54,68,63,97,132,85,54,108,33,85,"1,567",224,"1,839",177,911,433,258,191
2020,8,50,"8,633",431,391,235,150,190,116,163,136,185,257,189,129,153,111,143,"1,415",252,"1,669",299,858,489,374,298
2020,8,60,"8,346",518,352,256,198,293,185,165,198,248,364,339,158,215,119,203,970,186,"1,285",331,620,447,385,311
2020,8,70,"7,607",558,317,302,228,320,208,166,248,278,352,300,188,256,152,245,695,199,888,299,434,366,297,311
2020,8,80,"5,496",406,271,267,210,261,172,148,235,241,337,269,153,189,95,196,385,137,516,137,237,167,223,244
2020,8,90,897,48,46,49,30,39,40,27,36,31,39,43,32,26,20,27,61,16,93,41,33,41,31,48
2020,8,100,87,8,4,0,1,3,2,1,1,3,1,4,1,3,1,1,11,2,11,13,6,2,3,5
2020,9,총,"54,966","2,872","2,134","1,454","1,038","1,400",911,912,"1,064","1,310","1,750","1,409",854,"1,156",615,"1,074","8,686","1,535","10,679","1,800","5,261","3,019","2,158","1,875"
2020,9,0,"3,197",131,95,30,25,36,20,24,19,35,33,27,29,52,19,32,720,88,838,88,469,223,96,68
2020,9,10,"4,563",154,128,78,33,57,39,47,41,67,76,28,34,57,21,51,949,141,"1,355",128,561,255,160,103
2020,9,20,"4,787",172,175,76,48,48,46,63,44,71,106,61,39,64,29,54,996,164,"1,183",152,546,287,191,172
2020,9,30,"4,228",167,143,65,47,78,33,35,43,62,51,61,39,39,16,38,917,119,994,133,578,306,144,120
2020,9,40,"7,114",287,212,99,66,79,53,68,57,96,135,82,52,106,33,84,"1,564",227,"1,836",177,913,434,258,196
2020,9,50,"8,605",426,383,235,149,191,116,163,141,181,255,188,129,152,112,141,"1,409",252,"1,673",292,864,488,371,294
2020,9,60,"8,390",514,360,257,199,291,182,169,199,248,363,343,156,215,119,205,984,191,"1,295",334,616,450,385,315
2020,9,70,"7,597",556,315,299,225,317,210,165,248,277,352,303,189,253,151,245,690,199,889,300,442,366,296,310
2020,9,80,"5,485",404,272,265,212,262,171,150,234,239,335,269,153,188,94,194,388,134,513,142,231,167,224,244
2020,9,90,910,53,46,50,32,38,39,27,37,31,43,43,33,27,20,29,57,18,92,41,35,41,30,48
2020,9,100,90,8,5,0,2,3,2,1,1,3,1,4,1,3,1,1,12,2,11,13,6,2,3,5
2020,10,총,"54,901","2,868","2,133","1,446","1,038","1,399",915,911,"1,062","1,300","1,752","1,407",847,"1,145",612,"1,078","8,693","1,544","10,665","1,787","5,263","3,021","2,147","1,868"
2020,10,0,"3,158",131,92,29,24,37,20,22,19,35,33,29,28,50,17,32,713,87,830,83,467,221,92,67
2020,10,10,"4,555",151,126,74,32,57,38,47,41,64,76,28,33,53,22,52,950,142,"1,359",130,564,257,155,104
2020,10,20,"4,800",179,176,77,50,48,47,64,45,69,109,61,39,65,30,54,997,167,"1,180",148,544,289,193,169
2020,10,30,"4,177",167,141,62,48,78,33,33,42,60,55,62,37,40,16,39,913,119,972,130,566,306,139,119
2020,10,40,"7,100",282,208,98,66,76,54,69,57,91,139,79,52,101,32,85,"1,568",229,"1,828",179,923,436,257,191
2020,10,50,"8,573",422,383,232,147,193,111,161,139,183,248,183,126,153,113,139,"1,409",252,"1,683",289,856,482,377,292
2020,10,60,"8,434",512,363,262,199,292,187,172,199,248,361,343,155,214,119,209,"1,000",192,"1,294",336,626,450,382,319
2020,10,70,"7,614",559,322,297,226,314,212,165,244,278,356,304,188,252,149,245,681,200,897,300,448,369,298,310
2020,10,80,"5,490",405,273,266,213,259,171,151,238,237,331,270,155,187,94,194,391,136,514,139,230,167,223,246
2020,10,90,909,52,44,49,31,42,40,26,37,32,43,44,33,27,19,29,58,18,97,40,33,42,27,46
2020,10,100,91,8,5,0,2,3,2,1,1,3,1,4,1,3,1,0,13,2,11,13,6,2,4,5
2020,11,총,"54,809","2,854","2,127","1,448","1,024","1,399",910,904,"1,065","1,297","1,744","1,398",844,"1,140",612,"1,067","8,684","1,538","10,646","1,788","5,271","3,031","2,143","1,875"
2020,11,0,"3,130",129,92,28,24,36,20,20,19,36,31,28,25,49,17,31,715,86,817,82,463,226,92,64
2020,11,10,"4,540",147,123,70,30,60,35,44,37,62,79,29,32,50,22,50,948,140,"1,363",133,566,260,156,104
2020,11,20,"4,791",177,175,78,44,48,47,64,45,71,108,57,41,67,29,55,993,164,"1,175",148,549,289,191,176
2020,11,30,"4,167",169,141,63,45,74,32,33,44,59,52,63,37,39,17,39,912,117,976,127,563,306,139,120
2020,11,40,"7,058",278,206,97,67,76,54,68,58,86,141,79,48,99,32,81,"1,562",229,"1,819",181,922,433,251,191
2020,11,50,"8,525",418,381,227,146,192,110,156,139,181,241,181,125,156,111,133,"1,396",253,"1,681",281,860,486,379,292
2020,11,60,"8,489",509,369,267,202,291,190,175,201,251,368,341,158,209,120,210,"1,014",193,"1,299",341,631,450,382,318
2020,11,70,"7,622",558,319,297,225,319,209,165,244,280,352,310,189,253,146,245,688,198,899,299,447,369,296,315
2020,11,80,"5,481",409,272,270,211,259,171,152,239,235,327,263,154,188,98,193,386,136,507,141,232,169,227,242
2020,11,90,917,52,44,51,29,42,40,26,38,33,44,43,34,27,19,30,58,20,99,41,32,41,26,48
2020,11,100,89,8,5,0,1,2,2,1,1,3,1,4,1,3,1,0,12,2,11,14,6,2,4,5
2020,12,총,"54,717","2,847","2,119","1,436","1,020","1,402",907,892,"1,064","1,304","1,753","1,396",845,"1,139",606,"1,063","8,671","1,527","10,650","1,777","5,260","3,025","2,128","1,886"
2020,12,0,"3,104",126,90,29,24,39,20,19,20,37,31,28,25,49,15,30,713,83,813,78,455,223,94,63
2020,12,10,"4,533",148,122,67,31,60,33,45,37,61,79,28,33,50,23,49,944,136,"1,363",135,572,258,156,103
2020,12,20,"4,756",178,172,76,43,48,48,60,44,67,106,57,41,69,28,55,985,162,"1,162",148,549,289,184,185
2020,12,30,"4,151",164,141,63,44,73,32,31,43,62,57,61,36,36,16,39,907,117,984,125,554,305,139,122
2020,12,40,"7,030",276,206,96,68,78,53,68,59,87,141,77,47,98,32,79,"1,565",228,"1,815",175,921,429,244,188
2020,12,50,"8,496",419,378,226,142,194,109,152,135,183,244,178,126,158,109,129,"1,398",251,"1,675",275,856,484,381,294
2020,12,60,"8,529",509,375,269,199,288,193,177,204,253,367,339,159,207,120,214,"1,017",195,"1,315",346,637,450,376,320
2020,12,70,"7,626",561,317,294,231,318,209,161,245,284,355,314,185,247,147,244,687,199,894,303,445,371,298,317
2020,12,80,"5,493",406,268,268,208,261,170,152,236,234,329,265,156,195,96,196,387,135,519,139,232,173,227,241
2020,12,90,908,52,45,48,29,41,38,26,40,33,43,45,35,27,19,28,55,19,98,39,33,41,25,49
2020,12,100,91,8,5,0,1,2,2,1,1,3,1,4,2,3,1,0,13,2,12,14,6,2,4,4
2021,1,총,"54,722","2,837","2,134","1,434","1,017","1,396",908,895,"1,073","1,301","1,755","1,390",840,"1,142",607,"1,055","8,643","1,519","10,699","1,765","5,263","3,031","2,127","1,891"
2021,1,0,"3,065",126,93,30,24,36,20,19,21,36,30,27,26,49,15,30,695,82,805,74,447,223,94,63
2021,1,10,"4,529",145,126,66,32,62,33,44,38,58,80,28,33,51,23,47,947,136,"1,361",137,572,249,157,104
2021,1,20,"4,775",175,175,75,42,45,48,61,42,69,107,57,39,69,29,55,976,159,"1,182",149,553,300,179,189
2021,1,30,"4,145",161,143,62,46,71,30,29,42,62,57,64,34,39,16,39,901,113,990,124,556,305,138,123
2021,1,40,"7,007",275,206,95,67,81,54,70,65,87,137,72,48,98,32,77,"1,555",227,"1,812",175,921,429,240,184
2021,1,50,"8,476",420,368,226,140,192,109,154,137,182,239,172,122,157,104,129,"1,405",249,"1,682",268,856,483,385,297
2021,1,60,"8,583",509,389,272,201,292,194,178,205,256,367,343,157,206,125,213,"1,017",198,"1,329",343,641,451,377,320
2021,1,70,"7,627",560,317,294,230,317,210,159,247,278,364,308,187,241,148,241,691,201,895,301,447,371,302,318
2021,1,80,"5,506",406,265,265,206,259,170,154,236,237,328,269,156,201,95,194,391,132,531,141,232,173,226,239
