년도,월,나이,곡성군,곡성읍,오곡면,삼기면,석곡면,목사동면,죽곡면,고달면,옥과면,입면,겸면,오산면
2020,7,50,"2,718",701,180,146,248,143,181,128,393,273,170,155
2020,7,60,"2,546",586,207,186,203,134,212,114,331,214,169,190
2020,7,70,"1,813",421,128,129,178,113,161,104,214,137,130,98
2020,7,80,985,196,84,75,105,69,79,61,101,85,73,57
2020,7,90,99,18,6,11,11,8,7,3,12,10,8,5
2020,7,100,3,0,0,0,1,0,0,0,1,0,1,0
2020,8,총,"13,779","3,803",933,818,"1,116",652,946,579,"2,109","1,253",850,720
2020,8,0,569,251,30,14,34,10,28,18,96,40,26,22
2020,8,10,"1,047",358,74,49,65,22,51,19,216,120,45,28
2020,8,20,"1,300",401,59,63,85,54,83,49,282,110,60,54
2020,8,30,941,309,61,48,64,37,47,29,185,68,56,37
2020,8,40,"1,746",556,107,98,119,59,97,57,277,194,110,72
2020,8,50,"2,710",699,179,142,247,147,180,126,395,273,171,151
2020,8,60,"2,566",594,206,190,206,132,212,115,328,217,170,196
2020,8,70,"1,814",420,128,128,177,115,163,105,216,137,128,97
2020,8,80,982,196,83,75,108,68,78,58,100,84,74,58
2020,8,90,101,19,6,11,10,8,7,3,13,10,9,5
2020,8,100,3,0,0,0,1,0,0,0,1,0,1,0
2020,9,총,"13,752","3,794",934,813,"1,122",646,951,574,"2,104","1,251",849,714
2020,9,0,569,253,30,12,37,10,28,17,96,39,25,22
2020,9,10,"1,038",353,73,51,69,20,51,20,209,120,45,27
2020,9,20,"1,293",393,61,62,85,55,82,49,280,112,60,54
2020,9,30,934,313,61,46,63,36,47,28,182,66,54,38
2020,9,40,"1,741",557,106,97,119,57,99,55,278,190,114,69
2020,9,50,"2,703",696,178,143,244,144,186,124,395,275,168,150
2020,9,60,"2,572",594,206,186,207,134,210,116,335,218,172,194
2020,9,70,"1,807",420,128,128,179,115,162,102,213,136,128,96
2020,9,80,990,196,85,77,109,67,79,60,101,85,73,58
2020,9,90,102,19,6,11,9,8,7,3,14,10,9,6
2020,9,100,3,0,0,0,1,0,0,0,1,0,1,0
2020,10,총,"13,724","3,777",931,815,"1,125",647,945,576,"2,105","1,244",842,717
2020,10,0,563,250,30,11,39,10,27,17,96,39,22,22
2020,10,10,"1,027",350,72,51,68,20,52,20,202,120,45,27
2020,10,20,"1,288",394,61,63,83,51,80,48,282,112,58,56
2020,10,30,934,307,63,46,66,40,45,29,181,62,56,39
2020,10,40,"1,715",551,100,97,115,56,98,55,273,189,113,68
2020,10,50,"2,699",690,178,143,241,142,186,126,402,274,167,150
2020,10,60,"2,591",603,205,187,214,137,211,117,334,215,173,195
2020,10,70,"1,816",420,132,127,180,116,161,102,219,137,125,97
2020,10,80,988,195,83,79,109,67,79,59,101,86,73,57
2020,10,90,100,17,7,11,9,8,6,3,14,10,9,6
2020,10,100,3,0,0,0,1,0,0,0,1,0,1,0
2020,11,총,"13,692","3,774",931,807,"1,124",649,939,571,"2,092","1,243",846,716
2020,11,0,557,246,30,10,38,11,28,17,95,38,22,22
2020,11,10,"1,018",349,72,50,68,20,52,20,197,119,44,27
2020,11,20,"1,288",398,63,60,86,52,77,47,275,114,59,57
2020,11,30,926,303,63,45,64,40,44,28,182,61,57,39
2020,11,40,"1,697",551,99,92,113,57,95,55,271,187,110,67
2020,11,50,"2,689",685,176,144,241,140,189,120,401,275,170,148
2020,11,60,"2,609",608,206,188,213,140,208,121,333,218,176,198
2020,11,70,"1,814",420,131,129,181,112,162,102,221,136,125,95
2020,11,80,989,196,84,78,110,69,78,58,101,85,73,57
2020,11,90,102,18,7,11,9,8,6,3,15,10,9,6
2020,11,100,3,0,0,0,1,0,0,0,1,0,1,0
2020,12,총,"13,707","3,793",930,822,"1,123",644,941,572,"2,084","1,234",839,725
2020,12,0,556,247,30,10,38,11,26,18,94,37,22,23
2020,12,10,"1,017",351,72,52,69,17,53,19,199,114,44,27
2020,12,20,"1,294",405,67,63,86,54,75,49,264,112,58,61
2020,12,30,918,302,60,45,62,39,44,27,184,60,56,39
2020,12,40,"1,699",554,100,93,114,57,93,57,269,184,109,69
2020,12,50,"2,698",687,174,150,242,139,189,116,401,281,170,149
2020,12,60,"2,620",614,206,192,214,141,211,122,336,213,173,198
2020,12,70,"1,813",417,129,129,176,112,166,103,222,138,125,96
2020,12,80,993,199,85,77,113,69,77,58,100,85,73,57
2020,12,90,96,17,7,11,8,5,7,3,14,10,8,6
2020,12,100,3,0,0,0,1,0,0,0,1,0,1,0
2021,1,총,"13,677","3,797",928,819,"1,112",640,936,575,"2,079","1,229",830,732
2021,1,0,550,242,30,12,38,11,25,18,92,37,22,23
2021,1,10,"1,021",356,73,51,70,16,52,18,205,113,40,27
2021,1,20,"1,267",408,65,60,83,51,73,49,253,108,56,61
2021,1,30,921,303,58,44,60,39,44,28,189,60,54,42
2021,1,40,"1,681",547,103,95,110,58,87,56,266,182,107,70
2021,1,50,"2,699",695,169,147,240,140,188,120,403,279,170,148
2021,1,60,"2,633",610,209,192,217,139,218,123,335,216,173,201
2021,1,70,"1,810",419,127,130,174,112,165,100,222,137,126,98
2021,1,80,997,202,87,77,111,69,77,60,99,86,73,56
2021,1,90,95,15,7,11,8,5,7,3,14,11,8,6
2021,1,100,3,0,0,0,1,0,0,0,1,0,1,0
2021,2,총,"13,675","3,791",928,818,"1,116",650,930,576,"2,069","1,224",836,737
2021,2,0,547,238,30,12,41,13,26,18,87,34,23,25
2021,2,10,"1,024",353,72,51,73,16,50,18,210,113,40,28
2021,2,20,"1,249",405,67,60,82,49,70,49,239,106,57,65
2021,2,30,919,303,55,44,60,42,44,29,189,59,53,41
2021,2,40,"1,670",548,101,95,108,59,88,55,263,180,106,67
2021,2,50,"2,698",696,167,145,238,137,186,117,409,282,171,150
2021,2,60,"2,656",609,215,191,220,147,217,127,337,217,176,200
2021,2,70,"1,810",421,127,130,174,110,164,99,222,136,128,99
2021,2,80,"1,001",203,87,78,111,72,77,61,97,86,73,56
2021,2,90,98,15,7,12,8,5,8,3,15,11,8,6
2021,2,100,3,0,0,0,1,0,0,0,1,0,1,0
2021,3,총,"13,648","3,773",924,817,"1,114",651,934,574,"2,072","1,221",832,736
2021,3,0,536,235,28,10,41,13,26,18,88,34,21,22
2021,3,10,"1,013",348,71,50,72,14,50,18,210,108,42,30
2021,3,20,"1,241",404,65,62,82,46,69,49,242,103,55,64
2021,3,30,902,298,57,44,58,43,44,27,182,58,53,38
2021,3,40,"1,659",540,99,95,106,59,88,52,263,181,108,68
2021,3,50,"2,705",690,168,147,233,139,190,118,410,285,170,155
2021,3,60,"2,674",614,212,192,227,149,220,131,341,217,175,196
2021,3,70,"1,809",423,128,125,176,110,163,98,222,137,125,102
2021,3,80,"1,004",206,90,81,108,73,76,60,97,87,72,54
2021,3,90,101,14,6,11,10,5,8,3,16,11,10,7
2021,3,100,4,1,0,0,1,0,0,0,1,0,1,0
2021,4,총,"13,674","3,779",926,823,"1,114",651,938,579,"2,072","1,224",834,734
2021,4,0,535,231,29,10,41,13,26,21,87,34,22,21
2021,4,10,"1,007",345,70,49,73,14,49,19,208,109,42,29
2021,4,20,"1,254",415,64,64,82,45,68,49,244,102,56,65
2021,4,30,901,296,62,43,59,42,44,28,181,58,50,38
2021,4,40,"1,656",538,98,94,105,61,87,53,263,182,107,68
2021,4,50,"2,705",691,166,149,233,139,192,117,410,282,173,153
2021,4,60,"2,686",612,215,194,227,149,225,130,342,219,175,198
2021,4,70,"1,811",429,125,126,175,108,161,99,221,138,126,103
2021,4,80,"1,011",206,90,83,107,75,78,60,98,89,72,53
2021,4,90,104,15,7,11,11,5,8,3,17,11,10,6
2021,4,100,4,1,0,0,1,0,0,0,1,0,1,0
2021,5,총,"13,720","3,780",924,828,"1,112",655,933,582,"2,117","1,230",829,730
2021,5,0,526,227,27,11,40,13,26,21,87,32,21,21
2021,5,10,"1,051",346,73,49,72,14,48,18,248,112,42,29
2021,5,20,"1,261",407,65,66,80,45,67,53,255,105,53,65
2021,5,30,892,297,62,43,59,42,44,27,177,56,49,36
2021,5,40,"1,636",534,97,94,104,62,82,50,259,184,104,66
2021,5,50,"2,718",699,161,150,234,142,195,120,408,283,174,152
2021,5,60,"2,710",621,220,194,230,150,222,131,347,219,177,199
2021,5,70,"1,802",426,122,127,176,107,163,96,221,138,124,102
2021,5,80,"1,016",207,90,83,105,75,78,63,97,90,74,54
2021,5,90,104,15,7,11,11,5,8,3,17,11,10,6
2021,5,100,4,1,0,0,1,0,0,0,1,0,1,0
2021,6,총,"13,697","3,786",917,822,"1,105",649,927,581,"2,115","1,233",829,733
2021,6,0,519,223,26,12,39,13,27,20,87,30,21,21
2021,6,10,"1,050",349,69,48,72,14,48,18,249,113,43,27
2021,6,20,"1,268",411,64,65,79,42,67,54,254,111,54,67
2021,6,30,874,301,59,39,58,41,41,27,170,55,48,35
2021,6,40,"1,629",533,98,95,102,60,82,50,261,178,104,66
2021,6,50,"2,694",694,163,149,236,139,190,118,399,280,172,154
2021,6,60,"2,740",624,221,196,228,154,220,132,357,226,180,202
2021,6,70,"1,803",425,122,125,173,108,167,97,224,137,123,102
2021,6,80,"1,013",208,88,82,106,73,77,63,97,92,74,53
2021,6,90,104,17,7,11,11,5,8,2,17,11,9,6
2021,6,100,3,1,0,0,1,0,0,0,0,0,1,0
2021,7,총,"13,660","3,791",915,822,"1,096",650,922,579,"2,100","1,231",825,729
2021,7,0,519,226,25,12,40,13,27,19,88,29,20,20
2021,7,10,"1,040",344,68,47,70,14,48,19,247,113,43,27
2021,7,20,"1,255",404,64,66,81,40,67,53,245,115,54,66
2021,7,30,870,305,60,38,57,43,38,27,167,52,49,34
2021,7,40,"1,634",538,98,95,101,61,81,50,265,179,102,64
2021,7,50,"2,678",691,163,150,237,136,188,118,396,278,166,155
2021,7,60,"2,748",633,219,195,224,155,222,130,356,228,184,202
2021,7,70,"1,794",420,122,127,168,108,169,97,222,137,122,102
2021,7,80,"1,019",213,89,81,106,75,74,64,97,92,75,53
2021,7,90,100,16,7,11,11,5,8,2,17,8,9,6
2021,7,100,3,1,0,0,1,0,0,0,0,0,1,0
2021,8,총,"13,619","3,773",919,817,"1,088",645,924,584,"2,085","1,233",823,728
2021,8,0,519,223,25,13,40,13,27,19,88,29,20,22
2021,8,10,"1,030",343,68,45,68,14,47,21,243,111,43,27
2021,8,20,"1,241",399,63,65,80,38,70,53,241,115,52,65
2021,8,30,862,300,59,37,54,43,41,27,164,56,48,33
2021,8,40,"1,614",535,97,94,98,59,76,53,263,176,100,63
2021,8,50,"2,688",691,168,152,236,134,189,119,394,280,168,157
2021,8,60,"2,744",633,221,195,224,153,221,131,353,229,185,199
2021,8,70,"1,793",420,121,125,170,110,171,95,221,136,121,103
2021,8,80,"1,024",211,90,81,106,76,73,64,101,93,76,53
2021,8,90,101,17,7,10,11,5,9,2,17,8,9,6
2021,8,100,3,1,0,0,1,0,0,0,0,0,1,0
2021,9,총,"13,578","3,764",919,812,"1,085",642,921,584,"2,077","1,224",823,727
2021,9,0,521,222,25,13,40,15,26,19,90,29,20,22
2021,9,10,"1,017",341,67,46,67,14,48,21,234,109,43,27
2021,9,20,"1,217",389,65,63,79,36,70,51,233,114,51,66
2021,9,30,857,301,56,37,50,42,43,27,167,56,46,32
2021,9,40,"1,618",536,96,93,100,58,77,55,264,173,103,63
2021,9,50,"2,679",696,170,145,236,134,185,118,397,278,167,153
2021,9,60,"2,743",626,219,200,225,152,220,133,354,227,185,202
2021,9,70,"1,790",422,123,124,168,109,171,94,218,138,120,103
2021,9,80,"1,027",212,91,81,108,77,72,61,103,92,78,52
2021,9,90,106,18,7,10,11,5,9,5,17,8,9,7
2021,9,100,3,1,0,0,1,0,0,0,0,0,1,0
2021,10,총,"13,565","3,763",918,812,"1,085",642,920,580,"2,076","1,221",823,725
2021,10,0,518,221,24,13,40,15,25,19,89,30,20,22
2021,10,10,"1,011",342,67,46,66,13,48,21,231,107,44,26
2021,10,20,"1,209",387,63,59,79,37,68,50,231,116,52,67
2021,10,30,858,298,57,40,50,42,41,27,170,54,47,32
2021,10,40,"1,616",537,96,93,101,55,79,57,260,173,103,62
2021,10,50,"2,667",694,167,145,234,135,184,116,401,276,166,149
2021,10,60,"2,759",629,223,198,228,153,223,133,356,226,186,204
2021,10,70,"1,792",421,123,128,167,110,172,93,218,138,118,104
2021,10,80,"1,027",215,91,80,108,77,73,59,103,91,78,52
2021,10,90,105,18,7,10,11,5,7,5,17,10,8,7
2021,10,100,3,1,0,0,1,0,0,0,0,0,1,0
2021,11,총,"13,557","3,766",912,812,"1,087",646,920,580,"2,073","1,222",820,719
2021,11,0,512,219,24,13,39,14,25,19,88,29,20,22
2021,11,10,"1,007",342,66,46,66,13,46,21,230,107,43,27
2021,11,20,"1,207",387,62,59,78,38,71,47,234,116,48,67
2021,11,30,856,296,58,40,50,43,41,26,167,55,48,32
2021,11,40,"1,612",538,95,92,102,55,76,60,260,173,101,60
2021,11,50,"2,656",693,163,146,232,135,184,115,398,276,167,147
2021,11,60,"2,780",638,223,198,233,154,224,134,359,227,188,202
2021,11,70,"1,789",422,123,126,168,111,171,92,215,139,118,104
2021,11,80,"1,030",212,91,82,107,78,75,61,105,90,78,51
2021,11,90,105,18,7,10,11,5,7,5,17,10,8,7
2021,11,100,3,1,0,0,1,0,0,0,0,0,1,0
2021,12,총,"13,540","3,767",915,820,"1,084",644,919,576,"2,056","1,217",821,721
2021,12,0,503,215,24,13,38,12,25,18,87,29,20,22
2021,12,10,996,344,66,45,64,13,45,21,223,105,43,27
2021,12,20,"1,200",390,63,61,76,37,67,45,226,117,49,69
2021,12,30,857,294,57,42,50,44,43,26,167,54,48,32
2021,12,40,"1,603",534,95,91,100,55,75,61,259,173,102,58
2021,12,50,"2,653",695,163,148,233,136,185,110,395,273,167,148
2021,12,60,"2,796",641,226,201,238,157,223,137,360,224,188,201
2021,12,70,"1,793",420,123,127,164,110,174,93,217,142,117,106
2021,12,80,"1,031",215,91,83,109,75,75,61,105,90,76,51
2021,12,90,105,18,7,9,11,5,7,4,17,10,10,7
2021,12,100,3,1,0,0,1,0,0,0,0,0,1,0
