년도,월,나이,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020,7,총,"70,548","3,618","1,576","1,613","1,252","1,664","2,080","1,641","1,782","1,010","1,124","1,411",801,631,"1,108",516,"3,480","3,837","1,942","12,318","10,290","5,628","11,226"
2020,7,0,"5,504",210,53,42,36,47,86,57,53,38,30,26,18,15,37,8,128,129,85,"1,114",732,462,"2,098"
2020,7,10,"6,554",225,69,83,53,61,125,85,101,49,54,58,33,22,106,19,184,245,132,"1,548","1,382",624,"1,296"
2020,7,20,"8,325",338,150,158,128,116,199,148,197,77,86,92,62,40,75,34,393,494,178,"1,973","1,423",779,"1,185"
2020,7,30,"8,160",317,131,104,81,111,123,119,124,88,70,85,48,32,73,14,339,440,144,"1,459","1,101",741,"2,416"
2020,7,40,"10,295",487,194,188,134,162,237,176,178,116,131,132,71,72,95,57,520,506,234,"1,986","1,475",968,"2,176"
2020,7,50,"12,479",758,333,346,263,334,408,345,410,208,235,319,162,129,209,128,608,675,362,"2,128","1,780",983,"1,356"
2020,7,60,"10,515",718,316,377,301,417,452,372,397,212,269,341,199,175,241,140,688,691,384,"1,288","1,374",666,497
2020,7,70,"5,836",373,197,201,179,254,302,235,213,134,161,232,120,87,171,62,457,425,279,566,727,307,154
2020,7,80,"2,636",175,122,108,71,150,132,91,101,82,78,107,72,54,96,50,151,216,131,235,279,92,43
2020,7,90,234,16,11,6,6,12,15,12,7,6,10,18,14,5,5,4,12,16,11,21,16,6,5
2020,7,100,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020,8,총,"70,498","3,611","1,575","1,616","1,251","1,655","2,074","1,644","1,786","1,012","1,121","1,411",795,629,"1,108",516,"3,462","3,812","1,937","12,344","10,243","5,625","11,271"
2020,8,0,"5,489",202,54,41,37,46,84,54,53,38,30,26,20,15,36,7,127,125,81,"1,123",728,460,"2,102"
2020,8,10,"6,535",226,69,82,55,60,124,88,103,49,54,57,33,20,108,20,180,240,133,"1,544","1,365",613,"1,312"
2020,8,20,"8,303",336,151,158,126,112,195,149,194,78,86,88,61,39,75,34,383,486,177,"1,993","1,422",779,"1,181"
2020,8,30,"8,114",312,131,108,76,108,121,117,126,91,67,87,44,32,73,13,343,431,142,"1,456","1,089",742,"2,405"
2020,8,40,"10,264",478,197,188,137,160,237,179,181,116,131,129,72,73,90,55,510,499,231,"1,996","1,461",953,"2,191"
2020,8,50,"12,498",769,331,343,261,330,408,344,411,207,236,318,161,130,210,128,609,683,364,"2,111","1,783",997,"1,364"
2020,8,60,"10,562",720,317,379,301,425,452,377,397,211,268,347,198,174,243,142,688,687,387,"1,292","1,372",670,515
2020,8,70,"5,831",374,191,202,180,251,304,233,211,134,162,228,121,87,173,62,458,426,278,570,720,314,152
2020,8,80,"2,650",176,123,108,72,149,133,90,102,82,78,112,70,53,94,51,152,219,131,238,284,89,44
2020,8,90,242,17,11,7,6,14,15,12,7,6,9,18,13,6,6,4,12,16,11,21,18,8,5
2020,8,100,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020,9,총,"70,504","3,589","1,577","1,624","1,261","1,661","2,072","1,639","1,788","1,008","1,116","1,400",797,628,"1,106",513,"3,477","3,781","1,925","12,381","10,217","5,625","11,319"
2020,9,0,"5,469",201,55,41,39,50,85,52,54,38,30,26,20,16,35,7,126,119,78,"1,116",720,456,"2,105"
2020,9,10,"6,535",225,69,82,54,60,124,85,102,47,52,56,34,19,107,20,183,241,132,"1,565","1,349",616,"1,313"
2020,9,20,"8,285",326,149,161,128,112,192,148,191,77,84,88,60,39,76,34,388,473,175,"2,009","1,407",786,"1,182"
2020,9,30,"8,074",306,132,107,77,103,116,113,125,93,67,85,43,32,70,13,349,430,139,"1,443","1,088",734,"2,409"
2020,9,40,"10,248",472,197,189,137,162,237,177,185,114,124,128,73,73,91,53,512,493,230,"1,997","1,458",942,"2,204"
2020,9,50,"12,519",770,331,344,267,332,408,348,409,206,238,314,161,128,210,127,609,678,357,"2,114","1,781","1,007","1,380"
2020,9,60,"10,622",720,318,381,304,426,457,383,400,209,270,343,200,176,243,141,687,688,393,"1,306","1,383",673,521
2020,9,70,"5,841",377,189,204,177,253,301,231,211,136,163,229,120,87,175,64,457,427,275,572,721,314,158
2020,9,80,"2,653",174,126,108,69,148,136,90,103,82,79,112,69,53,93,50,155,216,133,239,288,88,42
2020,9,90,247,17,11,7,9,15,15,11,7,6,9,17,15,5,6,4,11,16,11,20,21,9,5
2020,9,100,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2020,10,총,"70,434","3,579","1,576","1,614","1,254","1,658","2,072","1,642","1,789","1,010","1,115","1,398",801,622,"1,107",509,"3,460","3,755","1,924","12,408","10,174","5,644","11,323"
2020,10,0,"5,448",199,55,41,37,48,85,52,51,39,29,29,20,17,34,7,122,111,79,"1,114",716,459,"2,104"
2020,10,10,"6,536",223,69,83,55,56,124,87,104,46,53,55,35,19,109,20,181,240,132,"1,566","1,345",611,"1,323"
2020,10,20,"8,255",326,148,156,123,114,195,146,188,77,82,89,59,38,75,32,380,469,169,"2,016","1,398",789,"1,186"
2020,10,30,"8,044",303,130,108,77,103,115,114,126,91,69,85,45,31,69,13,349,434,141,"1,444","1,071",733,"2,393"
2020,10,40,"10,209",469,199,186,134,159,238,178,183,112,120,126,71,71,94,51,512,486,233,"1,980","1,449",948,"2,210"
2020,10,50,"12,517",764,328,343,269,326,406,343,408,208,236,313,160,126,210,129,605,673,353,"2,140","1,777","1,015","1,385"
2020,10,60,"10,664",725,321,380,303,437,459,390,407,211,273,341,201,176,242,140,687,690,396,"1,314","1,384",675,512
2020,10,70,"5,837",377,189,201,178,253,296,230,213,138,165,230,121,86,175,64,454,425,271,569,724,318,160
2020,10,80,"2,661",174,124,109,69,146,138,88,101,81,79,111,72,53,93,49,160,212,136,245,288,88,45
2020,10,90,252,18,13,7,9,16,15,13,7,7,9,17,15,5,6,4,10,15,12,20,21,8,5
2020,10,100,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2020,11,총,"70,498","3,597","1,578","1,612","1,252","1,648","2,066","1,644","1,788","1,013","1,119","1,398",797,624,"1,150",504,"3,458","3,731","1,916","12,439","10,178","5,647","11,339"
2020,11,0,"5,425",198,54,40,34,47,85,51,49,40,28,29,19,18,34,7,122,110,80,"1,096",713,458,"2,113"
2020,11,10,"6,561",223,67,82,56,55,120,89,104,45,55,55,34,18,154,20,181,234,130,"1,576","1,334",615,"1,314"
2020,11,20,"8,248",327,148,156,121,115,194,142,190,81,81,86,59,38,76,30,377,470,164,"2,019","1,402",786,"1,186"
2020,11,30,"8,007",298,129,107,78,102,113,117,123,86,71,85,42,29,65,13,344,430,139,"1,462","1,069",724,"2,381"
2020,11,40,"10,249",479,199,188,134,159,242,178,186,114,120,128,70,73,95,49,515,482,232,"1,983","1,447",953,"2,223"
2020,11,50,"12,484",769,328,342,267,324,400,337,404,206,236,313,162,127,204,129,602,661,353,"2,138","1,777","1,016","1,389"
2020,11,60,"10,750",733,325,380,305,437,464,396,410,215,273,340,200,177,250,143,690,690,397,"1,324","1,400",677,524
2020,11,70,"5,846",377,192,202,178,247,296,230,212,137,167,230,120,85,174,64,456,430,272,572,723,322,160
2020,11,80,"2,660",174,122,108,69,146,137,90,102,82,79,112,74,54,92,45,159,210,135,248,290,88,44
2020,11,90,257,18,14,7,10,16,14,13,7,7,9,18,15,5,6,4,12,14,12,21,22,8,5
2020,11,100,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2020,12,총,"70,525","3,601","1,588","1,608","1,255","1,647","2,068","1,645","1,779","1,007","1,115","1,399",794,623,"1,142",501,"3,443","3,727","1,916","12,526","10,160","5,634","11,347"
2020,12,0,"5,416",199,56,38,36,46,85,49,46,40,27,30,20,18,31,6,122,110,81,"1,094",711,453,"2,118"
2020,12,10,"6,594",220,69,80,53,56,118,88,102,45,54,54,34,17,153,20,179,233,129,"1,631","1,326",611,"1,322"
2020,12,20,"8,213",323,143,155,116,109,188,141,190,78,81,85,53,37,75,29,370,465,165,"2,021","1,403",796,"1,190"
2020,12,30,"8,003",303,137,111,86,104,116,119,122,86,72,85,41,28,63,12,344,435,138,"1,461","1,052",726,"2,362"
2020,12,40,"10,231",476,201,187,131,157,246,178,184,115,116,127,69,72,92,49,506,483,230,"1,989","1,446",943,"2,234"
2020,12,50,"12,483",767,329,338,268,319,399,336,403,205,235,312,164,128,205,127,602,660,356,"2,151","1,779","1,008","1,392"
2020,12,60,"10,809",744,324,380,308,448,468,401,413,215,277,344,203,177,251,145,685,686,393,"1,331","1,412",680,524
2020,12,70,"5,846",373,193,205,176,247,293,231,211,137,165,227,118,86,174,64,462,430,273,578,722,322,159
2020,12,80,"2,663",177,122,106,71,145,140,88,101,79,79,115,76,54,92,45,160,211,137,249,287,87,42
2020,12,90,256,18,14,8,10,16,14,13,6,7,9,18,14,6,6,4,13,14,12,21,21,8,4
2020,12,100,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2021,1,총,"70,504","3,581","1,586","1,616","1,249","1,649","2,078","1,637","1,764","1,006","1,105","1,406",795,623,"1,135",497,"3,442","3,733","1,918","12,563","10,130","5,629","11,362"
2021,1,0,"5,391",195,58,41,35,46,87,51,44,39,28,31,22,19,31,6,118,108,80,"1,089",712,436,"2,115"
2021,1,10,"6,583",218,71,78,52,52,114,84,99,46,51,53,35,18,152,17,179,234,129,"1,653","1,302",617,"1,329"
2021,1,20,"8,202",318,143,156,114,114,190,137,188,77,81,89,51,36,74,29,371,469,164,"2,011","1,406",802,"1,182"
2021,1,30,"7,965",298,134,109,87,104,118,116,120,86,68,84,44,29,62,12,345,434,139,"1,457","1,043",724,"2,352"
2021,1,40,"10,197",466,200,190,128,152,243,177,182,115,113,125,66,72,89,48,503,480,225,"1,994","1,445",940,"2,244"
2021,1,50,"12,451",767,324,338,266,318,404,335,391,205,235,306,166,122,199,125,598,661,360,"2,162","1,780",998,"1,391"
2021,1,60,"10,927",748,327,381,311,457,476,406,421,218,277,355,203,181,256,148,688,689,393,"1,345","1,417",691,539
2021,1,70,"5,836",374,191,208,176,244,290,231,208,134,163,228,116,85,172,63,464,430,275,584,714,322,164
2021,1,80,"2,679",177,125,107,69,146,141,86,103,79,80,114,77,54,94,45,161,214,138,247,289,90,43
2021,1,90,262,19,13,8,11,16,14,13,7,7,9,19,13,7,6,4,15,14,13,21,21,9,3
2021,1,100,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2021,2,총,"70,609","3,552","1,596","1,619","1,254","1,654","2,080","1,630","1,763","1,005","1,102","1,411",793,626,"1,134",495,"3,437","3,716","1,916","12,571","10,231","5,652","11,372"
2021,2,0,"5,343",185,59,45,36,46,88,49,44,39,27,31,21,19,31,6,115,107,76,"1,069",702,440,"2,108"
2021,2,10,"6,706",211,74,78,54,52,111,86,100,46,50,54,34,18,152,16,176,231,132,"1,665","1,416",616,"1,334"
2021,2,20,"8,172",314,144,152,114,114,193,134,185,77,81,90,53,35,71,27,379,467,164,"2,009","1,395",795,"1,179"
2021,2,30,"7,932",291,134,109,88,104,117,116,121,87,66,83,44,30,63,12,345,435,140,"1,457","1,032",725,"2,333"
2021,2,40,"10,196",459,199,190,130,149,238,177,183,110,114,123,65,72,87,49,499,471,223,"1,987","1,444",949,"2,278"
2021,2,50,"12,437",762,324,337,266,321,408,328,386,210,232,306,162,123,201,124,597,657,360,"2,163","1,784","1,000","1,386"
2021,2,60,"11,009",762,332,383,310,461,476,409,423,216,279,362,206,182,256,150,684,693,392,"1,365","1,422",700,546
2021,2,70,"5,828",370,190,207,177,245,293,229,205,134,164,227,115,85,171,61,461,426,274,584,719,327,164
2021,2,80,"2,709",178,127,108,68,145,141,88,108,79,80,114,78,54,96,45,167,216,140,250,295,91,41
2021,2,90,266,19,13,10,11,17,14,13,7,7,9,19,13,8,6,5,14,13,13,22,21,9,3
2021,2,100,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2021,3,총,"70,659","3,541","1,596","1,602","1,246","1,642","2,080","1,623","1,756","1,001","1,102","1,406",784,634,"1,146",498,"3,417","3,735","1,922","12,656","10,225","5,655","11,392"
2021,3,0,"5,320",183,58,42,37,46,87,49,40,39,27,31,22,18,30,6,112,105,76,"1,058",700,441,"2,113"
2021,3,10,"6,792",207,72,76,52,50,113,85,101,46,48,54,35,20,170,18,174,236,131,"1,714","1,432",615,"1,343"
2021,3,20,"8,145",309,146,143,110,114,191,130,183,77,82,93,51,37,68,29,377,470,163,"2,039","1,383",787,"1,163"
2021,3,30,"7,899",284,132,104,90,103,118,114,118,86,67,78,42,31,61,11,340,434,143,"1,458","1,021",736,"2,328"
2021,3,40,"10,174",462,197,189,128,144,233,176,183,109,114,123,62,69,85,47,500,474,221,"1,977","1,444",943,"2,294"
2021,3,50,"12,374",758,326,334,258,323,408,326,380,208,226,300,159,126,197,123,587,658,353,"2,159","1,772","1,003","1,390"
2021,3,60,"11,137",766,335,386,315,463,481,412,432,219,284,371,208,182,261,154,689,699,400,"1,391","1,441",699,549
2021,3,70,"5,827",374,190,211,177,240,295,227,203,132,165,223,116,88,171,61,454,429,280,584,715,327,165
2021,3,80,"2,721",177,127,107,68,142,141,89,109,78,80,114,75,55,96,45,169,218,142,255,297,94,43
2021,3,90,268,20,13,10,11,17,13,15,7,7,9,19,13,8,7,4,15,12,13,21,20,10,4
2021,3,100,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,4,총,"70,614","3,545","1,600","1,605","1,252","1,646","2,072","1,618","1,749","1,006","1,104","1,405",782,637,"1,148",504,"3,415","3,730","1,912","12,644","10,213","5,656","11,371"
2021,4,0,"5,270",177,59,40,38,44,86,47,39,41,27,29,23,17,30,6,112,106,74,"1,037",697,445,"2,096"
2021,4,10,"6,764",207,70,76,51,54,110,86,99,44,48,52,35,20,171,18,174,237,127,"1,698","1,441",606,"1,340"
2021,4,20,"8,155",307,155,147,111,113,186,130,183,80,77,92,50,37,68,29,376,469,165,"2,049","1,366",797,"1,168"
2021,4,30,"7,834",281,127,102,89,97,114,112,116,84,70,77,43,32,62,11,341,424,135,"1,466","1,010",736,"2,305"
2021,4,40,"10,178",465,196,189,129,148,231,173,184,107,112,123,61,69,84,47,497,475,221,"1,975","1,449",944,"2,299"
2021,4,50,"12,362",755,327,333,261,320,411,326,376,210,226,300,159,127,197,126,587,661,353,"2,152","1,769",992,"1,394"
2021,4,60,"11,197",776,339,389,317,466,488,411,435,223,286,370,206,184,257,155,694,696,399,"1,401","1,446",704,555
2021,4,70,"5,845",377,186,212,175,245,293,230,202,129,167,227,117,88,174,63,454,432,284,588,707,327,168
2021,4,80,"2,735",179,128,107,70,142,141,88,107,81,82,116,74,55,96,45,167,218,140,256,307,95,41
2021,4,90,272,20,13,10,11,17,12,15,8,7,9,19,13,8,9,4,13,12,14,22,21,10,5
2021,4,100,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,5,총,"70,590","3,552","1,598","1,607","1,249","1,645","2,064","1,616","1,746","1,010","1,110","1,400",785,635,"1,151",501,"3,401","3,726","1,911","12,654","10,192","5,656","11,381"
2021,5,0,"5,261",173,61,40,38,44,87,45,42,42,27,30,23,17,30,6,106,105,76,"1,030",688,447,"2,104"
2021,5,10,"6,743",213,72,74,49,55,107,85,97,43,46,52,35,20,170,18,174,231,125,"1,686","1,451",599,"1,341"
2021,5,20,"8,146",300,154,144,112,113,182,132,181,80,76,91,51,35,69,27,378,467,165,"2,073","1,353",802,"1,161"
2021,5,30,"7,782",280,128,106,87,96,115,112,112,82,75,75,46,33,63,10,339,413,132,"1,459",992,739,"2,288"
2021,5,40,"10,149",470,191,188,128,145,231,172,182,113,112,121,60,68,83,46,486,476,221,"1,975","1,448",936,"2,297"
2021,5,50,"12,363",758,328,336,257,322,405,320,378,205,227,299,153,125,198,125,590,672,352,"2,141","1,767",991,"1,414"
2021,5,60,"11,271",779,340,388,321,465,492,417,438,223,289,374,211,186,259,157,691,702,398,"1,422","1,451",708,560
2021,5,70,"5,859",376,186,214,174,245,294,230,200,134,166,228,118,88,173,63,454,429,288,589,712,329,169
2021,5,80,"2,739",182,126,107,72,143,139,87,108,81,83,111,74,55,97,45,170,219,140,255,308,95,42
2021,5,90,275,20,12,10,11,17,12,16,8,7,9,19,13,8,9,4,13,12,14,24,22,10,5
2021,5,100,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,6,총,"70,444","3,550","1,592","1,606","1,236","1,644","2,044","1,611","1,739","1,018","1,109","1,402",770,633,"1,160",502,"3,388","3,702","1,910","12,623","10,165","5,647","11,393"
2021,6,0,"5,244",172,56,41,32,42,88,45,43,43,26,30,20,16,32,5,104,108,74,"1,034",681,439,"2,113"
2021,6,10,"6,730",212,73,72,51,55,105,83,98,45,47,51,35,21,172,18,173,227,126,"1,677","1,445",599,"1,345"
2021,6,20,"8,107",298,153,142,112,113,184,134,177,81,75,93,48,35,70,28,373,464,164,"2,069","1,350",794,"1,150"
2021,6,30,"7,734",273,129,109,86,93,112,111,110,81,74,73,44,32,65,9,335,407,131,"1,445",990,740,"2,285"
