년도,월,나이,양천구,목1동,목2동,목3동,목4동,목5동,신월1동,신월2동,신월3동,신월4동,신월5동,신월6동,신월7동,신정1동,신정2동,신정3동,신정4동,신정6동,신정7동
2020,3,100,44,2,5,3,2,0,5,2,5,2,2,2,2,2,2,2,4,0,2
2020,4,총,"224,563","15,332","15,121","10,926","12,957","21,147","10,873","10,609","8,608","9,205","7,576","4,507","10,404","10,343","9,982","23,159","16,806","12,291","14,717"
2020,4,0,"16,987","1,555",918,760,756,"1,896",568,778,548,831,543,452,612,"1,006",695,"1,914",983,"1,125","1,047"
2020,4,10,"26,996","2,603","1,427",860,"1,902","4,176",702,924,624,900,715,445,743,"1,580","1,557","2,826","1,239","1,932","1,841"
2020,4,20,"31,015","1,689","2,540","1,800","2,216","2,447","1,449","1,388","1,107","1,137","1,105",534,"1,472","1,272","1,404","3,145","2,595","1,685","2,030"
2020,4,30,"29,109","1,495","2,797","2,027","1,483","1,822","1,528","1,609","1,192","1,284","1,148",758,"1,465",962,885,"2,942","2,846","1,268","1,598"
2020,4,40,"38,453","3,261","2,234","1,584","2,087","4,245","1,679","1,728","1,332","1,569","1,171",739,"1,612","1,980","1,815","4,006","2,671","2,186","2,554"
2020,4,50,"38,203","2,568","2,401","1,726","2,416","3,475","2,107","1,652","1,674","1,422","1,250",669,"1,818","1,822","1,865","3,868","2,649","2,170","2,651"
2020,4,60,"26,798","1,357","1,780","1,361","1,266","1,943","1,754","1,524","1,337","1,245","1,015",551,"1,619","1,022","1,105","2,627","2,200","1,257","1,835"
2020,4,70,"12,962",622,776,601,653,855,880,794,595,643,492,287,777,520,463,"1,397","1,251",496,860
2020,4,80,"3,593",156,208,189,162,240,189,199,182,156,128,63,259,154,174,394,337,138,265
2020,4,90,403,24,35,15,14,48,12,11,13,16,7,7,25,23,16,38,31,34,34
2020,4,100,44,2,5,3,2,0,5,2,4,2,2,2,2,2,3,2,4,0,2
2020,5,총,"225,084","15,323","15,097","10,921","12,915","21,107","10,878","10,584","8,560","9,158","7,575","5,665","10,313","10,326","9,949","23,043","16,742","12,251","14,677"
2020,5,0,"16,993","1,547",914,765,739,"1,880",560,784,543,811,538,632,588,990,687,"1,888",967,"1,111","1,049"
2020,5,10,"26,934","2,586","1,420",854,"1,887","4,159",700,910,618,897,716,526,737,"1,577","1,546","2,805","1,226","1,927","1,843"
2020,5,20,"31,115","1,695","2,538","1,796","2,219","2,449","1,447","1,396","1,109","1,130","1,111",683,"1,465","1,281","1,394","3,129","2,598","1,673","2,002"
2020,5,30,"29,295","1,482","2,784","2,026","1,484","1,812","1,527","1,611","1,187","1,274","1,155","1,064","1,457",954,880,"2,908","2,822","1,279","1,589"
2020,5,40,"38,448","3,253","2,234","1,580","2,072","4,229","1,682","1,713","1,313","1,564","1,168",894,"1,589","1,969","1,809","3,999","2,666","2,160","2,554"
2020,5,50,"38,297","2,585","2,402","1,718","2,414","3,486","2,101","1,653","1,668","1,415","1,245",816,"1,806","1,823","1,870","3,847","2,636","2,171","2,641"
2020,5,60,"26,873","1,362","1,776","1,372","1,267","1,937","1,767","1,504","1,333","1,249","1,009",643,"1,614","1,030","1,102","2,624","2,199","1,258","1,827"
2020,5,70,"13,075",630,778,601,654,866,888,800,590,645,492,320,774,526,462,"1,417","1,253",502,877
2020,5,80,"3,606",156,211,191,162,241,189,200,184,155,132,77,255,151,179,386,340,137,260
2020,5,90,404,25,35,15,15,48,12,11,11,16,7,8,26,23,17,38,31,33,33
2020,5,100,44,2,5,3,2,0,5,2,4,2,2,2,2,2,3,2,4,0,2
2020,6,총,"224,908","15,300","15,043","10,894","12,867","21,091","10,832","10,551","8,512","9,127","7,570","6,152","10,259","10,290","9,906","22,956","16,680","12,267","14,611"
2020,6,0,"16,894","1,547",894,761,731,"1,871",558,782,532,798,531,671,583,984,671,"1,862",963,"1,111","1,044"
2020,6,10,"26,787","2,575","1,414",849,"1,864","4,151",686,902,611,891,709,555,726,"1,573","1,551","2,788","1,208","1,911","1,823"
2020,6,20,"31,078","1,684","2,520","1,780","2,224","2,447","1,444","1,393","1,102","1,126","1,124",758,"1,452","1,271","1,379","3,119","2,603","1,674","1,978"
2020,6,30,"29,281","1,483","2,773","2,028","1,459","1,799","1,522","1,596","1,166","1,281","1,149","1,188","1,451",949,871,"2,889","2,799","1,288","1,590"
2020,6,40,"38,375","3,241","2,227","1,574","2,077","4,225","1,671","1,706","1,306","1,552","1,167",968,"1,567","1,954","1,799","3,985","2,670","2,160","2,526"
2020,6,50,"38,269","2,586","2,400","1,704","2,406","3,489","2,092","1,640","1,667","1,395","1,246",886,"1,803","1,823","1,871","3,846","2,611","2,175","2,629"
2020,6,60,"27,020","1,370","1,785","1,385","1,270","1,940","1,770","1,509","1,334","1,263","1,007",703,"1,621","1,032","1,097","2,625","2,197","1,267","1,845"
2020,6,70,"13,129",629,778,604,655,878,882,808,595,646,493,340,769,530,468,"1,417","1,254",508,875
2020,6,80,"3,622",158,214,191,164,243,190,202,185,156,134,73,257,150,178,385,338,139,265
2020,6,90,409,25,33,15,15,48,12,11,10,17,8,8,28,22,18,38,33,34,34
2020,6,100,44,2,5,3,2,0,5,2,4,2,2,2,2,2,3,2,4,0,2
2020,7,총,"224,608","15,231","14,970","10,850","12,825","21,036","10,800","10,551","8,485","9,100","7,565","6,441","10,237","10,261","9,899","22,890","16,627","12,224","14,616"
2020,7,0,"16,770","1,514",889,759,726,"1,840",543,780,524,787,534,700,587,980,667,"1,845",954,"1,104","1,037"
2020,7,10,"26,741","2,569","1,411",849,"1,854","4,156",691,896,603,870,701,591,720,"1,565","1,549","2,765","1,210","1,913","1,828"
2020,7,20,"30,996","1,683","2,489","1,771","2,216","2,431","1,441","1,395","1,102","1,133","1,127",784,"1,448","1,279","1,386","3,106","2,580","1,661","1,964"
2020,7,30,"29,160","1,456","2,748","2,014","1,452","1,783","1,511","1,605","1,159","1,271","1,143","1,248","1,437",936,859,"2,893","2,779","1,280","1,586"
2020,7,40,"38,254","3,221","2,214","1,551","2,048","4,205","1,662","1,704","1,302","1,557","1,166","1,019","1,573","1,935","1,783","3,973","2,657","2,145","2,539"
2020,7,50,"38,287","2,602","2,396","1,711","2,417","3,478","2,088","1,641","1,666","1,390","1,238",939,"1,786","1,826","1,880","3,826","2,612","2,172","2,619"
2020,7,60,"27,098","1,367","1,783","1,382","1,273","1,963","1,777","1,505","1,326","1,265","1,015",728,"1,633","1,031","1,099","2,624","2,204","1,269","1,854"
2020,7,70,"13,203",634,787,605,655,886,880,808,603,650,495,346,767,532,477,"1,430","1,254",508,886
2020,7,80,"3,648",160,215,191,167,247,189,204,184,158,136,75,258,153,178,388,339,138,268
2020,7,90,406,23,33,14,15,47,13,11,12,17,8,9,26,22,18,38,34,34,32
2020,7,100,45,2,5,3,2,0,5,2,4,2,2,2,2,2,3,2,4,0,3
2020,8,총,"224,271","15,171","14,935","10,822","12,769","20,986","10,788","10,539","8,462","9,088","7,555","6,590","10,189","10,269","9,913","22,816","16,594","12,216","14,569"
2020,8,0,"16,629","1,496",877,754,707,"1,821",536,774,516,783,525,727,577,976,671,"1,820",948,"1,093","1,028"
2020,8,10,"26,666","2,560","1,408",843,"1,847","4,145",686,891,599,870,703,595,708,"1,564","1,556","2,766","1,200","1,912","1,813"
2020,8,20,"30,914","1,674","2,489","1,761","2,205","2,412","1,440","1,398","1,095","1,128","1,122",805,"1,447","1,282","1,379","3,096","2,580","1,655","1,946"
2020,8,30,"29,016","1,434","2,730","2,004","1,431","1,778","1,519","1,596","1,153","1,260","1,135","1,273","1,417",927,855,"2,889","2,764","1,275","1,576"
2020,8,40,"38,150","3,211","2,217","1,547","2,041","4,188","1,654","1,710","1,295","1,552","1,171","1,045","1,565","1,936","1,780","3,936","2,638","2,149","2,515"
2020,8,50,"38,280","2,605","2,374","1,701","2,419","3,479","2,078","1,645","1,660","1,383","1,230",965,"1,791","1,832","1,887","3,818","2,615","2,177","2,621"
2020,8,60,"27,207","1,371","1,794","1,387","1,279","1,973","1,783","1,490","1,337","1,279","1,015",744,"1,640","1,035","1,107","2,629","2,212","1,266","1,866"
2020,8,70,"13,282",636,797,611,657,894,880,818,603,653,508,350,759,536,480,"1,433","1,251",517,899
2020,8,80,"3,670",159,212,196,165,249,192,204,188,161,135,75,257,157,177,388,349,139,267
2020,8,90,411,23,32,15,16,47,15,11,12,17,9,9,26,21,18,39,33,33,35
2020,8,100,46,2,5,3,2,0,5,2,4,2,2,2,2,3,3,2,4,0,3
2020,9,총,"223,889","15,149","14,878","10,777","12,749","20,975","10,768","10,556","8,429","9,081","7,535","6,647","10,149","10,254","9,890","22,762","16,555","12,211","14,524"
2020,9,0,"16,518","1,492",874,745,691,"1,825",525,772,512,771,527,736,566,980,671,"1,800",931,"1,081","1,019"
2020,9,10,"26,632","2,559","1,391",840,"1,848","4,147",679,899,600,868,699,598,711,"1,566","1,563","2,758","1,191","1,913","1,802"
2020,9,20,"30,801","1,670","2,487","1,749","2,203","2,389","1,439","1,405","1,085","1,131","1,108",814,"1,442","1,280","1,357","3,088","2,567","1,657","1,930"
2020,9,30,"28,865","1,430","2,715","1,989","1,420","1,766","1,512","1,591","1,143","1,258","1,134","1,288","1,407",919,851,"2,860","2,755","1,263","1,564"
2020,9,40,"38,073","3,190","2,205","1,544","2,035","4,188","1,647","1,713","1,294","1,558","1,165","1,054","1,560","1,931","1,767","3,929","2,637","2,144","2,512"
2020,9,50,"38,180","2,613","2,351","1,687","2,422","3,467","2,064","1,629","1,639","1,380","1,223",970,"1,783","1,821","1,889","3,819","2,616","2,187","2,620"
2020,9,60,"27,297","1,373","1,803","1,392","1,286","1,992","1,800","1,501","1,346","1,277","1,025",745,"1,626","1,040","1,112","2,635","2,216","1,267","1,861"
2020,9,70,"13,361",629,802,612,658,903,887,827,611,656,510,355,764,534,483,"1,442","1,253",527,908
2020,9,80,"3,703",165,213,201,168,251,196,207,182,163,133,76,263,160,175,389,352,139,270
2020,9,90,411,26,32,15,15,47,14,10,13,17,9,9,25,20,19,40,33,33,34
2020,9,100,48,2,5,3,3,0,5,2,4,2,2,2,2,3,3,2,4,0,4
2020,10,총,"223,601","15,177","14,859","10,735","12,714","20,991","10,746","10,527","8,372","9,059","7,516","6,690","10,128","10,254","9,886","22,735","16,495","12,191","14,526"
2020,10,0,"16,403","1,489",868,738,684,"1,803",522,762,498,767,521,744,558,979,669,"1,777",918,"1,081","1,025"
2020,10,10,"26,637","2,575","1,385",835,"1,842","4,169",678,891,600,866,693,597,712,"1,570","1,561","2,758","1,186","1,902","1,817"
2020,10,20,"30,674","1,668","2,474","1,736","2,193","2,381","1,426","1,400","1,074","1,137","1,108",810,"1,432","1,275","1,361","3,073","2,562","1,653","1,911"
2020,10,30,"28,777","1,424","2,699","1,977","1,410","1,771","1,511","1,568","1,132","1,244","1,130","1,303","1,409",920,853,"2,878","2,740","1,239","1,569"
2020,10,40,"37,968","3,203","2,220","1,535","2,043","4,167","1,634","1,718","1,274","1,551","1,155","1,060","1,559","1,928","1,767","3,896","2,618","2,147","2,493"
2020,10,50,"38,159","2,615","2,345","1,680","2,409","3,483","2,055","1,629","1,634","1,371","1,218",969,"1,786","1,811","1,881","3,827","2,620","2,197","2,629"
2020,10,60,"27,393","1,381","1,802","1,402","1,282","2,016","1,803","1,504","1,353","1,280","1,040",759,"1,621","1,057","1,110","2,651","2,210","1,267","1,855"
2020,10,70,"13,392",628,811,615,669,899,893,832,610,662,507,361,756,529,485,"1,440","1,246",532,917
2020,10,80,"3,740",167,219,198,164,255,204,208,180,162,134,76,268,164,176,394,360,140,271
2020,10,90,410,25,31,16,15,47,15,13,13,17,8,9,24,18,20,39,32,33,35
2020,10,100,48,2,5,3,3,0,5,2,4,2,2,2,3,3,3,2,3,0,4
2020,11,총,"223,217","15,159","14,826","10,744","12,697","20,911","10,744","10,480","8,343","9,059","7,482","6,725","10,126","10,234","9,875","22,706","16,479","12,150","14,477"
2020,11,0,"16,282","1,479",869,728,692,"1,782",520,754,493,761,515,742,559,980,664,"1,755",910,"1,058","1,021"
2020,11,10,"26,550","2,575","1,359",846,"1,823","4,161",676,884,591,863,687,599,709,"1,562","1,566","2,755","1,188","1,905","1,801"
2020,11,20,"30,580","1,672","2,474","1,733","2,197","2,366","1,423","1,393","1,085","1,136","1,100",809,"1,421","1,264","1,351","3,070","2,551","1,642","1,893"
2020,11,30,"28,599","1,405","2,696","1,971","1,400","1,757","1,512","1,551","1,110","1,245","1,122","1,305","1,408",913,848,"2,860","2,732","1,224","1,540"
2020,11,40,"37,900","3,191","2,215","1,549","2,029","4,148","1,633","1,706","1,267","1,559","1,149","1,066","1,559","1,928","1,757","3,886","2,620","2,139","2,499"
2020,11,50,"38,132","2,625","2,334","1,672","2,407","3,472","2,048","1,627","1,632","1,373","1,221",976,"1,776","1,808","1,878","3,831","2,615","2,206","2,631"
2020,11,60,"27,492","1,386","1,806","1,406","1,292","2,018","1,817","1,512","1,350","1,280","1,039",774,"1,628","1,063","1,125","2,657","2,212","1,267","1,860"
2020,11,70,"13,457",633,817,619,672,905,894,832,618,661,506,367,767,529,487,"1,452","1,249",533,916
2020,11,80,"3,756",165,219,199,166,256,200,206,180,161,133,76,272,164,176,397,367,143,276
2020,11,90,421,26,32,18,16,46,16,13,13,18,8,9,24,20,20,41,32,33,36
2020,11,100,48,2,5,3,3,0,5,2,4,2,2,2,3,3,3,2,3,0,4
2020,12,총,"222,824","15,167","14,810","10,727","12,692","20,900","10,747","10,463","8,297","9,045","7,453","6,770","10,067","10,222","9,819","22,608","16,423","12,159","14,455"
2020,12,0,"16,235","1,501",860,715,683,"1,809",517,742,485,757,508,761,559,976,657,"1,737",890,"1,070","1,008"
2020,12,10,"26,532","2,579","1,375",849,"1,826","4,154",680,873,590,856,687,604,701,"1,558","1,553","2,736","1,196","1,906","1,809"
2020,12,20,"30,426","1,664","2,450","1,730","2,195","2,341","1,429","1,402","1,067","1,138","1,092",816,"1,405","1,254","1,333","3,055","2,535","1,638","1,882"
2020,12,30,"28,469","1,395","2,687","1,975","1,395","1,745","1,524","1,550","1,110","1,244","1,115","1,295","1,392",910,844,"2,822","2,701","1,223","1,542"
2020,12,40,"37,832","3,175","2,221","1,541","2,036","4,135","1,622","1,695","1,256","1,550","1,143","1,080","1,549","1,929","1,758","3,878","2,624","2,140","2,500"
2020,12,50,"38,021","2,624","2,343","1,654","2,404","3,451","2,049","1,629","1,629","1,374","1,214",978,"1,760","1,817","1,855","3,828","2,604","2,194","2,614"
2020,12,60,"27,584","1,400","1,804","1,418","1,301","2,053","1,808","1,527","1,348","1,275","1,046",776,"1,630","1,063","1,137","2,650","2,207","1,278","1,863"
2020,12,70,"13,474",634,816,623,666,908,892,824,618,666,501,370,774,524,483,"1,463","1,258",535,919
2020,12,80,"3,777",168,216,200,167,258,206,206,177,165,137,79,269,166,176,396,371,143,277
2020,12,90,425,25,33,19,16,46,16,13,13,18,8,9,24,22,20,41,33,32,37
2020,12,100,49,2,5,3,3,0,4,2,4,2,2,2,4,3,3,2,4,0,4
2021,1,총,"222,417","15,109","14,815","10,719","12,670","20,901","10,733","10,407","8,261","9,020","7,439","6,783","10,012","10,208","9,795","22,575","16,393","12,140","14,437"
2021,1,0,"16,072","1,489",867,707,674,"1,792",510,729,479,747,500,755,548,964,649,"1,724",878,"1,066",994
2021,1,10,"26,419","2,563","1,351",838,"1,819","4,165",673,871,590,850,690,610,690,"1,555","1,555","2,716","1,187","1,893","1,803"
2021,1,20,"30,348","1,656","2,446","1,737","2,204","2,335","1,416","1,392","1,065","1,140","1,081",809,"1,395","1,260","1,329","3,048","2,518","1,641","1,876"
2021,1,30,"28,386","1,388","2,698","1,979","1,383","1,734","1,537","1,538","1,104","1,236","1,102","1,303","1,392",899,838,"2,807","2,701","1,207","1,540"
2021,1,40,"37,587","3,148","2,223","1,538","2,016","4,116","1,614","1,673","1,232","1,538","1,152","1,079","1,537","1,916","1,739","3,834","2,611","2,140","2,481"
2021,1,50,"38,048","2,629","2,339","1,641","2,395","3,462","2,042","1,636","1,631","1,379","1,212",980,"1,749","1,818","1,852","3,865","2,609","2,194","2,615"
2021,1,60,"27,719","1,396","1,810","1,422","1,320","2,077","1,819","1,515","1,347","1,278","1,055",787,"1,625","1,074","1,147","2,675","2,215","1,277","1,880"
2021,1,70,"13,548",643,821,630,671,911,892,833,619,665,498,372,779,528,491,"1,465","1,269",544,917
2021,1,80,"3,810",169,222,205,167,265,210,204,177,167,137,78,269,168,172,398,368,146,288
2021,1,90,429,26,33,18,18,44,16,14,13,18,9,8,24,23,20,41,33,32,39
2021,1,100,51,2,5,4,3,0,4,2,4,2,3,2,4,3,3,2,4,0,4
2021,2,총,"222,789","15,062","14,812","10,675","12,649","20,798","10,688","10,353","8,223","8,983","7,425","6,797","9,996","10,167","9,770","23,549","16,355","12,112","14,375"
2021,2,0,"16,205","1,496",864,694,666,"1,811",500,724,478,725,490,755,544,970,655,"1,902",871,"1,072",988
2021,2,10,"26,369","2,543","1,326",835,"1,800","4,117",665,870,585,854,694,612,685,"1,542","1,545","2,841","1,184","1,882","1,789"
2021,2,20,"30,197","1,638","2,442","1,730","2,207","2,307","1,408","1,369","1,064","1,132","1,079",798,"1,386","1,239","1,304","3,118","2,498","1,627","1,851"
2021,2,30,"28,344","1,379","2,692","1,958","1,373","1,723","1,520","1,512","1,090","1,211","1,094","1,305","1,386",906,842,"2,926","2,699","1,197","1,531"
2021,2,40,"37,749","3,151","2,245","1,521","2,028","4,080","1,618","1,671","1,230","1,544","1,143","1,088","1,528","1,915","1,753","4,024","2,602","2,143","2,465"
2021,2,50,"38,044","2,618","2,328","1,641","2,383","3,443","2,023","1,624","1,613","1,369","1,217",980,"1,758","1,787","1,834","4,028","2,611","2,182","2,605"
2021,2,60,"27,960","1,395","1,833","1,435","1,336","2,084","1,828","1,519","1,355","1,290","1,060",798,"1,630","1,083","1,148","2,777","2,208","1,284","1,897"
2021,2,70,"13,589",645,818,629,664,922,897,841,617,669,499,371,784,526,494,"1,476","1,277",544,916
2021,2,80,"3,856",168,227,210,171,268,208,207,174,169,136,80,269,173,172,414,370,149,291
2021,2,90,426,27,32,19,18,43,18,14,13,18,10,8,22,23,20,41,31,32,37
2021,2,100,50,2,5,3,3,0,3,2,4,2,3,2,4,3,3,2,4,0,5
2021,3,총,"222,010","14,999","14,702","10,655","12,587","20,739","10,619","10,269","8,144","8,933","7,357","6,785","9,936","10,051","9,676","23,999","16,236","12,076","14,247"
2021,3,0,"16,091","1,484",854,692,659,"1,805",500,721,466,708,481,758,539,950,652,"1,930",857,"1,058",977
2021,3,10,"26,228","2,535","1,325",827,"1,767","4,088",661,869,579,853,684,604,684,"1,507","1,542","2,866","1,179","1,880","1,778"
2021,3,20,"30,121","1,633","2,432","1,736","2,213","2,280","1,395","1,357","1,044","1,132","1,073",789,"1,367","1,236","1,276","3,188","2,498","1,626","1,846"
2021,3,30,"28,264","1,372","2,679","1,972","1,374","1,728","1,513","1,496","1,084","1,196","1,072","1,303","1,389",893,842,"2,997","2,657","1,201","1,496"
2021,3,40,"37,498","3,125","2,223","1,506","2,000","4,025","1,605","1,662","1,216","1,530","1,131","1,093","1,508","1,898","1,747","4,082","2,576","2,129","2,442"
2021,3,50,"37,936","2,607","2,311","1,638","2,383","3,464","1,998","1,615","1,600","1,372","1,210",979,"1,733","1,772","1,805","4,118","2,583","2,159","2,589"
2021,3,60,"28,093","1,405","1,820","1,427","1,325","2,103","1,827","1,509","1,366","1,294","1,067",811,"1,637","1,086","1,156","2,857","2,214","1,296","1,893"
2021,3,70,"13,522",649,812,632,671,931,894,825,606,657,494,363,786,513,478,"1,489","1,274",546,902
2021,3,80,"3,847",164,220,206,174,273,209,200,172,174,137,79,271,172,159,430,368,149,290
2021,3,90,396,23,26,18,18,42,16,14,10,17,8,6,19,24,19,42,29,32,33
2021,3,100,14,2,0,1,3,0,1,1,1,0,0,0,3,0,0,0,1,0,1
2021,4,총,"221,708","14,960","14,665","10,609","12,533","20,695","10,594","10,277","8,152","8,903","7,348","6,785","9,933","10,040","9,634","24,112","16,187","12,053","14,228"
2021,4,0,"15,974","1,466",855,688,652,"1,779",497,720,458,696,483,762,538,933,642,"1,932",851,"1,053",969
2021,4,10,"26,151","2,528","1,302",829,"1,755","4,063",661,874,583,859,681,598,674,"1,515","1,534","2,869","1,176","1,880","1,770"
2021,4,20,"30,018","1,625","2,433","1,694","2,201","2,286","1,387","1,343","1,052","1,114","1,071",785,"1,372","1,243","1,263","3,199","2,502","1,610","1,838"
2021,4,30,"28,202","1,366","2,668","1,968","1,370","1,705","1,506","1,501","1,084","1,188","1,074","1,302","1,383",883,851,"3,009","2,637","1,202","1,505"
2021,4,40,"37,393","3,110","2,210","1,508","1,992","4,007","1,604","1,665","1,207","1,534","1,126","1,094","1,506","1,893","1,729","4,098","2,557","2,125","2,428"
2021,4,50,"37,883","2,614","2,294","1,639","2,367","3,485","1,984","1,611","1,589","1,363","1,206",978,"1,730","1,771","1,807","4,141","2,574","2,151","2,579"
2021,4,60,"28,215","1,413","1,845","1,422","1,327","2,112","1,835","1,514","1,373","1,296","1,067",819,"1,641","1,091","1,150","2,883","2,212","1,311","1,904"
2021,4,70,"13,591",648,813,637,676,942,890,832,617,662,495,363,792,514,481,"1,506","1,274",541,908
2021,4,80,"3,873",165,221,204,173,273,214,202,178,171,137,79,275,174,157,434,374,149,293
2021,4,90,394,23,24,19,17,43,15,14,10,20,8,5,19,23,20,41,29,31,33
2021,4,100,14,2,0,1,3,0,1,1,1,0,0,0,3,0,0,0,1,0,1
2021,5,총,"221,431","14,918","14,666","10,563","12,527","20,653","10,588","10,279","8,112","8,892","7,340","6,776","9,900","10,013","9,623","24,143","16,163","12,074","14,201"
2021,5,0,"15,860","1,454",857,676,642,"1,753",494,712,449,691,476,759,534,934,641,"1,916",842,"1,056",974
2021,5,10,"26,098","2,514","1,298",828,"1,759","4,062",659,878,577,852,678,597,673,"1,502","1,533","2,866","1,184","1,875","1,763"
2021,5,20,"29,934","1,617","2,429","1,675","2,197","2,286","1,374","1,334","1,058","1,118","1,059",793,"1,365","1,232","1,254","3,217","2,497","1,606","1,823"
2021,5,30,"28,107","1,357","2,666","1,955","1,370","1,687","1,501","1,507","1,066","1,180","1,078","1,289","1,386",885,851,"2,989","2,633","1,207","1,500"
2021,5,40,"37,255","3,093","2,213","1,507","1,980","3,967","1,600","1,661","1,207","1,531","1,130","1,096","1,489","1,890","1,712","4,097","2,544","2,121","2,417"
2021,5,50,"37,872","2,601","2,285","1,632","2,377","3,499","1,982","1,613","1,578","1,361","1,203",974,"1,727","1,775","1,815","4,155","2,567","2,163","2,565"
