년도,월,나이,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020,4,총,"51,541","2,679",629,"3,602","2,706","1,483","1,477","2,027","2,135","4,309","1,718","2,516",858,"1,418","7,401","9,937","3,719","2,927"
2020,4,0,"2,975",75,10,157,77,25,43,51,47,242,43,65,18,34,626,"1,073",209,180
2020,4,10,"4,243",129,26,237,144,53,74,119,92,303,77,162,34,90,696,"1,376",329,302
2020,4,20,"5,369",203,59,308,247,109,129,147,152,423,109,193,50,169,"1,029","1,246",427,369
2020,4,30,"4,831",200,45,301,215,94,97,120,144,391,105,151,40,116,"1,014","1,086",371,341
2020,4,40,"6,995",317,69,484,291,133,166,240,196,598,202,233,80,177,"1,159","1,676",519,455
2020,4,50,"9,714",543,127,703,578,282,310,396,472,793,316,515,136,299,"1,324","1,626",738,556
2020,4,60,"9,809",662,149,745,656,436,343,524,598,881,456,618,262,273,"1,001","1,119",633,453
2020,4,70,"5,355",404,99,463,327,250,234,323,316,473,284,373,156,193,393,525,336,206
2020,4,80,"2,084",135,40,193,159,93,77,102,110,190,117,191,77,62,139,192,143,64
2020,4,90,161,11,5,10,12,8,3,5,7,15,8,15,5,4,20,18,14,1
2020,4,100,5,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
2020,5,총,"51,488","2,672",627,"3,608","2,713","1,487","1,470","2,020","2,137","4,275","1,717","2,507",851,"1,397","7,430","9,918","3,730","2,929"
2020,5,0,"2,964",76,10,158,78,27,42,50,46,242,43,65,18,34,627,"1,062",208,178
2020,5,10,"4,224",126,26,236,140,52,74,112,88,302,75,160,31,88,698,"1,384",329,303
2020,5,20,"5,342",203,59,306,247,108,125,146,155,418,110,192,52,168,"1,038","1,229",422,364
2020,5,30,"4,813",198,42,307,216,94,99,118,143,384,105,148,37,113,"1,015","1,085",372,337
2020,5,40,"6,973",312,67,483,283,133,167,241,197,590,202,232,80,172,"1,160","1,678",519,457
2020,5,50,"9,684",542,128,702,585,280,306,397,460,781,314,513,133,292,"1,330","1,627",739,555
2020,5,60,"9,866",665,152,747,661,441,347,524,609,883,458,622,262,271,"1,007","1,114",642,461
2020,5,70,"5,372",398,96,465,331,251,232,325,320,472,285,373,155,192,395,531,342,209
2020,5,80,"2,085",140,42,192,161,94,74,102,111,188,117,188,78,62,140,189,143,64
2020,5,90,160,12,5,11,11,7,3,5,7,15,7,14,5,4,20,19,14,1
2020,5,100,5,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
2020,6,총,"51,496","2,670",631,"3,612","2,718","1,491","1,465","2,018","2,149","4,266","1,715","2,511",856,"1,386","7,401","9,928","3,743","2,936"
2020,6,0,"2,963",76,10,161,78,29,39,51,44,242,41,67,18,34,627,"1,061",208,177
2020,6,10,"4,208",126,25,234,142,51,75,113,89,298,73,160,31,87,684,"1,381",332,307
2020,6,20,"5,314",200,60,301,248,109,126,142,156,411,111,191,50,160,"1,031","1,240",418,360
2020,6,30,"4,803",195,42,300,214,96,97,117,142,383,102,147,38,111,"1,022","1,078",378,341
2020,6,40,"6,962",313,69,481,286,129,162,241,195,586,203,235,80,173,"1,156","1,673",523,457
2020,6,50,"9,641",538,130,704,582,279,306,393,462,779,313,509,132,292,"1,312","1,622",734,554
2020,6,60,"9,956",674,153,759,666,444,350,528,618,887,458,629,267,269,"1,009","1,128",651,466
2020,6,70,"5,394",397,96,466,331,254,231,326,324,475,287,374,157,191,401,538,336,210
2020,6,80,"2,087",139,41,193,160,93,75,102,111,190,119,184,78,64,139,188,149,62
2020,6,90,162,12,5,12,11,7,3,5,7,15,7,15,5,3,20,19,14,2
2020,6,100,6,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0
2020,7,총,"51,484","2,667",636,"3,609","2,724","1,488","1,461","2,022","2,151","4,251","1,710","2,507",856,"1,380","7,444","9,889","3,767","2,922"
2020,7,0,"2,939",75,10,156,78,30,38,48,44,239,41,69,17,33,629,"1,047",210,175
2020,7,10,"4,198",126,26,234,141,52,76,115,86,291,72,158,29,86,694,"1,375",332,305
2020,7,20,"5,308",195,59,300,247,108,122,143,155,409,110,186,50,164,"1,040","1,243",422,355
2020,7,30,"4,784",193,44,294,217,95,98,116,142,377,102,146,39,109,"1,028","1,063",382,339
2020,7,40,"6,959",313,69,483,283,129,161,239,195,589,201,233,79,170,"1,163","1,669",526,457
2020,7,50,"9,627",535,130,707,584,276,306,400,462,767,314,511,131,288,"1,305","1,620",738,553
2020,7,60,"9,990",676,154,763,668,442,350,526,623,889,454,631,270,273,"1,023","1,124",661,463
2020,7,70,"5,417",398,97,467,332,256,230,326,325,484,291,377,158,188,402,539,336,211
2020,7,80,"2,092",144,42,192,163,93,77,103,111,189,117,180,78,63,141,190,147,62
2020,7,90,163,12,5,12,11,7,2,6,7,17,7,16,5,4,19,18,13,2
2020,7,100,7,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,0
2020,8,총,"51,453","2,663",639,"3,591","2,710","1,487","1,452","2,017","2,152","4,213","1,700","2,491",859,"1,370","7,591","9,863","3,753","2,902"
2020,8,0,"2,931",76,10,158,75,32,36,47,44,229,39,69,17,31,645,"1,044",204,175
2020,8,10,"4,182",129,25,234,135,52,72,113,83,288,71,153,30,84,706,"1,378",330,299
2020,8,20,"5,283",193,60,295,253,108,121,144,157,402,104,178,51,166,"1,056","1,229",411,355
2020,8,30,"4,783",196,42,290,211,90,96,115,142,370,103,149,39,106,"1,068","1,050",378,338
2020,8,40,"6,930",310,70,476,280,133,155,236,196,579,198,228,82,170,"1,177","1,669",527,444
2020,8,50,"9,595",521,130,706,580,274,306,397,462,759,313,509,128,285,"1,328","1,611",735,551
2020,8,60,"10,047",682,157,761,670,442,355,530,623,892,454,631,273,271,"1,044","1,131",669,462
2020,8,70,"5,437",397,98,468,332,255,231,327,329,487,293,378,156,188,403,542,338,215
2020,8,80,"2,092",146,43,190,163,93,76,102,109,189,117,181,78,63,144,190,147,61
2020,8,90,166,13,4,12,11,8,3,6,6,18,7,15,5,4,20,18,14,2
2020,8,100,7,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,0
2020,9,총,"51,425","2,662",640,"3,585","2,699","1,494","1,447","2,017","2,147","4,193","1,701","2,470",854,"1,375","7,651","9,860","3,749","2,881"
2020,9,0,"2,898",73,9,153,73,31,34,47,43,225,38,62,15,38,644,"1,035",208,170
2020,9,10,"4,166",132,25,236,132,54,72,109,84,281,71,152,30,81,701,"1,383",325,298
2020,9,20,"5,291",191,63,296,249,106,117,151,155,399,101,176,53,166,"1,074","1,231",411,352
2020,9,30,"4,776",198,43,283,206,92,94,115,140,364,104,146,40,105,"1,075","1,056",386,329
2020,9,40,"6,891",308,66,475,286,131,155,232,192,573,196,225,81,171,"1,185","1,652",521,442
2020,9,50,"9,574",516,129,707,576,274,304,391,464,767,316,500,130,286,"1,336","1,604",727,547
2020,9,60,"10,135",688,159,768,670,452,358,537,629,895,453,637,269,271,"1,062","1,146",675,466
2020,9,70,"5,427",393,98,463,336,253,228,328,326,490,296,376,154,187,407,540,337,215
2020,9,80,"2,090",150,44,191,160,90,80,101,107,181,118,181,78,64,147,194,144,60
2020,9,90,170,13,4,12,11,11,4,6,6,18,7,15,4,4,20,18,15,2
2020,9,100,7,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,0
2020,10,총,"51,422","2,657",642,"3,578","2,696","1,487","1,449","2,016","2,151","4,190","1,701","2,462",851,"1,359","7,703","9,876","3,752","2,852"
2020,10,0,"2,885",75,10,154,69,30,33,48,44,224,39,65,14,34,637,"1,040",205,164
2020,10,10,"4,157",131,25,234,134,54,72,110,81,280,71,148,29,82,707,"1,387",320,292
2020,10,20,"5,300",192,63,294,244,104,119,150,158,401,102,180,56,164,"1,072","1,235",415,351
2020,10,30,"4,742",192,44,286,200,89,91,111,145,359,103,144,39,100,"1,083","1,050",383,323
2020,10,40,"6,892",306,66,471,289,132,158,228,190,577,196,222,81,166,"1,199","1,649",525,437
2020,10,50,"9,548",512,128,701,571,267,305,396,462,763,314,499,129,285,"1,350","1,596",730,540
2020,10,60,"10,193",691,161,777,680,459,359,538,627,890,454,631,269,274,"1,073","1,164",675,471
2020,10,70,"5,439",397,97,460,337,253,226,326,329,496,297,373,153,184,414,545,338,214
2020,10,80,"2,089",148,45,190,160,89,81,103,108,182,117,185,77,64,147,192,145,56
2020,10,90,170,13,3,10,12,10,4,6,6,18,7,15,4,4,21,17,16,4
2020,10,100,7,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,0,0
2020,11,총,"51,374","2,657",640,"3,582","2,693","1,485","1,442","2,021","2,141","4,198","1,697","2,462",852,"1,354","7,753","9,835","3,716","2,846"
2020,11,0,"2,863",72,9,154,67,31,32,47,44,224,40,61,13,34,630,"1,040",200,165
2020,11,10,"4,140",130,26,234,131,52,70,117,79,278,69,145,29,79,722,"1,382",309,288
2020,11,20,"5,288",193,65,299,247,105,119,149,153,400,100,182,58,159,"1,077","1,217",411,354
2020,11,30,"4,710",190,43,286,199,85,87,110,145,362,104,142,38,100,"1,084","1,038",377,320
2020,11,40,"6,889",304,66,463,288,132,157,231,187,581,193,221,80,168,"1,216","1,650",516,436
2020,11,50,"9,508",513,130,702,562,267,305,390,454,767,313,497,128,278,"1,365","1,575",721,541
2020,11,60,"10,239",694,156,779,684,461,361,543,633,890,457,637,270,283,"1,073","1,166",683,469
2020,11,70,"5,463",402,97,462,341,252,224,323,330,495,297,378,152,182,421,558,337,212
2020,11,80,"2,095",146,45,192,162,89,82,105,109,184,116,185,79,65,143,191,145,57
2020,11,90,170,12,3,10,12,11,4,6,6,17,7,14,5,3,22,17,17,4
2020,11,100,9,1,0,1,0,0,1,0,1,0,1,0,0,3,0,1,0,0
2020,12,총,"51,356","2,660",643,"3,571","2,695","1,475","1,443","2,034","2,134","4,195","1,692","2,447",855,"1,347","7,802","9,834","3,685","2,844"
2020,12,0,"2,856",76,9,153,70,31,32,48,44,226,36,59,13,35,626,"1,047",188,163
2020,12,10,"4,117",130,26,233,132,49,69,122,79,271,70,138,30,75,727,"1,378",306,282
2020,12,20,"5,296",191,67,297,245,102,120,149,148,402,107,179,59,159,"1,091","1,210",406,364
2020,12,30,"4,701",192,43,281,197,84,84,112,144,360,97,143,38,100,"1,099","1,034",376,317
2020,12,40,"6,860",305,65,463,287,132,157,228,182,577,195,217,79,168,"1,212","1,644",514,435
2020,12,50,"9,481",513,131,696,563,259,303,390,447,768,308,492,128,274,"1,378","1,573",719,539
2020,12,60,"10,273",694,157,777,683,457,368,549,644,897,456,639,269,283,"1,076","1,180",674,470
2020,12,70,"5,485",398,97,465,344,261,221,324,329,495,297,381,155,183,427,557,338,213
2020,12,80,"2,107",147,45,194,161,90,85,106,109,181,119,185,79,64,144,192,149,57
2020,12,90,171,13,3,11,13,10,3,6,7,18,6,14,5,3,22,18,15,4
2020,12,100,9,1,0,1,0,0,1,0,1,0,1,0,0,3,0,1,0,0
2021,1,총,"51,291","2,655",648,"3,575","2,692","1,478","1,435","2,026","2,123","4,182","1,695","2,440",861,"1,332","7,835","9,805","3,671","2,838"
2021,1,0,"2,841",75,9,153,69,31,31,50,43,227,39,59,13,33,633,"1,037",184,155
2021,1,10,"4,100",130,27,229,128,49,69,117,78,267,68,141,30,75,729,"1,373",306,284
2021,1,20,"5,257",188,72,296,248,100,119,144,147,395,103,176,61,153,"1,070","1,210",405,370
2021,1,30,"4,689",194,45,283,200,85,83,107,138,355,99,139,37,97,"1,108","1,033",375,311
2021,1,40,"6,830",306,64,459,282,134,153,228,185,573,191,209,81,164,"1,230","1,636",505,430
2021,1,50,"9,467",508,131,702,558,258,305,393,443,769,309,494,126,271,"1,381","1,566",720,533
2021,1,60,"10,294",690,155,778,681,457,363,551,643,904,455,642,270,286,"1,089","1,182",673,475
2021,1,70,"5,516",403,98,472,346,263,224,322,327,494,302,379,159,183,430,557,338,219
2021,1,80,"2,111",147,44,190,166,90,85,107,111,180,122,187,78,64,141,192,150,57
2021,1,90,177,13,3,12,14,11,2,7,7,18,6,14,6,4,24,18,14,4
2021,1,100,9,1,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,0
2021,2,총,"51,214","2,651",646,"3,573","2,675","1,473","1,434","2,022","2,126","4,157","1,688","2,436",862,"1,324","7,868","9,775","3,668","2,836"
2021,2,0,"2,818",74,9,156,67,30,31,47,43,224,39,57,15,31,636,"1,016",188,155
2021,2,10,"4,081",127,27,227,128,49,69,124,77,267,67,140,30,75,732,"1,366",298,278
2021,2,20,"5,212",190,72,292,240,96,118,136,142,389,100,171,60,150,"1,072","1,208",405,371
2021,2,30,"4,650",185,44,279,195,85,82,106,140,349,98,137,39,97,"1,105","1,025",372,312
2021,2,40,"6,822",311,63,462,283,130,155,228,179,567,189,209,80,167,"1,232","1,631",509,427
2021,2,50,"9,422",504,131,702,552,263,300,388,445,761,304,485,125,264,"1,387","1,562",713,536
2021,2,60,"10,360",693,155,772,687,452,369,552,653,908,458,653,272,287,"1,102","1,189",680,478
2021,2,70,"5,530",406,97,482,346,267,223,325,328,489,303,380,155,180,435,560,337,217
2021,2,80,"2,131",147,45,188,163,89,82,109,111,185,123,191,80,67,144,199,151,57
2021,2,90,179,13,3,12,14,12,4,7,7,18,6,13,6,4,23,18,14,5
2021,2,100,9,1,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,0
2021,3,총,"51,206","2,647",648,"3,563","2,674","1,470","1,434","2,025","2,116","4,157","1,692","2,443",868,"1,309","7,927","9,740","3,670","2,823"
2021,3,0,"2,823",76,9,154,68,27,32,46,42,225,40,55,15,32,651,"1,008",195,148
2021,3,10,"4,054",123,29,216,126,47,70,131,78,262,71,144,30,74,733,"1,341",301,278
2021,3,20,"5,205",189,73,295,241,97,114,134,135,397,98,169,63,149,"1,084","1,203",398,366
2021,3,30,"4,640",188,44,274,199,84,83,101,141,346,98,138,37,96,"1,108","1,022",370,311
2021,3,40,"6,804",303,63,461,285,130,156,230,178,565,189,207,81,161,"1,236","1,625",511,423
2021,3,50,"9,394",507,128,698,546,259,298,390,436,758,300,482,120,258,"1,395","1,571",709,539
2021,3,60,"10,411",688,156,778,687,455,373,551,654,915,467,663,279,286,"1,113","1,189",679,478
2021,3,70,"5,551",410,98,489,343,270,222,326,335,479,298,383,155,180,439,566,341,217
2021,3,80,"2,148",151,45,188,166,89,81,109,109,191,126,189,81,68,145,199,153,58
2021,3,90,170,11,3,10,13,12,4,7,7,19,4,13,7,4,23,15,13,5
2021,3,100,6,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
2021,4,총,"51,224","2,666",650,"3,561","2,681","1,466","1,442","2,014","2,105","4,142","1,690","2,446",872,"1,299","7,949","9,747","3,667","2,827"
2021,4,0,"2,797",78,9,151,65,28,34,47,41,221,40,52,16,32,641,995,196,151
2021,4,10,"4,041",121,29,213,125,46,68,125,75,259,71,147,30,73,735,"1,343",300,281
2021,4,20,"5,201",193,72,293,244,100,116,126,131,393,93,171,61,147,"1,082","1,212",398,369
2021,4,30,"4,618",191,44,275,197,80,82,99,137,341,98,139,39,96,"1,116","1,014",369,301
2021,4,40,"6,802",305,66,462,287,129,160,225,180,558,193,204,81,161,"1,235","1,630",503,423
2021,4,50,"9,379",498,127,695,547,258,297,391,432,759,301,474,120,255,"1,406","1,574",706,539
2021,4,60,"10,476",703,157,784,691,451,377,556,655,915,463,673,280,281,"1,129","1,193",691,477
2021,4,70,"5,572",412,99,488,346,273,221,329,338,482,300,382,157,181,436,568,336,224
2021,4,80,"2,162",153,44,189,166,89,82,109,107,195,126,191,82,69,146,202,155,57
2021,4,90,171,11,3,11,13,12,4,7,8,19,4,13,6,4,23,15,13,5
2021,4,100,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2021,5,총,"51,149","2,639",643,"3,538","2,694","1,470","1,441","2,022","2,106","4,139","1,677","2,452",867,"1,288","7,958","9,726","3,667","2,822"
2021,5,0,"2,790",76,9,147,73,28,34,49,40,222,38,51,16,31,641,987,199,149
2021,5,10,"4,029",120,28,214,124,43,68,125,73,258,71,147,29,77,732,"1,349",294,277
2021,5,20,"5,184",188,71,291,243,99,110,126,130,396,93,171,60,145,"1,083","1,202",406,370
2021,5,30,"4,608",186,41,273,203,82,85,96,138,338,97,141,38,95,"1,118","1,009",368,300
2021,5,40,"6,783",301,67,459,286,129,159,227,178,549,190,203,80,163,"1,241","1,633",499,419
2021,5,50,"9,346",496,126,693,546,257,292,389,426,762,300,472,119,251,"1,398","1,570",707,542
2021,5,60,"10,503",701,154,778,692,457,384,565,658,921,460,675,282,280,"1,134","1,192",693,477
2021,5,70,"5,574",408,99,485,348,274,221,331,345,482,297,388,154,174,444,567,333,224
2021,5,80,"2,153",151,45,187,165,89,83,107,109,191,126,191,83,68,144,201,154,59
2021,5,90,174,11,3,11,14,12,4,7,8,20,4,13,6,4,23,15,14,5
2021,5,100,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2021,6,총,"51,109","2,636",640,"3,531","2,680","1,476","1,444","2,011","2,109","4,145","1,679","2,437",861,"1,293","7,971","9,703","3,659","2,834"
2021,6,0,"2,773",72,9,148,71,29,35,46,40,223,37,49,16,35,644,977,196,146
2021,6,10,"4,020",122,28,213,125,42,68,120,71,264,70,146,27,76,730,"1,349",292,277
2021,6,20,"5,167",189,71,290,236,98,112,127,129,396,90,171,58,145,"1,079","1,191",405,380
2021,6,30,"4,586",181,40,269,205,84,82,96,136,337,99,136,39,95,"1,122",996,367,302
2021,6,40,"6,789",299,66,457,286,131,162,219,179,547,192,207,79,163,"1,245","1,641",498,418
2021,6,50,"9,286",497,125,688,534,260,290,394,423,757,299,468,119,250,"1,392","1,553",699,538
2021,6,60,"10,580",704,152,784,698,457,388,569,669,924,463,672,279,280,"1,149","1,205",702,485
2021,6,70,"5,575",411,102,484,346,272,218,330,342,486,298,385,157,178,442,568,330,226
2021,6,80,"2,155",149,44,187,165,91,84,103,112,191,126,190,81,68,145,207,155,57
2021,6,90,173,11,3,11,14,12,4,7,7,20,4,13,6,3,23,15,15,5
2021,6,100,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2021,7,총,"51,065","2,637",635,"3,536","2,666","1,474","1,439","2,001","2,112","4,143","1,681","2,426",861,"1,289","7,982","9,683","3,666","2,834"
2021,7,0,"2,757",73,7,143,71,28,34,47,40,219,38,48,16,33,649,968,198,145
2021,7,10,"3,988",121,27,211,124,42,65,111,72,262,70,145,27,77,728,"1,344",289,273
2021,7,20,"5,147",189,68,293,232,95,113,130,129,392,89,167,56,142,"1,075","1,189",408,380
2021,7,30,"4,571",182,40,270,202,87,81,91,140,329,99,136,40,95,"1,117",994,369,299
2021,7,40,"6,751",294,66,445,281,132,160,219,176,555,191,205,77,160,"1,252","1,624",495,419
2021,7,50,"9,277",492,127,698,533,258,288,387,423,755,298,464,119,248,"1,397","1,556",695,539
2021,7,60,"10,633",715,151,791,701,457,387,570,667,929,463,672,279,286,"1,150","1,214",711,490
2021,7,70,"5,608",411,102,488,345,271,221,335,346,492,303,387,160,175,446,570,330,226
2021,7,80,"2,153",148,44,186,163,92,84,104,111,190,125,189,80,70,144,209,156,58
2021,7,90,176,11,3,11,14,12,5,7,7,20,4,13,7,3,24,15,15,5
2021,7,100,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2021,8,총,"51,010","2,651",635,"3,523","2,646","1,471","1,441","1,995","2,099","4,128","1,679","2,410",854,"1,286","8,036","9,653","3,671","2,832"
2021,8,0,"2,756",71,7,144,69,27,34,47,41,213,38,48,16,32,669,958,201,141
2021,8,10,"3,968",122,27,212,118,41,64,105,71,256,71,140,25,79,732,"1,342",293,270
2021,8,20,"5,128",189,72,288,236,94,111,133,129,394,89,165,57,142,"1,081","1,169",401,378
2021,8,30,"4,529",186,38,263,194,86,83,91,136,326,99,136,36,92,"1,119",989,366,289
2021,8,40,"6,746",300,65,440,278,130,159,218,176,549,186,204,78,164,"1,249","1,622",501,427
2021,8,50,"9,244",488,125,694,525,261,286,382,413,758,299,454,119,244,"1,414","1,552",692,538
2021,8,60,"10,680",721,153,796,707,458,388,571,667,925,467,674,276,284,"1,158","1,223",712,500
2021,8,70,"5,632",415,101,491,344,273,227,336,346,497,299,387,159,174,449,573,336,225
2021,8,80,"2,144",147,44,184,159,88,83,105,112,190,126,188,80,72,143,209,155,59
2021,8,90,178,11,3,11,16,13,5,7,7,20,4,13,8,3,22,16,14,5
2021,8,100,5,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2021,9,총,"50,907","2,639",634,"3,507","2,642","1,465","1,432","1,982","2,106","4,122","1,671","2,392",848,"1,276","8,045","9,644","3,665","2,837"
2021,9,0,"2,746",71,7,143,67,26,32,47,41,206,39,48,15,31,666,964,202,141
2021,9,10,"3,939",121,26,208,115,39,63,101,75,256,66,136,25,79,725,"1,340",292,272
2021,9,20,"5,079",184,72,281,234,90,109,130,126,394,92,163,55,140,"1,083","1,158",393,375
2021,9,30,"4,512",180,37,259,196,85,78,92,138,326,101,134,35,91,"1,126",982,364,288
2021,9,40,"6,699",299,66,435,276,127,157,209,176,548,182,200,78,161,"1,245","1,615",498,427
2021,9,50,"9,250",487,121,693,526,259,288,381,417,753,299,451,117,247,"1,412","1,563",694,542
2021,9,60,"10,699",719,157,801,701,463,390,568,669,928,463,668,277,281,"1,168","1,223",720,503
2021,9,70,"5,636",422,102,489,348,275,226,340,343,495,294,387,161,172,454,570,334,224
2021,9,80,"2,163",145,42,185,163,88,84,107,113,196,130,190,78,71,144,213,154,60
2021,9,90,179,10,4,13,16,13,4,7,7,20,4,14,7,3,22,16,14,5
2021,9,100,5,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2021,10,총,"50,916","2,635",637,"3,506","2,639","1,460","1,423","1,962","2,124","4,124","1,673","2,391",853,"1,276","8,050","9,650","3,673","2,840"
2021,10,0,"2,731",71,6,136,67,26,32,46,39,207,39,49,15,30,658,967,198,145
2021,10,10,"3,923",118,27,207,119,39,60,89,87,252,66,137,25,79,724,"1,336",293,265
2021,10,20,"5,077",189,73,279,229,87,110,130,123,394,94,163,55,140,"1,077","1,164",396,374
2021,10,30,"4,471",177,39,254,194,85,74,89,137,327,98,132,37,92,"1,122",971,355,288
2021,10,40,"6,684",294,65,429,272,122,155,204,182,546,185,195,77,158,"1,256","1,615",505,424
2021,10,50,"9,249",486,121,695,526,258,287,388,416,745,299,451,118,249,"1,417","1,562",691,540
2021,10,60,"10,753",721,156,815,709,463,390,567,670,937,459,670,278,281,"1,169","1,235",719,514
2021,10,70,"5,669",420,105,490,343,279,228,336,345,499,298,389,161,174,461,570,345,226
2021,10,80,"2,175",148,41,188,164,88,82,105,117,198,130,191,80,70,143,214,157,59
2021,10,90,179,10,4,13,16,13,4,8,7,19,4,13,7,3,23,16,14,5
2021,10,100,5,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2021,11,총,"50,910","2,633",634,"3,518","2,630","1,464","1,424","1,948","2,127","4,130","1,667","2,389",855,"1,270","8,072","9,646","3,659","2,844"
