년도,월,나이,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동,경기도 평택시 고덕동
2020,4,90,"1,389",147,112,72,75,42,20,63,35,51,97,73,40,30,70,32,38,62,39,15,99,98,25,54,,
2020,4,100,165,33,10,4,9,3,2,3,2,3,10,9,4,4,6,6,13,8,11,3,6,11,1,4,,
2020,5,총,"253,002","13,453","21,383","9,742","12,141","5,141","1,649","9,102","3,182","2,566","21,556","12,950","9,278","5,684","11,058","3,643","2,857","11,158","5,218","1,968","37,518","26,650","11,941","13,164",,
2020,5,0,"23,729",756,"2,144","1,031","1,961",260,62,"1,114",154,79,"1,509",730,"1,134",363,855,278,87,545,299,65,"4,736","2,780","1,696","1,091",,
2020,5,10,"25,527",822,"2,927",940,"1,430",390,91,811,243,142,"2,490","1,200",923,490,"1,095",234,149,872,341,100,"4,109","2,915","1,471","1,342",,
2020,5,20,"32,203","1,248","2,632","1,060",971,603,144,"1,128",316,197,"3,115","1,707","1,185",973,"1,357",450,321,"1,789",713,258,"4,993","3,589","1,526","1,928",,
2020,5,30,"35,815","1,309","2,721","1,388","2,376",490,141,"1,599",248,155,"2,465","1,386","1,568",895,"1,328",551,237,"1,278",642,157,"6,982","3,980","2,241","1,678",,
2020,5,40,"42,979","1,749","4,258","1,619","2,140",722,169,"1,371",366,241,"3,903","2,056","1,579",883,"1,797",563,323,"1,668",785,251,"7,129","4,856","2,393","2,158",,
2020,5,50,"40,418","2,383","3,078","1,444","1,277",964,301,"1,381",577,448,"3,937","2,447","1,501",880,"2,030",531,488,"2,123",904,392,"5,091","4,303","1,449","2,489",,
2020,5,60,"26,103","2,402","1,762","1,119",993,828,316,838,548,540,"2,117","1,705",730,586,"1,297",500,521,"1,462",735,365,"2,505","2,274",685,"1,275",,
2020,5,70,"15,819","1,650","1,100",647,544,524,236,484,391,409,"1,227","1,087",385,407,819,343,443,909,479,244,"1,214","1,225",296,756,,
2020,5,80,"8,846",953,642,417,365,313,168,311,300,300,688,548,229,173,403,154,237,442,267,118,652,620,160,386,,
2020,5,90,"1,396",147,109,73,75,42,19,62,37,52,95,75,40,30,71,33,38,62,42,15,101,97,24,57,,
2020,5,100,167,34,10,4,9,5,2,3,2,3,10,9,4,4,6,6,13,8,11,3,6,11,0,4,,
2020,6,총,"253,698","13,480","21,422","9,750","12,211","5,137","1,643","9,472","3,186","2,560","21,491","12,877","9,337","5,701","11,052","3,666","2,850","11,129","5,194","1,975","37,718","26,736","11,961","13,150",,
2020,6,0,"23,733",751,"2,136","1,022","1,964",259,62,"1,168",153,77,"1,495",720,"1,136",356,851,283,80,545,297,66,"4,736","2,789","1,696","1,091",,
2020,6,10,"25,556",828,"2,933",945,"1,442",387,92,837,246,139,"2,481","1,180",927,488,"1,099",234,145,861,336,98,"4,130","2,927","1,469","1,332",,
2020,6,20,"32,297","1,243","2,649","1,068",975,604,142,"1,181",315,193,"3,109","1,686","1,206",987,"1,344",457,321,"1,786",705,261,"5,012","3,588","1,532","1,933",,
2020,6,30,"35,895","1,317","2,710","1,382","2,381",486,135,"1,681",251,155,"2,440","1,390","1,576",898,"1,314",550,241,"1,275",642,158,"7,013","3,977","2,242","1,681",,
2020,6,40,"43,120","1,751","4,274","1,625","2,169",721,171,"1,441",362,241,"3,883","2,044","1,594",880,"1,800",567,317,"1,658",781,248,"7,164","4,890","2,395","2,144",,
2020,6,50,"40,439","2,381","3,083","1,437","1,273",955,301,"1,426",573,445,"3,925","2,431","1,499",883,"2,047",535,493,"2,114",893,386,"5,113","4,310","1,458","2,478",,
2020,6,60,"26,381","2,418","1,782","1,132","1,010",842,318,866,554,545,"2,129","1,705",742,594,"1,298",502,524,"1,478",745,378,"2,556","2,294",688,"1,281",,
2020,6,70,"15,860","1,657","1,096",647,552,524,234,491,392,408,"1,232","1,091",392,408,817,345,443,900,475,243,"1,229","1,226",296,762,,
2020,6,80,"8,850",952,641,416,360,312,168,313,300,299,692,548,225,170,404,154,234,446,266,117,657,628,161,387,,
2020,6,90,"1,402",147,108,72,78,43,19,65,38,55,95,73,36,33,71,33,39,58,43,17,102,96,24,57,,
2020,6,100,165,35,10,4,7,4,1,3,2,3,10,9,4,4,7,6,13,8,11,3,6,11,0,4,,
2020,7,총,"254,327","13,491","21,405","9,727","12,294","5,132","1,639","9,677","3,174","2,553","21,489","12,774","9,403","5,742","11,060","3,716","2,850","11,119","5,182","1,982","37,994","26,833","11,915","13,176",,
2020,7,0,"23,771",749,"2,122","1,010","1,971",260,60,"1,209",149,75,"1,486",708,"1,154",363,844,295,75,542,295,64,"4,768","2,803","1,677","1,092",,
2020,7,10,"25,557",832,"2,938",942,"1,469",379,92,850,243,143,"2,464","1,165",934,485,"1,092",237,140,857,331,93,"4,162","2,917","1,468","1,324",,
2020,7,20,"32,388","1,240","2,634","1,074",979,605,139,"1,208",312,194,"3,119","1,667","1,202",993,"1,358",463,322,"1,780",700,266,"5,049","3,614","1,530","1,940",,
2020,7,30,"35,998","1,313","2,694","1,351","2,380",481,135,"1,740",247,154,"2,437","1,370","1,596",908,"1,298",568,248,"1,290",642,164,"7,076","3,994","2,228","1,684",,
2020,7,40,"43,192","1,751","4,277","1,633","2,207",728,174,"1,463",362,240,"3,853","2,022","1,611",885,"1,808",566,317,"1,645",775,246,"7,207","4,894","2,380","2,148",,
2020,7,50,"40,516","2,375","3,093","1,438","1,270",955,291,"1,454",565,441,"3,932","2,430","1,507",879,"2,051",540,487,"2,107",892,386,"5,155","4,324","1,462","2,482",,
2020,7,60,"26,539","2,428","1,780","1,133","1,021",835,319,871,556,550,"2,169","1,701",739,606,"1,313",504,531,"1,489",745,380,"2,572","2,307",693,"1,297",,
2020,7,70,"15,915","1,659","1,107",657,550,529,237,495,398,401,"1,238","1,082",394,413,810,349,446,897,482,242,"1,239","1,238",292,760,,
2020,7,80,"8,874",958,644,412,363,311,171,320,298,296,689,548,226,172,408,153,232,446,266,120,656,637,161,387,,
2020,7,90,"1,413",151,106,73,78,45,20,64,42,56,92,73,36,34,71,35,38,58,43,18,104,94,24,58,,
