년도,월,나이,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021,6,60,"4,187",795,766,675,849,695,407
2021,6,70,"1,769",305,299,268,325,333,239
2021,6,80,745,140,134,146,143,106,76
2021,6,90,94,15,17,24,20,12,6
2021,6,100,3,1,0,2,0,0,0
2021,7,총,"34,151","5,322","7,548","5,249","7,456","4,864","3,712"
2021,7,0,"3,148",425,937,383,813,307,283
2021,7,10,"3,487",482,923,575,734,322,451
2021,7,20,"4,891",838,902,843,"1,064",705,539
2021,7,30,"4,868",689,942,674,"1,195",884,484
2021,7,40,"5,084",669,"1,373",670,"1,038",755,579
2021,7,50,"5,823",965,"1,240",982,"1,255",737,644
2021,7,60,"4,233",791,779,684,868,703,408
2021,7,70,"1,773",307,297,267,326,333,243
2021,7,80,745,141,136,144,142,106,76
2021,7,90,96,14,19,25,21,12,5
2021,7,100,3,1,0,2,0,0,0
2021,8,총,"34,223","5,328","7,573","5,254","7,473","4,878","3,717"
2021,8,0,"3,155",421,948,388,811,308,279
2021,8,10,"3,465",480,910,575,727,322,451
2021,8,20,"4,907",838,912,834,"1,071",711,541
2021,8,30,"4,891",690,942,676,"1,207",890,486
2021,8,40,"5,073",668,"1,366",663,"1,045",751,580
2021,8,50,"5,840",966,"1,251",991,"1,246",740,646
2021,8,60,"4,265",800,791,688,874,704,408
2021,8,70,"1,771",306,298,268,326,332,241
2021,8,80,757,143,136,145,146,108,79
2021,8,90,96,15,19,24,20,12,6
2021,8,100,3,1,0,2,0,0,0
2021,9,총,"34,275","5,306","7,607","5,283","7,485","4,871","3,723"
2021,9,0,"3,146",413,949,388,812,302,282
2021,9,10,"3,465",480,913,571,727,321,453
2021,9,20,"4,911",829,926,848,"1,062",702,544
2021,9,30,"4,912",693,930,690,"1,212",903,484
2021,9,40,"5,078",661,"1,387",664,"1,052",741,573
2021,9,50,"5,847",959,"1,254",995,"1,243",747,649
2021,9,60,"4,281",805,796,688,878,704,410
2021,9,70,"1,775",306,299,267,332,332,239
2021,9,80,763,145,134,147,147,107,83
2021,9,90,94,14,19,23,20,12,6
2021,9,100,3,1,0,2,0,0,0
2021,10,총,"34,357","5,327","7,646","5,291","7,503","4,857","3,733"
2021,10,0,"3,149",418,953,384,814,297,283
2021,10,10,"3,448",476,916,564,722,321,449
2021,10,20,"4,926",833,930,843,"1,070",695,555
2021,10,30,"4,947",702,941,707,"1,208",900,489
2021,10,40,"5,100",666,"1,394",672,"1,056",746,566
2021,10,50,"5,846",955,"1,258",993,"1,248",741,651
2021,10,60,"4,296",808,803,688,883,705,409
2021,10,70,"1,784",308,296,272,335,331,242
2021,10,80,763,146,136,142,147,109,83
2021,10,90,95,14,19,24,20,12,6
2021,10,100,3,1,0,2,0,0,0
2021,11,총,"35,058","5,294","7,855","5,879","7,483","4,855","3,692"
2021,11,0,"3,243",419,983,446,813,300,282
2021,11,10,"3,490",471,945,605,712,324,433
2021,11,20,"5,010",815,962,934,"1,070",688,541
2021,11,30,"5,110",698,978,814,"1,220",903,497
2021,11,40,"5,187",671,"1,409",763,"1,048",745,551
2021,11,50,"5,942",943,"1,305","1,074","1,241",737,642
2021,11,60,"4,398",809,808,780,880,704,417
2021,11,70,"1,796",305,301,290,332,330,238
2021,11,80,778,148,142,145,146,112,85
2021,11,90,101,14,22,26,21,12,6
2021,11,100,3,1,0,2,0,0,0
2021,12,총,"36,092","5,286","8,224","6,707","7,408","4,815","3,652"
2021,12,0,"3,378",424,"1,048",544,796,288,278
2021,12,10,"3,588",467,999,682,703,321,416
2021,12,20,"5,117",816,"1,013","1,027","1,042",681,538
2021,12,30,"5,310",697,"1,049",936,"1,224",899,505
2021,12,40,"5,324",668,"1,462",886,"1,036",736,536
2021,12,50,"6,103",941,"1,363","1,197","1,229",732,641
2021,12,60,"4,549",809,821,923,877,708,411
2021,12,70,"1,832",303,305,331,334,326,233
2021,12,80,786,146,142,151,146,113,88
2021,12,90,102,14,22,28,21,11,6
2021,12,100,3,1,0,2,0,0,0
