년도,월,나이,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020,7,0,"1,558",464,49,479,36,50,130,63,131,37,56,63
2020,7,10,"2,311",677,22,715,56,75,174,67,265,46,106,108
2020,7,20,"2,902",596,56,897,87,119,225,131,280,131,185,195
2020,7,30,"2,905",672,99,868,94,111,265,108,263,107,144,174
2020,7,40,"4,490","1,026",101,"1,348",137,169,352,157,458,196,260,286
2020,7,50,"7,506","1,243",171,"1,799",281,341,725,447,787,440,596,676
2020,7,60,"9,431","1,218",270,"2,066",440,528,930,571,"1,052",515,841,"1,000"
2020,7,70,"6,577",768,192,"1,316",305,434,641,402,748,355,667,749
2020,7,80,"4,233",469,147,778,171,272,474,255,470,271,420,506
2020,7,90,580,70,15,96,23,46,57,29,82,36,66,60
2020,7,100,19,5,2,3,0,0,3,0,2,0,4,0
2020,8,총,"42,480","7,257","1,115","10,317","1,625","2,139","3,971","2,227","4,540","2,129","3,349","3,811"
2020,8,0,"1,550",472,49,464,36,52,132,62,128,35,56,64
2020,8,10,"2,303",682,21,705,56,74,174,63,266,47,106,109
2020,8,20,"2,888",600,56,885,88,119,221,136,278,129,182,194
2020,8,30,"2,887",676,96,858,94,108,263,108,263,102,144,175
2020,8,40,"4,475","1,025",97,"1,347",135,164,351,153,461,192,263,287
2020,8,50,"7,458","1,235",169,"1,791",277,343,716,441,780,440,599,667
2020,8,60,"9,497","1,250",268,"2,074",440,530,934,573,"1,057",522,845,"1,004"
2020,8,70,"6,589",772,193,"1,318",306,429,648,403,751,355,665,749
2020,8,80,"4,222",464,148,778,168,272,471,258,471,271,419,502
2020,8,90,592,76,16,94,25,48,58,30,83,36,66,60
2020,8,100,19,5,2,3,0,0,3,0,2,0,4,0
2020,9,총,"42,432","7,229","1,112","10,350","1,622","2,127","3,969","2,236","4,515","2,122","3,347","3,803"
2020,9,0,"1,562",472,49,469,37,52,136,63,130,34,58,62
2020,9,10,"2,276",670,21,707,53,72,172,63,261,46,104,107
2020,9,20,"2,874",602,53,889,89,118,217,140,264,125,182,195
2020,9,30,"2,887",673,96,861,93,107,265,106,263,103,145,175
2020,9,40,"4,450","1,015",97,"1,338",135,162,353,153,453,187,267,290
2020,9,50,"7,412","1,221",164,"1,795",277,336,708,438,775,444,595,659
2020,9,60,"9,527","1,252",274,"2,091",442,530,933,582,"1,054",523,844,"1,002"
2020,9,70,"6,592",776,193,"1,319",303,432,649,404,755,353,661,747
2020,9,80,"4,231",466,146,781,168,271,472,257,473,271,421,505
2020,9,90,602,77,17,97,25,47,61,30,85,36,66,61
2020,9,100,19,5,2,3,0,0,3,0,2,0,4,0
2020,10,총,"42,409","7,230","1,110","10,337","1,627","2,117","3,967","2,234","4,522","2,119","3,342","3,804"
2020,10,0,"1,554",470,43,473,38,46,137,63,133,34,57,60
2020,10,10,"2,284",671,25,713,53,70,166,63,266,44,105,108
2020,10,20,"2,868",606,55,874,88,113,221,136,271,124,185,195
2020,10,30,"2,843",659,92,858,92,105,261,106,256,101,141,172
2020,10,40,"4,462","1,017",96,"1,341",139,164,349,155,460,188,264,289
2020,10,50,"7,364","1,221",166,"1,778",275,336,699,429,774,441,590,655
2020,10,60,"9,563","1,257",276,"2,101",442,531,948,590,"1,047",522,842,"1,007"
2020,10,70,"6,592",779,191,"1,321",304,432,647,405,751,356,662,744
2020,10,80,"4,254",469,148,778,171,273,473,257,478,273,421,513
2020,10,90,606,76,16,97,25,47,63,30,84,36,71,61
2020,10,100,19,5,2,3,0,0,3,0,2,0,4,0
2020,11,총,"42,332","7,202","1,111","10,318","1,630","2,122","3,952","2,221","4,530","2,113","3,338","3,795"
2020,11,0,"1,538",468,43,463,42,45,137,63,128,34,55,60
2020,11,10,"2,279",662,25,721,53,69,164,63,267,40,106,109
2020,11,20,"2,847",604,56,865,86,116,215,134,271,123,184,193
2020,11,30,"2,811",653,90,846,94,102,253,105,252,103,141,172
2020,11,40,"4,445","1,015",95,"1,342",139,161,349,150,460,185,264,285
2020,11,50,"7,326","1,206",167,"1,773",270,334,694,432,777,441,583,649
2020,11,60,"9,616","1,266",280,"2,109",445,539,955,584,"1,056",520,850,"1,012"
2020,11,70,"6,583",782,189,"1,315",304,433,644,405,758,354,658,741
2020,11,80,"4,257",465,147,781,172,277,475,256,474,276,421,513
2020,11,90,610,76,17,100,25,46,63,29,85,37,71,61
2020,11,100,20,5,2,3,0,0,3,0,2,0,5,0
2020,12,총,"42,263","7,186","1,119","10,320","1,620","2,127","3,935","2,227","4,507","2,110","3,327","3,785"
2020,12,0,"1,526",462,43,462,40,46,130,63,128,34,58,60
2020,12,10,"2,254",662,26,712,53,69,161,61,257,40,106,107
2020,12,20,"2,865",604,59,869,83,117,218,139,274,126,179,197
2020,12,30,"2,777",641,92,843,89,104,251,106,242,99,139,171
2020,12,40,"4,439","1,013",96,"1,346",142,162,345,149,456,183,262,285
2020,12,50,"7,302","1,208",168,"1,776",269,337,676,435,776,433,585,639
2020,12,60,"9,613","1,262",280,"2,108",443,530,971,583,"1,057",532,839,"1,008"
2020,12,70,"6,588",783,193,"1,323",302,435,643,405,755,350,660,739
2020,12,80,"4,280",476,142,780,174,280,473,256,478,277,427,517
2020,12,90,598,70,18,98,25,47,64,29,82,36,67,62
2020,12,100,21,5,2,3,0,0,3,1,2,0,5,0
2021,1,총,"42,245","7,175","1,103","10,323","1,611","2,141","3,913","2,232","4,538","2,094","3,323","3,792"
2021,1,0,"1,506",459,40,450,41,45,128,62,130,34,58,59
2021,1,10,"2,286",657,25,727,52,73,157,58,277,42,106,112
2021,1,20,"2,829",604,59,861,78,120,216,133,265,125,177,191
2021,1,30,"2,750",629,84,840,87,109,251,110,236,94,136,174
2021,1,40,"4,445","1,014",90,"1,344",143,164,341,147,474,178,265,285
2021,1,50,"7,258","1,202",172,"1,776",259,333,663,438,772,428,581,634
2021,1,60,"9,651","1,275",272,"2,109",447,533,986,589,"1,065",524,837,"1,014"
2021,1,70,"6,617",783,197,"1,335",304,438,634,407,760,353,663,743
2021,1,80,"4,278",475,142,775,176,276,473,257,476,280,430,518
2021,1,90,605,72,20,103,24,50,61,30,81,36,66,62
2021,1,100,20,5,2,3,0,0,3,1,2,0,4,0
2021,2,총,"42,226","7,169","1,106","10,316","1,613","2,141","3,914","2,228","4,532","2,090","3,317","3,800"
2021,2,0,"1,489",455,41,445,41,45,125,61,127,34,58,57
2021,2,10,"2,283",659,25,727,52,71,155,59,276,42,104,113
2021,2,20,"2,803",594,60,850,75,118,217,129,266,126,177,191
2021,2,30,"2,720",627,84,824,86,110,249,108,238,90,132,172
2021,2,40,"4,435","1,003",90,"1,352",148,162,342,147,466,175,264,286
2021,2,50,"7,234","1,204",172,"1,772",256,333,660,436,767,424,582,628
2021,2,60,"9,702","1,288",271,"2,120",449,530,990,591,"1,067",532,839,"1,025"
2021,2,70,"6,645",785,198,"1,344",309,444,635,410,764,348,662,746
2021,2,80,"4,281",475,142,775,172,278,478,256,474,283,430,518
2021,2,90,613,74,21,103,25,50,60,30,85,36,65,64
2021,2,100,21,5,2,4,0,0,3,1,2,0,4,0
2021,3,총,"42,119","7,169","1,101","10,269","1,588","2,134","3,900","2,234","4,511","2,097","3,308","3,808"
2021,3,0,"1,476",451,41,437,41,45,126,61,124,36,57,57
2021,3,10,"2,268",658,25,725,49,71,151,62,274,38,105,110
2021,3,20,"2,757",593,57,838,71,115,207,123,257,126,176,194
2021,3,30,"2,704",623,87,815,85,109,255,109,234,91,128,168
2021,3,40,"4,398","1,005",86,"1,336",143,155,339,148,459,180,262,285
2021,3,50,"7,185","1,205",174,"1,754",245,333,652,429,760,418,580,635
2021,3,60,"9,731","1,293",270,"2,125",445,528,990,605,"1,080",536,836,"1,023"
2021,3,70,"6,661",789,197,"1,352",309,443,643,407,757,350,665,749
2021,3,80,"4,306",478,143,778,175,284,475,256,478,286,432,521
2021,3,90,623,74,20,105,25,51,61,33,87,36,65,66
2021,3,100,10,0,1,4,0,0,1,1,1,0,2,0
2021,4,총,"42,085","7,177","1,117","10,244","1,589","2,143","3,900","2,245","4,478","2,095","3,304","3,793"
2021,4,0,"1,462",448,41,429,40,46,126,62,124,37,54,55
2021,4,10,"2,258",663,26,721,50,73,149,62,266,36,104,108
2021,4,20,"2,745",593,62,835,69,114,204,122,255,123,175,193
2021,4,30,"2,692",625,89,802,84,111,255,110,230,95,127,164
2021,4,40,"4,361","1,003",89,"1,333",137,154,340,148,443,172,260,282
2021,4,50,"7,166","1,206",173,"1,743",243,337,655,429,749,424,578,629
2021,4,60,"9,764","1,290",274,"2,137",449,532,992,610,"1,082",537,838,"1,023"
2021,4,70,"6,678",794,194,"1,361",315,441,641,406,757,349,666,754
2021,4,80,"4,323",481,148,773,177,284,475,260,486,285,436,518
2021,4,90,625,73,20,106,25,51,62,35,85,37,64,67
2021,4,100,11,1,1,4,0,0,1,1,1,0,2,0
2021,5,총,"41,952","7,179","1,102","10,194","1,583","2,157","3,878","2,231","4,473","2,089","3,287","3,779"
2021,5,0,"1,455",448,41,423,41,48,124,61,125,34,54,56
2021,5,10,"2,256",664,25,722,48,75,147,61,264,41,103,106
2021,5,20,"2,739",596,58,836,71,114,205,118,256,121,177,187
2021,5,30,"2,640",616,89,786,83,112,248,105,230,93,121,157
2021,5,40,"4,314","1,006",86,"1,303",132,155,333,143,445,173,259,279
2021,5,50,"7,114","1,195",167,"1,732",244,334,658,431,740,419,566,628
2021,5,60,"9,790","1,304",272,"2,141",447,538,994,606,"1,083",539,841,"1,025"
2021,5,70,"6,677",793,195,"1,369",314,444,631,408,763,343,662,755
2021,5,80,"4,332",483,148,771,180,286,476,262,481,287,439,519
2021,5,90,624,73,20,107,23,51,61,35,85,39,63,67
2021,5,100,11,1,1,4,0,0,1,1,1,0,2,0
2021,6,총,"41,847","7,185","1,102","10,177","1,577","2,156","3,878","2,215","4,456","2,077","3,272","3,752"
2021,6,0,"1,447",454,41,412,39,49,124,63,124,33,54,54
2021,6,10,"2,227",663,25,711,46,72,151,62,253,40,99,105
2021,6,20,"2,718",598,58,825,73,116,205,112,257,118,175,181
2021,6,30,"2,629",614,89,793,79,109,250,102,232,95,115,151
2021,6,40,"4,280","1,006",87,"1,291",132,154,333,142,437,169,260,269
2021,6,50,"7,090","1,185",166,"1,742",240,333,656,424,739,419,560,626
2021,6,60,"9,808","1,309",269,"2,149",448,541,997,605,"1,085",534,838,"1,033"
2021,6,70,"6,669",797,197,"1,372",315,442,623,405,766,343,668,741
2021,6,80,"4,343",486,148,774,182,288,476,263,475,287,438,526
2021,6,90,627,72,21,106,23,52,62,36,87,39,63,66
2021,6,100,9,1,1,2,0,0,1,1,1,0,2,0
2021,7,총,"41,804","7,170","1,106","10,142","1,589","2,144","3,883","2,211","4,461","2,077","3,282","3,739"
2021,7,0,"1,428",447,40,406,43,50,121,58,123,32,54,54
2021,7,10,"2,218",664,26,706,45,68,149,64,253,41,98,104
2021,7,20,"2,698",602,57,809,71,115,203,113,258,121,169,180
2021,7,30,"2,617",607,91,799,78,105,248,100,232,93,117,147
2021,7,40,"4,275","1,004",89,"1,283",134,154,335,143,434,171,259,269
2021,7,50,"7,095","1,183",168,"1,745",243,330,655,423,747,414,565,622
2021,7,60,"9,829","1,303",269,"2,151",449,541,"1,007",609,"1,084",538,850,"1,028"
2021,7,70,"6,662",799,196,"1,368",317,442,624,401,766,340,666,743
2021,7,80,"4,342",488,147,770,183,290,476,264,475,288,437,524
2021,7,90,631,72,22,103,26,49,64,35,88,39,65,68
2021,7,100,9,1,1,2,0,0,1,1,1,0,2,0
2021,8,총,"41,736","7,139","1,109","10,111","1,586","2,143","3,880","2,219","4,456","2,078","3,276","3,739"
2021,8,0,"1,431",451,39,401,44,53,121,57,122,31,58,54
2021,8,10,"2,199",648,26,707,44,68,146,65,253,40,96,106
2021,8,20,"2,662",591,57,798,67,113,205,111,252,122,166,180
2021,8,30,"2,604",602,89,790,78,106,249,100,233,92,117,148
2021,8,40,"4,258","1,001",93,"1,281",134,152,331,142,429,166,260,269
2021,8,50,"7,087","1,185",167,"1,746",239,329,651,428,744,420,555,623
2021,8,60,"9,849","1,308",271,"2,153",452,540,"1,009",607,"1,087",540,854,"1,028"
2021,8,70,"6,647",791,195,"1,365",321,442,628,402,770,338,661,734
2021,8,80,"4,358",489,149,770,181,292,476,270,475,291,441,524
2021,8,90,631,72,22,98,26,48,63,36,90,38,66,72
2021,8,100,10,1,1,2,0,0,1,1,1,0,2,1
2021,9,총,"41,670","7,148","1,105","10,098","1,577","2,136","3,878","2,226","4,440","2,058","3,271","3,733"
2021,9,0,"1,421",448,37,400,43,53,118,57,120,30,61,54
2021,9,10,"2,197",648,24,703,43,70,149,63,255,41,96,105
2021,9,20,"2,585",572,57,782,66,110,198,110,245,114,157,174
2021,9,30,"2,597",613,87,785,76,104,248,102,236,90,115,141
2021,9,40,"4,250","1,000",94,"1,278",130,150,330,146,426,163,263,270
2021,9,50,"7,085","1,187",162,"1,753",242,332,650,425,739,420,552,623
2021,9,60,"9,864","1,319",275,"2,157",445,530,"1,013",611,"1,084",539,857,"1,034"
2021,9,70,"6,643",795,196,"1,357",324,445,633,401,770,333,659,730
2021,9,80,"4,381",492,150,783,181,293,468,275,477,292,444,526
2021,9,90,637,73,22,98,27,49,70,35,87,36,65,75
2021,9,100,10,1,1,2,0,0,1,1,1,0,2,1
2021,10,총,"41,736","7,171","1,096","10,110","1,575","2,151","3,875","2,231","4,467","2,061","3,267","3,732"
2021,10,0,"1,413",454,37,395,43,52,116,57,120,27,59,53
2021,10,10,"2,196",645,24,698,43,73,149,61,266,41,92,104
2021,10,20,"2,582",570,54,787,65,107,198,111,244,112,160,174
2021,10,30,"2,601",621,84,781,74,110,250,100,230,93,115,143
2021,10,40,"4,258","1,008",94,"1,277",130,152,328,144,437,162,260,266
2021,10,50,"7,099","1,183",162,"1,770",244,332,647,427,745,416,551,622
2021,10,60,"9,885","1,326",272,"2,153",442,534,"1,017",614,"1,082",548,855,"1,042"
2021,10,70,"6,665",795,196,"1,363",327,449,628,405,786,329,660,727
2021,10,80,"4,390",496,150,784,182,293,470,276,468,297,448,526
2021,10,90,636,72,22,100,25,48,71,35,88,36,65,74
2021,10,100,11,1,1,2,0,1,1,1,1,0,2,1
2021,11,총,"41,827","7,199","1,104","10,122","1,575","2,169","3,869","2,240","4,485","2,061","3,264","3,739"
2021,11,0,"1,416",453,36,400,42,52,116,56,121,27,59,54
2021,11,10,"2,202",647,25,692,45,77,148,62,269,40,95,102
2021,11,20,"2,580",569,55,789,64,107,197,112,239,113,155,180
2021,11,30,"2,597",622,85,783,70,112,248,102,232,91,111,141
2021,11,40,"4,271","1,013",94,"1,274",134,157,328,146,439,157,259,270
2021,11,50,"7,106","1,192",162,"1,770",237,340,646,425,747,419,552,616
2021,11,60,"9,926","1,340",274,"2,160",445,533,"1,012",620,"1,089",546,858,"1,049"
2021,11,70,"6,673",787,194,"1,370",331,450,637,402,787,335,657,723
2021,11,80,"4,412",502,156,782,183,291,465,280,475,298,451,529
2021,11,90,634,73,22,100,24,49,71,35,86,35,65,74
2021,11,100,10,1,1,2,0,1,1,0,1,0,2,1
2021,12,총,"41,891","7,213","1,120","10,145","1,575","2,159","3,858","2,238","4,513","2,061","3,273","3,736"
2021,12,0,"1,412",453,41,396,41,51,113,56,124,26,58,53
2021,12,10,"2,233",660,28,708,45,73,148,63,271,39,91,107
2021,12,20,"2,582",565,57,790,66,107,193,108,243,114,164,175
2021,12,30,"2,575",622,82,766,72,109,243,101,237,93,110,140
2021,12,40,"4,283","1,019",99,"1,283",134,154,328,151,434,155,262,264
2021,12,50,"7,091","1,182",161,"1,766",231,344,641,426,753,417,556,614
2021,12,60,"9,963","1,349",277,"2,181",447,529,"1,015",616,"1,095",550,856,"1,048"
2021,12,70,"6,674",787,195,"1,365",332,453,635,402,796,327,653,729
2021,12,80,"4,417",500,156,784,183,285,469,281,473,304,453,529
2021,12,90,652,75,24,104,24,53,72,34,86,36,68,76
2021,12,100,9,1,0,2,0,1,1,0,1,0,2,1
