년도,월,나이,봉화군,봉화읍,물야면,봉성면,법전면,춘양면,소천면,재산면,명호면,상운면,석포면
2020,3,50,"2,793",861,303,199,166,420,213,165,203,122,141
2020,3,60,"3,150",796,353,246,207,464,265,176,253,220,170
2020,3,70,"2,672",669,302,205,211,395,205,137,216,204,128
2020,3,80,"2,045",481,247,175,179,291,171,113,154,153,81
2020,3,90,364,122,35,29,28,60,21,15,29,16,9
2020,3,100,22,5,2,0,1,4,5,1,1,3,0
2020,4,총,"15,839","5,140","1,583","1,108","1,016","2,230","1,125",777,"1,073",864,923
2020,4,0,705,298,52,26,38,91,29,16,29,20,106
2020,4,10,884,458,54,53,41,103,44,28,38,15,50
2020,4,20,896,405,65,52,47,116,44,37,39,33,58
2020,4,30,940,423,67,57,37,129,48,29,37,30,83
2020,4,40,"1,374",619,107,65,60,162,84,59,72,46,100
2020,4,50,"2,775",859,297,199,164,420,211,165,203,121,136
2020,4,60,"3,169",803,357,246,210,466,263,177,255,220,172
2020,4,70,"2,650",666,299,206,209,386,204,136,214,202,128
2020,4,80,"2,061",483,246,175,181,294,173,114,156,158,81
2020,4,90,363,121,37,29,28,59,20,15,29,16,9
2020,4,100,22,5,2,0,1,4,5,1,1,3,0
2020,5,총,"15,824","5,139","1,583","1,103","1,013","2,231","1,125",774,"1,078",863,915
2020,5,0,703,298,49,26,38,89,30,17,30,19,107
2020,5,10,886,460,57,51,40,104,43,28,39,14,50
2020,5,20,885,402,63,52,47,114,43,37,38,33,56
2020,5,30,934,420,67,57,37,128,49,29,37,27,83
2020,5,40,"1,363",614,105,64,60,163,83,59,71,46,98
2020,5,50,"2,762",855,296,195,160,419,213,162,206,124,132
2020,5,60,"3,177",812,361,246,211,465,262,175,255,220,170
2020,5,70,"2,657",665,300,207,207,392,203,139,213,202,129
2020,5,80,"2,071",486,247,175,184,294,174,111,160,159,81
2020,5,90,362,122,36,30,27,59,20,15,28,16,9
2020,5,100,24,5,2,0,2,4,5,2,1,3,0
2020,6,총,"15,799","5,128","1,583","1,103","1,011","2,239","1,117",771,"1,076",863,908
2020,6,0,702,297,50,26,37,92,29,16,30,18,107
2020,6,10,882,458,58,50,40,104,43,27,39,14,49
2020,6,20,870,401,56,52,46,113,41,35,37,32,57
2020,6,30,933,411,71,58,37,131,50,28,37,28,82
2020,6,40,"1,357",616,107,65,58,157,78,61,73,46,96
2020,6,50,"2,746",852,291,190,161,427,210,159,200,125,131
2020,6,60,"3,187",815,366,250,210,463,260,178,258,218,169
2020,6,70,"2,660",663,300,207,206,392,205,141,214,204,128
2020,6,80,"2,075",490,245,175,187,295,176,111,159,158,79
2020,6,90,364,120,37,30,27,61,20,14,28,17,10
2020,6,100,23,5,2,0,2,4,5,1,1,3,0
2020,7,총,"15,772","5,101","1,580","1,098","1,007","2,250","1,125",766,"1,076",861,908
2020,7,0,703,296,50,26,35,92,33,15,30,17,109
2020,7,10,878,454,57,50,40,106,43,27,39,14,48
2020,7,20,863,402,58,50,45,115,40,31,35,29,58
2020,7,30,929,409,70,58,39,126,52,28,38,27,82
2020,7,40,"1,356",608,107,65,58,162,80,62,72,46,96
2020,7,50,"2,717",839,289,186,159,427,210,156,197,123,131
2020,7,60,"3,214",819,369,251,211,471,262,181,261,222,167
2020,7,70,"2,647",665,297,207,205,391,203,138,212,204,125
2020,7,80,"2,072",485,244,174,186,293,177,112,161,159,81
2020,7,90,371,119,37,31,27,63,21,15,30,17,11
2020,7,100,22,5,2,0,2,4,4,1,1,3,0
2020,8,총,"15,743","5,088","1,583","1,099","1,003","2,248","1,124",760,"1,072",859,907
2020,8,0,697,290,48,28,36,94,33,15,28,18,107
2020,8,10,873,453,57,49,40,105,42,25,40,14,48
2020,8,20,848,397,57,49,39,114,42,29,35,27,59
2020,8,30,917,403,71,55,40,127,51,27,38,27,78
2020,8,40,"1,365",606,110,67,58,165,80,61,72,46,100
2020,8,50,"2,701",837,292,186,159,416,208,156,193,124,130
2020,8,60,"3,226",830,368,251,210,476,258,182,263,220,168
2020,8,70,"2,634",662,296,209,204,386,207,137,210,201,122
2020,8,80,"2,087",488,244,174,188,294,179,112,163,161,84
2020,8,90,371,117,38,31,26,67,20,15,28,18,11
2020,8,100,24,5,2,0,3,4,4,1,2,3,0
2020,9,총,"15,715","5,075","1,588","1,094","1,005","2,246","1,126",753,"1,071",848,909
2020,9,0,687,290,49,28,36,91,31,15,28,16,103
2020,9,10,868,443,56,48,41,106,44,25,40,14,51
2020,9,20,844,399,57,47,38,112,41,28,35,28,59
2020,9,30,913,403,71,55,41,126,53,25,37,24,78
2020,9,40,"1,355",600,108,67,57,166,77,62,74,46,98
2020,9,50,"2,687",829,294,184,157,414,207,153,192,125,132
2020,9,60,"3,254",840,374,253,212,480,262,181,264,219,169
2020,9,70,"2,634",660,297,210,206,387,207,137,209,198,123
2020,9,80,"2,071",486,243,171,187,294,179,110,161,156,84
2020,9,90,377,120,37,31,27,66,21,16,29,19,11
2020,9,100,25,5,2,0,3,4,4,1,2,3,1
2020,10,총,"15,700","5,075","1,582","1,094","1,003","2,234","1,125",752,"1,072",856,907
2020,10,0,690,296,48,26,36,87,31,16,27,18,105
2020,10,10,860,437,56,49,41,104,43,25,41,14,50
2020,10,20,842,398,55,47,37,112,40,27,37,31,58
2020,10,30,913,404,71,55,41,122,54,25,37,24,80
2020,10,40,"1,348",601,107,65,57,168,74,59,74,46,97
2020,10,50,"2,665",827,291,181,152,410,211,151,188,125,129
2020,10,60,"3,268",837,377,259,213,479,264,184,266,218,171
2020,10,70,"2,632",666,295,209,207,385,205,137,208,198,122
2020,10,80,"2,076",485,243,172,188,297,177,111,161,158,84
2020,10,90,382,120,37,31,28,66,22,16,31,21,10
2020,10,100,24,4,2,0,3,4,4,1,2,3,1
2020,11,총,"15,677","5,076","1,577","1,084","1,001","2,241","1,111",756,"1,071",855,905
2020,11,0,681,299,49,22,33,85,28,16,28,18,103
2020,11,10,859,438,52,49,43,109,40,25,39,14,50
2020,11,20,846,403,58,48,37,111,39,28,38,30,54
2020,11,30,896,393,70,48,43,124,53,25,37,22,81
2020,11,40,"1,350",610,104,65,56,165,71,60,74,45,100
2020,11,50,"2,663",823,292,181,152,416,210,151,186,124,128
2020,11,60,"3,282",837,379,261,213,480,264,186,265,224,173
2020,11,70,"2,614",661,293,208,207,382,202,136,210,194,121
2020,11,80,"2,075",488,240,170,184,299,178,112,160,160,84
2020,11,90,387,120,38,31,30,66,23,16,32,21,10
2020,11,100,24,4,2,1,3,4,3,1,2,3,1
2020,12,총,"15,641","5,079","1,562","1,089","1,000","2,231","1,107",750,"1,070",852,901
2020,12,0,672,297,48,24,33,85,27,16,27,18,97
2020,12,10,865,445,50,51,40,108,37,26,40,13,55
2020,12,20,831,402,56,48,37,106,41,25,36,30,50
2020,12,30,891,391,69,48,43,123,53,26,37,22,79
2020,12,40,"1,339",607,99,64,56,165,70,59,75,44,100
2020,12,50,"2,649",818,290,181,151,414,207,151,185,123,129
2020,12,60,"3,295",844,381,261,215,480,268,184,266,221,175
2020,12,70,"2,613",662,293,208,207,383,200,135,208,197,120
2020,12,80,"2,079",493,236,172,185,298,178,112,161,158,86
2020,12,90,382,116,37,31,30,65,23,15,33,23,9
2020,12,100,25,4,3,1,3,4,3,1,2,3,1
2021,1,총,"15,590","5,053","1,556","1,091",998,"2,228","1,094",754,"1,072",846,898
2021,1,0,662,291,48,24,34,82,25,19,28,18,93
2021,1,10,862,445,49,50,40,103,36,27,42,13,57
2021,1,20,815,389,51,49,34,109,40,26,37,29,51
2021,1,30,865,381,69,49,44,115,46,26,36,21,78
2021,1,40,"1,339",609,98,65,53,163,72,57,79,44,99
2021,1,50,"2,637",824,280,176,154,416,204,151,183,122,127
2021,1,60,"3,306",837,390,265,212,489,266,184,265,222,176
2021,1,70,"2,610",665,292,210,208,380,201,134,207,194,119
2021,1,80,"2,085",491,239,173,186,302,178,115,159,154,88
2021,1,90,384,117,36,29,30,66,23,14,34,26,9
2021,1,100,25,4,4,1,3,3,3,1,2,3,1
2021,2,총,"15,544","5,040","1,554","1,089",995,"2,217","1,096",746,"1,066",845,896
2021,2,0,659,293,48,24,33,80,26,18,28,18,91
2021,2,10,852,439,50,47,39,102,36,26,43,13,57
2021,2,20,795,381,49,48,34,106,39,25,34,31,48
2021,2,30,858,376,69,49,44,111,47,26,36,21,79
2021,2,40,"1,333",609,100,64,51,164,71,56,75,43,100
2021,2,50,"2,627",826,275,176,155,407,204,151,185,122,126
2021,2,60,"3,315",842,392,266,213,491,268,184,262,220,177
2021,2,70,"2,584",653,292,204,204,382,199,132,208,191,119
2021,2,80,"2,111",500,238,181,188,306,180,112,160,157,89
2021,2,90,384,117,37,29,31,64,23,15,33,26,9
2021,2,100,26,4,4,1,3,4,3,1,2,3,1
2021,3,총,"15,492","5,026","1,550","1,078",992,"2,209","1,089",742,"1,067",839,900
2021,3,0,655,292,48,25,32,78,24,18,29,18,91
2021,3,10,864,452,49,45,39,103,37,25,42,13,59
2021,3,20,762,359,48,48,34,102,35,25,35,31,45
2021,3,30,853,376,68,48,44,110,48,25,37,19,78
2021,3,40,"1,330",610,99,66,50,160,69,55,75,43,103
2021,3,50,"2,598",815,276,166,155,406,200,153,182,118,127
2021,3,60,"3,335",853,388,267,215,497,270,182,265,220,178
2021,3,70,"2,573",647,295,197,200,382,203,128,207,192,122
2021,3,80,"2,105",502,235,184,189,303,175,115,159,157,86
2021,3,90,391,116,40,31,31,64,23,15,34,27,10
2021,3,100,26,4,4,1,3,4,5,1,2,1,1
2021,4,총,"15,490","5,032","1,548","1,079",985,"2,203","1,089",744,"1,068",841,901
2021,4,0,651,289,47,25,30,76,25,18,30,19,92
2021,4,10,878,462,49,45,41,103,37,24,43,13,61
2021,4,20,760,357,46,50,33,103,35,25,32,33,46
2021,4,30,847,376,68,46,42,106,48,26,37,20,78
2021,4,40,"1,322",607,94,64,50,162,69,55,76,43,102
2021,4,50,"2,593",819,282,168,152,401,195,153,183,115,125
2021,4,60,"3,347",857,388,268,217,496,276,183,263,220,179
2021,4,70,"2,552",641,293,194,197,379,202,129,206,191,120
2021,4,80,"2,120",504,234,188,190,308,175,116,161,159,85
2021,4,90,393,115,42,30,30,65,23,14,35,27,12
2021,4,100,27,5,5,1,3,4,4,1,2,1,1
2021,5,총,"15,440","5,001","1,547","1,085",985,"2,183","1,088",749,"1,065",836,901
2021,5,0,641,286,47,25,29,75,25,17,27,19,91
2021,5,10,878,460,52,45,41,102,37,23,44,12,62
2021,5,20,758,355,42,51,34,102,36,28,31,32,47
2021,5,30,840,372,68,44,43,104,48,27,39,19,76
2021,5,40,"1,307",597,93,67,51,159,67,55,74,42,102
2021,5,50,"2,570",810,279,167,152,396,196,153,180,114,123
2021,5,60,"3,358",862,391,268,216,495,277,186,263,219,181
2021,5,70,"2,541",639,292,197,194,376,198,127,207,191,120
2021,5,80,"2,136",503,236,190,194,311,176,118,162,160,86
2021,5,90,387,113,42,30,28,61,24,14,36,27,12
2021,5,100,24,4,5,1,3,2,4,1,2,1,1
2021,6,총,"15,404","5,000","1,546","1,076",986,"2,173","1,087",749,"1,066",832,889
2021,6,0,630,284,46,24,29,74,25,17,24,17,90
2021,6,10,879,461,52,43,41,103,37,22,46,12,62
2021,6,20,758,360,42,48,34,99,36,28,31,32,48
2021,6,30,836,373,67,44,43,104,48,26,39,18,74
2021,6,40,"1,291",591,93,66,51,157,65,53,75,39,101
2021,6,50,"2,557",805,282,164,150,393,193,154,179,117,120
2021,6,60,"3,373",865,390,271,219,497,280,187,265,222,177
2021,6,70,"2,538",639,295,195,193,375,198,127,207,190,119
2021,6,80,"2,136",508,232,188,195,306,177,120,164,160,86
2021,6,90,381,110,42,32,28,63,24,14,32,24,12
2021,6,100,25,4,5,1,3,2,4,1,4,1,0
2021,7,총,"15,395","4,983","1,545","1,076",991,"2,178","1,085",758,"1,062",833,884
2021,7,0,622,280,46,24,29,74,25,16,24,17,87
2021,7,10,878,464,51,43,41,103,37,22,43,11,63
2021,7,20,758,357,44,48,35,103,34,27,31,31,48
2021,7,30,831,371,65,44,44,102,49,25,39,18,74
2021,7,40,"1,288",583,94,66,50,160,65,57,75,39,99
2021,7,50,"2,547",801,281,163,150,389,193,155,177,118,120
2021,7,60,"3,374",866,388,269,221,496,278,192,264,224,176
2021,7,70,"2,554",641,297,196,194,378,200,130,211,191,116
2021,7,80,"2,142",506,233,190,196,310,176,119,163,160,89
2021,7,90,377,110,42,32,28,61,24,14,31,23,12
2021,7,100,24,4,4,1,3,2,4,1,4,1,0
2021,8,총,"15,342","4,945","1,539","1,068",999,"2,179","1,087",743,"1,060",831,891
2021,8,0,614,272,46,24,29,73,26,16,24,16,88
2021,8,10,865,455,50,41,43,101,37,21,42,11,64
2021,8,20,743,350,40,45,36,103,35,27,30,29,48
2021,8,30,819,362,64,43,46,100,48,24,39,18,75
2021,8,40,"1,289",584,93,65,53,162,65,53,74,39,101
2021,8,50,"2,538",802,281,162,150,387,193,151,176,117,119
2021,8,60,"3,380",865,388,268,220,500,279,190,266,226,178
2021,8,70,"2,547",638,297,198,196,372,200,128,210,191,117
2021,8,80,"2,140",506,232,190,194,317,175,116,161,160,89
2021,8,90,382,107,44,31,29,62,25,16,34,22,12
2021,8,100,25,4,4,1,3,2,4,1,4,2,0
2021,9,총,"15,283","4,922","1,540","1,069","1,000","2,171","1,078",740,"1,055",827,881
2021,9,0,608,271,46,24,29,73,26,15,23,16,85
2021,9,10,855,446,51,40,44,98,36,20,42,11,67
2021,9,20,723,345,40,46,38,97,33,28,27,27,42
2021,9,30,812,358,62,45,46,103,47,23,35,17,76
2021,9,40,"1,281",585,92,62,49,163,65,52,75,38,100
2021,9,50,"2,529",797,285,163,151,384,191,151,175,116,116
2021,9,60,"3,377",861,386,269,221,501,277,190,266,226,180
2021,9,70,"2,548",641,297,199,197,372,197,128,210,191,116
2021,9,80,"2,141",506,234,189,194,315,177,114,164,160,88
2021,9,90,383,107,43,31,28,63,25,18,34,23,11
2021,9,100,26,5,4,1,3,2,4,1,4,2,0
2021,10,총,"15,247","4,907","1,534","1,065",997,"2,171","1,078",737,"1,051",828,879
2021,10,0,599,270,44,21,30,71,26,15,23,16,83
2021,10,10,848,446,48,42,41,98,36,18,42,10,67
2021,10,20,713,339,38,46,38,97,32,27,26,28,42
2021,10,30,802,353,61,42,47,100,47,24,34,18,76
2021,10,40,"1,271",577,94,64,49,162,65,50,73,37,100
2021,10,50,"2,528",794,282,165,149,390,193,151,173,116,115
2021,10,60,"3,384",862,388,265,221,502,279,191,267,228,181
2021,10,70,"2,543",645,298,197,197,369,196,129,209,188,115
2021,10,80,"2,146",507,235,191,193,317,175,113,164,162,89
2021,10,90,388,109,43,31,29,63,25,18,36,23,11
2021,10,100,25,5,3,1,3,2,4,1,4,2,0
2021,11,총,"15,231","4,912","1,527","1,066",992,"2,168","1,078",738,"1,051",827,872
2021,11,0,598,271,44,21,30,70,26,15,24,14,83
2021,11,10,842,443,48,42,39,97,36,19,43,10,65
2021,11,20,720,342,39,47,38,97,33,28,26,30,40
2021,11,30,789,346,59,42,45,101,45,24,33,18,76
2021,11,40,"1,275",583,94,66,49,159,65,50,74,36,99
2021,11,50,"2,527",800,282,163,145,389,193,149,175,116,115
2021,11,60,"3,398",865,388,266,223,506,283,192,266,230,179
2021,11,70,"2,526",643,296,196,197,369,191,126,207,187,114
2021,11,80,"2,142",504,233,190,194,315,177,115,164,160,90
2021,11,90,391,109,42,32,30,64,25,19,35,24,11
2021,11,100,23,6,2,1,2,1,4,1,4,2,0
2021,12,총,"15,211","4,903","1,512","1,072",988,"2,175","1,081",738,"1,050",824,868
2021,12,0,593,269,44,22,30,69,25,13,23,14,84
2021,12,10,840,443,45,43,39,96,38,19,44,9,64
2021,12,20,724,346,39,48,37,96,34,29,25,30,40
2021,12,30,777,339,57,42,44,101,45,23,33,17,76
2021,12,40,"1,271",587,88,65,50,160,64,49,72,36,100
2021,12,50,"2,524",796,276,168,143,390,194,152,176,115,114
2021,12,60,"3,395",864,387,268,219,507,283,192,270,230,175
2021,12,70,"2,529",640,298,195,200,374,194,125,207,186,110
2021,12,80,"2,148",503,234,190,194,319,176,116,162,160,94
2021,12,90,390,110,42,30,31,61,26,19,35,25,11
2021,12,100,20,6,2,1,1,2,2,1,3,2,0
