년도,월,나이,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020,5,총,"13,623","3,647",663,808,740,821,"1,905",633,783,"1,669",739,593,622
2020,5,0,672,320,19,21,30,22,55,21,22,85,21,31,25
2020,5,10,825,358,26,31,26,32,108,27,38,98,30,25,26
2020,5,20,914,308,29,60,50,43,127,32,32,116,52,33,32
2020,5,30,937,404,30,48,37,38,111,31,38,102,28,32,38
2020,5,40,"1,168",471,43,61,59,59,150,46,45,128,42,31,33
2020,5,50,"2,096",475,94,155,107,138,297,96,101,293,141,93,106
2020,5,60,"2,294",486,112,175,141,139,361,99,149,311,124,102,95
2020,5,70,"2,419",424,155,126,149,183,352,161,166,276,157,143,127
2020,5,80,"1,956",334,133,116,119,143,302,103,161,228,115,85,117
2020,5,90,326,64,22,15,19,23,42,17,31,30,26,14,23
2020,5,100,16,3,0,0,3,1,0,0,0,2,3,4,0
2020,6,총,"13,608","3,656",660,807,735,820,"1,892",633,779,"1,676",742,591,617
2020,6,0,673,318,19,24,30,22,54,21,22,86,22,30,25
2020,6,10,817,364,25,29,27,32,101,27,38,98,28,24,24
2020,6,20,912,309,29,59,47,43,129,32,30,118,53,32,31
2020,6,30,933,403,29,49,37,37,109,30,37,102,30,32,38
2020,6,40,"1,161",472,41,63,59,56,146,46,45,126,43,32,32
2020,6,50,"2,085",475,96,148,106,138,297,95,100,292,140,94,104
2020,6,60,"2,304",488,112,180,143,140,357,99,148,316,123,102,96
2020,6,70,"2,418",424,153,126,147,184,355,159,167,274,157,144,128
2020,6,80,"1,961",337,134,112,118,143,302,106,161,231,117,83,117
2020,6,90,329,64,22,17,18,24,42,18,31,31,26,14,22
2020,6,100,15,2,0,0,3,1,0,0,0,2,3,4,0
2020,7,총,"13,561","3,637",661,809,728,816,"1,890",632,776,"1,664",738,589,621
2020,7,0,668,311,19,25,30,23,58,20,21,85,22,30,24
2020,7,10,811,364,24,26,26,32,102,27,38,94,29,24,25
2020,7,20,898,302,30,60,45,40,127,32,29,115,54,31,33
2020,7,30,929,400,29,49,37,36,109,30,35,105,29,32,38
2020,7,40,"1,150",471,42,62,56,56,147,46,43,122,43,30,32
2020,7,50,"2,077",471,97,151,107,137,293,96,101,288,135,94,107
2020,7,60,"2,296",488,112,179,142,138,354,97,148,315,124,103,96
2020,7,70,"2,411",427,153,126,147,183,352,158,167,273,156,143,126
2020,7,80,"1,974",336,133,112,119,145,305,108,163,234,118,83,118
2020,7,90,332,65,22,19,16,25,43,18,31,31,25,15,22
2020,7,100,15,2,0,0,3,1,0,0,0,2,3,4,0
2020,8,총,"13,519","3,636",658,808,727,811,"1,884",622,771,"1,661",732,587,622
2020,8,0,666,314,19,26,31,23,53,18,21,85,22,30,24
2020,8,10,807,364,25,24,26,32,104,25,38,92,28,24,25
2020,8,20,889,301,30,60,45,39,128,31,26,115,51,31,32
2020,8,30,909,396,29,50,36,35,104,29,34,101,27,31,37
2020,8,40,"1,151",479,41,60,56,52,152,42,43,122,44,30,30
2020,8,50,"2,063",469,95,149,106,136,288,96,101,286,135,92,110
2020,8,60,"2,302",487,111,180,142,138,355,98,148,319,124,104,96
2020,8,70,"2,408",424,153,129,148,183,350,156,167,274,155,142,127
2020,8,80,"1,980",335,134,111,119,148,306,108,162,236,119,84,118
2020,8,90,328,65,21,19,15,24,44,19,31,28,24,15,23
2020,8,100,16,2,0,0,3,1,0,0,0,3,3,4,0
2020,9,총,"13,469","3,629",657,794,727,811,"1,871",622,771,"1,655",727,588,617
2020,9,0,648,305,19,23,31,23,50,18,21,83,22,30,23
2020,9,10,809,367,25,22,26,32,105,27,38,90,28,24,25
2020,9,20,874,295,31,60,43,39,125,31,25,114,50,31,30
2020,9,30,900,396,28,46,37,35,105,29,32,101,26,30,35
2020,9,40,"1,139",474,41,57,56,51,149,42,45,119,44,31,30
2020,9,50,"2,048",478,93,147,106,134,281,92,101,283,134,91,108
2020,9,60,"2,307",489,109,180,145,141,355,97,148,323,121,104,95
2020,9,70,"2,412",423,153,129,146,180,354,159,166,274,155,143,130
2020,9,80,"1,982",335,137,110,120,151,302,105,162,237,120,85,118
2020,9,90,334,65,21,20,14,24,45,22,33,28,24,15,23
2020,9,100,16,2,0,0,3,1,0,0,0,3,3,4,0
2020,10,총,"13,438","3,627",655,786,724,820,"1,866",626,768,"1,650",721,586,609
2020,10,0,639,299,19,24,30,26,48,18,21,84,23,27,20
2020,10,10,802,364,26,20,26,32,105,27,38,88,27,25,24
2020,10,20,877,306,30,59,43,41,124,31,25,114,49,29,26
2020,10,30,895,391,27,43,35,36,109,30,32,102,26,31,33
2020,10,40,"1,125",468,40,57,54,51,149,43,42,119,42,30,30
2020,10,50,"2,043",477,92,147,106,133,273,93,105,282,134,93,108
2020,10,60,"2,313",494,111,180,143,142,358,99,146,320,121,105,94
2020,10,70,"2,407",424,153,129,149,180,353,154,166,273,154,140,132
2020,10,80,"1,993",339,134,107,121,154,304,108,161,239,119,88,119
2020,10,90,328,63,23,20,14,24,43,23,32,26,23,14,23
2020,10,100,16,2,0,0,3,1,0,0,0,3,3,4,0
2020,11,총,"13,400","3,630",653,783,715,818,"1,861",624,765,"1,638",719,588,606
2020,11,0,639,301,19,23,30,27,47,17,22,81,22,27,23
2020,11,10,796,364,25,21,26,32,103,28,37,86,27,23,24
2020,11,20,868,303,30,56,39,40,126,31,25,112,50,31,25
2020,11,30,891,393,26,44,36,37,108,29,31,99,25,31,32
2020,11,40,"1,113",469,39,56,51,50,149,43,41,115,40,31,29
2020,11,50,"2,039",477,91,150,105,130,272,90,104,284,135,95,106
2020,11,60,"2,304",491,111,178,140,144,352,102,146,321,121,103,95
2020,11,70,"2,410",430,153,128,148,179,359,154,164,273,153,140,129
2020,11,80,"1,997",339,134,107,124,154,302,108,162,237,120,90,120
2020,11,90,326,61,25,20,13,24,43,22,33,27,22,13,23
2020,11,100,17,2,0,0,3,1,0,0,0,3,4,4,0
2020,12,총,"13,348","3,636",649,777,713,814,"1,845",621,764,"1,629",721,581,598
2020,12,0,628,297,17,23,30,27,45,16,22,80,23,25,23
2020,12,10,794,367,25,21,25,32,102,27,35,84,28,24,24
2020,12,20,866,309,28,55,38,39,120,31,28,113,51,30,24
2020,12,30,875,385,26,44,37,36,103,29,32,96,25,30,32
2020,12,40,"1,108",471,38,55,49,48,148,43,41,118,39,31,27
2020,12,50,"2,019",476,90,146,106,132,267,87,102,277,137,94,105
2020,12,60,"2,325",497,111,178,142,144,357,106,148,323,123,104,92
2020,12,70,"2,399",431,154,128,147,180,359,149,162,272,150,137,130
2020,12,80,"2,000",340,135,107,125,153,298,112,161,238,120,91,120
2020,12,90,318,61,25,20,12,22,46,21,33,25,21,11,21
2020,12,100,16,2,0,0,2,1,0,0,0,3,4,4,0
2021,1,총,"13,310","3,616",650,779,713,814,"1,828",627,764,"1,626",717,581,595
2021,1,0,624,297,17,24,28,27,47,15,22,76,23,25,23
2021,1,10,794,368,26,21,26,33,99,28,35,82,26,24,26
2021,1,20,845,302,28,52,39,38,114,30,27,111,51,30,23
2021,1,30,864,375,26,46,36,36,102,31,31,96,24,28,33
2021,1,40,"1,108",471,38,54,51,49,147,42,41,120,37,31,27
2021,1,50,"2,016",474,89,148,104,133,264,86,104,274,138,96,106
2021,1,60,"2,312",492,110,177,144,140,353,109,148,323,124,101,91
2021,1,70,"2,398",433,153,127,145,183,355,151,159,277,150,140,125
2021,1,80,"2,005",342,136,107,126,150,298,114,163,239,119,90,121
2021,1,90,328,60,27,23,12,24,49,21,34,25,21,12,20
2021,1,100,16,2,0,0,2,1,0,0,0,3,4,4,0
2021,2,총,"13,269","3,595",652,785,710,809,"1,834",626,755,"1,617",714,582,590
2021,2,0,625,294,18,29,29,27,47,14,21,75,23,26,22
2021,2,10,779,356,27,19,25,32,101,30,33,82,26,23,25
2021,2,20,831,300,28,50,38,37,110,29,28,112,49,30,20
2021,2,30,852,369,27,47,34,34,102,31,29,95,24,27,33
2021,2,40,"1,106",471,37,57,50,50,150,41,40,118,36,30,26
2021,2,50,"2,005",474,89,145,104,130,264,87,101,272,138,96,105
2021,2,60,"2,316",498,109,176,141,137,358,111,148,321,123,103,91
2021,2,70,"2,400",430,153,130,147,184,355,149,159,276,151,139,127
2021,2,80,"2,009",342,137,110,127,152,298,113,161,238,119,91,121
2021,2,90,329,59,27,22,13,25,49,21,35,24,21,13,20
2021,2,100,17,2,0,0,2,1,0,0,0,4,4,4,0
2021,3,총,"13,180","3,566",642,780,701,796,"1,816",631,757,"1,609",714,581,587
2021,3,0,618,295,17,26,29,26,46,15,21,73,22,26,22
2021,3,10,769,352,27,23,23,31,93,30,32,84,25,24,25
2021,3,20,830,297,28,49,36,36,112,29,28,115,50,30,20
2021,3,30,832,363,23,46,36,30,99,31,28,93,23,27,33
2021,3,40,"1,084",463,36,58,44,47,147,40,42,115,38,27,27
2021,3,50,"1,981",470,87,142,106,128,258,91,98,267,136,95,103
2021,3,60,"2,321",498,109,176,136,138,360,113,151,321,123,104,92
2021,3,70,"2,379",426,151,128,147,182,352,146,161,273,152,136,125
2021,3,80,"2,023",343,138,110,127,151,302,116,160,241,121,95,119
2021,3,90,329,58,26,22,15,27,47,20,36,23,21,13,21
2021,3,100,14,1,0,0,2,0,0,0,0,4,3,4,0
2021,4,총,"13,182","3,571",640,775,702,797,"1,817",632,756,"1,607",716,580,589
2021,4,0,616,294,17,27,29,26,46,14,22,71,22,26,22
2021,4,10,778,356,27,23,24,31,93,30,31,86,28,24,25
2021,4,20,830,300,27,48,34,35,113,31,28,113,48,32,21
2021,4,30,830,363,24,41,36,29,101,30,27,95,24,28,32
2021,4,40,"1,079",463,36,60,45,46,146,39,43,113,36,25,27
2021,4,50,"1,973",471,86,141,104,129,258,92,96,266,134,93,103
2021,4,60,"2,326",496,106,176,138,143,361,113,150,319,127,104,93
2021,4,70,"2,385",425,151,131,148,181,350,143,163,277,152,138,126
2021,4,80,"2,025",343,142,107,128,151,303,120,159,240,121,93,118
2021,4,90,327,59,24,21,14,26,46,20,37,23,22,13,22
2021,4,100,13,1,0,0,2,0,0,0,0,4,2,4,0
2021,5,총,"13,180","3,577",642,767,708,797,"1,816",631,754,"1,605",717,578,588
2021,5,0,616,295,18,27,31,24,43,16,22,70,22,25,23
2021,5,10,779,352,30,23,24,31,94,30,31,86,28,25,25
2021,5,20,821,302,25,45,32,35,115,30,28,112,46,31,20
2021,5,30,828,361,25,39,37,30,98,30,27,94,25,28,34
2021,5,40,"1,070",465,35,56,44,47,146,39,39,112,34,26,27
2021,5,50,"1,979",473,87,141,106,129,258,90,98,266,136,93,102
2021,5,60,"2,336",495,107,179,139,145,367,113,149,317,129,103,93
2021,5,70,"2,373",426,150,128,148,179,346,144,161,278,150,138,125
2021,5,80,"2,031",346,139,108,130,151,301,118,160,243,123,93,119
2021,5,90,334,61,26,21,15,26,48,21,39,23,22,12,20
2021,5,100,13,1,0,0,2,0,0,0,0,4,2,4,0
2021,6,총,"13,181","3,578",638,774,701,798,"1,813",629,758,"1,602",720,581,589
2021,6,0,617,298,18,30,31,24,41,17,22,69,19,24,24
2021,6,10,769,347,28,21,24,31,91,30,30,86,31,26,24
2021,6,20,823,303,26,46,32,34,112,30,29,109,48,32,22
2021,6,30,827,363,23,43,35,32,95,30,26,96,23,27,34
2021,6,40,"1,065",460,35,54,42,47,148,39,39,110,36,28,27
2021,6,50,"1,986",476,87,144,104,127,262,89,99,266,137,94,101
2021,6,60,"2,342",497,107,179,140,148,368,113,149,316,130,103,92
2021,6,70,"2,379",427,150,129,147,179,347,145,162,281,149,138,125
2021,6,80,"2,024",345,139,109,129,149,299,116,161,242,123,93,119
2021,6,90,337,61,25,19,15,27,50,20,41,24,22,12,21
2021,6,100,12,1,0,0,2,0,0,0,0,3,2,4,0
2021,7,총,"13,152","3,569",631,777,694,799,"1,805",627,756,"1,602",722,582,588
2021,7,0,614,295,18,30,29,24,41,17,22,71,20,23,24
2021,7,10,769,346,28,23,23,31,90,30,31,85,31,27,24
2021,7,20,812,303,23,47,31,35,110,30,29,103,48,32,21
2021,7,30,817,357,21,44,36,31,92,30,26,98,22,27,33
2021,7,40,"1,073",466,35,56,40,46,148,39,39,111,37,28,28
2021,7,50,"1,966",471,85,142,101,128,260,88,98,264,136,93,100
2021,7,60,"2,343",496,107,179,141,146,368,111,150,320,129,103,93
2021,7,70,"2,370",427,149,130,149,177,343,144,159,279,151,138,124
2021,7,80,"2,030",342,140,108,128,154,301,118,160,241,124,95,119
2021,7,90,346,65,25,18,14,27,52,20,42,27,22,12,22
2021,7,100,12,1,0,0,2,0,0,0,0,3,2,4,0
2021,8,총,"13,125","3,585",628,775,693,791,"1,790",625,754,"1,593",720,580,591
2021,8,0,609,299,17,29,29,22,40,17,20,73,19,21,23
2021,8,10,761,348,29,21,22,29,85,31,32,82,31,27,24
2021,8,20,809,299,23,49,33,34,110,29,29,101,48,32,22
2021,8,30,807,354,21,41,36,28,93,29,27,98,21,25,34
2021,8,40,"1,072",469,33,55,41,45,143,39,38,114,38,28,29
2021,8,50,"1,971",484,85,141,100,130,259,86,97,262,134,93,100
2021,8,60,"2,342",498,106,181,140,146,364,113,149,319,128,104,94
2021,8,70,"2,367",426,149,130,150,176,344,143,158,277,152,139,123
2021,8,80,"2,020",339,139,110,125,153,300,117,160,239,125,94,119
2021,8,90,355,68,26,18,15,28,52,21,44,25,22,13,23
2021,8,100,12,1,0,0,2,0,0,0,0,3,2,4,0
2021,9,총,"13,073","3,588",624,767,692,789,"1,771",625,752,"1,587",714,576,588
2021,9,0,612,301,17,27,27,22,42,18,20,74,19,22,23
2021,9,10,752,352,26,20,20,28,83,31,31,84,27,26,24
2021,9,20,781,282,22,50,35,34,102,27,30,98,48,32,21
2021,9,30,806,359,21,38,36,28,90,30,27,97,22,25,33
2021,9,40,"1,067",472,33,54,39,46,141,38,37,111,38,27,31
2021,9,50,"1,957",486,83,140,100,127,253,85,97,262,133,92,99
2021,9,60,"2,347",498,108,181,142,145,369,113,148,319,127,104,93
2021,9,70,"2,356",425,148,129,151,178,338,144,158,275,151,137,122
2021,9,80,"2,023",343,140,110,122,153,301,116,160,239,125,94,120
2021,9,90,360,69,26,18,18,28,52,23,44,25,22,13,22
2021,9,100,12,1,0,0,2,0,0,0,0,3,2,4,0
2021,10,총,"13,045","3,594",624,760,691,787,"1,768",630,738,"1,584",709,574,586
2021,10,0,623,309,19,27,28,23,41,18,18,77,19,22,22
2021,10,10,740,349,25,19,20,29,84,31,28,83,23,26,23
2021,10,20,760,276,22,44,32,32,104,28,27,96,47,32,20
2021,10,30,808,356,22,38,35,28,90,30,27,100,23,26,33
2021,10,40,"1,069",478,32,55,39,48,139,41,35,108,38,25,31
2021,10,50,"1,950",484,82,140,101,127,252,83,98,259,133,90,101
2021,10,60,"2,343",497,108,181,143,143,369,116,145,316,126,106,93
2021,10,70,"2,340",431,148,126,150,175,331,141,156,277,150,135,120
2021,10,80,"2,039",344,140,112,123,156,306,119,161,238,125,95,120
2021,10,90,361,69,26,18,18,26,52,23,43,27,23,13,23
2021,10,100,12,1,0,0,2,0,0,0,0,3,2,4,0
2021,11,총,"13,019","3,583",620,750,690,786,"1,765",626,740,"1,589",708,579,583
2021,11,0,627,311,18,27,28,23,40,19,18,78,19,23,23
2021,11,10,736,349,24,18,21,28,85,28,28,83,22,27,23
2021,11,20,760,278,20,44,32,30,105,28,27,99,47,30,20
2021,11,30,797,350,22,39,35,28,87,28,27,99,24,25,33
2021,11,40,"1,059",473,33,52,37,48,137,43,34,107,38,26,31
2021,11,50,"1,936",475,82,136,100,126,250,83,100,262,134,90,98
2021,11,60,"2,358",502,108,181,142,146,373,114,146,313,128,110,95
2021,11,70,"2,336",428,146,127,151,176,331,140,154,279,148,136,120
2021,11,80,"2,033",347,141,108,121,155,304,118,163,240,123,96,117
2021,11,90,366,69,26,18,21,26,53,25,43,26,23,13,23
2021,11,100,11,1,0,0,2,0,0,0,0,3,2,3,0
2021,12,총,"13,038","3,608",625,753,694,784,"1,755",629,737,"1,578",705,581,589
2021,12,0,620,311,16,28,28,23,41,21,19,73,18,19,23
2021,12,10,730,349,26,18,21,27,85,24,27,80,21,28,24
2021,12,20,775,291,22,43,34,29,102,31,28,98,48,29,20
2021,12,30,812,355,22,42,36,28,87,28,27,101,24,28,34
2021,12,40,"1,060",472,36,55,36,47,137,43,33,104,38,27,32
2021,12,50,"1,931",482,83,131,98,128,248,84,99,258,132,91,97
2021,12,60,"2,377",509,108,184,144,145,370,115,147,316,130,112,97
2021,12,70,"2,313",420,144,126,150,174,329,136,154,279,147,135,119
2021,12,80,"2,045",350,143,105,124,157,306,123,161,235,123,98,120
2021,12,90,364,69,25,21,20,26,50,24,42,31,22,11,23
2021,12,100,11,0,0,0,3,0,0,0,0,3,2,3,0
