년도,월,나이,영암군,영암읍,삼호읍,삼호읍서부출장소,덕진면,금정면,신북면,시종면,도포면,군서면,서호면,학산면,미암면
2021,7,100,17,3,1,0,3,1,0,2,2,1,2,1,1
2021,8,총,"25,604","4,090","6,974","2,688",926,"1,008","1,816","1,735","1,106","1,633",982,"1,531","1,115"
2021,8,0,"1,610",259,756,255,24,26,47,44,22,42,37,62,36
2021,8,10,"2,044",359,857,303,47,23,86,55,41,76,35,108,54
2021,8,20,"2,041",383,714,353,41,39,74,77,70,86,46,107,51
2021,8,30,"2,069",332,896,314,35,40,80,76,48,74,44,75,55
2021,8,40,"2,920",484,"1,159",461,64,73,154,108,70,115,52,114,66
2021,8,50,"4,006",678,"1,069",543,115,156,296,226,182,227,125,222,167
2021,8,60,"4,037",638,753,220,179,186,393,405,217,308,191,301,246
2021,8,70,"3,520",516,467,136,177,215,370,353,224,357,218,267,220
2021,8,80,"2,883",358,272,84,214,212,281,332,212,297,196,232,193
2021,8,90,457,80,30,19,27,37,35,57,18,50,36,42,26
2021,8,100,17,3,1,0,3,1,0,2,2,1,2,1,1
2021,9,총,"25,536","4,078","6,979","2,665",919,"1,003","1,820","1,714","1,097","1,631",977,"1,544","1,109"
2021,9,0,"1,598",258,754,249,26,26,47,44,20,39,36,64,35
2021,9,10,"2,038",360,860,307,44,22,87,51,37,76,35,108,51
2021,9,20,"2,000",373,711,339,38,38,73,70,71,84,44,107,52
2021,9,30,"2,052",333,889,305,37,40,82,74,45,74,44,75,54
2021,9,40,"2,904",484,"1,156",462,64,72,149,104,70,115,52,113,63
2021,9,50,"4,032",676,"1,084",545,117,153,298,224,184,228,124,231,168
2021,9,60,"4,035",638,753,221,179,188,394,401,215,309,189,302,246
2021,9,70,"3,512",514,470,135,174,213,369,354,220,354,219,270,220
2021,9,80,"2,884",361,270,82,207,212,285,332,215,302,196,231,191
2021,9,90,465,79,31,20,30,38,36,58,18,49,36,42,28
2021,9,100,16,2,1,0,3,1,0,2,2,1,2,1,1
2021,10,총,"25,505","4,076","6,989","2,667",916,"1,005","1,823","1,703","1,095","1,618",974,"1,537","1,102"
