년도,월,나이,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 의정부3동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020,2,10,"43,514","1,695","2,320",,"2,861","3,653","2,076","4,391","5,130","3,068","4,556","4,958","2,716","2,149","1,687","2,254"
2020,2,20,"62,519","5,627","5,245",,"4,706","4,584","2,319","6,407","6,472","4,221","4,620","5,083","3,874","3,670","2,559","3,132"
2020,2,30,"59,662","4,583","4,767",,"4,928","4,280","2,311","5,507","4,755","3,915","4,034","8,669","3,323","3,393","2,339","2,858"
2020,2,40,"74,735","4,445","5,072",,"5,815","5,864","3,401","7,266","7,350","5,058","6,741","8,598","4,487","3,997","2,984","3,657"
2020,2,50,"79,027","5,574","5,705",,"5,800","6,029","3,335","8,633","8,429","5,641","5,851","5,828","5,262","5,224","3,682","4,034"
2020,2,60,"52,942","4,252","3,813",,"5,052","4,309","2,667","5,550","5,078","3,695","2,859","3,414","3,321","3,519","2,751","2,662"
2020,2,70,"30,340","2,217","2,146",,"3,394","3,022","1,658","2,896","2,646","1,921","1,864","1,597","1,892","2,059","1,544","1,484"
2020,2,80,"13,101","1,015",866,,"1,192","1,241",739,"1,245","1,240",989,891,619,875,791,702,696
2020,2,90,"1,745",146,104,,124,146,99,142,178,158,115,93,125,115,90,110
2020,2,100,206,59,11,,18,8,10,11,8,11,4,1,18,10,35,2
2020,3,총,"453,679","31,027","31,835",,"36,407","35,699","20,469","44,999","44,379","32,295","34,373","45,789","27,886","26,473","19,545","22,503"
2020,3,0,"34,970","1,176","1,903",,"2,517","2,663","1,553","3,037","3,163","2,454","3,011","6,907","2,102","1,564","1,204","1,716"
2020,3,10,"43,344","1,694","2,288",,"2,866","3,603","2,082","4,362","5,108","3,122","4,520","4,976","2,696","2,115","1,685","2,227"
2020,3,20,"62,874","5,764","5,230",,"4,716","4,589","2,384","6,368","6,485","4,437","4,611","5,087","3,860","3,674","2,543","3,126"
2020,3,30,"59,673","4,610","4,781",,"4,886","4,275","2,356","5,474","4,717","4,163","3,966","8,621","3,285","3,379","2,342","2,818"
2020,3,40,"74,587","4,432","5,043",,"5,811","5,824","3,450","7,221","7,300","5,218","6,684","8,605","4,456","3,968","2,944","3,631"
2020,3,50,"79,147","5,609","5,661",,"5,811","5,998","3,396","8,629","8,387","5,883","5,833","5,840","5,226","5,202","3,671","4,001"
2020,3,60,"53,444","4,294","3,813",,"5,052","4,335","2,708","5,581","5,114","3,884","2,850","3,432","3,354","3,577","2,763","2,687"
2020,3,70,"30,421","2,230","2,138",,"3,391","3,010","1,673","2,909","2,666","1,948","1,872","1,595","1,884","2,063","1,553","1,489"
2020,3,80,"13,235","1,016",857,,"1,210","1,251",749,"1,255","1,250","1,014",901,634,883,805,714,696
2020,3,90,"1,777",143,110,,129,143,108,151,181,161,121,91,122,116,91,110
2020,3,100,207,59,11,,18,8,10,12,8,11,4,1,18,10,35,2
2020,4,총,"454,222","31,139","31,737",,"36,439","35,664","20,678","44,921","44,311","32,921","34,341","45,860","27,792","26,439","19,478","22,502"
2020,4,0,"34,872","1,169","1,895",,"2,493","2,627","1,583","3,006","3,123","2,516","2,997","6,909","2,086","1,575","1,188","1,705"
2020,4,10,"43,152","1,657","2,281",,"2,878","3,585","2,086","4,329","5,076","3,148","4,478","4,983","2,663","2,088","1,685","2,215"
2020,4,20,"63,094","5,834","5,196",,"4,717","4,601","2,420","6,374","6,500","4,517","4,631","5,099","3,868","3,682","2,528","3,127"
2020,4,30,"59,717","4,658","4,753",,"4,845","4,245","2,400","5,459","4,699","4,283","3,971","8,612","3,275","3,375","2,328","2,814"
2020,4,40,"74,593","4,433","5,024",,"5,847","5,818","3,465","7,197","7,249","5,330","6,658","8,652","4,435","3,946","2,918","3,621"
2020,4,50,"79,153","5,616","5,638",,"5,816","6,003","3,436","8,625","8,372","5,953","5,830","5,838","5,203","5,180","3,650","3,993"
2020,4,60,"53,819","4,310","3,822",,"5,070","4,361","2,720","5,599","5,178","3,999","2,872","3,430","3,358","3,595","2,797","2,708"
2020,4,70,"30,510","2,245","2,143",,"3,407","3,011","1,689","2,912","2,672","1,967","1,878","1,607","1,879","2,065","1,538","1,497"
2020,4,80,"13,320","1,014",861,,"1,216","1,263",761,"1,259","1,253","1,038",898,639,886,808,714,710
2020,4,90,"1,786",144,113,,132,142,108,150,181,159,124,90,121,115,97,110
2020,4,100,206,59,11,,18,8,10,11,8,11,4,1,18,10,35,2
2020,5,총,"454,859","31,261","31,666",,"36,417","35,592","20,788","44,896","44,233","33,654","34,243","46,085","27,764","26,404","19,397","22,459"
2020,5,0,"34,836","1,164","1,874",,"2,468","2,613","1,587","2,986","3,105","2,627","2,983","6,905","2,078","1,576","1,181","1,689"
2020,5,10,"43,008","1,654","2,252",,"2,874","3,551","2,109","4,305","5,029","3,196","4,436","5,017","2,655","2,072","1,666","2,192"
2020,5,20,"63,215","5,900","5,222",,"4,710","4,582","2,412","6,381","6,494","4,617","4,627","5,115","3,854","3,684","2,501","3,116"
2020,5,30,"59,747","4,677","4,729",,"4,795","4,225","2,419","5,459","4,674","4,415","3,941","8,654","3,263","3,367","2,323","2,806"
2020,5,40,"74,551","4,438","4,965",,"5,873","5,794","3,488","7,139","7,224","5,450","6,609","8,706","4,428","3,931","2,898","3,608"
2020,5,50,"79,362","5,629","5,636",,"5,818","6,006","3,455","8,643","8,359","6,072","5,851","5,882","5,210","5,172","3,651","3,978"
2020,5,60,"54,100","4,324","3,843",,"5,079","4,399","2,740","5,619","5,210","4,062","2,882","3,461","3,365","3,592","2,788","2,736"
2020,5,70,"30,625","2,259","2,161",,"3,417","3,003","1,703","2,921","2,675","1,991","1,885","1,618","1,876","2,066","1,544","1,506"
2020,5,80,"13,411","1,015",859,,"1,232","1,270",753,"1,276","1,272","1,052",899,636,897,822,712,716
2020,5,90,"1,794",142,114,,133,140,112,156,183,161,126,90,120,109,98,110
2020,5,100,210,59,11,,18,9,10,11,8,11,4,1,18,13,35,2
2020,6,총,"455,520","31,413","31,601",,"36,434","35,592","20,847","44,879","44,195","34,385","34,196","46,170","27,680","26,370","19,330","22,428"
2020,6,0,"34,754","1,173","1,862",,"2,455","2,604","1,598","2,969","3,076","2,711","2,961","6,882","2,061","1,570","1,158","1,674"
2020,6,10,"42,919","1,660","2,233",,"2,877","3,519","2,107","4,291","5,015","3,227","4,410","5,058","2,623","2,061","1,666","2,172"
2020,6,20,"63,363","5,957","5,232",,"4,714","4,593","2,415","6,364","6,477","4,755","4,637","5,105","3,842","3,665","2,501","3,106"
2020,6,30,"59,777","4,709","4,720",,"4,757","4,223","2,422","5,427","4,657","4,593","3,906","8,642","3,279","3,358","2,296","2,788"
2020,6,40,"74,609","4,454","4,956",,"5,896","5,762","3,506","7,124","7,219","5,563","6,579","8,763","4,394","3,896","2,897","3,600"
2020,6,50,"79,341","5,619","5,591",,"5,820","6,022","3,448","8,635","8,363","6,134","5,848","5,890","5,184","5,171","3,633","3,983"
2020,6,60,"54,529","4,352","3,870",,"5,096","4,424","2,771","5,676","5,234","4,156","2,920","3,473","3,385","3,618","2,803","2,751"
2020,6,70,"30,732","2,270","2,156",,"3,429","3,010","1,710","2,943","2,692","2,007","1,891","1,624","1,870","2,083","1,530","1,517"
2020,6,80,"13,481","1,018",860,,"1,237","1,286",745,"1,284","1,267","1,071",908,640,904,826,714,721
2020,6,90,"1,804",142,110,,135,140,115,155,187,157,132,92,120,109,96,114
2020,6,100,211,59,11,,18,9,10,11,8,11,4,1,18,13,36,2
2020,7,총,"455,671","31,411","31,542",,"36,364","35,531","20,869","44,738","44,166","35,181","34,099","46,351","27,540","26,270","19,281","22,328"
2020,7,0,"34,555","1,174","1,857",,"2,427","2,587","1,596","2,941","3,030","2,751","2,936","6,870","2,046","1,554","1,140","1,646"
2020,7,10,"42,816","1,641","2,222",,"2,852","3,504","2,112","4,261","5,013","3,229","4,407","5,092","2,610","2,045","1,651","2,177"
2020,7,20,"63,429","6,048","5,213",,"4,713","4,584","2,414","6,325","6,481","4,902","4,596","5,135","3,809","3,627","2,514","3,068"
2020,7,30,"59,604","4,705","4,715",,"4,754","4,210","2,409","5,382","4,611","4,698","3,907","8,619","3,242","3,348","2,259","2,745"
2020,7,40,"74,531","4,454","4,948",,"5,875","5,749","3,493","7,089","7,206","5,651","6,523","8,802","4,363","3,879","2,895","3,604"
2020,7,50,"79,484","5,552","5,584",,"5,826","5,994","3,464","8,657","8,354","6,302","5,868","5,945","5,162","5,169","3,633","3,974"
2020,7,60,"54,857","4,354","3,867",,"5,107","4,431","2,785","5,685","5,301","4,310","2,917","3,507","3,403","3,619","2,819","2,752"
2020,7,70,"30,807","2,260","2,144",,"3,414","3,022","1,712","2,954","2,709","2,071","1,901","1,641","1,858","2,073","1,523","1,525"
2020,7,80,"13,574","1,022",870,,"1,242","1,298",757,"1,281","1,262","1,103",908,649,912,838,714,718
2020,7,90,"1,800",141,111,,136,142,117,152,191,153,132,90,116,105,97,117
2020,7,100,214,60,11,,18,10,10,11,8,11,4,1,19,13,36,2
2020,8,총,"456,660","31,467","31,440",,"36,282","35,443","20,806","44,492","44,929","36,504","33,932","46,291","27,390","26,216","19,200","22,268"
2020,8,0,"34,502","1,154","1,850",,"2,370","2,559","1,586","2,909","3,144","2,873","2,920","6,814","2,019","1,563","1,114","1,627"
2020,8,10,"42,696","1,634","2,198",,"2,844","3,491","2,094","4,217","5,039","3,288","4,363","5,091","2,583","2,040","1,648","2,166"
2020,8,20,"63,593","6,122","5,192",,"4,719","4,578","2,425","6,266","6,543","5,104","4,588","5,142","3,781","3,579","2,500","3,054"
2020,8,30,"59,722","4,703","4,684",,"4,717","4,188","2,391","5,349","4,780","4,984","3,841","8,558","3,221","3,356","2,241","2,709"
2020,8,40,"74,508","4,446","4,919",,"5,873","5,719","3,468","7,002","7,318","5,827","6,469","8,831","4,327","3,869","2,848","3,592"
2020,8,50,"79,676","5,541","5,568",,"5,815","5,980","3,469","8,629","8,476","6,495","5,871","5,952","5,156","5,120","3,630","3,974"
2020,8,60,"55,323","4,377","3,890",,"5,118","4,449","2,790","5,707","5,406","4,475","2,921","3,511","3,410","3,658","2,838","2,773"
2020,8,70,"30,936","2,259","2,132",,"3,422","3,012","1,705","2,962","2,741","2,158","1,909","1,647","1,847","2,071","1,534","1,537"
2020,8,80,"13,658","1,028",881,,"1,246","1,312",751,"1,282","1,278","1,135",910,656,910,843,712,714
2020,8,90,"1,832",143,115,,140,145,117,158,196,154,136,88,117,104,100,119
2020,8,100,214,60,11,,18,10,10,11,8,11,4,1,19,13,35,3
2020,9,총,"458,273","31,472","31,296",,"36,239","35,293","20,740","44,268","46,876","37,225","33,843","46,321","27,201","26,134","19,170","22,195"
2020,9,0,"34,511","1,138","1,832",,"2,353","2,519","1,578","2,869","3,391","2,947","2,894","6,784","1,951","1,532","1,111","1,612"
2020,9,10,"42,677","1,624","2,174",,"2,835","3,474","2,094","4,178","5,174","3,312","4,340","5,098","2,550","2,037","1,639","2,148"
2020,9,20,"63,916","6,183","5,156",,"4,703","4,576","2,411","6,221","6,806","5,232","4,583","5,159","3,774","3,579","2,502","3,031"
2020,9,30,"59,835","4,697","4,660",,"4,694","4,122","2,383","5,301","5,143","5,132","3,799","8,494","3,201","3,313","2,225","2,671"
2020,9,40,"74,626","4,407","4,868",,"5,853","5,687","3,459","6,951","7,644","5,930","6,440","8,850","4,257","3,863","2,839","3,578"
2020,9,50,"79,939","5,522","5,565",,"5,822","5,969","3,450","8,579","8,762","6,596","5,885","5,972","5,134","5,100","3,616","3,967"
2020,9,60,"55,883","4,397","3,901",,"5,128","4,461","2,787","5,752","5,654","4,575","2,942","3,540","3,416","3,675","2,851","2,804"
2020,9,70,"31,029","2,269","2,132",,"3,418","3,006","1,701","2,962","2,796","2,178","1,904","1,659","1,867","2,066","1,530","1,541"
2020,9,80,"13,783","1,031",882,,"1,274","1,318",755,"1,279","1,300","1,155",915,675,913,849,717,720
2020,9,90,"1,857",144,114,,141,151,111,165,197,157,137,89,119,107,105,120
2020,9,100,217,60,12,,18,10,11,11,9,11,4,1,19,13,35,3
2020,10,총,"459,418","31,465","31,258",,"36,266","35,296","20,693","44,060","47,837","37,518","33,939","46,450","27,154","26,119","19,165","22,198"
2020,10,0,"34,472","1,128","1,827",,"2,337","2,505","1,555","2,841","3,508","2,958","2,902","6,761","1,934","1,520","1,105","1,591"
2020,10,10,"42,593","1,609","2,160",,"2,815","3,463","2,081","4,107","5,216","3,321","4,346","5,116","2,545","2,027","1,635","2,152"
2020,10,20,"64,160","6,205","5,178",,"4,748","4,578","2,410","6,197","6,926","5,293","4,578","5,166","3,751","3,588","2,507","3,035"
2020,10,30,"59,855","4,694","4,614",,"4,655","4,111","2,355","5,238","5,381","5,175","3,798","8,449","3,192","3,318","2,224","2,651"
2020,10,40,"74,664","4,389","4,860",,"5,855","5,670","3,463","6,883","7,764","5,953","6,442","8,907","4,249","3,842","2,809","3,578"
2020,10,50,"80,168","5,519","5,547",,"5,846","5,988","3,439","8,565","8,891","6,635","5,922","6,013","5,114","5,101","3,621","3,967"
2020,10,60,"56,373","4,417","3,932",,"5,141","4,484","2,799","5,785","5,778","4,651","2,973","3,596","3,436","3,680","2,873","2,828"
2020,10,70,"31,156","2,272","2,130",,"3,430","3,010","1,707","2,976","2,838","2,194","1,915","1,671","1,870","2,071","1,532","1,540"
2020,10,80,"13,892","1,031",886,,"1,277","1,324",764,"1,290","1,321","1,173",918,682,925,849,719,733
2020,10,90,"1,861",140,113,,143,152,108,167,205,153,141,87,118,109,105,120
2020,10,100,224,61,11,,19,11,12,11,9,12,4,2,20,14,35,3
2020,11,총,"460,390","31,515","31,239",,"36,297","35,314","20,728","44,031","48,111","38,065","33,903","46,547","27,163","26,129","19,151","22,197"
2020,11,0,"34,369","1,121","1,812",,"2,322","2,500","1,539","2,822","3,521","3,023","2,890","6,723","1,915","1,517","1,097","1,567"
2020,11,10,"42,614","1,592","2,135",,"2,824","3,450","2,094","4,084","5,236","3,379","4,328","5,150","2,537","2,024","1,613","2,168"
2020,11,20,"64,366","6,266","5,207",,"4,735","4,574","2,425","6,184","6,945","5,349","4,575","5,194","3,753","3,598","2,512","3,049"
2020,11,30,"59,901","4,712","4,610",,"4,649","4,098","2,335","5,236","5,446","5,267","3,794","8,399","3,181","3,329","2,214","2,631"
2020,11,40,"74,755","4,372","4,849",,"5,845","5,662","3,468","6,863","7,769","6,069","6,406","8,987","4,254","3,826","2,805","3,580"
2020,11,50,"80,261","5,534","5,531",,"5,860","5,974","3,447","8,551","8,940","6,689","5,937","6,013","5,118","5,089","3,617","3,961"
2020,11,60,"56,826","4,409","3,955",,"5,163","4,535","2,826","5,836","5,865","4,734","2,985","3,623","3,463","3,696","2,891","2,845"
2020,11,70,"31,237","2,272","2,128",,"3,451","3,017","1,706","2,979","2,845","2,209","1,930","1,680","1,872","2,069","1,538","1,541"
2020,11,80,"13,969","1,035",889,,"1,284","1,338",768,"1,300","1,332","1,179",915,690,923,859,722,735
2020,11,90,"1,865",141,112,,145,155,108,165,202,155,138,85,127,108,107,117
2020,11,100,227,61,11,,19,11,12,11,10,12,5,3,20,14,35,3
2020,12,총,"461,710","31,550","31,280",,"36,246","35,257","20,688","43,940","48,211","39,625","33,781","46,531","27,135","26,125","19,148","22,193"
2020,12,0,"34,453","1,112","1,806",,"2,301","2,492","1,531","2,798","3,507","3,284","2,858","6,680","1,921","1,511","1,106","1,546"
2020,12,10,"42,539","1,592","2,114",,"2,808","3,434","2,076","4,052","5,235","3,505","4,304","5,128","2,517","2,031","1,587","2,156"
2020,12,20,"64,571","6,303","5,283",,"4,719","4,560","2,429","6,186","6,971","5,512","4,535","5,188","3,737","3,589","2,514","3,045"
2020,12,30,"60,147","4,715","4,587",,"4,624","4,065","2,321","5,219","5,451","5,578","3,805","8,373","3,189","3,330","2,244","2,646"
2020,12,40,"74,794","4,362","4,821",,"5,818","5,633","3,462","6,798","7,748","6,376","6,348","9,008","4,227","3,857","2,779","3,557"
2020,12,50,"80,387","5,517","5,534",,"5,872","5,960","3,432","8,564","8,971","6,895","5,929","6,014","5,104","5,025","3,602","3,968"
2020,12,60,"57,284","4,430","3,981",,"5,183","4,569","2,836","5,873","5,902","4,862","2,995","3,667","3,487","3,724","2,904","2,871"
2020,12,70,"31,313","2,277","2,138",,"3,461","3,014","1,708","2,959","2,866","2,252","1,936","1,680","1,871","2,064","1,541","1,546"
2020,12,80,"14,102","1,035",888,,"1,296","1,359",773,"1,315","1,344","1,193",923,698,941,871,731,735
2020,12,90,"1,887",145,116,,144,160,108,164,206,155,143,92,120,109,105,120
2020,12,100,233,62,12,,20,11,12,12,10,13,5,3,21,14,35,3
2021,1,총,"462,499","31,760","31,351",,"36,257","35,225","20,673","43,895","48,203","40,281","33,740","46,600","27,096","26,096","19,174","22,148"
2021,1,0,"34,316","1,109","1,792",,"2,300","2,448","1,525","2,779","3,469","3,384","2,819","6,643","1,910","1,498","1,116","1,524"
2021,1,10,"42,445","1,607","2,110",,"2,787","3,414","2,082","4,008","5,204","3,567","4,271","5,160","2,488","2,022","1,578","2,147"
2021,1,20,"64,700","6,366","5,312",,"4,735","4,578","2,406","6,187","6,944","5,576","4,556","5,197","3,725","3,582","2,511","3,025"
2021,1,30,"60,085","4,779","4,598",,"4,583","4,027","2,300","5,178","5,472","5,702","3,803","8,292","3,184","3,287","2,250","2,630"
2021,1,40,"74,819","4,377","4,822",,"5,776","5,615","3,457","6,767","7,732","6,535","6,299","9,053","4,208","3,871","2,765","3,542"
2021,1,50,"80,522","5,526","5,565",,"5,900","5,961","3,434","8,593","8,946","6,936","5,959","6,042","5,080","4,999","3,607","3,974"
2021,1,60,"57,843","4,468","3,989",,"5,231","4,614","2,848","5,912","5,988","4,937","3,029","3,719","3,518","3,772","2,927","2,891"
2021,1,70,"31,433","2,273","2,147",,"3,476","3,027","1,719","2,972","2,872","2,266","1,932","1,697","1,894","2,054","1,547","1,557"
2021,1,80,"14,193","1,047",885,,"1,306","1,366",780,"1,324","1,356","1,203",927,697,946,887,735,734
2021,1,90,"1,908",145,119,,143,165,110,163,209,162,140,96,122,110,103,121
2021,1,100,235,63,12,,20,10,12,12,11,13,5,4,21,14,35,3
2021,2,총,"462,619","32,029","31,353",,"36,362","35,143","20,626","43,760","48,176","40,412","33,730","46,615","27,108","26,115","19,091","22,099"
2021,2,0,"34,113","1,117","1,782",,"2,286","2,413","1,494","2,748","3,470","3,403","2,796","6,598","1,911","1,502","1,090","1,503"
2021,2,10,"42,272","1,618","2,114",,"2,800","3,396","2,074","3,968","5,147","3,585","4,242","5,158","2,470","2,015","1,557","2,128"
2021,2,20,"64,815","6,514","5,322",,"4,753","4,572","2,423","6,140","6,938","5,555","4,564","5,201","3,741","3,596","2,494","3,002"
2021,2,30,"59,849","4,807","4,592",,"4,570","4,001","2,277","5,147","5,479","5,709","3,779","8,201","3,170","3,267","2,230","2,620"
2021,2,40,"74,735","4,408","4,809",,"5,786","5,593","3,440","6,742","7,697","6,529","6,301","9,109","4,194","3,867","2,738","3,522"
2021,2,50,"80,621","5,500","5,540",,"5,940","5,981","3,434","8,574","8,957","6,989","5,989","6,077","5,080","4,985","3,596","3,979"
2021,2,60,"58,291","4,515","4,018",,"5,265","4,614","2,851","5,960","6,036","4,975","3,049","3,764","3,560","3,807","2,961","2,916"
2021,2,70,"31,406","2,283","2,140",,"3,479","3,013","1,712","2,971","2,874","2,272","1,925","1,699","1,889","2,050","1,541","1,558"
2021,2,80,"14,344","1,053",905,,"1,318","1,383",794,"1,334","1,355","1,217",938,707,952,901,744,743
2021,2,90,"1,938",151,119,,145,167,115,164,212,165,142,97,120,111,105,125
2021,2,100,235,63,12,,20,10,12,12,11,13,5,4,21,14,35,3
2021,3,총,"461,143","32,219","31,306",,"36,204","35,004","20,545","43,521","48,080","40,283","33,676","46,734","26,978","25,963","18,673","21,957"
2021,3,0,"33,963","1,121","1,778",,"2,275","2,391","1,480","2,732","3,436","3,408","2,774","6,587","1,917","1,494","1,085","1,485"
2021,3,10,"42,135","1,623","2,109",,"2,795","3,395","2,057","3,940","5,115","3,564","4,231","5,177","2,448","2,014","1,552","2,115"
2021,3,20,"64,877","6,597","5,360",,"4,744","4,542","2,415","6,114","6,940","5,541","4,582","5,189","3,770","3,594","2,494","2,995"
2021,3,30,"59,663","4,852","4,595",,"4,520","3,976","2,249","5,107","5,450","5,716","3,779","8,203","3,176","3,255","2,200","2,585"
2021,3,40,"74,309","4,409","4,778",,"5,749","5,549","3,436","6,669","7,662","6,515","6,248","9,123","4,147","3,839","2,686","3,499"
2021,3,50,"80,292","5,503","5,496",,"5,899","5,986","3,416","8,532","8,922","6,974","5,997","6,111","5,060","4,926","3,524","3,946"
2021,3,60,"58,388","4,562","4,053",,"5,281","4,620","2,856","5,983","6,099","4,933","3,083","3,816","3,532","3,804","2,844","2,922"
2021,3,70,"31,148","2,287","2,115",,"3,465","2,991","1,713","2,937","2,868","2,253","1,901","1,714","1,868","2,022","1,472","1,542"
2021,3,80,"14,342","1,050",902,,"1,330","1,393",796,"1,339","1,373","1,207",939,713,939,902,718,741
2021,3,90,"1,899",153,115,,144,156,118,163,211,165,139,98,116,108,88,125
2021,3,100,127,62,5,,2,5,9,5,4,7,3,3,5,5,10,2
2021,4,총,"461,077","32,291","31,320",,"36,185","34,940","20,507","43,428","48,026","40,368","33,660","46,832","27,033","25,956","18,616","21,915"
2021,4,0,"33,807","1,111","1,771",,"2,252","2,378","1,456","2,720","3,429","3,419","2,764","6,565","1,904","1,491","1,078","1,469"
2021,4,10,"41,978","1,645","2,088",,"2,802","3,375","2,043","3,905","5,072","3,569","4,209","5,189","2,445","2,015","1,531","2,090"
2021,4,20,"64,810","6,586","5,367",,"4,732","4,534","2,419","6,085","6,929","5,533","4,587","5,208","3,773","3,579","2,484","2,994"
2021,4,30,"59,618","4,881","4,592",,"4,512","3,955","2,234","5,090","5,466","5,717","3,776","8,159","3,201","3,263","2,207","2,565"
2021,4,40,"74,164","4,421","4,768",,"5,732","5,537","3,413","6,639","7,624","6,513","6,230","9,171","4,150","3,830","2,661","3,475"
2021,4,50,"80,276","5,500","5,513",,"5,904","5,968","3,421","8,518","8,907","6,986","6,014","6,121","5,059","4,918","3,502","3,945"
2021,4,60,"58,778","4,585","4,077",,"5,300","4,632","2,880","6,011","6,132","4,985","3,103","3,869","3,563","3,811","2,869","2,961"
2021,4,70,"31,165","2,290","2,110",,"3,463","2,993","1,708","2,945","2,872","2,257","1,894","1,721","1,872","2,024","1,472","1,544"
2021,4,80,"14,451","1,056",917,,"1,345","1,407",806,"1,341","1,376","1,216",943,724,944,911,717,748
2021,4,90,"1,902",154,112,,141,156,118,168,215,166,137,102,117,109,85,122
2021,4,100,128,62,5,,2,5,9,6,4,7,3,3,5,5,10,2
2021,5,총,"460,923","32,145","31,248",,"36,164","34,940","20,456","43,411","48,051","40,451","33,635","46,868","27,028","26,004","18,618","21,904"
2021,5,0,"33,671","1,125","1,749",,"2,236","2,367","1,449","2,713","3,441","3,422","2,748","6,528","1,892","1,487","1,060","1,454"
2021,5,10,"41,864","1,633","2,085",,"2,800","3,374","2,035","3,855","5,047","3,567","4,197","5,210","2,442","2,020","1,521","2,078"
2021,5,20,"64,786","6,659","5,362",,"4,701","4,533","2,393","6,082","6,914","5,522","4,588","5,202","3,775","3,572","2,497","2,986"
2021,5,30,"59,555","4,916","4,585",,"4,483","3,931","2,234","5,074","5,478","5,720","3,767","8,108","3,216","3,287","2,196","2,560"
2021,5,40,"73,829","4,394","4,714",,"5,731","5,518","3,388","6,582","7,580","6,506","6,202","9,161","4,115","3,806","2,659","3,473"
2021,5,50,"80,450","5,468","5,515",,"5,903","5,985","3,428","8,548","8,906","7,013","6,032","6,182","5,076","4,949","3,502","3,943"
2021,5,60,"59,164","4,559","4,097",,"5,335","4,653","2,879","6,084","6,212","5,046","3,110","3,908","3,582","3,828","2,886","2,985"
2021,5,70,"31,128","2,222","2,098",,"3,472","3,003","1,710","2,941","2,878","2,261","1,903","1,731","1,866","2,026","1,475","1,542"
2021,5,80,"14,509","1,027",926,,"1,357","1,412",811,"1,358","1,374","1,218",951,732,945,915,725,758
2021,5,90,"1,891",133,112,,144,159,120,168,217,169,134,103,114,108,87,123
2021,5,100,76,9,5,,2,5,9,6,4,7,3,3,5,6,10,2
2021,6,총,"461,523","32,117","31,352",,"36,137","34,944","20,385","43,352","47,973","41,293","33,607","46,822","27,059","25,972","18,639","21,871"
2021,6,0,"33,633","1,122","1,752",,"2,206","2,355","1,438","2,713","3,425","3,489","2,733","6,516","1,889","1,483","1,065","1,447"
2021,6,10,"41,795","1,612","2,069",,"2,815","3,383","2,032","3,824","5,024","3,576","4,203","5,223","2,438","2,007","1,516","2,073"
2021,6,20,"64,783","6,660","5,398",,"4,681","4,509","2,387","6,063","6,903","5,671","4,576","5,143","3,775","3,550","2,496","2,971"
2021,6,30,"59,739","4,935","4,606",,"4,468","3,934","2,228","5,046","5,473","5,968","3,766","8,057","3,214","3,295","2,199","2,550"
