년도,월,나이,세종특별자치시,세종특별자치시
2021,3,50,"21,969","21,969"
2021,3,60,"15,792","15,792"
2021,3,70,"7,763","7,763"
2021,3,80,"4,790","4,790"
2021,3,90,965,965
2021,3,100,30,30
2021,4,총,"180,934","180,934"
2021,4,0,"23,101","23,101"
2021,4,10,"21,719","21,719"
2021,4,20,"18,602","18,602"
2021,4,30,"31,464","31,464"
2021,4,40,"34,478","34,478"
2021,4,50,"22,067","22,067"
2021,4,60,"15,932","15,932"
2021,4,70,"7,741","7,741"
2021,4,80,"4,815","4,815"
2021,4,90,986,986
2021,4,100,29,29
2021,5,총,"181,258","181,258"
2021,5,0,"23,019","23,019"
2021,5,10,"21,817","21,817"
2021,5,20,"18,587","18,587"
2021,5,30,"31,388","31,388"
2021,5,40,"34,551","34,551"
2021,5,50,"22,209","22,209"
2021,5,60,"16,065","16,065"
2021,5,70,"7,764","7,764"
2021,5,80,"4,823","4,823"
2021,5,90,"1,006","1,006"
2021,5,100,29,29
2021,6,총,"181,667","181,667"
2021,6,0,"22,955","22,955"
2021,6,10,"21,923","21,923"
2021,6,20,"18,638","18,638"
2021,6,30,"31,311","31,311"
2021,6,40,"34,723","34,723"
2021,6,50,"22,240","22,240"
2021,6,60,"16,222","16,222"
2021,6,70,"7,782","7,782"
2021,6,80,"4,829","4,829"
2021,6,90,"1,015","1,015"
2021,6,100,29,29
2021,7,총,"182,368","182,368"
2021,7,0,"22,981","22,981"
2021,7,10,"22,035","22,035"
2021,7,20,"18,676","18,676"
2021,7,30,"31,325","31,325"
2021,7,40,"34,950","34,950"
2021,7,50,"22,358","22,358"
2021,7,60,"16,358","16,358"
2021,7,70,"7,800","7,800"
2021,7,80,"4,852","4,852"
2021,7,90,"1,005","1,005"
2021,7,100,28,28
2021,8,총,"182,879","182,879"
2021,8,0,"22,975","22,975"
2021,8,10,"22,139","22,139"
2021,8,20,"18,639","18,639"
2021,8,30,"31,320","31,320"
2021,8,40,"35,064","35,064"
2021,8,50,"22,521","22,521"
2021,8,60,"16,481","16,481"
2021,8,70,"7,824","7,824"
2021,8,80,"4,885","4,885"
2021,8,90,"1,002","1,002"
2021,8,100,29,29
2021,9,총,"183,516","183,516"
2021,9,0,"23,007","23,007"
2021,9,10,"22,231","22,231"
2021,9,20,"18,630","18,630"
2021,9,30,"31,341","31,341"
2021,9,40,"35,247","35,247"
2021,9,50,"22,693","22,693"
2021,9,60,"16,574","16,574"
2021,9,70,"7,845","7,845"
2021,9,80,"4,898","4,898"
2021,9,90,"1,021","1,021"
2021,9,100,29,29
2021,10,총,"184,397","184,397"
2021,10,0,"23,033","23,033"
2021,10,10,"22,427","22,427"
2021,10,20,"18,613","18,613"
2021,10,30,"31,414","31,414"
2021,10,40,"35,464","35,464"
2021,10,50,"22,909","22,909"
2021,10,60,"16,705","16,705"
2021,10,70,"7,849","7,849"
2021,10,80,"4,932","4,932"
2021,10,90,"1,021","1,021"
2021,10,100,30,30
2021,11,총,"185,024","185,024"
2021,11,0,"23,017","23,017"
2021,11,10,"22,515","22,515"
2021,11,20,"18,638","18,638"
2021,11,30,"31,420","31,420"
2021,11,40,"35,655","35,655"
2021,11,50,"23,111","23,111"
2021,11,60,"16,811","16,811"
2021,11,70,"7,852","7,852"
2021,11,80,"4,952","4,952"
2021,11,90,"1,023","1,023"
2021,11,100,30,30
2021,12,총,"186,217","186,217"
2021,12,0,"23,079","23,079"
2021,12,10,"22,713","22,713"
2021,12,20,"18,782","18,782"
2021,12,30,"31,588","31,588"
2021,12,40,"35,933","35,933"
2021,12,50,"23,295","23,295"
2021,12,60,"16,926","16,926"
2021,12,70,"7,905","7,905"
2021,12,80,"4,951","4,951"
2021,12,90,"1,025","1,025"
2021,12,100,20,20
