년도,월,나이,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021,12,0,"1,872",323,569,634,346
2021,12,10,"2,953",477,"1,053",914,509
2021,12,20,"2,174",413,"1,035",330,396
2021,12,30,"2,314",421,826,641,426
2021,12,40,"4,229",674,"1,581","1,186",788
2021,12,50,"3,598",716,"1,789",299,794
2021,12,60,"2,562",576,"1,292",67,627
2021,12,70,"1,138",232,634,34,238
2021,12,80,771,133,494,13,131
2021,12,90,155,40,96,1,18
2021,12,100,2,1,0,0,1
