년도,월,나이,강진군,강진읍,군동면,칠량면,대구면,도암면,신전면,성전면,작천면,병영면,옴천면,마량면
2020,12,80,"2,482",561,354,216,99,260,172,243,203,172,81,121
2020,12,90,429,90,52,39,25,48,26,45,36,37,14,17
2020,12,100,25,9,2,2,1,5,1,2,1,2,0,0
2021,1,총,"17,875","7,081","2,255","1,195",606,"1,290",948,"1,425",961,878,328,908
2021,1,0,882,494,124,26,18,26,48,54,19,28,7,38
2021,1,10,"1,214",670,159,63,19,64,47,65,36,35,21,35
2021,1,20,"1,268",707,145,62,28,45,36,68,51,43,16,67
2021,1,30,"1,179",655,148,49,23,44,48,77,40,31,15,49
2021,1,40,"1,671",927,228,77,38,75,58,100,39,53,13,63
2021,1,50,"2,599","1,110",333,178,77,154,131,183,129,121,42,141
2021,1,60,"3,127","1,048",347,227,142,276,206,296,181,167,48,189
2021,1,70,"2,980",806,366,255,132,287,174,288,224,191,70,187
2021,1,80,"2,490",563,350,215,103,264,172,244,204,171,82,122
2021,1,90,438,92,53,41,25,48,27,48,37,36,14,17
2021,1,100,27,9,2,2,1,7,1,2,1,2,0,0
2021,2,총,"17,820","7,050","2,264","1,195",598,"1,284",947,"1,421",959,873,323,906
2021,2,0,864,481,125,25,18,26,46,51,19,28,7,38
2021,2,10,"1,214",670,157,66,19,64,48,67,34,34,20,35
2021,2,20,"1,244",705,147,59,24,44,32,65,49,40,15,64
2021,2,30,"1,165",640,151,49,23,44,47,77,37,33,13,51
2021,2,40,"1,677",932,229,78,38,70,58,98,43,54,14,63
2021,2,50,"2,593","1,100",335,179,77,155,132,188,128,119,41,139
2021,2,60,"3,135","1,051",349,228,140,276,209,296,180,166,49,191
2021,2,70,"2,971",806,364,253,131,287,174,287,228,190,68,183
2021,2,80,"2,489",565,350,214,101,263,172,243,205,171,81,124
2021,2,90,441,91,55,42,26,48,28,47,35,36,15,18
2021,2,100,27,9,2,2,1,7,1,2,1,2,0,0
2021,3,총,"17,722","7,004","2,259","1,196",591,"1,283",937,"1,421",954,857,319,901
2021,3,0,852,475,123,25,16,25,45,53,17,27,7,39
2021,3,10,"1,209",666,156,68,22,61,46,68,34,34,19,35
2021,3,20,"1,245",705,147,60,24,47,32,65,50,39,15,61
2021,3,30,"1,143",627,154,45,23,43,44,76,37,31,13,50
2021,3,40,"1,641",913,228,76,35,72,56,93,41,50,13,64
2021,3,50,"2,584","1,098",334,181,75,156,133,192,124,116,39,136
2021,3,60,"3,139","1,046",352,232,139,276,208,296,182,166,49,193
2021,3,70,"2,943",804,360,251,129,283,169,287,225,185,68,182
2021,3,80,"2,481",566,346,213,99,262,174,242,206,171,81,121
2021,3,90,462,95,57,44,28,51,29,49,37,37,15,20
2021,3,100,23,9,2,1,1,7,1,0,1,1,0,0
2021,4,총,"17,712","7,003","2,263","1,189",595,"1,292",929,"1,419",952,858,316,896
2021,4,0,845,471,124,25,17,26,44,50,16,27,7,38
2021,4,10,"1,203",663,153,68,23,63,46,67,33,34,19,34
2021,4,20,"1,239",708,145,60,23,48,29,66,49,39,13,59
2021,4,30,"1,138",612,158,45,25,44,44,78,37,31,13,51
2021,4,40,"1,646",920,228,74,33,74,55,93,43,49,13,64
2021,4,50,"2,578","1,094",338,183,75,158,133,186,124,117,36,134
2021,4,60,"3,155","1,056",349,228,140,277,208,301,185,166,52,193
2021,4,70,"2,931",804,362,250,131,279,166,284,219,185,68,183
2021,4,80,"2,487",571,345,211,99,265,174,243,208,171,79,121
2021,4,90,467,95,59,44,28,51,29,51,37,38,16,19
2021,4,100,23,9,2,1,1,7,1,0,1,1,0,0
2021,5,총,"17,693","6,978","2,266","1,181",593,"1,293",929,"1,426",951,858,315,903
2021,5,0,849,470,127,25,17,26,43,52,16,27,7,39
2021,5,10,"1,189",658,150,66,22,63,46,66,30,34,19,35
2021,5,20,"1,224",690,149,59,24,46,29,67,52,38,13,57
2021,5,30,"1,142",612,159,45,24,43,43,79,36,32,13,56
2021,5,40,"1,642",916,227,72,34,76,56,92,43,48,13,65
2021,5,50,"2,576","1,091",334,183,75,156,133,188,125,118,36,137
2021,5,60,"3,158","1,054",353,226,139,281,208,301,184,167,52,193
2021,5,70,"2,922",810,362,248,130,276,165,283,215,184,68,181
2021,5,80,"2,489",569,343,212,100,266,175,247,212,171,77,117
2021,5,90,479,99,60,44,27,53,30,51,37,38,17,23
2021,5,100,23,9,2,1,1,7,1,0,1,1,0,0
2021,6,총,"17,667","6,973","2,263","1,178",595,"1,293",927,"1,415",947,855,316,905
2021,6,0,838,460,128,24,17,27,44,49,15,27,7,40
2021,6,10,"1,188",663,148,65,21,62,45,66,31,34,18,35
2021,6,20,"1,217",688,148,60,24,45,29,63,53,37,13,57
2021,6,30,"1,136",603,163,45,24,44,42,79,35,31,14,56
2021,6,40,"1,634",913,223,69,35,75,58,93,43,48,12,65
2021,6,50,"2,562","1,088",331,181,77,156,131,182,126,118,37,135
2021,6,60,"3,175","1,062",354,230,139,278,207,304,183,170,52,196
2021,6,70,"2,913",815,361,247,127,275,166,283,213,179,68,179
2021,6,80,"2,503",572,344,211,103,269,173,250,212,173,77,119
2021,6,90,479,100,61,45,27,55,31,46,35,38,18,23
2021,6,100,22,9,2,1,1,7,1,0,1,0,0,0
2021,7,총,"17,624","6,943","2,273","1,171",594,"1,291",926,"1,413",935,861,317,900
2021,7,0,832,455,131,24,17,27,43,48,14,27,7,39
2021,7,10,"1,181",656,150,64,21,62,45,66,31,35,18,33
2021,7,20,"1,206",688,144,55,24,43,28,64,50,40,13,57
2021,7,30,"1,133",597,168,47,24,44,42,80,33,30,14,54
2021,7,40,"1,625",907,220,66,34,75,58,92,43,51,12,67
2021,7,50,"2,540","1,080",334,176,75,156,128,183,124,119,37,128
2021,7,60,"3,185","1,066",357,235,140,276,209,299,181,170,51,201
2021,7,70,"2,909",813,357,247,127,278,168,284,211,178,69,177
2021,7,80,"2,521",574,350,213,104,268,173,251,216,173,78,121
2021,7,90,470,98,60,43,27,55,31,46,31,38,18,23
2021,7,100,22,9,2,1,1,7,1,0,1,0,0,0
2021,8,총,"17,585","6,922","2,274","1,176",595,"1,284",926,"1,409",931,851,313,904
2021,8,0,818,445,129,26,17,25,44,47,12,27,6,40
2021,8,10,"1,183",660,148,65,22,59,46,66,32,34,18,33
2021,8,20,"1,195",682,143,54,23,44,28,66,48,38,12,57
2021,8,30,"1,130",592,171,47,25,43,42,80,35,29,13,53
2021,8,40,"1,623",905,221,67,34,74,57,91,43,50,12,69
2021,8,50,"2,518","1,071",336,174,74,155,126,180,120,118,37,127
2021,8,60,"3,189","1,068",355,237,140,281,207,297,182,170,50,202
2021,8,70,"2,898",816,357,243,127,273,170,283,209,175,70,175
2021,8,80,"2,532",574,350,216,104,270,173,251,219,173,78,124
2021,8,90,477,100,61,46,28,54,32,48,30,37,17,24
2021,8,100,22,9,3,1,1,6,1,0,1,0,0,0
2021,9,총,"17,501","6,884","2,267","1,168",590,"1,280",917,"1,398",933,853,312,899
2021,9,0,802,438,128,26,16,25,41,45,12,26,6,39
2021,9,10,"1,174",657,146,67,21,60,44,63,32,34,17,33
2021,9,20,"1,174",670,145,51,20,43,26,66,49,39,13,52
2021,9,30,"1,108",582,167,46,25,41,40,77,35,29,13,53
2021,9,40,"1,607",899,218,67,32,73,55,87,44,51,12,69
2021,9,50,"2,518","1,068",338,171,75,155,127,181,121,117,36,129
2021,9,60,"3,188","1,071",353,237,138,277,207,300,182,172,49,202
2021,9,70,"2,888",814,355,242,128,272,169,279,210,177,70,172
2021,9,80,"2,538",576,353,214,104,272,174,252,219,171,78,125
2021,9,90,482,100,61,46,30,56,33,48,28,37,18,25
2021,9,100,22,9,3,1,1,6,1,0,1,0,0,0
2021,10,총,"17,442","6,869","2,265","1,159",588,"1,259",913,"1,399",933,851,313,893
2021,10,0,787,430,127,23,16,25,38,46,12,25,6,39
2021,10,10,"1,174",665,145,65,21,58,46,61,30,33,17,33
2021,10,20,"1,175",666,143,54,20,44,27,68,49,41,13,50
2021,10,30,"1,093",572,165,46,25,38,40,76,36,30,13,52
2021,10,40,"1,598",891,216,66,31,71,55,91,44,52,12,69
2021,10,50,"2,512","1,070",342,167,74,149,128,179,122,116,37,128
2021,10,60,"3,190","1,078",356,238,139,275,202,298,182,172,49,201
2021,10,70,"2,883",816,353,242,126,274,170,279,209,174,68,172
2021,10,80,"2,537",577,353,213,106,270,174,251,220,170,79,124
2021,10,90,486,104,62,44,29,55,32,50,28,38,19,25
2021,10,100,7,0,3,1,1,0,1,0,1,0,0,0
2021,11,총,"17,423","6,873","2,270","1,153",584,"1,256",913,"1,396",932,850,308,888
2021,11,0,778,426,128,22,16,24,38,45,11,25,6,37
2021,11,10,"1,176",671,144,63,21,59,46,60,33,32,15,32
2021,11,20,"1,177",663,149,56,18,45,27,64,49,43,13,50
2021,11,30,"1,090",577,164,45,25,38,41,77,31,29,13,50
2021,11,40,"1,598",894,214,66,32,71,55,90,44,49,12,71
2021,11,50,"2,504","1,065",341,168,72,149,126,178,122,117,36,130
2021,11,60,"3,193","1,080",358,234,138,276,203,301,184,173,48,198
2021,11,70,"2,878",818,357,239,127,271,170,274,210,172,69,171
2021,11,80,"2,537",574,351,214,105,270,175,256,219,173,77,123
2021,11,90,486,105,61,45,29,53,32,51,28,37,19,26
2021,11,100,6,0,3,1,1,0,0,0,1,0,0,0
2021,12,총,"17,394","6,862","2,273","1,151",585,"1,255",910,"1,393",925,842,311,887
2021,12,0,775,425,125,24,16,25,38,43,11,25,6,37
2021,12,10,"1,167",671,144,60,21,57,45,59,31,30,17,32
2021,12,20,"1,172",656,150,59,18,44,27,66,44,43,15,50
2021,12,30,"1,085",573,166,45,25,39,38,75,31,28,13,52
2021,12,40,"1,598",899,213,64,32,66,58,93,45,47,11,70
2021,12,50,"2,497","1,065",343,170,71,150,123,173,122,115,35,130
2021,12,60,"3,193","1,073",360,231,139,277,205,302,184,175,48,199
2021,12,70,"2,857",820,352,239,126,270,169,273,203,168,69,168
2021,12,80,"2,556",574,358,214,107,271,174,259,225,174,77,123
2021,12,90,489,106,60,44,29,56,33,50,28,37,20,26
2021,12,100,5,0,2,1,1,0,0,0,1,0,0,0
