년도,월,나이,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021,6,90,207,25,43,21,15,13,19,7,10,3,11,12,15,13
2021,6,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,7,총,"25,223","5,556","6,569","2,417","1,091",795,"1,176",699,604,632,"1,029",974,"1,421","2,260"
2021,7,0,"1,113",261,483,72,29,9,32,21,17,20,18,27,28,96
2021,7,10,"1,733",447,770,109,36,30,48,29,21,14,31,34,47,117
2021,7,20,"2,127",584,717,152,57,47,64,53,31,21,46,59,118,178
2021,7,30,"1,823",459,518,168,71,30,65,43,33,27,50,62,84,213
2021,7,40,"3,044",785,912,287,96,87,114,54,45,68,85,79,143,289
2021,7,50,"4,532","1,090","1,192",436,156,127,204,108,105,101,161,175,261,416
2021,7,60,"5,124",980,"1,000",557,265,192,253,178,151,153,284,252,359,500
2021,7,70,"3,602",633,638,403,210,155,226,135,109,141,212,187,259,294
2021,7,80,"1,913",292,295,211,155,104,152,71,82,83,131,85,108,144
2021,7,90,211,25,43,22,16,14,18,7,10,4,11,14,14,13
2021,7,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,8,총,"25,203","5,566","6,562","2,424","1,089",795,"1,171",703,600,630,"1,016",973,"1,424","2,250"
2021,8,0,"1,105",257,483,71,29,9,32,21,17,21,18,26,28,93
2021,8,10,"1,730",448,761,119,35,30,47,29,20,13,31,34,47,116
2021,8,20,"2,127",590,716,150,58,47,63,53,31,21,47,60,116,175
2021,8,30,"1,818",465,513,169,71,30,67,44,32,26,44,63,84,210
2021,8,40,"3,024",785,912,282,96,88,114,54,42,69,81,74,142,285
2021,8,50,"4,521","1,084","1,194",444,152,127,200,109,102,101,158,171,262,417
2021,8,60,"5,139",980,"1,004",555,268,190,253,179,155,151,286,255,362,501
2021,8,70,"3,604",641,640,401,210,152,223,135,109,141,212,189,260,291
2021,8,80,"1,924",291,296,212,154,108,154,71,82,83,129,87,109,148
2021,8,90,210,25,43,20,16,14,18,8,10,4,10,14,14,14
2021,8,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,9,총,"25,168","5,560","6,554","2,418","1,085",795,"1,166",696,599,629,"1,012",977,"1,427","2,250"
2021,9,0,"1,103",258,479,73,27,9,32,19,17,21,19,26,28,95
2021,9,10,"1,727",448,763,118,34,30,47,29,19,12,31,35,46,115
2021,9,20,"2,103",581,711,146,57,46,58,51,32,21,43,62,118,177
2021,9,30,"1,808",462,508,166,71,30,70,42,31,25,46,62,82,213
2021,9,40,"2,997",781,902,278,93,89,110,56,41,69,80,74,144,280
2021,9,50,"4,530","1,085","1,201",442,157,129,200,106,101,103,156,172,263,415
2021,9,60,"5,147",982,"1,007",562,265,191,254,177,156,152,286,254,360,501
2021,9,70,"3,605",643,644,398,210,148,223,134,112,138,214,190,260,291
2021,9,80,"1,933",294,296,212,156,109,154,73,81,84,126,88,111,149
2021,9,90,214,26,43,22,15,14,18,9,9,4,11,14,15,14
2021,9,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,10,총,"25,136","5,567","6,540","2,403","1,088",792,"1,159",699,599,629,"1,011",978,"1,427","2,244"
2021,10,0,"1,096",257,477,71,29,9,32,19,17,21,18,26,28,92
2021,10,10,"1,715",443,758,117,34,30,44,30,20,10,31,36,46,116
2021,10,20,"2,114",583,718,147,55,45,59,52,32,23,44,62,121,173
2021,10,30,"1,803",469,506,164,70,30,66,42,31,25,45,64,80,211
2021,10,40,"2,957",771,894,273,93,87,109,57,42,67,80,71,141,272
2021,10,50,"4,526","1,086","1,195",440,158,129,203,104,99,104,154,170,263,421
2021,10,60,"5,176",992,"1,010",562,264,189,254,177,160,155,287,256,366,504
2021,10,70,"3,605",646,647,395,214,149,221,135,108,137,215,191,258,289
2021,10,80,"1,925",294,292,211,155,109,152,74,81,83,126,88,109,151
2021,10,90,218,26,43,22,16,15,19,9,9,4,11,14,15,15
2021,10,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,11,총,"25,078","5,547","6,532","2,399","1,087",794,"1,155",696,596,625,"1,010",976,"1,417","2,244"
2021,11,0,"1,080",253,467,69,30,9,33,20,17,21,15,25,27,94
2021,11,10,"1,715",441,760,118,34,30,43,30,20,10,34,36,43,116
2021,11,20,"2,110",579,727,149,55,41,57,49,32,23,45,58,123,172
2021,11,30,"1,788",464,501,162,69,33,65,41,30,25,48,64,79,207
2021,11,40,"2,936",769,885,271,92,87,111,55,44,65,79,69,135,274
2021,11,50,"4,511","1,077","1,196",438,158,127,200,103,95,105,154,173,265,420
2021,11,60,"5,178",993,"1,008",563,263,193,251,177,160,155,288,257,366,504
2021,11,70,"3,618",645,654,396,216,150,225,139,108,136,210,192,254,293
2021,11,80,"1,917",297,293,208,154,108,150,73,81,80,126,89,109,149
2021,11,90,224,29,41,24,16,16,20,9,9,5,11,13,16,15
2021,11,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,12,총,"25,081","5,542","6,534","2,405","1,092",791,"1,154",698,597,627,"1,009",979,"1,421","2,232"
2021,12,0,"1,078",252,465,70,31,9,34,20,17,21,14,24,29,92
2021,12,10,"1,698",436,757,118,33,30,41,30,19,10,34,36,42,112
2021,12,20,"2,117",582,729,150,56,41,57,50,33,23,43,58,121,174
2021,12,30,"1,781",460,500,161,71,31,66,42,30,25,50,64,80,201
2021,12,40,"2,923",765,879,272,90,83,112,53,44,66,79,70,133,277
2021,12,50,"4,497","1,079","1,195",437,158,127,199,104,95,102,150,170,264,417
2021,12,60,"5,196",993,"1,019",566,265,193,250,177,159,157,291,258,369,499
2021,12,70,"3,642",648,658,393,216,150,226,139,109,137,213,197,257,299
2021,12,80,"1,921",299,288,212,155,111,150,74,82,81,124,88,110,147
2021,12,90,227,28,44,25,17,16,19,9,9,5,11,14,16,14
2021,12,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0
