년도,월,나이,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020,11,100,4,1,1,1,0,0,0,1,0,0,0
2020,12,총,"11,641",614,525,"3,096",720,143,"1,022","3,550",500,196,"1,275"
2020,12,0,482,17,13,194,30,0,16,156,12,8,36
2020,12,10,593,22,20,134,31,6,45,240,17,6,72
2020,12,20,"1,991",50,30,838,149,29,84,374,43,11,383
2020,12,30,"1,167",43,34,370,77,17,59,378,28,14,147
2020,12,40,"1,515",63,73,442,81,14,100,487,61,20,174
2020,12,50,"2,072",118,118,402,117,20,230,712,116,46,193
2020,12,60,"2,174",181,139,407,135,27,260,702,118,44,161
2020,12,70,"1,173",84,79,206,65,23,156,381,71,37,71
2020,12,80,420,31,18,85,31,7,64,110,32,9,33
2020,12,90,50,4,0,17,4,0,8,9,2,1,5
2020,12,100,4,1,1,1,0,0,0,1,0,0,0
2021,1,총,"11,593",610,520,"3,065",721,139,"1,008","3,558",499,194,"1,279"
2021,1,0,482,17,13,191,29,0,15,155,12,8,42
2021,1,10,588,22,18,135,32,7,44,236,18,6,70
2021,1,20,"1,962",49,28,819,146,28,78,377,44,11,382
2021,1,30,"1,169",42,34,376,78,17,56,378,27,14,147
2021,1,40,"1,487",62,70,427,83,13,95,486,61,19,171
2021,1,50,"2,075",115,119,398,117,18,230,724,113,45,196
2021,1,60,"2,181",183,139,407,136,28,261,700,121,44,162
2021,1,70,"1,175",86,80,208,65,22,157,380,68,38,71
2021,1,80,423,30,18,87,31,6,64,113,33,8,33
2021,1,90,47,3,0,16,4,0,8,8,2,1,5
2021,1,100,4,1,1,1,0,0,0,1,0,0,0
2021,2,총,"11,563",610,517,"3,020",721,141,"1,005","3,568",507,194,"1,280"
2021,2,0,475,17,13,182,28,0,17,154,14,8,42
2021,2,10,580,20,17,129,32,8,44,234,18,7,71
2021,2,20,"1,950",49,29,810,145,30,77,377,45,10,378
2021,2,30,"1,151",41,34,366,80,16,54,374,27,14,145
2021,2,40,"1,481",61,69,417,86,13,93,487,61,19,175
2021,2,50,"2,064",115,118,400,113,17,228,716,117,45,195
2021,2,60,"2,207",185,138,408,137,29,261,720,121,44,164
2021,2,70,"1,181",88,80,205,64,22,159,383,70,38,72
2021,2,80,421,30,18,86,32,6,64,114,32,8,31
2021,2,90,49,3,0,16,4,0,8,8,2,1,7
2021,2,100,4,1,1,1,0,0,0,1,0,0,0
2021,3,총,"11,541",609,518,"2,988",709,142,"1,013","3,585",504,195,"1,278"
2021,3,0,469,16,13,176,27,0,18,153,14,7,45
2021,3,10,575,20,15,131,32,8,43,232,15,8,71
2021,3,20,"1,907",49,29,782,136,29,80,378,47,11,366
2021,3,30,"1,145",41,34,357,81,15,52,379,25,14,147
2021,3,40,"1,476",64,70,413,82,15,93,483,59,20,177
2021,3,50,"2,072",113,119,407,110,16,230,717,120,44,196
2021,3,60,"2,240",184,139,413,139,30,265,741,121,44,164
2021,3,70,"1,183",88,80,205,66,22,160,380,70,38,74
2021,3,80,419,30,18,87,31,7,64,112,31,8,31
2021,3,90,51,3,0,16,5,0,8,9,2,1,7
2021,3,100,4,1,1,1,0,0,0,1,0,0,0
2021,4,총,"11,528",610,520,"2,960",700,140,"1,013","3,600",504,197,"1,284"
2021,4,0,467,15,13,175,27,0,18,150,14,8,47
2021,4,10,576,21,15,130,33,8,43,235,16,9,66
2021,4,20,"1,899",49,28,779,132,29,82,381,46,12,361
2021,4,30,"1,138",41,34,343,81,13,52,382,23,14,155
2021,4,40,"1,463",64,69,405,78,14,92,485,59,19,178
2021,4,50,"2,060",112,118,402,108,16,228,712,122,45,197
2021,4,60,"2,261",186,140,418,139,29,264,754,118,45,168
2021,4,70,"1,193",89,84,205,64,24,164,380,73,36,74
2021,4,80,417,29,18,85,33,7,63,112,31,8,31
2021,4,90,50,3,0,17,5,0,7,8,2,1,7
2021,4,100,4,1,1,1,0,0,0,1,0,0,0
2021,5,총,"11,524",610,523,"2,945",698,138,"1,006","3,611",507,201,"1,285"
2021,5,0,464,15,13,176,26,0,18,150,13,7,46
2021,5,10,581,20,15,133,34,8,43,233,17,10,68
2021,5,20,"1,883",49,29,762,130,30,80,384,46,12,361
2021,5,30,"1,129",38,34,337,81,12,51,384,22,15,155
2021,5,40,"1,478",65,70,411,81,14,92,488,60,19,178
2021,5,50,"2,054",113,119,402,107,15,221,710,123,46,198
2021,5,60,"2,277",187,140,422,137,29,268,761,117,47,169
2021,5,70,"1,185",90,84,200,63,24,162,379,75,36,72
2021,5,80,418,29,18,83,34,6,64,113,32,8,31
2021,5,90,51,3,0,18,5,0,7,8,2,1,7
2021,5,100,4,1,1,1,0,0,0,1,0,0,0
2021,6,총,"11,551",607,522,"2,956",698,140,"1,010","3,613",508,200,"1,297"
2021,6,0,465,16,13,170,29,0,19,151,13,7,47
2021,6,10,584,20,15,137,33,7,42,235,17,10,68
2021,6,20,"1,889",48,29,765,130,34,81,388,45,11,358
2021,6,30,"1,112",39,35,334,80,11,50,368,24,15,156
2021,6,40,"1,495",64,68,416,82,14,95,491,61,19,185
2021,6,50,"2,057",111,119,409,106,15,219,711,120,46,201
2021,6,60,"2,289",186,139,424,137,29,270,765,119,47,173
2021,6,70,"1,187",90,84,200,62,24,163,381,75,35,73
2021,6,80,416,29,19,83,34,6,64,111,31,9,30
2021,6,90,54,3,0,18,5,0,7,11,3,1,6
2021,6,100,3,1,1,0,0,0,0,1,0,0,0
2021,7,총,"11,596",610,524,"2,971",705,139,"1,017","3,622",511,199,"1,298"
2021,7,0,460,16,13,169,27,0,19,150,13,7,46
2021,7,10,576,21,14,135,34,7,42,231,17,8,67
2021,7,20,"1,901",46,29,767,134,36,82,383,46,12,366
2021,7,30,"1,128",39,36,346,81,8,51,377,25,15,150
2021,7,40,"1,485",63,65,416,80,15,95,488,60,18,185
2021,7,50,"2,064",115,123,406,112,15,218,706,122,46,201
2021,7,60,"2,314",187,140,430,135,29,272,784,117,48,172
2021,7,70,"1,185",90,84,199,62,23,163,377,77,35,75
2021,7,80,426,29,19,85,35,6,68,114,31,9,30
2021,7,90,54,3,0,18,5,0,7,11,3,1,6
2021,7,100,3,1,1,0,0,0,0,1,0,0,0
2021,8,총,"11,591",610,527,"2,959",700,138,"1,017","3,635",512,196,"1,297"
2021,8,0,460,16,14,169,25,0,19,150,14,7,46
2021,8,10,575,21,14,133,36,7,42,232,16,7,67
2021,8,20,"1,902",45,31,765,136,36,83,386,47,12,361
2021,8,30,"1,131",39,37,350,76,7,52,382,25,15,148
2021,8,40,"1,467",61,65,408,77,15,94,487,60,16,184
2021,8,50,"2,056",117,123,403,113,15,214,701,121,45,204
2021,8,60,"2,328",188,140,426,134,28,274,796,117,49,176
2021,8,70,"1,184",90,80,202,62,24,164,373,78,35,76
2021,8,80,431,29,22,85,36,6,68,116,31,9,29
2021,8,90,54,3,0,18,5,0,7,11,3,1,6
2021,8,100,3,1,1,0,0,0,0,1,0,0,0
2021,9,총,"11,592",612,532,"2,951",696,141,"1,017","3,634",511,197,"1,301"
2021,9,0,452,16,14,166,24,0,19,146,15,6,46
2021,9,10,580,20,14,131,36,5,43,237,16,8,70
2021,9,20,"1,896",47,33,761,133,40,82,380,44,12,364
2021,9,30,"1,133",42,39,351,75,8,50,382,25,15,146
2021,9,40,"1,457",59,66,410,76,15,90,479,60,16,186
2021,9,50,"2,059",118,119,402,115,15,217,705,121,46,201
2021,9,60,"2,339",187,144,425,135,28,276,800,116,49,179
2021,9,70,"1,185",90,80,201,61,24,163,376,80,35,75
2021,9,80,434,29,22,86,36,6,70,117,31,8,29
2021,9,90,54,3,0,18,5,0,7,11,3,2,5
2021,9,100,3,1,1,0,0,0,0,1,0,0,0
2021,10,총,"11,643",610,533,"2,948",690,141,"1,035","3,656",514,196,"1,320"
2021,10,0,452,16,14,162,25,0,18,149,14,6,48
2021,10,10,606,20,14,137,35,4,60,239,16,8,73
2021,10,20,"1,895",46,32,757,133,44,83,370,45,12,373
2021,10,30,"1,137",42,40,353,75,6,49,388,23,15,146
2021,10,40,"1,467",60,66,409,71,16,93,488,61,15,188
2021,10,50,"2,047",114,117,396,115,14,216,705,122,45,203
2021,10,60,"2,369",190,146,427,136,28,279,813,119,50,181
2021,10,70,"1,172",90,81,201,59,24,159,368,80,35,75
2021,10,80,440,28,22,88,36,5,71,123,31,8,28
2021,10,90,55,3,0,18,5,0,7,12,3,2,5
2021,10,100,3,1,1,0,0,0,0,1,0,0,0
2021,11,총,"11,647",612,532,"2,947",689,138,"1,039","3,652",519,194,"1,325"
2021,11,0,445,15,15,155,26,0,17,148,14,6,49
2021,11,10,604,21,14,136,35,2,62,240,14,7,73
2021,11,20,"1,891",47,32,761,131,44,82,364,48,12,370
2021,11,30,"1,157",41,41,356,74,6,49,399,25,14,152
2021,11,40,"1,470",60,65,411,70,15,96,486,60,16,191
2021,11,50,"2,027",114,116,390,117,14,214,695,123,42,202
2021,11,60,"2,384",193,147,432,136,28,283,812,120,53,180
2021,11,70,"1,169",88,79,201,59,24,159,370,81,34,74
2021,11,80,438,29,21,87,36,5,69,124,30,8,29
2021,11,90,59,3,1,18,5,0,8,13,4,2,5
2021,11,100,3,1,1,0,0,0,0,1,0,0,0
2021,12,총,"11,598",610,525,"2,927",676,137,"1,034","3,671",509,194,"1,315"
2021,12,0,448,15,13,155,24,0,18,155,12,6,50
2021,12,10,603,22,14,140,34,2,63,235,15,7,71
2021,12,20,"1,875",47,32,757,127,44,80,370,43,12,363
2021,12,30,"1,158",39,39,357,71,7,48,403,25,13,156
2021,12,40,"1,437",61,65,395,68,14,95,479,57,17,186
2021,12,50,"2,018",114,115,389,114,14,215,691,122,42,202
2021,12,60,"2,391",192,144,431,138,28,280,825,120,53,180
2021,12,70,"1,163",87,79,198,57,24,158,373,81,34,72
2021,12,80,442,29,22,87,38,4,69,125,30,8,30
2021,12,90,60,3,1,18,5,0,8,14,4,2,5
2021,12,100,3,1,1,0,0,0,0,1,0,0,0
