년도,월,나이,연수구,옥련1동,옥련2동,선학동,연수1동,연수2동,연수3동,청학동,동춘1동,동춘2동,동춘3동,송도1동,송도2동,송도3동,송도4동,송도5동
2020,4,30,"55,106","2,456","2,574","2,408","2,760","3,315","2,411","3,163","4,008","2,668","1,910","4,233","4,599","9,607","8,994",
2020,4,40,"65,886","3,278","3,461","2,381","3,461","3,211","2,377","3,890","4,346","3,140","3,491","6,705","8,565","9,822","7,758",
2020,4,50,"62,570","3,857","4,102","3,612","4,147","4,078","3,168","5,370","4,783","3,606","3,415","6,170","5,368","5,825","5,069",
2020,4,60,"35,232","2,321","2,323","2,734","2,499","2,633","2,363","3,638","2,659","2,022","1,838","3,171","2,082","2,609","2,340",
2020,4,70,"14,998","1,289","1,143","1,234","1,164","1,166","1,144","1,718",899,795,837,"1,173",768,991,677,
2020,4,80,"7,008",595,536,528,478,644,692,822,461,411,382,501,354,345,259,
2020,4,90,"1,220",82,94,94,75,102,148,119,95,55,83,107,67,57,42,
2020,4,100,55,3,5,4,4,3,7,10,12,2,1,1,1,0,2,
2020,5,총,"372,206","20,207","21,316","17,772","20,768","21,961","17,071","25,601","26,220","19,124","19,129","36,612","36,678","48,622","41,125",
2020,5,0,"36,907","1,494","1,589",968,"1,092","1,499","1,106","1,395","2,378","1,522","1,669","3,222","4,912","7,312","6,749",
2020,5,10,"41,539","1,982","2,318","1,142","1,720","1,826","1,343","1,844","2,773","2,090","2,895","5,383","6,304","5,831","4,088",
2020,5,20,"50,869","2,864","3,151","2,660","3,338","3,483","2,339","3,665","3,777","2,827","2,598","5,873","3,694","6,032","4,568",
2020,5,30,"55,242","2,455","2,569","2,398","2,767","3,320","2,379","3,122","4,018","2,640","1,920","4,262","4,597","9,634","9,161",
2020,5,40,"65,987","3,245","3,462","2,380","3,464","3,194","2,353","3,876","4,313","3,151","3,477","6,710","8,554","9,886","7,922",
2020,5,50,"62,748","3,856","4,111","3,604","4,121","4,061","3,176","5,358","4,789","3,602","3,433","6,183","5,358","5,887","5,209",
2020,5,60,"35,528","2,335","2,336","2,764","2,539","2,658","2,381","3,661","2,695","2,026","1,831","3,182","2,077","2,627","2,416",
2020,5,70,"15,074","1,293","1,144","1,232","1,173","1,173","1,145","1,724",905,794,840,"1,181",765,"1,001",704,
2020,5,80,"7,034",600,538,531,474,634,699,828,463,417,382,503,350,353,262,
2020,5,90,"1,226",80,93,89,76,110,145,119,97,53,83,112,66,59,44,
2020,5,100,52,3,5,4,4,3,5,9,12,2,1,1,1,0,2,
2020,6,총,"372,566","20,183","21,266","17,689","20,678","21,912","17,058","25,590","26,213","19,112","19,103","36,582","36,673","48,828","41,679",
2020,6,0,"36,886","1,492","1,579",948,"1,060","1,486","1,098","1,393","2,387","1,521","1,669","3,209","4,874","7,319","6,851",
2020,6,10,"41,501","1,980","2,303","1,136","1,711","1,808","1,337","1,842","2,747","2,081","2,888","5,353","6,312","5,877","4,126",
2020,6,20,"50,829","2,851","3,135","2,607","3,337","3,477","2,339","3,642","3,778","2,839","2,591","5,867","3,711","6,045","4,610",
2020,6,30,"55,309","2,457","2,562","2,388","2,735","3,312","2,359","3,122","4,024","2,644","1,920","4,283","4,574","9,636","9,293",
2020,6,40,"66,023","3,232","3,446","2,374","3,452","3,186","2,348","3,870","4,298","3,134","3,477","6,680","8,544","9,926","8,056",
2020,6,50,"62,700","3,826","4,091","3,599","4,082","4,037","3,173","5,340","4,773","3,592","3,431","6,177","5,389","5,931","5,259",
2020,6,60,"35,862","2,356","2,358","2,776","2,566","2,680","2,404","3,697","2,730","2,034","1,822","3,208","2,096","2,670","2,465",
2020,6,70,"15,133","1,310","1,156","1,240","1,175","1,174","1,153","1,726",906,796,840,"1,191",754,"1,004",708,
2020,6,80,"7,044",595,537,530,479,639,697,829,460,420,381,500,351,360,266,
2020,6,90,"1,227",81,94,87,77,109,145,121,98,49,83,113,67,60,43,
2020,6,100,52,3,5,4,4,4,5,8,12,2,1,1,1,0,2,
2020,7,총,"374,353","20,101","21,259","17,637","20,605","21,826","17,014","25,516","26,134","19,024","19,076","36,541","36,629","48,961","44,030",
2020,7,0,"37,144","1,482","1,580",942,"1,051","1,466","1,076","1,381","2,371","1,479","1,651","3,188","4,866","7,322","7,289",
2020,7,10,"41,625","1,959","2,303","1,123","1,697","1,788","1,332","1,834","2,741","2,061","2,895","5,346","6,292","5,917","4,337",
2020,7,20,"50,851","2,813","3,139","2,578","3,307","3,451","2,323","3,612","3,752","2,839","2,590","5,866","3,717","6,043","4,821",
2020,7,30,"55,668","2,432","2,544","2,371","2,718","3,311","2,335","3,127","4,005","2,629","1,906","4,262","4,551","9,655","9,822",
2020,7,40,"66,320","3,220","3,452","2,376","3,424","3,157","2,337","3,836","4,284","3,109","3,465","6,678","8,530","9,928","8,524",
2020,7,50,"62,945","3,811","4,069","3,577","4,110","4,022","3,179","5,322","4,762","3,581","3,432","6,162","5,413","5,975","5,530",
2020,7,60,"36,222","2,385","2,366","2,793","2,570","2,690","2,415","3,711","2,745","2,069","1,829","3,232","2,092","2,692","2,633",
2020,7,70,"15,229","1,316","1,164","1,251","1,176","1,182","1,164","1,734",907,788,842,"1,190",756,"1,005",754,
2020,7,80,"7,071",597,542,538,475,644,702,832,456,420,378,505,345,365,272,
2020,7,90,"1,226",83,96,84,73,111,146,119,99,46,87,111,66,59,46,
2020,7,100,52,3,4,4,4,4,5,8,12,3,1,1,1,0,2,
2020,8,총,"378,093","20,005","21,138","17,577","20,444","21,745","16,901","25,460","26,065","18,892","18,990","36,383","36,590","48,798","49,105",
2020,8,0,"37,650","1,448","1,572",928,"1,031","1,453","1,058","1,362","2,360","1,436","1,627","3,170","4,865","7,225","8,115",
2020,8,10,"41,947","1,948","2,285","1,113","1,677","1,778","1,305","1,823","2,719","2,047","2,879","5,289","6,281","5,932","4,871",
2020,8,20,"51,093","2,792","3,098","2,565","3,244","3,425","2,312","3,603","3,724","2,810","2,586","5,851","3,703","6,040","5,340",
2020,8,30,"56,452","2,401","2,536","2,342","2,692","3,294","2,309","3,104","3,993","2,594","1,901","4,250","4,553","9,581","10,902",
2020,8,40,"66,955","3,220","3,431","2,370","3,393","3,142","2,298","3,786","4,244","3,089","3,437","6,609","8,529","9,882","9,525",
2020,8,50,"63,432","3,779","4,040","3,564","4,084","3,994","3,162","5,346","4,766","3,559","3,409","6,144","5,381","5,964","6,240",
2020,8,60,"36,836","2,414","2,376","2,818","2,596","2,717","2,436","3,729","2,775","2,093","1,843","3,249","2,118","2,739","2,933",
2020,8,70,"15,310","1,319","1,155","1,251","1,175","1,180","1,163","1,735",917,786,844,"1,192",750,"1,013",830,
2020,8,80,"7,127",600,546,539,473,646,707,844,454,427,376,513,342,361,299,
2020,8,90,"1,238",81,95,83,75,112,146,120,101,47,87,115,67,61,48,
2020,8,100,53,3,4,4,4,4,5,8,12,4,1,1,1,0,2,
2020,9,총,"380,980","19,931","21,115","17,546","20,363","21,625","16,854","25,394","26,027","18,803","18,960","36,540","36,506","48,808","52,508",
2020,9,0,"37,905","1,451","1,575",929,"1,005","1,428","1,045","1,332","2,356","1,410","1,620","3,158","4,837","7,160","8,599",
2020,9,10,"42,122","1,931","2,267","1,107","1,671","1,744","1,287","1,811","2,707","2,034","2,860","5,316","6,266","5,922","5,199",
2020,9,20,"51,533","2,756","3,083","2,537","3,214","3,406","2,302","3,571","3,698","2,790","2,578","6,006","3,689","6,132","5,771",
2020,9,30,"56,861","2,387","2,541","2,347","2,678","3,273","2,297","3,090","3,969","2,592","1,886","4,239","4,519","9,535","11,508",
2020,9,40,"67,475","3,220","3,407","2,367","3,365","3,113","2,299","3,773","4,247","3,051","3,436","6,596","8,532","9,880","10,189",
2020,9,50,"63,796","3,759","4,048","3,543","4,085","3,957","3,158","5,316","4,755","3,533","3,415","6,135","5,379","5,982","6,731",
2020,9,60,"37,421","2,424","2,386","2,833","2,618","2,751","2,453","3,774","2,812","2,119","1,856","3,269","2,125","2,750","3,251",
2020,9,70,"15,393","1,323","1,159","1,259","1,167","1,185","1,157","1,744",923,789,839,"1,185",749,"1,025",889,
2020,9,80,"7,150",597,546,538,479,649,705,846,447,433,381,518,343,357,311,
2020,9,90,"1,266",80,99,82,77,115,145,128,100,48,88,117,64,65,58,
2020,9,100,58,3,4,4,4,4,6,9,13,4,1,1,3,0,2,
2020,10,총,"383,529","19,849","21,148","17,503","20,274","21,607","16,805","25,379","25,972","18,786","18,943","37,058","36,592","48,755","24,780","30,078"
2020,10,0,"38,043","1,431","1,567",914,996,"1,416","1,036","1,307","2,368","1,405","1,603","3,160","4,869","7,049","3,787","5,135"
2020,10,10,"42,469","1,918","2,259","1,103","1,648","1,751","1,260","1,802","2,692","2,022","2,863","5,491","6,274","5,941","2,808","2,637"
2020,10,20,"52,034","2,743","3,095","2,508","3,187","3,407","2,310","3,568","3,671","2,788","2,592","6,311","3,680","6,151","2,817","3,206"
2020,10,30,"57,128","2,369","2,550","2,356","2,653","3,254","2,279","3,060","3,959","2,607","1,870","4,251","4,524","9,480","4,786","7,130"
2020,10,40,"67,841","3,203","3,398","2,365","3,358","3,104","2,277","3,767","4,222","3,003","3,423","6,571","8,539","9,895","5,134","5,582"
2020,10,50,"64,138","3,740","4,043","3,510","4,053","3,969","3,157","5,341","4,738","3,527","3,423","6,168","5,403","6,001","3,252","3,813"
2020,10,60,"37,867","2,436","2,412","2,864","2,640","2,744","2,471","3,799","2,843","2,145","1,861","3,285","2,139","2,779","1,517","1,932"
2020,10,70,"15,458","1,323","1,165","1,253","1,168","1,188","1,160","1,742",914,805,836,"1,187",750,"1,040",479,448
2020,10,80,"7,206",602,556,544,490,653,706,851,451,431,384,513,341,354,177,153
2020,10,90,"1,286",81,99,83,77,116,142,133,101,49,87,120,70,65,22,41
2020,10,100,59,3,4,3,4,5,7,9,13,4,1,1,3,0,1,1
2020,11,총,"385,973","19,806","21,048","17,422","20,210","21,576","16,727","25,348","25,916","18,711","18,895","37,373","36,668","48,672","24,811","32,790"
2020,11,0,"38,238","1,410","1,565",902,967,"1,407","1,020","1,297","2,366","1,394","1,584","3,180","4,879","6,973","3,777","5,517"
2020,11,10,"42,675","1,907","2,256","1,105","1,641","1,736","1,250","1,789","2,688","2,013","2,848","5,525","6,275","5,951","2,830","2,861"
2020,11,20,"52,260","2,732","3,062","2,492","3,177","3,416","2,299","3,554","3,637","2,770","2,601","6,348","3,686","6,178","2,819","3,489"
2020,11,30,"57,631","2,359","2,547","2,336","2,621","3,250","2,259","3,054","3,946","2,590","1,857","4,329","4,513","9,455","4,754","7,761"
2020,11,40,"68,263","3,176","3,379","2,358","3,347","3,074","2,281","3,753","4,214","2,983","3,396","6,613","8,552","9,830","5,167","6,140"
2020,11,50,"64,387","3,730","4,009","3,474","4,043","3,972","3,122","5,324","4,716","3,520","3,422","6,224","5,425","6,039","3,259","4,108"
2020,11,60,"38,363","2,474","2,425","2,871","2,662","2,761","2,485","3,823","2,873","2,144","1,875","3,321","2,165","2,792","1,522","2,170"
2020,11,70,"15,559","1,329","1,159","1,248","1,175","1,186","1,168","1,759",913,808,834,"1,191",757,"1,032",484,516
2020,11,80,"7,241",607,543,551,495,652,691,855,447,436,387,521,343,357,176,180
2020,11,90,"1,293",79,99,81,78,117,145,131,102,49,90,120,69,64,22,47
2020,11,100,63,3,4,4,4,5,7,9,14,4,1,1,4,1,1,1
2020,12,총,"387,450","19,766","20,915","17,325","20,129","21,524","16,684","25,283","25,891","18,668","18,860","37,487","36,653","48,748","24,820","34,697"
2020,12,0,"38,415","1,404","1,548",889,960,"1,397","1,021","1,272","2,365","1,388","1,564","3,207","4,860","6,949","3,798","5,793"
2020,12,10,"42,712","1,896","2,239","1,097","1,630","1,731","1,242","1,770","2,678","1,994","2,854","5,502","6,294","5,944","2,824","3,017"
2020,12,20,"52,362","2,713","3,035","2,455","3,180","3,404","2,291","3,550","3,637","2,746","2,578","6,310","3,673","6,222","2,813","3,755"
2020,12,30,"57,935","2,336","2,528","2,314","2,591","3,224","2,247","3,038","3,930","2,582","1,847","4,392","4,522","9,444","4,741","8,199"
2020,12,40,"68,485","3,177","3,338","2,350","3,336","3,075","2,270","3,727","4,207","2,973","3,403","6,638","8,521","9,822","5,177","6,471"
2020,12,50,"64,469","3,714","3,986","3,441","4,016","3,955","3,100","5,309","4,713","3,514","3,401","6,246","5,441","6,061","3,231","4,341"
2020,12,60,"38,775","2,490","2,438","2,879","2,667","2,770","2,501","3,859","2,878","2,164","1,906","3,351","2,172","2,837","1,546","2,317"
2020,12,70,"15,644","1,337","1,162","1,255","1,170","1,189","1,169","1,764",919,816,830,"1,194",757,"1,029",487,566
2020,12,80,"7,272",614,537,556,499,650,689,848,447,437,388,522,342,375,181,187
2020,12,90,"1,317",82,99,85,76,124,147,137,103,50,88,124,67,64,21,50
2020,12,100,64,3,5,4,4,5,7,9,14,4,1,1,4,1,1,1
2021,1,총,"388,409","19,743","20,861","17,320","20,092","21,463","16,628","25,237","25,881","18,657","18,837","37,488","36,668","48,769","24,836","35,929"
2021,1,0,"38,424","1,391","1,532",891,944,"1,395",998,"1,261","2,360","1,374","1,556","3,196","4,864","6,926","3,782","5,954"
2021,1,10,"42,767","1,886","2,232","1,091","1,639","1,707","1,242","1,755","2,678","1,978","2,848","5,473","6,317","5,924","2,837","3,160"
2021,1,20,"52,262","2,699","3,006","2,446","3,150","3,390","2,270","3,531","3,596","2,727","2,568","6,276","3,645","6,289","2,784","3,885"
2021,1,30,"58,001","2,334","2,519","2,305","2,575","3,216","2,247","3,046","3,918","2,597","1,826","4,397","4,488","9,374","4,733","8,426"
2021,1,40,"68,684","3,148","3,335","2,347","3,338","3,073","2,249","3,697","4,213","2,950","3,395","6,634","8,553","9,823","5,188","6,741"
2021,1,50,"64,602","3,727","3,970","3,417","4,014","3,930","3,079","5,294","4,712","3,525","3,390","6,257","5,450","6,078","3,249","4,510"
2021,1,60,"39,268","2,519","2,466","2,914","2,686","2,786","2,521","3,881","2,912","2,189","1,937","3,409","2,177","2,884","1,571","2,416"
2021,1,70,"15,699","1,336","1,154","1,262","1,169","1,188","1,173","1,768",930,819,843,"1,195",759,"1,024",492,587
2021,1,80,"7,303",614,541,555,492,650,694,858,442,445,385,529,343,383,176,196
2021,1,90,"1,335",86,101,88,81,123,148,137,106,49,88,121,68,63,23,53
2021,1,100,64,3,5,4,4,5,7,9,14,4,1,1,4,1,1,1
2021,2,총,"389,527","19,679","20,798","17,310","20,045","21,476","16,576","25,195","25,843","18,641","18,842","37,455","36,714","48,821","24,965","37,167"
2021,2,0,"38,579","1,373","1,507",884,937,"1,403",992,"1,243","2,346","1,375","1,544","3,193","4,899","6,914","3,818","6,151"
2021,2,10,"42,857","1,873","2,221","1,096","1,613","1,695","1,246","1,747","2,687","1,972","2,871","5,424","6,308","5,924","2,861","3,319"
2021,2,20,"52,061","2,673","2,984","2,440","3,156","3,369","2,242","3,510","3,573","2,690","2,557","6,213","3,632","6,250","2,778","3,994"
2021,2,30,"58,007","2,314","2,496","2,301","2,564","3,214","2,235","3,041","3,869","2,590","1,810","4,381","4,484","9,352","4,726","8,630"
2021,2,40,"69,039","3,128","3,327","2,349","3,297","3,081","2,225","3,673","4,213","2,952","3,416","6,640","8,552","9,889","5,227","7,070"
2021,2,50,"64,707","3,732","3,961","3,370","4,021","3,918","3,073","5,280","4,727","3,513","3,368","6,294","5,459","6,080","3,261","4,650"
2021,2,60,"39,752","2,531","2,492","2,959","2,700","2,815","2,531","3,921","2,924","2,226","1,960","3,462","2,203","2,934","1,610","2,484"
2021,2,70,"15,760","1,343","1,161","1,256","1,176","1,195","1,180","1,769",941,819,841,"1,192",759,"1,025",489,614
2021,2,80,"7,346",619,545,557,497,652,697,861,443,449,388,534,347,386,171,200
2021,2,90,"1,352",90,98,93,80,129,147,141,106,51,86,121,67,66,23,54
2021,2,100,67,3,6,5,4,5,8,9,14,4,1,1,4,1,1,1
2021,3,총,"390,477","19,617","20,773","17,259","19,956","21,462","16,473","25,136","25,721","18,560","18,822","38,110","36,750","48,834","25,010","37,994"
2021,3,0,"38,511","1,368","1,500",877,921,"1,399",970,"1,227","2,331","1,365","1,525","3,186","4,867","6,911","3,798","6,266"
2021,3,10,"43,108","1,862","2,214","1,076","1,613","1,674","1,225","1,740","2,669","1,960","2,865","5,674","6,334","5,931","2,877","3,394"
2021,3,20,"52,354","2,663","2,990","2,421","3,125","3,384","2,231","3,478","3,534","2,668","2,559","6,560","3,626","6,244","2,788","4,083"
2021,3,30,"58,010","2,297","2,470","2,285","2,556","3,198","2,220","3,035","3,828","2,588","1,796","4,416","4,484","9,334","4,704","8,799"
2021,3,40,"68,994","3,112","3,329","2,344","3,270","3,083","2,191","3,652","4,201","2,934","3,396","6,625","8,543","9,867","5,213","7,234"
2021,3,50,"64,724","3,708","3,951","3,359","4,019","3,887","3,048","5,253","4,696","3,499","3,360","6,295","5,483","6,097","3,307","4,762"
2021,3,60,"40,229","2,560","2,521","2,981","2,692","2,853","2,560","3,973","2,969","2,232","1,992","3,505","2,233","2,973","1,632","2,553"
2021,3,70,"15,756","1,335","1,158","1,249","1,179","1,196","1,179","1,759",943,812,841,"1,190",762,"1,023",492,638
2021,3,80,"7,383",625,541,566,502,657,695,871,438,445,399,533,345,384,173,209
2021,3,90,"1,358",87,95,96,76,126,146,139,108,54,89,125,69,68,25,55
2021,3,100,50,0,4,5,3,5,8,9,4,3,0,1,4,2,1,1
2021,4,총,"390,807","19,626","20,748","17,256","19,902","21,375","16,467","25,045","25,652","18,528","18,846","38,194","36,772","48,884","25,041","38,471"
2021,4,0,"38,449","1,366","1,484",868,915,"1,386",950,"1,211","2,325","1,363","1,532","3,176","4,864","6,887","3,787","6,335"
2021,4,10,"43,128","1,864","2,210","1,077","1,586","1,665","1,230","1,727","2,681","1,960","2,852","5,690","6,328","5,944","2,885","3,429"
2021,4,20,"52,254","2,646","2,982","2,420","3,117","3,351","2,223","3,455","3,487","2,641","2,551","6,595","3,635","6,254","2,790","4,107"
2021,4,30,"57,974","2,316","2,470","2,270","2,552","3,190","2,214","3,023","3,788","2,596","1,813","4,389","4,475","9,299","4,699","8,880"
2021,4,40,"69,023","3,103","3,312","2,342","3,255","3,062","2,191","3,627","4,186","2,923","3,396","6,637","8,515","9,910","5,208","7,356"
2021,4,50,"64,746","3,704","3,944","3,343","3,999","3,870","3,032","5,235","4,691","3,476","3,365","6,320","5,524","6,102","3,321","4,820"
2021,4,60,"40,622","2,570","2,545","3,010","2,713","2,865","2,586","4,004","3,002","2,250","2,004","3,528","2,254","3,008","1,661","2,622"
2021,4,70,"15,782","1,340","1,160","1,256","1,182","1,190","1,189","1,741",945,811,843,"1,196",763,"1,024",490,652
2021,4,80,"7,409",623,542,569,503,664,694,876,434,450,402,535,340,390,173,214
2021,4,90,"1,373",94,95,96,77,128,150,138,109,56,88,127,70,64,26,55
2021,4,100,47,0,4,5,3,4,8,8,4,2,0,1,4,2,1,1
2021,5,총,"390,971","19,557","20,724","17,261","19,849","21,317","16,434","25,054","25,600","18,493","18,805","38,237","36,794","48,946","25,078","38,822"
2021,5,0,"38,292","1,352","1,468",875,899,"1,370",932,"1,205","2,307","1,355","1,517","3,161","4,846","6,845","3,762","6,398"
2021,5,10,"43,139","1,855","2,210","1,070","1,566","1,663","1,225","1,717","2,684","1,953","2,852","5,665","6,334","5,971","2,904","3,470"
2021,5,20,"52,163","2,613","2,959","2,417","3,119","3,323","2,217","3,468","3,445","2,622","2,521","6,616","3,643","6,261","2,803","4,136"
2021,5,30,"57,859","2,307","2,454","2,258","2,522","3,189","2,211","3,023","3,767","2,604","1,817","4,394","4,450","9,262","4,674","8,927"
2021,5,40,"69,013","3,082","3,316","2,362","3,230","3,037","2,177","3,597","4,179","2,908","3,355","6,642","8,523","9,950","5,206","7,449"
2021,5,50,"64,835","3,699","3,953","3,321","4,005","3,849","3,032","5,230","4,689","3,461","3,384","6,346","5,534","6,125","3,359","4,848"
2021,5,60,"41,001","2,586","2,554","3,033","2,747","2,907","2,588","4,029","3,042","2,273","2,024","3,558","2,288","3,045","1,672","2,655"
2021,5,70,"15,792","1,345","1,168","1,255","1,172","1,180","1,198","1,751",945,810,840,"1,193",757,"1,025",494,659
2021,5,80,"7,455",625,541,570,507,665,696,886,434,449,406,535,346,395,177,223
2021,5,90,"1,374",93,97,95,79,130,148,140,104,56,89,126,70,65,26,56
2021,5,100,48,0,4,5,3,4,10,8,4,2,0,1,3,2,1,1
2021,6,총,"390,827","19,529","20,665","17,296","19,777","21,314","16,409","24,891","25,582","18,459","18,739","38,082","36,798","49,000","25,172","39,114"
2021,6,0,"38,190","1,342","1,463",875,899,"1,360",922,"1,198","2,307","1,346","1,498","3,119","4,838","6,837","3,763","6,423"
2021,6,10,"43,087","1,874","2,208","1,067","1,551","1,647","1,215","1,695","2,676","1,935","2,838","5,599","6,355","5,983","2,928","3,516"
2021,6,20,"51,963","2,579","2,928","2,431","3,099","3,334","2,216","3,437","3,430","2,599","2,521","6,564","3,638","6,236","2,814","4,137"
2021,6,30,"57,665","2,299","2,456","2,254","2,500","3,184","2,196","3,016","3,747","2,614","1,787","4,363","4,407","9,212","4,664","8,966"
2021,6,40,"69,097","3,094","3,291","2,360","3,219","3,035","2,168","3,555","4,188","2,884","3,337","6,629","8,547","10,007","5,225","7,558"
2021,6,50,"64,784","3,680","3,938","3,305","3,993","3,848","3,029","5,190","4,677","3,468","3,383","6,345","5,527","6,145","3,382","4,874"
2021,6,60,"41,342","2,595","2,563","3,076","2,757","2,931","2,607","4,029","3,070","2,299","2,034","3,606","2,303","3,082","1,695","2,695"
2021,6,70,"15,806","1,345","1,171","1,250","1,171","1,172","1,204","1,748",946,809,846,"1,192",761,"1,036",492,663
2021,6,80,"7,472",631,547,578,502,668,694,875,435,445,406,542,349,393,182,225
2021,6,90,"1,372",90,97,95,81,131,147,143,102,58,88,122,70,67,25,56
2021,6,100,49,0,3,5,5,4,11,5,4,2,1,1,3,2,2,1
2021,7,총,"390,638","19,541","20,549","17,277","19,670","21,279","16,374","24,909","25,549","18,450","18,731","37,948","36,832","48,984","25,187","39,358"
2021,7,0,"38,092","1,327","1,439",881,884,"1,344",920,"1,204","2,314","1,342","1,494","3,104","4,843","6,822","3,753","6,421"
2021,7,10,"43,057","1,874","2,188","1,061","1,532","1,641","1,213","1,690","2,662","1,934","2,841","5,533","6,361","6,011","2,942","3,574"
2021,7,20,"51,601","2,598","2,900","2,410","3,066","3,316","2,193","3,411","3,395","2,585","2,503","6,480","3,640","6,163","2,807","4,134"
