년도,월,나이,전주시,완산구,중앙동,풍남동,노송동,완산동,동서학동,서서학동,중화산1동,중화산2동,서신동,평화1동,평화2동,삼천1동,삼천2동,삼천3동,효자1동,효자2동,효자3동,효자4동,효자5동,덕진구,진북동,인후1동,인후2동,인후3동,덕진동,금암1동,금암2동,팔복동,우아1동,우아2동,호성동,송천1동,송천2동,조촌동,여의동,혁신동,전주시효자출장소
2020,2,40,"55,356","28,560",446,223,834,332,390,578,"1,113","1,953","3,783",856,"4,027",971,"1,023","2,062",810,783,"1,203","3,328","3,845","26,796",918,"1,690",715,"3,231","1,412",353,603,429,711,"1,241","1,782","5,924","2,279",837,"2,497","2,174",0
2020,2,50,"53,943","29,635",677,366,"1,112",380,558,820,"1,424","1,612","3,478","1,224","3,975","1,251","1,540","2,246","1,041","1,045","1,507","2,839","2,540","24,308","1,261","1,496",971,"2,432","1,461",538,864,690,877,"1,194","1,916","3,961","2,409","1,021","2,203","1,014",0
2020,2,60,"38,253","21,262",751,474,"1,166",457,634,905,"1,103",901,"1,879","1,142","2,927",915,"1,147","1,328",973,920,"1,105","1,520","1,015","16,991","1,229","1,204","1,006","1,397","1,096",491,933,665,743,852,"1,376","1,925","1,479",781,"1,380",434,0
2020,2,70,"23,404","12,645",500,388,854,406,449,606,595,437,"1,139",910,"1,545",519,552,770,679,515,595,685,501,"10,759","1,135",802,733,960,711,366,668,494,374,501,751,959,842,531,740,192,0
2020,2,80,"12,160","6,728",270,194,477,220,256,290,311,236,597,493,838,239,281,513,289,228,313,409,274,"5,432",549,335,298,474,332,165,263,225,208,289,420,530,465,365,401,113,0
2020,2,90,"1,994","1,156",38,45,81,38,46,45,48,44,81,85,131,52,43,87,55,39,70,79,49,838,79,58,44,71,53,24,34,30,31,43,63,106,66,46,66,24,0
2020,2,100,138,70,9,2,13,1,4,4,2,3,4,1,8,1,1,2,3,3,1,3,5,68,6,10,6,4,15,0,2,3,1,1,2,2,1,8,7,0,0
2020,3,총,"332,764","173,930","3,880","2,205","6,677","2,535","3,337","4,631","7,781","9,974","20,368","6,813","23,649","6,339","7,326","11,761","5,965","5,604","8,030","18,298","18,757","158,834","7,527","9,814","5,837","16,422","9,990","3,562","5,161","3,656","4,949","7,209","10,862","29,918","13,670","6,008","15,037","9,212",0
2020,3,0,"27,204","12,333",158,50,325,89,164,171,491,753,"1,572",291,"2,034",394,381,855,333,274,520,"1,831","1,647","14,871",354,825,302,"1,434","1,047",110,235,170,360,475,823,"3,929","1,113",439,"1,759","1,496",0
2020,3,10,"35,476","18,036",255,95,406,172,218,360,628,"1,329","2,494",446,"2,671",586,700,"1,293",458,500,824,"2,229","2,372","17,440",524,"1,181",388,"2,088",778,215,336,273,409,685,"1,345","4,101","1,568",478,"1,509","1,562",0
2020,3,20,"43,682","23,525",433,203,710,253,358,485,"1,204","1,538","2,900",653,"2,781",817,998,"1,443",711,755,"1,027","2,798","3,458","20,157",838,"1,144",764,"2,231","1,416",906,745,369,653,985,"1,262","3,609","1,918",692,"1,878",747,0
2020,3,30,"40,869","19,821",358,174,697,188,274,368,853,"1,165","2,448",640,"2,726",628,669,"1,149",608,546,882,"2,424","3,024","21,048",626,"1,057",609,"2,069","1,679",388,496,302,590,933,"1,127","4,839","1,524",779,"2,564","1,466",0
2020,3,40,"55,235","28,489",441,219,828,328,385,577,"1,107","1,937","3,760",862,"4,020",961,"1,009","2,042",815,781,"1,190","3,388","3,839","26,746",918,"1,688",713,"3,224","1,411",349,598,431,700,"1,233","1,765","5,920","2,271",846,"2,504","2,175",0
2020,3,50,"53,885","29,605",673,359,"1,102",381,548,818,"1,428","1,617","3,467","1,252","3,966","1,234","1,524","2,242","1,032","1,037","1,492","2,883","2,550","24,280","1,255","1,497",960,"2,444","1,432",541,850,693,871,"1,190","1,919","3,974","2,404","1,024","2,223","1,003",0
2020,3,60,"38,482","21,395",747,471,"1,178",459,636,902,"1,106",910,"1,903","1,159","2,937",901,"1,156","1,344",975,912,"1,110","1,559","1,030","17,087","1,237","1,213","1,011","1,403","1,108",489,928,662,742,862,"1,386","1,942","1,496",790,"1,382",436,0
2020,3,70,"23,533","12,716",496,388,853,402,448,607,601,438,"1,144",920,"1,547",520,561,787,680,529,596,691,508,"10,817","1,144",803,744,972,715,368,672,495,377,506,750,966,837,535,744,189,0
2020,3,80,"12,239","6,763",271,194,481,225,256,295,317,239,595,503,829,245,281,516,293,225,321,403,274,"5,476",547,339,299,482,336,170,267,228,212,295,418,534,463,369,402,115,0
2020,3,90,"2,025","1,179",40,50,84,37,46,44,44,45,81,86,131,52,46,88,57,42,67,89,50,846,78,57,41,71,54,26,33,29,34,44,65,103,75,48,65,23,0
2020,3,100,134,68,8,2,13,1,4,4,2,3,4,1,7,1,1,2,3,3,1,3,5,66,6,10,6,4,14,0,1,4,1,1,2,1,1,8,7,0,0
2020,4,총,"332,819","173,769","3,884","2,199","6,656","2,530","3,338","4,608","7,770","9,976","20,319","6,852","23,628","6,311","7,298","11,728","5,949","5,581","8,043","18,411","18,688","159,050","7,504","9,779","5,822","16,380","9,976","3,564","5,155","3,629","4,932","7,180","10,825","30,331","13,650","6,033","15,110","9,180",0
2020,4,0,"27,055","12,222",155,51,318,85,166,171,491,750,"1,553",291,"2,016",387,368,843,330,273,522,"1,835","1,617","14,833",344,818,294,"1,412","1,031",107,231,165,359,469,815,"3,986","1,110",439,"1,780","1,473",0
2020,4,10,"35,402","17,949",251,91,409,170,218,354,615,"1,337","2,473",434,"2,670",576,699,"1,282",456,493,815,"2,222","2,384","17,453",517,"1,175",387,"2,078",782,216,336,273,399,682,"1,339","4,143","1,550",478,"1,528","1,570",0
2020,4,20,"43,774","23,611",433,208,710,254,352,481,"1,213","1,526","2,927",669,"2,785",822,997,"1,438",701,758,"1,033","2,844","3,460","20,163",836,"1,139",762,"2,227","1,422",914,745,363,652,973,"1,256","3,649","1,936",685,"1,864",740,0
2020,4,30,"40,827","19,750",361,168,681,190,280,363,853,"1,172","2,431",628,"2,709",616,659,"1,146",609,540,879,"2,461","3,004","21,077",618,"1,035",603,"2,056","1,669",391,496,298,591,937,"1,120","4,933","1,523",788,"2,572","1,447",0
2020,4,40,"55,160","28,353",442,220,825,329,384,568,"1,100","1,942","3,716",877,"4,002",955,"1,000","2,024",809,776,"1,188","3,380","3,816","26,807",914,"1,690",711,"3,214","1,405",346,595,428,699,"1,216","1,760","6,013","2,259",846,"2,533","2,178",0
2020,4,50,"53,839","29,581",674,356,"1,093",379,549,811,"1,418","1,616","3,473","1,249","3,954","1,232","1,516","2,243","1,029","1,031","1,491","2,903","2,564","24,258","1,237","1,492",953,"2,447","1,433",532,846,680,866,"1,184","1,908","4,022","2,401","1,032","2,216","1,009",0
2020,4,60,"38,608","21,460",752,468,"1,183",452,632,907,"1,112",907,"1,914","1,183","2,952",897,"1,162","1,358",968,913,"1,114","1,574","1,012","17,148","1,243","1,212","1,017","1,411","1,111",489,928,662,739,869,"1,390","1,966","1,488",796,"1,388",439,0
2020,4,70,"23,654","12,786",495,389,858,405,449,609,602,443,"1,149",923,"1,564",523,565,780,689,529,605,701,508,"10,868","1,161",808,744,969,711,373,668,502,385,501,750,980,840,538,750,188,0
2020,4,80,"12,326","6,812",272,196,480,228,259,296,320,236,602,511,837,250,283,522,299,223,327,400,271,"5,514",550,340,303,494,342,170,275,225,207,298,419,535,462,373,407,114,0
2020,4,90,"2,039","1,178",41,50,86,37,45,44,44,44,77,86,132,52,48,90,57,42,68,88,47,861,77,60,42,68,56,26,34,29,34,50,65,103,80,50,65,22,0
2020,4,100,135,67,8,2,13,1,4,4,2,3,4,1,7,1,1,2,2,3,1,3,5,68,7,10,6,4,14,0,1,4,1,1,3,1,1,8,7,0,0
2020,5,총,"332,775","173,541","3,875","2,191","6,613","2,527","3,327","4,596","7,761","9,952","20,336","6,840","23,582","6,284","7,257","11,706","5,935","5,562","8,042","18,462","18,693","159,234","7,479","9,753","5,818","16,371","9,974","3,572","5,161","3,615","4,924","7,173","10,808","30,567","13,646","6,031","15,162","9,180",0
2020,5,0,"26,948","12,148",153,54,309,86,159,165,482,748,"1,545",293,"2,004",390,364,834,324,273,515,"1,836","1,614","14,800",332,801,291,"1,400","1,035",115,227,163,361,468,812,"4,005","1,100",432,"1,806","1,452",0
2020,5,10,"35,300","17,836",247,90,401,169,221,350,616,"1,319","2,467",432,"2,655",570,687,"1,280",449,490,811,"2,220","2,362","17,464",523,"1,179",383,"2,072",778,212,335,271,393,670,"1,337","4,181","1,534",480,"1,533","1,583",0
2020,5,20,"43,748","23,580",427,204,699,254,354,481,"1,201","1,522","2,934",671,"2,750",812,986,"1,422",705,753,"1,030","2,869","3,506","20,168",830,"1,129",764,"2,233","1,422",925,748,359,645,971,"1,249","3,659","1,949",695,"1,849",741,0
2020,5,30,"40,841","19,751",363,166,670,189,273,356,864,"1,161","2,447",618,"2,712",618,652,"1,151",612,543,879,"2,458","3,019","21,090",613,"1,028",598,"2,047","1,675",388,492,293,587,938,"1,122","4,971","1,520",787,"2,594","1,437",0
2020,5,40,"55,004","28,213",441,215,820,324,383,567,"1,088","1,924","3,704",864,"3,992",944,999,"2,004",800,774,"1,192","3,382","3,796","26,791",910,"1,686",706,"3,214","1,398",345,595,426,693,"1,204","1,750","6,067","2,242",841,"2,526","2,188",0
2020,5,50,"53,932","29,609",675,357,"1,077",380,543,813,"1,421","1,633","3,490","1,246","3,958","1,229","1,511","2,254","1,025","1,022","1,490","2,916","2,569","24,323","1,237","1,491",953,"2,454","1,433",530,843,674,869,"1,194","1,903","4,069","2,405","1,029","2,229","1,010",0
2020,5,60,"38,692","21,477",749,466,"1,189",443,637,899,"1,115",914,"1,914","1,189","2,952",898,"1,161","1,362",964,912,"1,112","1,594","1,007","17,215","1,233","1,217","1,024","1,420","1,106",485,935,662,748,869,"1,394","1,976","1,509",801,"1,389",447,0
2020,5,70,"23,793","12,857",498,392,861,416,449,613,606,447,"1,153",932,"1,576",513,568,786,699,531,612,703,502,"10,936","1,163",810,746,970,717,378,673,505,387,509,754,999,843,539,756,187,0
2020,5,80,"12,340","6,829",274,195,487,230,262,304,323,236,602,508,845,258,280,519,300,221,329,391,265,"5,511",554,344,305,490,339,167,279,227,206,298,421,532,459,370,407,113,0
2020,5,90,"2,045","1,177",40,50,87,35,44,44,43,45,76,86,131,51,48,92,55,40,71,90,49,868,77,59,42,67,57,27,33,31,34,51,63,106,84,49,66,22,0
2020,5,100,132,64,8,2,13,1,2,4,2,3,4,1,7,1,1,2,2,3,1,3,4,68,7,9,6,4,14,0,1,4,1,1,3,2,1,8,7,0,0
2020,6,총,"332,684","173,654","3,873","2,189","6,579","2,527","3,321","4,571","7,715","9,886","20,284","6,811","23,467","6,253","7,199","11,559","5,909","5,537","7,975","19,419","18,580","159,030","7,448","9,737","5,813","16,323","9,945","3,563","5,155","3,596","4,901","7,115","10,784","30,726","13,624","6,001","15,170","9,129",0
2020,6,0,"26,906","12,202",154,55,308,89,157,163,478,744,"1,522",289,"1,980",380,360,812,316,273,507,"2,024","1,591","14,704",326,803,291,"1,385","1,016",109,224,161,349,459,809,"4,009","1,094",426,"1,809","1,434",0
2020,6,10,"35,113","17,738",243,88,400,169,216,345,607,"1,295","2,445",422,"2,651",569,680,"1,249",440,479,796,"2,295","2,349","17,375",516,"1,165",385,"2,062",768,205,332,266,394,661,"1,331","4,172","1,533",470,"1,533","1,582",0
2020,6,20,"43,788","23,606",426,205,676,251,355,470,"1,199","1,511","2,959",671,"2,728",816,978,"1,388",706,755,"1,010","2,989","3,513","20,182",823,"1,132",757,"2,243","1,431",932,752,353,642,968,"1,247","3,683","1,943",697,"1,840",739,0
2020,6,30,"40,782","19,771",368,167,676,192,271,352,858,"1,150","2,410",613,"2,669",600,645,"1,133",599,546,882,"2,658","2,982","21,011",622,"1,022",602,"2,036","1,668",388,488,291,581,919,"1,103","4,990","1,517",779,"2,585","1,420",0
2020,6,40,"54,917","28,187",447,214,816,321,387,562,"1,074","1,899","3,688",862,"3,976",937,980,"1,988",794,760,"1,178","3,531","3,773","26,730",897,"1,677",713,"3,188","1,393",342,601,424,685,"1,190","1,753","6,087","2,225",832,"2,546","2,177",0
2020,6,50,"53,811","29,530",669,358,"1,067",377,537,807,"1,408","1,627","3,485","1,234","3,943","1,228","1,490","2,226","1,019","1,008","1,462","3,045","2,540","24,281","1,226","1,488",948,"2,455","1,415",524,832,669,869,"1,186","1,890","4,107","2,410","1,028","2,228","1,006",0
2020,6,60,"38,910","21,606",742,461,"1,192",440,642,901,"1,121",922,"1,932","1,189","2,945",902,"1,168","1,369",972,914,"1,121","1,661","1,012","17,304","1,238","1,223","1,022","1,427","1,118",488,933,663,752,874,"1,408","2,014","1,502",804,"1,392",446,0
2020,6,70,"23,953","12,954",502,395,857,420,448,613,600,453,"1,160",935,"1,592",514,573,791,707,542,621,721,510,"10,999","1,160",817,744,968,725,379,681,505,389,513,755,"1,016",857,544,758,188,0
2020,6,80,"12,316","6,811",273,194,488,232,262,307,325,233,602,507,843,256,279,511,299,217,323,403,257,"5,505",556,341,306,490,340,169,278,227,204,292,421,538,457,366,406,114,0
2020,6,90,"2,058","1,184",41,50,86,35,44,47,43,49,77,88,132,50,45,90,55,40,74,89,49,874,78,61,40,65,57,27,33,33,35,52,64,108,84,48,66,23,0
2020,6,100,130,65,8,2,13,1,2,4,2,3,4,1,8,1,1,2,2,3,1,3,4,65,6,8,5,4,14,0,1,4,1,1,3,2,2,7,7,0,0
2020,7,총,"332,877","173,970","3,862","2,177","6,551","2,527","3,313","4,556","7,691","9,857","20,538","6,789","23,448","6,203","7,160","11,502","5,881","5,522","7,926","20,010","18,457","158,907","7,427","9,723","5,773","16,278","9,926","3,551","5,121","3,581","4,910","7,111","10,797","30,758","13,627","6,032","15,170","9,122",0
2020,7,0,"26,830","12,244",153,55,309,87,153,161,475,745,"1,550",288,"1,967",363,344,810,312,273,494,"2,140","1,565","14,586",323,785,290,"1,367","1,004",107,215,159,344,458,804,"3,979","1,078",425,"1,813","1,435",0
2020,7,10,"34,972","17,632",236,87,389,169,221,342,606,"1,278","2,446",415,"2,635",563,669,"1,221",434,470,789,"2,346","2,316","17,340",506,"1,175",379,"2,057",759,202,328,263,393,661,"1,323","4,192","1,524",474,"1,525","1,579",0
2020,7,20,"43,866","23,659",428,199,675,255,347,471,"1,205","1,505","3,023",664,"2,724",816,977,"1,395",692,753,"1,002","3,026","3,502","20,207",820,"1,126",750,"2,229","1,451",919,746,356,652,967,"1,255","3,694","1,962",700,"1,834",746,0
2020,7,30,"40,825","19,872",368,165,683,192,273,354,848,"1,156","2,453",607,"2,661",596,643,"1,118",587,539,877,"2,787","2,965","20,953",620,"1,027",595,"2,037","1,655",390,473,285,574,910,"1,097","4,983","1,504",786,"2,597","1,420",0
2020,7,40,"54,910","28,216",439,213,813,325,386,555,"1,070","1,880","3,739",854,"3,970",926,978,"1,969",788,760,"1,157","3,649","3,745","26,694",896,"1,676",705,"3,170","1,396",345,601,424,687,"1,192","1,755","6,074","2,225",839,"2,541","2,168",0
2020,7,50,"53,847","29,547",668,358,"1,054",371,533,801,"1,403","1,622","3,501","1,229","3,947","1,227","1,481","2,218","1,014","1,002","1,465","3,116","2,537","24,300","1,230","1,480",947,"2,466","1,409",515,829,665,867,"1,189","1,893","4,132","2,414","1,031","2,225","1,008",0
2020,7,60,"39,006","21,695",746,455,"1,193",438,645,902,"1,112",933,"1,965","1,184","2,960",893,"1,170","1,372",979,912,"1,125","1,708","1,003","17,311","1,223","1,219","1,013","1,416","1,118",496,931,653,754,876,"1,408","2,042","1,515",810,"1,396",441,0
2020,7,70,"24,105","13,035",502,398,852,420,445,611,604,453,"1,176",952,"1,592",514,578,803,714,546,622,740,513,"11,070","1,166",823,746,977,724,379,686,510,398,519,766,"1,020",861,539,767,189,0
2020,7,80,"12,306","6,811",272,195,484,233,263,309,322,235,602,506,851,256,276,502,302,222,323,403,255,"5,495",557,343,301,487,337,170,278,229,205,287,429,532,458,371,398,113,0
2020,7,90,"2,077","1,192",42,50,86,36,45,46,44,47,79,89,132,48,43,91,57,42,71,92,52,885,80,61,42,68,59,28,33,33,35,51,63,108,84,50,67,23,0
2020,7,100,133,67,8,2,13,1,2,4,2,3,4,1,9,1,1,3,2,3,1,3,4,66,6,8,5,4,14,0,1,4,1,1,4,2,2,7,7,0,0
2020,8,총,"333,046","174,153","3,860","2,171","6,541","2,526","3,291","4,528","7,674","9,822","20,981","6,771","23,470","6,166","7,135","11,481","5,832","5,458","7,921","20,157","18,368","158,893","7,406","9,690","5,769","16,236","9,880","3,555","5,108","3,558","4,871","7,111","10,778","30,732","13,629","6,046","15,192","9,332",0
2020,8,0,"26,719","12,237",152,50,310,86,154,160,470,730,"1,619",283,"1,970",353,341,797,309,264,494,"2,157","1,538","14,482",314,778,284,"1,352",984,107,214,158,339,450,800,"3,958","1,062",421,"1,810","1,451",0
2020,8,10,"34,898","17,547",232,88,386,169,219,336,606,"1,274","2,471",409,"2,622",555,660,"1,211",430,461,784,"2,346","2,288","17,351",495,"1,169",380,"2,042",758,192,328,261,386,667,"1,311","4,200","1,525",477,"1,532","1,628",0
2020,8,20,"43,941","23,707",428,197,675,256,341,470,"1,204","1,525","3,051",665,"2,731",819,968,"1,394",681,736,"1,004","3,056","3,506","20,234",831,"1,126",754,"2,217","1,458",939,735,350,644,967,"1,258","3,685","1,963",704,"1,834",769,0
2020,8,30,"40,724","19,880",368,160,684,195,264,357,834,"1,140","2,554",604,"2,676",585,638,"1,114",583,526,859,"2,794","2,945","20,844",608,"1,020",593,"2,021","1,634",382,467,279,575,908,"1,087","4,948","1,501",782,"2,587","1,452",0
2020,8,40,"54,898","28,198",434,216,806,320,387,546,"1,058","1,866","3,820",840,"3,968",920,974,"1,957",778,747,"1,162","3,681","3,718","26,700",889,"1,660",705,"3,163","1,387",345,608,424,670,"1,184","1,735","6,086","2,216",848,"2,544","2,236",0
2020,8,50,"53,861","29,569",666,351,"1,041",373,531,795,"1,403","1,610","3,571","1,235","3,944","1,216","1,477","2,218","1,003",986,"1,457","3,146","2,546","24,292","1,230","1,478",939,"2,490","1,387",518,827,652,869,"1,192","1,900","4,126","2,416","1,022","2,229","1,017",0
2020,8,60,"39,258","21,834",750,458,"1,203",436,646,896,"1,127",939,"2,004","1,180","2,978",897,"1,174","1,386",977,929,"1,130","1,722","1,002","17,424","1,224","1,222","1,021","1,420","1,133",494,928,655,756,874,"1,423","2,065","1,530",824,"1,405",450,0
2020,8,70,"24,167","13,079",501,404,851,424,443,610,608,450,"1,196",956,"1,581",510,585,807,714,543,631,750,515,"11,088","1,162",824,743,979,728,377,688,508,392,525,766,"1,024",870,538,775,189,0
2020,8,80,"12,341","6,819",277,195,485,228,261,306,316,238,609,507,851,260,275,500,299,222,326,409,255,"5,522",564,346,303,482,338,172,278,233,205,291,431,529,462,372,402,114,0
2020,8,90,"2,106","1,217",44,50,87,38,44,48,46,47,82,91,140,50,42,94,56,41,73,93,51,889,83,60,41,66,58,29,34,34,34,52,63,109,82,51,67,26,0
2020,8,100,133,66,8,2,13,1,1,4,2,3,4,1,9,1,1,3,2,3,1,3,4,67,6,7,6,4,15,0,1,4,1,1,4,2,2,7,7,0,0
2020,9,총,"333,337","174,340","3,849","2,165","6,495","2,519","3,273","4,512","7,674","9,835","21,277","6,696","23,765","6,122","7,080","11,486","5,792","5,423","7,888","20,210","18,279","158,997","7,352","9,672","5,759","16,363","9,891","3,563","5,084","3,554","4,841","7,056","10,743","30,756","13,627","6,042","15,172","9,522",0
2020,9,0,"26,664","12,232",150,49,303,88,152,159,466,708,"1,660",274,"2,013",349,336,796,304,265,487,"2,172","1,501","14,432",302,770,281,"1,342",977,109,214,155,331,445,796,"3,952","1,060",421,"1,807","1,470",0
2020,9,10,"34,846","17,497",234,87,372,166,218,334,612,"1,283","2,484",400,"2,622",552,643,"1,208",428,458,780,"2,348","2,268","17,349",493,"1,169",378,"2,062",748,181,322,260,391,649,"1,305","4,200","1,522",473,"1,536","1,660",0
2020,9,20,"43,987","23,756",420,194,683,255,335,469,"1,197","1,534","3,109",646,"2,769",799,961,"1,398",673,726,991,"3,062","3,535","20,231",821,"1,120",749,"2,241","1,477",952,730,357,632,957,"1,239","3,675","1,958",696,"1,826",801,0
2020,9,30,"40,691","19,838",371,156,678,190,266,348,835,"1,137","2,583",589,"2,716",579,645,"1,108",571,517,846,"2,792","2,911","20,853",600,"1,014",594,"2,050","1,638",384,468,277,580,903,"1,084","4,930","1,488",781,"2,572","1,490",0
2020,9,40,"54,882","28,192",432,215,799,315,382,539,"1,057","1,863","3,869",825,"4,016",916,958,"1,950",774,742,"1,160","3,701","3,679","26,690",866,"1,651",696,"3,167","1,389",341,602,417,670,"1,178","1,729","6,091","2,224",841,"2,545","2,283",0
2020,9,50,"53,897","29,572",656,352,"1,033",375,521,789,"1,398","1,625","3,604","1,215","3,998","1,209","1,463","2,215",996,968,"1,458","3,138","2,559","24,325","1,233","1,477",937,"2,527","1,381",524,819,655,855,"1,174","1,900","4,137","2,411","1,031","2,232","1,032",0
2020,9,60,"39,504","21,999",748,458,"1,196",443,653,904,"1,134",941,"2,042","1,190","3,025",897,"1,176","1,404",975,933,"1,137","1,738","1,005","17,505","1,218","1,224","1,026","1,421","1,139",487,929,656,758,881,"1,426","2,099","1,544",832,"1,413",452,0
2020,9,70,"24,246","13,142",509,408,855,422,444,609,613,450,"1,215",954,"1,599",508,583,814,711,544,632,759,513,"11,104","1,165",836,748,990,734,384,682,505,385,523,761,"1,032",864,536,769,190,0
2020,9,80,"12,368","6,814",276,195,478,226,253,308,315,241,620,509,853,261,273,497,301,226,325,403,254,"5,554",566,344,302,490,334,172,283,235,205,291,438,530,469,376,403,116,0
2020,9,90,"2,119","1,231",45,49,85,39,48,49,45,50,86,93,144,51,41,93,57,40,72,94,50,888,82,60,42,69,59,29,34,33,33,54,61,108,85,49,62,28,0
2020,9,100,133,67,8,2,13,0,1,4,2,3,5,1,10,1,1,3,2,4,0,3,4,66,6,7,6,4,15,0,1,4,1,1,4,2,2,6,7,0,0
2020,10,총,"333,600","174,322","3,819","2,151","6,474","2,505","3,265","4,488","7,651","9,804","21,389","6,675","23,870","6,132","7,067","11,467","5,762","5,398","7,891","20,319","18,195","159,278","7,349","9,627","5,729","16,523","9,910","3,555","5,078","3,550","4,838","7,047","10,715","30,731","13,634","6,058","15,162","9,772",0
2020,10,0,"26,562","12,155",146,47,302,85,149,154,460,707,"1,661",266,"2,011",344,335,788,302,265,477,"2,186","1,470","14,407",299,756,269,"1,351",988,108,212,151,329,440,780,"3,935","1,053",418,"1,799","1,519",0
2020,10,10,"34,811","17,476",233,87,373,167,216,325,607,"1,278","2,488",402,"2,631",556,639,"1,198",422,456,773,"2,357","2,268","17,335",490,"1,155",368,"2,086",742,175,317,263,399,637,"1,299","4,192","1,524",475,"1,528","1,685",0
