년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020,9,70,"5,389",623,295,558,536,496,659,469,297,451,137,364,504
2020,9,80,"1,834",174,88,211,187,207,209,156,121,159,42,115,165
2020,9,90,139,11,4,22,16,15,13,6,9,13,4,14,12
2020,9,100,8,2,0,4,1,1,0,0,0,0,0,0,0
2020,10,총,"89,408","7,885","3,870","6,536","8,386","13,898","10,196","5,656","8,340","7,260","3,628","5,669","8,084"
2020,10,0,"5,698",361,175,344,497,"1,056",505,239,"1,047",419,227,330,498
2020,10,10,"8,807",558,285,544,922,"2,017",873,495,759,666,310,505,873
2020,10,20,"13,547","1,284",489,814,"1,280","2,247","1,639",832,"1,096","1,180",614,853,"1,219"
2020,10,30,"10,880",918,477,675,937,"1,369","1,316",628,"1,472",929,627,680,852
2020,10,40,"13,931","1,127",634,969,"1,290","2,321","1,645",834,"1,389","1,168",673,779,"1,102"
2020,10,50,"17,118","1,509",752,"1,277","1,582","2,867","1,914","1,136","1,294","1,435",625,"1,156","1,571"
2020,10,60,"12,009","1,314",673,"1,127","1,132","1,301","1,428",858,847,843,366,833,"1,287"
2020,10,70,"5,427",624,295,554,540,494,653,475,305,443,140,401,503
2020,10,80,"1,840",177,85,206,188,210,210,153,122,161,42,119,167
2020,10,90,142,11,5,22,16,15,13,6,9,16,4,13,12
2020,10,100,9,2,0,4,2,1,0,0,0,0,0,0,0
2020,11,총,"89,677","7,862","3,823","6,519","8,350","13,892","10,155","5,661","8,398","7,247","3,642","6,053","8,075"
2020,11,0,"5,688",353,167,343,488,"1,055",494,236,"1,047",419,226,368,492
2020,11,10,"8,764",550,286,540,917,"2,010",858,491,765,647,309,521,870
2020,11,20,"13,602","1,292",472,809,"1,277","2,234","1,647",835,"1,097","1,188",614,909,"1,228"
2020,11,30,"10,979",900,465,684,926,"1,381","1,306",633,"1,484",939,630,780,851
2020,11,40,"13,918","1,124",633,964,"1,289","2,289","1,640",829,"1,404","1,148",673,824,"1,101"
2020,11,50,"17,149","1,505",742,"1,265","1,563","2,876","1,909","1,138","1,309","1,438",631,"1,214","1,559"
2020,11,60,"12,131","1,317",673,"1,132","1,144","1,320","1,425",864,851,846,371,894,"1,294"
2020,11,70,"5,445",632,294,550,538,498,655,474,306,446,142,408,502
2020,11,80,"1,849",177,86,205,190,213,208,154,126,161,42,121,166
2020,11,90,142,10,5,23,16,15,13,6,9,15,4,14,12
2020,11,100,10,2,0,4,2,1,0,1,0,0,0,0,0
2020,12,총,"89,698","7,838","3,789","6,478","8,317","13,833","10,173","5,646","8,467","7,273","3,624","6,230","8,030"
2020,12,0,"5,693",352,166,342,482,"1,048",490,235,"1,059",413,223,397,486
2020,12,10,"8,714",553,280,534,907,"1,996",858,483,769,638,313,537,846
2020,12,20,"13,576","1,274",461,795,"1,275","2,220","1,659",829,"1,098","1,214",601,920,"1,230"
