년도,월,나이,제천시,봉양읍,금성면,청풍면,수산면,덕산면,한수면,백운면,송학면,교동,의림지동,중앙동,남현동,영서동,용두동,신백동,청전동,화산동
2020,4,100,25,0,2,1,3,0,0,2,1,1,1,2,0,7,0,2,1,2
2020,5,총,"66,966","3,456","1,058",661,"1,056","1,134",356,"1,670","2,427","9,295","4,906","2,997","2,467","5,183","8,989","5,624","7,917","7,770"
2020,5,0,"4,653",151,33,18,24,37,5,51,51,817,441,138,108,450,701,402,365,861
2020,5,10,"6,199",189,59,22,42,110,21,84,127,"1,228",584,232,167,471,942,629,635,657
2020,5,20,"8,264",268,83,36,61,53,21,107,238,"1,227",688,338,330,600,"1,491",769,"1,096",858
2020,5,30,"6,964",239,68,43,47,45,24,72,151,"1,011",519,307,228,585,"1,151",557,778,"1,139"
2020,5,40,"9,642",399,80,60,89,117,46,148,266,"1,602",798,400,305,790,"1,353",854,"1,029","1,306"
2020,5,50,"12,389",691,230,143,223,210,78,332,494,"1,733",893,532,459,897,"1,595","1,146","1,466","1,267"
2020,5,60,"10,888",848,289,174,286,297,87,477,609,"1,060",636,574,474,754,"1,119",737,"1,528",939
2020,5,70,"5,576",460,139,112,195,190,39,260,320,461,233,339,300,447,436,373,753,519
2020,5,80,"2,193",192,66,51,79,70,31,123,159,147,101,124,88,169,188,146,245,214
2020,5,90,173,19,9,1,7,5,4,14,11,8,12,11,8,13,13,9,21,8
2020,5,100,25,0,2,1,3,0,0,2,1,1,1,2,0,7,0,2,1,2
2020,6,총,"66,925","3,465","1,049",665,"1,059","1,133",354,"1,668","2,426","9,304","4,916","2,973","2,460","5,160","9,001","5,620","7,894","7,778"
2020,6,0,"4,622",149,32,18,24,36,4,50,50,827,437,134,108,436,700,393,362,862
2020,6,10,"6,176",190,58,24,42,110,18,83,120,"1,218",586,232,164,471,941,629,631,659
2020,6,20,"8,235",271,79,37,58,52,22,105,242,"1,234",684,334,323,592,"1,491",767,"1,092",852
2020,6,30,"6,949",233,64,42,47,44,21,72,152,"1,015",525,301,227,585,"1,155",548,781,"1,137"
2020,6,40,"9,630",403,82,59,90,116,46,147,262,"1,601",805,397,306,787,"1,354",856,"1,017","1,302"
2020,6,50,"12,353",685,229,143,223,210,81,330,488,"1,725",890,526,460,894,"1,589","1,150","1,458","1,272"
2020,6,60,"10,967",858,286,178,291,297,88,482,620,"1,065",638,571,475,756,"1,136",746,"1,530",950
2020,6,70,"5,594",462,141,111,197,192,39,260,321,458,232,341,301,451,435,374,761,518
2020,6,80,"2,195",195,66,51,77,71,30,123,158,152,106,124,88,166,186,146,240,216
2020,6,90,179,19,10,1,7,5,5,14,12,8,12,11,8,15,14,9,21,8
2020,6,100,25,0,2,1,3,0,0,2,1,1,1,2,0,7,0,2,1,2
2020,7,총,"66,851","3,460","1,049",666,"1,060","1,134",354,"1,663","2,427","9,297","4,920","2,976","2,458","5,172","8,954","5,588","7,872","7,801"
2020,7,0,"4,603",142,32,18,23,36,4,50,50,827,442,134,102,436,691,383,364,869
2020,7,10,"6,142",194,57,24,42,110,18,80,114,"1,213",580,232,166,471,936,627,626,652
2020,7,20,"8,211",265,81,37,58,52,22,102,246,"1,225",690,338,320,590,"1,481",749,"1,091",864
2020,7,30,"6,925",231,64,41,45,44,21,70,152,"1,015",523,302,231,593,"1,137",550,776,"1,130"
2020,7,40,"9,588",401,81,59,89,117,46,148,256,"1,604",801,397,301,789,"1,344",848,"1,009","1,298"
2020,7,50,"12,375",685,230,144,223,211,82,325,490,"1,729",898,520,462,899,"1,598","1,154","1,446","1,279"
2020,7,60,"11,000",863,286,178,296,293,88,488,626,"1,066",639,577,480,754,"1,131",747,"1,529",959
2020,7,70,"5,608",463,141,112,195,195,39,262,319,456,230,341,299,450,440,375,770,521
2020,7,80,"2,197",198,65,51,79,71,29,124,159,154,104,121,89,168,183,144,240,218
2020,7,90,179,18,10,1,7,5,5,13,14,8,12,12,8,15,13,9,20,9
2020,7,100,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020,8,총,"66,804","3,447","1,050",660,"1,061","1,128",357,"1,662","2,440","9,299","4,913","2,957","2,458","5,181","8,952","5,574","7,874","7,791"
2020,8,0,"4,577",142,33,18,23,37,5,50,48,825,441,125,104,439,694,378,359,856
2020,8,10,"6,121",192,56,25,41,109,18,78,121,"1,214",575,229,166,462,932,626,622,655
2020,8,20,"8,188",262,82,35,58,51,21,103,246,"1,226",690,335,322,592,"1,463",743,"1,088",871
2020,8,30,"6,911",235,64,41,46,44,22,71,152,"1,007",521,296,227,596,"1,137",548,782,"1,122"
2020,8,40,"9,560",389,81,56,89,112,46,147,259,"1,600",804,403,301,794,"1,333",848,"1,010","1,288"
2020,8,50,"12,383",693,227,138,221,210,84,326,489,"1,727",892,516,463,899,"1,612","1,147","1,454","1,285"
2020,8,60,"11,037",856,289,184,296,294,88,486,627,"1,080",645,577,481,756,"1,141",755,"1,520",962
2020,8,70,"5,616",462,142,109,194,195,39,262,322,456,229,343,298,453,444,370,776,522
2020,8,80,"2,209",197,64,52,83,71,29,125,161,156,104,118,88,168,183,148,243,219
2020,8,90,179,19,10,1,7,5,5,13,14,8,11,13,8,15,13,9,19,9
2020,8,100,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020,9,총,"66,825","3,450","1,051",670,"1,065","1,128",362,"1,666","2,452","9,279","4,915","2,941","2,459","5,182","8,973","5,586","7,863","7,783"
2020,9,0,"4,561",142,32,21,23,38,9,50,49,817,444,122,105,434,689,377,360,849
2020,9,10,"6,106",186,56,27,39,109,16,78,123,"1,212",569,227,169,469,926,626,618,656
2020,9,20,"8,194",265,82,37,61,49,23,106,245,"1,228",689,336,326,581,"1,464",755,"1,079",868
2020,9,30,"6,883",235,63,39,47,43,21,69,153,997,518,292,217,603,"1,142",542,789,"1,113"
2020,9,40,"9,574",389,80,56,88,111,45,146,262,"1,598",806,399,301,797,"1,343",850,"1,012","1,291"
2020,9,50,"12,339",690,226,143,221,211,84,323,487,"1,718",898,514,456,900,"1,612","1,143","1,435","1,278"
2020,9,60,"11,130",864,292,182,297,295,91,491,634,"1,094",648,573,490,754,"1,157",767,"1,529",972
2020,9,70,"5,629",464,143,111,197,196,39,262,323,448,228,345,299,455,443,368,780,528
2020,9,80,"2,205",196,65,52,82,70,29,127,160,159,102,119,88,167,182,147,243,217
2020,9,90,181,19,10,1,7,6,5,13,15,8,12,12,8,15,15,9,17,9
2020,9,100,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020,10,총,"66,811","3,467","1,052",673,"1,064","1,131",359,"1,668","2,429","9,270","4,920","2,943","2,454","5,145","9,003","5,602","7,851","7,780"
2020,10,0,"4,541",145,31,18,23,40,9,51,47,819,442,123,102,422,685,376,355,853
2020,10,10,"6,087",186,57,27,39,109,16,77,113,"1,208",574,227,169,468,931,630,609,647
2020,10,20,"8,211",267,84,37,61,49,22,106,235,"1,228",687,337,320,578,"1,473",756,"1,098",873
2020,10,30,"6,837",231,64,38,46,43,18,69,148,995,507,292,219,595,"1,148",535,779,"1,110"
2020,10,40,"9,541",394,80,58,87,110,46,144,259,"1,580",811,395,305,786,"1,341",855,"1,010","1,280"
2020,10,50,"12,335",696,224,144,220,213,84,321,490,"1,721",900,512,454,893,"1,604","1,145","1,427","1,287"
2020,10,60,"11,194",871,293,185,301,297,91,495,638,"1,103",650,576,490,761,"1,171",774,"1,524",974
2020,10,70,"5,632",460,141,111,195,195,39,266,322,446,232,349,296,449,449,374,781,527
2020,10,80,"2,228",198,67,53,82,69,29,126,161,162,103,118,91,172,186,145,249,217
2020,10,90,182,19,9,1,7,6,5,12,15,8,13,12,8,14,15,10,18,10
2020,10,100,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020,11,총,"66,739","3,464","1,049",665,"1,059","1,130",360,"1,676","2,428","9,267","4,906","2,926","2,448","5,136","8,996","5,615","7,853","7,761"
2020,11,0,"4,501",147,29,17,22,40,10,46,48,817,435,121,102,419,681,367,355,845
2020,11,10,"6,064",187,57,26,37,109,17,81,112,"1,203",569,219,165,465,928,635,604,650
2020,11,20,"8,201",263,81,36,63,47,22,106,235,"1,230",677,346,321,580,"1,463",770,"1,086",875
2020,11,30,"6,797",228,62,39,45,43,19,70,145,988,507,287,220,581,"1,149",525,784,"1,105"
2020,11,40,"9,515",392,80,56,88,112,44,143,257,"1,570",806,393,298,796,"1,342",856,"1,007","1,275"
2020,11,50,"12,294",692,223,141,218,210,83,324,482,"1,722",898,508,452,885,"1,596","1,145","1,428","1,287"
2020,11,60,"11,279",884,297,184,301,297,92,499,645,"1,115",662,570,494,768,"1,190",784,"1,524",973
2020,11,70,"5,639",456,142,111,193,194,40,265,326,449,235,348,297,446,447,373,794,523
2020,11,80,"2,242",197,67,53,82,72,27,129,163,164,103,121,91,175,185,148,252,213
2020,11,90,184,18,9,1,7,6,6,12,14,9,13,11,8,14,15,10,18,13
2020,11,100,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020,12,총,"66,705","3,463","1,044",665,"1,059","1,118",356,"1,674","2,438","9,302","4,907","2,908","2,449","5,143","8,955","5,593","7,886","7,745"
2020,12,0,"4,462",148,28,17,22,39,9,46,47,812,439,119,102,411,672,369,348,834
2020,12,10,"6,040",188,56,23,37,102,16,78,119,"1,203",568,218,160,469,921,622,607,653
2020,12,20,"8,182",260,78,39,66,45,23,102,234,"1,243",672,339,317,585,"1,435",768,"1,098",878
2020,12,30,"6,793",232,63,39,47,42,18,71,148,994,507,287,222,576,"1,151",523,778,"1,095"
2020,12,40,"9,488",396,83,56,86,113,42,143,255,"1,573",800,384,300,794,"1,337",850,"1,001","1,275"
2020,12,50,"12,279",682,218,137,203,204,82,323,478,"1,728",895,504,459,900,"1,599","1,146","1,431","1,290"
2020,12,60,"11,359",888,297,189,315,298,92,504,648,"1,132",663,574,495,772,"1,192",783,"1,548",969
2020,12,70,"5,624",446,143,109,192,193,41,262,329,440,239,349,295,443,449,372,801,521
2020,12,80,"2,275",207,66,54,81,76,27,132,164,168,109,122,92,173,186,149,254,215
2020,12,90,178,16,10,1,7,6,5,12,14,9,14,10,7,13,13,9,19,13
2020,12,100,25,0,2,1,3,0,1,1,2,0,1,2,0,7,0,2,1,2
2021,1,총,"66,633","3,466","1,036",659,"1,052","1,122",361,"1,672","2,421","9,282","4,943","2,887","2,438","5,172","8,931","5,594","7,851","7,746"
2021,1,0,"4,440",150,28,17,21,42,10,47,46,799,432,119,97,422,665,370,347,828
2021,1,10,"6,002",184,55,23,35,102,16,75,115,"1,200",567,214,160,470,916,617,597,656
2021,1,20,"8,152",260,75,40,65,45,23,102,224,"1,236",675,331,318,587,"1,425",770,"1,091",885
2021,1,30,"6,788",227,62,39,48,42,20,72,149,985,506,287,216,581,"1,153",523,788,"1,090"
2021,1,40,"9,453",400,79,53,83,115,41,144,251,"1,573",795,375,301,783,"1,331",849,"1,004","1,276"
2021,1,50,"12,232",683,216,135,198,202,82,321,469,"1,723",905,502,450,903,"1,594","1,146","1,415","1,288"
2021,1,60,"11,417",886,296,188,317,298,94,499,652,"1,143",678,573,500,785,"1,201",788,"1,549",970
2021,1,70,"5,656",454,142,108,193,192,41,267,333,447,256,351,297,445,448,371,791,520
2021,1,80,"2,287",206,71,54,82,77,28,132,166,167,113,123,93,176,182,148,250,219
2021,1,90,181,16,10,1,7,7,5,12,14,9,15,10,6,13,16,10,18,12
2021,1,100,25,0,2,1,3,0,1,1,2,0,1,2,0,7,0,2,1,2
2021,2,총,"66,498","3,455","1,033",655,"1,048","1,122",359,"1,667","2,414","9,263","4,934","2,902","2,434","5,177","8,895","5,593","7,819","7,728"
2021,2,0,"4,413",150,26,17,20,40,11,48,45,783,435,121,98,422,665,372,336,824
2021,2,10,"5,975",181,54,23,35,107,16,73,114,"1,204",565,213,155,465,902,614,598,656
2021,2,20,"8,109",261,75,38,63,46,23,102,222,"1,232",668,335,319,589,"1,406",764,"1,087",879
2021,2,30,"6,738",235,57,39,48,41,20,73,148,977,499,283,214,578,"1,140",527,775,"1,084"
2021,2,40,"9,421",391,81,53,80,116,38,138,251,"1,575",797,380,297,785,"1,329",847,991,"1,272"
2021,2,50,"12,194",673,218,133,199,197,82,319,466,"1,717",904,508,457,897,"1,587","1,149","1,411","1,277"
2021,2,60,"11,467",895,296,190,318,298,94,502,652,"1,141",672,570,498,793,"1,221",787,"1,561",979
2021,2,70,"5,669",450,140,106,191,195,42,265,336,457,261,354,297,449,446,372,786,522
2021,2,80,"2,304",206,75,54,84,75,27,133,163,168,116,126,93,179,183,148,255,219
2021,2,90,182,13,9,1,7,7,5,13,15,9,16,9,6,13,16,11,18,14
2021,2,100,26,0,2,1,3,0,1,1,2,0,1,3,0,7,0,2,1,2
2021,3,총,"66,558","3,456","1,028",654,"1,052","1,121",361,"1,663","2,412","9,227","4,930","2,912","2,432","5,171","8,959","5,594","7,838","7,748"
2021,3,0,"4,377",144,26,16,21,41,9,46,45,773,432,115,99,422,661,373,335,819
2021,3,10,"5,994",176,54,21,35,102,19,75,110,"1,198",564,209,150,472,906,612,606,685
2021,3,20,"8,150",262,75,39,61,47,23,95,221,"1,225",675,342,320,591,"1,456",763,"1,087",868
2021,3,30,"6,728",233,57,41,49,41,22,76,150,963,496,285,218,570,"1,141",529,779,"1,078"
2021,3,40,"9,384",392,83,53,81,118,37,138,251,"1,560",791,384,293,778,"1,322",844,986,"1,273"
2021,3,50,"12,147",681,212,132,199,196,82,309,458,"1,718",899,504,451,895,"1,584","1,139","1,408","1,280"
2021,3,60,"11,588",897,299,193,320,299,96,513,661,"1,149",678,577,506,796,"1,244",799,"1,575",986
2021,3,70,"5,651",450,139,104,192,196,41,263,332,461,264,354,293,448,440,370,784,520
2021,3,80,"2,334",206,73,54,85,74,26,136,167,172,115,130,96,178,189,150,258,225
2021,3,90,184,15,9,1,6,7,4,12,15,8,15,10,6,14,16,13,19,14
2021,3,100,21,0,1,0,3,0,2,0,2,0,1,2,0,7,0,2,1,0
2021,4,총,"66,597","3,464","1,025",657,"1,050","1,117",362,"1,689","2,409","9,225","4,921","2,907","2,452","5,170","8,974","5,586","7,843","7,746"
2021,4,0,"4,356",144,26,16,21,40,9,45,46,768,433,110,100,418,662,372,335,811
2021,4,10,"6,000",177,55,21,34,102,19,75,112,"1,190",551,213,150,478,910,611,605,697
2021,4,20,"8,181",268,73,40,59,47,23,108,216,"1,223",682,343,329,595,"1,456",759,"1,092",868
2021,4,30,"6,724",230,56,42,50,41,22,76,150,963,496,280,226,570,"1,154",528,773,"1,067"
2021,4,40,"9,347",394,84,51,80,116,37,138,250,"1,557",790,377,294,777,"1,312",836,982,"1,272"
2021,4,50,"12,122",680,210,135,201,197,79,314,452,"1,716",896,506,451,886,"1,582","1,139","1,405","1,273"
2021,4,60,"11,682",901,301,193,322,299,100,524,665,"1,166",678,578,508,808,"1,250",806,"1,585",998
2021,4,70,"5,621",448,138,104,190,192,40,262,336,461,262,351,293,437,442,363,787,515
2021,4,80,"2,360",209,73,54,85,76,27,135,163,172,117,137,95,180,191,157,258,231
2021,4,90,183,13,8,1,5,7,4,12,17,9,15,10,6,14,15,13,20,14
2021,4,100,21,0,1,0,3,0,2,0,2,0,1,2,0,7,0,2,1,0
2021,5,총,"66,598","3,461","1,028",655,"1,056","1,116",364,"1,688","2,416","9,222","4,926","2,906","2,448","5,153","9,015","5,587","7,818","7,739"
2021,5,0,"4,340",142,26,16,21,40,8,42,46,777,433,111,99,416,649,375,331,808
2021,5,10,"5,987",171,54,20,34,101,17,73,113,"1,176",545,210,150,482,928,606,606,701
2021,5,20,"8,180",273,72,40,56,46,25,105,215,"1,220",689,348,328,589,"1,484",760,"1,072",858
2021,5,30,"6,724",235,57,42,51,43,22,77,152,964,504,270,225,556,"1,153",532,774,"1,067"
2021,5,40,"9,314",388,83,47,83,115,37,138,254,"1,549",783,378,296,778,"1,313",825,976,"1,271"
2021,5,50,"12,080",685,210,135,202,192,80,308,446,"1,721",899,504,453,874,"1,570","1,130","1,405","1,266"
2021,5,60,"11,783",904,307,194,321,306,102,533,669,"1,173",679,586,504,821,"1,272",821,"1,580","1,011"
2021,5,70,"5,602",439,137,103,191,190,40,263,338,459,263,350,291,433,440,362,792,511
2021,5,80,"2,383",212,72,57,89,77,27,137,162,174,115,137,96,184,190,161,261,232
2021,5,90,184,12,9,1,5,6,4,12,19,9,15,10,6,13,16,13,20,14
2021,5,100,21,0,1,0,3,0,2,0,2,0,1,2,0,7,0,2,1,0
2021,6,총,"66,449","3,442","1,019",654,"1,049","1,114",360,"1,682","2,418","9,193","4,926","2,888","2,444","5,137","8,996","5,580","7,817","7,730"
2021,6,0,"4,320",137,25,16,19,42,8,42,46,772,430,108,102,413,651,374,327,808
2021,6,10,"5,960",172,54,20,35,102,17,74,116,"1,164",551,207,151,476,916,601,602,702
2021,6,20,"8,166",270,68,39,54,45,25,100,215,"1,225",685,348,328,595,"1,485",760,"1,074",850
2021,6,30,"6,702",227,57,42,53,42,22,79,154,953,506,266,224,550,"1,150",526,787,"1,064"
2021,6,40,"9,261",391,80,47,82,109,37,135,243,"1,534",777,376,295,773,"1,314",825,970,"1,273"
2021,6,50,"11,993",676,205,136,204,191,81,306,446,"1,712",896,500,446,875,"1,547","1,118","1,394","1,260"
2021,6,60,"11,877",907,309,196,320,309,100,537,677,"1,194",689,584,504,822,"1,290",836,"1,583","1,020"
2021,6,70,"5,593",438,135,102,190,190,39,263,337,454,263,352,290,432,436,366,798,508
2021,6,80,"2,378",212,76,55,87,78,26,136,162,176,113,135,98,181,191,160,261,231
2021,6,90,182,12,9,1,5,6,4,10,20,9,15,10,6,13,16,12,20,14
2021,6,100,17,0,1,0,0,0,1,0,2,0,1,2,0,7,0,2,1,0
2021,7,총,"66,444","3,442","1,021",655,"1,050","1,113",358,"1,686","2,423","9,222","4,912","2,896","2,449","5,118","8,980","5,580","7,806","7,733"
2021,7,0,"4,296",137,25,16,19,42,8,42,46,776,425,110,103,408,649,361,321,808
2021,7,10,"5,960",170,53,20,34,102,17,73,119,"1,160",554,207,149,480,909,610,602,701
2021,7,20,"8,142",270,70,38,51,44,24,98,216,"1,229",675,347,324,591,"1,475",757,"1,066",867
2021,7,30,"6,669",225,58,42,54,41,21,79,153,951,502,268,228,548,"1,145",518,794,"1,042"
2021,7,40,"9,219",383,76,48,82,106,38,135,241,"1,531",781,369,288,761,"1,313",821,975,"1,271"
2021,7,50,"12,007",679,202,137,204,190,80,304,446,"1,724",890,514,454,875,"1,535","1,129","1,382","1,262"
2021,7,60,"11,965",915,315,195,326,311,100,544,682,"1,209",695,583,508,823,"1,307",842,"1,580","1,030"
2021,7,70,"5,602",439,136,102,188,192,40,263,337,457,264,350,290,430,439,370,801,504
2021,7,80,"2,388",209,76,56,87,79,25,138,161,176,113,137,100,182,192,159,265,233
2021,7,90,180,15,9,1,5,6,4,10,20,9,12,9,5,13,16,12,19,15
2021,7,100,16,0,1,0,0,0,1,0,2,0,1,2,0,7,0,1,1,0
2021,8,총,"66,375","3,447","1,020",650,"1,046","1,107",358,"1,698","2,418","9,207","4,907","2,891","2,450","5,082","8,966","5,578","7,809","7,741"
2021,8,0,"4,285",135,26,16,19,40,8,44,45,777,422,110,102,408,645,358,329,801
2021,8,10,"5,918",170,53,19,34,102,18,72,111,"1,156",552,205,143,468,912,602,589,712
2021,8,20,"8,106",272,67,37,50,45,25,97,215,"1,221",678,348,335,578,"1,461",755,"1,064",858
2021,8,30,"6,646",224,59,44,54,43,20,80,157,946,500,264,228,538,"1,139",520,789,"1,041"
2021,8,40,"9,185",380,74,47,79,103,38,134,234,"1,526",776,369,284,765,"1,310",817,975,"1,274"
2021,8,50,"12,025",675,203,133,203,187,80,307,450,"1,733",893,514,456,875,"1,537","1,134","1,388","1,257"
2021,8,60,"12,030",926,316,195,329,313,101,554,685,"1,205",698,582,511,821,"1,317",847,"1,587","1,043"
2021,8,70,"5,593",438,134,102,187,191,38,263,338,453,265,352,285,423,437,376,804,507
2021,8,80,"2,391",212,78,55,86,78,25,137,161,181,109,136,101,186,193,156,264,233
2021,8,90,180,15,9,2,5,5,4,10,20,9,13,9,5,13,15,12,19,15
2021,8,100,16,0,1,0,0,0,1,0,2,0,1,2,0,7,0,1,1,0
2021,9,총,"66,273","3,433","1,018",649,"1,045","1,104",360,"1,713","2,425","9,183","4,894","2,868","2,465","5,073","8,944","5,575","7,793","7,731"
2021,9,0,"4,261",133,27,16,19,40,8,47,45,783,415,108,97,408,641,346,321,807
2021,9,10,"5,877",168,53,19,34,101,19,76,112,"1,137",549,201,147,466,897,599,585,714
2021,9,20,"8,077",267,67,37,49,42,25,97,218,"1,226",677,346,340,566,"1,449",766,"1,058",847
2021,9,30,"6,620",222,58,43,50,41,20,77,156,940,496,259,233,539,"1,139",522,789,"1,036"
2021,9,40,"9,121",371,75,48,78,104,37,132,235,"1,507",775,369,277,766,"1,311",805,973,"1,258"
2021,9,50,"12,034",675,201,131,205,185,82,312,445,"1,745",891,509,461,874,"1,542","1,134","1,380","1,262"
2021,9,60,"12,083",930,316,195,332,317,100,559,689,"1,204",703,583,516,825,"1,315",853,"1,596","1,050"
2021,9,70,"5,590",443,135,101,188,191,39,265,340,451,260,343,287,423,440,381,802,501
2021,9,80,"2,410",209,76,56,84,78,25,138,163,180,114,139,101,185,195,156,270,241
2021,9,90,185,15,9,3,6,5,4,10,20,10,13,9,6,14,15,12,19,15
2021,9,100,15,0,1,0,0,0,1,0,2,0,1,2,0,7,0,1,0,0
2021,10,총,"66,270","3,436","1,017",655,"1,048","1,097",360,"1,713","2,432","9,151","4,910","2,866","2,473","5,067","8,936","5,593","7,796","7,720"
2021,10,0,"4,236",127,27,15,19,40,7,46,48,770,420,109,95,400,643,342,318,810
2021,10,10,"5,877",170,55,21,33,100,20,75,114,"1,133",540,196,155,467,892,602,587,717
2021,10,20,"8,067",263,64,37,49,42,24,103,216,"1,221",684,344,338,565,"1,441",770,"1,055",851
2021,10,30,"6,580",216,61,43,50,41,20,74,160,932,490,255,234,540,"1,135",526,780,"1,023"
2021,10,40,"9,116",377,75,46,80,102,38,132,231,"1,495",781,370,280,762,"1,314",803,982,"1,248"
2021,10,50,"12,018",669,196,131,201,183,80,311,440,"1,742",891,512,460,882,"1,548","1,137","1,377","1,258"
2021,10,60,"12,149",943,315,202,333,319,102,559,699,"1,212",711,588,512,823,"1,317",859,"1,599","1,056"
2021,10,70,"5,601",447,138,100,194,188,39,266,338,457,266,340,291,418,437,379,801,502
