년도,월,나이,사천시,사천읍,정동면,사남면,용현면,축동면,곤양면,곤명면,서포면,동서동,선구동,동서금동,벌용동,향촌동,남양동,신수출장소
2020,2,100,18,6,0,1,1,0,1,1,0,2,0,3,1,0,2,0
2020,3,총,"55,280","9,021","5,390","7,639","3,958",797,"1,739","1,479","1,795","3,290","2,688","3,161","8,028","3,378","2,779",138
2020,3,0,"4,103",761,526,981,374,21,45,34,32,93,121,202,557,193,160,3
2020,3,10,"5,056","1,007",637,997,299,27,78,42,72,160,155,227,829,310,211,5
2020,3,20,"4,405",999,498,601,236,51,111,74,101,174,187,219,690,267,196,1
2020,3,30,"5,826","1,135",677,"1,246",489,44,88,70,65,197,224,316,752,290,224,9
2020,3,40,"8,321","1,573",976,"1,423",550,70,155,102,123,325,325,443,"1,343",552,353,8
2020,3,50,"8,829","1,453",779,842,635,121,274,241,311,563,514,563,"1,458",596,460,19
2020,3,60,"8,135",934,546,674,603,185,358,335,392,783,530,583,"1,154",523,500,35
2020,3,70,"6,097",646,423,485,430,135,340,299,360,620,392,396,780,375,378,38
2020,3,80,"3,834",429,276,339,290,125,255,250,277,314,205,181,410,226,238,19
2020,3,90,656,78,52,50,51,18,34,31,62,59,35,28,54,46,57,1
2020,3,100,18,6,0,1,1,0,1,1,0,2,0,3,1,0,2,0
2020,4,총,"55,246","8,997","5,390","7,650","3,946",785,"1,731","1,481","1,793","3,275","2,685","3,205","8,018","3,377","2,776",137
2020,4,0,"4,092",754,523,984,374,21,45,35,32,91,124,211,547,191,157,3
2020,4,10,"5,052","1,002",631,"1,000",301,24,77,42,72,156,155,225,831,317,214,5
2020,4,20,"4,387",992,493,602,231,52,109,74,101,173,188,226,687,266,192,1
2020,4,30,"5,813","1,125",674,"1,249",493,44,89,71,64,189,216,325,750,286,229,9
2020,4,40,"8,287","1,570",973,"1,423",545,69,150,99,124,321,330,445,"1,332",546,352,8
2020,4,50,"8,819","1,457",787,845,627,117,275,237,309,561,507,566,"1,461",596,456,18
2020,4,60,"8,146",937,550,673,601,185,355,340,390,776,529,589,"1,155",528,503,35
2020,4,70,"6,122",644,431,486,434,131,340,301,360,627,392,401,790,375,371,39
2020,4,80,"3,850",432,275,334,288,126,256,251,278,319,210,184,410,225,243,19
2020,4,90,658,78,53,53,51,16,33,30,63,60,34,29,54,47,57,0
2020,4,100,20,6,0,1,1,0,2,1,0,2,0,4,1,0,2,0
2020,5,총,"55,169","8,978","5,363","7,660","3,932",787,"1,733","1,482","1,795","3,267","2,692","3,194","8,005","3,354","2,790",137
2020,5,0,"4,058",739,521,984,373,22,46,36,32,89,120,210,544,182,157,3
2020,5,10,"5,039","1,000",626,"1,004",299,24,75,43,72,158,151,222,827,314,219,5
2020,5,20,"4,365",996,484,603,227,53,107,71,99,171,191,226,685,259,192,1
2020,5,30,"5,788","1,118",668,"1,243",494,43,91,72,64,187,219,322,746,280,232,9
2020,5,40,"8,275","1,563",975,"1,434",539,71,146,94,123,319,326,448,"1,325",544,360,8
2020,5,50,"8,786","1,456",785,842,625,115,273,237,308,551,513,559,"1,459",596,449,18
2020,5,60,"8,178",947,544,671,601,181,361,342,393,782,532,587,"1,158",535,509,35
2020,5,70,"6,140",641,433,490,433,136,340,302,365,627,392,405,794,374,369,39
2020,5,80,"3,859",432,274,334,289,126,260,251,277,320,216,182,413,220,246,19
2020,5,90,661,80,53,54,51,16,32,33,62,61,32,29,53,50,55,0
2020,5,100,20,6,0,1,1,0,2,1,0,2,0,4,1,0,2,0
2020,6,총,"55,112","8,965","5,358","7,680","3,938",779,"1,731","1,474","1,795","3,243","2,687","3,218","7,996","3,330","2,783",135
2020,6,0,"4,038",741,519,982,373,20,45,37,32,84,123,218,535,176,150,3
2020,6,10,"5,017",993,627,"1,006",302,24,72,40,71,158,150,221,818,313,218,4
2020,6,20,"4,364",991,484,607,227,52,106,70,101,167,186,232,697,250,192,2
2020,6,30,"5,733","1,116",662,"1,238",486,41,89,71,64,179,220,324,737,267,231,8
2020,6,40,"8,281","1,559",977,"1,441",542,70,146,96,121,320,327,447,"1,328",546,354,7
2020,6,50,"8,764","1,448",784,855,619,111,275,233,310,548,507,554,"1,455",593,454,18
2020,6,60,"8,210",954,544,675,608,182,363,345,395,775,534,594,"1,163",536,508,34
2020,6,70,"6,161",646,433,490,436,137,337,299,361,631,395,415,792,377,372,40
2020,6,80,"3,863",430,274,332,292,126,264,249,278,319,214,180,416,222,248,19
2020,6,90,660,80,54,53,52,16,32,33,62,60,31,29,54,50,54,0
2020,6,100,21,7,0,1,1,0,2,1,0,2,0,4,1,0,2,0
2020,7,총,"55,207","8,854","5,738","7,608","3,894",776,"1,722","1,472","1,800","3,240","2,665","3,230","7,981","3,334","2,758",135
2020,7,0,"4,026",720,572,962,362,20,44,39,31,83,117,222,530,177,144,3
2020,7,10,"5,020",981,674,"1,003",301,23,67,36,71,154,147,219,812,316,212,4
2020,7,20,"4,374",986,521,592,221,51,108,67,102,170,180,237,695,253,189,2
2020,7,30,"5,714","1,072",755,"1,214",474,39,86,69,65,183,218,322,725,260,224,8
2020,7,40,"8,316","1,530","1,064","1,439",534,65,145,95,121,316,325,447,"1,324",553,351,7
2020,7,50,"8,759","1,443",821,842,617,115,270,232,308,545,499,552,"1,461",584,452,18
2020,7,60,"8,267",959,559,680,605,182,363,346,399,780,540,597,"1,168",546,509,34
2020,7,70,"6,159",648,440,490,434,138,341,303,358,632,391,413,791,371,369,40
2020,7,80,"3,893",430,279,333,294,127,264,250,283,316,218,188,418,222,252,19
2020,7,90,656,78,52,52,51,16,32,34,62,59,30,28,56,52,54,0
2020,7,100,23,7,1,1,1,0,2,1,0,2,0,5,1,0,2,0
2020,8,총,"55,236","8,755","6,067","7,528","3,856",773,"1,712","1,467","1,809","3,224","2,645","3,257","7,953","3,319","2,740",131
2020,8,0,"4,001",694,632,930,357,20,43,37,34,79,115,222,525,174,137,2
2020,8,10,"5,025",973,696,"1,002",294,23,67,39,71,154,145,224,806,314,214,3
2020,8,20,"4,378",971,553,598,223,49,106,62,100,171,179,237,693,248,186,2
2020,8,30,"5,690","1,056",823,"1,176",451,39,85,65,69,178,216,327,719,255,224,7
2020,8,40,"8,341","1,499","1,132","1,433",545,65,140,97,120,313,318,446,"1,327",555,344,7
2020,8,50,"8,743","1,436",866,832,598,113,265,232,311,541,494,565,"1,446",577,449,18
2020,8,60,"8,333",967,579,683,612,182,370,346,402,784,535,599,"1,172",551,517,34
2020,8,70,"6,134",646,445,487,427,138,337,304,356,629,391,413,792,369,361,39
2020,8,80,"3,909",432,285,332,294,128,264,248,284,314,220,191,418,225,255,19
2020,8,90,659,74,55,54,54,16,33,36,62,59,32,28,54,51,51,0
2020,8,100,23,7,1,1,1,0,2,1,0,2,0,5,1,0,2,0
2020,9,총,"55,259","8,734","6,196","7,505","3,847",772,"1,707","1,458","1,802","3,199","2,649","3,253","7,967","3,313","2,727",130
2020,9,0,"3,977",682,655,910,353,20,41,35,33,77,116,220,522,178,134,1
2020,9,10,"5,020",976,698,"1,005",295,23,66,38,68,152,145,224,807,308,212,3
2020,9,20,"4,390",963,575,596,223,49,105,62,101,167,182,237,691,254,183,2
2020,9,30,"5,657","1,049",844,"1,176",442,39,84,66,67,173,213,326,713,245,214,6
2020,9,40,"8,349","1,490","1,153","1,425",550,65,140,95,119,309,314,443,"1,331",555,353,7
2020,9,50,"8,735","1,441",883,833,595,110,266,231,308,533,488,560,"1,449",578,441,19
2020,9,60,"8,405",970,599,687,617,185,371,345,405,787,545,600,"1,185",554,521,34
2020,9,70,"6,115",647,447,476,426,137,337,300,354,628,393,419,787,366,360,38
2020,9,80,"3,924",435,287,341,289,128,262,247,287,310,221,192,428,224,253,20
2020,9,90,663,74,54,55,56,16,33,38,59,61,32,27,53,51,54,0
2020,9,100,24,7,1,1,1,0,2,1,1,2,0,5,1,0,2,0
2020,10,총,"55,208","8,725","6,315","7,457","3,815",770,"1,705","1,452","1,801","3,199","2,630","3,253","7,931","3,303","2,721",131
2020,10,0,"3,951",677,669,893,345,19,40,33,34,76,114,221,510,180,139,1
2020,10,10,"5,013",970,706,"1,006",292,23,66,37,68,153,144,220,808,305,212,3
2020,10,20,"4,371",966,589,586,222,49,104,61,100,161,178,238,689,250,176,2
2020,10,30,"5,610","1,039",872,"1,160",423,36,84,63,69,173,209,326,695,242,213,6
2020,10,40,"8,322","1,490","1,175","1,426",544,64,137,95,116,310,307,441,"1,317",550,343,7
2020,10,50,"8,722","1,434",897,824,587,110,270,232,303,530,488,553,"1,449",578,448,19
2020,10,60,"8,474",983,616,693,627,186,371,345,410,790,546,607,"1,192",555,519,34
2020,10,70,"6,110",650,446,474,427,133,335,295,350,634,390,421,787,369,360,39
2020,10,80,"3,952",435,290,340,289,134,264,250,292,310,222,197,432,223,254,20
2020,10,90,661,74,54,54,58,16,32,40,58,60,32,25,51,51,56,0
2020,10,100,22,7,1,1,1,0,2,1,1,2,0,4,1,0,1,0
2020,11,총,"55,166","8,700","6,397","7,429","3,818",763,"1,698","1,444","1,802","3,183","2,610","3,256","7,931","3,293","2,713",129
2020,11,0,"3,930",674,673,893,344,17,37,31,34,76,111,219,503,179,138,1
2020,11,10,"5,001",964,714,"1,000",291,23,68,35,67,153,138,222,808,301,214,3
2020,11,20,"4,354",964,609,572,221,48,101,61,100,158,170,237,688,254,169,2
2020,11,30,"5,553","1,027",875,"1,135",426,35,82,61,70,170,206,330,684,234,212,6
2020,11,40,"8,332","1,479","1,197","1,438",544,63,132,96,119,305,305,447,"1,314",544,342,7
2020,11,50,"8,717","1,432",912,821,584,107,271,232,301,526,486,546,"1,456",579,447,17
2020,11,60,"8,524",993,627,701,633,187,371,341,409,793,551,609,"1,198",559,518,34
2020,11,70,"6,107",649,439,476,427,132,335,298,351,631,387,420,794,368,361,39
2020,11,80,"3,959",435,295,338,288,135,267,249,292,310,224,196,434,223,253,20
2020,11,90,667,76,55,54,59,16,32,39,58,59,32,26,51,52,58,0
2020,11,100,22,7,1,1,1,0,2,1,1,2,0,4,1,0,1,0
2020,12,총,"55,095","8,675","6,435","7,423","3,801",759,"1,683","1,434","1,804","3,161","2,584","3,283","7,922","3,296","2,706",129
2020,12,0,"3,899",670,668,891,339,14,34,27,34,75,117,222,494,178,135,1
2020,12,10,"4,981",958,713,"1,010",283,22,63,36,66,151,133,220,809,300,214,3
2020,12,20,"4,346",960,623,572,222,47,99,57,96,158,164,238,683,261,164,2
2020,12,30,"5,502","1,017",881,"1,111",423,34,78,63,71,170,202,334,674,226,212,6
2020,12,40,"8,298","1,458","1,195","1,448",541,61,134,93,119,300,297,444,"1,317",543,341,7
2020,12,50,"8,716","1,436",924,829,573,109,271,225,301,519,484,552,"1,454",580,442,17
2020,12,60,"8,569","1,007",637,701,640,189,371,346,410,782,546,618,"1,208",566,515,33
2020,12,70,"6,098",647,441,471,430,132,330,295,349,633,384,428,789,364,366,39
2020,12,80,"3,985",439,294,332,288,134,266,252,299,314,225,195,442,226,258,21
2020,12,90,678,75,58,57,61,17,35,39,58,57,32,28,51,52,58,0
2020,12,100,23,8,1,1,1,0,2,1,1,2,0,4,1,0,1,0
2021,1,총,"55,020","8,610","6,479","7,444","3,789",756,"1,685","1,431","1,797","3,140","2,576","3,283","7,907","3,293","2,702",128
2021,1,0,"3,870",645,675,903,340,14,34,27,34,74,114,220,484,173,132,1
2021,1,10,"4,977",957,712,"1,017",285,20,64,35,67,148,132,224,810,292,212,2
2021,1,20,"4,339",942,633,583,221,48,97,56,91,154,165,236,680,271,159,3
2021,1,30,"5,442",994,894,"1,096",416,35,80,62,72,167,198,323,665,221,213,6
2021,1,40,"8,302","1,459","1,201","1,463",537,60,132,90,119,294,294,450,"1,326",532,339,6
2021,1,50,"8,671","1,429",927,822,572,109,271,226,292,507,482,551,"1,439",585,442,17
2021,1,60,"8,629","1,015",643,704,635,189,374,348,411,790,550,622,"1,219",575,521,33
2021,1,70,"6,088",645,438,470,431,130,331,295,351,630,384,428,790,365,363,37
2021,1,80,"3,985",438,294,327,291,135,262,252,299,316,226,197,441,226,258,23
2021,1,90,693,77,61,58,60,16,38,39,60,58,31,28,52,53,62,0
2021,1,100,24,9,1,1,1,0,2,1,1,2,0,4,1,0,1,0
2021,2,총,"54,929","8,564","6,544","7,427","3,772",756,"1,673","1,422","1,794","3,125","2,573","3,269","7,876","3,306","2,698",130
2021,2,0,"3,864",644,686,899,332,14,33,27,35,74,111,211,482,178,137,1
2021,2,10,"4,960",942,714,"1,022",286,20,63,32,68,143,133,226,802,297,210,2
2021,2,20,"4,253",922,633,568,214,47,94,50,87,150,166,228,670,269,152,3
2021,2,30,"5,398",987,907,"1,083",407,35,74,59,69,165,198,316,654,226,212,6
2021,2,40,"8,286","1,444","1,213","1,465",540,59,132,92,121,290,288,455,"1,312",534,335,6
2021,2,50,"8,658","1,429",942,818,570,109,271,224,290,500,483,552,"1,434",579,439,18
2021,2,60,"8,686","1,023",653,710,638,189,374,348,407,795,553,623,"1,237",578,525,33
2021,2,70,"6,095",643,441,469,433,130,328,300,355,634,381,426,788,368,361,38
2021,2,80,"4,008",443,291,332,292,137,265,249,301,315,228,198,444,226,264,23
2021,2,90,696,78,63,60,59,16,35,40,60,57,32,31,52,51,62,0
2021,2,100,25,9,1,1,1,0,4,1,1,2,0,3,1,0,1,0
2021,3,총,"54,716","8,473","6,576","7,423","3,758",752,"1,666","1,422","1,769","3,104","2,553","3,278","7,830","3,291","2,692",129
2021,3,0,"3,839",637,690,891,330,14,32,27,36,78,108,213,468,177,137,1
2021,3,10,"4,920",923,712,"1,021",289,19,65,30,67,139,134,227,801,284,207,2
2021,3,20,"4,251",918,641,569,216,48,90,51,82,149,168,223,666,277,150,3
2021,3,30,"5,341",975,914,"1,071",394,34,75,58,68,163,186,317,648,220,212,6
2021,3,40,"8,234","1,429","1,212","1,481",542,58,133,91,115,287,285,451,"1,286",535,324,5
2021,3,50,"8,624","1,411",948,815,555,107,268,227,289,489,483,554,"1,432",581,447,18
2021,3,60,"8,683","1,021",660,708,650,186,368,347,397,795,553,627,"1,236",577,524,34
2021,3,70,"6,091",640,441,476,432,131,331,297,348,627,379,431,792,368,361,37
2021,3,80,"4,021",442,294,330,287,139,265,254,305,319,227,202,443,223,268,23
2021,3,90,694,73,63,60,62,16,35,39,61,57,30,31,57,49,61,0
2021,3,100,18,4,1,1,1,0,4,1,1,1,0,2,1,0,1,0
2021,4,총,"54,723","8,476","6,604","7,414","3,769",752,"1,670","1,423","1,765","3,098","2,550","3,264","7,832","3,290","2,688",128
2021,4,0,"3,832",638,694,890,330,13,32,27,37,77,105,215,464,173,136,1
2021,4,10,"4,913",920,720,"1,012",288,20,68,29,63,136,137,224,804,284,206,2
2021,4,20,"4,263",921,637,581,217,47,91,55,82,147,166,219,670,277,150,3
2021,4,30,"5,306",964,916,"1,063",393,34,76,59,67,161,182,313,641,220,211,6
2021,4,40,"8,242","1,425","1,221","1,481",541,59,134,89,112,283,291,455,"1,289",533,324,5
2021,4,50,"8,575","1,413",951,817,559,106,259,221,284,490,479,541,"1,423",576,440,16
2021,4,60,"8,722","1,029",663,703,657,185,373,347,406,797,547,624,"1,247",582,529,33
2021,4,70,"6,101",642,441,478,432,133,330,295,344,625,384,437,789,371,361,39
2021,4,80,"4,040",443,295,327,288,139,266,261,309,323,227,203,445,223,269,22
2021,4,90,711,77,65,61,63,16,37,39,60,58,32,31,59,51,61,1
2021,4,100,18,4,1,1,1,0,4,1,1,1,0,2,1,0,1,0
2021,5,총,"54,675","8,451","6,659","7,399","3,763",754,"1,663","1,421","1,767","3,068","2,545","3,270","7,820","3,284","2,684",127
2021,5,0,"3,806",628,700,883,327,13,32,28,34,75,102,214,466,167,136,1
2021,5,10,"4,912",912,727,"1,017",289,21,66,28,65,133,136,225,801,288,202,2
2021,5,20,"4,247",908,645,570,214,47,93,53,82,148,163,223,670,275,153,3
2021,5,30,"5,292",969,914,"1,055",390,35,76,60,68,157,183,312,639,218,210,6
2021,5,40,"8,216","1,418","1,228","1,486",538,59,135,88,111,276,287,453,"1,282",531,319,5
2021,5,50,"8,559","1,413",967,815,554,104,250,219,280,480,481,546,"1,416",578,441,15
2021,5,60,"8,759","1,036",672,711,664,183,377,348,412,793,548,622,"1,244",581,535,33
2021,5,70,"6,118",644,435,479,435,136,328,296,347,624,388,441,792,373,360,40
2021,5,80,"4,038",443,302,321,290,141,267,260,306,323,226,200,449,223,265,22
2021,5,90,712,76,68,61,61,15,37,40,61,58,31,32,60,50,62,0
2021,5,100,16,4,1,1,1,0,2,1,1,1,0,2,1,0,1,0
2021,6,총,"54,685","8,453","6,684","7,408","3,757",759,"1,666","1,410","1,764","3,047","2,527","3,256","7,917","3,257","2,654",126
2021,6,0,"3,804",634,708,879,327,13,32,28,33,75,102,210,471,160,131,1
2021,6,10,"4,906",906,727,"1,019",294,22,65,28,66,136,138,226,803,279,195,2
2021,6,20,"4,253",902,647,571,214,46,92,53,79,145,161,221,681,281,157,3
2021,6,30,"5,267",952,919,"1,059",387,36,75,60,67,154,173,305,654,216,204,6
2021,6,40,"8,204","1,417","1,227","1,481",535,57,135,86,115,272,285,452,"1,299",525,313,5
2021,6,50,"8,516","1,413",964,808,550,103,253,213,278,466,477,546,"1,430",569,433,13
2021,6,60,"8,817","1,054",682,725,663,187,376,347,410,794,544,618,"1,277",578,527,35
2021,6,70,"6,122",644,435,481,438,138,326,297,346,620,389,442,788,374,365,39
2021,6,80,"4,067",448,307,323,288,140,270,258,309,327,228,203,456,225,263,22
2021,6,90,712,79,67,61,60,17,40,39,60,57,30,30,57,50,65,0
2021,6,100,17,4,1,1,1,0,2,1,1,1,0,3,1,0,1,0
2021,7,총,"54,641","8,449","6,709","7,391","3,736",757,"1,656","1,406","1,754","3,017","2,510","3,260","7,981","3,253","2,635",127
2021,7,0,"3,785",630,702,868,324,13,32,30,32,74,101,211,475,157,135,1
2021,7,10,"4,910",908,733,"1,024",291,22,66,28,65,132,138,226,808,277,190,2
2021,7,20,"4,224",900,645,563,211,44,87,47,78,145,159,221,689,276,156,3
2021,7,30,"5,247",952,922,"1,051",378,34,77,59,65,146,172,306,656,221,202,6
2021,7,40,"8,196","1,416","1,231","1,480",537,57,129,85,116,263,282,453,"1,315",517,310,5
2021,7,50,"8,519","1,410",975,814,546,103,253,215,272,460,473,546,"1,443",569,426,14
2021,7,60,"8,822","1,057",687,728,666,189,371,339,409,792,541,616,"1,287",579,527,34
2021,7,70,"6,119",642,435,478,431,137,324,302,344,620,389,448,784,381,364,40
2021,7,80,"4,075",449,303,323,290,139,273,260,309,327,225,202,467,227,260,21
2021,7,90,725,81,74,61,61,19,42,40,63,57,30,28,56,49,63,1
2021,7,100,19,4,2,1,1,0,2,1,1,1,0,3,1,0,2,0
2021,8,총,"54,630","8,435","6,713","7,396","3,732",762,"1,648","1,403","1,747","3,020","2,494","3,258","8,011","3,259","2,624",128
2021,8,0,"3,762",623,696,864,322,15,32,31,32,73,99,212,473,153,135,2
2021,8,10,"4,906",896,736,"1,034",292,21,66,28,66,131,136,224,806,280,188,2
2021,8,20,"4,226",908,640,558,214,44,86,47,77,147,153,219,695,280,155,3
2021,8,30,"5,212",937,925,"1,042",379,33,73,58,63,144,171,306,660,217,198,6
2021,8,40,"8,203","1,411","1,234","1,478",536,57,129,87,119,261,284,455,"1,320",519,308,5
2021,8,50,"8,518","1,418",981,830,541,103,247,209,267,461,458,545,"1,452",568,424,14
2021,8,60,"8,842","1,060",691,724,662,191,377,335,409,794,547,618,"1,292",582,526,34
2021,8,70,"6,114",641,429,480,433,139,322,305,344,620,385,445,785,382,364,40
2021,8,80,"4,104",455,305,324,290,140,271,262,308,332,231,204,471,230,260,21
2021,8,90,724,82,74,61,62,19,42,40,61,56,30,27,56,48,65,1
2021,8,100,19,4,2,1,1,0,3,1,1,1,0,3,1,0,1,0
2021,9,총,"54,556","8,455","6,742","7,352","3,722",756,"1,645","1,388","1,750","3,008","2,476","3,257","8,018","3,242","2,618",127
2021,9,0,"3,747",623,695,857,319,15,31,32,31,74,99,211,478,148,133,1
2021,9,10,"4,903",891,744,"1,033",296,19,66,25,69,129,135,224,807,277,186,2
2021,9,20,"4,177",916,642,544,209,44,83,45,71,145,152,214,683,277,149,3
2021,9,30,"5,170",938,924,"1,022",373,33,74,54,63,142,165,305,654,219,198,6
2021,9,40,"8,192","1,410","1,240","1,482",534,54,124,86,121,263,277,453,"1,326",515,302,5
2021,9,50,"8,521","1,429",989,829,543,103,248,207,264,455,453,548,"1,454",560,426,13
2021,9,60,"8,861","1,057",691,718,666,187,377,335,409,792,550,625,"1,303",583,533,35
2021,9,70,"6,126",647,431,483,427,139,325,300,348,622,384,447,785,386,362,40
2021,9,80,"4,111",457,310,321,291,142,270,265,312,329,230,202,471,228,262,21
2021,9,90,729,83,74,62,63,20,44,38,61,56,31,25,56,49,66,1
2021,9,100,19,4,2,1,1,0,3,1,1,1,0,3,1,0,1,0
2021,10,총,"54,577","8,463","6,778","7,338","3,701",753,"1,642","1,385","1,755","3,003","2,467","3,257","8,048","3,241","2,619",127
2021,10,0,"3,731",622,689,850,314,15,31,31,33,77,98,213,479,148,130,1
2021,10,10,"4,903",892,747,"1,030",295,19,68,26,69,129,132,225,806,276,187,2
2021,10,20,"4,174",912,654,543,205,43,84,43,67,145,146,212,692,278,147,3
2021,10,30,"5,151",936,930,"1,012",365,32,71,51,66,142,167,300,656,218,199,6
2021,10,40,"8,190","1,417","1,243","1,485",533,52,123,84,121,256,276,460,"1,324",515,296,5
2021,10,50,"8,525","1,429",995,833,540,104,249,209,262,456,451,541,"1,463",555,425,13
2021,10,60,"8,893","1,064",698,717,664,186,376,336,407,795,547,628,"1,311",588,541,35
2021,10,70,"6,123",647,432,483,427,140,324,299,345,619,384,444,789,387,364,39
2021,10,80,"4,131",455,311,323,293,142,269,267,321,330,234,208,467,228,261,22
2021,10,90,736,84,77,61,63,20,44,38,63,53,32,24,60,48,68,1
2021,10,100,20,5,2,1,2,0,3,1,1,1,0,2,1,0,1,0
2021,11,총,"54,546","8,461","6,794","7,355","3,688",752,"1,634","1,382","1,760","2,995","2,462","3,243","8,054","3,228","2,612",126
2021,11,0,"3,721",615,692,855,312,15,29,30,31,74,99,215,476,147,130,1
2021,11,10,"4,903",894,750,"1,032",294,19,68,26,69,129,131,220,804,279,186,2
2021,11,20,"4,149",913,653,536,201,42,84,43,69,144,144,204,701,272,140,3
2021,11,30,"5,095",927,922,"1,004",358,31,67,50,66,139,163,301,651,213,197,6
2021,11,40,"8,211","1,420","1,254","1,496",536,54,126,86,121,252,274,458,"1,317",516,296,5
2021,11,50,"8,548","1,433","1,004",842,540,101,246,208,261,457,454,538,"1,468",555,427,14
2021,11,60,"8,900","1,065",700,718,663,185,378,336,408,796,549,625,"1,315",587,540,35
2021,11,70,"6,120",649,427,489,428,138,321,299,345,619,382,444,795,386,361,37
2021,11,80,"4,142",457,313,322,291,147,267,266,326,330,233,213,464,224,267,22
2021,11,90,740,83,77,61,64,20,45,37,63,54,33,23,63,49,67,1
2021,11,100,17,5,2,0,1,0,3,1,1,1,0,2,0,0,1,0
2021,12,총,"54,520","8,457","6,835","7,333","3,694",750,"1,631","1,380","1,765","2,993","2,469","3,227","8,037","3,228","2,597",124
2021,12,0,"3,680",612,697,841,311,15,28,29,32,75,103,205,462,145,124,1
2021,12,10,"4,908",899,752,"1,035",293,19,67,27,69,130,130,224,803,272,186,2
2021,12,20,"4,133",894,655,537,196,44,89,42,70,141,144,200,702,276,140,3
2021,12,30,"5,081",927,933,983,364,30,64,52,67,141,165,294,639,219,197,6
2021,12,40,"8,215","1,423","1,262","1,501",528,54,128,84,122,250,274,459,"1,323",510,292,5
2021,12,50,"8,565","1,437","1,005",854,546,101,243,208,264,450,455,539,"1,462",560,427,14
2021,12,60,"8,900","1,069",712,711,666,182,378,334,410,800,547,620,"1,314",585,539,33
2021,12,70,"6,107",650,425,484,428,136,320,290,341,617,380,443,805,388,362,38
2021,12,80,"4,165",459,313,325,296,151,267,274,327,335,237,214,461,223,263,20
2021,12,90,750,82,79,62,65,18,45,39,62,53,34,26,66,50,67,2
2021,12,100,16,5,2,0,1,0,2,1,1,1,0,3,0,0,0,0
