년도,월,나이,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020,6,90,92,17,10,7,5,5,6,10,7,4,5,4,3,9
2020,6,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,7,총,"13,154","4,688",853,577,496,752,777,703,938,354,"1,380",523,551,562
2020,7,0,570,373,18,15,12,17,16,16,18,13,41,16,8,7
2020,7,10,845,479,36,24,17,33,30,21,34,18,90,28,20,15
2020,7,20,"1,165",525,57,44,45,85,51,43,72,19,137,24,33,30
2020,7,30,957,456,56,39,30,33,65,34,48,15,85,39,22,35
2020,7,40,"1,710",817,89,57,45,77,84,73,98,37,185,58,39,51
2020,7,50,"2,545",844,182,111,99,155,160,156,174,65,279,78,113,129
2020,7,60,"2,758",659,232,149,122,178,207,178,249,100,263,145,142,134
2020,7,70,"1,651",381,111,81,80,99,103,111,167,51,211,74,96,86
2020,7,80,861,137,62,50,41,70,55,61,70,34,84,57,75,65
2020,7,90,90,17,10,7,5,5,6,10,7,2,5,4,3,9
2020,7,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,8,총,"13,153","4,681",853,582,500,753,770,711,939,354,"1,370",524,551,565
2020,8,0,574,375,18,15,11,16,15,18,21,13,41,16,8,7
2020,8,10,832,472,35,23,18,33,30,21,32,17,88,28,20,15
2020,8,20,"1,158",523,58,44,45,83,48,45,72,19,133,23,34,31
2020,8,30,954,457,54,38,32,32,64,34,49,16,85,38,22,33
2020,8,40,"1,700",809,89,56,46,77,83,75,100,37,183,58,37,50
2020,8,50,"2,545",842,180,114,98,154,161,158,169,65,282,79,112,131
2020,8,60,"2,777",667,233,152,123,184,206,178,251,100,259,144,144,136
2020,8,70,"1,649",379,113,83,80,100,103,110,165,50,210,77,94,85
2020,8,80,873,140,63,50,42,70,54,62,72,35,84,57,77,67
2020,8,90,89,17,10,7,5,4,6,10,7,2,5,4,3,9
2020,8,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,9,총,"13,129","4,671",852,579,494,757,772,705,941,357,"1,371",520,545,565
2020,9,0,569,373,18,12,11,16,16,18,21,13,41,16,7,7
2020,9,10,829,474,33,23,18,31,29,20,32,17,92,25,20,15
2020,9,20,"1,146",517,61,44,43,85,45,42,73,19,130,24,32,31
2020,9,30,931,450,53,35,30,32,64,32,49,17,86,36,17,30
2020,9,40,"1,691",797,88,55,44,78,83,76,100,37,182,60,39,52
2020,9,50,"2,558",851,177,115,100,155,162,159,172,65,279,78,113,132
2020,9,60,"2,791",673,236,153,123,184,211,174,252,102,262,141,143,137
2020,9,70,"1,651",376,114,84,80,102,100,112,164,50,211,79,94,85
2020,9,80,871,143,62,51,40,70,56,62,70,35,83,56,77,66
2020,9,90,90,17,10,7,5,4,6,10,7,2,5,5,3,9
2020,9,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,10,총,"13,157","4,698",852,580,494,757,771,705,945,358,"1,367",522,544,564
2020,10,0,570,372,18,13,12,16,16,19,21,13,41,16,6,7
2020,10,10,831,483,33,22,18,31,28,20,31,17,90,25,19,14
2020,10,20,"1,153",521,62,45,42,86,45,42,75,18,128,26,33,30
2020,10,30,930,450,53,36,28,31,64,33,49,18,82,37,17,32
2020,10,40,"1,677",791,88,54,45,80,80,75,97,37,183,59,36,52
2020,10,50,"2,577",862,182,115,101,153,165,158,175,64,282,75,116,129
2020,10,60,"2,802",678,235,154,124,185,211,176,252,103,261,142,144,137
2020,10,70,"1,653",378,112,84,80,101,101,112,164,52,210,80,93,86
2020,10,80,871,146,59,49,39,70,56,60,73,35,85,57,76,66
2020,10,90,91,17,10,8,5,4,5,10,7,1,5,5,4,10
2020,10,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,11,총,"13,146","4,694",849,580,494,750,769,701,949,358,"1,371",529,541,561
2020,11,0,563,367,18,12,10,15,17,19,23,13,40,16,6,7
2020,11,10,831,484,33,22,20,28,29,18,31,18,90,25,19,14
2020,11,20,"1,153",526,62,45,42,86,43,45,74,18,126,25,32,29
2020,11,30,924,446,53,36,28,29,64,33,48,19,81,38,17,32
2020,11,40,"1,665",793,88,53,44,78,77,73,98,37,182,59,33,50
2020,11,50,"2,568",856,179,116,103,156,167,154,175,60,282,78,118,124
2020,11,60,"2,818",682,233,154,124,184,209,178,254,104,265,145,142,144
2020,11,70,"1,659",377,116,86,81,100,99,109,165,53,215,79,94,85
2020,11,80,875,147,59,47,38,70,59,62,73,35,85,59,76,65
2020,11,90,88,16,8,9,4,4,5,10,7,1,5,5,4,10
2020,11,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020,12,총,"13,140","4,692",852,592,499,756,762,700,947,357,"1,360",525,541,557
2020,12,0,548,359,18,14,8,14,15,18,22,12,40,16,5,7
2020,12,10,819,482,31,22,19,27,27,15,30,19,89,24,20,14
2020,12,20,"1,167",529,62,50,45,90,45,49,75,18,121,25,31,27
2020,12,30,925,448,53,37,29,29,61,32,46,19,85,36,18,32
2020,12,40,"1,647",783,88,53,45,77,77,68,97,38,178,58,34,51
2020,12,50,"2,577",865,178,116,104,158,165,154,176,59,284,79,119,120
2020,12,60,"2,834",687,237,158,124,189,208,182,256,103,258,143,142,147
2020,12,70,"1,647",377,115,84,82,99,98,107,161,52,215,80,93,84
2020,12,80,884,146,62,49,39,69,61,63,76,36,85,59,75,64
2020,12,90,90,16,8,9,4,4,5,12,7,1,5,5,4,10
2020,12,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2021,1,총,"13,146","4,724",847,589,498,751,763,700,943,363,"1,349",520,540,559
2021,1,0,543,355,20,12,8,14,15,18,22,12,40,16,4,7
2021,1,10,803,485,29,19,19,26,26,15,30,19,81,21,19,14
2021,1,20,"1,155",528,57,51,45,88,45,46,73,17,123,26,31,25
2021,1,30,921,447,51,38,27,29,62,31,43,22,85,35,18,33
2021,1,40,"1,651",796,88,51,45,75,78,69,95,38,174,59,33,50
2021,1,50,"2,567",865,178,117,107,158,164,152,172,57,281,77,119,120
2021,1,60,"2,875",705,238,159,122,189,208,187,264,108,263,142,140,150
2021,1,70,"1,642",379,114,84,83,96,99,107,159,53,211,80,92,85
2021,1,80,893,148,63,49,39,72,61,63,77,35,85,59,78,64
2021,1,90,94,16,9,9,3,4,5,12,7,2,6,5,6,10
2021,1,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2021,2,총,"13,141","4,711",841,590,500,755,764,706,942,362,"1,349",521,540,560
2021,2,0,541,352,18,14,9,14,16,19,21,12,39,16,4,7
2021,2,10,798,486,26,18,17,26,24,17,30,18,82,21,19,14
2021,2,20,"1,140",524,55,50,46,85,46,46,70,18,120,27,30,23
2021,2,30,918,445,52,37,27,29,63,31,43,21,86,36,17,31
2021,2,40,"1,649",786,87,53,46,81,77,70,94,39,174,58,34,50
2021,2,50,"2,560",871,176,114,108,157,162,155,171,56,280,76,117,117
2021,2,60,"2,894",705,240,161,122,191,206,185,269,107,266,143,144,155
2021,2,70,"1,640",376,114,86,81,92,102,106,158,55,211,80,90,89
2021,2,80,906,151,63,48,40,76,63,66,79,35,85,59,79,62
2021,2,90,93,15,10,9,4,4,5,11,6,1,6,5,6,11
2021,2,100,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2021,3,총,"13,111","4,719",836,586,493,754,760,704,941,355,"1,354",516,536,557
2021,3,0,536,352,18,13,9,13,16,19,21,11,37,16,4,7
2021,3,10,796,484,27,17,16,27,23,18,30,19,82,20,19,14
2021,3,20,"1,133",525,55,51,44,83,46,44,65,17,122,29,29,23
2021,3,30,908,444,48,37,28,27,61,32,42,21,90,33,15,30
2021,3,40,"1,632",783,84,52,44,83,75,71,93,36,169,59,34,49
2021,3,50,"2,546",879,173,113,106,153,161,153,168,54,283,73,116,114
2021,3,60,"2,916",706,247,160,124,194,204,183,276,107,270,143,145,157
2021,3,70,"1,644",377,113,86,78,93,106,106,160,54,211,80,90,90
2021,3,80,903,152,61,49,40,76,62,67,80,35,85,57,78,61
2021,3,90,96,17,10,8,4,5,6,11,6,1,5,6,6,11
2021,3,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,4,총,"13,069","4,711",844,579,492,744,760,692,938,356,"1,351",520,526,556
2021,4,0,529,348,17,12,10,11,16,19,21,11,36,16,5,7
2021,4,10,795,487,27,16,16,25,24,18,29,19,81,20,19,14
2021,4,20,"1,127",519,55,50,44,80,46,44,67,17,123,30,28,24
2021,4,30,908,450,48,37,27,28,61,32,42,20,86,33,14,30
2021,4,40,"1,616",778,84,49,43,82,74,68,92,37,166,60,34,49
2021,4,50,"2,527",878,176,110,106,149,160,147,164,53,284,73,115,112
2021,4,60,"2,929",708,249,161,127,196,205,184,275,110,275,143,141,155
2021,4,70,"1,640",374,117,87,77,94,106,102,161,52,209,82,87,92
2021,4,80,902,152,61,50,38,74,62,66,82,36,86,57,77,61
2021,4,90,95,17,10,7,4,5,6,12,5,1,5,6,6,11
2021,4,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,5,총,"13,089","4,734",849,578,490,745,764,685,934,357,"1,349",518,529,557
2021,5,0,532,352,17,12,10,11,16,19,20,10,36,17,5,7
2021,5,10,791,484,27,17,16,27,24,18,28,19,79,20,18,14
2021,5,20,"1,114",517,54,49,43,76,47,42,64,17,123,29,30,23
2021,5,30,919,460,51,38,26,28,58,32,43,20,87,33,13,30
2021,5,40,"1,599",775,84,48,41,81,73,67,89,36,164,57,34,50
2021,5,50,"2,517",890,174,110,106,152,156,139,159,55,282,75,110,109
2021,5,60,"2,983",716,252,160,129,197,215,193,284,110,278,143,147,159
2021,5,70,"1,635",366,118,88,77,94,107,100,159,52,210,84,88,92
2021,5,80,904,156,62,50,38,73,62,64,83,37,86,54,78,61
2021,5,90,94,18,10,6,4,6,6,11,5,1,4,6,6,11
2021,5,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,6,총,"13,035","4,708",849,579,489,745,764,683,924,355,"1,342",514,527,556
2021,6,0,537,351,17,13,11,13,17,19,20,10,37,17,5,7
2021,6,10,773,475,25,16,15,27,25,15,27,19,78,20,18,13
2021,6,20,"1,104",516,55,50,43,74,47,42,64,17,121,25,27,23
2021,6,30,909,454,52,36,25,32,57,33,37,20,85,36,13,29
2021,6,40,"1,580",771,82,49,41,78,73,67,86,35,161,54,33,50
2021,6,50,"2,511",884,177,110,105,154,156,137,162,57,279,75,108,107
2021,6,60,"2,996",720,252,160,128,198,215,194,283,107,282,143,150,164
2021,6,70,"1,628",364,116,88,79,92,106,101,157,54,209,84,88,90
2021,6,80,902,155,63,51,38,71,62,64,83,35,86,54,79,61
2021,6,90,94,18,10,6,4,6,6,11,5,1,4,6,6,11
2021,6,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,7,총,"13,055","4,719",847,581,485,749,765,684,922,353,"1,347",514,527,562
2021,7,0,537,353,17,12,11,14,16,19,19,10,38,17,5,6
2021,7,10,776,474,25,18,15,27,25,14,28,19,79,20,18,14
2021,7,20,"1,107",525,52,46,42,74,44,45,63,17,120,27,28,24
2021,7,30,897,442,53,39,25,32,58,33,35,21,83,36,12,28
2021,7,40,"1,568",768,81,50,40,75,73,66,84,32,162,54,32,51
2021,7,50,"2,500",884,176,106,103,157,158,139,161,55,276,72,105,108
2021,7,60,"3,042",734,253,165,127,200,219,193,287,109,291,144,153,167
2021,7,70,"1,620",367,115,88,79,89,102,102,156,55,206,84,87,90
2021,7,80,905,154,65,50,39,75,63,59,84,34,86,53,81,62
2021,7,90,102,18,10,7,4,6,7,14,5,1,6,7,6,11
2021,7,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,8,총,"13,039","4,713",844,577,488,751,757,685,924,353,"1,352",511,526,558
2021,8,0,532,347,17,11,12,15,16,20,20,9,36,18,5,6
2021,8,10,774,468,24,16,16,27,25,14,30,20,82,20,18,14
2021,8,20,"1,097",524,51,47,40,73,43,43,62,17,122,28,25,22
2021,8,30,889,441,51,38,25,32,58,33,33,21,80,35,14,28
2021,8,40,"1,560",764,79,49,39,73,72,67,83,32,166,53,32,51
2021,8,50,"2,504",889,177,107,106,157,155,139,163,57,275,71,103,105
2021,8,60,"3,062",743,256,164,128,205,218,193,286,108,294,145,155,167
2021,8,70,"1,613",365,114,87,77,90,100,103,160,54,203,83,86,91
2021,8,80,906,154,65,51,41,74,63,59,82,34,88,52,82,61
2021,8,90,101,18,10,7,4,5,7,14,5,1,6,6,6,12
2021,8,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,9,총,"13,001","4,705",840,570,488,746,754,682,922,353,"1,343",518,523,557
2021,9,0,533,350,15,9,13,15,17,20,20,9,36,18,5,6
2021,9,10,776,465,24,15,17,27,25,13,30,20,81,27,18,14
2021,9,20,"1,069",516,50,48,40,71,40,45,61,15,116,23,23,21
2021,9,30,878,438,51,38,23,30,56,30,30,22,80,37,15,28
2021,9,40,"1,558",764,79,48,40,71,76,66,83,31,163,53,32,52
2021,9,50,"2,505",894,177,105,105,156,152,141,165,57,276,72,102,103
2021,9,60,"3,067",742,257,163,129,205,219,193,286,110,292,146,156,169
2021,9,70,"1,610",366,114,87,77,93,100,101,159,54,203,83,83,90
2021,9,80,903,152,62,50,40,74,62,59,83,33,90,53,83,62
2021,9,90,101,18,11,7,4,4,7,14,5,2,6,6,6,11
2021,9,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,10,총,"12,992","4,692",838,570,491,747,751,692,920,351,"1,342",519,522,557
2021,10,0,529,351,13,9,13,15,16,19,19,9,35,19,5,6
2021,10,10,776,467,24,15,17,27,24,13,30,20,80,28,18,13
2021,10,20,"1,063",513,50,47,38,67,42,46,61,15,116,23,24,21
2021,10,30,873,435,52,38,24,30,54,29,30,22,80,36,16,27
2021,10,40,"1,543",760,77,47,40,69,76,68,82,29,161,51,30,53
2021,10,50,"2,509",891,179,108,103,158,154,142,165,57,277,73,98,104
2021,10,60,"3,087",742,258,163,134,210,215,196,288,109,294,148,160,170
2021,10,70,"1,611",366,113,86,76,94,101,104,156,55,204,82,84,90
2021,10,80,899,151,61,50,41,72,62,59,83,33,90,54,82,61
2021,10,90,101,16,11,7,5,5,7,16,6,2,5,5,5,11
2021,10,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,11,총,"12,979","4,690",836,570,492,746,752,694,925,349,"1,333",523,519,550
2021,11,0,521,347,13,7,13,16,17,17,17,9,35,19,5,6
2021,11,10,766,460,24,16,17,26,24,14,32,18,78,28,16,13
2021,11,20,"1,065",522,49,47,38,66,42,48,58,16,114,24,24,17
2021,11,30,875,428,53,39,25,32,53,29,35,22,81,37,14,27
2021,11,40,"1,533",757,76,46,41,68,78,67,82,29,157,48,30,54
2021,11,50,"2,510",894,179,109,101,156,153,146,165,56,275,76,98,102
2021,11,60,"3,084",741,256,162,134,210,214,196,286,110,293,149,163,170
2021,11,70,"1,620",373,116,87,75,96,101,103,158,55,204,84,81,87
2021,11,80,901,151,60,50,43,70,63,58,86,32,91,53,82,62
2021,11,90,103,17,10,7,5,6,7,16,6,2,5,5,6,11
2021,11,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,12,총,"12,966","4,681",833,573,496,747,758,691,919,347,"1,334",518,521,548
2021,12,0,515,347,13,6,13,13,17,17,17,9,33,19,5,6
2021,12,10,758,453,26,16,18,26,24,14,32,17,77,26,16,13
2021,12,20,"1,060",519,47,46,39,65,44,48,54,16,116,26,25,15
2021,12,30,874,431,50,41,26,34,54,28,34,21,78,36,14,27
2021,12,40,"1,522",750,76,47,41,67,78,66,80,31,155,47,30,54
2021,12,50,"2,505",892,181,109,102,156,151,145,164,55,277,76,97,100
2021,12,60,"3,102",745,256,164,134,211,219,196,289,109,294,145,165,175
2021,12,70,"1,611",371,113,86,75,97,101,99,157,56,206,85,80,85
2021,12,80,915,155,61,51,43,72,63,63,87,30,93,53,83,61
2021,12,90,103,18,10,7,5,6,7,15,5,3,5,5,6,11
2021,12,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1
