년도,월,나이,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020,6,70,"5,529","1,676",871,565,326,285,336,241,235,326,366,302
2020,6,80,"4,108",998,553,417,280,278,319,231,205,256,311,260
2020,6,90,621,158,75,65,46,37,36,50,36,38,46,34
2020,6,100,42,9,15,4,0,2,1,1,0,5,3,2
2020,7,총,"50,291","19,377","4,365","14,220","1,727","1,694","1,534","1,150","1,090","1,653","1,764","1,717"
2020,7,0,"3,790","1,250",131,"2,107",46,58,39,21,15,44,34,45
2020,7,10,"4,739","2,178",222,"1,790",61,106,59,36,38,82,76,91
2020,7,20,"4,344","2,181",248,"1,344",89,79,66,43,40,84,76,94
2020,7,30,"5,153","1,787",198,"2,635",85,82,61,32,35,61,80,97
2020,7,40,"6,960","3,154",349,"2,661",122,159,85,59,45,98,91,137
2020,7,50,"7,619","3,331",736,"1,589",297,273,209,167,179,286,275,277
2020,7,60,"7,333","2,638",961,"1,041",370,329,319,267,262,369,402,375
2020,7,70,"5,553","1,682",875,567,330,290,338,243,233,330,362,303
2020,7,80,"4,132","1,011",553,417,281,280,319,231,205,255,318,262
2020,7,90,626,156,77,65,46,36,38,50,38,39,47,34
2020,7,100,42,9,15,4,0,2,1,1,0,5,3,2
2020,8,총,"50,269","19,357","4,352","14,245","1,716","1,709","1,530","1,146","1,087","1,648","1,759","1,720"
2020,8,0,"3,782","1,254",133,"2,103",44,56,39,20,14,43,32,44
2020,8,10,"4,737","2,162",216,"1,804",61,112,58,37,38,82,75,92
2020,8,20,"4,323","2,171",247,"1,345",90,78,62,41,39,83,77,90
2020,8,30,"5,122","1,767",200,"2,627",82,86,59,32,34,60,77,98
2020,8,40,"6,977","3,155",348,"2,676",121,159,84,60,45,97,94,138
2020,8,50,"7,607","3,323",729,"1,595",294,275,210,168,178,281,269,285
2020,8,60,"7,356","2,656",956,"1,040",370,333,323,266,264,372,403,373
2020,8,70,"5,558","1,683",879,570,326,289,340,243,234,329,362,303
2020,8,80,"4,129","1,019",552,415,281,281,316,227,203,255,319,261
2020,8,90,637,158,77,67,47,38,38,51,38,41,48,34
2020,8,100,41,9,15,3,0,2,1,1,0,5,3,2
2020,9,총,"50,220","19,313","4,340","14,262","1,722","1,708","1,523","1,142","1,083","1,651","1,764","1,712"
2020,9,0,"3,766","1,245",133,"2,102",44,55,38,19,14,42,33,41
2020,9,10,"4,716","2,149",215,"1,807",57,108,58,36,38,82,74,92
2020,9,20,"4,303","2,171",239,"1,338",91,77,61,40,38,84,76,88
2020,9,30,"5,104","1,751",200,"2,631",82,83,57,33,33,60,78,96
2020,9,40,"6,939","3,125",345,"2,670",125,163,83,59,43,96,95,135
2020,9,50,"7,601","3,321",723,"1,602",294,273,210,165,179,280,269,285
2020,9,60,"7,400","2,667",960,"1,051",373,336,321,270,264,377,408,373
2020,9,70,"5,561","1,692",882,566,328,289,337,241,234,329,359,304
2020,9,80,"4,146","1,023",549,425,284,283,320,227,201,255,319,260
2020,9,90,642,159,79,67,44,39,37,51,39,41,50,36
2020,9,100,42,10,15,3,0,2,1,1,0,5,3,2
2020,10,총,"50,218","19,285","4,334","14,292","1,731","1,705","1,520","1,135","1,083","1,653","1,752","1,728"
2020,10,0,"3,749","1,235",134,"2,096",47,56,35,19,13,42,30,42
2020,10,10,"4,715","2,132",213,"1,828",57,108,57,35,38,83,70,94
2020,10,20,"4,321","2,178",235,"1,347",93,75,64,41,38,81,77,92
2020,10,30,"5,079","1,728",204,"2,625",81,81,57,32,34,61,77,99
2020,10,40,"6,914","3,117",336,"2,669",125,164,83,59,43,95,90,133
2020,10,50,"7,609","3,326",724,"1,608",292,270,210,162,179,281,269,288
2020,10,60,"7,423","2,670",962,"1,057",375,339,324,266,263,380,412,375
2020,10,70,"5,576","1,702",884,569,331,290,333,242,235,330,357,303
2020,10,80,"4,136","1,026",545,424,285,281,319,227,200,251,316,262
2020,10,90,654,161,82,66,45,39,37,51,40,44,51,38
2020,10,100,42,10,15,3,0,2,1,1,0,5,3,2
2020,11,총,"50,225","19,279","4,333","14,332","1,728","1,711","1,515","1,138","1,079","1,650","1,749","1,711"
2020,11,0,"3,733","1,223",134,"2,098",44,56,36,19,13,41,30,39
2020,11,10,"4,704","2,132",211,"1,820",58,111,56,35,38,83,68,92
2020,11,20,"4,337","2,178",238,"1,363",92,74,62,42,38,81,79,90
2020,11,30,"5,046","1,720",204,"2,608",81,82,58,31,32,62,75,93
2020,11,40,"6,917","3,111",336,"2,681",124,164,83,59,42,95,91,131
2020,11,50,"7,615","3,328",718,"1,633",291,270,209,165,178,270,265,288
2020,11,60,"7,447","2,670",963,"1,071",377,340,321,266,265,389,411,374
2020,11,70,"5,598","1,720",887,571,330,293,333,242,234,329,358,301
2020,11,80,"4,134","1,026",545,420,285,282,318,227,200,249,318,264
2020,11,90,652,160,82,65,46,37,38,51,39,46,51,37
2020,11,100,42,11,15,2,0,2,1,1,0,5,3,2
2020,12,총,"50,306","19,275","4,347","14,389","1,722","1,706","1,519","1,142","1,070","1,655","1,759","1,722"
2020,12,0,"3,704","1,193",137,"2,100",42,55,35,19,12,42,29,40
2020,12,10,"4,689","2,120",219,"1,812",57,111,58,34,38,81,67,92
2020,12,20,"4,376","2,195",240,"1,383",94,74,61,45,36,82,81,85
2020,12,30,"5,033","1,704",208,"2,612",76,79,57,31,31,64,77,94
2020,12,40,"6,926","3,120",334,"2,682",126,161,85,58,41,95,91,133
2020,12,50,"7,607","3,309",714,"1,643",286,271,211,169,172,271,269,292
2020,12,60,"7,519","2,704",961,"1,093",378,340,327,263,272,390,415,376
2020,12,70,"5,584","1,726",882,570,330,288,327,245,230,330,354,302
2020,12,80,"4,170","1,036",555,421,287,288,321,225,198,249,322,268
2020,12,90,656,157,82,71,46,37,36,52,40,46,51,38
2020,12,100,42,11,15,2,0,2,1,1,0,5,3,2
2021,1,총,"50,191","19,209","4,343","14,364","1,719","1,702","1,513","1,142","1,063","1,655","1,763","1,718"
2021,1,0,"3,667","1,181",137,"2,081",41,54,33,18,11,41,31,39
2021,1,10,"4,666","2,108",217,"1,819",53,107,58,33,36,78,68,89
2021,1,20,"4,335","2,176",237,"1,366",97,74,60,46,36,83,77,83
2021,1,30,"5,006","1,683",202,"2,608",75,80,59,33,31,64,78,93
2021,1,40,"6,898","3,101",338,"2,677",124,162,84,57,39,96,90,130
2021,1,50,"7,566","3,293",705,"1,648",285,261,210,169,174,263,270,288
2021,1,60,"7,571","2,728",967,"1,103",379,346,323,258,267,399,414,387
2021,1,70,"5,609","1,738",884,569,331,291,327,249,231,332,356,301
2021,1,80,"4,166","1,032",557,418,284,289,323,225,199,248,325,266
2021,1,90,664,158,85,73,50,36,35,53,39,46,49,40
2021,1,100,43,11,14,2,0,2,1,1,0,5,5,2
2021,2,총,"50,114","19,175","4,346","14,332","1,716","1,707","1,509","1,139","1,061","1,656","1,762","1,711"
2021,2,0,"3,649","1,180",133,"2,069",41,56,33,20,11,40,29,37
2021,2,10,"4,645","2,091",216,"1,821",53,105,56,32,35,77,69,90
2021,2,20,"4,269","2,142",238,"1,336",94,77,60,45,35,84,79,79
2021,2,30,"4,997","1,692",206,"2,590",73,84,58,34,30,62,77,91
2021,2,40,"6,892","3,098",339,"2,680",122,159,84,57,39,98,87,129
2021,2,50,"7,543","3,285",702,"1,656",282,256,204,164,174,264,271,285
2021,2,60,"7,629","2,752",968,"1,118",387,350,327,263,264,398,415,387
2021,2,70,"5,597","1,736",884,567,329,289,326,247,231,330,356,302
2021,2,80,"4,181","1,030",560,419,283,292,325,221,203,254,325,269
2021,2,90,668,158,85,74,52,37,34,55,38,45,50,40
2021,2,100,44,11,15,2,0,2,2,1,1,4,4,2
2021,3,총,"50,107","19,176","4,320","14,368","1,714","1,705","1,513","1,128","1,063","1,650","1,762","1,708"
2021,3,0,"3,641","1,178",134,"2,065",40,54,34,19,12,40,29,36
2021,3,10,"4,656","2,087",220,"1,831",52,107,58,31,36,74,70,90
2021,3,20,"4,252","2,136",235,"1,341",92,76,57,42,34,82,80,77
2021,3,30,"4,982","1,694",204,"2,577",72,88,57,32,29,60,76,93
2021,3,40,"6,880","3,083",337,"2,685",125,158,86,57,39,97,86,127
2021,3,50,"7,524","3,283",702,"1,666",281,254,202,159,170,259,268,280
2021,3,60,"7,692","2,779",961,"1,137",387,349,333,268,266,404,416,392
2021,3,70,"5,590","1,730",881,569,334,286,326,242,230,333,356,303
2021,3,80,"4,197","1,040",556,423,282,294,326,221,208,253,325,269
2021,3,90,667,159,84,73,49,37,34,57,37,45,52,40
2021,3,100,26,7,6,1,0,2,0,0,2,3,4,1
2021,4,총,"50,128","19,205","4,318","14,362","1,707","1,713","1,512","1,129","1,062","1,649","1,759","1,712"
2021,4,0,"3,642","1,178",134,"2,074",41,50,33,18,11,38,29,36
2021,4,10,"4,641","2,070",226,"1,825",53,115,59,30,34,73,68,88
2021,4,20,"4,266","2,158",226,"1,343",88,77,58,43,36,83,79,75
2021,4,30,"4,966","1,696",207,"2,557",70,89,57,33,29,60,76,92
2021,4,40,"6,873","3,076",332,"2,683",125,158,85,62,39,97,87,129
2021,4,50,"7,524","3,282",709,"1,664",280,257,204,156,170,257,265,280
2021,4,60,"7,724","2,795",959,"1,148",387,348,332,266,265,406,421,397
2021,4,70,"5,593","1,740",876,574,332,284,323,243,230,335,356,300
2021,4,80,"4,202","1,043",556,418,281,295,328,222,210,250,326,273
2021,4,90,675,161,87,75,50,38,33,56,36,47,51,41
2021,4,100,22,6,6,1,0,2,0,0,2,3,1,1
2021,5,총,"50,123","19,178","4,299","14,403","1,712","1,709","1,509","1,127","1,059","1,649","1,759","1,719"
2021,5,0,"3,624","1,175",130,"2,065",42,48,33,17,12,37,29,36
2021,5,10,"4,657","2,070",228,"1,839",53,116,59,30,33,74,70,85
2021,5,20,"4,236","2,150",220,"1,336",85,73,59,43,37,79,78,76
2021,5,30,"4,959","1,685",204,"2,561",72,87,57,33,28,62,75,95
2021,5,40,"6,850","3,053",325,"2,695",119,158,85,61,40,97,89,128
2021,5,50,"7,526","3,287",712,"1,683",282,255,202,152,168,249,255,281
2021,5,60,"7,773","2,810",957,"1,153",393,349,331,269,260,418,432,401
2021,5,70,"5,590","1,732",877,575,333,282,324,247,234,333,352,301
2021,5,80,"4,205","1,049",553,418,283,300,325,220,209,251,326,271
2021,5,90,681,161,87,77,50,39,34,55,36,46,52,44
2021,5,100,22,6,6,1,0,2,0,0,2,3,1,1
2021,6,총,"49,918","19,074","4,223","14,417","1,714","1,708","1,502","1,119","1,053","1,642","1,748","1,718"
2021,6,0,"3,638","1,173",130,"2,073",45,48,33,18,14,38,29,37
2021,6,10,"4,649","2,060",230,"1,839",54,118,59,30,32,74,69,84
2021,6,20,"4,205","2,141",219,"1,320",84,74,57,45,35,77,76,77
2021,6,30,"4,943","1,672",198,"2,572",72,83,58,31,27,61,73,96
2021,6,40,"6,830","3,031",317,"2,709",122,160,83,59,39,94,91,125
2021,6,50,"7,429","3,252",688,"1,676",278,257,198,146,166,242,250,276
2021,6,60,"7,755","2,811",936,"1,158",394,348,330,268,261,420,429,400
2021,6,70,"5,552","1,718",856,573,332,278,324,246,229,333,356,307
2021,6,80,"4,212","1,046",555,421,282,302,325,222,212,253,322,272
2021,6,90,684,164,88,75,51,38,35,54,37,47,52,43
2021,6,100,21,6,6,1,0,2,0,0,1,3,1,1
2021,7,총,"49,903","19,077","4,216","14,418","1,703","1,711","1,499","1,122","1,057","1,642","1,745","1,713"
2021,7,0,"3,625","1,169",128,"2,070",43,49,32,17,14,37,29,37
2021,7,10,"4,642","2,057",233,"1,836",55,119,58,30,31,75,66,82
2021,7,20,"4,212","2,130",218,"1,336",81,71,59,48,37,76,76,80
2021,7,30,"4,917","1,663",197,"2,557",71,82,56,32,30,61,75,93
2021,7,40,"6,823","3,025",322,"2,713",119,156,84,60,39,95,87,123
2021,7,50,"7,406","3,249",677,"1,680",276,258,194,143,166,243,245,275
2021,7,60,"7,807","2,844",936,"1,158",396,353,333,271,261,416,437,402
2021,7,70,"5,544","1,729",849,571,331,278,322,244,229,331,355,305
2021,7,80,"4,219","1,040",564,420,279,304,326,220,213,257,324,272
2021,7,90,688,165,87,76,52,39,35,57,36,48,50,43
2021,7,100,20,6,5,1,0,2,0,0,1,3,1,1
2021,8,총,"49,928","19,114","4,207","14,429","1,704","1,697","1,494","1,121","1,054","1,647","1,750","1,711"
2021,8,0,"3,604","1,159",129,"2,061",42,47,33,17,14,36,29,37
2021,8,10,"4,632","2,054",226,"1,840",55,116,58,29,30,76,64,84
2021,8,20,"4,213","2,148",219,"1,316",83,69,60,48,36,78,77,79
2021,8,30,"4,922","1,673",198,"2,553",72,81,54,29,30,62,78,92
2021,8,40,"6,829","3,020",322,"2,731",118,156,81,60,38,97,86,120
2021,8,50,"7,424","3,259",671,"1,694",277,262,194,141,165,239,243,279
2021,8,60,"7,822","2,847",936,"1,168",395,347,331,276,262,421,442,397
2021,8,70,"5,535","1,732",846,567,329,277,323,244,226,329,353,309
2021,8,80,"4,229","1,044",567,422,282,301,325,219,215,258,326,270
2021,8,90,697,172,88,76,50,39,35,58,37,48,51,43
2021,8,100,21,6,5,1,1,2,0,0,1,3,1,1
2021,9,총,"49,903","19,059","4,201","14,496","1,703","1,697","1,491","1,119","1,050","1,637","1,742","1,708"
2021,9,0,"3,586","1,146",128,"2,058",41,48,32,17,12,36,29,39
2021,9,10,"4,627","2,045",224,"1,859",54,114,58,29,29,67,62,86
2021,9,20,"4,182","2,121",209,"1,322",83,70,60,48,36,79,78,76
2021,9,30,"4,901","1,677",196,"2,549",69,79,51,26,30,58,75,91
2021,9,40,"6,833","3,005",322,"2,745",117,161,83,60,37,99,85,119
2021,9,50,"7,422","3,249",672,"1,710",280,259,193,141,161,237,243,277
2021,9,60,"7,832","2,848",937,"1,185",393,347,330,277,266,421,437,391
2021,9,70,"5,540","1,738",845,568,326,276,322,242,226,331,353,313
2021,9,80,"4,251","1,050",574,421,288,303,326,221,214,257,325,272
2021,9,90,707,173,89,78,51,38,36,58,38,49,54,43
2021,9,100,22,7,5,1,1,2,0,0,1,3,1,1
2021,10,총,"49,885","19,027","4,189","14,508","1,710","1,690","1,496","1,117","1,057","1,641","1,742","1,708"
2021,10,0,"3,566","1,137",125,"2,046",43,49,32,16,11,39,30,38
2021,10,10,"4,609","2,023",217,"1,872",53,108,59,30,30,68,62,87
2021,10,20,"4,156","2,110",205,"1,314",82,73,58,48,38,75,78,75
2021,10,30,"4,905","1,678",193,"2,558",68,76,54,26,29,59,73,91
2021,10,40,"6,831","2,999",323,"2,742",118,159,80,60,39,99,90,122
2021,10,50,"7,422","3,251",671,"1,717",282,258,194,138,163,238,237,273
2021,10,60,"7,860","2,857",941,"1,188",393,347,334,277,270,419,436,398
2021,10,70,"5,546","1,748",839,571,326,279,319,242,225,331,357,309
2021,10,80,"4,257","1,044",580,421,293,301,329,221,214,260,323,271
2021,10,90,709,173,90,76,51,38,37,59,37,50,55,43
2021,10,100,24,7,5,3,1,2,0,0,1,3,1,1
2021,11,총,"49,870","19,034","4,180","14,496","1,710","1,693","1,488","1,113","1,054","1,638","1,751","1,713"
2021,11,0,"3,541","1,132",122,"2,031",43,47,32,15,12,40,29,38
2021,11,10,"4,609","2,023",215,"1,868",53,107,62,30,30,67,63,91
2021,11,20,"4,166","2,102",203,"1,332",79,79,56,49,38,76,78,74
2021,11,30,"4,891","1,681",196,"2,545",67,73,54,25,29,57,71,93
2021,11,40,"6,815","2,988",323,"2,737",119,157,80,61,37,100,92,121
2021,11,50,"7,431","3,258",671,"1,728",282,256,191,138,157,238,241,271
2021,11,60,"7,871","2,867",938,"1,184",396,352,330,276,273,413,440,402
2021,11,70,"5,547","1,754",838,575,324,279,317,240,224,332,354,310
2021,11,80,"4,265","1,047",581,416,295,302,330,221,216,263,327,267
2021,11,90,711,176,88,77,51,39,36,58,37,49,55,45
2021,11,100,23,6,5,3,1,2,0,0,1,3,1,1
2021,12,총,"49,887","19,021","4,188","14,520","1,711","1,701","1,481","1,108","1,049","1,635","1,750","1,723"
2021,12,0,"3,534","1,132",119,"2,031",43,47,32,14,12,38,29,37
2021,12,10,"4,585","2,012",210,"1,865",54,106,61,29,30,65,61,92
2021,12,20,"4,179","2,106",206,"1,329",81,85,54,50,39,77,79,73
2021,12,30,"4,888","1,669",204,"2,538",66,74,55,26,30,56,75,95
2021,12,40,"6,827","2,980",324,"2,754",121,157,78,59,38,101,94,121
2021,12,50,"7,427","3,267",671,"1,728",277,255,188,137,156,236,237,275
2021,12,60,"7,890","2,872",933,"1,193",400,354,329,271,271,418,441,408
2021,12,70,"5,536","1,745",840,579,319,280,319,245,222,331,350,306
2021,12,80,"4,279","1,055",589,418,297,298,329,220,213,261,328,271
2021,12,90,722,178,87,82,52,43,36,57,37,50,56,44
2021,12,100,20,5,5,3,1,2,0,0,1,2,0,1
