년도,월,나이,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020,11,70,"1,504",314,410,176,229,375,0
2020,11,80,640,116,198,63,104,159,0
2020,11,90,77,20,23,9,12,13,0
2020,11,100,3,1,0,0,0,2,0
2020,12,총,"13,802","3,654","3,110","1,185","1,967","3,886",0
2020,12,0,651,284,100,28,81,158,0
2020,12,10,879,320,183,59,96,221,0
2020,12,20,"1,824",565,340,88,259,572,0
2020,12,30,"1,252",423,193,95,192,349,0
2020,12,40,"1,717",480,344,132,226,535,0
2020,12,50,"2,604",613,638,236,360,757,0
2020,12,60,"2,655",520,681,300,406,748,0
2020,12,70,"1,501",310,413,174,231,373,0
2020,12,80,639,118,195,64,104,158,0
2020,12,90,77,20,23,9,12,13,0
2020,12,100,3,1,0,0,0,2,0
2021,1,총,"13,762","3,641","3,107","1,184","1,945","3,885",0
2021,1,0,650,285,101,29,75,160,0
2021,1,10,871,319,180,57,93,222,0
2021,1,20,"1,797",554,338,89,252,564,0
2021,1,30,"1,263",423,199,96,192,353,0
2021,1,40,"1,696",477,335,131,220,533,0
2021,1,50,"2,584",612,636,229,356,751,0
2021,1,60,"2,674",522,685,305,409,753,0
2021,1,70,"1,497",305,415,175,229,373,0
2021,1,80,649,122,195,64,108,160,0
2021,1,90,78,21,23,9,11,14,0
2021,1,100,3,1,0,0,0,2,0
2021,2,총,"13,771","3,639","3,090","1,179","1,933","3,930",0
2021,2,0,664,291,103,26,72,172,0
2021,2,10,875,315,176,58,98,228,0
2021,2,20,"1,762",541,332,89,245,555,0
2021,2,30,"1,272",426,198,95,185,368,0
2021,2,40,"1,687",476,332,126,221,532,0
2021,2,50,"2,584",614,631,230,354,755,0
2021,2,60,"2,692",527,683,308,414,760,0
2021,2,70,"1,492",303,414,171,223,381,0
2021,2,80,661,124,198,66,110,163,0
2021,2,90,79,21,23,10,11,14,0
2021,2,100,3,1,0,0,0,2,0
2021,3,총,"13,770","3,607","3,083","1,166","1,919","3,995",0
2021,3,0,659,279,103,25,70,182,0
2021,3,10,876,310,176,58,99,233,0
2021,3,20,"1,742",531,327,88,238,558,0
2021,3,30,"1,279",427,195,94,183,380,0
2021,3,40,"1,684",470,331,126,217,540,0
2021,3,50,"2,573",613,627,223,349,761,0
2021,3,60,"2,721",530,690,312,411,778,0
2021,3,70,"1,492",304,413,167,225,383,0
2021,3,80,665,121,199,64,116,165,0
2021,3,90,76,21,22,9,11,13,0
2021,3,100,3,1,0,0,0,2,0
2021,4,총,"13,762","3,596","3,058","1,153","1,907","4,048",0
2021,4,0,662,276,102,25,69,190,0
2021,4,10,872,309,172,55,103,233,0
2021,4,20,"1,727",531,320,86,228,562,0
2021,4,30,"1,283",425,194,91,182,391,0
2021,4,40,"1,671",465,330,121,214,541,0
2021,4,50,"2,565",608,618,224,343,772,0
2021,4,60,"2,756",539,692,314,413,798,0
2021,4,70,"1,481",300,407,164,226,384,0
2021,4,80,665,121,200,65,118,161,0
2021,4,90,77,21,23,8,11,14,0
2021,4,100,3,1,0,0,0,2,0
2021,5,총,"13,814","3,545","3,055","1,149","1,880","4,185",0
2021,5,0,665,271,96,27,66,205,0
2021,5,10,871,296,174,55,97,249,0
2021,5,20,"1,715",525,317,82,228,563,0
2021,5,30,"1,304",414,191,89,177,433,0
2021,5,40,"1,677",448,332,121,211,565,0
2021,5,50,"2,580",611,618,221,333,797,0
2021,5,60,"2,769",537,695,315,415,807,0
2021,5,70,"1,485",298,409,165,226,387,0
2021,5,80,668,123,201,66,116,162,0
2021,5,90,77,21,22,8,11,15,0
2021,5,100,3,1,0,0,0,2,0
2021,6,총,"13,848","3,523","3,026","1,142","1,873","4,284",0
2021,6,0,667,268,90,27,63,219,0
2021,6,10,878,298,172,54,95,259,0
2021,6,20,"1,708",516,316,78,221,577,0
2021,6,30,"1,311",412,187,84,181,447,0
2021,6,40,"1,673",438,325,125,211,574,0
2021,6,50,"2,579",609,615,216,331,808,0
2021,6,60,"2,801",540,696,318,417,830,0
2021,6,70,"1,480",295,401,165,229,390,0
2021,6,80,671,125,202,67,114,163,0
2021,6,90,77,21,22,8,11,15,0
2021,6,100,3,1,0,0,0,2,0
2021,7,총,"13,859","3,512","3,015","1,136","1,863","4,333",0
2021,7,0,664,267,86,24,61,226,0
2021,7,10,872,290,170,56,92,264,0
2021,7,20,"1,680",511,315,74,214,566,0
2021,7,30,"1,313",414,184,80,183,452,0
2021,7,40,"1,682",434,325,127,211,585,0
2021,7,50,"2,588",609,617,212,328,822,0
2021,7,60,"2,829",542,694,325,419,849,0
2021,7,70,"1,482",297,401,163,230,391,0
2021,7,80,667,126,201,66,113,161,0
2021,7,90,79,21,22,9,12,15,0
2021,7,100,3,1,0,0,0,2,0
2021,8,총,"13,899","3,520","3,026","1,133","1,861","4,359",0
2021,8,0,665,265,91,25,60,224,0
2021,8,10,869,288,170,59,90,262,0
2021,8,20,"1,702",520,318,74,214,576,0
2021,8,30,"1,312",414,188,74,181,455,0
2021,8,40,"1,670",435,318,128,211,578,0
2021,8,50,"2,603",607,629,210,330,827,0
2021,8,60,"2,846",548,693,325,419,861,0
2021,8,70,"1,480",293,397,164,230,396,0
2021,8,80,671,128,200,66,113,164,0
2021,8,90,78,21,22,8,13,14,0
2021,8,100,3,1,0,0,0,2,0
2021,9,총,"13,881","3,514","3,019","1,127","1,850","4,371",0
2021,9,0,669,267,92,25,60,225,0
2021,9,10,854,284,167,57,90,256,0
2021,9,20,"1,692",521,317,74,206,574,0
2021,9,30,"1,306",413,188,76,178,451,0
2021,9,40,"1,671",433,312,127,207,592,0
2021,9,50,"2,598",606,626,207,331,828,0
2021,9,60,"2,848",550,694,324,422,858,0
2021,9,70,"1,490",291,399,165,231,404,0
2021,9,80,673,128,202,64,112,167,0
2021,9,90,77,20,22,8,13,14,0
2021,9,100,3,1,0,0,0,2,0
2021,10,총,"13,895","3,577","3,020","1,121","1,811","4,366",0
2021,10,0,663,276,93,24,53,217,0
2021,10,10,852,285,167,55,90,255,0
2021,10,20,"1,695",546,314,72,191,572,0
2021,10,30,"1,310",429,181,76,170,454,0
2021,10,40,"1,670",438,315,129,200,588,0
2021,10,50,"2,590",600,627,204,327,832,0
2021,10,60,"2,871",558,698,324,428,863,0
2021,10,70,"1,487",294,399,165,228,401,0
2021,10,80,676,130,204,64,111,167,0
2021,10,90,78,20,22,8,13,15,0
2021,10,100,3,1,0,0,0,2,0
2021,11,총,"13,950","3,673","3,004","1,114","1,783","4,376",0
2021,11,0,676,298,87,24,48,219,0
2021,11,10,857,298,159,55,90,255,0
2021,11,20,"1,695",558,311,70,190,566,0
2021,11,30,"1,331",455,181,75,160,460,0
2021,11,40,"1,676",451,316,127,193,589,0
2021,11,50,"2,596",608,625,205,325,833,0
2021,11,60,"2,881",564,696,322,428,871,0
2021,11,70,"1,482",291,402,164,227,398,0
2021,11,80,675,131,204,63,109,168,0
2021,11,90,79,19,23,9,13,15,0
2021,11,100,2,0,0,0,0,2,0
2021,12,총,"14,019","3,727","2,998","1,115","1,786","4,393",0
2021,12,0,686,296,89,25,51,225,0
2021,12,10,858,305,159,55,88,251,0
2021,12,20,"1,710",569,305,72,195,569,0
2021,12,30,"1,356",475,180,75,156,470,0
2021,12,40,"1,687",459,315,126,196,591,0
2021,12,50,"2,593",614,621,201,326,831,0
2021,12,60,"2,890",569,702,322,427,870,0
2021,12,70,"1,474",288,398,165,225,398,0
2021,12,80,684,131,206,65,110,172,0
2021,12,90,80,21,23,9,12,15,0
2021,12,100,1,0,0,0,0,1,0
