년도,월,나이,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020,4,10,"14,220",53,337,40,"1,076",186,174,76,17,18,45,152,117,169,130,196,128,124,513,325,"1,026","1,167",623,677,490,"2,147","2,385","1,109",600,85,35
2020,4,20,"19,124",117,429,74,"1,253",285,311,101,32,31,103,263,197,229,194,410,230,289,756,421,"1,430","1,397","1,068",761,589,"3,017","2,431","2,023",444,175,64
2020,4,30,"17,176",91,446,56,"1,436",270,238,89,39,18,85,255,197,206,189,355,197,267,693,384,"1,105","1,156",769,688,742,"2,132","2,840","1,414",641,123,55
2020,4,40,"22,407",177,773,106,"1,693",503,415,175,66,55,164,334,220,336,313,470,265,402,899,506,"1,424","1,632",993,838,837,"2,784","3,122","1,762",846,196,101
2020,4,50,"25,421",268,741,176,"1,842",616,737,285,108,95,282,383,273,387,363,581,308,548,"1,038",572,"1,651","1,726","1,235",931,780,"3,070","3,021","2,416",554,289,145
2020,4,60,"19,571",315,774,240,"1,261",599,720,324,161,77,250,454,282,429,414,588,372,551,"1,005",641,"1,404","1,336",839,675,729,"1,574","1,545","1,342",316,236,118
2020,4,70,"10,794",231,446,171,613,444,485,265,148,79,142,344,238,306,339,455,263,447,607,358,569,609,377,255,438,650,555,538,194,159,69
2020,4,80,"3,436",109,162,79,227,204,190,112,58,32,55,69,85,93,95,113,89,137,148,86,204,172,110,64,119,159,170,161,47,53,34
2020,4,90,279,12,14,6,20,13,25,11,9,5,4,11,6,9,8,9,4,9,5,7,10,13,5,5,8,11,12,16,2,7,3
2020,4,100,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,5,총,"143,364","1,390","4,472",966,"10,540","3,246","3,379","1,479",649,429,"1,157","2,388","1,668","2,261","2,107","3,340","1,932","2,858","6,056","3,539","9,469","9,953","6,416","5,315","5,275","16,997","18,487","11,407","4,211","1,355",623
2020,5,0,"11,009",25,332,20,"1,132",145,79,42,7,15,33,120,54,88,70,158,72,86,406,249,673,763,391,414,549,"1,462","2,388",646,542,36,12
2020,5,10,"14,173",52,340,40,"1,069",182,179,73,17,20,43,153,117,169,129,199,126,122,508,324,"1,019","1,155",618,681,495,"2,135","2,385","1,104",601,84,34
2020,5,20,"19,076",117,426,74,"1,257",282,309,101,30,32,103,260,197,230,195,402,231,285,751,422,"1,422","1,397","1,081",754,583,"3,001","2,433","2,008",456,175,62
2020,5,30,"17,078",85,445,56,"1,412",266,237,87,38,18,79,259,199,208,186,363,195,262,700,378,"1,096","1,153",756,682,729,"2,128","2,833","1,415",637,124,52
2020,5,40,"22,390",176,776,104,"1,697",500,412,176,66,54,164,329,213,336,310,473,265,411,892,499,"1,420","1,615",999,841,839,"2,793","3,138","1,751",856,190,95
2020,5,50,"25,429",267,749,176,"1,851",600,739,285,109,96,281,382,273,389,360,581,311,548,"1,039",573,"1,644","1,734","1,228",936,786,"3,077","3,017","2,413",556,288,141
2020,5,60,"19,614",317,778,237,"1,262",607,718,328,166,78,250,456,280,431,410,588,369,550,993,640,"1,411","1,332",853,679,720,"1,574","1,561","1,351",320,237,118
2020,5,70,"10,837",230,447,174,611,443,490,262,148,78,145,347,241,307,344,451,270,447,607,360,569,616,375,261,443,656,548,543,194,159,71
2020,5,80,"3,468",110,165,77,229,206,190,115,59,33,55,68,88,95,95,116,89,138,155,86,205,175,110,62,122,160,171,160,46,53,35
2020,5,90,275,11,14,8,19,13,26,9,9,5,4,11,6,8,7,8,4,9,5,7,10,13,5,5,9,11,12,16,1,7,3
2020,5,100,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,6,총,"143,298","1,389","4,491",958,"10,504","3,259","3,382","1,475",653,426,"1,161","2,368","1,672","2,252","2,113","3,333","1,943","2,841","6,027","3,525","9,462","9,959","6,417","5,305","5,271","16,965","18,548","11,400","4,213","1,357",629
2020,6,0,"10,970",25,334,20,"1,122",147,80,39,7,15,33,119,57,90,67,157,68,86,402,247,673,763,389,416,540,"1,451","2,395",642,538,36,12
2020,6,10,"14,072",54,341,40,"1,062",177,179,74,16,19,44,146,117,169,129,195,124,119,501,321,"1,020","1,142",609,677,497,"2,116","2,373","1,091",602,84,34
2020,6,20,"19,079",113,425,71,"1,260",280,312,101,29,30,98,256,196,224,196,398,242,278,753,423,"1,409","1,403","1,079",751,585,"2,997","2,436","2,030",464,175,65
2020,6,30,"17,057",84,451,55,"1,416",268,234,86,40,18,83,259,199,211,186,368,195,257,695,371,"1,092","1,148",752,671,726,"2,120","2,852","1,414",633,124,49
2020,6,40,"22,400",177,780,104,"1,687",507,413,171,66,53,165,325,218,334,312,473,266,411,887,497,"1,425","1,631","1,006",848,834,"2,789","3,144","1,738",850,192,97
2020,6,50,"25,315",265,751,169,"1,836",602,741,286,108,97,279,380,268,385,364,568,312,541,"1,023",568,"1,628","1,720","1,225",926,784,"3,060","3,036","2,397",564,290,142
2020,6,60,"19,764",320,780,240,"1,263",612,722,329,171,79,256,455,281,432,411,589,365,557,995,645,"1,424","1,346",862,684,725,"1,599","1,581","1,369",317,234,121
2020,6,70,"10,871",230,448,174,613,444,486,261,149,76,146,347,241,307,340,459,278,445,614,361,577,615,380,266,446,654,547,543,194,161,69
2020,6,80,"3,474",109,167,77,225,207,189,117,58,34,53,68,89,91,100,117,89,137,152,85,203,176,110,62,126,168,170,159,48,51,37
2020,6,90,281,12,14,8,19,13,26,10,9,5,4,10,6,9,7,8,4,10,5,6,11,15,5,4,8,11,13,17,1,8,3
2020,6,100,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,7,총,"143,194","1,385","4,482",953,"10,464","3,267","3,377","1,473",651,424,"1,177","2,371","1,658","2,242","2,109","3,324","1,922","2,821","6,024","3,517","9,431","9,966","6,423","5,307","5,296","16,929","18,629","11,361","4,226","1,357",628
2020,7,0,"10,923",25,322,20,"1,109",144,79,39,7,13,34,119,54,89,68,157,72,84,401,249,665,768,383,418,545,"1,447","2,403",636,526,36,11
2020,7,10,"13,985",54,346,38,"1,047",175,176,74,17,21,47,148,112,167,126,187,121,118,507,323,"1,015","1,127",597,666,499,"2,089","2,382","1,082",609,83,32
2020,7,20,"19,061",110,420,72,"1,257",279,314,100,32,29,100,253,198,224,199,400,237,275,747,419,"1,401","1,407","1,102",758,594,"2,993","2,414","2,013",472,176,66
2020,7,30,"16,994",86,442,53,"1,398",267,236,86,39,16,83,259,198,207,182,361,186,251,686,370,"1,088","1,161",755,659,726,"2,120","2,869","1,411",624,125,50
2020,7,40,"22,368",175,777,100,"1,699",507,407,166,65,53,168,328,214,336,313,475,254,406,894,490,"1,424","1,627","1,000",855,842,"2,782","3,153","1,723",852,189,94
2020,7,50,"25,341",265,755,170,"1,822",608,734,287,107,98,282,381,269,383,363,567,316,539,"1,027",571,"1,621","1,711","1,227",929,782,"3,059","3,069","2,387",579,290,143
2020,7,60,"19,802",319,785,240,"1,270",617,725,331,169,80,258,450,275,428,408,593,363,558,990,645,"1,419","1,351",865,680,725,"1,600","1,600","1,382",319,235,122
2020,7,70,"10,923",231,453,174,612,448,492,262,149,76,146,349,241,309,339,455,279,448,613,362,580,622,378,275,449,657,555,548,192,160,69
2020,7,80,"3,493",110,167,78,229,207,189,117,57,33,54,70,91,90,103,120,90,132,154,81,205,176,111,63,126,171,168,161,50,52,38
2020,7,90,289,10,15,8,20,13,25,10,9,5,5,11,6,9,7,8,4,10,5,6,13,16,5,4,8,11,15,18,1,9,3
2020,7,100,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,8,총,"143,046","1,372","4,492",951,"10,446","3,261","3,366","1,481",652,427,"1,180","2,361","1,655","2,246","2,098","3,291","1,927","2,810","5,981","3,502","9,408","9,963","6,406","5,297","5,307","16,902","18,728","11,339","4,224","1,351",622
2020,8,0,"10,877",24,318,20,"1,108",145,78,40,6,13,32,118,53,86,67,156,76,81,396,245,663,764,371,414,548,"1,438","2,408",636,526,36,11
2020,8,10,"13,941",53,342,38,"1,039",175,172,75,16,21,48,147,114,168,124,186,123,121,497,315,"1,007","1,125",591,658,503,"2,093","2,401","1,071",609,80,29
2020,8,20,"19,008",106,428,72,"1,256",279,320,100,33,30,98,247,197,228,200,391,236,274,742,412,"1,392","1,402","1,086",766,594,"2,977","2,418","2,010",472,175,67
2020,8,30,"16,914",87,436,52,"1,384",253,234,84,38,17,83,261,199,209,183,353,189,251,676,368,"1,080","1,158",747,650,728,"2,127","2,878","1,402",619,121,47
2020,8,40,"22,341",170,785,100,"1,697",511,397,168,66,54,168,331,213,336,309,475,253,402,893,485,"1,423","1,634","1,001",858,843,"2,754","3,179","1,702",851,188,95
2020,8,50,"25,266",261,761,167,"1,814",605,732,286,104,96,283,375,267,381,358,555,313,536,"1,019",573,"1,609","1,704","1,229",919,778,"3,058","3,090","2,385",578,287,143
2020,8,60,"19,919",319,784,238,"1,285",618,727,335,173,83,265,449,276,425,403,596,364,551,981,653,"1,428","1,357",883,687,726,"1,616","1,613","1,398",325,241,120
2020,8,70,"10,979",233,452,178,614,453,494,263,151,76,145,348,238,315,345,451,278,452,617,361,585,625,382,278,454,657,560,556,191,158,69
2020,8,80,"3,500",110,172,77,230,207,187,119,57,32,53,72,92,89,101,119,91,131,155,83,208,178,111,63,125,172,165,160,49,54,38
2020,8,90,286,9,14,9,18,13,25,10,8,5,5,10,6,9,7,8,4,11,5,6,13,16,5,4,8,10,15,19,2,9,3
2020,8,100,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,9,총,"143,064","1,365","4,496",949,"10,461","3,246","3,363","1,473",655,418,"1,179","2,359","1,642","2,237","2,094","3,284","1,916","2,817","5,969","3,508","9,408","9,977","6,385","5,299","5,314","16,931","18,794","11,350","4,220","1,335",620
2020,9,0,"10,817",24,320,19,"1,100",142,79,39,6,12,33,118,50,83,68,153,71,79,396,242,654,767,363,414,549,"1,432","2,411",632,516,35,10
2020,9,10,"13,886",49,343,36,"1,042",172,167,76,16,19,47,144,112,166,120,185,121,126,491,314,"1,000","1,115",582,654,504,"2,091","2,406","1,071",612,77,28
2020,9,20,"19,035",106,424,74,"1,260",276,324,98,33,31,95,250,197,229,200,389,236,267,743,414,"1,408","1,421","1,084",769,595,"2,973","2,422","2,007",473,168,69
2020,9,30,"16,816",84,433,54,"1,379",250,229,84,37,15,83,258,201,202,180,356,179,254,669,367,"1,082","1,150",739,651,718,"2,135","2,856","1,386",615,123,47
2020,9,40,"22,348",166,783,100,"1,704",503,396,164,67,55,168,336,211,334,309,473,256,407,886,497,"1,411","1,611",998,852,848,"2,751","3,209","1,726",855,182,90
2020,9,50,"25,311",258,763,164,"1,815",606,727,280,102,94,281,370,264,383,357,553,316,534,"1,013",568,"1,613","1,719","1,233",921,784,"3,083","3,105","2,391",582,285,147
2020,9,60,"20,019",325,792,239,"1,299",615,733,341,175,82,264,450,274,427,405,596,358,553,994,650,"1,436","1,367",888,691,725,"1,618","1,635","1,399",326,243,119
2020,9,70,"11,013",236,450,175,608,462,496,262,154,75,150,349,234,314,345,450,283,453,613,365,583,630,383,281,456,667,571,559,188,154,67
2020,9,80,"3,519",108,173,79,236,205,185,118,57,31,53,71,93,90,102,120,92,133,159,84,209,182,110,63,127,170,162,160,49,58,40
2020,9,90,284,9,15,9,17,13,27,10,8,4,4,10,6,9,7,8,4,11,5,6,12,15,5,3,8,11,16,19,2,8,3
2020,9,100,16,0,0,0,1,2,0,1,0,0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,10,총,"143,106","1,359","4,498",949,"10,448","3,244","3,369","1,472",662,413,"1,171","2,352","1,638","2,231","2,092","3,265","1,902","2,804","5,955","3,512","9,398","10,105","6,393","5,285","5,303","16,908","18,803","11,374","4,247","1,331",623
2020,10,0,"10,764",24,318,24,"1,106",139,80,38,7,12,30,116,47,80,67,145,67,80,390,246,643,794,356,403,541,"1,429","2,398",621,518,35,10
2020,10,10,"13,838",47,339,35,"1,036",176,167,77,17,19,44,151,114,166,119,183,122,125,490,307,994,"1,116",590,650,492,"2,077","2,409","1,063",612,73,28
2020,10,20,"19,105",109,434,75,"1,260",275,321,97,32,30,98,244,200,234,204,392,236,264,738,420,"1,414","1,431","1,084",770,599,"2,965","2,438","2,021",478,171,71
2020,10,30,"16,776",82,427,53,"1,375",251,230,83,39,14,84,255,204,201,178,354,177,252,663,367,"1,063","1,193",737,642,717,"2,132","2,842","1,385",607,122,47
2020,10,40,"22,268",161,778,100,"1,686",501,394,163,68,54,163,339,208,331,313,463,252,407,877,498,"1,406","1,619","1,000",847,852,"2,727","3,195","1,730",867,178,91
2020,10,50,"25,352",256,772,163,"1,813",601,721,282,104,93,277,368,261,380,358,553,315,525,"1,019",562,"1,617","1,739","1,230",928,781,"3,085","3,123","2,400",593,288,145
2020,10,60,"20,103",322,792,236,"1,307",618,744,342,177,80,266,446,272,428,402,586,356,550,993,656,"1,448","1,379",898,694,726,"1,642","1,646","1,406",330,241,120
2020,10,70,"11,048",241,446,176,609,461,499,263,153,75,151,349,233,309,341,458,280,455,612,364,588,637,382,284,462,674,572,565,188,153,68
2020,10,80,"3,550",108,177,78,238,205,187,116,57,32,53,71,93,94,102,121,93,135,168,85,213,182,110,64,126,166,162,164,50,60,40
2020,10,90,285,9,15,9,17,15,26,10,8,4,4,9,6,8,7,9,4,11,5,6,12,15,6,3,7,11,17,19,2,8,3
2020,10,100,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,11,총,"143,116","1,357","4,498",956,"10,451","3,263","3,359","1,469",660,411,"1,170","2,351","1,635","2,229","2,080","3,242","1,894","2,779","5,903","3,504","9,314","10,498","6,374","5,252","5,267","16,851","18,775","11,388","4,227","1,334",625
2020,11,0,"10,693",24,315,22,"1,108",144,75,37,8,11,29,116,47,78,65,145,63,77,371,243,614,893,352,392,532,"1,406","2,357",617,507,36,9
2020,11,10,"13,769",47,335,38,"1,032",177,164,79,18,18,46,150,114,165,121,181,120,123,485,306,984,"1,137",583,645,483,"2,065","2,396","1,045",612,71,29
2020,11,20,"19,174",110,436,77,"1,270",274,323,93,32,31,97,243,200,235,204,393,238,261,734,419,"1,413","1,470","1,088",775,594,"2,967","2,462","2,021",476,169,69
2020,11,30,"16,731",80,436,52,"1,350",248,230,79,38,14,82,256,197,201,173,354,171,247,648,367,"1,042","1,289",735,632,706,"2,115","2,828","1,393",600,122,46
2020,11,40,"22,221",164,767,101,"1,682",497,392,166,68,55,164,338,207,328,310,453,252,403,875,496,"1,386","1,696",984,829,846,"2,704","3,186","1,732",867,179,94
2020,11,50,"25,404",255,779,165,"1,821",611,718,286,102,91,277,375,265,382,358,547,316,518,"1,012",556,"1,604","1,775","1,233",934,776,"3,086","3,132","2,402",590,292,146
2020,11,60,"20,168",317,790,237,"1,317",624,749,340,178,81,264,441,274,425,397,581,354,551,994,660,"1,452","1,396",891,692,730,"1,651","1,657","1,431",333,243,118
2020,11,70,"11,100",242,448,178,614,465,496,264,151,74,152,347,233,314,343,453,282,455,613,364,592,644,392,285,467,682,576,563,188,152,71
2020,11,80,"3,554",109,177,77,238,206,185,116,58,32,55,72,92,92,101,125,94,133,166,86,215,183,110,65,126,165,162,165,50,60,39
2020,11,90,285,9,15,9,18,15,27,8,7,4,3,9,6,9,7,9,4,11,5,6,12,15,6,3,7,10,18,19,2,8,4
2020,11,100,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020,12,총,"142,995","1,358","4,469",952,"10,412","3,265","3,368","1,462",656,410,"1,165","2,362","1,628","2,225","2,084","3,238","1,897","2,789","5,871","3,494","9,273","10,699","6,339","5,211","5,282","16,795","18,769","11,353","4,225","1,326",618
2020,12,0,"10,639",24,307,19,"1,104",143,75,34,8,11,29,115,51,73,62,143,63,77,364,237,600,938,336,386,532,"1,391","2,368",610,497,34,8
2020,12,10,"13,736",45,336,40,"1,030",174,163,79,18,18,46,151,112,162,120,176,120,125,483,311,977,"1,163",586,642,480,"2,044","2,380","1,044",610,71,30
2020,12,20,"19,147",114,434,79,"1,256",276,329,90,29,31,96,252,196,240,207,388,241,264,724,411,"1,405","1,477","1,072",771,599,"2,969","2,468","2,006",485,172,66
2020,12,30,"16,677",78,435,52,"1,331",251,223,78,38,13,82,259,199,199,177,356,172,243,637,360,"1,039","1,331",730,625,721,"2,108","2,811","1,376",588,120,45
2020,12,40,"22,134",161,754,99,"1,681",501,394,163,68,55,159,333,204,324,308,451,255,400,877,493,"1,377","1,728",976,816,846,"2,675","3,178","1,726",865,175,92
2020,12,50,"25,406",255,777,163,"1,813",608,720,287,101,91,274,375,262,385,363,547,309,521,"1,005",566,"1,607","1,796","1,229",930,768,"3,081","3,140","2,396",605,286,146
2020,12,60,"20,224",318,787,239,"1,315",621,754,341,178,78,269,440,270,423,395,583,354,554,993,656,"1,452","1,414",893,691,737,"1,665","1,668","1,441",333,244,118
2020,12,70,"11,164",244,448,173,623,472,497,264,150,78,150,352,239,316,343,459,281,458,615,366,588,653,400,283,465,690,574,570,188,155,70
2020,12,80,"3,566",110,176,79,238,203,185,117,59,31,55,72,89,94,101,125,98,136,168,87,216,185,111,65,128,162,162,165,50,60,39
2020,12,90,285,9,15,9,20,14,28,8,7,4,4,9,6,9,7,9,4,11,5,6,12,14,6,2,6,10,19,19,2,7,4
2020,12,100,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2021,1,총,"143,083","1,354","4,479",949,"10,418","3,264","3,383","1,457",654,409,"1,153","2,404","1,602","2,218","2,087","3,207","1,893","2,787","5,853","3,491","9,313","10,771","6,337","5,216","5,284","16,803","18,795","11,366","4,204","1,318",614
2021,1,0,"10,546",25,304,16,"1,091",139,74,34,7,11,28,114,48,71,60,139,63,78,358,226,592,953,336,384,526,"1,369","2,361",612,486,33,8
2021,1,10,"13,711",45,336,41,"1,042",172,168,77,17,18,46,152,106,160,118,170,119,128,478,314,984,"1,157",579,640,484,"2,035","2,385","1,036",606,69,29
2021,1,20,"19,169",109,436,80,"1,263",281,333,90,28,31,94,269,196,243,208,379,237,263,715,414,"1,417","1,489","1,064",765,594,"3,009","2,460","1,992",472,172,66
2021,1,30,"16,611",77,431,49,"1,300",250,226,79,38,12,80,262,192,197,178,344,170,236,639,352,"1,036","1,354",735,628,716,"2,093","2,805","1,385",588,115,44
2021,1,40,"22,127",162,760,98,"1,688",497,390,164,68,53,155,340,199,322,306,451,254,400,877,495,"1,375","1,744",976,824,847,"2,661","3,179","1,724",858,171,89
2021,1,50,"25,437",252,773,164,"1,817",596,717,282,102,91,272,371,255,379,370,544,309,521,"1,004",564,"1,622","1,798","1,227",929,775,"3,096","3,150","2,404",619,287,147
2021,1,60,"20,357",316,795,239,"1,329",634,764,339,178,80,268,450,273,425,394,592,359,553,987,664,"1,463","1,419",906,692,736,"1,667","1,692","1,448",331,246,118
2021,1,70,"11,228",248,450,175,624,476,496,264,151,78,152,356,241,320,345,454,277,459,622,365,592,655,398,286,474,701,580,574,191,155,69
2021,1,80,"3,589",111,179,76,243,203,187,117,58,31,53,78,86,91,100,124,100,138,169,90,221,188,108,65,126,160,165,172,49,61,40
2021,1,90,291,9,15,11,20,14,28,10,7,4,4,8,6,10,7,9,5,11,4,6,11,14,8,3,6,12,17,19,2,7,4
2021,1,100,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2021,2,총,"142,979","1,346","4,467",948,"10,411","3,267","3,379","1,441",657,407,"1,156","2,417","1,594","2,202","2,091","3,193","1,883","2,786","5,820","3,492","9,300","10,846","6,340","5,206","5,287","16,779","18,783","11,365","4,197","1,315",604
2021,2,0,"10,462",24,297,15,"1,079",142,73,30,7,11,27,113,47,69,62,135,62,77,355,230,575,963,332,383,522,"1,349","2,355",607,481,33,7
2021,2,10,"13,668",44,339,40,"1,049",170,160,69,17,18,47,154,105,158,118,171,117,129,469,316,980,"1,176",577,636,484,"2,021","2,383","1,019",604,70,28
2021,2,20,"19,118",106,434,86,"1,260",279,337,89,30,29,88,267,195,244,207,376,236,267,711,409,"1,420","1,498","1,069",756,589,"2,985","2,463","1,989",465,170,64
2021,2,30,"16,513",77,423,48,"1,286",249,227,80,39,12,84,266,190,193,182,337,174,237,621,344,"1,026","1,348",729,623,718,"2,103","2,781","1,379",579,114,44
2021,2,40,"22,151",159,759,94,"1,704",495,388,164,67,50,159,341,199,313,300,450,248,400,882,499,"1,372","1,773",985,817,851,"2,658","3,184","1,718",865,170,87
2021,2,50,"25,489",249,770,166,"1,824",598,713,280,99,93,275,376,256,385,371,544,306,518,998,558,"1,628","1,811","1,222",934,772,"3,114","3,152","2,422",622,289,144
2021,2,60,"20,376",317,799,236,"1,325",633,769,334,181,80,269,452,269,421,392,588,355,553,986,673,"1,467","1,413",910,697,741,"1,664","1,698","1,463",330,244,117
2021,2,70,"11,262",247,448,175,619,475,495,264,149,79,150,354,240,320,348,456,281,458,624,364,598,659,397,292,475,712,584,579,195,157,68
2021,2,80,"3,625",114,182,77,244,209,186,119,61,31,52,82,86,91,103,125,99,137,170,92,222,191,111,64,129,161,165,170,52,59,41
2021,2,90,298,9,16,11,20,15,31,11,7,4,4,8,7,8,7,10,5,10,4,6,12,14,8,4,6,12,17,19,2,7,4
2021,2,100,17,0,0,0,1,2,0,1,0,0,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2021,3,총,"142,785","1,352","4,470",949,"10,403","3,270","3,363","1,427",658,405,"1,156","2,430","1,592","2,187","2,079","3,187","1,882","2,774","5,794","3,478","9,317","10,858","6,342","5,210","5,286","16,760","18,708","11,318","4,212","1,313",605
2021,3,0,"10,383",26,289,15,"1,078",142,73,31,7,10,26,111,48,69,60,131,60,76,354,222,567,957,328,380,523,"1,338","2,343",595,485,32,7
2021,3,10,"13,627",44,336,39,"1,047",171,161,67,17,17,47,158,103,156,114,172,117,125,464,314,980,"1,178",578,630,485,"2,013","2,373","1,011",612,71,27
2021,3,20,"19,076",108,446,85,"1,266",275,333,82,30,29,87,271,193,239,206,375,239,267,699,402,"1,415","1,499","1,084",764,584,"2,990","2,441","1,962",471,168,66
2021,3,30,"16,412",79,424,48,"1,274",247,224,77,41,11,84,271,191,189,178,336,168,236,620,338,"1,033","1,325",720,625,721,"2,083","2,764","1,380",572,111,42
2021,3,40,"22,106",162,755,94,"1,699",492,380,163,67,51,157,338,199,314,297,450,247,402,873,502,"1,375","1,794",983,809,848,"2,655","3,168","1,710",864,169,89
2021,3,50,"25,434",246,765,167,"1,822",605,706,274,97,92,270,375,253,384,369,544,308,512,998,559,"1,631","1,810","1,220",937,765,"3,117","3,147","2,404",620,293,144
2021,3,60,"20,449",314,802,237,"1,334",633,776,338,183,81,274,454,269,416,390,582,358,551,984,669,"1,478","1,426",911,700,745,"1,676","1,699","1,479",331,242,117
2021,3,70,"11,325",251,455,177,617,479,491,264,148,77,154,359,241,317,352,462,282,457,624,370,605,657,400,295,475,711,593,586,200,158,68
2021,3,80,"3,657",113,180,77,245,209,190,118,61,33,52,81,89,95,104,124,98,139,174,95,222,196,109,65,134,166,162,172,53,60,41
