년도,월,나이,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020,12,0,"31,567","1,988","4,033","4,281",789,473,"1,944",889,605,161,95,"2,633","1,613",366,84,"5,017","2,387","4,209"
2020,12,10,"37,547","3,626","5,534","5,489",615,946,"3,250","1,246",898,251,126,"3,250","2,460",565,99,"3,951","1,814","3,427"
2020,12,20,"40,668","3,684","4,959","5,814",754,"1,493","3,110","1,937","1,249",343,175,"2,686","2,213","1,124",216,"4,453","1,892","4,566"
2020,12,30,"45,369","3,082","5,248","6,263","1,086","1,071","2,720","1,581",866,351,200,"3,319","2,207",923,189,"6,867","3,251","6,145"
2020,12,40,"64,854","5,851","8,685","9,706","1,208","1,578","5,083","2,154","1,642",464,255,"5,595","3,810","1,070",175,"7,288","3,610","6,680"
2020,12,50,"57,252","5,504","7,096","8,413","1,101","2,438","4,535","2,976","1,728",814,348,"3,637","2,835","1,968",393,"5,148","2,629","5,689"
2020,12,60,"42,681","3,987","5,507","6,155",949,"1,895","2,929","2,242","1,403",935,423,"2,505","1,783","1,744",441,"3,692","1,818","4,273"
2020,12,70,"24,347","2,547","3,266","3,762",438,"1,081","2,011","1,193",959,584,234,"1,657","1,053",882,248,"1,763",771,"1,898"
2020,12,80,"11,616","1,172","1,553","1,632",227,600,930,614,431,309,131,674,538,569,136,847,353,900
2020,12,90,"2,059",215,231,277,48,109,143,79,77,106,33,126,86,103,18,163,67,178
2020,12,100,164,23,12,24,0,12,3,6,15,4,0,6,4,11,8,14,10,12
2021,1,총,"358,842","31,640","46,091","51,956","7,264","11,663","26,662","14,913","9,855","4,307","2,027","26,202","18,659","9,304","2,002","39,648","18,617","38,032"
2021,1,0,"31,394","1,958","3,989","4,270",790,466,"1,917",875,590,157,94,"2,616","1,616",354,85,"5,056","2,372","4,189"
2021,1,10,"37,635","3,623","5,523","5,503",616,937,"3,234","1,229",889,240,128,"3,279","2,446",562,97,"4,051","1,839","3,439"
2021,1,20,"40,718","3,699","4,964","5,817",759,"1,488","3,122","1,942","1,251",344,174,"2,698","2,229","1,115",211,"4,458","1,894","4,553"
2021,1,30,"45,254","3,062","5,206","6,239","1,095","1,071","2,688","1,570",860,346,200,"3,317","2,218",917,191,"6,894","3,223","6,157"
2021,1,40,"64,992","5,814","8,667","9,727","1,218","1,560","5,102","2,140","1,638",466,256,"5,608","3,808","1,077",169,"7,441","3,614","6,687"
2021,1,50,"57,466","5,510","7,115","8,469","1,113","2,435","4,539","2,992","1,730",810,355,"3,688","2,854","1,953",396,"5,177","2,634","5,696"
2021,1,60,"42,967","4,007","5,550","6,182",947,"1,901","2,954","2,253","1,413",939,419,"2,525","1,796","1,759",441,"3,739","1,838","4,304"
2021,1,70,"24,496","2,563","3,276","3,795",449,"1,090","2,010","1,205",960,582,238,"1,659","1,065",881,251,"1,791",768,"1,913"
2021,1,80,"11,684","1,166","1,561","1,650",227,594,948,621,433,312,131,676,535,573,135,858,358,906
2021,1,90,"2,072",215,228,280,50,109,145,80,75,107,32,130,89,103,18,168,67,176
2021,1,100,164,23,12,24,0,12,3,6,16,4,0,6,3,10,8,15,10,12
2021,2,총,"360,724","31,493","46,105","51,951","7,260","11,616","26,629","14,921","9,881","4,305","2,042","27,760","18,602","9,258","1,981","40,306","18,565","38,049"
2021,2,0,"31,514","1,920","3,947","4,211",792,453,"1,888",870,588,159,98,"2,919","1,611",340,80,"5,159","2,329","4,150"
2021,2,10,"37,757","3,596","5,508","5,506",622,925,"3,223","1,229",892,236,130,"3,425","2,398",559,95,"4,123","1,839","3,451"
2021,2,20,"40,808","3,664","4,998","5,809",743,"1,483","3,123","1,933","1,255",337,176,"2,791","2,250","1,100",211,"4,526","1,897","4,512"
2021,2,30,"45,358","3,028","5,139","6,183","1,091","1,048","2,652","1,576",864,347,206,"3,700","2,176",896,190,"6,957","3,158","6,147"
2021,2,40,"65,391","5,774","8,674","9,729","1,215","1,537","5,101","2,135","1,625",465,249,"5,894","3,794","1,074",167,"7,627","3,634","6,697"
2021,2,50,"57,809","5,513","7,132","8,487","1,122","2,441","4,546","2,974","1,750",804,360,"3,861","2,860","1,944",389,"5,259","2,643","5,724"
2021,2,60,"43,429","4,031","5,595","6,255",952,"1,916","2,976","2,278","1,418",943,421,"2,638","1,812","1,778",434,"3,780","1,853","4,349"
2021,2,70,"24,551","2,551","3,288","3,788",446,"1,090","2,006","1,209",957,579,237,"1,696","1,065",883,254,"1,808",778,"1,916"
2021,2,80,"11,843","1,177","1,584","1,671",229,599,961,631,445,322,133,691,547,570,136,878,356,913
2021,2,90,"2,098",215,228,288,48,112,150,80,72,109,32,138,86,104,17,174,68,177
2021,2,100,166,24,12,24,0,12,3,6,15,4,0,7,3,10,8,15,10,13
2021,3,총,"361,600","31,260","46,040","51,942","7,299","11,557","26,579","14,805","9,874","4,277","2,016","28,722","18,567","9,162","1,945","40,738","18,471","38,346"
2021,3,0,"31,476","1,896","3,910","4,164",796,439,"1,866",861,587,150,97,"3,030","1,592",340,81,"5,165","2,329","4,173"
2021,3,10,"37,788","3,561","5,496","5,487",623,927,"3,215","1,222",884,232,126,"3,449","2,401",556,94,"4,196","1,828","3,491"
2021,3,20,"40,981","3,641","5,003","5,831",755,"1,455","3,118","1,902","1,252",341,180,"2,909","2,256","1,088",208,"4,623","1,887","4,532"
2021,3,30,"45,500","2,993","5,106","6,160","1,086","1,041","2,645","1,557",868,335,201,"3,918","2,165",890,184,"7,025","3,124","6,202"
2021,3,40,"65,362","5,723","8,618","9,695","1,217","1,522","5,081","2,112","1,614",467,236,"6,052","3,768","1,053",169,"7,684","3,618","6,733"
2021,3,50,"57,996","5,504","7,131","8,519","1,137","2,419","4,538","2,957","1,744",797,354,"3,999","2,859","1,915",384,"5,331","2,635","5,773"
2021,3,60,"43,878","4,021","5,638","6,317",959,"1,951","2,994","2,285","1,436",937,419,"2,769","1,830","1,784",429,"3,835","1,867","4,407"
2021,3,70,"24,518","2,532","3,289","3,807",446,"1,081","1,994","1,197",952,578,237,"1,734","1,064",867,244,"1,818",763,"1,915"
2021,3,80,"11,920","1,174","1,605","1,672",231,609,974,625,451,327,134,708,548,568,133,885,349,927
2021,3,90,"2,079",206,233,280,49,110,151,81,71,108,32,147,82,97,15,169,69,179
2021,3,100,102,9,11,10,0,3,3,6,15,5,0,7,2,4,4,7,2,14
2021,4,총,"362,413","31,185","46,050","51,984","7,335","11,538","26,568","14,759","9,868","4,255","2,014","29,116","18,612","9,175","1,962","40,914","18,447","38,631"
2021,4,0,"31,379","1,870","3,866","4,153",798,432,"1,856",859,582,150,98,"3,035","1,590",339,79,"5,169","2,326","4,177"
2021,4,10,"37,849","3,546","5,512","5,494",632,919,"3,200","1,211",878,233,123,"3,475","2,383",556,96,"4,230","1,835","3,526"
2021,4,20,"41,062","3,628","5,012","5,814",764,"1,441","3,125","1,885","1,260",336,178,"2,957","2,287","1,084",215,"4,639","1,878","4,559"
2021,4,30,"45,495","2,976","5,076","6,130","1,087","1,050","2,648","1,547",860,329,198,"3,979","2,193",890,182,"7,007","3,070","6,273"
2021,4,40,"65,456","5,701","8,592","9,699","1,217","1,510","5,054","2,108","1,606",464,241,"6,127","3,750","1,045",173,"7,758","3,633","6,778"
2021,4,50,"58,115","5,490","7,171","8,522","1,133","2,411","4,532","2,922","1,746",801,352,"4,067","2,868","1,919",385,"5,355","2,636","5,805"
2021,4,60,"44,311","4,055","5,678","6,364",972,"1,965","3,035","2,320","1,441",937,421,"2,841","1,838","1,803",437,"3,874","1,874","4,456"
2021,4,70,"24,554","2,519","3,294","3,821",440,"1,087","1,994","1,190",955,567,236,"1,754","1,065",872,241,"1,820",768,"1,931"
2021,4,80,"11,994","1,182","1,606","1,699",238,610,972,628,455,328,134,723,553,560,134,885,355,932
2021,4,90,"2,097",209,232,277,54,110,149,83,70,105,33,150,83,103,17,171,70,181
2021,4,100,101,9,11,11,0,3,3,6,15,5,0,8,2,4,3,6,2,13
2021,5,총,"363,139","31,123","46,048","52,029","7,393","11,499","26,661","14,746","9,849","4,277","2,009","29,350","18,665","9,160","1,962","41,096","18,386","38,886"
2021,5,0,"31,211","1,841","3,844","4,122",786,430,"1,836",856,575,152,95,"3,045","1,580",338,79,"5,147","2,301","4,184"
2021,5,10,"37,934","3,547","5,497","5,493",692,903,"3,198","1,211",875,246,124,"3,482","2,380",557,94,"4,258","1,841","3,536"
2021,5,20,"41,113","3,615","5,010","5,797",777,"1,432","3,140","1,864","1,259",334,180,"2,988","2,305","1,077",216,"4,667","1,845","4,607"
2021,5,30,"45,435","2,960","5,064","6,112","1,072","1,042","2,661","1,536",858,341,194,"4,001","2,204",884,185,"7,005","3,022","6,294"
2021,5,40,"65,470","5,665","8,566","9,687","1,227","1,502","5,053","2,097","1,596",461,239,"6,163","3,726","1,032",173,"7,812","3,655","6,816"
2021,5,50,"58,378","5,503","7,194","8,536","1,138","2,399","4,575","2,923","1,746",800,350,"4,131","2,912","1,919",382,"5,372","2,643","5,855"
