년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2021,4,40,"4,049",270,43,118,32,71,87,80,85,65,106,71,323,403,626,121,"1,548"
2021,4,50,"5,767",489,95,249,76,138,203,165,202,173,273,249,519,576,786,219,"1,355"
2021,4,60,"7,070",679,130,350,80,283,368,252,311,214,394,354,652,796,850,355,"1,002"
2021,4,70,"5,197",566,92,329,80,199,290,210,287,179,409,271,413,528,540,288,516
2021,4,80,"3,850",364,80,309,57,226,276,183,296,145,367,242,227,293,314,225,246
2021,4,90,661,63,15,58,14,46,65,35,48,24,50,51,23,43,42,35,49
2021,4,100,45,7,0,4,1,0,3,0,3,0,5,5,4,7,4,2,0
2021,5,총,"36,416","3,016",548,"1,661",409,"1,184","1,539","1,260","1,402",954,"1,894","1,431","2,987","3,663","4,540","1,571","8,357"
2021,5,0,"1,909",105,19,56,6,30,45,21,23,41,54,36,160,214,289,72,738
2021,5,10,"2,541",174,28,57,16,99,65,73,48,36,53,42,179,273,364,63,971
2021,5,20,"2,724",150,23,67,18,57,65,199,56,36,93,49,222,257,339,80,"1,013"
2021,5,30,"2,640",155,21,71,28,37,77,44,43,42,88,58,267,294,382,109,924
2021,5,40,"4,013",273,40,114,32,71,84,75,83,66,103,72,316,399,631,118,"1,536"
2021,5,50,"5,735",488,97,248,75,136,203,164,204,173,274,249,514,560,778,219,"1,353"
2021,5,60,"7,083",671,132,349,82,284,367,256,307,211,394,354,657,795,857,357,"1,010"
2021,5,70,"5,191",562,93,331,80,197,289,207,288,178,410,274,416,526,539,287,514
2021,5,80,"3,864",369,79,308,56,226,275,185,299,147,366,241,229,293,315,228,248
2021,5,90,671,62,16,56,15,47,66,36,48,24,54,51,23,45,42,36,50
2021,5,100,45,7,0,4,1,0,3,0,3,0,5,5,4,7,4,2,0
2021,6,총,"36,311","3,021",544,"1,656",409,"1,174","1,536","1,251","1,399",953,"1,884","1,424","2,974","3,661","4,521","1,554","8,350"
2021,6,0,"1,894",106,19,56,6,29,42,21,23,41,54,36,155,213,285,70,738
2021,6,10,"2,539",182,28,60,16,100,66,70,50,36,49,42,175,272,359,61,973
2021,6,20,"2,713",146,21,65,18,56,64,199,56,35,95,48,223,259,341,79,"1,008"
2021,6,30,"2,618",154,21,69,28,34,76,45,44,43,90,58,261,296,376,106,917
2021,6,40,"4,001",274,38,114,33,71,83,71,83,66,103,71,319,397,627,117,"1,534"
2021,6,50,"5,701",481,96,241,75,135,206,164,202,166,271,251,514,559,776,215,"1,349"
2021,6,60,"7,103",673,133,354,82,281,371,258,309,216,395,351,655,795,854,358,"1,018"
2021,6,70,"5,173",561,93,328,80,196,290,202,285,178,409,267,418,531,541,284,510
2021,6,80,"3,878",375,80,311,56,225,272,188,297,144,363,245,230,292,315,231,254
2021,6,90,662,62,15,56,14,47,65,33,47,28,51,51,23,45,44,32,49
2021,6,100,29,7,0,2,1,0,1,0,3,0,4,4,1,2,3,1,0
2021,7,총,"36,248","3,015",543,"1,654",407,"1,167","1,535","1,249","1,403",954,"1,880","1,424","2,974","3,657","4,501","1,557","8,328"
2021,7,0,"1,887",106,17,54,8,30,42,21,25,40,54,36,152,218,283,70,731
2021,7,10,"2,518",178,28,60,16,97,64,67,49,37,50,40,177,269,357,62,967
2021,7,20,"2,689",146,22,64,15,56,63,198,56,35,94,49,218,254,335,78,"1,006"
2021,7,30,"2,604",151,22,68,28,34,75,42,45,42,88,57,260,302,374,109,907
2021,7,40,"3,993",272,37,114,33,66,85,73,83,66,102,72,318,397,627,120,"1,528"
2021,7,50,"5,676",477,95,241,73,136,202,163,201,167,270,249,518,552,767,215,"1,350"
2021,7,60,"7,132",680,134,357,86,282,374,262,311,216,395,351,658,794,855,356,"1,021"
2021,7,70,"5,161",559,93,324,78,192,291,199,287,178,404,269,420,529,543,283,512
2021,7,80,"3,883",373,80,313,56,227,271,190,296,145,367,242,228,295,312,232,256
2021,7,90,675,66,15,57,13,47,67,34,47,28,52,55,24,45,45,31,49
2021,7,100,30,7,0,2,1,0,1,0,3,0,4,4,1,2,3,1,1
2021,8,총,"36,162","3,004",540,"1,646",404,"1,167","1,527","1,248","1,394",952,"1,881","1,432","2,964","3,640","4,494","1,556","8,313"
2021,8,0,"1,880",104,17,52,8,32,42,20,24,40,52,35,153,216,281,71,733
2021,8,10,"2,508",177,27,60,17,93,64,66,46,36,52,44,173,269,358,65,961
2021,8,20,"2,677",149,23,63,14,57,61,200,55,35,91,52,219,247,332,78,"1,001"
2021,8,30,"2,587",149,21,67,26,35,74,43,46,40,90,57,256,298,375,105,905
2021,8,40,"3,966",272,38,113,32,66,83,72,79,66,102,70,313,397,622,121,"1,520"
2021,8,50,"5,657",473,94,240,74,135,203,164,199,164,269,253,521,544,765,213,"1,346"
2021,8,60,"7,133",682,131,357,83,282,377,262,309,221,393,350,652,791,854,359,"1,030"
2021,8,70,"5,163",556,95,322,78,193,286,196,286,176,409,268,424,535,547,280,512
2021,8,80,"3,875",367,79,312,58,227,268,191,299,146,367,243,228,295,311,232,252
2021,8,90,686,68,15,58,13,47,68,34,48,28,52,56,24,46,46,31,52
2021,8,100,30,7,0,2,1,0,1,0,3,0,4,4,1,2,3,1,1
2021,9,총,"36,185","2,989",543,"1,637",410,"1,165","1,523","1,248","1,393",959,"1,873","1,432","2,980","3,647","4,506","1,548","8,332"
2021,9,0,"1,883",104,17,51,9,34,44,20,24,40,52,33,152,215,286,73,729
2021,9,10,"2,499",170,27,58,17,91,62,62,45,36,51,41,173,275,357,62,972
2021,9,20,"2,641",145,23,63,14,58,59,199,50,35,87,54,224,245,329,80,976
2021,9,30,"2,593",148,21,66,27,32,74,42,51,41,89,61,252,300,378,104,907
2021,9,40,"3,982",266,39,112,33,65,84,72,82,65,102,71,314,402,623,121,"1,531"
2021,9,50,"5,682",477,95,238,74,137,202,167,200,164,272,252,530,538,764,212,"1,360"
2021,9,60,"7,150",679,131,358,85,280,377,260,309,227,393,351,650,797,867,349,"1,037"
2021,9,70,"5,165",556,96,319,79,194,283,199,286,176,408,268,433,530,545,283,510
2021,9,80,"3,869",368,79,310,58,224,268,193,296,147,364,242,225,299,309,231,256
2021,9,90,690,68,15,60,13,50,69,34,47,28,51,55,26,44,45,32,53
2021,9,100,31,8,0,2,1,0,1,0,3,0,4,4,1,2,3,1,1
2021,10,총,"36,240","2,996",539,"1,642",415,"1,160","1,518","1,258","1,386",963,"1,869","1,427","2,959","3,668","4,533","1,556","8,351"
2021,10,0,"1,884",104,16,53,9,32,45,21,23,42,48,34,147,213,290,70,737
2021,10,10,"2,492",169,26,58,17,91,63,64,43,38,51,40,167,278,359,62,966
2021,10,20,"2,676",144,23,65,15,57,59,209,50,34,86,54,221,249,340,86,984
2021,10,30,"2,599",148,21,70,30,32,74,42,50,40,88,61,247,304,386,105,901
2021,10,40,"3,982",270,36,110,33,64,84,73,79,67,98,73,317,405,625,122,"1,526"
2021,10,50,"5,692",478,97,235,77,136,201,164,197,165,274,248,521,544,763,215,"1,377"
2021,10,60,"7,159",680,130,360,84,277,376,263,315,227,394,347,651,794,871,347,"1,043"
2021,10,70,"5,158",561,95,316,77,195,281,199,281,176,410,267,435,532,543,282,508
2021,10,80,"3,881",367,81,313,59,225,267,190,299,147,362,243,224,302,311,234,257
2021,10,90,685,67,14,59,13,51,67,33,46,27,54,56,28,45,42,32,51
2021,10,100,32,8,0,3,1,0,1,0,3,0,4,4,1,2,3,1,1
2021,11,총,"36,231","2,999",538,"1,646",405,"1,173","1,525","1,254","1,383",970,"1,867","1,412","2,948","3,663","4,541","1,559","8,348"
2021,11,0,"1,874",106,15,53,9,31,48,21,23,42,48,33,143,204,297,66,735
2021,11,10,"2,498",171,26,57,16,99,63,60,43,39,49,40,167,277,363,65,963
2021,11,20,"2,684",138,21,69,15,58,57,212,48,33,87,52,224,257,339,90,984
2021,11,30,"2,571",150,21,69,27,32,76,41,50,42,85,57,240,296,389,104,892
2021,11,40,"3,977",273,35,110,34,63,85,71,77,70,100,67,316,406,625,118,"1,527"
2021,11,50,"5,677",475,99,234,72,140,203,163,201,167,268,241,518,542,759,217,"1,378"
2021,11,60,"7,173",683,132,360,83,282,376,262,314,230,398,352,649,796,870,345,"1,041"
2021,11,70,"5,156",556,91,318,78,193,283,200,280,174,412,264,436,534,544,278,515
2021,11,80,"3,899",371,84,314,58,224,266,191,299,147,362,245,224,304,311,242,257
2021,11,90,691,68,14,59,12,51,67,33,46,26,54,57,30,45,41,33,55
2021,11,100,31,8,0,3,1,0,1,0,2,0,4,4,1,2,3,1,1
2021,12,총,"36,235","2,984",538,"1,642",410,"1,163","1,525","1,256","1,400",981,"1,866","1,410","2,944","3,634","4,561","1,573","8,348"
2021,12,0,"1,873",104,15,52,8,31,49,21,23,42,47,33,140,196,299,69,744
2021,12,10,"2,482",171,25,56,16,95,62,57,43,40,48,39,166,277,362,64,961
2021,12,20,"2,684",140,19,66,16,57,52,216,52,37,85,55,221,252,350,91,975
2021,12,30,"2,560",151,21,68,27,29,75,39,52,45,82,54,247,285,387,107,891
2021,12,40,"3,989",270,35,107,38,66,89,74,78,69,103,66,312,409,623,121,"1,529"
2021,12,50,"5,671",471,99,236,73,140,209,163,201,167,265,242,510,537,762,217,"1,379"
2021,12,60,"7,201",682,136,361,83,279,375,264,323,232,402,354,649,794,874,351,"1,042"
2021,12,70,"5,150",548,90,320,78,191,284,200,282,175,412,267,438,533,545,276,511
2021,12,80,"3,905",378,84,312,58,225,262,191,296,148,364,239,229,302,315,243,259
2021,12,90,694,67,14,61,12,50,66,31,48,26,54,57,31,47,41,33,56
2021,12,100,26,2,0,3,1,0,2,0,2,0,4,4,1,2,3,1,1
