년도,월,나이,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020,10,20,"3,572,849","709,822","225,503","172,890","209,569","109,569","111,640","81,724","18,658","948,109","100,801","110,372","133,832","114,269","111,397","160,420","210,724","43,550"
2020,10,30,"3,554,522","741,388","215,859","154,141","210,479","95,488","101,876","81,298","29,744","982,705","87,592","103,423","145,159","97,999","98,398","156,294","210,767","41,912"
2020,10,40,"4,222,636","760,281","257,763","190,148","247,655","120,124","118,869","95,852","34,640","1,167,816","115,380","125,175","174,829","139,046","139,484","200,759","276,787","58,028"
2020,10,50,"4,367,890","750,451","277,278","208,878","256,576","115,928","121,052","107,021","23,211","1,131,227","138,131","141,169","179,829","155,215","168,032","238,080","297,544","58,268"
2020,10,60,"3,262,004","583,531","249,794","153,832","179,874","77,439","86,131","72,373","14,571","750,482","118,629","110,091","137,625","125,112","135,743","200,606","226,982","39,189"
2020,10,70,"1,658,170","319,781","131,736","76,315","80,533","41,161","41,301","28,235","6,513","345,864","60,724","54,168","77,324","74,708","84,086","107,181","107,961","20,579"
2020,10,80,"601,436","106,866","40,954","26,928","26,344","13,850","14,362","7,402","2,395","124,854","25,204","22,247","34,953","30,462","34,282","43,922","38,552","7,859"
2020,10,90,"56,511","11,116","3,272","2,041","2,650","1,229","1,342",517,257,"12,348","2,541","2,056","3,342","3,015","3,164","3,821","3,220",580
2020,10,100,"5,284","1,763",415,171,250,55,88,34,11,"1,157",260,158,205,176,120,210,171,40
2020,11,총,"25,844,667","4,708,321","1,663,055","1,195,081","1,473,795","718,370","731,701","584,305","176,336","6,748,061","776,079","810,903","1,082,311","897,393","929,986","1,328,939","1,681,719","338,312"
2020,11,0,"2,043,177","322,150","119,651","91,649","117,812","61,716","59,078","50,834","24,193","587,954","54,177","63,315","88,844","66,230","67,558","98,142","138,815","31,059"
2020,11,10,"2,486,789","402,968","141,060","118,587","141,315","81,788","76,123","59,281","21,207","685,381","71,856","77,907","105,463","90,888","87,029","119,047","169,920","36,969"
2020,11,20,"3,573,644","708,862","225,107","172,473","209,376","109,568","111,566","81,504","18,805","950,169","101,050","110,554","133,976","114,282","111,655","160,482","210,604","43,611"
2020,11,30,"3,546,511","739,692","215,058","153,596","210,123","95,156","101,563","80,872","29,868","982,103","87,402","103,297","144,828","97,693","98,106","155,646","209,653","41,855"
2020,11,40,"4,219,100","758,623","257,696","189,849","247,531","119,919","118,585","95,742","34,925","1,168,172","115,326","124,973","174,751","138,765","139,243","200,508","276,528","57,964"
2020,11,50,"4,367,091","749,975","276,797","208,679","256,431","115,948","120,929","106,843","23,384","1,132,149","137,978","141,201","179,977","155,101","167,976","237,956","297,450","58,317"
2020,11,60,"3,280,340","585,409","250,776","154,521","181,049","77,787","86,615","72,840","14,738","756,203","119,420","110,832","138,420","125,721","136,489","201,758","228,418","39,344"
2020,11,70,"1,661,611","320,133","131,981","76,427","80,775","41,285","41,385","28,376","6,548","346,710","60,705","54,280","77,499","74,976","84,314","107,356","108,200","20,661"
2020,11,80,"604,332","107,577","41,233","27,066","26,471","13,900","14,408","7,459","2,398","125,663","25,344","22,328","34,995","30,526","34,328","44,007","38,722","7,907"
2020,11,90,"56,764","11,164","3,280","2,058","2,656","1,249","1,362",520,259,"12,399","2,559","2,058","3,354","3,034","3,167","3,827","3,233",585
2020,11,100,"5,308","1,768",416,176,256,54,87,34,11,"1,158",262,158,204,177,121,210,176,40
2020,12,총,"25,841,029","4,701,723","1,661,000","1,193,109","1,473,943","717,348","730,699","583,708","177,568","6,754,469","776,505","811,591","1,082,634","896,874","930,615","1,329,211","1,681,423","338,609"
2020,12,0,"2,035,712","320,275","119,173","91,285","117,356","61,487","58,822","50,619","24,188","586,787","54,030","63,068","88,428","66,002","67,356","97,729","138,139","30,968"
2020,12,10,"2,478,773","401,285","140,558","118,103","141,025","81,458","75,777","59,174","21,419","682,846","71,555","77,703","105,190","90,603","86,808","118,670","169,631","36,968"
2020,12,20,"3,573,667","707,669","224,517","171,675","209,363","109,335","111,421","81,200","19,050","951,737","101,305","110,849","134,208","114,209","112,080","160,830","210,511","43,708"
2020,12,30,"3,541,548","737,901","214,297","153,070","210,025","94,869","101,293","80,565","30,004","982,843","87,423","103,283","144,598","97,465","97,929","155,283","208,912","41,788"
2020,12,40,"4,214,971","756,950","257,288","189,358","247,402","119,545","118,238","95,644","35,188","1,168,836","115,276","124,974","174,709","138,330","138,946","200,206","276,112","57,969"
2020,12,50,"4,362,544","748,582","276,068","208,340","256,037","115,860","120,638","106,610","23,494","1,132,305","137,661","140,958","179,676","154,888","168,090","237,742","297,249","58,346"
2020,12,60,"3,298,604","587,294","251,584","155,170","182,261","78,051","87,060","73,250","14,935","761,522","120,154","111,733","139,575","126,312","137,191","202,941","230,016","39,555"
2020,12,70,"1,664,340","320,416","132,206","76,599","80,868","41,434","41,509","28,575","6,602","347,382","60,730","54,272","77,607","75,155","84,379","107,476","108,436","20,694"
2020,12,80,"608,461","108,339","41,604","27,260","26,682","13,995","14,485","7,503","2,415","126,549","25,547","22,539","35,055","30,700","34,535","44,291","38,987","7,975"
2020,12,90,"57,058","11,221","3,285","2,073","2,665","1,259","1,367",533,263,"12,505","2,558","2,051","3,384","3,033","3,179","3,831","3,253",598
2020,12,100,"5,351","1,791",420,176,259,55,89,35,10,"1,157",266,161,204,177,122,212,177,40
2021,1,총,"25,838,512","4,695,999","1,659,527","1,191,656","1,473,639","716,929","730,396","583,402","178,656","6,765,862","775,727","811,057","1,082,095","896,115","930,132","1,328,384","1,680,383","338,553"
2021,1,0,"2,022,468","317,563","118,407","90,568","116,621","61,027","58,464","50,226","24,186","584,069","53,706","62,672","87,762","65,428","66,870","97,000","137,066","30,833"
2021,1,10,"2,473,667","399,754","140,305","117,595","140,769","81,112","75,482","59,084","21,631","682,503","71,226","77,417","104,987","90,373","86,567","118,494","169,474","36,894"
2021,1,20,"3,566,435","704,862","223,537","171,170","208,707","109,299","111,283","80,996","19,200","952,644","100,951","110,536","133,789","113,901","111,795","160,287","209,823","43,655"
2021,1,30,"3,532,439","735,813","213,618","152,524","209,491","94,606","101,189","80,190","30,043","982,309","87,020","103,077","144,053","97,119","97,448","154,509","207,891","41,539"
2021,1,40,"4,210,504","755,311","256,870","188,820","247,140","119,313","118,023","95,574","35,393","1,169,698","114,956","124,791","174,740","137,909","138,677","199,686","275,701","57,902"
2021,1,50,"4,362,639","748,598","275,594","208,139","255,910","116,062","120,390","106,431","23,693","1,134,692","137,420","140,506","179,320","154,867","168,176","237,416","296,962","58,463"
2021,1,60,"3,323,601","590,203","252,875","156,192","183,897","78,515","87,810","73,981","15,140","769,505","120,964","112,689","140,779","127,079","137,960","204,435","231,794","39,783"
2021,1,70,"1,670,127","321,364","132,502","76,817","81,220","41,572","41,694","28,757","6,659","348,924","60,833","54,477","77,850","75,407","84,561","107,885","108,848","20,757"
2021,1,80,"613,527","109,372","42,054","27,551","26,951","14,099","14,576","7,589","2,436","127,700","25,807","22,669","35,204","30,798","34,718","44,562","39,359","8,082"
2021,1,90,"57,682","11,332","3,344","2,102","2,672","1,270","1,394",538,265,"12,643","2,576","2,062","3,404","3,055","3,238","3,895","3,288",604
2021,1,100,"5,423","1,827",421,178,261,54,91,36,10,"1,175",268,161,207,179,122,215,177,41
2021,2,총,"25,836,561","4,690,282","1,658,540","1,190,244","1,473,245","716,331","729,663","582,190","179,528","6,777,066","775,186","810,751","1,082,026","895,485","929,889","1,328,167","1,679,295","338,673"
2021,2,0,"2,013,879","315,565","118,018","90,171","116,109","60,752","58,062","49,895","24,220","582,577","53,578","62,436","87,340","65,055","66,530","96,462","136,256","30,853"
2021,2,10,"2,467,570","398,241","139,765","117,111","140,481","80,788","75,235","58,762","21,778","681,663","70,958","77,188","104,821","90,066","86,371","118,357","169,087","36,898"
2021,2,20,"3,555,102","701,927","222,783","170,285","207,750","108,914","111,005","80,445","19,239","952,514","100,402","110,006","133,001","113,441","111,414","159,730","208,823","43,423"
2021,2,30,"3,522,547","733,246","212,814","152,032","208,746","94,361","100,790","79,809","30,063","981,717","86,784","102,929","143,426","96,734","97,106","153,836","206,711","41,443"
2021,2,40,"4,211,408","754,506","257,146","188,481","247,319","119,358","117,977","95,488","35,638","1,171,899","114,658","124,645","175,060","137,729","138,583","199,533","275,500","57,888"
2021,2,50,"4,364,043","748,716","275,097","207,880","255,768","116,085","120,216","106,202","23,872","1,137,406","137,194","140,253","179,285","154,871","168,307","237,223","297,063","58,605"
2021,2,60,"3,346,265","592,809","253,816","157,160","185,546","78,869","88,425","74,454","15,313","776,618","121,861","113,739","142,045","127,800","138,566","205,870","233,377","39,997"
2021,2,70,"1,672,552","321,493","132,717","76,952","81,372","41,642","41,708","28,894","6,675","349,722","60,817","54,487","77,956","75,515","84,582","108,068","109,196","20,756"
2021,2,80,"619,492","110,577","42,571","27,861","27,185","14,231","14,752","7,660","2,452","128,993","26,076","22,832","35,430","31,000","35,010","44,927","39,782","8,153"
2021,2,90,"58,234","11,371","3,394","2,135","2,702","1,277","1,404",544,267,"12,768","2,584","2,071","3,453","3,092","3,297","3,944","3,316",615
2021,2,100,"5,469","1,831",419,176,267,54,89,37,11,"1,189",274,165,209,182,123,217,184,42
2021,3,총,"25,787,390","4,667,524","1,651,804","1,188,070","1,470,750","715,226","728,075","580,424","180,030","6,776,866","773,248","809,457","1,080,841","893,974","927,884","1,327,990","1,677,021","338,206"
