년도,월,나이,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020,8,70,"3,901",807,633,243,262,369,419,354,300,514
2020,8,80,"1,562",287,274,138,107,144,166,140,132,174
2020,8,90,169,40,25,10,14,14,17,13,14,22
2020,8,100,25,3,3,0,1,14,0,2,2,0
2020,9,총,"49,775","8,730","10,762","1,495","1,606","7,048","8,622","3,890","2,481","5,141"
2020,9,0,"3,199",478,718,26,33,856,599,151,89,249
2020,9,10,"4,043",720,"1,117",63,101,502,824,244,114,358
2020,9,20,"5,585",989,"1,355",97,104,772,"1,071",379,232,586
2020,9,30,"5,560",870,"1,150",108,101,"1,290","1,002",370,190,479
2020,9,40,"7,866","1,258","1,856",147,157,"1,243","1,591",577,310,727
2020,9,50,"9,921","1,755","2,199",303,293,"1,002","1,874",895,546,"1,054"
2020,9,60,"7,931","1,522","1,431",362,432,847,"1,054",764,549,970
2020,9,70,"3,898",810,628,243,261,366,417,354,302,517
2020,9,80,"1,575",284,278,136,109,143,172,141,133,179
2020,9,90,172,41,27,10,14,13,18,13,14,22
2020,9,100,25,3,3,0,1,14,0,2,2,0
2020,10,총,"49,643","8,703","10,715","1,497","1,598","7,047","8,612","3,855","2,472","5,144"
2020,10,0,"3,166",479,703,25,32,852,589,147,89,250
2020,10,10,"4,000",705,"1,105",64,91,509,820,238,112,356
2020,10,20,"5,567",986,"1,348",99,103,769,"1,072",372,228,590
2020,10,30,"5,518",855,"1,130",111,103,"1,290","1,001",362,189,477
2020,10,40,"7,830","1,256","1,844",146,159,"1,246","1,576",573,301,729
2020,10,50,"9,912","1,744","2,213",299,294,998,"1,884",887,545,"1,048"
2020,10,60,"7,968","1,540","1,432",362,431,846,"1,067",763,552,975
2020,10,70,"3,907",810,632,246,261,364,416,357,304,517
2020,10,80,"1,574",284,278,133,109,145,169,140,135,181
2020,10,90,176,41,27,12,14,14,18,14,15,21
2020,10,100,25,3,3,0,1,14,0,2,2,0
2020,11,총,"49,477","8,686","10,647","1,484","1,595","7,009","8,608","3,859","2,468","5,121"
2020,11,0,"3,107",476,685,23,33,838,574,142,89,247
2020,11,10,"3,979",698,"1,098",63,88,508,821,237,111,355
2020,11,20,"5,536",985,"1,341",97,103,765,"1,071",373,224,577
2020,11,30,"5,471",846,"1,108",110,104,"1,282",991,364,193,473
2020,11,40,"7,778","1,258","1,834",144,152,"1,229","1,575",567,297,722
2020,11,50,"9,911","1,736","2,203",297,299,"1,002","1,896",890,542,"1,046"
2020,11,60,"8,007","1,547","1,440",360,428,848,"1,077",771,557,979
2020,11,70,"3,913",810,630,247,263,366,418,359,301,519
2020,11,80,"1,569",285,278,131,110,142,166,140,136,181
2020,11,90,180,41,27,12,14,15,19,14,16,22
2020,11,100,26,4,3,0,1,14,0,2,2,0
2020,12,총,"49,388","8,668","10,630","1,478","1,596","7,002","8,591","3,851","2,455","5,117"
2020,12,0,"3,070",475,672,23,30,829,568,138,93,242
2020,12,10,"3,958",690,"1,090",62,87,510,813,237,110,359
2020,12,20,"5,549",994,"1,341",95,102,762,"1,082",370,219,584
2020,12,30,"5,438",831,"1,109",109,103,"1,278",987,357,194,470
2020,12,40,"7,746","1,256","1,824",144,156,"1,227","1,571",561,293,714
2020,12,50,"9,884","1,723","2,204",294,298,"1,001","1,884",899,535,"1,046"
2020,12,60,"8,061","1,564","1,450",368,426,859,"1,083",776,557,978
2020,12,70,"3,885",800,628,242,266,360,418,356,298,517
2020,12,80,"1,587",290,278,130,113,147,165,141,138,185
2020,12,90,183,41,30,11,14,15,20,14,16,22
2020,12,100,27,4,4,0,1,14,0,2,2,0
2021,1,총,"49,247","8,642","10,574","1,477","1,592","6,989","8,572","3,843","2,461","5,097"
2021,1,0,"3,043",469,663,24,28,829,558,138,93,241
2021,1,10,"3,936",689,"1,066",62,88,522,808,233,114,354
2021,1,20,"5,503",987,"1,328",93,99,741,"1,088",368,219,580
2021,1,30,"5,370",820,"1,090",108,100,"1,270",970,350,196,466
2021,1,40,"7,687","1,244","1,802",144,154,"1,220","1,560",559,294,710
2021,1,50,"9,865","1,705","2,219",292,295,"1,008","1,879",901,527,"1,039"
2021,1,60,"8,139","1,588","1,463",369,437,862,"1,098",782,561,979
2021,1,70,"3,903",804,631,243,263,358,423,361,299,521
2021,1,80,"1,595",294,278,131,114,150,167,137,139,185
2021,1,90,180,39,30,11,13,15,21,12,17,22
2021,1,100,26,3,4,0,1,14,0,2,2,0
2021,2,총,"49,129","8,640","10,540","1,472","1,586","6,971","8,545","3,844","2,448","5,083"
2021,2,0,"3,002",465,650,26,27,819,545,140,89,241
2021,2,10,"3,918",688,"1,058",63,84,519,811,227,114,354
2021,2,20,"5,472",979,"1,322",86,96,735,"1,086",375,220,573
2021,2,30,"5,322",819,"1,074",110,96,"1,268",959,343,192,461
2021,2,40,"7,636","1,239","1,796",140,150,"1,218","1,547",555,290,701
2021,2,50,"9,828","1,698","2,220",287,291,"1,004","1,876",890,530,"1,032"
2021,2,60,"8,229","1,607","1,472",372,448,874,"1,112",798,557,989
2021,2,70,"3,902",803,631,245,264,355,422,365,299,518
2021,2,80,"1,613",300,283,133,115,148,166,137,140,191
2021,2,90,180,39,30,10,14,17,21,12,15,22
2021,2,100,27,3,4,0,1,14,0,2,2,1
2021,3,총,"48,982","8,587","10,525","1,478","1,572","6,952","8,541","3,826","2,433","5,068"
2021,3,0,"2,989",455,651,26,28,821,545,136,87,240
2021,3,10,"3,904",680,"1,059",64,85,518,807,219,115,357
2021,3,20,"5,439",975,"1,312",85,96,726,"1,080",381,220,564
2021,3,30,"5,280",818,"1,072",110,93,"1,253",959,333,187,455
2021,3,40,"7,590","1,231","1,780",135,146,"1,223","1,548",546,287,694
2021,3,50,"9,774","1,681","2,213",287,283,"1,005","1,859",890,526,"1,030"
2021,3,60,"8,334","1,614","1,498",383,452,881,"1,138",807,562,999
2021,3,70,"3,886",795,630,246,263,358,422,363,296,513
2021,3,80,"1,609",302,281,131,112,150,163,138,138,194
2021,3,90,172,36,28,11,14,17,20,11,14,21
2021,3,100,5,0,1,0,0,0,0,2,1,1
2021,4,총,"48,943","8,586","10,551","1,477","1,575","6,944","8,535","3,815","2,423","5,037"
2021,4,0,"2,981",454,650,26,27,820,546,135,84,239
2021,4,10,"3,900",688,"1,056",64,82,522,801,218,116,353
2021,4,20,"5,416",968,"1,322",88,98,719,"1,076",382,215,548
2021,4,30,"5,247",803,"1,077",108,93,"1,246",960,331,186,443
2021,4,40,"7,568","1,235","1,770",136,146,"1,227","1,537",536,285,696
2021,4,50,"9,720","1,660","2,214",285,279,"1,003","1,858",880,523,"1,018"
2021,4,60,"8,429","1,642","1,516",382,462,884,"1,148",822,564,"1,009"
2021,4,70,"3,872",791,631,242,261,355,424,360,298,510
2021,4,80,"1,628",309,282,135,113,149,165,138,138,199
2021,4,90,176,35,32,11,14,19,20,11,13,21
2021,4,100,6,1,1,0,0,0,0,2,1,1
2021,5,총,"48,822","8,559","10,516","1,482","1,581","6,888","8,546","3,808","2,423","5,019"
2021,5,0,"2,970",445,646,28,28,823,545,135,85,235
2021,5,10,"3,894",688,"1,040",63,82,531,801,215,115,359
2021,5,20,"5,360",955,"1,303",87,100,706,"1,062",388,219,540
2021,5,30,"5,218",806,"1,066",107,90,"1,248",962,320,181,438
2021,5,40,"7,552","1,227","1,765",139,145,"1,222","1,543",536,286,689
2021,5,50,"9,695","1,658","2,214",285,279,"1,006","1,852",876,520,"1,005"
2021,5,60,"8,489","1,641","1,535",383,468,878,"1,167",824,570,"1,023"
2021,5,70,"3,850",794,630,245,261,333,424,359,294,510
2021,5,80,"1,623",310,285,134,114,130,170,142,138,200
2021,5,90,165,34,31,11,14,11,20,11,14,19
2021,5,100,6,1,1,0,0,0,0,2,1,1
2021,6,총,"48,812","8,538","10,507","1,482","1,572","6,884","8,566","3,818","2,426","5,019"
2021,6,0,"2,955",440,638,28,26,813,550,139,89,232
2021,6,10,"3,904",689,"1,042",60,83,544,792,214,115,365
2021,6,20,"5,357",948,"1,294",87,99,715,"1,069",394,216,535
2021,6,30,"5,194",791,"1,068",107,90,"1,239",965,314,180,440
2021,6,40,"7,510","1,223","1,751",135,141,"1,216","1,535",536,285,688
2021,6,50,"9,672","1,653","2,215",289,279,994,"1,864",871,511,996
2021,6,60,"8,561","1,647","1,551",385,469,890,"1,175",835,579,"1,030"
2021,6,70,"3,854",798,635,245,262,328,425,354,296,511
2021,6,80,"1,632",314,281,135,110,133,171,147,139,202
2021,6,90,167,34,31,11,13,12,20,12,15,19
2021,6,100,6,1,1,0,0,0,0,2,1,1
2021,7,총,"48,802","8,529","10,500","1,478","1,565","6,878","8,589","3,808","2,422","5,033"
2021,7,0,"2,923",437,631,28,25,795,551,138,87,231
2021,7,10,"3,896",683,"1,042",59,82,556,790,211,109,364
2021,7,20,"5,344",947,"1,288",83,98,707,"1,070",393,216,542
2021,7,30,"5,196",787,"1,067",108,87,"1,236",974,308,186,443
2021,7,40,"7,502","1,211","1,760",136,138,"1,229","1,533",525,283,687
2021,7,50,"9,656","1,652","2,206",285,277,986,"1,867",877,512,994
2021,7,60,"8,616","1,663","1,556",391,470,894,"1,187",840,578,"1,037"
2021,7,70,"3,861",804,634,243,263,331,427,354,294,511
2021,7,80,"1,639",311,284,134,112,132,170,148,144,204
2021,7,90,163,33,31,11,13,12,20,12,12,19
2021,7,100,6,1,1,0,0,0,0,2,1,1
2021,8,총,"48,801","8,530","10,483","1,485","1,565","6,891","8,587","3,808","2,417","5,035"
2021,8,0,"2,897",439,618,28,27,781,545,136,87,236
2021,8,10,"3,894",685,"1,036",62,74,568,787,211,110,361
2021,8,20,"5,321",940,"1,278",81,98,699,"1,080",389,213,543
2021,8,30,"5,197",781,"1,071",110,87,"1,250",967,310,184,437
2021,8,40,"7,480","1,214","1,737",137,142,"1,240","1,515",518,287,690
2021,8,50,"9,648","1,644","2,210",281,275,976,"1,886",873,507,996
2021,8,60,"8,676","1,669","1,582",396,473,898,"1,188",853,582,"1,035"
2021,8,70,"3,870",807,636,246,265,331,430,353,289,513
2021,8,80,"1,649",315,284,133,111,136,170,150,146,204
2021,8,90,163,35,30,11,13,12,19,13,11,19
2021,8,100,6,1,1,0,0,0,0,2,1,1
2021,9,총,"48,723","8,520","10,467","1,480","1,550","6,903","8,567","3,789","2,419","5,028"
2021,9,0,"2,891",438,621,26,27,772,542,139,86,240
2021,9,10,"3,853",685,"1,016",61,60,577,782,208,107,357
2021,9,20,"5,276",925,"1,261",85,98,707,"1,068",382,218,532
2021,9,30,"5,179",779,"1,073",107,88,"1,239",965,309,183,436
2021,9,40,"7,459","1,210","1,723",135,142,"1,247","1,517",511,291,683
2021,9,50,"9,642","1,639","2,225",275,272,977,"1,872",874,505,"1,003"
2021,9,60,"8,727","1,684","1,598",397,474,903,"1,206",847,584,"1,034"
2021,9,70,"3,859",801,634,245,264,330,425,352,289,519
2021,9,80,"1,671",323,284,138,112,139,174,152,144,205
2021,9,90,160,35,31,11,13,12,16,13,11,18
2021,9,100,6,1,1,0,0,0,0,2,1,1
2021,10,총,"48,741","8,517","10,473","1,474","1,545","6,914","8,567","3,795","2,429","5,027"
2021,10,0,"2,858",437,618,26,26,756,534,138,86,237
2021,10,10,"3,861",679,"1,009",61,60,588,787,211,110,356
2021,10,20,"5,258",920,"1,252",83,97,716,"1,056",381,221,532
2021,10,30,"5,162",775,"1,079",106,88,"1,232",964,307,178,433
2021,10,40,"7,444","1,205","1,721",133,143,"1,248","1,520",507,288,679
2021,10,50,"9,663","1,643","2,220",273,271,989,"1,879",875,507,"1,006"
2021,10,60,"8,781","1,689","1,621",398,474,900,"1,213",853,593,"1,040"
2021,10,70,"3,865",804,630,246,262,334,426,358,287,518
2021,10,80,"1,678",329,289,136,110,139,172,150,147,206
2021,10,90,165,35,33,12,14,12,16,13,11,19
2021,10,100,6,1,1,0,0,0,0,2,1,1
2021,11,총,"48,796","8,511","10,500","1,465","1,554","6,915","8,590","3,792","2,425","5,044"
2021,11,0,"2,809",429,612,24,29,736,527,135,85,232
2021,11,10,"3,878",680,"1,017",61,59,591,793,209,110,358
2021,11,20,"5,253",917,"1,270",78,97,717,"1,050",377,215,532
2021,11,30,"5,187",772,"1,076",108,90,"1,243",973,303,183,439
2021,11,40,"7,448","1,207","1,735",132,141,"1,244","1,522",501,285,681
2021,11,50,"9,648","1,641","2,203",269,278,990,"1,882",880,504,"1,001"
2021,11,60,"8,843","1,700","1,635",397,469,905,"1,228",859,596,"1,054"
2021,11,70,"3,876",800,631,248,266,335,426,362,290,518
2021,11,80,"1,686",331,288,136,111,142,173,151,145,209
2021,11,90,162,33,32,12,14,12,16,13,11,19
2021,11,100,6,1,1,0,0,0,0,2,1,1
2021,12,총,"48,883","8,515","10,490","1,467","1,560","6,929","8,629","3,793","2,440","5,060"
2021,12,0,"2,802",425,605,26,31,739,525,134,83,234
2021,12,10,"3,875",680,"1,004",59,59,597,800,208,114,354
2021,12,20,"5,286",911,"1,279",79,100,722,"1,067",376,217,535
2021,12,30,"5,197",773,"1,082",108,89,"1,234",980,306,181,444
2021,12,40,"7,465","1,214","1,725",130,145,"1,254","1,522",504,293,678
2021,12,50,"9,662","1,636","2,201",271,277,990,"1,894",872,508,"1,013"
2021,12,60,"8,855","1,711","1,636",398,468,908,"1,223",862,594,"1,055"
2021,12,70,"3,877",801,634,243,265,333,428,366,291,516
2021,12,80,"1,695",330,290,140,112,140,174,150,147,212
2021,12,90,163,33,33,13,14,12,16,13,11,18
2021,12,100,6,1,1,0,0,0,0,2,1,1
