년도,월,나이,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020,4,20,"2,824",475,789,520,71,67,192,152,109,142,70,142,95
2020,4,30,"2,836",397,"1,031",587,74,61,147,120,84,90,63,89,93
2020,4,40,"4,539",570,"1,714",820,110,121,226,239,125,190,111,173,140
2020,4,50,"5,372",786,"1,411",792,202,228,375,351,244,300,175,289,219
2020,4,60,"3,912",544,717,258,153,235,395,385,245,282,183,269,246
2020,4,70,"2,632",399,357,98,127,168,270,291,153,247,151,203,168
2020,4,80,"1,221",158,100,27,93,76,142,106,90,118,98,116,97
2020,4,90,108,22,8,4,12,9,9,7,6,10,3,15,3
2020,4,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,5,총,"27,886","4,124","7,916","3,889",930,"1,035","1,921","1,812","1,172","1,537",933,"1,461","1,156"
2020,5,0,"1,925",348,781,358,45,23,49,69,48,67,31,67,39
2020,5,10,"2,463",428,976,392,45,50,110,87,72,97,50,104,52
2020,5,20,"2,856",479,798,547,71,64,191,152,108,140,70,140,96
2020,5,30,"2,822",393,"1,023",587,74,60,148,119,85,88,61,90,94
2020,5,40,"4,531",562,"1,721",816,107,122,233,238,123,190,109,169,141
2020,5,50,"5,390",790,"1,420",797,205,227,373,353,242,299,177,289,218
2020,5,60,"3,920",548,723,263,150,237,395,388,244,280,181,265,246
2020,5,70,"2,639",398,363,97,129,167,268,290,154,246,151,206,170
2020,5,80,"1,225",155,102,28,92,76,142,109,89,120,99,116,97
2020,5,90,108,22,8,4,11,9,9,7,7,10,3,15,3
2020,5,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,6,총,"27,892","4,127","7,941","3,864",931,"1,036","1,923","1,803","1,172","1,541",939,"1,461","1,154"
2020,6,0,"1,919",349,781,353,44,20,49,69,48,68,32,70,36
2020,6,10,"2,464",428,983,387,47,49,110,87,71,93,53,103,53
2020,6,20,"2,848",476,806,543,70,64,187,151,110,141,68,137,95
2020,6,30,"2,809",389,"1,017",584,74,60,147,113,87,90,62,92,94
2020,6,40,"4,533",565,"1,728",802,109,125,236,238,121,192,109,167,141
2020,6,50,"5,364",782,"1,417",796,202,223,369,354,238,300,177,289,217
2020,6,60,"3,971",559,733,272,153,242,402,385,250,277,183,268,247
2020,6,70,"2,641",399,365,95,128,167,269,292,151,251,152,204,168
2020,6,80,"1,231",157,102,28,92,77,142,108,89,120,99,117,100
2020,6,90,105,22,8,4,11,9,9,6,7,9,3,14,3
2020,6,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,7,총,"27,869","4,117","7,973","3,858",921,"1,033","1,916","1,800","1,167","1,541",933,"1,460","1,150"
2020,7,0,"1,911",340,784,349,45,20,51,67,50,69,32,70,34
2020,7,10,"2,444",432,969,386,45,50,105,85,70,95,52,102,53
2020,7,20,"2,873",478,832,547,70,62,187,152,108,139,70,135,93
2020,7,30,"2,790",383,"1,021",582,72,58,142,112,86,91,59,89,95
2020,7,40,"4,512",564,"1,726",794,107,122,239,234,119,190,109,166,142
2020,7,50,"5,360",776,"1,414",800,199,226,371,357,237,300,176,289,215
2020,7,60,"3,991",562,748,272,154,242,396,388,251,276,181,273,248
2020,7,70,"2,642",398,366,95,126,168,272,291,152,249,153,205,167
2020,7,80,"1,235",161,104,29,91,77,141,108,87,123,97,117,100
2020,7,90,104,22,8,4,11,8,9,6,7,9,3,14,3
2020,7,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,8,총,"27,777","4,125","7,954","3,807",913,"1,039","1,910","1,790","1,165","1,543",929,"1,455","1,147"
2020,8,0,"1,867",336,768,330,44,20,50,64,51,66,34,71,33
2020,8,10,"2,421",435,968,380,44,50,103,80,69,93,49,100,50
2020,8,20,"2,875",478,840,545,69,63,183,155,107,140,71,131,93
2020,8,30,"2,742",384,"1,002",558,71,59,145,110,84,92,59,86,92
2020,8,40,"4,486",563,"1,716",784,108,121,237,228,119,188,109,171,142
2020,8,50,"5,375",777,"1,422",806,198,226,370,359,237,302,174,288,216
2020,8,60,"4,016",569,758,273,153,246,397,387,252,280,179,271,251
2020,8,70,"2,650",398,370,96,126,168,273,290,151,251,153,207,167
2020,8,80,"1,233",161,101,31,89,78,140,111,88,121,97,116,100
2020,8,90,105,23,8,4,10,8,9,6,7,10,3,14,3
2020,8,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,9,총,"27,750","4,124","7,966","3,785",910,"1,044","1,907","1,783","1,159","1,535",927,"1,457","1,153"
2020,9,0,"1,843",330,761,320,44,22,48,64,51,63,34,74,32
2020,9,10,"2,414",440,960,382,44,49,103,77,67,94,49,99,50
2020,9,20,"2,892",477,860,548,69,63,185,155,105,136,72,129,93
2020,9,30,"2,700",380,997,534,69,57,143,108,84,93,60,85,90
2020,9,40,"4,480",563,"1,711",788,110,121,236,227,116,184,104,174,146
2020,9,50,"5,375",773,"1,430",810,191,229,366,357,236,301,175,286,221
2020,9,60,"4,043",575,760,272,159,249,401,387,254,282,179,274,251
2020,9,70,"2,655",401,378,95,125,166,272,290,154,251,152,205,166
2020,9,80,"1,239",162,101,33,88,80,140,112,87,121,98,117,100
2020,9,90,102,22,7,3,10,8,10,6,5,10,3,14,4
2020,9,100,7,1,1,0,1,0,3,0,0,0,1,0,0
2020,10,총,"27,704","4,103","7,977","3,788",911,"1,037","1,907","1,770","1,158","1,529",919,"1,452","1,153"
2020,10,0,"1,818",320,755,316,41,22,51,65,49,61,34,70,34
2020,10,10,"2,398",438,960,381,44,47,105,73,67,92,47,94,50
2020,10,20,"2,921",479,873,558,71,62,185,151,108,137,74,130,93
2020,10,30,"2,661",373,983,523,68,55,143,110,84,92,58,84,88
2020,10,40,"4,452",561,"1,715",783,107,120,232,220,114,179,100,175,146
2020,10,50,"5,383",768,"1,436",817,194,231,366,358,235,302,171,287,218
2020,10,60,"4,057",578,768,273,160,249,402,386,255,284,182,275,245
2020,10,70,"2,662",399,377,100,126,164,272,292,150,251,152,206,173
2020,10,80,"1,239",162,102,34,89,79,137,109,91,121,97,117,101
2020,10,90,105,24,7,3,10,8,11,6,5,9,3,14,5
2020,10,100,8,1,1,0,1,0,3,0,0,1,1,0,0
2020,11,총,"27,650","4,100","7,961","3,742",906,"1,042","1,905","1,775","1,161","1,529",917,"1,457","1,155"
2020,11,0,"1,796",319,748,301,41,23,50,65,48,62,34,70,35
2020,11,10,"2,390",438,963,375,43,47,103,72,69,90,46,95,49
2020,11,20,"2,936",476,883,551,71,63,189,155,110,137,74,134,93
2020,11,30,"2,604",370,954,500,68,56,142,108,85,90,59,83,89
2020,11,40,"4,439",557,"1,708",785,106,119,231,223,115,176,100,172,147
2020,11,50,"5,357",758,"1,436",811,193,229,363,354,231,307,172,287,216
2020,11,60,"4,103",595,780,284,160,252,404,390,252,287,179,274,246
2020,11,70,"2,670",396,380,100,125,166,273,289,154,250,155,210,172
2020,11,80,"1,245",166,102,32,89,79,136,113,92,120,95,118,103
2020,11,90,102,24,6,3,9,8,11,6,5,9,2,14,5
2020,11,100,8,1,1,0,1,0,3,0,0,1,1,0,0
2020,12,총,"27,595","4,087","7,948","3,712",904,"1,050","1,902","1,775","1,160","1,530",913,"1,459","1,155"
2020,12,0,"1,769",319,737,292,38,23,50,64,49,60,32,71,34
2020,12,10,"2,369",431,960,366,47,48,103,69,67,91,46,94,47
2020,12,20,"2,950",475,882,544,69,65,196,160,109,141,74,139,96
2020,12,30,"2,584",368,952,481,70,57,141,108,85,91,59,83,89
2020,12,40,"4,406",548,"1,693",787,105,116,227,217,118,177,96,176,146
2020,12,50,"5,366",758,"1,447",815,195,233,356,355,232,304,172,284,215
2020,12,60,"4,134",604,793,290,157,254,404,393,251,291,180,272,245
2020,12,70,"2,652",396,369,102,125,165,272,286,152,247,156,208,174
2020,12,80,"1,257",165,108,32,88,80,139,117,92,118,95,119,104
2020,12,90,100,22,6,3,9,9,11,6,5,9,2,13,5
2020,12,100,8,1,1,0,1,0,3,0,0,1,1,0,0
2021,1,총,"27,602","4,076","7,960","3,734",905,"1,047","1,902","1,774","1,162","1,528",915,"1,461","1,138"
2021,1,0,"1,774",320,744,293,38,21,50,64,51,57,32,71,33
2021,1,10,"2,359",426,961,364,46,49,103,70,67,91,44,93,45
2021,1,20,"2,939",469,870,556,68,66,199,152,107,141,76,141,94
2021,1,30,"2,558",364,943,477,70,52,140,108,86,90,59,81,88
2021,1,40,"4,397",546,"1,696",783,107,114,227,219,117,175,96,173,144
2021,1,50,"5,378",753,"1,459",825,193,235,351,356,234,304,172,285,211
2021,1,60,"4,165",608,800,295,160,254,407,393,249,295,182,278,244
2021,1,70,"2,659",397,374,105,126,167,272,288,152,246,155,208,169
2021,1,80,"1,265",169,106,33,87,81,139,117,94,120,96,118,105
2021,1,90,100,23,6,3,9,8,11,7,5,8,2,13,5
2021,1,100,8,1,1,0,1,0,3,0,0,1,1,0,0
2021,2,총,"27,599","4,063","7,967","3,713",907,"1,044","1,906","1,768","1,162","1,542",921,"1,465","1,141"
2021,2,0,"1,753",319,734,283,38,20,51,65,51,56,32,73,31
2021,2,10,"2,347",420,956,359,46,48,102,70,67,94,47,93,45
2021,2,20,"2,943",468,879,556,70,66,198,147,104,142,75,143,95
2021,2,30,"2,548",358,930,472,70,52,142,109,91,90,60,84,90
2021,2,40,"4,384",548,"1,702",768,105,113,230,214,116,180,93,170,145
2021,2,50,"5,389",751,"1,464",837,196,235,352,356,232,306,173,278,209
2021,2,60,"4,187",607,811,298,157,256,406,392,251,298,185,282,244
2021,2,70,"2,671",401,377,104,128,167,273,290,152,245,154,210,170
2021,2,80,"1,265",166,106,33,87,80,139,118,93,121,97,119,106
2021,2,90,104,24,7,3,9,7,10,7,5,9,4,13,6
2021,2,100,8,1,1,0,1,0,3,0,0,1,1,0,0
2021,3,총,"27,581","4,050","8,000","3,737",903,"1,041","1,875","1,778","1,158","1,536",917,"1,457","1,129"
2021,3,0,"1,729",307,731,277,38,18,49,64,50,59,31,74,31
2021,3,10,"2,335",417,967,360,42,44,102,68,64,91,46,87,47
2021,3,20,"2,958",481,881,567,68,71,184,151,106,141,75,145,88
2021,3,30,"2,529",360,922,466,71,52,137,110,89,93,59,81,89
2021,3,40,"4,377",544,"1,710",777,103,106,222,210,119,172,93,175,146
2021,3,50,"5,387",740,"1,476",848,195,235,354,357,232,306,170,270,204
2021,3,60,"4,221",614,818,302,159,260,407,398,246,301,189,288,239
2021,3,70,"2,671",399,381,105,129,166,269,293,155,242,154,205,173
2021,3,80,"1,265",164,107,31,88,82,140,119,92,120,96,120,106
2021,3,90,105,24,6,4,9,7,10,8,5,10,4,12,6
2021,3,100,4,0,1,0,1,0,1,0,0,1,0,0,0
2021,4,총,"27,586","4,044","8,002","3,764",909,"1,035","1,865","1,773","1,153","1,535",919,"1,457","1,130"
2021,4,0,"1,710",302,721,276,40,18,49,63,48,56,31,75,31
2021,4,10,"2,334",417,969,357,43,44,103,69,63,90,46,85,48
2021,4,20,"2,952",480,883,577,64,68,177,154,106,140,74,142,87
2021,4,30,"2,507",354,917,464,76,48,134,108,87,92,57,79,91
2021,4,40,"4,383",545,"1,729",776,102,105,219,207,118,173,91,174,144
2021,4,50,"5,398",734,"1,473",863,196,233,352,355,232,306,173,274,207
2021,4,60,"4,255",626,816,309,162,263,410,400,247,301,193,291,237
2021,4,70,"2,666",398,380,105,128,166,267,290,156,245,152,204,175
2021,4,80,"1,273",164,109,33,89,83,143,119,91,121,97,121,103
2021,4,90,105,24,5,4,8,7,10,8,5,10,5,12,7
2021,4,100,3,0,0,0,1,0,1,0,0,1,0,0,0
2021,5,총,"27,608","4,032","8,019","3,754",907,"1,038","1,858","1,779","1,158","1,542",916,"1,473","1,132"
2021,5,0,"1,696",290,714,272,42,18,49,63,50,59,30,77,32
2021,5,10,"2,337",417,975,354,42,44,98,70,67,91,46,86,47
2021,5,20,"2,949",482,884,571,65,70,174,153,106,141,73,143,87
2021,5,30,"2,486",350,909,460,75,48,131,109,88,91,55,81,89
2021,5,40,"4,355",536,"1,724",776,100,102,219,209,117,170,85,171,146
2021,5,50,"5,442",737,"1,491",867,197,237,351,356,232,309,178,281,206
2021,5,60,"4,277",636,822,310,163,261,414,399,246,301,195,292,238
2021,5,70,"2,677",398,382,106,126,168,268,289,158,248,151,206,177
2021,5,80,"1,278",162,113,34,88,82,144,121,89,121,98,123,103
2021,5,90,109,24,5,4,8,8,10,10,5,10,5,13,7
2021,5,100,2,0,0,0,1,0,0,0,0,1,0,0,0
2021,6,총,"27,555","4,029","8,037","3,743",909,"1,035","1,855","1,765","1,152","1,531",920,"1,454","1,125"
2021,6,0,"1,685",287,715,268,42,17,48,63,48,58,29,78,32
2021,6,10,"2,320",415,971,354,41,45,97,69,65,89,45,84,45
2021,6,20,"2,932",481,891,558,66,70,175,147,108,138,74,140,84
2021,6,30,"2,475",346,906,467,75,47,127,109,86,89,56,79,88
2021,6,40,"4,351",540,"1,725",775,101,102,221,210,115,169,85,164,144
2021,6,50,"5,416",733,"1,491",865,195,235,349,349,232,306,177,277,207
2021,6,60,"4,314",644,834,315,165,262,414,399,247,302,200,291,241
2021,6,70,"2,676",399,382,104,128,168,271,288,157,246,151,206,176
2021,6,80,"1,275",159,117,33,87,81,144,121,89,123,98,122,101
2021,6,90,109,25,5,4,8,8,9,10,5,10,5,13,7
2021,6,100,2,0,0,0,1,0,0,0,0,1,0,0,0
2021,7,총,"27,567","4,031","8,029","3,772",906,"1,031","1,847","1,757","1,153","1,534",918,"1,462","1,127"
2021,7,0,"1,671",286,706,266,40,18,49,62,48,59,28,76,33
2021,7,10,"2,316",418,964,356,42,44,96,68,63,92,46,81,46
2021,7,20,"2,921",476,887,566,63,72,169,145,109,135,70,145,84
2021,7,30,"2,455",343,899,468,73,44,126,109,85,89,55,77,87
2021,7,40,"4,347",541,"1,724",784,100,102,214,209,117,165,84,167,140
2021,7,50,"5,439",739,"1,495",872,199,233,349,347,232,308,179,279,207
2021,7,60,"4,363",648,851,319,165,261,419,401,245,308,202,297,247
2021,7,70,"2,662",393,379,105,127,168,272,285,160,244,150,205,174
2021,7,80,"1,283",163,119,32,88,80,144,122,89,123,99,122,102
2021,7,90,108,24,5,4,8,9,9,9,5,10,5,13,7
2021,7,100,2,0,0,0,1,0,0,0,0,1,0,0,0
2021,8,총,"27,504","4,006","8,015","3,766",908,"1,032","1,837","1,754","1,153","1,533",914,"1,464","1,122"
2021,8,0,"1,656",283,700,263,38,19,46,61,48,60,28,76,34
2021,8,10,"2,298",415,949,353,44,43,96,65,64,94,47,82,46
2021,8,20,"2,913",473,888,567,62,73,171,146,108,133,63,149,80
2021,8,30,"2,434",332,896,464,74,43,121,109,83,89,58,78,87
2021,8,40,"4,350",542,"1,732",782,102,102,216,205,118,163,86,163,139
2021,8,50,"5,411",725,"1,488",880,199,233,342,348,230,304,175,279,208
2021,8,60,"4,384",656,856,319,163,262,422,403,247,311,203,298,244
2021,8,70,"2,660",391,381,103,129,168,272,286,162,243,150,203,172
2021,8,80,"1,287",165,120,31,88,79,142,122,88,125,99,123,105
2021,8,90,109,24,5,4,8,10,9,9,5,10,5,13,7
2021,8,100,2,0,0,0,1,0,0,0,0,1,0,0,0
2021,9,총,"27,484","3,989","8,034","3,758",913,"1,031","1,839","1,749","1,153","1,537",912,"1,455","1,114"
2021,9,0,"1,648",283,700,259,39,19,42,63,46,60,28,76,33
2021,9,10,"2,278",408,945,345,46,39,100,65,64,93,47,80,46
2021,9,20,"2,904",466,896,573,62,74,171,141,108,131,63,141,78
2021,9,30,"2,419",332,888,454,74,45,122,111,82,92,55,79,85
2021,9,40,"4,346",539,"1,737",782,103,101,211,202,119,164,88,162,138
2021,9,50,"5,400",720,"1,493",883,198,228,341,350,230,304,173,274,206
2021,9,60,"4,420",658,867,325,165,268,425,401,246,311,206,303,245
2021,9,70,"2,654",394,380,103,128,166,277,279,164,243,147,204,169
2021,9,80,"1,300",164,123,30,88,81,141,127,89,128,100,122,107
2021,9,90,113,25,5,4,9,10,9,10,5,10,5,14,7
2021,9,100,2,0,0,0,1,0,0,0,0,1,0,0,0
2021,10,총,"27,495","3,986","8,050","3,784",908,"1,027","1,844","1,748","1,151","1,525",913,"1,446","1,113"
2021,10,0,"1,642",280,703,257,37,19,44,62,46,59,27,75,33
2021,10,10,"2,274",411,940,345,46,39,101,64,64,90,48,79,47
2021,10,20,"2,899",465,900,572,62,71,172,139,107,130,64,138,79
2021,10,30,"2,398",327,879,459,74,45,117,112,81,88,56,78,82
2021,10,40,"4,337",537,"1,740",788,104,98,208,200,118,163,88,159,134
2021,10,50,"5,405",724,"1,494",889,195,232,344,349,232,299,170,272,205
2021,10,60,"4,470",657,885,333,167,269,431,405,243,318,209,305,248
2021,10,70,"2,655",396,382,106,128,165,275,276,166,243,146,206,166
2021,10,80,"1,300",163,123,31,86,80,143,130,89,125,99,119,112
2021,10,90,114,26,4,4,9,9,9,11,5,9,6,15,7
2021,10,100,1,0,0,0,0,0,0,0,0,1,0,0,0
2021,11,총,"27,488","3,970","8,090","3,761",908,"1,024","1,835","1,745","1,147","1,530",909,"1,453","1,116"
2021,11,0,"1,632",276,703,251,38,18,43,61,44,63,26,76,33
2021,11,10,"2,271",410,941,344,45,37,102,65,64,89,48,80,46
2021,11,20,"2,883",459,908,568,62,71,169,138,106,130,60,134,78
2021,11,30,"2,405",325,888,460,75,45,115,111,79,89,57,76,85
2021,11,40,"4,311",534,"1,736",778,97,94,205,199,118,163,89,164,134
2021,11,50,"5,416",721,"1,505",884,200,234,346,350,230,298,170,273,205
2021,11,60,"4,492",663,892,337,167,272,431,403,243,323,205,307,249
2021,11,70,"2,653",396,388,103,131,164,268,273,168,239,149,208,166
2021,11,80,"1,308",161,124,32,85,80,146,134,90,125,98,120,113
2021,11,90,116,25,5,4,8,9,10,11,5,10,7,15,7
2021,11,100,1,0,0,0,0,0,0,0,0,1,0,0,0
2021,12,총,"27,485","3,966","8,103","3,735",911,"1,026","1,835","1,745","1,156","1,532",907,"1,452","1,117"
2021,12,0,"1,622",277,702,244,36,17,41,62,46,59,27,78,33
2021,12,10,"2,258",406,938,339,45,36,102,65,65,90,48,81,43
2021,12,20,"2,885",452,917,564,64,69,171,137,106,133,61,131,80
2021,12,30,"2,394",327,878,461,75,47,112,108,82,89,55,76,84
2021,12,40,"4,304",540,"1,736",768,99,91,207,201,113,163,86,166,134
2021,12,50,"5,438",717,"1,516",882,203,237,348,352,235,300,169,272,207
2021,12,60,"4,502",664,895,337,168,274,431,403,245,321,206,306,252
2021,12,70,"2,655",396,393,104,129,166,268,271,167,240,149,207,165
2021,12,80,"1,311",163,123,32,84,80,145,135,92,125,99,121,112
2021,12,90,115,24,5,4,8,9,10,11,5,11,7,14,7
2021,12,100,1,0,0,0,0,0,0,0,0,1,0,0,0
