년도,월,나이,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020,7,10,"108,296","22,412","10,124","12,288","10,114","5,613","6,578","21,725","4,311","3,101","3,687","2,641","10,976",449,"1,119",585,461,"1,024","1,129",982,"1,018","5,474","2,035",878,"1,745",239
2020,7,20,"124,220","24,327","10,951","13,376","11,741","6,463","7,486","25,521","4,046","4,171","3,490","2,673","16,144",614,"1,362",693,489,"1,054","1,169","1,080","1,483","5,372","1,793",863,"1,845",341
2020,7,30,"138,707","28,768","12,767","16,001","12,111","7,293","7,553","31,207","4,062","4,286","3,506","2,762","15,559",602,"1,490",716,484,"1,226","1,361","1,065","1,508","7,062","2,788",929,"1,991",378
2020,7,40,"184,558","38,659","17,351","21,308","17,734","9,199","10,797","36,304","6,795","5,799","5,483","4,105","20,304",911,"1,957","1,025",722,"1,757","1,977","1,730","1,926","9,455","3,201","1,356","2,859",503
2020,7,50,"223,084","45,241","20,155","25,086","22,727","11,469","13,044","33,967","8,938","8,538","8,116","5,870","22,201","1,903","4,087","2,255","1,372","2,967","3,570","2,622","3,912","8,881","3,878","2,717","4,002",807
2020,7,60,"200,768","38,902","18,054","20,848","20,342","10,926","12,862","18,485","9,349","9,079","9,141","6,791","17,325","2,496","5,785","2,707","1,688","3,803","4,703","2,936","4,331","6,376","4,653","3,214","4,056",818
2020,7,70,"134,321","19,448","8,907","10,541","13,619","7,670","9,256","8,936","6,628","6,914","7,290","5,298","10,748","2,203","5,158","2,293","1,536","3,605","3,599","2,300","3,136","4,338","3,862","2,647","3,276",561
2020,7,80,"89,390","10,192","4,479","5,713","8,774","5,342","6,264","5,468","4,368","4,599","5,655","3,666","5,952","1,699","4,046","1,571","1,155","2,536","2,905","1,760","2,327","2,900","3,224","2,072","2,618",297
2020,7,90,"14,374","1,701",716,985,"1,353",896,"1,099",911,759,574,994,626,801,254,612,239,179,398,459,233,355,460,523,371,521,56
2020,7,100,753,76,37,39,70,44,47,42,46,29,48,41,57,14,36,16,20,20,18,3,20,33,30,22,15,6
2020,8,총,"1,311,013","249,157","112,048","137,109","126,547","70,013","80,214","202,755","52,273","49,952","49,874","36,368","130,228","11,464","26,556","12,564","8,436","19,257","21,617","15,367","20,903","54,986","28,169","15,743","24,377","4,193"
2020,8,0,"93,598","19,505","8,600","10,905","8,053","5,135","5,153","20,352","3,037","2,879","2,542","1,955","10,228",331,940,480,352,879,755,714,963,"4,727","2,270",697,"1,448",203
2020,8,10,"107,979","22,333","10,106","12,227","10,065","5,591","6,571","21,699","4,292","3,090","3,669","2,621","10,957",449,"1,118",582,461,"1,024","1,124",976,"1,007","5,460","2,035",873,"1,746",236
2020,8,20,"123,652","24,231","10,872","13,359","11,719","6,421","7,514","25,380","4,017","4,153","3,474","2,672","16,094",615,"1,348",684,483,"1,056","1,163","1,059","1,455","5,310","1,774",848,"1,846",336
2020,8,30,"137,979","28,650","12,702","15,948","12,036","7,268","7,552","31,055","4,032","4,261","3,488","2,732","15,508",598,"1,471",710,485,"1,222","1,355","1,055","1,490","6,987","2,754",917,"1,982",371
2020,8,40,"184,215","38,593","17,323","21,270","17,667","9,202","10,774","36,256","6,790","5,789","5,465","4,086","20,281",906,"1,965","1,020",710,"1,744","1,965","1,719","1,918","9,453","3,199","1,365","2,847",501
