년도,월,나이,양양군,양양읍,서면,손양면,현북면,현남면,강현면
2020,8,30,"1,090",632,67,70,75,97,149
2020,8,40,"1,608",943,139,104,87,116,219
2020,8,50,"2,363","1,017",235,200,253,225,433
2020,8,60,"2,722",985,333,229,292,353,530
2020,8,70,"1,980",649,257,226,236,278,334
2020,8,80,"1,144",368,142,130,130,191,183
2020,8,90,248,78,34,18,24,52,42
2020,8,100,15,2,0,5,3,4,1
2020,9,총,"13,740","6,175","1,399","1,147","1,250","1,489","2,280"
2020,9,0,667,431,32,31,39,40,94
2020,9,10,894,531,75,63,36,68,121
2020,9,20,980,516,89,76,61,61,177
2020,9,30,"1,094",633,66,70,78,97,150
2020,9,40,"1,617",951,139,100,89,119,219
2020,9,50,"2,365","1,020",233,202,257,225,428
2020,9,60,"2,730",992,331,229,297,352,529
2020,9,70,"1,977",653,258,222,235,275,334
2020,9,80,"1,153",369,142,131,130,196,185
2020,9,90,248,77,34,18,25,52,42
2020,9,100,15,2,0,5,3,4,1
2020,10,총,"13,749","6,189","1,402","1,147","1,251","1,474","2,286"
2020,10,0,663,429,33,32,37,39,93
2020,10,10,880,532,74,60,35,61,118
2020,10,20,983,515,91,76,62,62,177
2020,10,30,"1,084",626,63,71,78,93,153
2020,10,40,"1,617",954,144,97,89,117,216
2020,10,50,"2,371","1,025",231,203,258,226,428
2020,10,60,"2,754","1,007",331,232,296,351,537
2020,10,70,"1,972",648,260,220,235,274,335
2020,10,80,"1,157",372,141,132,133,194,185
2020,10,90,253,79,34,19,25,53,43
2020,10,100,15,2,0,5,3,4,1
2020,11,총,"13,732","6,202","1,394","1,149","1,251","1,477","2,259"
2020,11,0,659,429,31,33,38,38,90
2020,11,10,867,533,69,59,38,57,111
2020,11,20,998,522,95,78,62,64,177
2020,11,30,"1,072",623,61,67,77,94,150
2020,11,40,"1,612",951,141,99,91,119,211
2020,11,50,"2,373","1,028",231,204,255,230,425
2020,11,60,"2,751","1,011",332,232,293,352,531
2020,11,70,"1,968",649,258,220,235,271,335
2020,11,80,"1,160",374,140,132,135,196,183
2020,11,90,256,80,36,20,24,52,44
2020,11,100,16,2,0,5,3,4,2
2020,12,총,"13,726","6,216","1,396","1,152","1,241","1,471","2,250"
2020,12,0,658,428,30,36,36,41,87
2020,12,10,868,533,72,57,41,57,108
2020,12,20,994,521,93,79,56,66,179
2020,12,30,"1,075",626,60,71,74,95,149
2020,12,40,"1,590",946,142,96,89,112,205
2020,12,50,"2,376","1,030",234,205,254,228,425
2020,12,60,"2,764","1,025",331,231,297,349,531
2020,12,70,"1,955",648,259,215,231,268,334
2020,12,80,"1,173",378,137,137,135,199,187
2020,12,90,257,79,38,20,25,52,43
2020,12,100,16,2,0,5,3,4,2
2021,1,총,"13,736","6,236","1,396","1,141","1,245","1,460","2,258"
2021,1,0,669,430,32,34,40,41,92
2021,1,10,847,519,75,54,38,56,105
2021,1,20,996,532,91,75,56,62,180
2021,1,30,"1,080",624,64,70,79,94,149
2021,1,40,"1,596",955,140,97,88,111,205
2021,1,50,"2,349","1,031",225,205,245,222,421
2021,1,60,"2,787","1,029",337,232,304,349,536
2021,1,70,"1,954",649,257,211,232,269,336
2021,1,80,"1,184",383,138,139,134,200,190
2021,1,90,259,82,37,20,26,52,42
2021,1,100,15,2,0,4,3,4,2
2021,2,총,"13,736","6,221","1,403","1,139","1,251","1,462","2,260"
2021,2,0,666,421,33,35,43,43,91
2021,2,10,841,517,75,51,41,55,102
2021,2,20,991,522,89,78,57,61,184
2021,2,30,"1,063",608,63,72,77,93,150
2021,2,40,"1,608",963,142,90,92,113,208
2021,2,50,"2,340","1,024",227,203,244,220,422
2021,2,60,"2,810","1,043",339,237,303,349,539
2021,2,70,"1,935",645,257,208,229,266,330
2021,2,80,"1,205",389,141,141,136,205,193
2021,2,90,262,87,37,20,26,53,39
2021,2,100,15,2,0,4,3,4,2
2021,3,총,"13,723","6,239","1,390","1,139","1,249","1,451","2,255"
2021,3,0,658,423,27,34,41,45,88
2021,3,10,841,521,73,50,40,55,102
2021,3,20,973,507,87,79,57,59,184
2021,3,30,"1,061",615,62,70,76,92,146
2021,3,40,"1,610",968,136,90,91,112,213
2021,3,50,"2,324","1,025",228,200,244,213,414
2021,3,60,"2,833","1,048",342,242,307,350,544
2021,3,70,"1,940",648,258,208,227,267,332
2021,3,80,"1,210",392,140,143,139,203,193
2021,3,90,260,89,36,21,25,52,37
2021,3,100,13,3,1,2,2,3,2
2021,4,총,"13,694","6,247","1,373","1,132","1,246","1,449","2,247"
2021,4,0,652,425,25,31,40,44,87
2021,4,10,841,515,73,51,39,57,106
2021,4,20,959,505,84,78,53,58,181
2021,4,30,"1,056",614,61,68,78,93,142
2021,4,40,"1,597",962,133,88,89,110,215
2021,4,50,"2,317","1,029",224,197,241,213,413
2021,4,60,"2,842","1,056",338,245,313,348,542
2021,4,70,"1,940",650,262,207,227,265,329
2021,4,80,"1,217",397,138,144,139,206,193
2021,4,90,260,90,35,21,25,52,37
2021,4,100,13,4,0,2,2,3,2
2021,5,총,"13,737","6,267","1,365","1,133","1,252","1,462","2,258"
2021,5,0,648,419,25,32,38,46,88
2021,5,10,843,515,69,50,42,58,109
2021,5,20,971,511,84,80,56,58,182
2021,5,30,"1,050",613,61,65,78,95,138
2021,5,40,"1,596",957,131,88,93,112,215
2021,5,50,"2,320","1,032",224,195,239,213,417
2021,5,60,"2,861","1,071",335,248,312,352,543
2021,5,70,"1,951",656,264,206,226,267,332
2021,5,80,"1,222",400,137,145,140,208,192
2021,5,90,263,90,35,22,26,50,40
2021,5,100,12,3,0,2,2,3,2
2021,6,총,"13,730","6,248","1,370","1,136","1,259","1,456","2,261"
2021,6,0,643,417,25,32,35,46,88
2021,6,10,844,517,68,50,41,59,109
2021,6,20,970,504,87,80,61,55,183
2021,6,30,"1,031",603,60,65,77,90,136
2021,6,40,"1,596",954,128,88,98,114,214
2021,6,50,"2,319","1,033",229,194,234,209,420
2021,6,60,"2,880","1,073",336,252,320,355,544
2021,6,70,"1,946",652,264,204,225,268,333
2021,6,80,"1,224",401,138,146,140,206,193
2021,6,90,265,91,35,23,26,51,39
2021,6,100,12,3,0,2,2,3,2
2021,7,총,"13,754","6,263","1,367","1,140","1,259","1,457","2,268"
2021,7,0,637,415,23,33,35,46,85
2021,7,10,849,520,68,49,41,58,113
2021,7,20,970,499,88,82,60,57,184
2021,7,30,"1,033",609,57,67,81,87,132
2021,7,40,"1,594",954,130,86,95,119,210
2021,7,50,"2,311","1,033",224,190,229,214,421
2021,7,60,"2,908","1,085",339,256,324,352,552
2021,7,70,"1,945",651,261,206,226,266,335
2021,7,80,"1,228",403,142,145,139,204,195
2021,7,90,268,91,35,24,27,51,40
2021,7,100,11,3,0,2,2,3,1
2021,8,총,"13,746","6,255","1,363","1,145","1,260","1,459","2,264"
2021,8,0,631,411,22,31,36,48,83
2021,8,10,852,519,67,54,41,56,115
2021,8,20,965,492,88,85,60,56,184
2021,8,30,"1,025",603,59,65,77,91,130
2021,8,40,"1,582",954,125,84,96,117,206
2021,8,50,"2,310","1,028",223,193,230,215,421
2021,8,60,"2,918","1,092",339,255,324,354,554
2021,8,70,"1,949",656,263,204,225,264,337
2021,8,80,"1,236",407,143,147,140,205,194
2021,8,90,267,90,34,25,29,50,39
2021,8,100,11,3,0,2,2,3,1
2021,9,총,"13,732","6,265","1,362","1,141","1,256","1,459","2,249"
2021,9,0,633,414,24,31,35,48,81
2021,9,10,848,518,65,54,40,57,114
2021,9,20,953,488,86,84,58,56,181
2021,9,30,"1,031",605,61,67,77,92,129
2021,9,40,"1,578",954,126,84,95,115,204
2021,9,50,"2,302","1,031",221,191,233,211,415
2021,9,60,"2,925","1,100",338,253,324,358,552
2021,9,70,"1,944",656,265,205,223,259,336
2021,9,80,"1,244",407,143,145,142,210,197
2021,9,90,263,89,33,25,27,50,39
2021,9,100,11,3,0,2,2,3,1
2021,10,총,"13,717","6,266","1,353","1,143","1,255","1,450","2,250"
2021,10,0,631,409,24,32,35,47,84
2021,10,10,845,520,64,55,40,56,110
2021,10,20,949,482,84,85,59,58,181
2021,10,30,"1,016",603,61,66,73,89,124
2021,10,40,"1,573",953,123,85,97,110,205
2021,10,50,"2,298","1,033",219,189,228,211,418
2021,10,60,"2,945","1,114",340,255,323,356,557
2021,10,70,"1,937",650,263,205,226,259,334
2021,10,80,"1,250",410,143,145,144,209,199
2021,10,90,262,89,32,24,28,52,37
2021,10,100,11,3,0,2,2,3,1
2021,11,총,"13,688","6,261","1,347","1,139","1,258","1,443","2,240"
2021,11,0,616,398,23,31,35,46,83
2021,11,10,839,525,65,53,38,56,102
2021,11,20,950,485,82,87,63,57,176
2021,11,30,"1,018",598,63,68,71,92,126
2021,11,40,"1,571",958,120,83,100,108,202
2021,11,50,"2,293","1,029",219,189,227,205,424
2021,11,60,"2,941","1,118",340,253,322,355,553
2021,11,70,"1,938",647,262,206,227,261,335
2021,11,80,"1,246",411,140,143,144,208,200
2021,11,90,265,89,33,24,29,52,38
2021,11,100,11,3,0,2,2,3,1
2021,12,총,"13,662","6,225","1,354","1,144","1,256","1,438","2,245"
2021,12,0,616,388,25,33,41,46,83
2021,12,10,834,522,70,51,38,52,101
2021,12,20,937,478,80,84,58,60,177
2021,12,30,"1,008",585,64,69,75,93,122
2021,12,40,"1,576",953,122,88,99,109,205
2021,12,50,"2,284","1,020",221,191,224,206,422
2021,12,60,"2,942","1,123",331,251,323,351,563
2021,12,70,"1,942",649,266,206,226,257,338
2021,12,80,"1,250",413,142,145,142,211,197
2021,12,90,263,90,33,24,28,51,37
2021,12,100,10,4,0,2,2,2,0
