년도,월,나이,부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
2020,2,20,"207,320","2,753","6,788","5,116","5,648","25,870","15,923","16,584","18,196","23,827","19,061","15,614","5,538","12,898","12,288","13,833","7,383"
2020,2,30,"211,215","2,085","5,553","4,742","5,265","23,325","16,889","15,833","17,055","24,789","18,690","12,911","12,983","14,082","12,066","12,450","12,497"
2020,2,40,"257,585","2,589","7,095","5,591","7,539","25,714","22,259","21,453","21,282","35,422","23,393","16,834","9,441","16,453","13,151","14,600","14,769"
2020,2,50,"299,679","3,613","9,020","7,397","10,093","30,705","23,818","22,644","29,254","37,251","29,140","22,244","8,029","18,438","15,264","21,574","11,195"
2020,2,60,"268,320","4,107","9,861","8,198","11,260","28,351","21,194","21,565","21,788","29,131","25,431","20,056","7,169","16,778","15,349","17,549","10,533"
2020,2,70,"157,231","2,812","6,870","6,108","8,185","17,447","11,594","13,519","11,179","16,867","13,754","11,659","3,314","9,603","9,127","8,830","6,363"
2020,2,80,"70,491","1,276","3,240","2,841","3,584","7,822","4,877","5,590","5,131","7,981","6,119","5,346","1,669","4,044","3,998","3,743","3,230"
2020,2,90,"11,238",251,569,402,591,"1,135",791,853,795,"1,250","1,016",873,348,635,633,530,566
2020,2,100,"1,410",64,83,69,94,177,114,108,77,114,128,153,30,58,52,56,33
2020,3,총,"1,737,680","21,310","55,439","45,445","58,736","184,027","139,576","139,028","146,212","209,750","159,787","121,334","63,362","108,731","93,161","107,204","84,578"
2020,3,0,"117,306",691,"2,687","2,004","2,796","10,744","9,774","9,357","9,772","14,144","10,479","6,732","9,483","7,515","5,148","6,591","9,389"
2020,3,10,"134,970","1,085","3,669","2,581","3,750","12,569","12,049","11,622","11,824","19,035","12,728","9,108","5,216","8,167","5,951","7,579","8,037"
2020,3,20,"207,749","2,754","6,807","5,206","5,619","26,023","15,927","16,664","18,088","23,819","19,047","15,592","5,548","12,983","12,354","13,792","7,526"
2020,3,30,"210,513","2,080","5,503","4,855","5,224","23,255","16,942","15,672","16,986","24,670","18,539","12,817","12,975","14,011","12,054","12,361","12,569"
2020,3,40,"256,949","2,570","7,080","5,628","7,493","25,639","22,312","21,392","21,145","35,239","23,288","16,737","9,499","16,388","13,122","14,533","14,884"
2020,3,50,"298,829","3,598","8,988","7,452","10,035","30,594","23,746","22,555","29,152","37,270","28,978","22,126","8,037","18,354","15,231","21,453","11,260"
2020,3,60,"269,746","4,109","9,897","8,229","11,313","28,472","21,298","21,642","21,958","29,267","25,601","20,133","7,209","16,922","15,389","17,663","10,644"
2020,3,70,"157,789","2,820","6,865","6,133","8,188","17,480","11,682","13,536","11,218","16,917","13,840","11,668","3,329","9,637","9,198","8,864","6,414"
2020,3,80,"71,038","1,280","3,290","2,884","3,624","7,936","4,922","5,610","5,181","8,003","6,140","5,395","1,677","4,063","4,021","3,770","3,242"
2020,3,90,"11,372",259,570,404,599,"1,138",811,868,810,"1,272","1,018",873,359,632,642,539,578
2020,3,100,"1,419",64,83,69,95,177,113,110,78,114,129,153,30,59,51,59,35
2020,4,총,"1,737,148","21,263","55,471","45,670","58,631","184,275","139,687","138,640","145,957","209,856","159,480","121,043","63,410","108,661","93,241","107,010","84,853"
2020,4,0,"116,870",686,"2,694","2,005","2,776","10,702","9,774","9,289","9,737","14,105","10,383","6,701","9,440","7,492","5,154","6,556","9,376"
2020,4,10,"134,605","1,072","3,654","2,580","3,744","12,562","12,033","11,560","11,732","18,977","12,684","9,053","5,260","8,139","5,935","7,544","8,076"
2020,4,20,"207,608","2,765","6,816","5,253","5,601","26,119","15,930","16,630","18,020","23,849","19,032","15,514","5,521","12,955","12,349","13,711","7,543"
2020,4,30,"210,019","2,067","5,491","4,909","5,188","23,298","16,932","15,507","16,910","24,639","18,407","12,762","12,959","13,971","12,103","12,274","12,602"
2020,4,40,"256,482","2,552","7,072","5,684","7,459","25,618","22,317","21,371","21,056","35,180","23,178","16,625","9,556","16,334","13,076","14,480","14,924"
2020,4,50,"298,107","3,577","8,953","7,436","9,981","30,519","23,742","22,444","29,051","37,270","28,917","22,059","8,004","18,315","15,192","21,339","11,308"
2020,4,60,"270,757","4,106","9,923","8,289","11,336","28,592","21,339","21,652","22,070","29,407","25,645","20,186","7,262","16,994","15,457","17,798","10,701"
2020,4,70,"158,359","2,829","6,894","6,130","8,212","17,583","11,737","13,557","11,260","16,975","13,916","11,697","3,320","9,667","9,233","8,900","6,449"
2020,4,80,"71,485","1,283","3,318","2,902","3,636","7,972","4,955","5,646","5,228","8,050","6,165","5,428","1,704","4,097","4,039","3,805","3,257"
2020,4,90,"11,426",262,571,413,602,"1,130",818,874,814,"1,289","1,025",861,352,637,653,544,581
2020,4,100,"1,430",64,85,69,96,180,110,110,79,115,128,157,32,60,50,59,36
2020,5,총,"1,736,767","21,285","55,549","45,703","58,521","184,387","139,665","138,459","145,944","209,516","159,300","120,880","63,548","108,615","93,214","106,804","85,377"
2020,5,0,"116,540",674,"2,708","2,003","2,756","10,695","9,751","9,231","9,692","14,053","10,354","6,655","9,422","7,455","5,131","6,529","9,431"
2020,5,10,"134,035","1,063","3,647","2,558","3,725","12,515","11,998","11,508","11,679","18,849","12,632","8,998","5,289","8,101","5,885","7,498","8,090"
2020,5,20,"207,800","2,766","6,825","5,289","5,577","26,181","15,932","16,680","18,025","23,823","18,993","15,561","5,521","12,954","12,384","13,669","7,620"
2020,5,30,"209,567","2,082","5,512","4,892","5,178","23,326","16,903","15,408","16,873","24,535","18,356","12,722","12,909","13,950","12,094","12,186","12,641"
2020,5,40,"255,913","2,549","7,078","5,684","7,431","25,522","22,276","21,307","21,010","35,048","23,094","16,536","9,619","16,296","13,038","14,436","14,989"
2020,5,50,"297,846","3,587","8,953","7,436","9,947","30,493","23,750","22,384","29,019","37,203","28,857","21,992","8,030","18,284","15,177","21,275","11,459"
2020,5,60,"271,387","4,108","9,915","8,296","11,332","28,663","21,362","21,677","22,176","29,492","25,712","20,233","7,317","17,059","15,436","17,844","10,765"
2020,5,70,"158,943","2,833","6,921","6,142","8,226","17,658","11,793","13,603","11,311","17,013","13,967","11,722","3,335","9,697","9,297","8,934","6,491"
2020,5,80,"71,820","1,296","3,340","2,918","3,654","8,007","4,964","5,666","5,265","8,090","6,170","5,455","1,718","4,117","4,058","3,830","3,272"
2020,5,90,"11,481",264,564,416,598,"1,147",826,885,815,"1,294","1,035",850,356,641,664,544,582
2020,5,100,"1,435",63,86,69,97,180,110,110,79,116,130,156,32,61,50,59,37
2020,6,총,"1,735,805","21,241","55,606","45,695","58,420","184,485","139,717","138,170","145,651","209,285","159,036","120,581","63,663","108,448","93,287","106,601","85,919"
2020,6,0,"116,069",666,"2,707","1,990","2,731","10,677","9,732","9,178","9,625","13,954","10,309","6,606","9,435","7,402","5,120","6,477","9,460"
2020,6,10,"133,597","1,056","3,636","2,542","3,723","12,447","12,014","11,432","11,622","18,794","12,558","8,947","5,322","8,070","5,848","7,457","8,129"
2020,6,20,"207,677","2,772","6,861","5,285","5,570","26,251","15,882","16,648","17,962","23,695","18,904","15,549","5,517","12,956","12,434","13,661","7,730"
2020,6,30,"209,155","2,082","5,523","4,882","5,157","23,348","16,911","15,308","16,798","24,519","18,281","12,626","12,917","13,852","12,130","12,125","12,696"
2020,6,40,"255,656","2,529","7,071","5,678","7,395","25,534","22,290","21,279","20,938","34,961","23,036","16,504","9,657","16,300","13,027","14,382","15,075"
2020,6,50,"296,602","3,562","8,935","7,411","9,886","30,365","23,663","22,279","28,853","37,099","28,706","21,855","8,028","18,186","15,125","21,135","11,514"
2020,6,60,"272,680","4,105","9,950","8,335","11,382","28,807","21,440","21,751","22,302","29,687","25,846","20,292","7,366","17,106","15,495","17,960","10,856"
2020,6,70,"159,545","2,852","6,926","6,167","8,223","17,718","11,873","13,638","11,384","17,060","14,036","11,742","3,323","9,744","9,332","8,983","6,544"
2020,6,80,"71,883","1,294","3,346","2,912","3,664","8,003","4,967","5,662","5,282","8,103","6,184","5,452","1,713","4,131","4,062","3,816","3,292"
2020,6,90,"11,503",260,564,423,591,"1,154",834,885,806,"1,298","1,047",851,354,639,664,546,587
2020,6,100,"1,438",63,87,70,98,181,111,110,79,115,129,157,31,62,50,59,36
2020,7,총,"1,735,163","21,253","55,621","45,705","58,290","184,742","139,731","137,916","145,310","209,305","158,809","120,214","63,771","108,361","93,169","106,426","86,540"
2020,7,0,"115,707",663,"2,713","1,977","2,701","10,663","9,675","9,138","9,578","13,961","10,265","6,543","9,431","7,376","5,083","6,433","9,507"
2020,7,10,"133,267","1,046","3,649","2,537","3,691","12,417","12,009","11,397","11,545","18,751","12,526","8,893","5,372","8,038","5,805","7,420","8,171"
2020,7,20,"207,395","2,797","6,839","5,284","5,544","26,386","15,842","16,599","17,831","23,627","18,830","15,482","5,508","12,945","12,436","13,620","7,825"
2020,7,30,"208,514","2,078","5,518","4,899","5,132","23,358","16,885","15,185","16,730","24,418","18,216","12,541","12,872","13,790","12,112","12,063","12,717"
2020,7,40,"255,579","2,538","7,080","5,670","7,378","25,546","22,299","21,213","20,883","34,942","22,960","16,435","9,761","16,315","13,008","14,320","15,231"
2020,7,50,"296,054","3,553","8,886","7,403","9,830","30,380","23,622","22,235","28,722","37,113","28,628","21,769","7,998","18,117","15,071","21,083","11,644"
2020,7,60,"273,506","4,112","9,987","8,332","11,401","28,868","21,534","21,764","22,402","29,831","25,905","20,302","7,400","17,163","15,523","18,033","10,949"
2020,7,70,"160,057","2,843","6,941","6,174","8,232","17,768","11,927","13,708","11,445","17,115","14,103","11,760","3,314","9,780","9,343","9,020","6,584"
2020,7,80,"72,135","1,298","3,357","2,938","3,695","8,027","4,988","5,675","5,284","8,129","6,203","5,475","1,724","4,143","4,073","3,830","3,296"
2020,7,90,"11,507",262,564,421,588,"1,150",836,890,811,"1,302","1,044",858,359,632,665,545,580
2020,7,100,"1,442",63,87,70,98,179,114,112,79,116,129,156,32,62,50,59,36
2020,8,총,"1,734,610","21,272","55,552","45,723","58,089","184,754","139,631","137,678","144,906","208,981","158,359","119,975","64,442","108,808","93,251","106,210","86,979"
2020,8,0,"115,391",650,"2,702","1,968","2,667","10,589","9,652","9,100","9,472","13,913","10,169","6,521","9,550","7,445","5,075","6,384","9,534"
2020,8,10,"132,791","1,030","3,621","2,542","3,679","12,351","11,981","11,300","11,475","18,650","12,429","8,826","5,464","8,051","5,817","7,365","8,210"
2020,8,20,"207,149","2,836","6,825","5,271","5,506","26,499","15,756","16,608","17,715","23,578","18,729","15,453","5,533","12,967","12,427","13,572","7,874"
2020,8,30,"207,944","2,068","5,470","4,899","5,052","23,320","16,835","15,078","16,612","24,296","18,083","12,473","13,052","13,886","12,104","11,997","12,719"
2020,8,40,"255,318","2,520","7,091","5,664","7,356","25,513","22,294","21,145","20,762","34,861","22,856","16,376","9,895","16,368","13,046","14,250","15,321"
2020,8,50,"295,348","3,554","8,846","7,363","9,772","30,286","23,553","22,152","28,660","36,987","28,533","21,687","8,026","18,139","15,038","21,013","11,739"
2020,8,60,"274,897","4,126","10,038","8,386","11,419","29,047","21,635","21,862","22,498","29,978","26,042","20,369","7,463","17,267","15,602","18,124","11,041"
2020,8,70,"160,303","2,855","6,942","6,175","8,226","17,756","11,962","13,734","11,477","17,126","14,111","11,769","3,343","9,826","9,338","9,052","6,611"
2020,8,80,"72,449","1,300","3,364","2,958","3,724","8,065","5,004","5,697","5,339","8,170","6,229","5,475","1,720","4,168","4,089","3,844","3,303"
2020,8,90,"11,566",268,565,427,588,"1,148",844,890,818,"1,307","1,050",868,364,626,664,548,591
2020,8,100,"1,454",65,88,70,100,180,115,112,78,115,128,158,32,65,51,61,36
2020,9,총,"1,734,195","21,248","55,510","45,589","57,954","184,729","139,524","137,506","144,629","208,856","157,932","119,767","65,389","108,955","93,436","105,978","87,193"
2020,9,0,"114,935",649,"2,686","1,967","2,643","10,533","9,592","9,039","9,400","13,882","10,073","6,471","9,693","7,441","5,076","6,304","9,486"
2020,9,10,"132,493","1,025","3,609","2,522","3,643","12,310","11,975","11,253","11,420","18,576","12,362","8,791","5,561","8,053","5,822","7,330","8,241"
2020,9,20,"207,044","2,828","6,831","5,225","5,495","26,555","15,705","16,623","17,632","23,526","18,682","15,426","5,625","12,961","12,484","13,530","7,916"
2020,9,30,"207,217","2,056","5,441","4,866","5,009","23,271","16,765","15,004","16,527","24,203","17,906","12,390","13,250","13,877","12,079","11,936","12,637"
2020,9,40,"254,997","2,519","7,067","5,629","7,316","25,500","22,218","21,098","20,688","34,783","22,748","16,331","10,062","16,377","13,080","14,175","15,406"
2020,9,50,"294,838","3,519","8,826","7,321","9,740","30,160","23,550","22,080","28,593","36,993","28,410","21,617","8,139","18,138","15,045","20,924","11,783"
2020,9,60,"276,340","4,144","10,074","8,417","11,457","29,214","21,737","21,944","22,625","30,095","26,202","20,442","7,556","17,380","15,656","18,235","11,162"
2020,9,70,"160,386","2,870","6,947","6,147","8,219","17,715","11,982","13,731","11,466","17,145","14,124","11,761","3,372","9,847","9,378","9,080","6,602"
2020,9,80,"72,831","1,305","3,376","2,995","3,742","8,142","5,041","5,737","5,370","8,215","6,231","5,492","1,726","4,174","4,105","3,856","3,324"
2020,9,90,"11,656",268,564,430,590,"1,149",845,883,831,"1,323","1,066",888,373,641,660,546,599
2020,9,100,"1,458",65,89,70,100,180,114,114,77,115,128,158,32,66,51,62,37
2020,10,총,"1,733,321","21,227","55,690","45,521","57,781","185,063","139,371","137,178","144,216","208,921","157,460","119,549","65,972","108,874","93,389","105,703","87,406"
2020,10,0,"114,341",633,"2,702","1,954","2,605","10,548","9,541","8,976","9,301","13,856","9,938","6,433","9,771","7,360","5,065","6,228","9,430"
2020,10,10,"132,051","1,010","3,619","2,511","3,620","12,274","11,953","11,173","11,347","18,530","12,305","8,717","5,628","8,044","5,798","7,262","8,260"
2020,10,20,"206,916","2,846","6,831","5,235","5,466","26,635","15,673","16,618","17,507","23,508","18,598","15,422","5,641","12,970","12,496","13,519","7,951"
2020,10,30,"206,289","2,044","5,479","4,843","4,948","23,308","16,690","14,870","16,398","24,147","17,714","12,302","13,365","13,775","12,033","11,812","12,561"
2020,10,40,"254,719","2,510","7,103","5,599","7,285","25,522","22,212","21,011","20,569","34,734","22,661","16,285","10,212","16,381","13,004","14,122","15,509"
2020,10,50,"294,295","3,520","8,842","7,291","9,668","30,178","23,454","22,027","28,509","36,983","28,293","21,549","8,203","18,116","15,046","20,819","11,797"
2020,10,60,"277,737","4,149","10,115","8,442","11,514","29,372","21,835","22,022","22,784","30,267","26,308","20,520","7,618","17,473","15,720","18,336","11,262"
2020,10,70,"160,592","2,873","6,947","6,138","8,218","17,697","11,985","13,717","11,503","17,167","14,176","11,773","3,397","9,859","9,384","9,120","6,638"
2020,10,80,"73,233","1,309","3,394","3,000","3,769","8,188","5,075","5,770","5,387","8,279","6,268","5,505","1,737","4,184","4,133","3,878","3,357"
2020,10,90,"11,687",268,569,438,589,"1,157",839,882,832,"1,334","1,071",887,368,643,661,545,604
2020,10,100,"1,461",65,89,70,99,184,114,112,79,116,128,156,32,69,49,62,37
2020,11,총,"1,732,459","21,207","55,761","45,428","57,636","185,666","139,165","136,939","143,896","208,741","157,074","119,420","66,333","108,665","93,309","105,457","87,762"
2020,11,0,"113,688",628,"2,708","1,940","2,571","10,562","9,506","8,902","9,218","13,785","9,822","6,387","9,769","7,291","5,026","6,146","9,427"
2020,11,10,"131,800","1,006","3,612","2,494","3,605","12,272","11,942","11,145","11,278","18,479","12,262","8,664","5,707","8,017","5,773","7,233","8,311"
2020,11,20,"206,802","2,836","6,847","5,184","5,427","26,768","15,671","16,605","17,432","23,444","18,584","15,451","5,671","12,959","12,460","13,455","8,008"
2020,11,30,"205,378","2,046","5,475","4,854","4,921","23,405","16,557","14,786","16,261","24,023","17,552","12,210","13,375","13,654","11,981","11,757","12,521"
2020,11,40,"254,428","2,488","7,088","5,564","7,247","25,603","22,160","20,926","20,505","34,681","22,591","16,257","10,326","16,366","12,987","14,050","15,589"
2020,11,50,"293,757","3,513","8,827","7,263","9,629","30,253","23,356","21,974","28,437","36,966","28,183","21,462","8,236","18,018","15,024","20,772","11,844"
2020,11,60,"278,979","4,161","10,162","8,466","11,540","29,544","21,924","22,073","22,899","30,397","26,410","20,611","7,704","17,551","15,782","18,402","11,353"
2020,11,70,"160,880","2,883","6,973","6,128","8,224","17,714","12,009","13,728","11,555","17,186","14,175","11,786","3,403","9,882","9,408","9,141","6,685"
2020,11,80,"73,593","1,310","3,411","3,024","3,787","8,202","5,091","5,813","5,409","8,329","6,287","5,539","1,747","4,209","4,161","3,896","3,378"
2020,11,90,"11,689",271,570,441,586,"1,160",834,873,824,"1,335","1,079",895,362,648,659,543,609
2020,11,100,"1,465",65,88,70,99,183,115,114,78,116,129,158,33,70,48,62,37
2020,12,총,"1,730,946","21,241","55,794","45,392","57,496","185,966","139,010","136,694","143,425","208,551","156,529","119,071","66,712","108,457","93,321","105,181","88,106"
2020,12,0,"113,183",631,"2,705","1,936","2,546","10,538","9,458","8,842","9,172","13,758","9,729","6,370","9,769","7,236","5,019","6,063","9,411"
2020,12,10,"131,456",995,"3,598","2,485","3,570","12,264","11,969","11,098","11,175","18,423","12,183","8,573","5,765","8,032","5,736","7,206","8,384"
2020,12,20,"206,470","2,873","6,865","5,169","5,417","26,866","15,581","16,622","17,319","23,335","18,483","15,395","5,704","12,905","12,510","13,413","8,013"
2020,12,30,"204,717","2,047","5,449","4,843","4,890","23,482","16,499","14,710","16,149","23,993","17,415","12,099","13,388","13,530","11,986","11,696","12,541"
2020,12,40,"253,860","2,455","7,091","5,543","7,206","25,607","22,120","20,838","20,416","34,606","22,466","16,166","10,445","16,323","12,953","13,941","15,684"
2020,12,50,"292,845","3,512","8,811","7,216","9,580","30,206","23,283","21,930","28,248","36,895","28,026","21,353","8,259","17,966","14,997","20,688","11,875"
2020,12,60,"280,036","4,182","10,194","8,499","11,581","29,658","21,981","22,096","23,030","30,506","26,536","20,680","7,787","17,590","15,817","18,460","11,439"
2020,12,70,"161,093","2,884","6,977","6,137","8,222","17,734","12,029","13,742","11,562","17,214","14,162","11,789","3,413","9,904","9,410","9,197","6,717"
2020,12,80,"74,076","1,329","3,449","3,053","3,798","8,256","5,133","5,828","5,439","8,377","6,307","5,585","1,781","4,251","4,189","3,905","3,396"
2020,12,90,"11,743",268,567,441,587,"1,171",840,874,833,"1,328","1,093",905,367,650,657,551,611
2020,12,100,"1,467",65,88,70,99,184,117,114,82,116,129,156,34,70,47,61,35
2021,1,총,"1,729,861","21,280","55,683","45,301","57,351","186,117","138,997","136,559","143,207","208,369","156,159","118,721","66,990","108,337","93,228","104,982","88,580"
2021,1,0,"112,409",616,"2,660","1,915","2,520","10,487","9,435","8,749","9,093","13,674","9,605","6,309","9,766","7,190","4,987","6,014","9,389"
2021,1,10,"131,255","1,008","3,591","2,457","3,555","12,265","11,967","11,054","11,102","18,453","12,135","8,533","5,819","7,987","5,723","7,168","8,438"
2021,1,20,"205,776","2,879","6,834","5,144","5,354","26,906","15,520","16,558","17,273","23,248","18,410","15,248","5,671","12,854","12,497","13,347","8,033"
2021,1,30,"204,198","2,068","5,393","4,836","4,877","23,564","16,447","14,663","16,108","23,938","17,268","12,042","13,415","13,463","11,938","11,624","12,554"
2021,1,40,"253,321","2,436","7,098","5,528","7,185","25,518","22,087","20,824","20,301","34,463","22,365","16,080","10,561","16,279","12,905","13,911","15,780"
2021,1,50,"292,087","3,516","8,764","7,188","9,510","30,111","23,247","21,899","28,146","36,852","27,893","21,250","8,266","17,967","14,941","20,551","11,986"
2021,1,60,"281,513","4,197","10,232","8,512","11,602","29,809","22,084","22,155","23,202","30,640","26,719","20,771","7,861","17,686","15,899","18,575","11,569"
2021,1,70,"161,379","2,884","6,993","6,118","8,226","17,756","12,063","13,784","11,589","17,204","14,204","11,801","3,433","9,904","9,408","9,253","6,759"
2021,1,80,"74,550","1,338","3,470","3,083","3,836","8,311","5,180","5,868","5,464","8,425","6,325","5,609","1,786","4,286","4,230","3,915","3,424"
2021,1,90,"11,893",271,560,450,584,"1,204",850,894,842,"1,355","1,106",920,378,650,654,563,612
2021,1,100,"1,480",67,88,70,102,186,117,111,87,117,129,158,34,71,46,61,36
2021,2,총,"1,729,221","21,289","55,630","45,269","57,238","186,262","138,966","136,366","142,971","208,208","155,980","118,524","67,206","108,293","93,191","104,910","88,918"
2021,2,0,"111,971",618,"2,652","1,904","2,485","10,430","9,435","8,691","9,031","13,665","9,548","6,288","9,736","7,154","4,982","5,967","9,385"
2021,2,10,"130,951","1,027","3,583","2,434","3,550","12,243","11,907","11,051","11,040","18,378","12,119","8,491","5,854","7,980","5,680","7,132","8,482"
2021,2,20,"205,230","2,885","6,821","5,155","5,348","26,964","15,482","16,476","17,147","23,146","18,300","15,132","5,717","12,787","12,480","13,350","8,040"
2021,2,30,"203,211","2,066","5,359","4,819","4,827","23,546","16,339","14,546","16,047","23,799","17,145","11,985","13,337","13,399","11,905","11,536","12,556"
2021,2,40,"253,339","2,434","7,070","5,498","7,176","25,548","22,135","20,779","20,226","34,427","22,345","16,068","10,664","16,292","12,912","13,871","15,894"
2021,2,50,"291,497","3,484","8,731","7,187","9,478","30,019","23,218","21,885","28,066","36,774","27,842","21,159","8,317","17,951","14,887","20,474","12,025"
2021,2,60,"282,791","4,204","10,258","8,528","11,591","29,951","22,154","22,213","23,351","30,816","26,825","20,857","7,927","17,768","15,974","18,738","11,636"
2021,2,70,"161,610","2,885","7,015","6,117","8,232","17,763","12,104","13,776","11,602","17,242","14,252","11,810","3,440","9,902","9,408","9,267","6,795"
2021,2,80,"75,167","1,349","3,486","3,106","3,854","8,392","5,228","5,929","5,530","8,472","6,369","5,655","1,804","4,332","4,251","3,955","3,455"
2021,2,90,"11,965",269,567,451,594,"1,220",845,910,843,"1,372","1,106",921,376,657,664,557,613
2021,2,100,"1,489",68,88,70,103,186,119,110,88,117,129,158,34,71,48,63,37
2021,3,총,"1,720,595","21,201","54,868","45,005","56,510","184,942","138,290","135,679","142,496","207,507","155,239","117,864","67,239","107,471","92,865","104,535","88,884"
2021,3,0,"111,391",615,"2,636","1,916","2,470","10,356","9,380","8,667","8,990","13,628","9,496","6,239","9,703","7,080","4,965","5,905","9,345"
2021,3,10,"130,565","1,016","3,589","2,427","3,520","12,207","11,882","11,058","10,994","18,255","12,070","8,470","5,903","7,938","5,641","7,119","8,476"
2021,3,20,"204,788","2,889","6,830","5,152","5,294","27,037","15,436","16,443","17,038","23,031","18,286","15,151","5,706","12,664","12,443","13,327","8,061"
2021,3,30,"201,990","2,063","5,274","4,853","4,760","23,426","16,229","14,437","15,923","23,643","17,018","11,883","13,321","13,282","11,925","11,444","12,509"
2021,3,40,"251,760","2,420","6,957","5,436","7,072","25,329","22,014","20,637","20,147","34,289","22,182","15,925","10,707","16,156","12,818","13,776","15,895"
2021,3,50,"289,077","3,461","8,558","7,088","9,294","29,755","23,076","21,702","27,844","36,582","27,655","20,928","8,279","17,774","14,760","20,302","12,019"
2021,3,60,"282,866","4,205","10,148","8,508","11,528","29,817","22,113","22,162","23,545","30,908","26,851","20,906","7,991","17,716","15,984","18,825","11,659"
2021,3,70,"160,766","2,889","6,882","6,045","8,126","17,496","12,049","13,696","11,587","17,254","14,208","11,757","3,436","9,855","9,386","9,282","6,818"
2021,3,80,"75,230","1,360","3,447","3,100","3,843","8,315","5,231","5,934","5,560","8,512","6,371","5,684","1,811","4,336","4,264","3,980","3,482"
2021,3,90,"11,547",267,524,435,555,"1,154",820,891,835,"1,345","1,069",865,365,639,653,536,594
2021,3,100,615,16,23,45,48,50,60,52,33,60,33,56,17,31,26,39,26
2021,4,총,"1,719,452","21,189","54,924","44,974","56,429","184,695","138,116","135,408","142,582","207,429","154,966","117,689","67,413","107,286","92,956","104,413","88,983"
2021,4,0,"110,857",607,"2,648","1,917","2,453","10,308","9,312","8,603","8,986","13,577","9,405","6,201","9,663","7,043","4,968","5,872","9,294"
2021,4,10,"130,295",997,"3,567","2,417","3,509","12,147","11,863","11,033","10,936","18,208","12,032","8,433","5,964","7,932","5,659","7,096","8,502"
2021,4,20,"204,361","2,899","6,842","5,152","5,272","26,952","15,407","16,406","16,978","22,979","18,225","15,101","5,721","12,617","12,442","13,298","8,070"
2021,4,30,"201,536","2,063","5,271","4,850","4,752","23,408","16,187","14,303","15,990","23,614","16,920","11,834","13,307","13,199","11,927","11,444","12,467"
2021,4,40,"251,556","2,414","6,964","5,446","7,068","25,242","21,935","20,614","20,160","34,265","22,121","15,916","10,806","16,110","12,819","13,713","15,963"
2021,4,50,"287,971","3,448","8,550","7,044","9,233","29,597","22,994","21,645","27,734","36,493","27,510","20,822","8,236","17,736","14,709","20,205","12,015"
2021,4,60,"283,992","4,213","10,181","8,509","11,542","29,969","22,197","22,162","23,720","31,034","27,009","20,974","8,063","17,739","16,036","18,914","11,730"
2021,4,70,"160,955","2,899","6,879","6,044","8,142","17,485","12,059","13,719","11,611","17,273","14,222","11,773","3,450","9,884","9,430","9,262","6,823"
2021,4,80,"75,691","1,368","3,473","3,115","3,853","8,376","5,277","5,975","5,594","8,561","6,412","5,705","1,819","4,365","4,278","4,022","3,498"
2021,4,90,"11,620",265,527,434,557,"1,162",825,894,841,"1,362","1,078",874,368,631,661,547,594
