년도,월,나이,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021,2,60,"4,736","1,373",271,366,218,723,208,282,200,357,375,199,164
2021,2,70,"3,035",829,219,214,144,334,186,229,144,266,267,87,116
2021,2,80,"1,687",381,137,154,88,153,107,141,97,143,171,39,76
2021,2,90,120,29,10,14,9,10,10,9,3,7,7,6,6
2021,2,100,3,1,0,1,0,0,0,0,0,1,0,0,0
2021,3,총,"27,391","7,237","1,152","1,310",831,"9,627","1,256","1,174",722,"1,331","1,494",584,673
2021,3,0,"2,340",391,35,27,28,"1,676",79,24,5,24,24,11,16
2021,3,10,"2,336",663,69,42,33,"1,236",56,46,21,45,54,35,36
2021,3,20,"2,324",776,49,93,28,916,135,62,33,53,116,22,41
2021,3,30,"2,738",586,41,68,44,"1,583",127,63,26,71,77,19,33
2021,3,40,"3,851","1,004",111,110,78,"1,813",155,131,62,137,139,48,63
2021,3,50,"4,185","1,208",202,219,157,"1,165",194,193,124,229,256,113,125
2021,3,60,"4,780","1,373",278,372,220,738,209,281,210,359,378,200,162
2021,3,70,"3,023",826,218,213,145,336,184,223,139,259,270,91,119
2021,3,80,"1,692",382,139,152,88,155,105,141,99,147,173,39,72
2021,3,90,120,28,10,13,10,9,12,10,3,6,7,6,6
2021,3,100,2,0,0,1,0,0,0,0,0,1,0,0,0
2021,4,총,"27,393","7,231","1,154","1,311",832,"9,652","1,247","1,170",722,"1,330","1,491",582,671
2021,4,0,"2,311",388,35,26,28,"1,655",78,23,5,23,23,11,16
2021,4,10,"2,349",656,69,43,32,"1,250",58,46,21,46,57,35,36
2021,4,20,"2,314",777,49,91,28,920,128,63,31,53,112,21,41
2021,4,30,"2,723",582,39,72,44,"1,580",123,59,26,72,77,18,31
2021,4,40,"3,876","1,005",112,109,80,"1,834",153,132,62,137,140,50,62
2021,4,50,"4,178","1,210",201,218,158,"1,168",193,192,124,225,255,109,125
2021,4,60,"4,796","1,375",281,371,222,736,212,282,213,363,378,201,162
2021,4,70,"3,012",820,216,217,142,340,184,222,137,255,269,91,119
2021,4,80,"1,708",391,142,148,87,160,106,141,100,149,171,40,73
2021,4,90,124,27,10,15,11,9,12,10,3,6,9,6,6
