년도,월,나이,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020,9,30,"13,612",598,270,235,513,843,765,385,382,280,362,142,201,156,554,"1,110",605,"1,163",915,"1,039",302,693,619,"1,480"
2020,9,40,"19,462",819,426,412,689,860,"1,152",438,601,468,512,280,372,277,827,"1,689",956,"1,597","1,131","1,324",438,958,796,"2,440"
2020,9,50,"18,291",926,461,469,712,590,"1,171",406,778,503,437,348,453,315,798,"1,238",782,"1,472","1,046","1,513",396,907,801,"1,769"
2020,9,60,"13,639",948,479,407,561,360,743,331,758,508,459,334,435,294,624,814,644,"1,231",606,978,333,502,469,821
2020,9,70,"7,759",670,364,323,358,196,344,191,588,436,308,220,312,213,327,459,369,627,254,349,173,228,183,267
2020,9,80,"2,360",211,71,100,107,48,106,61,186,149,86,74,97,71,103,158,131,153,71,120,54,87,71,45
2020,9,90,199,14,4,12,8,3,10,3,21,10,4,4,6,6,5,19,5,19,8,12,5,7,6,8
2020,9,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020,10,총,"112,217","5,451","2,688","2,393","4,271","4,826","6,647","2,588","4,059","2,956","3,076","1,610","2,401","1,699","4,770","8,688","5,402","9,833","6,166","8,465","2,486","5,529","4,483","11,730"
2020,10,0,"9,577",270,121,78,305,731,530,276,119,110,226,28,75,68,398,971,546,921,441,687,212,584,393,"1,487"
2020,10,10,"12,686",378,173,138,495,557,805,243,232,178,290,73,110,129,507,"1,279",735,"1,180",652,"1,012",298,791,521,"1,910"
2020,10,20,"14,712",643,320,235,535,653,"1,032",266,405,311,398,112,356,178,637,997,642,"1,239","1,065","1,439",288,778,659,"1,524"
2020,10,30,"13,479",592,269,225,504,828,748,380,370,277,356,137,196,151,547,"1,094",595,"1,229",894,"1,031",293,688,609,"1,466"
2020,10,40,"19,437",810,431,413,688,862,"1,144",438,603,467,507,279,365,270,824,"1,672",951,"1,650","1,119","1,324",434,963,784,"2,439"
2020,10,50,"18,256",919,455,460,699,586,"1,187",406,770,503,444,343,451,316,796,"1,222",785,"1,526","1,048","1,512",397,893,788,"1,750"
2020,10,60,"13,702",942,479,405,567,362,739,329,756,509,453,337,430,297,629,820,645,"1,274",611,974,333,510,466,835
2020,10,70,"7,778",671,363,324,360,193,348,185,592,441,310,220,315,211,325,453,368,641,256,349,175,228,186,264
2020,10,80,"2,376",209,71,101,110,50,103,61,188,149,88,75,97,72,102,161,131,154,72,125,53,88,70,46
2020,10,90,198,14,6,12,8,3,10,3,22,10,4,4,6,5,5,19,4,19,8,12,3,6,6,9
2020,10,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020,11,총,"111,999","5,427","2,684","2,396","4,239","4,833","6,592","2,563","4,032","2,930","3,051","1,601","2,390","1,698","4,757","8,635","5,380","10,126","6,157","8,421","2,457","5,541","4,412","11,677"
2020,11,0,"9,505",268,122,76,295,729,526,268,115,109,222,27,71,68,392,968,539,949,433,680,202,584,376,"1,486"
2020,11,10,"12,620",368,170,152,493,571,798,236,227,177,286,75,110,127,505,"1,260",736,"1,194",651,"1,008",295,784,511,"1,886"
2020,11,20,"14,699",636,324,233,533,643,"1,030",266,404,305,391,113,355,183,638,991,635,"1,280","1,065","1,422",285,777,647,"1,543"
2020,11,30,"13,419",588,262,223,496,830,734,371,368,272,351,132,191,149,540,"1,084",593,"1,290",887,"1,027",290,690,601,"1,450"
2020,11,40,"19,373",802,428,411,688,863,"1,126",436,594,463,507,272,361,268,823,"1,668",942,"1,697","1,125","1,325",430,964,773,"2,407"
2020,11,50,"18,227",924,451,458,687,593,"1,184",405,765,500,441,337,448,316,786,"1,216",780,"1,582","1,048","1,490",397,902,774,"1,743"
2020,11,60,"13,752",938,485,402,570,356,732,330,755,501,452,341,436,298,639,817,651,"1,305",610,984,328,512,468,842
2020,11,70,"7,814",674,364,327,361,196,352,186,591,441,308,222,315,212,326,453,370,650,259,350,177,228,185,267
2020,11,80,"2,378",211,72,100,108,48,100,61,189,151,89,76,96,70,103,159,130,160,72,125,50,93,70,45
2020,11,90,196,15,6,12,8,3,9,3,22,10,4,4,7,5,5,19,4,19,7,10,3,7,6,8
2020,11,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020,12,총,"111,578","5,389","2,645","2,380","4,202","4,845","6,532","2,552","4,006","2,909","3,032","1,589","2,392","1,687","4,749","8,594","5,357","10,247","6,145","8,388","2,443","5,528","4,331","11,636"
2020,12,0,"9,425",264,118,78,290,719,520,268,113,104,216,27,73,65,393,958,538,971,433,681,198,574,361,"1,463"
2020,12,10,"12,552",354,164,154,483,581,785,230,220,178,286,77,113,121,508,"1,256",738,"1,201",644,997,289,785,503,"1,885"
2020,12,20,"14,655",631,323,222,537,648,"1,012",264,399,303,376,110,356,186,634,985,632,"1,292","1,086","1,409",283,779,635,"1,553"
2020,12,30,"13,268",577,248,222,490,819,731,362,367,272,347,129,187,153,530,"1,059",585,"1,302",883,"1,019",288,681,577,"1,440"
2020,12,40,"19,277",791,423,409,681,871,"1,115",436,591,456,514,272,362,260,821,"1,664",939,"1,717","1,107","1,323",429,966,760,"2,370"
2020,12,50,"18,198",924,434,462,679,593,"1,180",406,755,497,439,330,445,315,786,"1,219",775,"1,606","1,038","1,491",397,903,768,"1,756"
2020,12,60,"13,790",944,491,398,568,368,727,332,758,500,451,341,435,299,640,819,650,"1,322",621,981,328,513,463,841
2020,12,70,"7,807",670,364,321,359,193,354,189,591,437,309,219,315,213,328,453,365,655,256,353,178,224,187,274
2020,12,80,"2,393",216,74,100,106,49,99,61,188,150,91,78,99,69,104,161,130,162,70,125,50,95,70,46
2020,12,90,197,15,6,12,9,3,8,3,22,11,3,4,7,4,5,20,5,19,7,9,3,8,6,8
2020,12,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2021,1,총,"111,241","5,373","2,628","2,390","4,190","4,825","6,500","2,549","3,990","2,889","3,027","1,578","2,358","1,672","4,743","8,591","5,352","10,326","6,138","8,315","2,428","5,517","4,293","11,569"
2021,1,0,"9,299",257,119,75,285,713,515,264,106,100,214,27,72,62,386,943,532,981,437,659,198,570,347,"1,437"
2021,1,10,"12,485",351,168,157,475,579,779,232,217,179,289,72,115,115,509,"1,273",740,"1,195",633,981,286,783,503,"1,854"
2021,1,20,"14,614",621,313,218,536,641,"1,008",269,399,298,371,118,333,188,633,985,636,"1,302","1,088","1,392",283,777,636,"1,569"
2021,1,30,"13,112",581,246,219,477,817,723,357,355,265,337,128,186,154,523,"1,039",570,"1,324",875,"1,015",278,660,567,"1,416"
2021,1,40,"19,207",784,415,412,678,868,"1,105",438,596,458,518,262,361,253,817,"1,670",939,"1,723","1,100","1,312",426,980,747,"2,345"
2021,1,50,"18,234",927,439,472,689,596,"1,170",404,753,497,442,330,440,313,793,"1,228",777,"1,625","1,053","1,471",395,899,759,"1,762"
2021,1,60,"13,843",952,480,397,572,364,732,332,761,494,453,339,432,299,640,818,657,"1,334",617,997,328,520,469,856
2021,1,70,"7,821",670,366,319,363,196,360,187,590,435,305,216,310,213,330,457,363,657,260,354,181,225,188,276
2021,1,80,"2,412",212,76,107,106,48,99,62,189,151,95,80,101,69,107,159,133,166,67,126,49,95,69,46
2021,1,90,198,15,6,12,9,2,8,3,22,11,3,4,8,4,5,19,5,19,8,8,4,8,7,8
2021,1,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2021,2,총,"110,972","5,360","2,620","2,410","4,165","4,809","6,459","2,554","3,993","2,878","3,019","1,567","2,340","1,659","4,713","8,579","5,349","10,379","6,116","8,288","2,419","5,514","4,233","11,549"
2021,2,0,"9,202",246,118,76,284,707,499,260,107,92,211,26,70,61,384,929,533,975,428,657,198,572,342,"1,427"
2021,2,10,"12,442",358,166,163,468,581,781,238,216,181,291,71,116,113,504,"1,271",738,"1,201",637,960,285,779,490,"1,834"
2021,2,20,"14,575",609,308,225,528,629,995,267,407,302,366,119,327,183,622,992,638,"1,311","1,090","1,393",282,776,633,"1,573"
2021,2,30,"13,004",578,246,224,468,817,710,352,353,266,333,127,184,153,518,"1,020",565,"1,320",859,"1,000",279,662,554,"1,416"
2021,2,40,"19,151",789,413,410,673,862,"1,098",443,596,453,522,260,351,254,812,"1,677",938,"1,728","1,098","1,306",421,976,736,"2,335"
2021,2,50,"18,241",929,438,474,690,600,"1,166",405,748,489,437,326,440,312,793,"1,232",777,"1,650","1,046","1,477",391,902,750,"1,769"
2021,2,60,"13,888",951,486,399,573,365,741,334,763,493,454,337,436,296,637,826,656,"1,345",623,"1,001",329,519,461,863
2021,2,70,"7,805",667,363,317,366,197,358,187,587,438,309,215,305,213,330,449,363,654,260,360,179,225,186,277
2021,2,80,"2,436",213,76,107,104,48,102,64,191,152,92,80,102,68,108,163,136,173,65,126,51,95,73,47
2021,2,90,212,17,6,13,11,2,8,3,23,11,4,4,9,4,5,20,5,22,10,8,4,8,7,8
2021,2,100,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2021,3,총,"110,341","5,329","2,592","2,428","4,132","4,791","6,409","2,519","3,931","2,858","2,997","1,537","2,268","1,632","4,687","8,526","5,343","10,428","6,099","8,255","2,398","5,472","4,166","11,544"
2021,3,0,"9,082",243,119,80,280,696,492,255,104,92,208,25,68,62,375,911,532,966,423,649,189,570,332,"1,411"
2021,3,10,"12,391",356,164,165,469,580,771,240,213,176,292,73,111,110,495,"1,266",739,"1,224",632,959,281,772,466,"1,837"
2021,3,20,"14,552",610,300,235,510,633,987,270,398,300,361,116,320,184,622,986,640,"1,325","1,094","1,399",281,762,633,"1,586"
2021,3,30,"12,863",566,243,226,469,803,703,345,347,263,326,128,180,153,513,"1,002",557,"1,314",851,981,279,650,553,"1,411"
2021,3,40,"19,002",783,409,410,664,860,"1,093",432,582,444,513,254,333,248,808,"1,675",947,"1,732","1,082","1,306",411,976,717,"2,323"
2021,3,50,"18,140",925,439,470,688,597,"1,159",396,733,484,444,318,427,299,791,"1,224",771,"1,656","1,041","1,471",398,893,744,"1,772"
2021,3,60,"13,867",947,477,405,567,373,739,331,757,496,448,330,423,298,634,827,652,"1,356",635,999,324,523,454,872
2021,3,70,"7,789",670,361,314,369,196,356,182,582,438,308,209,299,210,336,452,361,662,266,354,178,223,185,278
2021,3,80,"2,441",213,74,106,106,50,101,65,192,152,93,80,99,66,108,163,139,172,65,128,54,95,74,46
2021,3,90,208,16,6,15,10,2,8,3,22,12,4,4,8,2,5,20,5,21,10,9,3,8,7,8
2021,3,100,6,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,4,총,"110,217","5,269","2,578","2,402","4,421","4,743","6,335","2,522","3,901","2,843","2,974","1,526","2,256","1,631","4,655","8,491","5,351","10,447","6,104","8,227","2,392","5,441","4,139","11,569"
2021,4,0,"9,022",236,115,76,311,694,487,256,103,89,200,25,65,62,369,887,536,963,423,645,184,558,330,"1,408"
2021,4,10,"12,350",350,157,158,513,575,746,233,207,173,295,72,112,107,495,"1,270",736,"1,233",631,948,276,766,456,"1,841"
2021,4,20,"14,556",595,308,232,562,623,973,272,399,295,357,113,317,185,614,980,648,"1,328","1,095","1,383",285,763,637,"1,592"
2021,4,30,"12,791",558,238,223,516,792,694,344,341,262,321,123,180,152,510,994,558,"1,312",842,978,276,636,543,"1,398"
2021,4,40,"19,008",779,403,404,719,847,"1,080",437,572,443,512,256,329,248,800,"1,664",950,"1,743","1,082","1,307",413,978,712,"2,330"
2021,4,50,"18,100",907,440,461,728,594,"1,146",394,733,485,439,310,419,299,787,"1,230",768,"1,651","1,032","1,472",393,890,743,"1,779"
2021,4,60,"13,935",942,476,412,582,370,739,334,750,494,447,332,432,299,630,831,648,"1,362",657,"1,005",330,523,455,885
2021,4,70,"7,783",668,361,314,370,196,359,184,583,435,307,209,295,211,336,451,361,664,265,352,176,225,180,281
2021,4,80,"2,453",217,74,105,109,50,103,65,191,153,92,81,99,66,109,164,141,169,67,126,56,94,75,47
2021,4,90,213,17,6,15,10,2,8,3,21,13,4,5,8,2,5,20,5,22,10,11,3,8,7,8
2021,4,100,6,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,5,총,"110,120","5,261","2,566","2,398","4,553","4,953","6,279","2,503","3,878","2,816","2,962","1,516","2,230","1,625","4,631","8,360","5,319","10,440","6,087","8,207","2,388","5,457","4,097","11,594"
2021,5,0,"8,963",228,112,76,316,740,480,253,103,86,199,24,65,61,365,849,531,958,405,635,184,569,324,"1,400"
2021,5,10,"12,306",352,158,153,536,603,739,230,206,173,293,68,108,106,485,"1,253",732,"1,228",618,939,269,759,453,"1,845"
