년도,월,나이,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020,6,40,"13,639",530,509,808,"1,226","1,305","1,373",611,652,346,"1,145","1,565","1,108","2,461"
2020,6,50,"15,436",700,522,"1,099","1,148","1,453","1,812",630,762,452,"1,257","1,878","1,342","2,381"
2020,6,60,"14,241",765,590,"1,118","1,013","1,202","1,611",610,628,466,"1,058","2,002","1,251","1,927"
2020,6,70,"10,129",489,504,721,856,912,"1,170",455,498,340,788,"1,511",813,"1,072"
2020,6,80,"4,524",183,244,321,364,402,509,208,256,167,314,765,307,484
2020,6,90,627,31,37,40,43,53,53,32,37,20,35,109,49,88
2020,6,100,68,5,3,4,3,5,3,7,3,2,11,7,4,11
2020,7,총,"99,228","4,579","3,726","5,981","8,029","8,955","10,489","4,409","4,810","3,190","8,350","12,036","8,183","16,491"
2020,7,0,"6,633",72,109,179,747,562,612,223,226,88,789,660,564,"1,802"
2020,7,10,"7,209",147,214,255,756,681,853,333,401,139,574,976,670,"1,210"
2020,7,20,"14,209","1,063",643,785,944,"1,208","1,369",812,909,785,"1,165","1,442",989,"2,095"
2020,7,30,"12,494",610,359,648,939,"1,174","1,133",490,434,381,"1,204","1,134","1,068","2,920"
2020,7,40,"13,607",519,507,803,"1,224","1,304","1,369",608,652,347,"1,154","1,548","1,112","2,460"
2020,7,50,"15,390",692,517,"1,093","1,144","1,452","1,800",625,755,453,"1,248","1,872","1,340","2,399"
2020,7,60,"14,290",765,590,"1,115","1,004","1,203","1,615",617,637,469,"1,068","2,002","1,258","1,947"
2020,7,70,"10,148",491,506,735,854,908,"1,167",454,495,340,790,"1,510",815,"1,083"
2020,7,80,"4,545",183,242,321,371,406,514,208,261,165,312,774,312,476
2020,7,90,634,32,36,43,43,52,54,32,37,21,35,111,50,88
2020,7,100,69,5,3,4,3,5,3,7,3,2,11,7,5,11
2020,8,총,"99,159","4,599","3,735","5,963","8,020","8,953","10,499","4,408","4,797","3,205","8,311","11,995","8,159","16,515"
2020,8,0,"6,602",75,104,174,746,566,610,217,221,86,786,653,561,"1,803"
2020,8,10,"7,179",149,220,259,749,671,850,338,397,135,575,966,663,"1,207"
2020,8,20,"14,228","1,070",646,781,943,"1,211","1,374",819,910,808,"1,160","1,440",980,"2,086"
2020,8,30,"12,457",617,364,642,930,"1,175","1,130",485,439,383,"1,184","1,129","1,065","2,914"
2020,8,40,"13,596",519,510,793,"1,226","1,305","1,377",598,649,347,"1,150","1,534","1,108","2,480"
2020,8,50,"15,389",688,519,"1,097","1,139","1,446","1,795",638,753,451,"1,247","1,878","1,339","2,399"
2020,8,60,"14,292",773,593,"1,115","1,006","1,205","1,622",612,640,466,"1,062","1,986","1,255","1,957"
2020,8,70,"10,134",484,500,734,856,908,"1,167",448,492,341,785,"1,511",817,"1,091"
2020,8,80,"4,581",187,241,319,379,408,520,214,255,166,313,783,316,480
2020,8,90,631,32,35,45,43,53,51,32,38,19,38,108,50,87
2020,8,100,70,5,3,4,3,5,3,7,3,3,11,7,5,11
2020,9,총,"100,993","4,592","3,737","7,956","7,950","8,924","10,497","4,421","4,778","3,222","8,269","11,948","8,137","16,562"
2020,9,0,"6,906",75,101,499,734,563,596,216,220,80,786,655,563,"1,818"
2020,9,10,"7,257",155,216,405,730,658,851,334,389,138,569,958,652,"1,202"
2020,9,20,"14,548","1,075",666,"1,022",940,"1,220","1,383",842,928,832,"1,154","1,417",986,"2,083"
2020,9,30,"12,929",610,360,"1,156",921,"1,170","1,119",492,437,387,"1,187","1,114","1,064","2,912"
2020,9,40,"13,789",522,501,"1,069","1,215","1,277","1,375",586,632,340,"1,150","1,527","1,113","2,482"
2020,9,50,"15,523",671,517,"1,340","1,121","1,459","1,792",638,746,440,"1,227","1,859","1,311","2,402"
2020,9,60,"14,542",777,593,"1,276","1,007","1,201","1,634",613,642,473,"1,056","2,011","1,269","1,990"
2020,9,70,"10,179",484,503,802,843,916,"1,170",444,489,345,777,"1,503",813,"1,090"
2020,9,80,"4,617",186,242,333,393,402,525,216,255,164,316,790,313,482
2020,9,90,636,32,35,50,43,53,49,33,37,20,36,107,51,90
2020,9,100,67,5,3,4,3,5,3,7,3,3,11,7,2,11
2020,10,총,"102,151","4,583","3,757","9,430","7,915","8,891","10,459","4,386","4,767","3,209","8,220","11,934","8,064","16,536"
2020,10,0,"7,078",75,91,730,728,568,602,204,215,80,773,652,545,"1,815"
2020,10,10,"7,286",152,207,518,713,639,841,336,388,136,565,952,650,"1,189"
2020,10,20,"14,714","1,082",681,"1,199",934,"1,204","1,371",838,925,839,"1,160","1,424",973,"2,084"
2020,10,30,"13,264",605,376,"1,539",922,"1,179","1,113",487,432,384,"1,167","1,108","1,050","2,902"
2020,10,40,"13,930",517,505,"1,285","1,200","1,264","1,374",580,629,336,"1,138","1,518","1,100","2,484"
2020,10,50,"15,630",662,516,"1,520","1,129","1,458","1,774",627,748,436,"1,218","1,859","1,299","2,384"
2020,10,60,"14,658",774,590,"1,385","1,010","1,207","1,633",612,641,469,"1,051","2,010","1,273","2,003"
2020,10,70,"10,247",493,511,851,843,904,"1,178",448,487,341,783,"1,504",808,"1,096"
2020,10,80,"4,639",187,241,346,391,411,521,214,262,165,315,794,313,479
2020,10,90,638,31,36,53,42,52,49,33,37,20,39,106,51,89
2020,10,100,67,5,3,4,3,5,3,7,3,3,11,7,2,11
2020,11,총,"102,645","4,545","3,819","10,066","7,867","8,866","10,419","4,378","4,759","3,224","8,197","11,919","8,033","16,553"
2020,11,0,"7,125",70,92,809,723,560,603,193,213,77,782,646,546,"1,811"
2020,11,10,"7,309",151,209,562,703,636,830,337,389,138,552,954,643,"1,205"
2020,11,20,"14,799","1,079",715,"1,286",931,"1,201","1,346",846,927,861,"1,163","1,411",966,"2,067"
2020,11,30,"13,363",595,402,"1,685",918,"1,169","1,106",484,430,380,"1,159","1,095","1,040","2,900"
2020,11,40,"14,005",523,508,"1,389","1,193","1,254","1,368",584,620,343,"1,139","1,517","1,092","2,475"
2020,11,50,"15,686",653,513,"1,595","1,125","1,465","1,767",626,748,434,"1,215","1,856","1,303","2,386"
2020,11,60,"14,715",770,586,"1,444","1,002","1,209","1,643",615,638,468,"1,037","2,018","1,268","2,017"
2020,11,70,"10,281",480,511,889,838,899,"1,180",446,486,337,785,"1,508",811,"1,111"
2020,11,80,"4,653",189,242,350,389,415,524,208,267,162,315,800,312,480
2020,11,90,642,30,38,53,42,53,49,32,38,21,39,107,50,90
2020,11,100,67,5,3,4,3,5,3,7,3,3,11,7,2,11
2020,12,총,"102,897","4,546","3,873","10,323","7,859","8,850","10,401","4,412","4,745","3,230","8,167","11,897","8,000","16,594"
2020,12,0,"7,173",64,95,853,732,550,602,199,209,80,770,641,536,"1,842"
2020,12,10,"7,324",151,212,587,698,635,828,340,386,138,554,947,650,"1,198"
2020,12,20,"14,836","1,089",741,"1,305",921,"1,212","1,337",868,926,871,"1,163","1,411",953,"2,039"
2020,12,30,"13,416",595,415,"1,749",929,"1,156","1,090",488,435,380,"1,151","1,092","1,021","2,915"
2020,12,40,"14,000",517,511,"1,430","1,185","1,256","1,358",575,615,341,"1,134","1,504","1,091","2,483"
2020,12,50,"15,665",653,509,"1,636","1,115","1,448","1,770",628,746,430,"1,203","1,848","1,296","2,383"
2020,12,60,"14,773",763,588,"1,462","1,002","1,218","1,664",617,629,470,"1,038","2,028","1,270","2,024"
2020,12,70,"10,296",489,517,891,835,894,"1,176",447,491,333,780,"1,510",817,"1,116"
2020,12,80,"4,695",190,244,351,396,421,524,212,265,162,324,802,314,490
2020,12,90,652,30,38,55,43,55,49,32,40,22,39,107,50,92
2020,12,100,67,5,3,4,3,5,3,6,3,3,11,7,2,12
2021,1,총,"102,877","4,542","3,875","10,478","7,833","8,836","10,398","4,391","4,743","3,226","8,097","11,859","7,990","16,609"
2021,1,0,"7,153",66,92,869,723,550,600,195,212,79,756,630,545,"1,836"
2021,1,10,"7,301",150,216,604,694,625,830,332,384,133,550,932,647,"1,204"
2021,1,20,"14,850","1,096",738,"1,328",914,"1,212","1,344",873,929,873,"1,137","1,410",944,"2,052"
2021,1,30,"13,384",604,425,"1,780",933,"1,151","1,081",478,428,382,"1,144","1,085","1,011","2,882"
2021,1,40,"13,960",507,505,"1,452","1,169","1,237","1,359",569,611,338,"1,127","1,491","1,100","2,495"
2021,1,50,"15,664",650,513,"1,656","1,110","1,443","1,766",629,754,426,"1,207","1,847","1,283","2,380"
2021,1,60,"14,809",759,580,"1,462","1,001","1,235","1,677",615,626,473,"1,025","2,029","1,277","2,050"
2021,1,70,"10,298",487,523,913,831,892,"1,165",446,487,336,776,"1,511",815,"1,116"
2021,1,80,"4,736",188,244,352,410,429,524,214,268,161,327,806,318,495
2021,1,90,653,30,37,58,45,56,49,34,40,22,37,109,48,88
2021,1,100,69,5,2,4,3,6,3,6,4,3,11,9,2,11
2021,2,총,"102,745","4,557","3,883","10,544","7,845","8,822","10,399","4,372","4,697","3,191","8,055","11,855","7,943","16,582"
2021,2,0,"7,134",65,88,886,727,541,606,185,206,83,750,628,543,"1,826"
2021,2,10,"7,292",144,211,613,700,630,819,330,375,136,560,935,638,"1,201"
2021,2,20,"14,746","1,106",759,"1,338",898,"1,199","1,342",877,911,848,"1,110","1,392",934,"2,032"
2021,2,30,"13,329",613,422,"1,787",935,"1,143","1,072",472,426,381,"1,130","1,089",996,"2,863"
2021,2,40,"13,999",506,496,"1,458","1,179","1,237","1,369",571,608,342,"1,132","1,500","1,090","2,511"
2021,2,50,"15,627",659,518,"1,665","1,104","1,452","1,753",626,748,415,"1,194","1,842","1,268","2,383"
2021,2,60,"14,844",757,583,"1,469","1,012","1,233","1,684",610,626,470,"1,022","2,037","1,284","2,057"
2021,2,70,"10,308",483,519,917,832,898,"1,165",449,487,336,780,"1,511",817,"1,114"
2021,2,80,"4,743",189,248,351,410,426,536,214,267,156,328,802,320,496
2021,2,90,653,30,37,55,45,57,50,32,39,21,38,110,51,88
2021,2,100,70,5,2,5,3,6,3,6,4,3,11,9,2,11
2021,3,총,"102,467","4,526","3,853","10,550","7,837","8,827","10,373","4,383","4,674","3,187","7,987","11,798","7,940","16,532"
2021,3,0,"7,118",64,87,884,727,547,606,185,202,85,746,617,532,"1,836"
2021,3,10,"7,300",138,203,625,708,632,812,338,360,138,558,950,643,"1,195"
2021,3,20,"14,704","1,098",764,"1,340",882,"1,200","1,341",895,927,855,"1,102","1,364",925,"2,011"
2021,3,30,"13,278",619,425,"1,775",938,"1,140","1,075",461,421,388,"1,118","1,083",987,"2,848"
2021,3,40,"13,948",508,486,"1,465","1,178","1,235","1,364",574,597,338,"1,119","1,479","1,091","2,514"
2021,3,50,"15,540",648,511,"1,666","1,097","1,456","1,743",624,735,413,"1,186","1,839","1,256","2,366"
2021,3,60,"14,825",751,573,"1,465","1,005","1,235","1,678",609,630,465,"1,020","2,030","1,313","2,051"
2021,3,70,"10,287",478,518,914,836,903,"1,164",446,490,325,773,"1,503",814,"1,123"
2021,3,80,"4,757",187,247,354,417,422,536,215,267,157,325,810,324,496
2021,3,90,663,33,37,57,46,55,53,30,42,20,37,116,53,84
2021,3,100,47,2,2,5,3,2,1,6,3,3,3,7,2,8
2021,4,총,"102,939","4,519","3,847","10,569","8,618","8,755","10,317","4,356","4,675","3,161","7,922","11,734","7,929","16,537"
2021,4,0,"7,214",63,86,885,885,531,599,180,201,85,737,599,530,"1,833"
2021,4,10,"7,315",140,199,623,763,634,796,333,359,138,556,945,642,"1,187"
2021,4,20,"14,720","1,096",773,"1,352",930,"1,189","1,328",890,929,841,"1,089","1,362",925,"2,016"
2021,4,30,"13,420",614,423,"1,781","1,157","1,121","1,059",460,424,379,"1,103","1,077",989,"2,833"
2021,4,40,"14,019",500,487,"1,462","1,316","1,226","1,366",568,587,335,"1,113","1,456","1,087","2,516"
2021,4,50,"15,535",647,500,"1,664","1,161","1,430","1,726",620,741,414,"1,181","1,829","1,251","2,371"
2021,4,60,"14,911",757,580,"1,471","1,058","1,246","1,682",609,631,462,"1,022","2,025","1,308","2,060"
2021,4,70,"10,321",477,515,913,866,903,"1,171",444,487,328,762,"1,506",818,"1,131"
2021,4,80,"4,756",189,245,356,429,416,533,216,271,156,319,807,323,496
2021,4,90,680,34,37,57,50,57,56,30,42,20,37,121,54,85
2021,4,100,48,2,2,5,3,2,1,6,3,3,3,7,2,9
2021,5,총,"103,007","4,434","3,868","10,622","9,165","8,658","10,319","4,295","4,645","3,086","7,870","11,664","7,915","16,466"
2021,5,0,"7,262",63,83,900,954,524,596,178,199,84,728,590,530,"1,833"
2021,5,10,"7,311",135,201,618,799,628,798,331,358,140,554,935,635,"1,179"
2021,5,20,"14,768","1,081",782,"1,360","1,001","1,187","1,323",878,935,842,"1,082","1,353",925,"2,019"
2021,5,30,"13,454",606,437,"1,795","1,281","1,100","1,051",461,414,367,"1,077","1,063",994,"2,808"
2021,5,40,"14,042",493,492,"1,477","1,402","1,222","1,362",560,581,326,"1,117","1,444","1,077","2,489"
2021,5,50,"15,501",635,493,"1,669","1,223","1,414","1,726",603,727,392,"1,169","1,816","1,251","2,383"
2021,5,60,"14,906",738,583,"1,472","1,112","1,231","1,686",594,630,441,"1,025","2,022","1,303","2,069"
2021,5,70,"10,278",465,508,913,894,887,"1,175",439,487,322,759,"1,495",816,"1,118"
2021,5,80,"4,782",187,251,353,444,409,544,216,272,152,322,818,329,485
2021,5,90,667,30,36,60,52,54,55,29,40,18,37,124,53,79
2021,5,100,36,1,2,5,3,2,3,6,2,2,0,4,2,4
2021,6,총,"103,146","4,422","3,881","10,669","9,441","8,659","10,364","4,264","4,647","3,063","7,820","11,627","7,866","16,423"
2021,6,0,"7,279",64,87,905,984,533,605,174,192,84,722,591,526,"1,812"
2021,6,10,"7,319",137,203,618,822,633,794,322,362,141,545,928,632,"1,182"
2021,6,20,"14,807","1,083",785,"1,381","1,036","1,177","1,321",878,939,847,"1,083","1,349",921,"2,007"
2021,6,30,"13,501",611,443,"1,803","1,341","1,102","1,067",448,411,363,"1,064","1,056",991,"2,801"
2021,6,40,"14,028",481,494,"1,483","1,446","1,219","1,368",551,584,323,"1,099","1,430","1,074","2,476"
2021,6,50,"15,484",627,494,"1,664","1,251","1,413","1,717",602,725,389,"1,167","1,805","1,249","2,381"
2021,6,60,"14,945",734,583,"1,484","1,155","1,229","1,703",592,630,428,"1,025","2,024","1,282","2,076"
2021,6,70,"10,267",464,502,914,901,882,"1,181",444,486,316,751,"1,493",816,"1,117"
2021,6,80,"4,816",191,253,354,452,414,546,218,273,152,327,822,324,490
2021,6,90,667,29,35,58,51,55,59,29,43,18,37,125,50,78
2021,6,100,33,1,2,5,2,2,3,6,2,2,0,4,1,3
2021,7,총,"103,185","4,478","3,883","10,642","9,568","8,627","10,408","4,232","4,635","3,074","7,812","11,590","7,862","16,374"
2021,7,0,"7,294",65,86,906,"1,001",525,605,171,194,85,726,588,530,"1,812"
2021,7,10,"7,301",136,200,607,845,633,796,316,360,139,544,918,628,"1,179"
2021,7,20,"14,823","1,133",793,"1,370","1,047","1,170","1,315",867,937,867,"1,073","1,341",921,"1,989"
2021,7,30,"13,473",614,440,"1,811","1,361","1,092","1,081",449,415,360,"1,050","1,051",977,"2,772"
2021,7,40,"14,043",484,498,"1,483","1,481","1,204","1,383",543,578,319,"1,095","1,426","1,070","2,479"
2021,7,50,"15,478",626,493,"1,646","1,260","1,421","1,716",597,727,387,"1,168","1,800","1,260","2,377"
2021,7,60,"14,983",731,580,"1,492","1,164","1,229","1,711",596,625,429,"1,036","2,020","1,285","2,085"
2021,7,70,"10,256",469,498,907,906,877,"1,185",441,484,314,754,"1,488",818,"1,115"
2021,7,80,"4,825",191,258,355,449,418,551,217,271,153,327,827,323,485
2021,7,90,675,28,35,60,52,55,62,28,43,19,39,127,49,78
2021,7,100,34,1,2,5,2,3,3,7,1,2,0,4,1,3
2021,8,총,"103,333","4,525","3,901","10,860","9,669","8,583","10,404","4,237","4,589","3,063","7,805","11,532","7,874","16,291"
2021,8,0,"7,283",67,87,926,"1,018",517,599,170,194,81,726,572,524,"1,802"
2021,8,10,"7,294",138,198,613,846,632,786,319,354,131,550,911,635,"1,181"
2021,8,20,"14,873","1,167",804,"1,414","1,057","1,165","1,318",870,929,884,"1,051","1,322",921,"1,971"
2021,8,30,"13,471",628,451,"1,861","1,382","1,070","1,080",450,411,355,"1,036","1,046",974,"2,727"
2021,8,40,"14,032",480,489,"1,521","1,486","1,185","1,371",540,567,316,"1,100","1,420","1,076","2,481"
2021,8,50,"15,520",620,497,"1,678","1,289","1,432","1,721",604,723,377,"1,176","1,796","1,252","2,355"
2021,8,60,"15,050",739,580,"1,504","1,165","1,225","1,724",595,621,431,"1,046","2,030","1,295","2,095"
2021,8,70,"10,260",463,500,922,917,876,"1,185",431,483,312,754,"1,480",824,"1,113"
2021,8,80,"4,844",194,256,354,455,425,554,223,267,155,326,828,322,485
2021,8,90,671,28,37,62,52,53,63,28,39,19,39,123,50,78
2021,8,100,35,1,2,5,2,3,3,7,1,2,1,4,1,3
2021,9,총,"103,544","4,572","3,921","10,953","9,730","8,592","10,398","4,270","4,611","3,096","7,793","11,496","7,864","16,248"
2021,9,0,"7,311",66,91,948,"1,042",517,598,171,197,81,722,569,520,"1,789"
2021,9,10,"7,271",138,192,613,853,627,776,325,356,131,545,901,634,"1,180"
2021,9,20,"14,976","1,201",818,"1,429","1,072","1,165","1,313",895,932,917,"1,050","1,305",927,"1,952"
2021,9,30,"13,472",632,460,"1,872","1,381","1,074","1,082",452,414,356,"1,035","1,045",965,"2,704"
2021,9,40,"14,025",484,483,"1,534","1,499","1,177","1,375",541,567,317,"1,096","1,410","1,070","2,472"
2021,9,50,"15,541",620,503,"1,688","1,289","1,438","1,723",608,730,372,"1,175","1,791","1,253","2,351"
2021,9,60,"15,083",740,574,"1,520","1,164","1,231","1,723",592,620,431,"1,047","2,033","1,296","2,112"
2021,9,70,"10,254",468,498,924,914,879,"1,177",428,480,313,752,"1,483",826,"1,112"
2021,9,80,"4,895",192,261,357,461,428,567,224,273,156,332,827,322,495
2021,9,90,681,30,39,63,53,53,61,27,41,20,38,128,50,78
2021,9,100,35,1,2,5,2,3,3,7,1,2,1,4,1,3
2021,10,총,"103,443","4,607","3,913","10,976","9,723","8,591","10,426","4,271","4,613","3,085","7,750","11,454","7,843","16,191"
2021,10,0,"7,284",67,89,965,"1,040",509,597,169,200,77,717,565,518,"1,771"
2021,10,10,"7,250",131,190,607,842,629,788,325,355,131,537,896,639,"1,180"
2021,10,20,"14,937","1,228",826,"1,423","1,078","1,174","1,308",886,935,921,"1,035","1,296",919,"1,908"
2021,10,30,"13,443",647,463,"1,878","1,370","1,062","1,087",458,410,348,"1,031","1,034",958,"2,697"
2021,10,40,"13,993",488,476,"1,535","1,508","1,185","1,375",543,570,316,"1,082","1,396","1,058","2,461"
2021,10,50,"15,545",613,499,"1,685","1,277","1,445","1,726",612,735,378,"1,171","1,781","1,253","2,370"
2021,10,60,"15,111",743,573,"1,523","1,175","1,233","1,725",583,622,427,"1,047","2,035","1,305","2,120"
2021,10,70,"10,229",469,499,928,916,869,"1,179",426,479,307,751,"1,484",818,"1,104"
2021,10,80,"4,935",190,259,365,462,427,577,234,266,158,340,834,325,498
2021,10,90,682,30,37,62,53,55,61,28,40,20,38,129,49,80
2021,10,100,34,1,2,5,2,3,3,7,1,2,1,4,1,2
2021,11,총,"103,396","4,626","3,896","10,989","9,760","8,570","10,465","4,271","4,606","3,072","7,730","11,455","7,823","16,133"
2021,11,0,"7,261",64,88,970,"1,042",503,602,172,196,76,716,563,512,"1,757"
2021,11,10,"7,268",127,189,612,837,631,786,333,354,136,540,903,643,"1,177"
2021,11,20,"14,853","1,249",826,"1,413","1,079","1,166","1,298",877,925,912,"1,020","1,288",903,"1,897"
2021,11,30,"13,441",644,460,"1,886","1,394","1,049","1,104",459,413,346,"1,032","1,029",961,"2,664"
2021,11,40,"14,023",497,475,"1,537","1,508","1,195","1,381",550,574,314,"1,083","1,398","1,057","2,454"
2021,11,50,"15,506",606,498,"1,691","1,283","1,434","1,732",607,727,379,"1,161","1,781","1,248","2,359"
2021,11,60,"15,151",743,569,"1,527","1,178","1,231","1,735",580,629,425,"1,050","2,041","1,307","2,136"
2021,11,70,"10,235",474,496,934,917,872,"1,179",422,479,305,752,"1,480",817,"1,108"
2021,11,80,"4,948",191,259,356,466,432,583,237,267,156,334,842,324,501
2021,11,90,682,30,36,61,54,54,62,27,41,21,42,126,50,78
2021,11,100,28,1,0,2,2,3,3,7,1,2,0,4,1,2
2021,12,총,"103,470","4,642","3,890","11,009","9,818","8,579","10,501","4,249","4,567","3,056","7,724","11,445","7,833","16,157"
2021,12,0,"7,294",65,88,983,"1,061",499,604,168,186,78,725,567,517,"1,753"
2021,12,10,"7,263",133,184,604,836,636,792,325,350,132,542,904,646,"1,179"
2021,12,20,"14,859","1,270",829,"1,417","1,090","1,166","1,309",882,917,901,"1,022","1,266",891,"1,899"
2021,12,30,"13,419",658,462,"1,865","1,408","1,059","1,106",455,408,346,"1,021","1,031",953,"2,647"
2021,12,40,"14,115",490,476,"1,562","1,520","1,193","1,391",547,566,318,"1,092","1,408","1,074","2,478"
2021,12,50,"15,475",601,489,"1,696","1,282","1,438","1,728",611,728,379,"1,149","1,766","1,248","2,360"
2021,12,60,"15,134",736,565,"1,528","1,177","1,233","1,736",576,627,420,"1,043","2,044","1,309","2,140"
2021,12,70,"10,228",472,502,925,920,863,"1,183",417,474,306,753,"1,481",817,"1,115"
2021,12,80,"4,976",187,259,365,466,435,586,241,269,155,333,846,328,506
2021,12,90,688,29,36,62,56,54,64,27,41,19,44,128,50,78
2021,12,100,19,1,0,2,2,3,2,0,1,2,0,4,0,2
