년도,월,나이,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021,3,80,786,29,79,104,215,91,23,12,79,154
2021,3,90,97,0,14,13,22,13,5,4,10,16
2021,3,100,4,0,0,1,1,0,2,0,0,0
2021,4,총,"20,122","1,197","1,438","3,022","5,207","2,214",531,560,"2,445","3,508"
2021,4,0,652,18,33,99,184,61,12,9,97,139
2021,4,10,981,37,47,175,278,104,17,14,103,206
2021,4,20,"2,809",270,160,454,756,264,63,36,395,411
2021,4,30,"2,409",215,134,336,592,271,59,51,394,357
2021,4,40,"2,933",161,201,484,784,287,57,64,395,500
2021,4,50,"3,499",183,272,494,914,389,102,137,373,635
2021,4,60,"3,733",186,287,549,928,448,132,157,375,671
2021,4,70,"2,210",99,211,310,531,285,59,76,226,413
2021,4,80,796,28,79,108,217,92,23,12,77,160
2021,4,90,96,0,14,12,22,13,5,4,10,16
2021,4,100,4,0,0,1,1,0,2,0,0,0
2021,5,총,"20,065","1,189","1,435","3,025","5,183","2,212",531,553,"2,441","3,496"
2021,5,0,638,15,34,99,176,58,12,9,96,139
2021,5,10,980,38,48,175,281,103,17,14,100,204
2021,5,20,"2,785",257,165,452,750,265,61,35,398,402
2021,5,30,"2,418",214,135,342,588,268,57,49,409,356
2021,5,40,"2,913",162,197,483,787,290,54,63,386,491
2021,5,50,"3,482",189,261,498,901,384,105,135,369,640
2021,5,60,"3,750",189,289,548,933,453,135,156,375,672
2021,5,70,"2,200",96,211,307,530,285,60,76,221,414
2021,5,80,796,29,81,107,214,92,23,12,76,162
2021,5,90,99,0,14,13,22,14,5,4,11,16
2021,5,100,4,0,0,1,1,0,2,0,0,0
2021,6,총,"19,799","1,229","1,390","2,988","5,156","2,121",514,530,"2,414","3,457"
2021,6,0,624,15,32,98,174,54,12,8,94,137
2021,6,10,976,37,48,172,280,103,17,15,97,207
2021,6,20,"2,795",276,164,449,750,272,56,33,399,396
2021,6,30,"2,413",220,132,342,598,263,56,44,404,354
2021,6,40,"2,875",169,196,465,774,285,52,63,386,485
2021,6,50,"3,437",194,251,499,900,372,98,133,362,628
2021,6,60,"3,708",192,283,544,935,434,133,150,373,664
2021,6,70,"2,135",94,199,303,520,256,60,71,218,414
2021,6,80,756,32,78,105,203,74,23,9,73,159
2021,6,90,76,0,7,10,21,8,5,4,8,13
2021,6,100,4,0,0,1,1,0,2,0,0,0
2021,7,총,"19,862","1,278","1,385","2,975","5,159","2,141",513,534,"2,413","3,464"
2021,7,0,628,16,33,95,174,59,12,9,93,137
2021,7,10,971,39,48,168,278,104,17,15,93,209
2021,7,20,"2,809",283,165,445,750,273,55,34,406,398
2021,7,30,"2,440",245,132,344,607,263,56,45,394,354
2021,7,40,"2,868",175,189,461,771,291,52,62,389,478
2021,7,50,"3,441",194,249,500,892,374,98,136,365,633
2021,7,60,"3,724",196,282,546,942,436,132,149,374,667
2021,7,70,"2,140",95,201,298,519,258,61,70,220,418
2021,7,80,759,34,79,107,204,76,23,10,71,155
2021,7,90,78,1,7,10,21,7,5,4,8,15
2021,7,100,4,0,0,1,1,0,2,0,0,0
2021,8,총,"19,862","1,337","1,379","2,968","5,152","2,139",503,532,"2,405","3,447"
2021,8,0,624,15,32,96,176,58,12,9,90,136
2021,8,10,959,40,46,166,274,102,17,15,93,206
2021,8,20,"2,831",303,168,438,757,275,52,35,410,393
2021,8,30,"2,449",268,128,349,598,264,54,43,392,353
2021,8,40,"2,861",183,190,458,770,289,52,61,383,475
2021,8,50,"3,441",199,246,498,897,373,97,134,362,635
2021,8,60,"3,717",197,283,547,934,436,129,152,378,661
2021,8,70,"2,134",93,200,296,519,260,63,68,218,417
2021,8,80,765,38,79,109,205,76,21,11,70,156
2021,8,90,78,1,7,10,21,6,5,4,9,15
2021,8,100,3,0,0,1,1,0,1,0,0,0
2021,9,총,"19,863","1,349","1,368","2,963","5,139","2,151",495,532,"2,419","3,447"
2021,9,0,621,14,31,95,174,61,12,9,91,134
2021,9,10,948,39,44,164,270,100,16,15,95,205
2021,9,20,"2,833",305,164,442,758,274,51,36,410,393
2021,9,30,"2,464",276,132,351,596,263,54,44,397,351
2021,9,40,"2,837",188,181,447,764,292,49,59,382,475
2021,9,50,"3,451",198,247,500,894,380,95,133,363,641
2021,9,60,"3,729",196,282,550,937,437,129,152,386,660
2021,9,70,"2,129",92,201,294,520,261,60,69,216,416
2021,9,80,770,40,80,107,204,77,23,11,71,157
2021,9,90,78,1,6,12,21,6,5,4,8,15
2021,9,100,3,0,0,1,1,0,1,0,0,0
2021,10,총,"19,838","1,374","1,364","2,947","5,133","2,147",494,534,"2,409","3,436"
2021,10,0,610,14,31,100,169,59,12,9,87,129
2021,10,10,947,38,45,157,273,102,17,15,94,206
2021,10,20,"2,846",313,162,445,762,267,52,36,419,390
2021,10,30,"2,441",284,132,346,593,257,53,45,388,343
2021,10,40,"2,834",195,180,448,757,298,50,58,377,471
2021,10,50,"3,438",199,243,494,895,376,92,135,362,642
2021,10,60,"3,739",198,282,551,943,439,129,151,384,662
2021,10,70,"2,129",94,203,289,514,264,59,70,221,415
2021,10,80,773,38,78,105,205,80,24,11,69,163
2021,10,90,79,1,8,12,21,5,5,4,8,15
2021,10,100,2,0,0,0,1,0,1,0,0,0
2021,11,총,"19,777","1,376","1,363","2,934","5,110","2,140",497,532,"2,405","3,420"
2021,11,0,596,15,33,96,166,53,12,7,87,127
2021,11,10,939,36,42,161,271,102,17,15,95,200
2021,11,20,"2,838",318,159,443,760,260,53,33,417,395
2021,11,30,"2,426",287,132,341,587,258,51,44,389,337
2021,11,40,"2,808",193,178,443,747,296,50,57,372,472
2021,11,50,"3,429",197,247,485,898,375,93,133,364,637
2021,11,60,"3,759",197,283,560,944,443,130,157,382,663
2021,11,70,"2,133",92,204,290,514,268,60,70,222,413
2021,11,80,769,39,77,103,204,80,25,12,67,162
2021,11,90,79,2,8,12,19,5,5,4,10,14
2021,11,100,1,0,0,0,0,0,1,0,0,0
2021,12,총,"19,755","1,405","1,361","2,926","5,084","2,144",496,529,"2,403","3,407"
2021,12,0,590,16,33,95,163,52,15,6,84,126
2021,12,10,937,37,41,162,266,102,16,13,98,202
2021,12,20,"2,836",327,158,444,744,266,53,32,416,396
2021,12,30,"2,411",305,131,336,576,258,48,40,382,335
2021,12,40,"2,808",194,178,439,751,299,53,57,372,465
2021,12,50,"3,417",197,246,483,889,372,92,138,368,632
2021,12,60,"3,770",201,283,562,952,443,130,158,383,658
2021,12,70,"2,129",88,205,290,516,265,57,70,222,416
2021,12,80,777,38,78,102,208,82,26,11,69,163
2021,12,90,80,2,8,13,19,5,6,4,9,14
2021,12,100,0,0,0,0,0,0,0,0,0,0
