년도,월,나이,정선군,정선읍,고한읍,사북읍,신동읍,신동읍함백출장소,남면,북평면,임계면,화암면,여량면
2020,10,40,"2,902",883,450,420,135,109,279,172,208,110,136
2020,10,50,"3,865","1,045",441,518,206,181,340,280,423,226,205
2020,10,60,"3,930",926,414,468,227,179,431,277,485,230,293
2020,10,70,"2,037",482,253,219,110,107,174,158,263,112,159
2020,10,80,772,181,85,67,53,37,51,71,128,39,60
2020,10,90,78,18,12,2,4,6,5,10,14,2,5
2020,10,100,20,4,3,4,0,7,1,1,0,0,0
2020,11,총,"19,199","5,479","2,496","2,548",961,825,"1,762","1,285","1,875",906,"1,062"
2020,11,0,902,333,127,157,34,14,78,55,51,21,32
2020,11,10,"1,324",535,112,199,65,55,89,82,86,52,49
2020,11,20,"1,616",584,186,233,69,68,131,104,107,70,64
2020,11,30,"1,741",492,416,257,52,59,181,78,106,40,60
2020,11,40,"2,898",880,450,421,135,107,280,171,207,111,136
2020,11,50,"3,847","1,044",434,517,208,184,336,278,421,226,199
2020,11,60,"3,962",929,414,470,233,182,435,277,491,236,295
2020,11,70,"2,035",484,255,220,109,104,175,156,264,109,159
2020,11,80,776,176,87,68,52,39,51,73,128,39,63
2020,11,90,78,18,12,2,4,6,5,10,14,2,5
2020,11,100,20,4,3,4,0,7,1,1,0,0,0
2020,12,총,"19,174","5,464","2,494","2,541",962,835,"1,756","1,276","1,877",905,"1,064"
2020,12,0,893,332,131,155,35,13,76,49,49,21,32
2020,12,10,"1,322",534,110,195,64,56,92,82,87,52,50
2020,12,20,"1,608",580,182,239,69,70,128,106,102,68,64
2020,12,30,"1,724",486,414,250,54,61,180,76,109,38,56
2020,12,40,"2,901",883,451,421,135,107,279,168,209,110,138
2020,12,50,"3,826","1,033",432,518,205,186,335,275,416,227,199
2020,12,60,"3,991",937,419,472,232,187,434,277,495,239,299
2020,12,70,"2,028",481,251,218,111,103,172,158,266,109,159
2020,12,80,781,176,88,67,53,39,54,74,130,39,61
2020,12,90,80,18,13,2,4,6,5,10,14,2,6
2020,12,100,20,4,3,4,0,7,1,1,0,0,0
2021,1,총,"19,127","5,471","2,487","2,519",960,834,"1,746","1,278","1,872",900,"1,060"
2021,1,0,879,331,134,148,35,12,73,49,47,21,29
2021,1,10,"1,317",537,104,194,62,57,95,80,84,51,53
2021,1,20,"1,599",585,181,235,68,68,123,110,100,68,61
2021,1,30,"1,712",479,412,245,54,62,180,77,111,37,55
2021,1,40,"2,867",880,453,410,133,104,272,163,206,109,137
2021,1,50,"3,828","1,029",430,522,203,189,335,276,418,227,199
2021,1,60,"3,995",947,414,473,237,185,434,278,492,235,300
2021,1,70,"2,043",487,253,217,109,105,172,159,270,112,159
2021,1,80,786,174,90,69,54,39,56,75,130,38,61
2021,1,90,81,18,13,2,5,6,5,10,14,2,6
2021,1,100,20,4,3,4,0,7,1,1,0,0,0
2021,2,총,"19,071","5,453","2,480","2,510",949,831,"1,737","1,280","1,867",902,"1,062"
2021,2,0,879,330,131,150,35,15,72,49,47,22,28
2021,2,10,"1,310",533,104,187,63,56,93,82,85,52,55
2021,2,20,"1,582",575,181,234,65,65,121,109,103,68,61
2021,2,30,"1,696",472,419,235,54,61,179,78,106,36,56
2021,2,40,"2,851",874,448,417,131,103,268,163,204,108,135
2021,2,50,"3,820","1,031",425,520,197,188,340,272,417,230,200
2021,2,60,"4,004",953,412,476,239,185,431,280,491,234,303
2021,2,70,"2,034",485,252,215,108,106,170,159,268,112,159
2021,2,80,796,178,92,70,53,39,57,77,133,38,59
2021,2,90,78,18,12,2,4,6,5,10,13,2,6
2021,2,100,21,4,4,4,0,7,1,1,0,0,0
2021,3,총,"18,776","5,425","2,331","2,482",940,790,"1,734","1,273","1,853",897,"1,051"
2021,3,0,878,324,139,149,34,15,73,52,44,22,26
2021,3,10,"1,298",526,103,184,61,56,96,84,82,51,55
2021,3,20,"1,565",579,174,230,66,65,117,106,100,69,59
2021,3,30,"1,663",472,406,231,54,57,181,76,101,33,52
2021,3,40,"2,794",864,428,410,127,100,265,163,196,107,134
2021,3,50,"3,773","1,032",404,513,198,176,337,269,421,227,196
2021,3,60,"3,986",950,387,476,239,182,435,280,491,238,308
2021,3,70,"1,984",484,224,216,105,98,165,159,265,112,156
2021,3,80,770,178,63,69,53,36,60,75,140,36,60
2021,3,90,58,16,3,0,3,2,5,9,13,2,5
2021,3,100,7,0,0,4,0,3,0,0,0,0,0
2021,4,총,"18,737","5,408","2,332","2,480",934,797,"1,718","1,280","1,848",893,"1,047"
2021,4,0,873,327,136,146,33,16,73,50,44,22,26
2021,4,10,"1,287",518,104,184,60,56,95,86,80,51,53
2021,4,20,"1,565",573,175,229,67,68,118,109,101,68,57
2021,4,30,"1,644",469,399,228,54,59,173,77,99,32,54
2021,4,40,"2,783",858,432,412,124,99,263,161,198,104,132
2021,4,50,"3,762","1,028",404,510,198,177,330,271,417,228,199
2021,4,60,"4,001",960,389,480,238,182,435,281,492,238,306
2021,4,70,"1,988",483,228,217,104,99,168,158,265,112,154
2021,4,80,770,176,62,70,53,36,60,78,138,36,61
2021,4,90,57,16,3,0,3,2,3,9,14,2,5
2021,4,100,7,0,0,4,0,3,0,0,0,0,0
2021,5,총,"18,743","5,403","2,337","2,481",933,801,"1,717","1,284","1,850",891,"1,046"
2021,5,0,875,328,136,144,32,17,74,50,44,23,27
2021,5,10,"1,275",511,105,185,60,56,92,86,78,50,52
2021,5,20,"1,563",569,174,234,68,68,118,109,99,68,56
2021,5,30,"1,636",464,397,228,54,60,168,77,103,30,55
2021,5,40,"2,757",852,429,409,123,98,262,160,193,102,129
2021,5,50,"3,784","1,031",414,511,200,177,334,272,415,227,203
2021,5,60,"4,031",971,390,480,240,184,437,285,499,241,304
2021,5,70,"1,980",483,226,217,100,99,168,159,267,108,153
2021,5,80,776,176,63,69,53,37,61,77,138,40,62
2021,5,90,58,17,3,0,3,2,3,9,14,2,5
2021,5,100,8,1,0,4,0,3,0,0,0,0,0
2021,6,총,"18,715","5,391","2,323","2,483",933,797,"1,724","1,285","1,846",889,"1,044"
2021,6,0,876,328,139,143,33,16,74,50,43,23,27
2021,6,10,"1,270",512,104,185,58,56,91,84,79,50,51
2021,6,20,"1,567",570,173,236,71,68,120,111,95,67,56
2021,6,30,"1,614",461,394,223,52,58,161,78,104,29,54
2021,6,40,"2,752",848,424,416,121,97,265,160,189,103,129
2021,6,50,"3,755","1,014",407,507,200,180,336,270,413,227,201
2021,6,60,"4,065",978,394,484,241,183,445,287,504,241,308
2021,6,70,"1,974",481,225,217,100,98,169,158,265,108,153
2021,6,80,777,181,60,68,54,35,60,79,141,39,60
2021,6,90,57,17,3,0,3,3,3,8,13,2,5
2021,6,100,8,1,0,4,0,3,0,0,0,0,0
2021,7,총,"18,700","5,387","2,324","2,475",931,790,"1,729","1,279","1,850",885,"1,050"
2021,7,0,870,326,139,142,34,16,72,48,42,24,27
2021,7,10,"1,268",513,102,189,57,54,92,84,78,49,50
2021,7,20,"1,569",573,176,233,69,70,122,110,94,65,57
2021,7,30,"1,584",452,390,218,54,57,155,74,103,29,52
2021,7,40,"2,754",851,430,411,120,97,268,157,189,100,131
2021,7,50,"3,750","1,011",406,502,197,177,340,273,415,227,202
2021,7,60,"4,087",977,391,491,243,185,448,288,510,243,311
2021,7,70,"1,976",483,227,218,99,95,169,158,264,108,155
2021,7,80,776,183,60,67,55,33,60,79,142,38,59
2021,7,90,58,17,3,0,3,3,3,8,13,2,6
2021,7,100,8,1,0,4,0,3,0,0,0,0,0
2021,8,총,"18,664","5,366","2,320","2,471",940,781,"1,725","1,276","1,849",885,"1,051"
2021,8,0,865,322,139,142,35,16,69,49,42,24,27
2021,8,10,"1,263",515,103,185,54,55,96,83,75,48,49
2021,8,20,"1,563",567,178,232,73,67,118,108,96,64,60
2021,8,30,"1,571",444,388,214,54,55,155,75,103,30,53
2021,8,40,"2,732",844,425,411,122,95,267,153,187,97,131
2021,8,50,"3,748","1,016",404,505,197,173,337,273,414,228,201
2021,8,60,"4,099",975,392,491,248,187,451,287,514,246,308
2021,8,70,"1,978",481,229,220,99,95,166,161,262,108,157
2021,8,80,778,183,59,67,55,32,63,79,143,38,59
2021,8,90,59,18,3,0,3,3,3,8,13,2,6
2021,8,100,8,1,0,4,0,3,0,0,0,0,0
2021,9,총,"18,607","5,353","2,307","2,454",934,785,"1,707","1,280","1,847",891,"1,049"
2021,9,0,856,321,140,139,33,14,68,49,42,23,27
2021,9,10,"1,254",507,103,188,54,57,92,83,73,48,49
2021,9,20,"1,532",559,175,220,70,63,116,108,98,64,59
2021,9,30,"1,562",448,380,215,53,55,152,74,102,30,53
2021,9,40,"2,699",834,417,409,118,95,259,157,186,96,128
2021,9,50,"3,762","1,021",405,504,201,178,339,270,408,234,202
2021,9,60,"4,119",978,396,488,249,189,451,290,520,249,309
2021,9,70,"1,972",479,229,218,99,97,164,162,259,107,158
2021,9,80,782,187,59,69,54,31,62,79,147,37,57
2021,9,90,60,17,3,0,3,3,4,8,12,3,7
2021,9,100,9,2,0,4,0,3,0,0,0,0,0
2021,10,총,"18,585","5,359","2,298","2,447",940,791,"1,701","1,269","1,837",892,"1,051"
2021,10,0,855,322,138,140,33,14,67,48,42,24,27
2021,10,10,"1,256",510,102,189,54,57,92,80,73,48,51
2021,10,20,"1,533",566,172,219,73,63,116,105,95,64,60
2021,10,30,"1,545",446,374,214,55,55,146,74,100,30,51
2021,10,40,"2,691",832,418,411,119,96,259,152,184,93,127
2021,10,50,"3,741","1,016",401,497,200,180,337,270,404,234,202
2021,10,60,"4,155",980,403,493,248,197,451,292,528,251,312
2021,10,70,"1,960",478,226,216,100,94,167,161,255,106,157
2021,10,80,783,188,61,68,55,29,62,80,144,39,57
2021,10,90,61,19,3,0,3,3,4,7,12,3,7
2021,10,100,5,2,0,0,0,3,0,0,0,0,0
2021,11,총,"18,573","5,364","2,294","2,444",944,791,"1,692","1,262","1,836",895,"1,051"
2021,11,0,839,319,134,140,31,14,63,46,42,24,26
2021,11,10,"1,250",513,102,185,54,56,92,78,72,48,50
2021,11,20,"1,523",566,165,223,71,62,115,104,95,62,60
2021,11,30,"1,544",446,377,210,56,53,144,76,101,30,51
2021,11,40,"2,673",820,422,414,117,93,259,148,182,94,124
2021,11,50,"3,742","1,023",399,491,203,185,337,270,399,234,201
2021,11,60,"4,179",983,402,498,253,201,450,290,530,256,316
2021,11,70,"1,976",482,228,217,101,95,166,163,260,105,159
2021,11,80,780,191,62,65,54,28,62,79,143,39,57
2021,11,90,64,19,3,1,4,3,4,8,12,3,7
2021,11,100,3,2,0,0,0,1,0,0,0,0,0
2021,12,총,"18,565","5,366","2,290","2,444",948,794,"1,686","1,252","1,845",889,"1,051"
2021,12,0,835,316,135,138,29,16,63,46,41,24,27
2021,12,10,"1,240",508,101,183,55,57,92,75,72,48,49
2021,12,20,"1,532",574,168,219,72,62,112,103,99,61,62
2021,12,30,"1,528",441,368,213,59,51,140,73,102,30,51
2021,12,40,"2,656",815,420,411,117,95,260,144,179,91,124
2021,12,50,"3,744","1,030",403,492,202,183,333,267,401,234,199
2021,12,60,"4,195",984,400,504,254,202,454,293,534,255,315
2021,12,70,"1,977",486,226,216,102,95,167,163,261,101,160
2021,12,80,790,191,66,67,54,29,60,80,144,42,57
2021,12,90,65,19,3,1,4,3,5,8,12,3,7
2021,12,100,3,2,0,0,0,1,0,0,0,0,0
