년도,월,나이,강북구,삼양동,미아동,송중동,송천동,삼각산동,번1동,번2동,번3동,수유1동,수유2동,수유3동,우이동,인수동
2020,4,70,"12,995","1,032",911,"1,240","1,237",818,785,793,990,908,920,985,946,"1,430"
2020,4,80,"4,345",322,312,389,418,258,249,238,259,319,359,324,386,512
2020,4,90,410,37,27,34,43,22,22,14,22,34,32,32,44,47
2020,4,100,60,10,1,11,5,8,1,3,1,4,1,2,8,5
2020,5,총,"152,333","12,473","10,720","14,733","13,896","15,634","9,649","8,183","8,468","10,599","10,403","11,815","10,283","15,477"
2020,5,0,"8,693",733,464,824,620,"1,647",391,407,534,546,579,436,633,879
2020,5,10,"11,793","1,073",730,"1,041",857,"2,081",615,615,729,721,783,656,762,"1,130"
2020,5,20,"21,288","1,648","1,657","2,078","1,932","1,710","1,622","1,135","1,037","1,569","1,463","2,066","1,290","2,081"
2020,5,30,"21,010","1,628","1,556","2,178","1,834","1,869","1,537","1,061",958,"1,538","1,368","1,929","1,423","2,131"
2020,5,40,"24,697","1,968","1,641","2,427","2,158","3,245","1,589","1,305","1,414","1,659","1,605","1,779","1,545","2,362"
2020,5,50,"26,086","2,280","1,870","2,459","2,597","2,473","1,630","1,422","1,341","1,792","1,797","2,066","1,731","2,628"
2020,5,60,"20,893","1,734","1,547","2,047","2,185","1,505","1,209","1,192","1,179","1,498","1,493","1,539","1,499","2,266"
2020,5,70,"13,017","1,040",911,"1,237","1,243",818,781,790,988,917,919,980,957,"1,436"
2020,5,80,"4,385",323,317,397,422,256,250,239,265,321,363,329,392,511
2020,5,90,410,36,26,33,43,22,24,14,22,34,32,33,43,48
2020,5,100,61,10,1,12,5,8,1,3,1,4,1,2,8,5
2020,6,총,"152,028","12,455","10,735","14,745","13,872","15,583","9,642","8,136","8,421","10,569","10,381","11,768","10,268","15,453"
2020,6,0,"8,633",723,461,833,612,"1,630",388,403,536,548,575,432,620,872
2020,6,10,"11,723","1,078",729,"1,031",855,"2,079",613,611,705,704,787,641,767,"1,123"
2020,6,20,"21,222","1,645","1,669","2,083","1,926","1,694","1,621","1,123","1,035","1,560","1,460","2,067","1,276","2,063"
2020,6,30,"20,964","1,618","1,567","2,172","1,826","1,843","1,550","1,064",948,"1,538","1,365","1,919","1,417","2,137"
2020,6,40,"24,592","1,957","1,629","2,431","2,148","3,255","1,578","1,289","1,396","1,652","1,592","1,759","1,560","2,346"
2020,6,50,"26,004","2,279","1,864","2,458","2,583","2,453","1,633","1,396","1,350","1,778","1,794","2,062","1,721","2,633"
2020,6,60,"20,971","1,742","1,560","2,053","2,204","1,510","1,201","1,204","1,175","1,510","1,490","1,547","1,506","2,269"
2020,6,70,"13,043","1,038",915,"1,240","1,250",829,787,788,984,917,920,976,956,"1,443"
2020,6,80,"4,407",328,313,400,422,261,246,241,268,324,366,329,393,516
2020,6,90,409,37,27,32,41,22,24,14,23,34,31,34,44,46
2020,6,100,60,10,1,12,5,7,1,3,1,4,1,2,8,5
2020,7,총,"151,707","12,439","10,731","14,738","13,854","15,553","9,598","8,102","8,399","10,562","10,342","11,762","10,234","15,393"
2020,7,0,"8,559",720,453,835,600,"1,621",388,395,532,541,566,431,615,862
2020,7,10,"11,667","1,070",725,"1,026",852,"2,079",598,612,704,705,782,637,766,"1,111"
2020,7,20,"21,198","1,663","1,672","2,087","1,931","1,689","1,604","1,122","1,022","1,562","1,460","2,072","1,260","2,054"
2020,7,30,"20,818","1,614","1,561","2,155","1,800","1,843","1,539","1,049",940,"1,520","1,361","1,909","1,408","2,119"
2020,7,40,"24,509","1,941","1,630","2,424","2,149","3,233","1,574","1,271","1,390","1,657","1,566","1,773","1,556","2,345"
2020,7,50,"25,949","2,266","1,867","2,448","2,581","2,450","1,625","1,397","1,354","1,777","1,787","2,052","1,724","2,621"
2020,7,60,"21,024","1,747","1,564","2,068","2,216","1,514","1,209","1,201","1,175","1,515","1,500","1,543","1,506","2,266"
2020,7,70,"13,071","1,040",914,"1,250","1,256",835,789,795,985,920,916,977,952,"1,442"
2020,7,80,"4,441",330,317,402,423,261,246,244,272,328,372,330,394,522
2020,7,90,410,38,27,31,41,21,25,13,24,33,31,36,45,45
2020,7,100,61,10,1,12,5,7,1,3,1,4,1,2,8,6
2020,8,총,"151,376","12,393","10,724","14,714","13,818","15,502","9,573","8,087","8,361","10,575","10,308","11,726","10,246","15,349"
2020,8,0,"8,480",713,441,827,594,"1,597",386,391,524,547,561,434,616,849
2020,8,10,"11,617","1,059",723,"1,033",846,"2,078",589,611,707,709,777,629,759,"1,097"
2020,8,20,"21,119","1,663","1,663","2,078","1,918","1,678","1,601","1,122","1,010","1,561","1,448","2,059","1,260","2,058"
2020,8,30,"20,735","1,616","1,558","2,140","1,804","1,835","1,530","1,038",923,"1,524","1,374","1,897","1,406","2,090"
2020,8,40,"24,372","1,926","1,622","2,408","2,126","3,204","1,557","1,265","1,400","1,648","1,541","1,779","1,556","2,340"
2020,8,50,"25,922","2,252","1,880","2,450","2,579","2,456","1,626","1,395","1,344","1,768","1,791","2,032","1,725","2,624"
2020,8,60,"21,125","1,753","1,575","2,079","2,228","1,519","1,222","1,201","1,173","1,530","1,499","1,547","1,520","2,279"
2020,8,70,"13,068","1,029",914,"1,251","1,253",846,785,803,979,922,909,983,953,"1,441"
2020,8,80,"4,462",334,320,405,423,261,251,244,275,330,373,327,398,521
2020,8,90,415,38,27,31,42,21,25,14,25,32,34,37,45,44
2020,8,100,61,10,1,12,5,7,1,3,1,4,1,2,8,6
2020,9,총,"151,117","12,338","10,735","14,670","13,800","15,477","9,592","8,059","8,339","10,549","10,296","11,709","10,242","15,311"
2020,9,0,"8,416",706,436,813,580,"1,607",388,388,510,551,556,430,611,840
2020,9,10,"11,564","1,045",723,"1,027",841,"2,065",592,604,709,704,779,628,763,"1,084"
2020,9,20,"21,104","1,665","1,676","2,074","1,915","1,671","1,605","1,131",990,"1,544","1,442","2,070","1,258","2,063"
2020,9,30,"20,653","1,612","1,561","2,115","1,801","1,828","1,532","1,041",920,"1,512","1,368","1,888","1,399","2,076"
2020,9,40,"24,235","1,903","1,617","2,400","2,110","3,184","1,545","1,252","1,396","1,648","1,529","1,766","1,557","2,328"
2020,9,50,"25,872","2,238","1,863","2,454","2,573","2,453","1,632","1,385","1,343","1,771","1,790","2,028","1,729","2,613"
2020,9,60,"21,243","1,765","1,597","2,084","2,247","1,535","1,223","1,193","1,188","1,534","1,517","1,550","1,515","2,295"
2020,9,70,"13,038","1,019",908,"1,251","1,252",842,794,806,976,911,907,978,953,"1,441"
2020,9,80,"4,512",337,324,407,434,264,254,242,281,338,372,334,404,521
2020,9,90,419,38,29,33,42,21,26,14,25,32,35,35,45,44
2020,9,100,61,10,1,12,5,7,1,3,1,4,1,2,8,6
2020,10,총,"150,744","12,297","10,733","14,657","13,746","15,465","9,559","8,013","8,295","10,511","10,300","11,687","10,216","15,265"
2020,10,0,"8,318",690,426,817,569,"1,597",379,380,505,539,549,427,607,833
2020,10,10,"11,481","1,045",726,"1,019",830,"2,058",587,588,699,697,774,622,759,"1,077"
2020,10,20,"21,040","1,651","1,668","2,070","1,902","1,671","1,592","1,136",991,"1,548","1,442","2,063","1,251","2,055"
2020,10,30,"20,550","1,603","1,556","2,104","1,796","1,834","1,517","1,024",903,"1,501","1,371","1,884","1,390","2,067"
2020,10,40,"24,146","1,900","1,621","2,394","2,086","3,160","1,539","1,248","1,389","1,644","1,521","1,761","1,553","2,330"
2020,10,50,"25,837","2,223","1,865","2,464","2,572","2,459","1,627","1,367","1,348","1,756","1,795","2,028","1,729","2,604"
2020,10,60,"21,323","1,779","1,606","2,083","2,251","1,542","1,239","1,205","1,180","1,544","1,527","1,556","1,517","2,294"
2020,10,70,"13,020","1,024",910,"1,248","1,255",845,801,798,970,908,912,972,948,"1,429"
2020,10,80,"4,550",334,326,413,437,271,251,249,286,339,370,337,409,528
2020,10,90,418,38,28,33,43,21,26,15,23,31,38,35,45,42
2020,10,100,61,10,1,12,5,7,1,3,1,4,1,2,8,6
2020,11,총,"150,423","12,266","10,724","14,620","13,678","15,437","9,555","7,989","8,286","10,510","10,275","11,668","10,205","15,210"
2020,11,0,"8,234",689,424,814,551,"1,581",375,376,491,536,550,425,599,823
2020,11,10,"11,413","1,038",723,"1,010",833,"2,051",581,580,695,701,774,609,748,"1,070"
2020,11,20,"21,013","1,629","1,674","2,076","1,894","1,679","1,581","1,141",998,"1,550","1,432","2,061","1,250","2,048"
2020,11,30,"20,438","1,609","1,538","2,085","1,766","1,821","1,523","1,014",904,"1,500","1,369","1,865","1,389","2,055"
2020,11,40,"24,039","1,885","1,615","2,370","2,075","3,150","1,548","1,239","1,381","1,628","1,521","1,756","1,550","2,321"
2020,11,50,"25,825","2,219","1,869","2,462","2,563","2,465","1,620","1,362","1,359","1,755","1,789","2,037","1,729","2,596"
2020,11,60,"21,383","1,792","1,609","2,104","2,253","1,541","1,242","1,206","1,181","1,556","1,519","1,563","1,522","2,295"
2020,11,70,"13,024","1,022",913,"1,235","1,253",847,807,805,964,911,909,977,955,"1,426"
2020,11,80,"4,572",336,330,416,441,273,252,248,289,337,373,338,409,530
2020,11,90,421,36,28,36,44,22,25,16,23,32,38,35,46,40
2020,11,100,61,11,1,12,5,7,1,2,1,4,1,2,8,6
2020,12,총,"150,143","12,239","10,698","14,596","13,633","15,393","9,574","7,976","8,256","10,511","10,277","11,654","10,198","15,138"
2020,12,0,"8,162",690,421,807,546,"1,571",366,369,490,539,546,420,589,808
2020,12,10,"11,319","1,033",709,"1,004",830,"2,038",581,571,692,696,769,600,740,"1,056"
2020,12,20,"21,044","1,626","1,673","2,088","1,883","1,676","1,591","1,153",992,"1,558","1,431","2,066","1,251","2,056"
2020,12,30,"20,357","1,608","1,532","2,075","1,761","1,803","1,521","1,005",904,"1,501","1,376","1,847","1,399","2,025"
2020,12,40,"23,936","1,871","1,614","2,346","2,069","3,138","1,559","1,237","1,363","1,623","1,521","1,750","1,539","2,306"
2020,12,50,"25,793","2,207","1,864","2,453","2,547","2,474","1,627","1,353","1,361","1,756","1,786","2,047","1,729","2,589"
2020,12,60,"21,431","1,788","1,619","2,114","2,244","1,537","1,248","1,214","1,185","1,558","1,532","1,570","1,529","2,293"
2020,12,70,"13,005","1,031",905,"1,244","1,260",853,796,807,958,903,903,973,953,"1,419"
2020,12,80,"4,611",336,333,417,442,275,260,247,287,341,375,345,415,538
2020,12,90,423,38,27,36,46,21,24,18,23,31,37,34,46,42
2020,12,100,62,11,1,12,5,7,1,2,1,5,1,2,8,6
2021,1,총,"149,822","12,192","10,711","14,591","13,579","15,341","9,536","7,958","8,206","10,498","10,290","11,676","10,177","15,067"
2021,1,0,"8,061",683,413,798,533,"1,543",367,361,488,537,549,415,577,797
2021,1,10,"11,263","1,025",714,"1,000",828,"2,037",567,567,687,682,771,600,738,"1,047"
2021,1,20,"20,963","1,613","1,682","2,084","1,874","1,679","1,577","1,161",978,"1,555","1,428","2,054","1,243","2,035"
2021,1,30,"20,209","1,589","1,529","2,062","1,739","1,757","1,511",992,892,"1,512","1,369","1,857","1,392","2,008"
2021,1,40,"23,851","1,868","1,617","2,348","2,058","3,135","1,541","1,222","1,349","1,607","1,526","1,754","1,532","2,294"
2021,1,50,"25,804","2,202","1,861","2,463","2,552","2,489","1,631","1,362","1,353","1,753","1,783","2,042","1,736","2,577"
2021,1,60,"21,505","1,788","1,625","2,120","2,242","1,541","1,250","1,218","1,183","1,566","1,545","1,591","1,534","2,302"
2021,1,70,"13,027","1,035",907,"1,247","1,257",853,804,801,962,903,906,976,954,"1,422"
2021,1,80,"4,653",340,335,422,444,280,264,253,291,346,375,351,416,536
2021,1,90,422,38,27,34,47,21,23,19,21,32,37,33,47,43
2021,1,100,64,11,1,13,5,6,1,2,2,5,1,3,8,6
2021,2,총,"149,427","12,179","10,687","14,523","13,544","15,271","9,519","7,917","8,154","10,520","10,262","11,655","10,164","15,032"
2021,2,0,"7,970",673,411,785,531,"1,523",359,355,479,531,547,412,572,792
2021,2,10,"11,150","1,020",704,984,818,"2,005",573,559,671,675,763,598,733,"1,047"
2021,2,20,"20,878","1,621","1,689","2,066","1,870","1,661","1,588","1,154",978,"1,553","1,419","2,026","1,239","2,014"
2021,2,30,"20,094","1,584","1,507","2,047","1,735","1,755","1,483",976,886,"1,542","1,335","1,853","1,388","2,003"
2021,2,40,"23,742","1,857","1,616","2,340","2,037","3,122","1,547","1,231","1,331","1,589","1,520","1,742","1,525","2,285"
2021,2,50,"25,839","2,203","1,872","2,462","2,540","2,498","1,629","1,348","1,350","1,765","1,802","2,057","1,739","2,574"
2021,2,60,"21,549","1,791","1,621","2,125","2,246","1,539","1,246","1,219","1,187","1,582","1,544","1,599","1,538","2,312"
2021,2,70,"12,991","1,032",898,"1,237","1,267",853,801,798,954,897,913,974,957,"1,410"
2021,2,80,"4,725",348,341,429,448,287,269,255,296,350,380,358,419,545
2021,2,90,423,38,27,35,47,22,23,20,20,31,38,33,45,44
2021,2,100,66,12,1,13,5,6,1,2,2,5,1,3,9,6
2021,3,총,"148,306","12,057","10,626","14,402","13,445","15,134","9,432","7,846","8,079","10,399","10,279","11,565","10,058","14,984"
2021,3,0,"7,873",667,399,787,524,"1,505",352,345,472,517,545,402,567,791
2021,3,10,"11,070","1,007",700,976,816,"2,003",564,556,654,666,767,592,731,"1,038"
2021,3,20,"20,852","1,627","1,690","2,070","1,847","1,662","1,587","1,151",963,"1,541","1,424","2,026","1,238","2,026"
2021,3,30,"19,953","1,562","1,510","2,039","1,729","1,721","1,463",979,882,"1,533","1,337","1,835","1,370","1,993"
2021,3,40,"23,546","1,846","1,603","2,303","2,032","3,096","1,534","1,203","1,304","1,576","1,531","1,731","1,506","2,281"
2021,3,50,"25,653","2,196","1,844","2,442","2,534","2,484","1,619","1,339","1,346","1,753","1,792","2,034","1,734","2,536"
2021,3,60,"21,516","1,782","1,630","2,116","2,256","1,515","1,248","1,211","1,195","1,564","1,554","1,591","1,529","2,325"
2021,3,70,"12,817","1,009",891,"1,219","1,242",842,784,792,942,875,909,961,943,"1,408"
2021,3,80,"4,632",327,336,422,424,283,261,252,304,340,380,358,402,543
2021,3,90,380,31,23,26,39,22,20,18,16,34,39,35,36,41
2021,3,100,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021,4,총,"148,033","12,012","10,624","14,383","13,409","15,143","9,403","7,805","8,066","10,369","10,269","11,526","10,067","14,957"
2021,4,0,"7,819",655,392,780,514,"1,519",348,336,466,508,548,400,570,783
2021,4,10,"11,029","1,009",698,972,808,"1,998",558,550,654,667,758,591,730,"1,036"
2021,4,20,"20,781","1,628","1,684","2,076","1,846","1,652","1,573","1,153",970,"1,532","1,418","2,015","1,228","2,006"
2021,4,30,"19,875","1,538","1,503","2,036","1,715","1,729","1,460",975,878,"1,522","1,325","1,831","1,367","1,996"
2021,4,40,"23,442","1,819","1,590","2,298","2,028","3,088","1,526","1,192","1,288","1,573","1,542","1,711","1,519","2,268"
2021,4,50,"25,608","2,206","1,848","2,426","2,522","2,492","1,613","1,336","1,343","1,741","1,785","2,032","1,736","2,528"
2021,4,60,"21,627","1,790","1,658","2,133","2,255","1,522","1,257","1,208","1,203","1,575","1,559","1,590","1,531","2,346"
2021,4,70,"12,781","1,001",891,"1,206","1,252",836,784,790,941,872,908,958,943,"1,399"
2021,4,80,"4,680",332,337,426,429,286,262,247,306,345,387,364,405,554
2021,4,90,377,31,23,28,38,20,22,18,16,34,38,34,36,39
2021,4,100,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021,5,총,"147,824","12,009","10,596","14,346","13,351","15,098","9,415","7,821","8,069","10,345","10,239","11,516","10,065","14,954"
2021,5,0,"7,777",654,390,773,516,"1,507",346,342,470,501,540,396,557,785
2021,5,10,"10,949","1,009",683,967,804,"1,984",551,544,650,658,751,589,727,"1,032"
2021,5,20,"20,749","1,628","1,682","2,073","1,823","1,651","1,583","1,158",964,"1,527","1,416","2,003","1,225","2,016"
2021,5,30,"19,817","1,537","1,520","2,013","1,706","1,713","1,458",975,882,"1,508","1,323","1,834","1,367","1,981"
2021,5,40,"23,338","1,824","1,559","2,288","2,004","3,080","1,524","1,185","1,281","1,580","1,534","1,712","1,515","2,252"
2021,5,50,"25,575","2,187","1,860","2,432","2,514","2,486","1,612","1,340","1,344","1,738","1,767","2,025","1,743","2,527"
2021,5,60,"21,726","1,803","1,659","2,138","2,264","1,529","1,261","1,216","1,208","1,585","1,571","1,596","1,538","2,358"
2021,5,70,"12,752","1,002",879,"1,200","1,250",839,787,791,939,864,900,955,944,"1,402"
2021,5,80,"4,749",331,344,432,430,288,270,252,314,349,398,372,410,559
2021,5,90,378,31,20,28,38,20,23,18,16,35,38,34,37,40
2021,5,100,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021,6,총,"147,542","11,985","10,564","14,323","13,350","15,067","9,405","7,809","8,042","10,313","10,215","11,491","10,058","14,920"
2021,6,0,"7,702",639,381,771,517,"1,498",333,336,462,495,540,399,551,780
2021,6,10,"10,912","1,015",679,962,789,"1,969",546,545,656,659,745,585,718,"1,044"
2021,6,20,"20,688","1,628","1,663","2,074","1,821","1,653","1,598","1,150",956,"1,516","1,407","1,983","1,239","2,000"
2021,6,30,"19,733","1,535","1,529","2,006","1,706","1,698","1,448",983,868,"1,504","1,307","1,828","1,349","1,972"
2021,6,40,"23,245","1,808","1,552","2,270","2,007","3,072","1,510","1,174","1,278","1,574","1,531","1,710","1,527","2,232"
2021,6,50,"25,494","2,181","1,850","2,419","2,497","2,492","1,611","1,334","1,350","1,733","1,766","2,011","1,740","2,510"
2021,6,60,"21,847","1,812","1,670","2,153","2,283","1,531","1,275","1,222","1,198","1,581","1,579","1,605","1,546","2,392"
2021,6,70,"12,739","1,004",882,"1,192","1,252",843,782,794,934,864,899,962,942,"1,389"
2021,6,80,"4,789",330,338,446,437,290,277,253,324,351,402,375,409,557
2021,6,90,379,30,20,28,39,20,25,18,15,36,38,33,35,42
2021,6,100,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021,7,총,"147,237","11,961","10,524","14,299","13,306","15,078","9,394","7,771","8,021","10,286","10,214","11,520","10,017","14,846"
2021,7,0,"7,642",638,372,764,510,"1,484",329,338,460,495,541,395,542,774
2021,7,10,"10,879","1,014",675,950,791,"1,984",544,536,647,658,742,593,713,"1,032"
2021,7,20,"20,572","1,615","1,654","2,078","1,806","1,654","1,594","1,130",951,"1,502","1,402","1,971","1,235","1,980"
2021,7,30,"19,668","1,529","1,525","1,997","1,684","1,687","1,450",975,864,"1,499","1,313","1,832","1,345","1,968"
2021,7,40,"23,128","1,791","1,544","2,274","1,999","3,059","1,500","1,166","1,261","1,569","1,520","1,717","1,512","2,216"
2021,7,50,"25,455","2,186","1,838","2,407","2,491","2,499","1,615","1,333","1,345","1,727","1,764","2,012","1,734","2,504"
2021,7,60,"21,920","1,811","1,672","2,158","2,286","1,552","1,275","1,227","1,212","1,580","1,583","1,623","1,549","2,392"
2021,7,70,"12,747","1,007",883,"1,192","1,255",845,780,788,941,868,903,964,937,"1,384"
2021,7,80,"4,826",334,341,448,444,293,282,261,323,350,405,379,413,553
2021,7,90,386,33,20,29,38,20,25,17,16,38,40,34,35,41
2021,7,100,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021,8,총,"146,919","11,916","10,474","14,291","13,266","15,059","9,362","7,753","7,994","10,239","10,210","11,529","10,008","14,818"
2021,8,0,"7,522",627,369,756,498,"1,458",323,335,449,486,533,392,543,753
2021,8,10,"10,844","1,004",665,948,796,"1,991",534,534,643,652,740,595,712,"1,030"
2021,8,20,"20,540","1,615","1,657","2,068","1,783","1,650","1,602","1,127",946,"1,508","1,401","1,984","1,219","1,980"
2021,8,30,"19,586","1,509","1,514","2,016","1,672","1,682","1,439",956,859,"1,478","1,317","1,821","1,353","1,970"
2021,8,40,"22,955","1,777","1,532","2,246","2,002","3,036","1,477","1,162","1,247","1,551","1,499","1,723","1,512","2,191"
2021,8,50,"25,506","2,181","1,821","2,425","2,484","2,516","1,620","1,337","1,361","1,715","1,780","2,016","1,738","2,512"
2021,8,60,"21,979","1,821","1,677","2,161","2,292","1,560","1,281","1,231","1,208","1,590","1,584","1,630","1,547","2,397"
2021,8,70,"12,704","1,010",877,"1,184","1,254",848,776,788,932,866,904,958,927,"1,380"
2021,8,80,"4,883",337,342,455,446,297,285,266,332,356,411,376,420,560
2021,8,90,385,32,20,30,37,20,25,17,16,37,40,34,35,42
2021,8,100,15,3,0,2,2,1,0,0,1,0,1,0,2,3
2021,9,총,"146,613","11,857","10,449","14,279","13,230","15,059","9,345","7,714","7,978","10,201","10,205","11,510","9,994","14,792"
2021,9,0,"7,480",628,373,751,491,"1,447",323,328,447,478,530,389,539,756
2021,9,10,"10,802",990,667,950,797,"1,988",522,533,638,652,733,591,710,"1,031"
2021,9,20,"20,431","1,604","1,636","2,070","1,769","1,645","1,597","1,121",949,"1,493","1,396","1,981","1,217","1,953"
2021,9,30,"19,537","1,494","1,513","2,000","1,668","1,678","1,434",945,853,"1,474","1,319","1,836","1,356","1,967"
2021,9,40,"22,868","1,768","1,539","2,236","1,982","3,027","1,475","1,149","1,241","1,545","1,498","1,706","1,512","2,190"
2021,9,50,"25,475","2,174","1,806","2,428","2,483","2,538","1,614","1,333","1,361","1,709","1,785","2,007","1,731","2,506"
2021,9,60,"22,023","1,814","1,675","2,173","2,298","1,563","1,291","1,233","1,210","1,592","1,582","1,633","1,544","2,415"
2021,9,70,"12,686","1,009",874,"1,186","1,259",850,778,785,923,866,912,956,919,"1,369"
2021,9,80,"4,916",341,345,454,448,302,286,271,338,356,408,377,429,561
2021,9,90,380,32,21,29,33,20,25,16,17,36,41,34,35,41
2021,9,100,15,3,0,2,2,1,0,0,1,0,1,0,2,3
2021,10,총,"146,240","11,845","10,404","14,216","13,185","15,062","9,316","7,697","7,936","10,192","10,185","11,499","9,974","14,729"
2021,10,0,"7,408",625,363,735,490,"1,436",324,325,440,469,525,388,536,752
2021,10,10,"10,743",986,668,944,794,"1,979",521,530,633,649,720,587,709,"1,023"
2021,10,20,"20,318","1,591","1,620","2,058","1,756","1,660","1,564","1,122",942,"1,483","1,383","1,988","1,201","1,950"
2021,10,30,"19,495","1,507","1,511","1,977","1,652","1,672","1,437",933,852,"1,479","1,327","1,827","1,359","1,962"
2021,10,40,"22,756","1,758","1,527","2,223","1,979","3,019","1,471","1,148","1,221","1,542","1,503","1,699","1,498","2,168"
2021,10,50,"25,436","2,176","1,797","2,424","2,459","2,544","1,610","1,340","1,367","1,701","1,782","1,997","1,732","2,507"
2021,10,60,"22,083","1,814","1,672","2,187","2,314","1,570","1,305","1,231","1,207","1,607","1,580","1,634","1,562","2,400"
2021,10,70,"12,670","1,008",875,"1,185","1,251",860,776,779,915,872,912,963,907,"1,367"
