년도,월,나이,논산시,강경읍,연무읍,성동면,광석면,노성면,상월면,부적면,연산면,벌곡면,양촌면,가야곡면,은진면,채운면,취암동,부창동
2020,2,70,"7,223",656,907,426,377,256,306,309,501,234,501,332,297,225,"1,151",745
2020,2,80,"5,211",399,706,325,316,235,254,241,365,182,383,264,249,176,668,448
2020,2,90,836,84,118,37,33,35,32,42,68,39,64,43,50,29,91,71
2020,2,100,63,9,8,1,1,2,6,3,7,5,4,3,4,3,5,2
2020,3,총,"59,091","4,412","6,983","2,087","2,164","1,532","1,829","1,772","2,973","1,237","3,186","1,741","1,893","1,193","17,517","8,572"
2020,3,0,"3,666",186,460,50,66,59,39,41,93,34,200,25,52,33,"1,668",660
2020,3,10,"4,885",357,554,89,119,76,79,95,147,51,176,68,111,80,"1,936",947
2020,3,20,"5,185",323,586,138,143,93,106,119,175,55,195,96,177,60,"2,068",851
2020,3,30,"5,352",293,616,95,107,97,104,91,163,51,287,83,91,62,"2,325",887
2020,3,40,"7,380",493,757,145,176,144,199,140,249,89,306,134,155,100,"2,955","1,338"
2020,3,50,"9,656",775,"1,107",332,373,211,304,316,555,203,521,297,329,177,"2,695","1,461"
2020,3,60,"9,594",835,"1,157",446,445,321,399,376,651,286,545,395,381,250,"1,952","1,155"
2020,3,70,"7,217",654,908,429,379,259,306,303,495,238,501,329,295,225,"1,147",749
2020,3,80,"5,243",404,715,323,321,236,254,243,370,185,385,268,246,174,667,452
2020,3,90,852,83,115,39,34,34,34,44,70,40,66,43,52,29,99,70
2020,3,100,61,9,8,1,1,2,5,4,5,5,4,3,4,3,5,2
2020,4,총,"58,993","4,399","6,988","2,083","2,149","1,521","1,830","1,761","2,956","1,222","3,182","1,733","1,895","1,187","17,528","8,559"
2020,4,0,"3,668",183,466,52,66,58,39,41,91,34,196,26,56,30,"1,672",658
2020,4,10,"4,866",353,552,88,120,76,80,93,147,46,181,66,111,79,"1,933",941
2020,4,20,"5,136",316,580,137,136,90,108,116,166,53,196,95,177,60,"2,074",832
2020,4,30,"5,313",291,612,93,105,97,107,85,161,50,284,80,90,58,"2,315",885
2020,4,40,"7,376",487,756,142,175,140,198,141,252,90,305,132,158,101,"2,951","1,348"
2020,4,50,"9,615",778,"1,106",330,365,209,302,311,550,198,516,297,326,175,"2,690","1,462"
2020,4,60,"9,623",837,"1,164",446,449,323,397,378,657,288,548,393,377,251,"1,960","1,155"
2020,4,70,"7,212",655,907,431,379,256,300,307,489,237,497,329,295,226,"1,151",753
2020,4,80,"5,265",406,719,325,319,234,261,241,368,185,389,270,249,174,675,450
2020,4,90,855,84,117,38,34,35,33,44,70,36,66,42,52,30,102,72
2020,4,100,64,9,9,1,1,3,5,4,5,5,4,3,4,3,5,3
2020,5,총,"58,901","4,383","6,979","2,080","2,142","1,509","1,825","1,753","2,951","1,212","3,179","1,728","1,886","1,187","17,524","8,563"
2020,5,0,"3,650",187,466,51,64,55,37,39,90,35,192,25,55,30,"1,666",658
2020,5,10,"4,849",349,547,88,121,73,80,93,147,46,183,66,112,80,"1,925",939
2020,5,20,"5,094",315,578,136,135,88,109,114,158,51,197,93,169,61,"2,060",830
2020,5,30,"5,283",288,606,87,103,97,110,81,159,48,275,79,90,58,"2,324",878
2020,5,40,"7,366",479,760,142,174,135,191,140,252,89,309,133,160,99,"2,952","1,351"
2020,5,50,"9,582",776,"1,098",328,366,208,303,311,547,199,514,287,323,176,"2,680","1,466"
2020,5,60,"9,655",837,"1,174",450,446,320,398,377,662,287,553,399,378,251,"1,972","1,151"
2020,5,70,"7,221",653,907,431,379,260,299,307,493,230,493,332,296,226,"1,152",763
2020,5,80,"5,276",409,718,329,320,235,260,242,367,187,391,268,246,173,678,453
2020,5,90,861,81,117,37,33,35,33,45,71,35,68,43,53,30,108,72
2020,5,100,64,9,8,1,1,3,5,4,5,5,4,3,4,3,7,2
2020,6,총,"58,834","4,379","6,958","2,079","2,133","1,501","1,822","1,757","2,940","1,218","3,165","1,724","1,889","1,194","17,520","8,555"
2020,6,0,"3,631",188,459,52,61,55,36,41,88,34,187,24,56,30,"1,666",654
2020,6,10,"4,835",342,546,89,121,72,80,92,145,47,181,64,111,81,"1,921",943
2020,6,20,"5,068",321,569,131,135,86,111,113,155,50,196,96,168,62,"2,054",821
2020,6,30,"5,253",287,603,88,100,96,105,83,156,47,274,76,91,60,"2,313",874
2020,6,40,"7,362",476,756,140,172,136,189,139,249,91,305,133,161,98,"2,957","1,360"
2020,6,50,"9,542",767,"1,092",331,358,202,308,312,545,201,514,282,323,175,"2,681","1,451"
2020,6,60,"9,720",844,"1,178",451,451,319,394,380,667,292,553,405,381,252,"1,987","1,166"
2020,6,70,"7,224",656,909,429,379,263,302,305,491,230,494,332,293,229,"1,148",764
2020,6,80,"5,268",405,718,329,321,235,259,244,368,187,390,266,248,173,677,448
2020,6,90,866,84,120,38,34,34,33,44,71,34,67,43,53,31,108,72
2020,6,100,65,9,8,1,1,3,5,4,5,5,4,3,4,3,8,2
2020,7,총,"58,757","4,369","6,937","2,074","2,121","1,508","1,824","1,770","2,943","1,224","3,137","1,722","1,888","1,192","17,504","8,544"
2020,7,0,"3,622",182,460,53,61,57,35,44,85,34,187,24,57,29,"1,664",650
2020,7,10,"4,812",339,543,88,121,73,83,88,148,49,177,63,111,80,"1,901",948
2020,7,20,"5,065",321,566,127,130,91,110,116,153,50,195,98,169,59,"2,067",813
2020,7,30,"5,218",283,603,88,99,96,105,84,155,45,267,71,92,61,"2,300",869
2020,7,40,"7,338",478,751,137,167,135,185,140,248,94,299,137,158,100,"2,948","1,361"
2020,7,50,"9,516",759,"1,077",326,357,203,314,312,552,202,516,275,320,175,"2,691","1,437"
2020,7,60,"9,745",846,"1,180",458,450,315,390,388,667,293,547,409,385,253,"1,992","1,172"
2020,7,70,"7,254",665,913,431,381,264,306,305,491,230,495,331,290,230,"1,151",771
2020,7,80,"5,264",404,717,326,322,237,257,244,370,187,386,268,250,171,677,448
2020,7,90,857,83,119,39,32,34,34,45,68,35,64,43,52,31,105,73
2020,7,100,66,9,8,1,1,3,5,4,6,5,4,3,4,3,8,2
2020,8,총,"58,684","4,357","6,927","2,073","2,114","1,515","1,825","1,755","2,943","1,223","3,117","1,718","1,874","1,188","17,519","8,536"
2020,8,0,"3,603",177,452,57,59,57,40,42,85,36,185,23,56,28,"1,663",643
2020,8,10,"4,800",340,543,87,120,73,79,83,147,49,177,63,112,78,"1,909",940
2020,8,20,"5,064",320,566,126,130,92,110,118,153,51,190,100,167,61,"2,066",814
2020,8,30,"5,171",274,596,90,100,98,108,84,152,44,269,70,85,57,"2,280",864
2020,8,40,"7,327",479,755,134,162,130,181,137,244,95,293,139,163,99,"2,958","1,358"
2020,8,50,"9,475",755,"1,072",324,360,209,315,303,548,199,508,274,316,177,"2,692","1,423"
2020,8,60,"9,785",852,"1,182",457,446,315,390,389,676,292,552,407,384,253,"1,999","1,191"
2020,8,70,"7,278",670,919,433,384,267,305,307,495,231,494,327,291,227,"1,154",774
2020,8,80,"5,252",399,716,324,320,237,257,243,367,186,381,270,246,174,681,451
2020,8,90,861,82,118,40,32,34,34,45,70,35,64,42,50,31,109,75
2020,8,100,68,9,8,1,1,3,6,4,6,5,4,3,4,3,8,3
2020,9,총,"58,633","4,332","6,917","2,075","2,114","1,515","1,822","1,753","2,946","1,232","3,109","1,711","1,875","1,177","17,546","8,509"
2020,9,0,"3,574",166,446,58,62,58,40,41,85,34,180,23,55,28,"1,658",640
2020,9,10,"4,792",339,543,85,119,73,78,82,149,58,179,60,111,77,"1,907",932
2020,9,20,"5,099",323,563,127,132,92,111,114,148,53,191,102,167,60,"2,092",824
2020,9,30,"5,133",271,595,90,100,96,105,87,152,44,267,70,85,56,"2,263",852
2020,9,40,"7,301",474,749,132,160,131,181,137,242,97,296,136,161,99,"2,961","1,345"
2020,9,50,"9,418",744,"1,062",329,358,202,308,302,548,197,502,273,310,172,"2,688","1,423"
2020,9,60,"9,835",859,"1,195",457,445,319,397,388,677,286,550,404,391,256,"2,018","1,193"
2020,9,70,"7,277",669,918,429,380,270,302,309,501,235,492,327,294,224,"1,158",769
2020,9,80,"5,255",395,716,326,323,234,260,241,369,185,383,270,246,169,682,456
2020,9,90,879,83,122,40,33,37,34,48,69,38,65,43,51,33,111,72
2020,9,100,70,9,8,2,2,3,6,4,6,5,4,3,4,3,8,3
2020,10,총,"58,537","4,312","6,903","2,079","2,102","1,509","1,815","1,749","2,942","1,236","3,102","1,711","1,879","1,179","17,539","8,480"
2020,10,0,"3,563",164,441,59,57,54,37,40,86,35,178,23,54,32,"1,666",637
2020,10,10,"4,782",333,544,85,119,72,74,83,146,59,181,60,109,77,"1,914",926
2020,10,20,"5,049",313,569,126,129,92,110,108,148,54,190,100,171,60,"2,064",815
2020,10,30,"5,117",275,584,92,101,94,103,88,154,44,268,72,83,54,"2,266",839
2020,10,40,"7,278",472,755,130,155,129,179,134,238,96,294,136,157,97,"2,965","1,341"
2020,10,50,"9,391",737,"1,052",333,360,201,312,298,543,200,502,268,314,171,"2,681","1,419"
2020,10,60,"9,870",864,"1,196",453,439,322,398,398,683,283,547,408,387,254,"2,031","1,207"
2020,10,70,"7,265",669,915,429,381,270,296,307,499,234,488,328,298,226,"1,149",776
2020,10,80,"5,263",397,713,328,324,233,265,241,368,188,380,270,250,171,688,447
2020,10,90,889,79,126,42,35,39,35,48,71,38,70,43,52,34,107,70
2020,10,100,70,9,8,2,2,3,6,4,6,5,4,3,4,3,8,3
2020,11,총,"58,462","4,306","6,896","2,074","2,102","1,510","1,811","1,740","2,948","1,234","3,098","1,707","1,878","1,176","17,518","8,464"
2020,11,0,"3,544",163,440,59,57,53,37,39,90,37,179,23,50,30,"1,648",639
2020,11,10,"4,782",335,541,86,121,75,75,82,148,59,180,60,112,77,"1,914",917
2020,11,20,"5,030",308,573,124,130,87,107,110,144,55,188,98,171,61,"2,063",811
2020,11,30,"5,097",277,580,91,99,95,105,84,157,44,260,70,82,54,"2,259",840
2020,11,40,"7,244",470,748,127,155,131,182,134,241,94,296,136,157,97,"2,953","1,323"
2020,11,50,"9,347",724,"1,044",332,355,197,307,296,541,196,506,268,311,166,"2,689","1,415"
2020,11,60,"9,932",874,"1,205",454,445,327,396,396,679,287,550,408,393,260,"2,038","1,220"
2020,11,70,"7,272",672,918,426,382,267,298,303,502,233,489,329,296,222,"1,159",776
2020,11,80,"5,264",399,713,330,323,236,263,244,370,187,379,269,249,172,680,450
2020,11,90,880,75,126,43,33,38,35,48,70,37,67,43,53,34,108,70
2020,11,100,70,9,8,2,2,4,6,4,6,5,4,3,4,3,7,3
2020,12,총,"58,359","4,296","6,879","2,071","2,085","1,497","1,812","1,752","2,948","1,228","3,048","1,698","1,889","1,180","17,538","8,438"
2020,12,0,"3,523",160,445,58,54,51,38,42,88,38,165,24,53,32,"1,643",632
2020,12,10,"4,747",333,535,84,120,71,74,83,146,53,184,59,108,77,"1,905",915
2020,12,20,"5,010",309,576,126,126,83,105,108,146,55,177,95,178,60,"2,065",801
2020,12,30,"5,059",276,577,86,96,92,106,85,156,42,245,68,86,56,"2,252",836
2020,12,40,"7,242",462,744,128,152,127,184,139,247,95,295,137,159,95,"2,962","1,316"
2020,12,50,"9,320",728,"1,038",331,349,201,301,292,538,195,498,268,302,166,"2,701","1,412"
2020,12,60,"9,955",870,"1,200",456,448,326,400,399,680,288,546,409,394,261,"2,054","1,224"
2020,12,70,"7,261",672,910,423,381,266,300,305,500,230,486,324,303,224,"1,159",778
2020,12,80,"5,291",400,723,335,325,238,263,246,370,190,384,267,248,169,684,449
2020,12,90,879,77,122,42,32,38,35,49,70,37,64,44,54,37,106,72
2020,12,100,72,9,9,2,2,4,6,4,7,5,4,3,4,3,7,3
2021,1,총,"58,310","4,271","6,887","2,061","2,082","1,484","1,812","1,746","2,943","1,219","3,089","1,699","1,880","1,181","17,544","8,412"
2021,1,0,"3,526",159,444,60,53,51,37,42,87,38,180,24,53,33,"1,635",630
2021,1,10,"4,717",320,541,84,119,65,76,81,142,49,178,59,109,73,"1,909",912
2021,1,20,"4,992",308,573,124,126,80,101,109,144,53,192,95,169,60,"2,058",800
2021,1,30,"5,048",269,578,86,94,93,105,83,155,41,263,66,85,59,"2,251",820
2021,1,40,"7,213",451,756,126,153,125,181,140,244,94,300,137,156,94,"2,953","1,303"
2021,1,50,"9,295",732,"1,026",325,345,201,304,286,537,194,492,267,307,165,"2,698","1,416"
2021,1,60,"9,983",873,"1,202",454,445,323,397,403,684,289,543,406,392,265,"2,071","1,236"
2021,1,70,"7,260",669,906,421,383,268,300,303,501,230,490,327,301,221,"1,166",774
2021,1,80,"5,321",401,728,338,330,236,267,247,371,191,383,270,249,172,689,449
2021,1,90,883,80,124,41,32,38,38,48,70,36,64,45,55,36,107,69
2021,1,100,72,9,9,2,2,4,6,4,8,4,4,3,4,3,7,3
2021,2,총,"58,184","4,245","6,839","2,052","2,084","1,490","1,807","1,747","2,940","1,215","3,099","1,685","1,874","1,177","17,516","8,414"
2021,2,0,"3,495",151,431,59,53,51,34,43,87,38,185,24,54,32,"1,623",630
2021,2,10,"4,702",317,534,81,121,65,75,82,142,48,179,59,109,69,"1,906",915
2021,2,20,"4,939",306,559,122,121,79,101,106,142,54,192,91,166,65,"2,042",793
2021,2,30,"4,998",264,565,84,92,99,101,84,156,38,260,59,84,56,"2,235",821
2021,2,40,"7,198",445,757,125,155,125,179,141,243,94,305,136,157,92,"2,943","1,301"
2021,2,50,"9,256",723,"1,016",321,344,200,303,289,534,192,484,264,300,167,"2,707","1,412"
2021,2,60,"10,048",875,"1,212",459,454,324,402,404,685,289,553,405,393,267,"2,080","1,246"
2021,2,70,"7,217",669,899,415,380,265,299,295,497,230,485,325,304,220,"1,168",766
2021,2,80,"5,360",406,727,342,329,237,269,253,377,191,386,272,247,169,698,457
2021,2,90,898,79,130,42,33,41,38,46,69,37,66,47,56,37,107,70
2021,2,100,73,10,9,2,2,4,6,4,8,4,4,3,4,3,7,3
2021,3,총,"57,738","4,147","6,743","2,036","2,084","1,486","1,791","1,735","2,894","1,188","3,066","1,664","1,859","1,172","17,518","8,355"
2021,3,0,"3,481",146,428,58,54,51,34,43,88,39,192,24,53,29,"1,621",621
2021,3,10,"4,673",312,537,77,122,66,73,82,141,42,178,56,111,71,"1,910",895
2021,3,20,"4,916",304,544,121,123,77,97,108,142,55,192,90,159,64,"2,051",789
2021,3,30,"4,940",254,557,80,98,95,99,84,149,37,261,59,85,56,"2,223",803
2021,3,40,"7,098",432,743,121,149,128,174,138,232,88,295,133,154,92,"2,927","1,292"
2021,3,50,"9,120",701,980,316,338,193,298,278,515,184,471,267,296,163,"2,710","1,410"
2021,3,60,"10,060",857,"1,207",462,452,331,411,407,686,287,548,402,393,266,"2,099","1,252"
2021,3,70,"7,156",662,893,413,382,265,289,290,490,226,478,318,303,220,"1,162",765
2021,3,80,"5,373",404,722,344,329,236,274,256,381,193,386,270,248,169,705,456
2021,3,90,883,73,129,42,36,41,39,47,65,36,64,45,54,39,104,69
2021,3,100,38,2,3,2,1,3,3,2,5,1,1,0,3,3,6,3
2021,4,총,"57,710","4,139","6,725","2,022","2,086","1,485","1,791","1,729","2,896","1,190","3,053","1,657","1,866","1,173","17,561","8,337"
2021,4,0,"3,464",146,425,57,54,52,33,42,89,39,185,24,52,29,"1,621",616
2021,4,10,"4,671",312,534,78,121,65,73,80,140,42,181,55,114,69,"1,915",892
2021,4,20,"4,901",297,539,119,118,77,95,109,139,57,191,86,158,66,"2,069",781
2021,4,30,"4,911",248,553,77,102,92,100,83,150,39,257,57,82,57,"2,213",801
2021,4,40,"7,073",441,743,116,150,129,172,135,232,87,289,126,156,88,"2,924","1,285"
2021,4,50,"9,122",696,974,316,342,193,302,276,521,178,474,270,297,163,"2,708","1,412"
2021,4,60,"10,106",862,"1,211",458,452,332,410,407,682,291,553,406,394,269,"2,124","1,255"
2021,4,70,"7,132",660,895,409,376,265,289,288,486,225,473,317,302,218,"1,167",762
2021,4,80,"5,391",401,716,348,334,234,274,256,385,194,387,270,254,172,706,460
2021,4,90,900,74,132,42,36,43,40,50,67,37,62,46,54,39,108,70
2021,4,100,39,2,3,2,1,3,3,3,5,1,1,0,3,3,6,3
2021,5,총,"57,689","4,116","6,703","2,023","2,091","1,485","1,785","1,736","2,902","1,194","3,062","1,657","1,861","1,163","17,577","8,334"
2021,5,0,"3,444",144,416,58,54,54,32,44,87,38,183,24,50,28,"1,618",614
2021,5,10,"4,661",311,532,76,125,63,74,83,136,43,181,56,115,70,"1,907",889
2021,5,20,"4,893",296,534,118,117,81,94,108,140,57,191,85,157,64,"2,071",780
2021,5,30,"4,903",239,557,78,104,93,99,86,147,37,261,58,80,55,"2,214",795
2021,5,40,"7,023",441,737,110,149,127,172,134,230,87,282,126,150,87,"2,911","1,280"
2021,5,50,"9,132",684,968,319,339,192,295,272,524,179,482,267,298,158,"2,738","1,417"
2021,5,60,"10,141",863,"1,210",459,453,331,412,408,689,293,555,408,400,269,"2,131","1,260"
2021,5,70,"7,147",666,898,411,376,265,288,289,485,229,472,314,302,218,"1,173",761
2021,5,80,"5,404",396,716,349,337,233,276,259,389,194,392,273,253,172,702,463
2021,5,90,901,74,131,43,36,43,40,50,70,36,62,46,52,39,107,72
2021,5,100,40,2,4,2,1,3,3,3,5,1,1,0,4,3,5,3
2021,6,총,"57,631","4,123","6,690","2,010","2,079","1,476","1,773","1,734","2,898","1,201","3,060","1,656","1,865","1,161","17,581","8,324"
2021,6,0,"3,442",143,415,57,54,53,32,41,89,38,185,25,54,29,"1,618",609
2021,6,10,"4,644",312,534,76,124,63,72,84,135,43,179,54,113,69,"1,898",888
2021,6,20,"4,883",299,529,115,113,79,95,107,138,56,189,88,161,65,"2,070",779
2021,6,30,"4,858",236,553,79,100,92,96,85,147,38,262,61,80,56,"2,188",785
2021,6,40,"7,029",444,739,107,151,122,172,130,227,87,280,126,148,86,"2,931","1,279"
2021,6,50,"9,110",683,962,317,334,194,291,268,529,176,483,266,299,157,"2,741","1,410"
2021,6,60,"10,185",861,"1,219",457,456,328,409,417,688,302,558,407,400,270,"2,139","1,274"
2021,6,70,"7,118",670,890,407,371,262,285,288,480,231,470,312,302,216,"1,178",756
2021,6,80,"5,431",401,719,353,339,237,277,262,389,193,390,273,252,171,704,471
2021,6,90,892,72,125,40,36,43,41,49,71,36,63,44,52,39,109,72
2021,6,100,39,2,5,2,1,3,3,3,5,1,1,0,4,3,5,1
2021,7,총,"57,615","4,116","6,704","2,012","2,086","1,473","1,768","1,735","2,914","1,197","3,054","1,655","1,873","1,159","17,572","8,297"
2021,7,0,"3,427",140,420,58,56,51,31,43,90,37,183,25,54,30,"1,605",604
2021,7,10,"4,642",309,531,76,125,63,68,85,135,43,180,54,114,68,"1,905",886
2021,7,20,"4,863",302,523,113,115,81,95,107,142,55,189,86,157,64,"2,066",768
2021,7,30,"4,844",236,552,81,101,91,97,85,149,36,263,59,85,54,"2,191",764
2021,7,40,"7,011",439,749,108,151,121,172,132,229,85,274,122,148,84,"2,915","1,282"
2021,7,50,"9,108",683,956,314,326,195,291,266,527,177,482,269,300,158,"2,751","1,413"
2021,7,60,"10,218",861,"1,228",459,461,325,412,418,692,301,559,409,405,268,"2,145","1,275"
2021,7,70,"7,118",673,890,405,374,262,284,287,478,230,465,313,300,216,"1,180",761
2021,7,80,"5,451",398,724,356,339,238,274,262,395,196,394,274,254,174,703,470
2021,7,90,894,73,126,40,37,43,41,47,72,36,64,44,52,40,106,73
2021,7,100,39,2,5,2,1,3,3,3,5,1,1,0,4,3,5,1
2021,8,총,"57,588","4,116","6,731","2,009","2,086","1,468","1,763","1,728","2,916","1,196","3,046","1,662","1,874","1,160","17,563","8,270"
2021,8,0,"3,403",138,427,58,56,51,30,41,90,34,182,26,54,28,"1,590",598
2021,8,10,"4,663",313,524,79,126,64,70,84,136,49,180,55,114,70,"1,916",883
2021,8,20,"4,828",302,537,112,111,80,91,106,139,51,184,88,158,65,"2,049",755
2021,8,30,"4,840",234,554,83,104,87,103,87,150,36,256,58,83,55,"2,189",761
2021,8,40,"6,986",443,746,106,151,121,165,130,229,84,281,117,148,85,"2,911","1,269"
2021,8,50,"9,086",676,967,305,320,193,292,264,522,175,478,270,301,155,"2,749","1,419"
2021,8,60,"10,275",860,"1,231",465,465,327,415,420,699,303,566,412,402,268,"2,159","1,283"
2021,8,70,"7,092",672,889,403,373,257,281,283,477,230,462,316,298,215,"1,180",756
2021,8,80,"5,474",403,723,355,340,241,273,265,396,196,387,276,259,177,707,476
2021,8,90,904,73,128,41,39,44,40,45,73,37,70,44,53,39,108,70
2021,8,100,37,2,5,2,1,3,3,3,5,1,0,0,4,3,5,0
2021,9,총,"57,516","4,097","6,719","2,009","2,078","1,460","1,753","1,726","2,928","1,192","3,043","1,655","1,868","1,155","17,579","8,254"
2021,9,0,"3,392",132,431,58,55,50,29,44,90,33,182,25,54,28,"1,593",588
2021,9,10,"4,628",312,517,79,124,61,69,85,140,44,175,54,114,68,"1,913",873
2021,9,20,"4,805",297,528,110,111,79,86,102,140,53,183,86,153,64,"2,062",751
2021,9,30,"4,811",227,558,81,105,86,100,89,152,35,257,58,85,53,"2,173",752
2021,9,40,"6,971",444,747,105,149,121,163,126,219,86,281,117,148,83,"2,918","1,264"
2021,9,50,"9,078",669,965,307,314,195,290,263,528,175,478,267,297,157,"2,749","1,424"
2021,9,60,"10,309",873,"1,228",465,467,327,418,417,705,302,565,412,400,267,"2,170","1,293"
2021,9,70,"7,085",668,886,404,371,249,280,287,476,231,464,316,301,213,"1,176",763
2021,9,80,"5,491",400,729,357,342,244,274,261,402,195,388,275,255,181,712,476
2021,9,90,910,74,125,41,39,45,41,48,71,37,70,45,57,38,109,70
2021,9,100,36,1,5,2,1,3,3,4,5,1,0,0,4,3,4,0
2021,10,총,"57,465","4,070","6,708","2,008","2,068","1,461","1,746","1,723","2,933","1,185","3,037","1,655","1,878","1,156","17,577","8,260"
2021,10,0,"3,362",129,425,57,53,48,29,41,88,33,181,24,54,29,"1,591",580
2021,10,10,"4,600",307,515,80,120,64,68,83,141,43,166,56,114,68,"1,909",866
2021,10,20,"4,798",293,521,109,108,78,87,100,141,52,180,90,156,65,"2,060",758
2021,10,30,"4,796",223,560,82,108,87,96,91,154,36,257,58,88,54,"2,153",749
2021,10,40,"6,934",435,743,102,145,121,162,123,217,86,281,116,146,82,"2,921","1,254"
2021,10,50,"9,080",668,962,310,309,193,292,262,529,174,480,264,296,156,"2,755","1,430"
2021,10,60,"10,342",870,"1,232",466,471,327,418,417,703,305,566,415,403,267,"2,174","1,308"
2021,10,70,"7,079",673,892,398,370,250,277,292,475,227,465,312,296,211,"1,178",763
2021,10,80,"5,515",398,727,360,343,244,274,259,407,190,391,274,263,184,723,478
2021,10,90,923,73,126,42,40,46,40,51,73,38,70,46,58,37,109,74
2021,10,100,36,1,5,2,1,3,3,4,5,1,0,0,4,3,4,0
2021,11,총,"57,393","4,046","6,696","2,001","2,057","1,457","1,742","1,731","2,930","1,186","3,038","1,661","1,876","1,130","17,574","8,268"
2021,11,0,"3,342",130,421,56,52,49,29,38,87,31,181,25,55,29,"1,585",574
2021,11,10,"4,580",305,514,79,119,64,68,85,141,42,166,57,113,68,"1,896",863
2021,11,20,"4,787",282,517,104,109,80,85,102,140,51,180,89,157,65,"2,066",760
2021,11,30,"4,798",222,561,86,104,90,98,92,152,39,259,61,89,50,"2,155",740
2021,11,40,"6,914",433,742,101,144,114,160,123,216,88,278,117,145,80,"2,908","1,265"
2021,11,50,"9,053",662,955,303,305,190,291,262,527,173,483,264,295,150,"2,759","1,434"
2021,11,60,"10,371",870,"1,237",468,473,330,417,422,707,305,571,413,401,267,"2,179","1,311"
2021,11,70,"7,058",665,889,395,369,250,279,289,473,226,461,315,295,205,"1,183",764
2021,11,80,"5,530",404,729,364,341,242,270,261,410,189,389,275,263,181,729,483
2021,11,90,930,73,126,43,40,45,42,54,73,41,70,45,59,35,110,74
2021,11,100,30,0,5,2,1,3,3,3,4,1,0,0,4,0,4,0
2021,12,총,"57,336","4,043","6,685","1,998","2,048","1,452","1,739","1,728","2,935","1,194","3,020","1,659","1,866","1,136","17,559","8,274"
2021,12,0,"3,305",128,419,53,54,48,27,37,86,29,179,25,57,28,"1,569",566
2021,12,10,"4,562",299,510,80,118,67,71,82,141,41,163,56,112,68,"1,894",860
2021,12,20,"4,776",284,515,103,108,79,83,105,139,51,178,91,148,68,"2,069",755
2021,12,30,"4,773",214,571,85,101,86,98,91,149,40,253,58,89,51,"2,147",740
2021,12,40,"6,906",432,733,99,144,118,158,121,219,91,272,117,144,81,"2,910","1,267"
2021,12,50,"9,050",666,951,299,303,187,296,262,526,174,479,269,298,149,"2,746","1,445"
2021,12,60,"10,396",873,"1,231",476,469,327,416,422,715,306,577,408,399,270,"2,193","1,314"
2021,12,70,"7,023",663,886,392,366,254,274,291,466,228,459,309,289,203,"1,181",762
2021,12,80,"5,575",411,737,366,342,237,271,259,414,191,389,281,270,182,737,488
2021,12,90,948,73,129,44,42,46,43,56,76,42,71,45,58,36,110,77
2021,12,100,22,0,3,1,1,3,2,2,4,1,0,0,2,0,3,0
