년도,월,나이,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020,11,60,"7,144","2,260",368,"1,118",573,475,448,379,861,369,293
2020,11,70,"4,423","1,034",258,626,400,365,326,354,496,304,260
2020,11,80,"2,398",535,155,308,192,160,199,177,340,189,143
2020,11,90,420,94,35,56,36,13,31,21,59,39,36
2020,11,100,21,1,0,0,2,5,3,5,2,2,1
2020,12,총,"44,602","15,531","1,839","9,281","2,646","2,560","1,770","1,608","6,156","1,811","1,400"
2020,12,0,"3,211","1,372",86,720,83,154,54,45,561,89,47
2020,12,10,"4,228","1,662",106,"1,179",167,222,78,74,563,90,87
2020,12,20,"3,859","1,439",166,881,210,206,101,99,567,108,82
2020,12,30,"4,292","1,779",124,907,176,199,81,74,720,146,86
2020,12,40,"6,989","2,634",225,"1,886",323,319,168,165,954,182,133
2020,12,50,"7,565","2,693",321,"1,596",475,442,275,215,"1,024",294,230
2020,12,60,"7,186","2,284",366,"1,123",575,475,450,379,872,365,297
2020,12,70,"4,428","1,045",251,624,406,360,329,354,494,305,260
2020,12,80,"2,409",528,158,310,193,166,201,178,340,192,143
2020,12,90,413,94,36,55,36,12,30,19,59,38,34
2020,12,100,22,1,0,0,2,5,3,6,2,2,1
2021,1,총,"44,502","15,489","1,834","9,267","2,635","2,544","1,766","1,597","6,163","1,801","1,406"
2021,1,0,"3,191","1,360",86,716,82,152,54,38,566,87,50
2021,1,10,"4,192","1,652",104,"1,167",166,218,80,77,557,86,85
2021,1,20,"3,853","1,444",171,887,207,195,103,93,559,111,83
2021,1,30,"4,247","1,754",124,885,175,205,80,74,729,137,84
2021,1,40,"6,955","2,624",223,"1,878",316,316,170,163,949,181,135
2021,1,50,"7,536","2,666",319,"1,606",471,440,267,218,"1,025",292,232
2021,1,60,"7,236","2,318",362,"1,131",581,475,447,375,878,369,300
2021,1,70,"4,434","1,048",252,626,409,359,330,354,498,302,256
2021,1,80,"2,412",528,156,314,189,167,201,180,337,194,146
2021,1,90,422,94,36,57,37,12,31,19,62,40,34
2021,1,100,24,1,1,0,2,5,3,6,3,2,1
2021,2,총,"44,465","15,445","1,820","9,254","2,621","2,539","1,747","1,606","6,223","1,804","1,406"
2021,2,0,"3,180","1,340",78,712,81,149,54,40,590,85,51
2021,2,10,"4,177","1,634",104,"1,165",163,221,77,78,561,89,85
2021,2,20,"3,832","1,443",174,886,198,196,100,92,549,113,81
2021,2,30,"4,219","1,734",120,878,176,199,80,75,744,131,82
2021,2,40,"6,933","2,615",215,"1,859",313,315,165,164,960,188,139
2021,2,50,"7,531","2,650",320,"1,611",472,438,268,221,"1,028",292,231
2021,2,60,"7,279","2,346",361,"1,139",585,478,439,376,888,367,300
2021,2,70,"4,423","1,050",251,629,406,357,330,351,496,299,254
2021,2,80,"2,441",534,160,318,188,168,201,184,341,198,149
2021,2,90,426,98,36,57,37,13,30,19,63,40,33
2021,2,100,24,1,1,0,2,5,3,6,3,2,1
2021,3,총,"44,262","15,386","1,794","9,232","2,590","2,533","1,711","1,594","6,249","1,776","1,397"
2021,3,0,"3,164","1,319",77,708,86,151,51,41,593,86,52
2021,3,10,"4,156","1,627",102,"1,157",158,215,78,75,569,89,86
2021,3,20,"3,799","1,435",174,884,192,194,97,90,543,113,77
2021,3,30,"4,188","1,725",117,865,174,203,80,73,745,128,78
2021,3,40,"6,887","2,594",208,"1,851",312,310,162,162,968,184,136
2021,3,50,"7,498","2,644",312,"1,607",467,440,260,222,"1,031",286,229
2021,3,60,"7,302","2,369",359,"1,154",574,485,431,378,890,359,303
2021,3,70,"4,388","1,039",247,629,403,352,323,349,501,294,251
2021,3,80,"2,455",532,162,321,189,169,198,187,345,199,153
2021,3,90,416,102,35,56,34,13,29,16,63,37,31
2021,3,100,9,0,1,0,1,1,2,1,1,1,1
2021,4,총,"44,246","15,365","1,779","9,326","2,583","2,530","1,700","1,589","6,217","1,771","1,386"
2021,4,0,"3,157","1,311",76,720,82,149,52,41,591,85,50
2021,4,10,"4,128","1,620",99,"1,152",156,210,78,74,564,89,86
2021,4,20,"3,814","1,431",169,899,196,200,97,90,542,113,77
2021,4,30,"4,153","1,712",122,871,173,199,74,72,733,123,74
2021,4,40,"6,902","2,588",209,"1,884",307,307,163,162,968,182,132
2021,4,50,"7,500","2,648",301,"1,619",469,442,256,224,"1,020",290,231
2021,4,60,"7,326","2,385",362,"1,166",572,488,429,373,893,358,300
2021,4,70,"4,362","1,029",240,631,403,352,322,348,495,290,252
2021,4,80,"2,470",538,164,327,191,167,199,188,341,203,152
2021,4,90,425,103,36,57,33,15,28,16,69,37,31
2021,4,100,9,0,1,0,1,1,2,1,1,1,1
2021,5,총,"44,301","15,314","1,748","9,525","2,561","2,531","1,690","1,584","6,228","1,767","1,353"
2021,5,0,"3,153","1,306",74,734,79,145,51,39,598,85,42
2021,5,10,"4,128","1,607",91,"1,186",152,207,77,75,565,89,79
2021,5,20,"3,830","1,430",165,917,198,210,98,93,541,105,73
2021,5,30,"4,135","1,675",118,910,172,194,70,73,731,123,69
2021,5,40,"6,888","2,582",206,"1,908",298,301,166,160,964,177,126
2021,5,50,"7,502","2,641",291,"1,658",461,444,248,220,"1,017",295,227
2021,5,60,"7,377","2,393",359,"1,191",571,488,431,373,907,361,303
2021,5,70,"4,360","1,028",239,635,404,358,322,344,492,287,251
2021,5,80,"2,487",547,169,328,192,168,196,191,341,204,151
2021,5,90,431,105,35,58,33,15,29,15,70,40,31
2021,5,100,10,0,1,0,1,1,2,1,2,1,1
2021,6,총,"44,297","15,280","1,736","9,585","2,557","2,530","1,675","1,577","6,245","1,767","1,345"
2021,6,0,"3,131","1,289",74,739,76,143,49,39,600,84,38
2021,6,10,"4,130","1,606",89,"1,193",150,207,73,73,569,91,79
2021,6,20,"3,818","1,437",161,922,199,205,95,89,535,104,71
2021,6,30,"4,120","1,659",116,925,170,194,66,73,733,118,66
2021,6,40,"6,891","2,579",202,"1,916",294,301,165,158,975,177,124
2021,6,50,"7,485","2,628",289,"1,674",456,440,249,220,"1,009",296,224
2021,6,60,"7,413","2,396",364,"1,196",577,494,425,374,917,364,306
2021,6,70,"4,364","1,034",234,636,405,361,323,341,494,287,249
2021,6,80,"2,496",547,172,326,195,168,197,192,340,204,155
2021,6,90,439,105,34,58,34,16,31,17,71,41,32
2021,6,100,10,0,1,0,1,1,2,1,2,1,1
2021,7,총,"44,307","15,299","1,737","9,599","2,546","2,530","1,666","1,572","6,249","1,761","1,348"
2021,7,0,"3,113","1,281",71,738,75,141,48,39,599,84,37
2021,7,10,"4,105","1,599",89,"1,185",146,205,72,73,567,91,78
2021,7,20,"3,844","1,449",165,934,200,209,97,83,529,102,76
2021,7,30,"4,097","1,653",112,922,171,194,61,73,728,116,67
2021,7,40,"6,867","2,573",204,"1,903",289,297,164,159,982,172,124
2021,7,50,"7,496","2,643",283,"1,681",451,442,250,217,"1,008",294,227
2021,7,60,"7,453","2,406",374,"1,212",576,497,423,376,923,365,301
2021,7,70,"4,376","1,039",235,638,405,360,322,342,496,288,251
2021,7,80,"2,498",550,167,328,197,168,195,193,342,204,154
2021,7,90,446,106,35,58,35,16,32,16,73,43,32
2021,7,100,12,0,2,0,1,1,2,1,2,2,1
2021,8,총,"44,340","15,287","1,725","9,622","2,571","2,536","1,661","1,573","6,267","1,757","1,341"
2021,8,0,"3,110","1,271",69,740,78,145,47,42,603,81,34
2021,8,10,"4,115","1,590",90,"1,187",155,207,73,74,572,89,78
2021,8,20,"3,842","1,454",162,933,201,209,95,84,527,102,75
2021,8,30,"4,082","1,634",109,929,169,194,65,74,730,113,65
2021,8,40,"6,834","2,559",196,"1,889",296,299,162,157,980,174,122
2021,8,50,"7,515","2,653",282,"1,698",448,439,249,213,"1,016",291,226
2021,8,60,"7,491","2,427",373,"1,216",580,502,423,377,923,368,302
2021,8,70,"4,384","1,037",239,645,410,358,318,342,497,289,249
2021,8,80,"2,504",555,167,328,199,166,195,194,341,203,156
2021,8,90,450,107,36,57,34,16,31,15,76,45,33
2021,8,100,13,0,2,0,1,1,3,1,2,2,1
2021,9,총,"44,343","15,267","1,725","9,639","2,562","2,551","1,661","1,566","6,279","1,746","1,347"
2021,9,0,"3,093","1,257",68,739,79,147,43,43,601,79,37
2021,9,10,"4,103","1,584",89,"1,181",155,206,81,72,568,88,79
2021,9,20,"3,837","1,459",165,934,198,207,90,81,526,100,77
2021,9,30,"4,061","1,614",110,933,168,197,62,75,730,110,62
2021,9,40,"6,842","2,554",193,"1,885",292,307,163,156,994,174,124
2021,9,50,"7,545","2,671",278,"1,717",445,441,253,214,"1,015",287,224
2021,9,60,"7,523","2,439",375,"1,213",586,506,421,376,931,372,304
2021,9,70,"4,366","1,028",237,646,407,356,320,341,498,288,245
2021,9,80,"2,514",557,171,333,198,168,195,192,337,203,160
2021,9,90,447,104,37,58,33,15,31,15,77,43,34
2021,9,100,12,0,2,0,1,1,2,1,2,2,1
2021,10,총,"44,359","15,289","1,716","9,658","2,567","2,554","1,657","1,565","6,266","1,744","1,343"
2021,10,0,"3,084","1,254",67,735,80,146,45,42,601,78,36
2021,10,10,"4,103","1,586",89,"1,173",153,208,82,74,572,88,78
2021,10,20,"3,855","1,475",163,949,197,206,91,77,522,98,77
2021,10,30,"4,045","1,610",109,928,167,199,63,76,723,108,62
2021,10,40,"6,823","2,545",191,"1,883",290,310,161,153,993,175,122
2021,10,50,"7,538","2,679",280,"1,714",444,439,249,211,"1,011",287,224
2021,10,60,"7,557","2,454",370,"1,232",598,503,417,381,930,370,302
2021,10,70,"4,374","1,023",236,651,406,357,320,341,502,293,245
2021,10,80,"2,518",557,176,336,195,170,195,194,331,202,162
2021,10,90,450,106,33,57,36,15,32,14,79,44,34
2021,10,100,12,0,2,0,1,1,2,2,2,1,1
2021,11,총,"44,275","15,313","1,710","9,631","2,554","2,541","1,657","1,554","6,230","1,742","1,343"
2021,11,0,"3,052","1,245",70,727,79,143,45,42,585,81,35
2021,11,10,"4,094","1,585",89,"1,171",150,203,83,72,575,88,78
2021,11,20,"3,834","1,476",162,942,194,202,95,77,510,96,80
2021,11,30,"4,016","1,605",104,924,160,202,63,73,718,106,61
2021,11,40,"6,809","2,551",188,"1,875",288,306,160,153,992,176,120
2021,11,50,"7,536","2,677",283,"1,722",446,435,249,213,"1,005",279,227
2021,11,60,"7,575","2,474",372,"1,232",599,502,416,377,931,372,300
2021,11,70,"4,370","1,034",234,644,401,361,320,338,503,292,243
2021,11,80,"2,520",557,172,338,198,172,193,193,327,206,164
2021,11,90,457,109,34,56,37,14,32,14,82,45,34
2021,11,100,12,0,2,0,2,1,1,2,2,1,1
2021,12,총,"44,286","15,419","1,704","9,621","2,548","2,532","1,642","1,548","6,210","1,727","1,335"
2021,12,0,"3,043","1,255",65,726,77,142,40,42,581,78,37
2021,12,10,"4,086","1,596",91,"1,163",152,201,80,73,563,88,79
2021,12,20,"3,841","1,473",164,950,194,203,96,79,515,91,76
2021,12,30,"3,997","1,608",104,913,157,198,62,71,719,104,61
2021,12,40,"6,815","2,587",182,"1,870",283,304,159,155,984,172,119
2021,12,50,"7,540","2,683",282,"1,728",445,431,246,214,"1,007",280,224
2021,12,60,"7,583","2,497",374,"1,240",595,504,411,367,926,374,295
2021,12,70,"4,370","1,042",233,636,405,360,320,338,504,287,245
2021,12,80,"2,532",565,172,336,203,174,195,191,327,206,163
2021,12,90,468,113,35,59,35,14,32,17,82,46,35
2021,12,100,11,0,2,0,2,1,1,1,2,1,1
